,elephant,zebra,giraffe,deer,horse,pony,pig,bear,dog,cat,owl,fish,frog,alligator,butterfly,penguin,rooster,bird,duck,ear,nose,eye,tooth,mouth,face,hair,leg,arm,hand,finger,toe,ankle,foot,lamp,drawer,bench,chair,ladder,table,couch,bed,crib,window,door,closet,refrigerator,oven,sink,bathtub,shower,stroller,tricycle,motorcycle,car,truck,firetruck,helicopter,sprinkler,hose,swing,slide,boat,tree,grass,snow,scarf,coat,jacket,sweater,shirt,bib,pajamas,dress,jeans,pants,shorts,slipper,shoe,sock,mitten,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,radio,vacuum,comb,stick,shovel,rock,hat,glasses,necklace,belt,watch,clock,scissors,fork,spoon,crayon,pencil,pen,knife,broom,mop,toothbrush,gum,balloon,ball,raisin,nail,potato,carrot,egg,orange,pumpkin,apple,strawberry,melon,pickle,banana,corn,flower,plant,cracker,toast,sandwich,chips,pasta,sauce,soup,applesauce,meat,pastry,pizza,muffin,cookie,bread,hamburger,plate,dish,bowl,tape,soap,milk,bottle,jar,glass,coffee,cup,bucket,can,cloud,game
elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog,,,,,,,,,0.0,0.6312536001205444,,,0.9140594601631165,0.8632720708847046,,,,,,,0.88814377784729,0.9452724456787109,,0.9991036653518677,,1.014009952545166,0.9212048053741455,1.0139787197113037,1.0692592859268188,1.2422938346862793,1.1824109554290771,,1.0836834907531738,1.0206276178359985,0.9279335141181946,0.9491615295410156,1.0362954139709473,,0.8864888548851013,0.9283995628356934,0.957331120967865,0.944553792476654,1.0015507936477661,0.9909816384315491,1.0900171995162964,0.9561104774475098,0.9858172535896301,0.9068520665168762,1.0126817226409912,,1.0747803449630737,1.0950095653533936,1.0802559852600098,0.9406099319458008,1.0121339559555054,,,,,,0.9346425533294678,,0.976916491985321,,,1.0144879817962646,,1.1094831228256226,1.1328392028808594,1.0713883638381958,0.9680882692337036,0.9469643235206604,,1.0445770025253296,1.0000762939453125,,0.9745837450027466,0.879703164100647,0.9351799488067627,,0.9570027589797974,0.9244989156723022,0.8613339066505432,0.8038838505744934,0.8105541467666626,0.9989376068115234,0.8598418235778809,0.9236095547676086,0.9374821186065674,0.9087035655975342,1.000156044960022,0.9764419794082642,1.0054336786270142,1.0447052717208862,0.9643621444702148,0.8956878185272217,,0.9226109981536865,,0.914850652217865,0.9987983107566833,0.9454778432846069,,,,0.9530659317970276,1.0393129587173462,1.0714924335479736,1.0393341779708862,1.093729019165039,1.0287995338439941,0.9880205392837524,,,0.9285180568695068,1.089383840560913,0.9871951937675476,1.0163475275039673,,1.1531165838241577,,,1.1056934595108032,1.1017004251480103,1.0451340675354004,1.0974793434143066,,0.97868412733078,,0.9874749183654785,,,0.982650876045227,,,,,,,1.0660994052886963,,1.0948015451431274,0.9806888103485107,1.0340771675109863,1.012556791305542,1.0413906574249268,1.0036660432815552,,0.8792192339897156,0.8727218508720398,0.9167309403419495,0.9538120627403259,,,1.067202091217041,1.0293571949005127,,,0.9634897708892822,0.9481797218322754,1.0639662742614746,,
cat,,,,,,,,,0.6312536001205444,0.0,,,0.946004331111908,0.950588583946228,,,,,,,0.8904653191566467,0.9547548890113831,,1.032294750213623,,0.9298050999641418,1.042587399482727,0.9294607043266296,1.103317379951477,1.2124502658843994,1.186150074005127,,1.0854142904281616,0.9967585206031799,1.0153801441192627,1.0037219524383545,0.9712816476821899,,0.8854268789291382,0.869802713394165,0.8832705020904541,0.90188068151474,0.9698768854141235,0.9276363849639893,0.9689130783081055,0.9136850833892822,0.9186300039291382,0.9403001070022583,0.9480308890342712,,0.9519188404083252,0.9705229997634888,1.0138654708862305,0.9657722115516663,0.986065149307251,,,,,,0.9669347405433655,,0.9146443605422974,,,1.0782238245010376,,0.9322777986526489,0.9640703201293945,0.880836009979248,0.9365643858909607,0.9175006747245789,,0.897810161113739,0.8572320938110352,,1.0129873752593994,0.9728094935417175,0.9913530349731445,,1.0380113124847412,0.8773926496505737,0.9840469360351562,0.967768132686615,1.0307016372680664,0.9438181519508362,0.943514347076416,0.932350754737854,0.9353616833686829,0.8555866479873657,1.0305427312850952,0.9602633714675903,0.9743971228599548,1.044047474861145,0.8983948826789856,1.0157078504562378,,1.0761610269546509,,0.9714540243148804,0.9509046077728271,0.7804063558578491,,,,0.983620822429657,0.9914470314979553,1.0699567794799805,1.1732138395309448,1.1712027788162231,1.1511449813842773,1.068141222000122,,,1.0768780708312988,1.118357539176941,1.1075550317764282,1.1070036888122559,,1.1862094402313232,,,1.1452574729919434,1.0907613039016724,1.1305294036865234,1.1343740224838257,,0.9405015110969543,,1.0921916961669922,,,0.9424064755439758,,,,,,,0.9839856624603271,,1.0837230682373047,0.989458441734314,1.0541343688964844,1.002684235572815,1.0953412055969238,1.064124584197998,,0.9809363484382629,0.9412242770195007,0.9853781461715698,0.9636189341545105,,,1.0454607009887695,1.0128438472747803,,,0.9430288672447205,0.9711422324180603,1.0538641214370728,,
owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
frog,,,,,,,,,0.9140594601631165,0.946004331111908,,,0.0,0.5477015972137451,,,,,,,0.7246147394180298,0.9621840715408325,,0.9674588441848755,,0.9407705068588257,1.1227092742919922,0.987406313419342,1.0456299781799316,1.113362193107605,1.0798439979553223,,1.0644044876098633,0.9401706457138062,0.9061276316642761,1.0417602062225342,1.169481635093689,,0.9922219514846802,0.9957688450813293,1.1034451723098755,1.057594895362854,1.088478684425354,1.1023731231689453,1.0991641283035278,1.1177889108657837,1.089728832244873,1.0141247510910034,1.118726134300232,,0.9900535345077515,0.9818997979164124,1.0122582912445068,1.1317468881607056,1.0548043251037598,,,,,,1.101233720779419,,1.0285110473632812,,,1.006919026374817,,1.1194251775741577,1.141143798828125,1.05899977684021,1.0058766603469849,1.0130430459976196,,1.0786645412445068,1.0293563604354858,,1.0453399419784546,0.943936288356781,1.2045445442199707,,1.0470478534698486,1.1207926273345947,1.095705509185791,1.064005970954895,1.0557737350463867,0.837988018989563,0.9963953495025635,0.9021070003509521,0.98066246509552,0.9339876174926758,0.8809106945991516,1.10971200466156,0.9579070806503296,1.0987379550933838,1.0646835565567017,1.0203728675842285,,0.8833158016204834,,1.0164986848831177,1.0653436183929443,0.8512407541275024,,,,0.8816183805465698,1.0300674438476562,1.0205986499786377,1.118659496307373,1.1023576259613037,1.1326228380203247,1.1193115711212158,,,1.079288125038147,0.7874544858932495,0.9835466146469116,1.0896879434585571,,1.178074836730957,,,1.113389492034912,1.0185657739639282,1.1235229969024658,1.057230830192566,,0.965477466583252,,1.0084071159362793,,,0.9943970441818237,,,,,,,0.9625044465065002,,0.967214822769165,0.8787732124328613,0.9883619546890259,0.9350200891494751,0.8421031832695007,0.9676036834716797,,1.0126837491989136,0.9490494728088379,1.048731803894043,1.1096782684326172,,,1.0668336153030396,0.9498755931854248,,,1.0310789346694946,1.1423366069793701,0.9761484265327454,,
