,horse,rooster,bird,fish,butterfly,frog,alligator,owl,elephant,cat,dog,face,hair,arm,hand,leg,foot,ankle,finger,toe,tooth,ear,nose,stroller,motorcycle,truck,car,lamp,chair,bench,drawer,ladder,window,door,closet,shower,refrigerator,oven,crib,bed,couch,table,bathtub,sink,boat,slide,hose,sprinkler,tree,clock,ball,balloon,pumpkin,egg,orange,apple,strawberry,hat,slipper,watch,nail,raisin,glasses,necklace,carrot,vacuum,broom,shovel,scissors,spoon,fork,knife,pencil,pen,crayon,plant,flower,soap,bottle,cup,can,belt,radio,basket,milk,jar,bucket,tape,bowl,plate,corn,pickle,banana,melon,bread,cookie,cracker,pizza,hamburger,muffin,meat,soup,glass,coffee,dish,tray,box,book,paper,comb,toothbrush,gum,toy,doll,mitten,glove,sock,shoe,purse,pillow,towel,napkin,blanket,dress,pajamas,bib,scarf,coat,jacket,sweater,shirt,jeans,pants,shorts
horse,0.0,0.4273732900619507,0.48363208770751953,0.8379364013671875,0.7129290103912354,0.5891462564468384,0.6564235687255859,0.7522586584091187,0.6976417303085327,0.707144021987915,0.43918800354003906,1.0256986618041992,1.1146903038024902,1.1529074907302856,1.1670573949813843,1.1912662982940674,1.1109811067581177,1.1793655157089233,1.2311588525772095,1.2060037851333618,1.212996482849121,1.1103167533874512,1.1903409957885742,0.8438839316368103,0.9072296023368835,0.9034025073051453,0.9295030236244202,0.9259482026100159,1.0718885660171509,1.0753397941589355,1.1172866821289062,0.963583767414093,1.1064037084579468,1.0271788835525513,1.0035514831542969,1.0586351156234741,1.0558807849884033,1.0930558443069458,0.9145993590354919,1.0142701864242554,1.0543529987335205,0.9826128482818604,1.0912156105041504,1.1275147199630737,0.9304090738296509,1.0534688234329224,1.0179998874664307,0.9823923707008362,0.9507570862770081,0.9391469359397888,1.0306519269943237,1.0630154609680176,0.9655822515487671,1.0440815687179565,1.0228302478790283,1.0536342859268188,1.0129551887512207,1.0712616443634033,1.1488027572631836,1.174401044845581,1.1654226779937744,1.164008378982544,1.1985232830047607,1.1940425634384155,1.2217833995819092,1.0587255954742432,1.043449878692627,1.1138056516647339,0.9909113645553589,1.0986112356185913,1.0512630939483643,1.166127324104309,1.0983030796051025,1.0604559183120728,1.1174204349517822,0.8279502391815186,0.8757314682006836,1.0844577550888062,1.048256516456604,1.0908946990966797,1.0819615125656128,1.1465282440185547,0.9994718432426453,1.046035647392273,1.0500249862670898,0.926344633102417,1.0306811332702637,1.004211187362671,1.1260085105895996,1.0615670680999756,1.1452417373657227,1.2262853384017944,1.1560382843017578,1.1614296436309814,1.181577444076538,1.0308562517166138,1.1153340339660645,0.9494141936302185,0.9493312835693359,0.9592628479003906,0.9083906412124634,1.0202444791793823,0.9810776114463806,0.976834774017334,1.0921810865402222,1.0313884019851685,1.0023144483566284,0.8667510151863098,0.9203187823295593,1.1379890441894531,1.2298192977905273,1.086029052734375,0.8883295059204102,0.7231894731521606,1.1453408002853394,1.0467567443847656,1.185107946395874,1.0202465057373047,1.0761775970458984,1.0987956523895264,1.0940302610397339,1.1305010318756104,1.0361664295196533,1.0927306413650513,1.0804469585418701,1.1417298316955566,1.119943380355835,0.9922922849655151,1.0232479572296143,1.0425843000411987,1.0685653686523438,1.1054377555847168,1.0769598484039307,1.1402645111083984
rooster,0.4273732900619507,0.0,0.2947036027908325,0.8231239318847656,0.7347441911697388,0.4608553647994995,0.4362889528274536,0.4763450622558594,0.7291814088821411,0.5372993350028992,0.36518096923828125,0.7935508489608765,0.8202154636383057,0.886888325214386,0.8415740132331848,1.1609710454940796,0.9050340056419373,1.168135166168213,1.0889695882797241,1.114479899406433,1.143675446510315,0.8984614610671997,0.9909074306488037,0.9573304057121277,0.9855635166168213,0.9873743653297424,0.9953086376190186,1.2445764541625977,1.1624619960784912,1.046804666519165,1.1046806573867798,1.0927118062973022,1.115721344947815,1.0648616552352905,0.9591941237449646,1.0654799938201904,1.0857739448547363,1.1392812728881836,0.916874349117279,0.9643446803092957,1.081676959991455,0.907329261302948,1.0043107271194458,1.0734872817993164,0.8326324820518494,1.041993498802185,0.9132586121559143,0.8742558360099792,0.9133697748184204,1.2082537412643433,1.1222515106201172,1.1504757404327393,0.9586057662963867,1.0925551652908325,1.025132417678833,1.048455834388733,1.0316654443740845,1.1525874137878418,1.1993045806884766,1.2514913082122803,1.1933658123016357,1.0898470878601074,1.136383295059204,1.1429870128631592,1.0183433294296265,1.2151154279708862,1.224642276763916,1.1728187799453735,0.9835529327392578,1.233115553855896,1.14762282371521,1.2113806009292603,1.2831214666366577,1.2704123258590698,1.2929573059082031,1.0619696378707886,0.9957894086837769,1.2450989484786987,1.3035902976989746,1.3266490697860718,1.3784842491149902,1.271873950958252,1.251423954963684,1.272383689880371,0.986355185508728,1.1666898727416992,1.326195240020752,1.2147269248962402,1.3422136306762695,1.2043336629867554,1.0506263971328735,1.0019909143447876,0.9148653745651245,0.856306254863739,0.9369872808456421,0.8932771682739258,0.723298966884613,0.7207251787185669,0.7741535902023315,0.6061403751373291,0.5494444370269775,0.9016192555427551,0.7312023043632507,0.9752842783927917,0.9080379009246826,0.9691651463508606,1.0719510316848755,0.9398672580718994,0.9580488801002502,0.9875534176826477,1.0323569774627686,0.9361857771873474,1.077848196029663,0.6453683376312256,0.7980126142501831,0.9339668154716492,1.1436775922775269,0.9939887523651123,0.9943406581878662,1.2958059310913086,1.3785490989685059,1.3766627311706543,0.957265317440033,0.8485104441642761,0.9112924337387085,0.8984646797180176,0.8591294288635254,0.8823603391647339,0.9324690103530884,0.9036861658096313,0.8756475448608398,0.9404755234718323,0.9045840501785278,0.9758049249649048
bird,0.48363208770751953,0.2947036027908325,0.0,0.6861344575881958,0.6334477066993713,0.4131542444229126,0.4615933299064636,0.4623866677284241,0.7358167171478271,0.51948082447052,0.42498987913131714,0.8922966718673706,0.9478992223739624,1.038948893547058,1.0699896812438965,1.2044432163238525,0.9843007922172546,1.1948012113571167,1.2416272163391113,1.2227126359939575,1.1755132675170898,1.057769775390625,1.1690948009490967,0.871074914932251,0.8318511247634888,0.9041734933853149,0.8196853399276733,1.0568034648895264,1.129231572151184,1.0615211725234985,1.060093879699707,1.0271050930023193,1.0619176626205444,1.0711830854415894,0.9804142117500305,1.0606892108917236,1.06371009349823,1.1214981079101562,0.8645016551017761,0.9922145009040833,1.057686448097229,0.9499033689498901,1.0092400312423706,1.0623745918273926,0.753555178642273,0.9944778084754944,0.9783377051353455,0.921245276927948,0.8705748915672302,1.028489112854004,1.0766065120697021,1.115073323249817,1.0259369611740112,1.061718225479126,1.0606931447982788,1.0936057567596436,1.1470470428466797,1.0720536708831787,1.1305136680603027,1.2132543325424194,1.2012073993682861,1.1927837133407593,1.1473146677017212,1.2106072902679443,1.177397608757019,1.1060614585876465,1.1153696775436401,1.1088610887527466,0.8911787867546082,1.0941064357757568,1.005232334136963,1.1054463386535645,1.1234031915664673,1.0911643505096436,1.152292251586914,0.961433470249176,0.8746181726455688,1.1514108180999756,1.1482661962509155,1.1884573698043823,1.2192234992980957,1.1761231422424316,1.0796544551849365,1.1030546426773071,0.9310947060585022,1.0832539796829224,1.1558432579040527,1.0766476392745972,1.1609711647033691,1.0449495315551758,1.0115412473678589,1.1048390865325928,0.9454306960105896,0.9537054300308228,1.0740349292755127,0.9592512249946594,0.8452830910682678,0.7401517033576965,0.7522917985916138,0.7710553407669067,0.7329574823379517,0.9257590770721436,0.8141508102416992,1.08717942237854,0.9642679691314697,0.970642626285553,0.9982271790504456,0.8788644075393677,0.9239907264709473,1.0123047828674316,1.0832860469818115,0.991322934627533,0.9471648931503296,0.747576117515564,0.9343442320823669,0.8703228831291199,1.1202654838562012,0.9449644088745117,1.0596520900726318,1.1221287250518799,1.1852474212646484,1.1875792741775513,0.9800422787666321,1.015002727508545,0.9953141808509827,0.9949746131896973,0.9765579700469971,0.8887109160423279,0.9327836632728577,0.9517033100128174,0.9552404880523682,1.0061113834381104,1.0283713340759277,1.0823334455490112
fish,0.8379364013671875,0.8231239318847656,0.6861344575881958,0.0,0.4427088499069214,0.48460423946380615,0.9593614339828491,0.9757858514785767,1.1778192520141602,0.9917950630187988,0.9644834995269775,1.2312880754470825,1.1990830898284912,1.3792887926101685,1.2485514879226685,0.7313382625579834,0.7575833797454834,0.7995808124542236,0.774014413356781,0.6611985564231873,0.5359808802604675,0.8363090753555298,0.888667106628418,1.1875745058059692,1.2739700078964233,1.1425251960754395,0.8522168397903442,0.6585818529129028,0.9974665641784668,1.0960546731948853,0.9455667734146118,1.1013028621673584,1.1104148626327515,1.1382474899291992,1.4256561994552612,1.4410293102264404,1.3033450841903687,1.1467877626419067,1.2679704427719116,1.3543716669082642,1.083069086074829,1.4759368896484375,1.3682588338851929,1.1024019718170166,1.3704735040664673,1.382806420326233,1.3239315748214722,0.8558857440948486,1.124233603477478,0.7447893619537354,0.7379781007766724,0.5492437481880188,0.8556323051452637,0.6238328218460083,0.6098909974098206,0.5696099996566772,0.5825321674346924,0.5768632888793945,0.46441274881362915,0.5680093765258789,0.560530960559845,0.6405701041221619,0.581976056098938,0.7405939102172852,0.6095036268234253,0.8719773292541504,0.7038891911506653,0.562125563621521,0.8350821137428284,0.3885164260864258,0.48290932178497314,0.5151657462120056,0.4086090326309204,0.44212424755096436,0.36639612913131714,0.8013964891433716,0.8165501356124878,0.4224253296852112,0.5734712481498718,0.5616676807403564,0.6769336462020874,0.4586397409439087,0.7517147064208984,0.8015660047531128,1.24038827419281,0.7843164801597595,0.733568549156189,0.6666494011878967,0.6251646876335144,0.5863338708877563,0.8560749292373657,0.7477107048034668,0.8198150396347046,1.1810134649276733,0.6652995347976685,0.7865605354309082,0.8797340393066406,1.0496472120285034,0.8319671154022217,0.9759407639503479,1.0705158710479736,0.9728513956069946,1.3765525817871094,0.8834785223007202,1.224278211593628,1.3322358131408691,1.2009330987930298,1.0110951662063599,1.2138563394546509,0.9790107011795044,1.107764482498169,0.6658340692520142,0.6733787059783936,0.9587446451187134,1.2590069770812988,0.7458112239837646,1.058225154876709,0.9486294984817505,1.351227045059204,0.41902291774749756,0.6632329225540161,0.6202602982521057,1.2972412109375,1.2989948987960815,1.446691870689392,1.4669448137283325,1.3546473979949951,1.305699110031128,1.3867915868759155,1.391730546951294,1.3787039518356323,1.2734792232513428,1.2472716569900513,1.0357335805892944
butterfly,0.7129290103912354,0.7347441911697388,0.6334477066993713,0.4427088499069214,0.0,0.409263014793396,0.8330292105674744,0.9376346468925476,1.1087688207626343,1.0166672468185425,0.9116454720497131,1.1079379320144653,1.1172943115234375,1.2919702529907227,1.1891467571258545,1.0402343273162842,0.9389556050300598,0.9370921850204468,0.9477090239524841,0.9142652750015259,0.866857647895813,0.8938255906105042,1.0355409383773804,1.0326937437057495,1.0873117446899414,1.039612054824829,0.9011439085006714,0.657369077205658,1.097338080406189,1.1846144199371338,0.948914647102356,1.0815343856811523,1.0735952854156494,1.0426971912384033,1.2260910272598267,1.2978838682174683,1.194690465927124,1.1095620393753052,1.1737093925476074,1.248274326324463,1.137911081314087,1.2596368789672852,1.227654218673706,1.1048234701156616,1.1769596338272095,1.3007581233978271,1.1314069032669067,0.9311820268630981,1.0569489002227783,0.7953541278839111,0.8524518609046936,0.7584822773933411,0.8742077350616455,0.8349812030792236,0.8066675662994385,0.7959291338920593,0.6881502866744995,0.7129051685333252,0.7632836699485779,0.785838782787323,0.8485226631164551,0.7927287817001343,0.8327153325080872,0.8650902509689331,0.8645626306533813,0.8931949138641357,0.9246557354927063,0.7301011085510254,0.6919888854026794,0.6496145129203796,0.6538899540901184,0.7716454267501831,0.709210991859436,0.6877819299697876,0.6991180181503296,0.7545115351676941,0.7539955377578735,0.7662999629974365,0.8159048557281494,0.8378820419311523,0.89723140001297,0.7833377122879028,0.811103105545044,0.8925694227218628,1.0900743007659912,0.8497943878173828,0.8819066286087036,0.7782716155052185,0.8992193937301636,0.7722018957138062,1.0634342432022095,0.9796665906906128,0.9845759868621826,1.1782002449035645,0.9703112840652466,0.8706204295158386,1.0137895345687866,1.0439143180847168,0.8693662881851196,0.9579227566719055,1.0182148218154907,1.0256949663162231,1.1744318008422852,0.9827688932418823,1.0893663167953491,1.156849980354309,1.0748813152313232,0.8913857340812683,1.0009636878967285,1.0714292526245117,1.0962830781936646,0.7983496785163879,0.7016662955284119,0.7955971956253052,1.1813453435897827,0.8050549030303955,1.0908632278442383,0.9081094861030579,1.1633009910583496,0.8105968236923218,0.8799705505371094,0.876848578453064,1.235267162322998,1.2436398267745972,1.2905352115631104,1.2755649089813232,1.2344584465026855,1.1831798553466797,1.1937862634658813,1.2254431247711182,1.2482458353042603,1.2239696979522705,1.218721866607666,1.1136844158172607
frog,0.5891462564468384,0.4608553647994995,0.4131542444229126,0.48460423946380615,0.409263014793396,0.0,0.4330770969390869,0.6724082231521606,1.011888027191162,0.8759192824363708,0.6358317136764526,0.961132824420929,1.0391260385513306,1.1699576377868652,1.0377929210662842,1.2600542306900024,0.9004414677619934,1.1394394636154175,1.081618070602417,1.082851767539978,1.0388253927230835,0.9793768525123596,1.1463720798492432,0.8387832641601562,1.0251210927963257,1.0321252346038818,0.9123873710632324,1.0162416696548462,1.2196449041366577,1.14788818359375,1.0954246520996094,1.193873643875122,1.2303617000579834,1.2321298122406006,1.238893747329712,1.3232975006103516,1.3281604051589966,1.271277666091919,1.1235262155532837,1.096325397491455,1.1119341850280762,1.0787070989608765,1.0963618755340576,1.1134346723556519,0.9689919352531433,1.0353180170059204,1.014929175376892,0.9453853964805603,1.0058112144470215,0.9510203003883362,0.8684040307998657,0.899241030216217,0.8310034275054932,0.9273239970207214,0.8433946967124939,0.8067227602005005,0.8004021644592285,0.8691204786300659,0.9799578189849854,1.0971894264221191,1.0876274108886719,1.0191377401351929,1.0497709512710571,1.1056721210479736,0.9489239454269409,1.1752159595489502,1.190730333328247,1.0080115795135498,0.7235928177833557,0.926419734954834,0.9178647398948669,1.0186303853988647,0.9465246796607971,0.9426255226135254,0.9356697201728821,0.8841763734817505,0.7622493505477905,0.9591084718704224,1.0562255382537842,1.0701645612716675,1.2418909072875977,1.075942039489746,1.0028564929962158,1.028393030166626,0.9250289797782898,1.0600626468658447,1.0769702196121216,0.8496530055999756,1.061241865158081,0.7980169653892517,0.8324313163757324,0.8046244382858276,0.6663439869880676,0.786738932132721,0.9020257592201233,0.695214033126831,0.7725019454956055,0.7228187918663025,0.6113331317901611,0.7273496389389038,0.8008432984352112,0.7497468590736389,0.9761825203895569,1.0319526195526123,0.8836431503295898,0.8971265554428101,0.9499871730804443,0.7060505151748657,0.8799060583114624,1.1314990520477295,1.0299646854400635,0.6142534017562866,0.573134183883667,0.49806535243988037,0.8519548177719116,0.7705072164535522,1.0764458179473877,0.9184162616729736,1.1101821660995483,1.0152150392532349,1.1438169479370117,1.1432766914367676,1.0392825603485107,1.1622281074523926,1.1161830425262451,1.0193355083465576,1.027984380722046,1.0761469602584839,1.057360291481018,1.1223115921020508,1.1081594228744507,1.1575361490249634,1.2086687088012695,1.1652135848999023
alligator,0.6564235687255859,0.4362889528274536,0.4615933299064636,0.9593614339828491,0.8330292105674744,0.4330770969390869,0.0,0.4715249538421631,0.528998613357544,0.5658227205276489,0.570569634437561,0.6984468698501587,0.7926749587059021,0.5903609991073608,0.7604274749755859,1.2880969047546387,0.9504051804542542,1.3484383821487427,1.2603870630264282,1.3579108715057373,1.2945301532745361,1.1687873601913452,1.286315679550171,0.8479076623916626,0.8121651411056519,0.7960686087608337,0.9296348094940186,1.3982563018798828,1.098486304283142,0.865519106388092,1.0717412233352661,1.1751079559326172,1.0777397155761719,1.1609323024749756,0.8471860289573669,0.8964159488677979,1.0290319919586182,1.1268268823623657,0.7510309219360352,0.5287578701972961,0.8662303686141968,0.554680585861206,0.632457435131073,0.9006796479225159,0.5135899782180786,0.5835663080215454,0.597934901714325,0.9474233984947205,0.7458559274673462,1.3175709247589111,1.3065675497055054,1.3711169958114624,1.1636409759521484,1.3562076091766357,1.299193263053894,1.3035693168640137,1.3130993843078613,1.3758985996246338,1.4025163650512695,1.4674599170684814,1.4421014785766602,1.3693057298660278,1.3113243579864502,1.2569551467895508,1.1783859729766846,1.1751855611801147,1.3313305377960205,1.3425092697143555,0.8028367757797241,1.40362548828125,1.2203890085220337,1.1988939046859741,1.3324863910675049,1.3106848001480103,1.3985750675201416,1.159857988357544,1.0612635612487793,1.4907450675964355,1.4908733367919922,1.53190016746521,1.5440136194229126,1.3329687118530273,1.362360954284668,1.3290727138519287,0.8480123281478882,1.4311290979385376,1.5006824731826782,1.4090549945831299,1.4301528930664062,1.1603779792785645,0.9236617088317871,0.9133268594741821,0.7625476121902466,0.7065110206604004,1.1434242725372314,1.0140143632888794,0.6655261516571045,0.4297977685928345,0.6955182552337646,0.7346152067184448,0.5578055381774902,0.7769467234611511,0.5763274431228638,1.1063337326049805,0.8195340633392334,0.6488288044929504,0.8298996686935425,0.6000714302062988,0.6690574884414673,0.9914500713348389,0.8992884755134583,1.029468297958374,1.1914902925491333,0.7333948612213135,0.5785585045814514,0.9708058834075928,1.0743227005004883,1.0071271657943726,0.7625913023948669,1.3003063201904297,1.3892872333526611,1.4087674617767334,0.5155078172683716,0.7866724729537964,0.5514820218086243,0.5029138326644897,0.5477994680404663,0.6429093480110168,0.46792304515838623,0.5399329662322998,0.5598901510238647,0.6134768724441528,0.7235293388366699,0.8806915283203125
owl,0.7522586584091187,0.4763450622558594,0.4623866677284241,0.9757858514785767,0.9376346468925476,0.6724082231521606,0.4715249538421631,0.0,0.5246847867965698,0.36297786235809326,0.3593190908432007,0.7572109699249268,0.778133749961853,0.7932628393173218,0.8881523013114929,1.226787805557251,0.9516339898109436,1.2792558670043945,1.238991141319275,1.266953468322754,1.2146880626678467,1.09298837184906,1.1294254064559937,1.0493355989456177,0.8578242063522339,0.9038194417953491,0.8773122429847717,1.2283687591552734,1.1642388105392456,0.9517827033996582,1.0844820737838745,1.1876435279846191,0.9841329455375671,1.0945842266082764,0.8408838510513306,0.9007993936538696,0.9905602931976318,1.1115987300872803,0.8008973598480225,0.716381311416626,0.9318675994873047,0.7686008214950562,0.7997767925262451,0.9821532964706421,0.6784927845001221,0.7928438186645508,0.8370546102523804,0.985132098197937,0.7714675068855286,1.0244797468185425,1.0960818529129028,1.2197990417480469,1.1126543283462524,1.1383860111236572,1.2153830528259277,1.2214604616165161,1.2890697717666626,1.2055584192276,1.2730889320373535,1.3051788806915283,1.238284945487976,1.1772422790527344,1.1769449710845947,1.2232136726379395,1.209756851196289,1.2368327379226685,1.2106746435165405,1.337140440940857,1.0496387481689453,1.309281349182129,1.1715574264526367,1.2233620882034302,1.2935404777526855,1.2614080905914307,1.3489010334014893,1.0776582956314087,0.6766331195831299,1.3062667846679688,1.3591526746749878,1.3730807304382324,1.3763608932495117,1.2911193370819092,1.2983591556549072,1.2049880027770996,0.9145064353942871,1.322173833847046,1.3914427757263184,1.275806188583374,1.2859747409820557,1.1413438320159912,0.9934325218200684,1.041749358177185,0.9659866690635681,0.8131523132324219,1.025102138519287,0.9295584559440613,0.7284467220306396,0.659518301486969,0.7208361029624939,0.6372603178024292,0.625691294670105,0.8857482075691223,0.6774690747261047,1.0758333206176758,0.9332825541496277,0.8952582478523254,1.0807689428329468,0.998600959777832,0.9070755243301392,0.9182916283607483,1.0204426050186157,1.1428180932998657,1.2332605123519897,0.8339425325393677,0.720818042755127,0.986461341381073,1.0667707920074463,1.0439739227294922,1.0069231986999512,1.1927998065948486,1.3166770935058594,1.3381558656692505,0.701858401298523,0.8735941648483276,0.7453839778900146,0.7584410905838013,0.7237117290496826,0.7519018650054932,0.7215121388435364,0.732895016670227,0.7575817704200745,0.8151995539665222,0.8731536865234375,0.9749473333358765
elephant,0.6976417303085327,0.7291814088821411,0.7358167171478271,1.1778192520141602,1.1087688207626343,1.011888027191162,0.528998613357544,0.5246847867965698,0.0,0.3206077814102173,0.6203403472900391,0.7997304201126099,0.8731611967086792,0.5425720810890198,0.8198422193527222,1.0925378799438477,1.0375006198883057,1.1950061321258545,1.1645469665527344,1.2407275438308716,1.2309150695800781,1.1269524097442627,1.1523284912109375,1.0435470342636108,0.6678934097290039,0.7510221004486084,0.8311384320259094,1.266319751739502,1.076549768447876,0.9417453408241272,1.1331963539123535,1.1776095628738403,0.8976539373397827,1.0038437843322754,0.66501784324646,0.5958592295646667,0.7563920021057129,0.9830711483955383,0.7492316961288452,0.5264115929603577,0.902103841304779,0.6732803583145142,0.6088811755180359,0.8958047032356262,0.6205019354820251,0.6342259645462036,0.7337945699691772,1.0235573053359985,0.7266984581947327,1.1871039867401123,1.2364357709884644,1.3001526594161987,1.2111960649490356,1.2545300722122192,1.3490732908248901,1.3169910907745361,1.4098635911941528,1.373298168182373,1.3424041271209717,1.327597975730896,1.2752729654312134,1.304323434829712,1.2248382568359375,1.1872707605361938,1.2705702781677246,1.115024447441101,1.1794638633728027,1.3637768030166626,1.0515106916427612,1.3399018049240112,1.2849445343017578,1.2059378623962402,1.3423113822937012,1.3023185729980469,1.3910750150680542,1.147026777267456,1.0908106565475464,1.4197101593017578,1.362579584121704,1.4078092575073242,1.3211901187896729,1.2331843376159668,1.332364559173584,1.347411870956421,0.9303600788116455,1.3205411434173584,1.4156379699707031,1.4314682483673096,1.3560519218444824,1.2539154291152954,1.0877009630203247,1.1681532859802246,1.0872735977172852,0.9227418303489685,1.2384581565856934,1.222334384918213,0.968454122543335,0.7727170586585999,1.0123203992843628,0.9823882579803467,0.7886788845062256,1.0284026861190796,0.6149298548698425,1.211012363433838,1.0177977085113525,0.8823326826095581,1.1332988739013672,1.0523977279663086,0.9163896441459656,1.0048154592514038,1.0282304286956787,1.3386287689208984,1.4354833364486694,1.054661512374878,0.7484253644943237,1.0167614221572876,1.0260004997253418,1.1025757789611816,0.8730120658874512,1.2039204835891724,1.2439075708389282,1.2956117391586304,0.5192676186561584,0.7677139043807983,0.5027214884757996,0.6183525323867798,0.5720269083976746,0.4901440143585205,0.42704451084136963,0.4249676465988159,0.5285674333572388,0.5089337229728699,0.6045165061950684,0.7374514937400818
cat,0.707144021987915,0.5372993350028992,0.51948082447052,0.9917950630187988,1.0166672468185425,0.8759192824363708,0.5658227205276489,0.36297786235809326,0.3206077814102173,0.0,0.3641166687011719,0.7867491245269775,0.7602720856666565,0.6952832937240601,0.8681824803352356,1.006213903427124,0.9871059656143188,1.1820480823516846,1.1825332641601562,1.196427583694458,1.1461418867111206,1.0728486776351929,1.0999555587768555,1.0753037929534912,0.7382769584655762,0.8462511301040649,0.7538400888442993,1.211264729499817,1.0100878477096558,0.8853779435157776,1.0518771409988403,1.1048933267593384,0.8720281720161438,0.927615761756897,0.7106927633285522,0.7054301500320435,0.7615172863006592,0.932208776473999,0.7249164581298828,0.612382709980011,0.8572303652763367,0.750481367111206,0.751348614692688,0.9575346112251282,0.6694182753562927,0.8123589158058167,0.8418664932250977,1.003696084022522,0.8188012838363647,1.2030612230300903,1.2705180644989014,1.2727636098861694,1.2627897262573242,1.2658050060272217,1.3003079891204834,1.2935407161712646,1.3919380903244019,1.210782527923584,1.2230579853057861,1.2294514179229736,1.1947531700134277,1.1806129217147827,1.0637751817703247,1.1146767139434814,1.1690318584442139,1.0623974800109863,1.052997350692749,1.256169319152832,1.0385808944702148,1.2275810241699219,1.1707005500793457,1.0675312280654907,1.2494372129440308,1.2093513011932373,1.298668384552002,1.1176738739013672,1.0672290325164795,1.3307828903198242,1.2935035228729248,1.3459622859954834,1.2031974792480469,1.1126151084899902,1.2481235265731812,1.2916696071624756,1.0277721881866455,1.2616575956344604,1.3592950105667114,1.4115357398986816,1.31205415725708,1.2569141387939453,1.074316143989563,1.0709154605865479,1.1102136373519897,0.985661506652832,1.1059184074401855,1.1848300695419312,0.8190730810165405,0.7284073829650879,0.9363342523574829,0.8774756193161011,0.7127196192741394,1.1068527698516846,0.6782881021499634,1.1218246221542358,1.0888378620147705,1.0177165269851685,1.1501390933990479,1.0960583686828613,0.9955946803092957,0.9422332048416138,1.099381685256958,1.298433542251587,1.3986999988555908,0.9577434062957764,0.8222413659095764,1.0133469104766846,1.1482571363449097,1.0998036861419678,0.9775983095169067,1.0643926858901978,1.1515612602233887,1.184622049331665,0.6015959978103638,0.8126624822616577,0.6183433532714844,0.7519028186798096,0.688684344291687,0.5624863505363464,0.5944163799285889,0.5542336702346802,0.6282906532287598,0.5992660522460938,0.6573508977890015,0.7284133434295654
