,elephant,zebra,giraffe,deer,horse,pony,pig,bear,dog,cat,owl,fish,frog,alligator,butterfly,penguin,rooster,bird,duck,ear,nose,eye,tooth,mouth,face,hair,leg,arm,hand,finger,toe,ankle,foot,lamp,drawer,bench,chair,ladder,table,couch,bed,crib,window,door,closet,refrigerator,oven,sink,bathtub,shower,stroller,tricycle,motorcycle,car,truck,firetruck,helicopter,sprinkler,hose,swing,slide,boat,tree,grass,snow,scarf,coat,jacket,sweater,shirt,bib,pajamas,dress,jeans,pants,shorts,slipper,shoe,sock,mitten,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,radio,vacuum,comb,stick,shovel,rock,hat,glasses,necklace,belt,watch,clock,scissors,fork,spoon,crayon,pencil,pen,knife,broom,mop,toothbrush,gum,balloon,ball,raisin,nail,potato,carrot,egg,orange,pumpkin,apple,strawberry,melon,pickle,banana,corn,flower,plant,cracker,toast,sandwich,chips,pasta,sauce,soup,applesauce,meat,pastry,pizza,muffin,cookie,bread,hamburger,plate,dish,bowl,tape,soap,milk,bottle,jar,glass,coffee,cup,bucket,can,cloud,game
owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,,,,,,,0.9604818820953369,,0.7584733963012695,,,0.0,0.9000332951545715,,,,,0.7036833763122559,,,1.0726056098937988,0.9523971676826477,0.924559473991394,1.0082881450653076,1.0496381521224976,1.013684868812561,1.0097355842590332,1.1069127321243286,1.0236098766326904,0.9010238647460938,0.9643601179122925,0.9990390539169312,0.9529739022254944,1.0637714862823486,0.9987115859985352,0.9935134649276733,1.0437973737716675,1.0320144891738892,1.0289862155914307,1.08915114402771,1.0790150165557861,1.0260652303695679,1.0889736413955688,1.0561048984527588,1.0830742120742798,1.127354383468628,1.0446796417236328,0.9571632146835327,0.9723276495933533,1.1153156757354736,1.1443394422531128,1.1674703359603882,0.9333001971244812,0.9037085771560669,1.0935379266738892,,,0.9297565221786499,1.010835886001587,1.0984171628952026,1.0853914022445679,,1.0659973621368408,0.9954469799995422,,,1.1421265602111816,1.005592703819275,,1.131433129310608,1.0744744539260864,1.1651982069015503,1.1805472373962402,0.9872900247573853,0.9970937967300415,1.0346288681030273,0.9728869199752808,0.9893226027488708,1.1445724964141846,1.156079649925232,1.0613011121749878,1.116196870803833,1.0483314990997314,1.1100378036499023,1.1338552236557007,1.1676058769226074,1.1861777305603027,1.093550443649292,1.124426245689392,1.0610624551773071,1.0369541645050049,1.0617824792861938,0.9638229608535767,0.7496013045310974,1.0464352369308472,1.0541753768920898,0.9186285734176636,0.9062061905860901,,1.0362310409545898,0.9093945026397705,0.8772754073143005,1.0183024406433105,,0.8159651756286621,0.8379087448120117,0.8741819858551025,0.8094598650932312,0.8459960222244263,1.0754873752593994,0.8282632231712341,0.8746163845062256,1.0489847660064697,1.080867052078247,1.0791738033294678,0.93363356590271,1.1321446895599365,1.1436350345611572,,0.8343443870544434,,0.8878259062767029,1.0095216035842896,1.0636684894561768,1.0439808368682861,0.9955860376358032,0.979138195514679,1.0586457252502441,0.6879664063453674,0.9476994872093201,,0.9364683628082275,0.9066917896270752,1.0867449045181274,,1.0186185836791992,1.0783026218414307,,,0.8499422073364258,,1.0832301378250122,,0.9520965814590454,1.0014034509658813,1.0672476291656494,0.9509856104850769,0.9817469716072083,1.1319812536239624,,1.084385871887207,0.9536387920379639,,,1.059920310974121,,0.9402095675468445,,1.031151533126831,1.0528481006622314,0.9759910106658936,,
frog,,,,,,,0.8186483383178711,,1.0241167545318604,,,0.9000332951545715,0.0,,,,,0.8289777040481567,,,0.9985801577568054,0.940880537033081,0.9634994864463806,1.0032737255096436,1.0074386596679688,1.0919618606567383,1.1048054695129395,0.9786030650138855,0.9218886494636536,0.9005349278450012,0.8841601014137268,0.9746314287185669,0.9379826784133911,1.1526325941085815,1.2023158073425293,1.1633515357971191,1.2318543195724487,1.1057512760162354,1.1992888450622559,1.1324925422668457,1.1403849124908447,1.0752171277999878,1.1861826181411743,1.180820345878601,1.186851143836975,1.188870906829834,1.215083122253418,1.158528447151184,1.0878136157989502,1.131969690322876,1.0605378150939941,1.0115296840667725,1.079423427581787,0.95313960313797,0.9701850414276123,,,0.9358369708061218,0.927685022354126,1.0298289060592651,0.8584764003753662,,1.0511488914489746,0.9324743151664734,,,1.0251301527023315,0.9933479428291321,,1.1141822338104248,1.1083996295928955,1.1268832683563232,1.103244662284851,1.0697077512741089,1.107694149017334,1.0712672472000122,0.9521403312683105,1.0519518852233887,0.9273340702056885,0.9003021717071533,0.8668558597564697,1.0744322538375854,1.0341168642044067,1.0715998411178589,0.948900580406189,0.9384642839431763,0.8241817951202393,0.9910920858383179,1.0860272645950317,1.0996119976043701,1.0806533098220825,1.0132989883422852,1.2478643655776978,0.925912618637085,1.0952966213226318,0.995958149433136,0.8598595857620239,1.0626519918441772,,0.939584493637085,0.9270932674407959,1.073598861694336,1.1307283639907837,,0.9358043074607849,0.9505676031112671,0.968392550945282,0.994964599609375,0.6875636577606201,0.8527892231941223,0.9046738147735596,0.9836339950561523,1.0200390815734863,1.0055642127990723,0.9295963048934937,0.7650710344314575,0.8596053719520569,0.7807048559188843,,0.9009010791778564,,0.6556370258331299,0.842370867729187,0.8108705282211304,0.8023349046707153,0.7086180448532104,0.8407036662101746,0.7780250906944275,0.7167123556137085,0.7247644662857056,,0.9275972843170166,0.7838084101676941,0.7702784538269043,,0.9035489559173584,0.9711211919784546,,,0.864510178565979,,0.9302822351455688,,0.8757147192955017,0.8168538212776184,0.9032179117202759,0.7509160041809082,0.8254718780517578,0.8865451812744141,,1.0082229375839233,0.8441977500915527,,,0.9117165803909302,,1.0268001556396484,,0.9407345056533813,0.9843688011169434,1.1269969940185547,,
alligator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butterfly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penguin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rooster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,,,,,,,0.8246117234230042,,1.0433152914047241,,,0.7036833763122559,0.8289777040481567,,,,,0.0,,,1.0620170831680298,0.8934431672096252,1.0084980726242065,1.0279475450515747,1.0352139472961426,1.1009691953659058,1.1116106510162354,1.1266207695007324,1.0868124961853027,1.041298747062683,1.0295608043670654,1.0203789472579956,0.9768210053443909,0.9568754434585571,1.0536097288131714,1.099012851715088,1.0960572957992554,1.0080881118774414,1.1286892890930176,1.1394423246383667,1.1876591444015503,1.0525966882705688,1.0596177577972412,1.1523281335830688,1.2024908065795898,1.141670823097229,1.0949950218200684,1.137387990951538,1.1717402935028076,1.1173043251037598,1.0832371711730957,1.0093157291412354,1.024117112159729,0.9462049603462219,1.027661919593811,,,1.0853948593139648,1.11557137966156,1.0960509777069092,1.1273936033248901,,0.9993497133255005,1.0863534212112427,,,1.0477805137634277,1.1204622983932495,,1.133710265159607,1.1238523721694946,1.1958765983581543,1.0769237279891968,1.068729281425476,1.10944664478302,1.0896859169006348,0.8758254051208496,0.9158110022544861,0.9818322658538818,1.0750336647033691,1.0284940004348755,1.1636358499526978,1.0247093439102173,1.0757099390029907,1.0308068990707397,1.0271718502044678,1.0585260391235352,1.076471209526062,1.1027230024337769,0.9294002056121826,0.9981476068496704,0.9340332746505737,1.1575274467468262,0.918742835521698,1.1002358198165894,1.0351158380508423,1.0227402448654175,1.0414643287658691,,0.8656815886497498,0.9448200464248657,0.974346399307251,1.0324524641036987,,0.8399340510368347,0.8791183233261108,0.9523207545280457,0.7803395390510559,0.9200401902198792,1.0181877613067627,0.9278743863105774,0.9356958866119385,1.1068843603134155,1.0722647905349731,1.0675383806228638,0.8293249011039734,0.9042631983757019,0.9315351843833923,,0.9884405732154846,,0.9283337593078613,0.89661705493927,0.8413023352622986,0.8313395977020264,0.8902815580368042,0.8686450719833374,1.0023761987686157,0.93463134765625,0.9484004974365234,,0.8906866312026978,0.8707588315010071,0.900791347026825,,0.9522922039031982,0.8522226810455322,,,0.8758001327514648,,1.027587890625,,0.9178282618522644,0.9090548753738403,0.8349785804748535,0.8417676091194153,0.9575586318969727,0.9386568665504456,,1.022132158279419,0.9646621942520142,,,0.9042019248008728,,1.0214794874191284,,0.8817877769470215,1.0206886529922485,1.0552865266799927,,
duck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
