subject_id,n_categories_total,n_categories_available,n_categories_missing,mean_distance,std_distance,min_distance,max_distance
00320001,163,152,11,0.9850277846931916,0.21831056332904158,0.023391366004943848,1.491145372390747
00820001,163,152,11,0.9934374397192305,0.21683440979704588,0.023038268089294434,1.4980781078338623
00560001,163,152,11,0.9805524967394129,0.21243576628521038,0.04702138900756836,1.4681090116500854
00370002,163,152,11,0.9883936174378997,0.21936951704603846,0.0419694185256958,1.4903178215026855
00510002,163,151,12,0.9805232245620628,0.2225358806455014,0.05352890491485596,1.510370135307312
00400002,163,151,12,0.9911675587865711,0.21357970074158386,0.0492323637008667,1.4654314517974854
00500001,163,150,13,0.9888497235033247,0.21805928115780432,0.0514371395111084,1.4837485551834106
00400001,163,148,15,0.9921004264741331,0.2161764856685356,0.020545005798339844,1.4867979288101196
00370001,163,148,15,0.9802639540461748,0.2062012014319478,0.022626161575317383,1.4319140911102295
00240001,163,147,16,0.981884891522676,0.2097923494992376,0.047605037689208984,1.4584159851074219
00430001,163,146,17,0.9827797222839867,0.2170446272737234,0.019598543643951416,1.4859042167663574
00320002,163,145,18,0.9928317389732025,0.21046423847324375,0.08622252941131592,1.4768903255462646
00320003,163,144,19,0.9900478311170491,0.21053471211530592,0.03884387016296387,1.492830514907837
00420001,163,143,20,0.973702921757308,0.21244817167192848,0.04755979776382446,1.485460877418518
00400003,163,143,20,0.9860495117522259,0.21708791342782502,0.03479248285293579,1.4664546251296997
00220001,163,143,20,0.9828303438088988,0.2102760642745333,0.07119470834732056,1.50126051902771
00510001,163,137,26,0.992083960834757,0.21295701492055016,0.06986343860626221,1.4817560911178589
00720001,163,128,35,0.9896400188226835,0.2111289875656921,0.06751072406768799,1.4617023468017578
00680001,163,125,38,0.9647371640396118,0.1970162244759364,0.03944462537765503,1.4780664443969727
00590001,163,125,38,0.9683300623779297,0.1995141354702983,0.11409378051757812,1.440319538116455
00360001,163,124,39,0.9866668233390157,0.2148354767679519,0.05161285400390625,1.4764550924301147
00490001,163,122,41,0.9883119122167007,0.21104434539904365,0.11135554313659668,1.5101604461669922
00230001,163,115,48,0.9899752349709293,0.2155591948702116,0.09609907865524292,1.4623820781707764
00390001,163,114,49,0.9809333005109983,0.20110917611276002,0.08329010009765625,1.4573125839233398
00440001,163,105,58,0.9690656803416557,0.20204479602811218,0.1425151228904724,1.4028294086456299
00460001,163,102,61,0.977547113870667,0.21392364287514093,0.09524017572402954,1.4014453887939453
00550001,163,100,63,0.9737307317733764,0.21193411210722427,0.02446901798248291,1.4483380317687988
00350002,163,83,80,0.9666750603930699,0.2060937392230567,0.03554832935333252,1.4222354888916016
00430002,163,67,96,0.9481612333185983,0.20341495274672763,0.13898062705993652,1.3616995811462402
00350001,163,62,101,0.9619730058185267,0.22241635639766408,0.0943341851234436,1.4245004653930664
00340002,163,56,107,0.942972172469813,0.23401063397055477,0.04307079315185547,1.3452836275100708
