,elephant,zebra,giraffe,deer,horse,pony,pig,bear,dog,cat,owl,fish,frog,alligator,butterfly,penguin,rooster,bird,duck,ear,nose,eye,tooth,mouth,face,hair,leg,arm,hand,finger,toe,ankle,foot,lamp,drawer,bench,chair,ladder,table,couch,bed,crib,window,door,closet,refrigerator,oven,sink,bathtub,shower,stroller,tricycle,motorcycle,car,truck,firetruck,helicopter,sprinkler,hose,swing,slide,boat,tree,grass,snow,scarf,coat,jacket,sweater,shirt,bib,pajamas,dress,jeans,pants,shorts,slipper,shoe,sock,mitten,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,radio,vacuum,comb,stick,shovel,rock,hat,glasses,necklace,belt,watch,clock,scissors,fork,spoon,crayon,pencil,pen,knife,broom,mop,toothbrush,gum,balloon,ball,raisin,nail,potato,carrot,egg,orange,pumpkin,apple,strawberry,melon,pickle,banana,corn,flower,plant,cracker,toast,sandwich,chips,pasta,sauce,soup,applesauce,meat,pastry,pizza,muffin,cookie,bread,hamburger,plate,dish,bowl,tape,soap,milk,bottle,jar,glass,coffee,cup,bucket,can,cloud,game
elephant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog,,,,,,,,,0.0,0.2386627197265625,,0.8569626808166504,0.8095768094062805,0.8908977508544922,0.9437294602394104,,,0.7976647615432739,,,1.0328434705734253,0.9829809665679932,,,0.9909370541572571,0.809974730014801,1.0836491584777832,0.9666627645492554,1.0454976558685303,1.1121283769607544,1.0295724868774414,,0.9228280782699585,1.034495234489441,1.1228750944137573,1.0542595386505127,0.86886066198349,,1.0358206033706665,0.7335463762283325,0.7721326351165771,0.8352153301239014,0.9740458130836487,0.9174550771713257,,0.9955836534500122,1.0187002420425415,1.065356731414795,1.0044511556625366,0.9885905981063843,0.7850935459136963,,0.9156543612480164,0.8324517011642456,,,,,0.8885450959205627,,0.7753121852874756,,,,1.0325465202331543,0.8076064586639404,,0.9692065715789795,0.8730989694595337,0.9214092493057251,0.9618610739707947,0.9012163877487183,0.8528702259063721,,0.8690141439437866,0.8964412808418274,0.9791911244392395,0.9709495306015015,0.9324209094047546,0.9965783357620239,0.8089380264282227,0.8938858509063721,0.79252028465271,0.95005863904953,1.008396863937378,0.8431806564331055,0.9954416155815125,1.1437362432479858,1.1400245428085327,1.029978632926941,1.0885056257247925,0.7840198874473572,0.974975049495697,,0.8023909330368042,0.9553069472312927,,0.93764728307724,,0.9567633271217346,1.055927038192749,1.1082197427749634,,,1.117165446281433,1.1310609579086304,0.9538264274597168,1.0086033344268799,1.09955894947052,1.113699197769165,1.060396671295166,1.0527273416519165,0.8087235689163208,,1.0875599384307861,1.106309413909912,1.074844479560852,0.9631041288375854,,,,0.9939566850662231,1.066315770149231,1.0276988744735718,0.9989687204360962,1.0352146625518799,1.030484914779663,1.0433967113494873,1.0493364334106445,1.0236170291900635,,0.9705580472946167,1.081533432006836,,,,,,,,1.0319082736968994,,,,,1.0402666330337524,1.0431417226791382,,1.109318733215332,1.1442798376083374,1.1123522520065308,0.9134160876274109,,,1.0626779794692993,,,,1.1246836185455322,1.0573228597640991,1.0454964637756348,,
cat,,,,,,,,,0.2386627197265625,0.0,,0.8156806826591492,0.7826385498046875,0.8825039863586426,0.9392678737640381,,,0.7125970721244812,,,0.9878383278846741,0.8957480192184448,,,0.9259028434753418,0.7977024912834167,1.0304546356201172,0.9648460745811462,0.994796097278595,1.0766738653182983,1.0135785341262817,,0.8642044067382812,0.950832188129425,1.0511555671691895,0.967720091342926,0.9462127685546875,,1.0556180477142334,0.7800430059432983,0.8156697154045105,0.9365389943122864,0.8712369799613953,0.919583261013031,,1.0468558073043823,1.0145344734191895,1.0413825511932373,0.9659032821655273,0.9887816905975342,0.9531118869781494,,0.9091697335243225,0.8649765849113464,,,,,0.9226693511009216,,0.7947308421134949,,,,0.9112403392791748,0.8558834791183472,,0.9581977128982544,0.9337748289108276,0.9873454570770264,1.0297454595565796,0.9469484090805054,0.8969744443893433,,0.9335149526596069,0.941611111164093,0.927188515663147,0.9794477820396423,0.8571479320526123,1.0203708410263062,0.7375673651695251,0.9107816815376282,0.7230240106582642,0.9123377203941345,0.9631186127662659,0.9148277044296265,1.0986605882644653,1.1623406410217285,1.0706936120986938,1.0792019367218018,1.0838347673416138,0.7919753789901733,1.0403022766113281,,0.9173870086669922,0.8696264624595642,,0.8504570126533508,,0.9067107439041138,0.930312991142273,1.063558578491211,,,1.1447131633758545,1.145925521850586,1.0127768516540527,1.0393040180206299,1.062711477279663,1.0626903772354126,1.065256118774414,1.0672577619552612,0.8812153339385986,,1.074336290359497,1.148541808128357,1.1396079063415527,1.030803918838501,,,,0.9831175208091736,1.0581016540527344,1.0402990579605103,1.049369215965271,1.0690596103668213,1.0564815998077393,1.0450546741485596,1.0305016040802002,1.0189696550369263,,1.0156810283660889,1.0652488470077515,,,,,,,,1.013472318649292,,,,,1.0574307441711426,0.9997121095657349,,1.0370559692382812,1.0742385387420654,1.100855827331543,0.9987782835960388,,,1.1300296783447266,,,,1.1262907981872559,1.1321855783462524,1.0619046688079834,,
owl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fish,,,,,,,,,0.8569626808166504,0.8156806826591492,,0.0,0.5907340049743652,0.9142643213272095,0.39039015769958496,,,0.23790735006332397,,,0.6183469295501709,0.5340272784233093,,,0.8838809728622437,0.9893937110900879,1.013221263885498,1.161026120185852,1.069252848625183,0.8970486521720886,0.7692594528198242,,1.116777777671814,0.6908977031707764,0.8467742204666138,1.0851002931594849,1.23125159740448,,1.0971554517745972,1.1375651359558105,1.1938737630844116,1.1701921224594116,0.8517240285873413,1.1032657623291016,,1.197221040725708,1.091234564781189,1.1737269163131714,1.1347479820251465,0.9967975616455078,1.1476261615753174,,1.0938044786453247,0.963209331035614,,,,,0.9542141556739807,,1.1524838209152222,,,,0.8551966547966003,1.0192419290542603,,1.1751927137374878,1.054965853691101,1.163923978805542,1.1930902004241943,1.2431358098983765,1.1201446056365967,,1.1756235361099243,1.0517417192459106,0.6803791522979736,0.8930965662002563,1.1001356840133667,1.1912975311279297,0.863231897354126,1.2163758277893066,1.0289353132247925,0.9840615391731262,0.8612284660339355,1.1556305885314941,1.170465111732483,1.1999304294586182,1.1214581727981567,1.1483068466186523,1.0708255767822266,1.084229826927185,1.1602604389190674,,1.1830060482025146,0.7946833968162537,,0.6151800155639648,,0.9780974984169006,0.722253143787384,1.0884637832641602,,,1.0434476137161255,1.0224345922470093,0.6497340202331543,0.7036895751953125,0.4557861089706421,0.7975105047225952,0.5506628751754761,0.9168674349784851,1.0006369352340698,,0.9016547799110413,0.9280999302864075,1.078015685081482,1.1504056453704834,,,,0.5813983678817749,0.9984461665153503,0.8319689631462097,0.5940373539924622,0.7378933429718018,0.8327481746673584,1.0184682607650757,0.6199856996536255,0.6225957870483398,,0.9578471183776855,1.2127399444580078,,,,,,,,0.5665681958198547,,,,,1.0470951795578003,0.6783288717269897,,0.7511863112449646,1.005292296409607,1.0366393327713013,0.9327352046966553,,,1.0095930099487305,,,,1.0674974918365479,1.2283899784088135,0.9640292525291443,,
