,hair,arm,hand,finger,toe,lamp,chair,table,couch,bed,window,shirt,bib,blanket,pillow,towel,napkin,toy,box,book,hat,crayon,ball,plant,plate,bowl,bottle,cup,bucket
hair,0.0,0.8213211297988892,0.7572939395904541,0.9268198609352112,0.8616426587104797,1.060012698173523,1.028926134109497,0.9388835430145264,0.830877423286438,0.8550575375556946,0.9300726652145386,0.6463152170181274,0.8152019381523132,0.8329935669898987,0.9699680805206299,1.1033244132995605,1.1869984865188599,1.0388221740722656,1.0684491395950317,0.9884448647499084,0.6852473020553589,1.1706655025482178,0.9875358939170837,0.9725760817527771,1.16860032081604,1.2384223937988281,1.1089959144592285,1.1523646116256714,1.2256479263305664
arm,0.8213211297988892,0.0,0.7497835159301758,0.9070270657539368,0.8592627048492432,1.0350054502487183,1.0381354093551636,0.9459971189498901,0.9353694915771484,0.8862102627754211,1.0283504724502563,0.6540267467498779,0.9240841865539551,0.9456315636634827,1.077386498451233,1.1930713653564453,1.0919902324676514,0.9669551253318787,0.7757571339607239,1.0076565742492676,1.050514817237854,1.1856235265731812,1.0252841711044312,1.0023713111877441,1.2249912023544312,1.1780831813812256,1.0175061225891113,1.0275951623916626,1.0673319101333618
hand,0.7572939395904541,0.7497835159301758,0.0,0.40737295150756836,0.5709675550460815,1.1523815393447876,1.0682042837142944,0.9445654153823853,0.983242928981781,1.0448096990585327,1.0930119752883911,0.7654653787612915,0.8460545539855957,0.9511598944664001,0.9900684952735901,1.194729208946228,1.0813006162643433,1.0326966047286987,0.9850969910621643,0.9583063721656799,0.8965864777565002,1.1540354490280151,0.8602100014686584,1.0536472797393799,1.0834990739822388,1.2034871578216553,1.070857048034668,1.0496666431427002,1.285097599029541
finger,0.9268198609352112,0.9070270657539368,0.40737295150756836,0.0,0.2804490327835083,1.0441031455993652,1.1408705711364746,1.2227853536605835,1.2627133131027222,1.3228638172149658,1.0815848112106323,1.0667822360992432,1.0842574834823608,1.2080285549163818,1.116537094116211,1.0151464939117432,0.9834073185920715,1.1668446063995361,1.1538654565811157,1.0531361103057861,0.9713117480278015,0.7120603919029236,0.8512827157974243,1.0646121501922607,0.9357045292854309,1.182929515838623,1.0102616548538208,0.927967369556427,1.1828750371932983
toe,0.8616426587104797,0.8592627048492432,0.5709675550460815,0.2804490327835083,0.0,1.1454675197601318,1.1554360389709473,1.2486199140548706,1.2202543020248413,1.3111333847045898,1.1480319499969482,1.0233782529830933,1.0723761320114136,1.1865174770355225,1.118521809577942,1.019203782081604,1.1090198755264282,1.1715872287750244,1.1653028726577759,1.108345627784729,0.9180523753166199,0.7690449953079224,0.961483895778656,1.0785901546478271,1.0058667659759521,1.2452380657196045,1.0433659553527832,0.9606776833534241,1.1624276638031006
lamp,1.060012698173523,1.0350054502487183,1.1523815393447876,1.0441031455993652,1.1454675197601318,0.0,0.9060023427009583,0.9725630879402161,1.058154821395874,0.9315121173858643,0.5603765249252319,1.1418696641921997,1.1118359565734863,1.0278067588806152,1.0586856603622437,0.970683217048645,0.9052292108535767,1.1015233993530273,1.1058878898620605,1.0485100746154785,1.1008474826812744,0.8835521936416626,1.023125171661377,0.8780087828636169,0.950059175491333,0.950053334236145,1.069618821144104,1.0229806900024414,1.0525100231170654
chair,1.028926134109497,1.0381354093551636,1.0682042837142944,1.1408705711364746,1.1554360389709473,0.9060023427009583,0.0,0.5347631573677063,0.4513622522354126,0.5321944355964661,0.7159407734870911,0.9412479400634766,0.9190366268157959,0.6866987347602844,0.5937623381614685,0.850405216217041,0.8033405542373657,0.933230996131897,0.702957272529602,0.8431940674781799,0.9801429510116577,1.1916499137878418,1.134474515914917,0.8371130228042603,1.0168397426605225,0.9934704899787903,0.9841481447219849,0.9621325135231018,0.8610333800315857
table,0.9388835430145264,0.9459971189498901,0.9445654153823853,1.2227853536605835,1.2486199140548706,0.9725630879402161,0.5347631573677063,0.0,0.605417013168335,0.6092760562896729,0.8704730272293091,0.7332051396369934,0.7863883972167969,0.7601324319839478,0.8655369281768799,1.1317640542984009,0.9175010919570923,0.9655719995498657,0.8441177606582642,0.8699823021888733,1.0664845705032349,1.2715439796447754,1.0638693571090698,0.9600459337234497,0.6878008842468262,0.9326914548873901,1.082342267036438,1.0843653678894043,1.091355323791504
couch,0.830877423286438,0.9353694915771484,0.983242928981781,1.2627133131027222,1.2202543020248413,1.058154821395874,0.4513622522354126,0.605417013168335,0.0,0.19862282276153564,0.7917498350143433,0.6813010573387146,0.7482035160064697,0.26800382137298584,0.37689900398254395,0.9246165752410889,0.9941313862800598,0.9642138481140137,0.8202707171440125,0.8579303026199341,0.9358351826667786,1.3536818027496338,1.117821216583252,0.8185959458351135,1.2329659461975098,1.0794084072113037,1.145348310470581,1.1615127325057983,1.1069624423980713
bed,0.8550575375556946,0.8862102627754211,1.0448096990585327,1.3228638172149658,1.3111333847045898,0.9315121173858643,0.5321944355964661,0.6092760562896729,0.19862282276153564,0.0,0.672450065612793,0.6662429571151733,0.8106555938720703,0.2881450653076172,0.4183502197265625,0.8713892102241516,0.8998746871948242,0.9901044368743896,0.8386568427085876,0.8936012983322144,1.049946665763855,1.3628766536712646,1.1288260221481323,0.8166565895080566,1.235093355178833,1.0463241338729858,1.199292540550232,1.2433313131332397,1.0852490663528442
