,elephant,zebra,giraffe,deer,horse,pony,pig,bear,dog,cat,owl,fish,frog,alligator,butterfly,penguin,rooster,bird,duck,ear,nose,eye,tooth,mouth,face,hair,leg,arm,hand,finger,toe,ankle,foot,lamp,drawer,bench,chair,ladder,table,couch,bed,crib,window,door,closet,refrigerator,oven,sink,bathtub,shower,stroller,tricycle,motorcycle,car,truck,firetruck,helicopter,sprinkler,hose,swing,slide,boat,tree,grass,snow,scarf,coat,jacket,sweater,shirt,bib,pajamas,dress,jeans,pants,shorts,slipper,shoe,sock,mitten,glove,blanket,pillow,towel,napkin,doll,toy,tray,box,book,paper,basket,purse,radio,vacuum,comb,stick,shovel,rock,hat,glasses,necklace,belt,watch,clock,scissors,fork,spoon,crayon,pencil,pen,knife,broom,mop,toothbrush,gum,balloon,ball,raisin,nail,potato,carrot,egg,orange,pumpkin,apple,strawberry,melon,pickle,banana,corn,flower,plant,cracker,toast,sandwich,chips,pasta,sauce,soup,applesauce,meat,pastry,pizza,muffin,cookie,bread,hamburger,plate,dish,bowl,tape,soap,milk,bottle,jar,glass,coffee,cup,bucket,can,cloud,game
elephant,0.0,,,,,,,,0.7812204360961914,0.8551732301712036,,0.8809230327606201,0.9828146696090698,,,1.023791790008545,,0.8711724877357483,0.8525543212890625,1.0126826763153076,1.025806188583374,,1.070694923400879,,0.8785202503204346,0.8891262412071228,0.8117783665657043,0.8317734599113464,1.027735710144043,1.1687368154525757,1.1575063467025757,0.9972496628761292,1.139795184135437,1.1832094192504883,0.9141125082969666,0.9599451422691345,0.9950175285339355,1.0239635705947876,0.812457799911499,0.7480342388153076,0.8282430768013,0.8406208753585815,0.7491370439529419,0.9167594909667969,0.8753457069396973,0.7749412655830383,0.8496671915054321,0.8636318445205688,0.8825807571411133,,0.8099460601806641,0.8427163362503052,0.7363349795341492,0.7747870683670044,,,,0.9312400221824646,0.9924870133399963,0.95450758934021,0.8705838918685913,0.9671115875244141,0.8309091925621033,1.0027837753295898,0.964546263217926,1.1311770677566528,,0.9377618432044983,0.8783096075057983,0.8054320812225342,0.8902268409729004,0.8902866244316101,,0.8811938762664795,0.7890529632568359,0.8801131844520569,1.2194621562957764,1.0282573699951172,1.0976890325546265,1.0188771486282349,1.0979748964309692,0.9301002621650696,0.9456647038459778,1.052518606185913,1.1196765899658203,0.8060228824615479,0.9447422027587891,1.0397294759750366,0.9369375705718994,0.8312659859657288,0.8721173405647278,1.0962013006210327,0.9580945372581482,0.976858913898468,0.8405942320823669,1.1002037525177002,0.9960218667984009,1.0210424661636353,0.8778101205825806,1.0917044878005981,1.2285664081573486,1.132953405380249,1.1387319564819336,1.2235056161880493,1.1705652475357056,0.9801205396652222,0.9037715196609497,1.0150660276412964,1.281599521636963,1.1779868602752686,1.226096272468567,1.111669898033142,1.1144909858703613,0.9262235164642334,1.084904432296753,1.1038401126861572,1.123175024986267,1.1513612270355225,,,,1.2308719158172607,1.2151594161987305,1.2073299884796143,1.2159993648529053,1.1712584495544434,,1.096734881401062,1.187094807624817,1.1868168115615845,1.1331714391708374,1.0427144765853882,1.1551871299743652,,,,1.0627342462539673,0.8900994658470154,,1.0555081367492676,,,,,,1.0952346324920654,1.099117636680603,,1.237167477607727,,1.206979513168335,,,1.0885167121887207,1.1509404182434082,1.0818208456039429,0.7376571893692017,,1.1520612239837646,1.124482274055481,1.0528703927993774,0.9598217606544495,
zebra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giraffe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
deer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dog,0.7812204360961914,,,,,,,,0.0,0.5337937474250793,,0.7590294480323792,0.897412896156311,,,0.6596032977104187,,0.8037930727005005,0.877526044845581,0.9179463386535645,0.9286605715751648,,0.9765427112579346,,0.8433864116668701,0.7555550932884216,0.764668345451355,0.8421648144721985,0.9515619874000549,0.9914533495903015,0.9307491183280945,1.0471333265304565,0.9219353795051575,1.014054775238037,1.2052903175354004,0.876899242401123,0.9732418656349182,0.977206289768219,0.956652045249939,0.922976553440094,1.0367190837860107,0.9641244411468506,0.9543691277503967,0.9879751801490784,1.0566681623458862,1.030586838722229,1.036833643913269,1.0462656021118164,0.897269070148468,,0.9595422148704529,0.929551362991333,0.8460061550140381,0.958321750164032,,,,1.0268359184265137,0.9193463921546936,0.936272919178009,0.9553743600845337,1.0309646129608154,0.8619643449783325,0.831673264503479,0.8965728282928467,0.8773847222328186,,0.8948175311088562,0.813536524772644,0.8470062017440796,1.0079848766326904,0.9136697053909302,,0.7891188859939575,0.72416752576828,0.7739615440368652,1.0784001350402832,1.0805422067642212,1.0334120988845825,0.9944329857826233,0.942688524723053,0.9365789294242859,1.0129859447479248,1.060992956161499,1.0859568119049072,0.9859859347343445,1.1267703771591187,1.267706274986267,1.1864291429519653,1.0914500951766968,1.1063323020935059,1.1670832633972168,0.8739362955093384,1.0497764348983765,1.0004966259002686,0.9483679533004761,1.0860732793807983,0.9231728911399841,0.9646812677383423,0.900621235370636,0.877964198589325,0.8934290409088135,0.8522541522979736,1.0432651042938232,1.085293173789978,1.0796260833740234,1.0946545600891113,1.1412144899368286,1.064549446105957,0.9354122281074524,1.1219449043273926,0.9479166865348816,0.9959597587585449,0.9917357563972473,1.1071280241012573,1.1843219995498657,1.0518454313278198,1.1164531707763672,,,,0.9875776767730713,1.1275964975357056,0.9395855069160461,1.001803994178772,1.0887374877929688,,1.1491981744766235,1.104732632637024,1.0597418546676636,1.1352821588516235,0.990676760673523,1.0889384746551514,,,,1.1546554565429688,1.137017011642456,,1.0086976289749146,,,,,,0.8270910382270813,0.9237483143806458,,1.1978600025177002,,1.0877885818481445,,,1.092169165611267,1.1790997982025146,1.1914734840393066,0.9411197900772095,,1.058485746383667,1.1129810810089111,1.0642380714416504,0.8216460943222046,
cat,0.8551732301712036,,,,,,,,0.5337937474250793,0.0,,0.7593089938163757,0.9282732009887695,,,0.5719292759895325,,0.8637537956237793,0.8922706842422485,1.0941861867904663,1.0615463256835938,,1.090057611465454,,0.9735087156295776,0.8599686622619629,0.918742835521698,0.9977556467056274,1.0817291736602783,1.091113567352295,1.0382728576660156,1.0103942155838013,1.0346049070358276,0.9864675998687744,1.0335983037948608,0.999234676361084,1.0245888233184814,1.04329252243042,0.9335044622421265,0.8266096115112305,0.8552279472351074,0.8748616576194763,0.8937793374061584,0.838099479675293,0.9414839148521423,0.9104324579238892,0.922457218170166,1.0346827507019043,0.8633961081504822,,0.951379656791687,1.0214067697525024,0.8339929580688477,0.9637516140937805,,,,1.0716266632080078,0.827574610710144,0.8950893878936768,0.947568953037262,0.981430172920227,0.8764722943305969,0.6926016807556152,0.7940230965614319,1.0603351593017578,,0.919425368309021,0.8554805517196655,0.9300644993782043,0.9942722320556641,0.9847939014434814,,0.8851870894432068,0.8783105611801147,0.988649308681488,0.9867600202560425,0.9911468625068665,0.8737738132476807,0.9388223886489868,1.0435541868209839,0.8326351046562195,0.9071144461631775,1.0089333057403564,1.0449786186218262,0.9364181756973267,1.098585605621338,1.2141938209533691,1.1132770776748657,1.1402125358581543,1.0601037740707397,0.9566147327423096,0.9541795253753662,1.0897363424301147,0.8730541467666626,1.0436229705810547,0.8319488167762756,0.9140616059303284,0.7388002276420593,0.9681409597396851,1.0229324102401733,1.0475151538848877,1.0181039571762085,1.1104881763458252,1.0385810136795044,1.0081297159194946,1.1695131063461304,1.2590115070343018,1.0910298824310303,0.9975059628486633,1.0553538799285889,0.9396319389343262,0.9887145161628723,0.9262272715568542,1.1429295539855957,1.2002840042114258,1.0724588632583618,1.074082374572754,,,,1.0706753730773926,1.0349117517471313,1.0396548509597778,0.994981050491333,1.0959134101867676,,1.0948681831359863,1.040633201599121,1.0541985034942627,1.221558928489685,1.0063889026641846,0.929030179977417,,,,1.0418795347213745,1.0972132682800293,,1.0719317197799683,,,,,,0.9988304972648621,0.969297468662262,,1.1320383548736572,,1.078565001487732,,,1.0464024543762207,1.1108225584030151,1.106893539428711,1.0489535331726074,,1.1952815055847168,1.1264883279800415,1.057153582572937,0.94038325548172,
