,alligator,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bucket,can,car,cat,chair,clock,comb,couch,crayon,crib,cup,dog,doll,door,drawer,face,fish,flower,frog,glass,glasses,glove,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pillow,plate,purse,refrigerator,scissors,shirt,shoe,shorts,sink,slide,slipper,snow,sprinkler,stroller,table,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bowl,1.2751588,0.29201347,1.1637213,0.7177995,0.54428285,0.614102,1.247178,1.4468553,0.49786884,1.1243752,1.3721666,1.2299188,1.1878917,0.78103924,0.19928372,0.0,1.187567,0.32301003,0.43128443,0.6629763,1.0691487,1.3304688,0.8160299,1.1443238,1.3841819,0.3355143,1.4074031,0.23750973,1.0198175,1.187218,1.1959453,1.1824334,1.3655678,0.98190624,0.92349464,1.0632963,1.1186174,0.6656423,1.0202972,0.4357103,1.396153,1.2111285,0.5459956,1.2493917,1.3665093,0.7365142,1.3680329,0.62526226,1.3038934,1.2709866,0.6676431,0.69954056,0.71207,1.2799909,1.2515829,1.3335994,0.6940175,0.75554734,0.5943912,1.0148026,0.53653276,1.1965518,1.2575555,1.1015044,1.4355549,0.9316651,1.3741353,1.1218609,1.345115,0.3320489,1.1736788,1.2050103,1.183716,1.5243754,0.48818642,1.1282309,0.9363769,0.66786116,0.27938974,1.182969,0.92407095,0.730895,1.1866013
box,1.0361804,1.2155576,0.8850929,1.0976899,1.2142801,0.8536505,0.767864,0.9138227,1.1185491,0.8045716,0.964447,1.1193522,1.0551435,0.9162755,1.1988095,1.187567,0.0,0.92805576,1.0293412,1.1154059,1.2196565,0.82586217,1.004047,1.0257863,0.8385285,1.1389618,0.8891571,1.048141,1.1569508,0.9348161,0.71209466,0.6971301,1.0524838,1.2617829,1.2209436,1.182305,0.8302358,1.1838925,1.0147576,1.2894566,1.0196911,0.995319,1.1581057,0.994206,1.0700098,1.002165,0.7444221,0.86154836,1.0015156,1.1290574,1.257176,0.9735907,1.1475959,0.5938959,0.9814994,1.0336989,0.89481246,0.9698239,1.1274375,0.7853174,1.1355551,0.553572,0.5683007,0.87817645,1.037514,0.9530991,0.9910832,0.7251379,1.0432397,1.1965325,1.2033123,1.0999147,0.92867976,0.7192493,1.279212,1.0848476,0.8418784,1.0087012,1.2185928,0.6890174,0.92443854,1.1788738,0.88140607
bucket,1.3930218,0.55637974,1.1995144,0.6792332,0.5792668,0.48501307,1.4255884,1.4828583,0.5165074,1.1521354,1.3818346,1.3473827,1.3822443,0.8233987,0.2424761,0.32301003,0.92805576,0.0,0.19410622,0.7006115,1.1518861,1.2556311,0.7726406,1.2000391,1.3168452,0.34846127,1.3282375,0.29201317,0.9128386,1.0766729,1.131283,1.1965417,1.339391,1.0093093,0.98136264,1.0654165,1.236095,0.56456137,0.87403536,0.41259336,1.3561146,1.083667,0.4651863,1.299818,1.3307359,0.70300126,1.1916862,0.57605463,1.2327144,1.3999076,0.73205477,0.63194203,0.6560209,1.1511776,1.1255748,1.3198698,0.5035584,0.6023339,0.5470748,0.7505066,0.5373697,1.1908007,1.175174,1.0858176,1.4378636,0.9122824,1.2671387,1.2272985,1.460264,0.39594615,1.3607063,1.2117317,1.0824219,1.5890858,0.50495666,1.2920899,0.7487844,0.559607,0.45251048,1.183089,0.6836077,0.6702167,1.2174243
can,1.3643106,0.6096913,1.2189852,0.71867466,0.64637494,0.6344657,1.3586138,1.5163336,0.41292286,1.0090247,1.3605695,1.2687737,1.3962724,0.88200533,0.28049004,0.43128443,1.0293412,0.19410622,0.0,0.75663996,1.0369655,1.2584956,0.933062,1.1589422,1.3192148,0.30579078,1.3215841,0.35600185,0.959267,1.1647167,1.1157123,1.2088207,1.3007772,0.9502441,1.1056424,1.1355512,1.3090304,0.42638582,0.97838295,0.47301507,1.2301028,1.0118283,0.39930892,1.2601559,1.24544,0.6068295,1.2315962,0.54450357,1.3396641,1.3937757,0.64553386,0.67981285,0.5781032,1.1864622,1.2097797,1.2529378,0.51597923,0.5361084,0.49639428,0.75545263,0.7292607,1.2914541,1.2025342,1.184041,1.3648636,1.0409193,1.1612232,1.2794019,1.4110491,0.31180805,1.2541769,1.1671196,1.1553314,1.5973055,0.4175012,1.3004348,0.75554657,0.6166786,0.55882835,1.2777114,0.5187501,0.49458683,1.1249958
car,1.1545552,0.80407226,1.1732973,0.9342679,0.94453734,0.8549765,1.1433685,1.1614473,0.7086804,1.0496819,1.2118319,1.1418386,1.059468,0.8287335,0.7300394,0.6629763,1.1154059,0.7006115,0.75663996,0.0,1.0834452,1.099559,1.0499063,0.9520694,1.108181,0.703811,1.1512771,0.78287745,1.06569,1.0725172,1.1691649,1.0177991,1.184654,0.86846167,0.9932253,0.7695763,1.0576565,0.74683076,1.0571483,0.64815855,1.096159,1.0848453,0.89298725,1.2154212,1.107874,0.9998466,1.0772649,0.8303634,1.088536,1.0561413,0.89693534,0.88663906,0.88102895,1.1580317,1.1194701,1.0976757,0.8343587,0.800766,0.8060214,0.94525623,0.86842954,1.1545218,1.1677613,0.98541087,1.2936147,0.97099507,1.1478589,1.1059246,1.1913855,0.70689356,1.0674524,0.98485684,1.0415769,1.2077428,0.87708116,1.1590189,0.8697284,0.90065056,0.7325698,1.1343215,0.9014007,0.78254175,1.0091467
cat,1.0304383,1.0502789,0.78703845,1.0864199,1.001581,1.1175282,0.89680916,0.92596835,0.91888565,0.8676409,1.066501,0.5774712,1.1094577,0.9393623,1.0896215,1.0691487,1.2196565,1.1518861,1.0369655,1.0834452,0.0,1.0455592,1.1394161,0.89419955,1.067833,1.0086054,1.0970773,1.0965475,0.852957,1.1892034,1.1270026,1.0418035,1.012711,0.97195154,1.0208036,1.1238673,1.1551356,0.977774,1.0824177,1.0723906,1.0521443,1.1001405,1.0516171,1.0018152,0.8981296,0.8170123,1.1567056,1.0660815,0.96345496,1.0993614,0.92547107,0.994929,0.8607701,0.999496,0.81999075,0.9272255,1.0776665,1.0880551,0.91786957,1.0793803,1.1290362,1.2069669,1.0031698,1.274349,0.8901407,1.1979753,0.9584177,0.999919,1.0608046,0.9155593,0.5563949,1.0284913,1.2483981,0.9930346,0.99095464,0.89078146,1.2445769,0.9373773,1.1413248,1.209088,1.1326226,1.0062406,0.7306755
chair,0.7952145,1.3256896,1.0138683,1.2967191,1.3723059,1.0237626,0.6016706,0.7398755,1.3173676,0.608606,0.88760275,1.0839998,0.88639075,1.248191,1.4012277,1.3304688,0.82586217,1.2556311,1.2584956,1.099559,1.0455592,0.0,1.1512996,0.98417413,0.56326896,1.4699575,0.57565296,1.3101587,0.9546437,0.93191624,0.7120521,0.6061468,1.0066512,1.2397532,1.2279828,1.0999194,0.8882123,1.3664867,1.1063541,1.4932356,0.907897,1.0684854,1.2940539,0.9291709,0.87615615,1.0919899,0.41716635,1.0560411,0.94690037,0.6650207,1.4226303,1.1002202,1.2844009,0.5147554,0.94907016,0.7779869,1.207889,1.140848,1.29655,0.6910032,1.2693336,0.8785402,0.58334756,0.8835697,0.84474444,1.158877,0.79811335,0.9001806,0.7715055,1.4345644,1.00165,1.0768428,0.62077814,0.41965342,1.3728557,1.0853381,0.98008335,1.1207963,1.4315308,0.8615109,0.74390185,1.3588268,0.69050264
clock,1.2065215,0.8559518,1.0766102,0.78753424,0.7500311,0.7191906,1.1372073,1.1030838,1.0585033,1.1277429,1.1472781,1.0719562,1.1061469,0.9852904,0.7490748,0.8160299,1.004047,0.7726406,0.933062,1.0499063,1.1394161,1.1512996,0.0,1.1447489,1.1122977,0.8746206,1.0873274,0.77083325,1.0093902,0.9008568,0.9647614,1.0907406,1.147935,1.0073135,0.9218109,1.0112994,1.0335963,1.0541673,1.0293008,0.76899856,1.1615167,1.0749637,0.8052288,1.0692934,1.3356445,0.92502517,1.1611906,0.853673,1.1031199,1.1141548,1.0365249,0.8790005,0.98154503,1.1346589,1.1244779,1.2216322,1.00372,0.9624323,0.89800745,1.0726354,0.24893272,0.9639966,1.0046756,0.9750037,1.1008576,0.77856684,1.2648816,0.99119896,1.2339159,0.92533994,1.1533405,1.165702,0.98549503,1.1749133,0.9827433,1.131183,0.9961258,0.8389192,0.746153,0.918406,1.0928526,1.0718504,1.139403
comb,0.94697255,1.117695,0.837928,1.208266,1.1795487,1.0980769,0.94505376,0.86934304,1.166587,0.91651326,0.9303713,0.87874556,1.0488356,0.9272338,1.202861,1.1443238,1.0257863,1.2000391,1.1589422,0.9520694,0.89419955,0.98417413,1.1447489,0.0,1.041575,1.0943012,0.9804287,1.144375,1.0530187,1.1057812,0.99657875,0.8978772,1.0006241,0.9063518,0.91452223,0.90436685,0.9702452,1.1667259,1.1091855,1.1618431,0.94282615,1.0293994,1.2498238,1.0350616,1.0726662,0.74352384,1.064158,0.960357,0.9472889,0.8466133,1.2082843,1.0728872,0.9725701,0.91804814,0.9318873,1.089009,1.1503501,1.0086064,1.059835,1.1738354,1.1531553,1.0515556,1.032829,0.9623489,0.9922507,1.1196367,1.0868781,0.97415316,0.9626223,1.1603465,0.7252599,0.77861834,1.0337461,0.9026303,1.1999454,0.9112108,0.9479987,1.1130337,1.1913272,0.9948635,1.0338053,1.1841648,0.9005096
couch,0.92940855,1.3197774,1.0312933,1.1805401,1.3882425,1.1367713,0.60845053,0.41517687,1.2091025,0.41377425,0.97523785,0.8884268,0.83883023,1.2152078,1.4350013,1.3841819,0.8385285,1.3168452,1.3192148,1.108181,1.067833,0.56326896,1.1122977,1.041575,0.0,1.3927726,0.4692074,1.315371,0.8590096,0.8648092,0.9197943,0.83573073,0.882797,1.2185669,1.1891434,0.9314824,0.88673854,1.3178749,1.072703,1.3373334,0.84200186,1.0231975,1.3876306,0.93625665,0.7694664,1.2413061,0.74007624,1.2598617,0.83973765,0.91201067,1.2704288,0.94617534,1.3893082,0.7581607,0.92897034,0.81911176,1.0743331,1.0923939,1.2294271,0.49347442,1.2742051,0.9293314,0.7888008,0.9544615,0.9447439,1.2532729,0.8141305,0.770073,0.84264946,1.344556,1.0716628,0.9071028,0.98481226,0.5989912,1.3154033,0.9927123,1.045388,1.1717963,1.3766792,0.8517306,1.0462508,1.2516328,0.95455843
