,alligator,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bucket,can,car,cat,chair,clock,comb,couch,crayon,crib,cup,dog,doll,door,drawer,face,fish,flower,frog,glass,glasses,glove,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pillow,plate,purse,refrigerator,scissors,shirt,shoe,shorts,sink,slide,slipper,snow,sprinkler,stroller,table,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
crayon,1.4414074,0.40418935,1.1234379,0.6518527,0.46543938,0.68832827,1.3869624,1.4594786,0.402318,1.0809411,1.4272473,1.181635,1.363934,0.67280006,0.2436344,0.3355143,1.1389618,0.34846127,0.30579078,0.703811,1.0086054,1.4699575,0.8746206,1.0943012,1.3927726,0.0,1.4648393,0.3862623,1.0168636,1.2149712,1.1978402,1.2818159,1.3860769,0.8692292,0.8501966,1.0579036,1.3854402,0.4306922,0.9796675,0.33502644,1.428135,1.0359899,0.51044333,1.2956321,1.2980527,0.6073216,1.4200525,0.45133448,1.2926766,1.4228525,0.52246475,0.741415,0.52444935,1.3655663,1.1933873,1.3092479,0.5783158,0.45441633,0.3381362,0.99233574,0.59306467,1.3138103,1.3716121,1.0760213,1.479397,0.9090533,1.3449223,1.2655964,1.4753276,0.22089112,1.2645584,1.2516713,1.2256819,1.6423279,0.3591013,1.2084463,0.6689247,0.64275783,0.279997,1.3294399,0.75679106,0.5177122,1.2361447
crib,0.8098626,1.2885092,1.1212978,1.2603182,1.4177887,1.037704,0.71774185,0.39465988,1.3891671,0.8272356,0.80975485,0.88018584,0.8538265,1.2968526,1.4165916,1.4074031,0.8891571,1.3282375,1.3215841,1.1512771,1.0970773,0.57565296,1.0873274,0.9804287,0.4692074,1.4648393,0.0,1.3305871,0.95518196,0.91009927,0.7393203,0.8546231,0.8270681,1.2288412,1.2313024,0.9690501,0.71854365,1.4161491,1.145607,1.410422,0.71890974,1.0387399,1.3319536,0.93068606,0.8418462,1.2146231,0.60463154,1.3253151,0.9522203,0.77587,1.3397726,1.2194195,1.401632,0.6191656,0.9237565,0.89955926,1.2346661,1.1343387,1.3372917,0.6968236,1.2659999,0.8530689,0.67730075,0.95204186,0.7288651,1.1514518,0.83556426,0.90810573,0.7550161,1.3874859,1.0197582,0.8456128,0.8369201,0.515895,1.350612,0.9378762,1.0865736,1.1830796,1.355646,0.89604914,1.0394046,1.3574461,0.7672297
cup,1.3282096,0.3400525,1.0834441,0.66703266,0.5267811,0.7342849,1.273075,1.4365383,0.6319278,1.198985,1.3655386,1.2990334,1.2664356,0.9223788,0.21348351,0.23750973,1.048141,0.29201317,0.35600185,0.78287745,1.0965475,1.3101587,0.77083325,1.144375,1.315371,0.3862623,1.3305871,0.0,0.9593076,1.0664163,1.1163443,1.2363894,1.2929018,1.0193243,0.9806988,1.1494366,1.0160993,0.62017906,1.0758008,0.46901643,1.3184409,1.148903,0.5817497,1.2518343,1.4193599,0.8011488,1.3289552,0.5768163,1.3695803,1.324707,0.62449825,0.73056245,0.7438214,1.2672454,1.2487111,1.4122472,0.71626854,0.79963636,0.6680432,0.94235015,0.52652,1.1038673,1.2142876,1.0665858,1.4406064,0.9943575,1.3857714,1.0883456,1.3475811,0.3500545,1.2787333,1.1540847,1.172536,1.4714003,0.44729733,1.2008085,0.96464205,0.65404576,0.4077316,0.93625337,0.8419385,0.68724066,1.1212912
dog,1.1556709,0.9507345,1.073751,0.9787021,0.92521465,1.0176756,1.1525509,1.0378134,1.0406694,1.0862191,1.0766513,1.0362731,1.1516238,1.1544714,0.8810221,1.0198175,1.1569508,0.9128386,0.959267,1.06569,0.852957,0.9546437,1.0093902,1.0530187,0.8590096,1.0168636,0.95518196,0.9593076,0.0,0.74237615,1.0058324,1.1727399,1.0544916,1.0292686,0.9873437,0.87408006,1.0690606,0.9774432,0.9410311,0.8927384,1.017036,0.9122106,0.9072978,1.1210805,0.8703333,1.0361876,1.1112062,1.0723377,1.0667098,1.0099919,0.9527183,0.82970953,0.9176222,1.0641751,0.94429654,1.1216719,0.8220838,1.0881207,0.98872334,0.7619449,0.9693889,1.1222212,1.0910752,0.99063075,1.0470135,1.0534859,0.9465084,1.1766143,1.2042539,0.9690992,0.9916334,0.90615267,0.9137855,1.1094655,0.8583802,1.0835674,1.009315,0.8908352,0.94839126,1.1872506,0.9721342,1.0625045,1.0137267
doll,1.0200708,1.1161699,0.96877277,1.0147394,1.0236477,0.9952646,1.1361138,0.9398689,1.18719,1.1003995,0.8983835,1.1751944,0.96506655,1.083346,1.0670345,1.187218,0.9348161,1.0766729,1.1647167,1.0725172,1.1892034,0.93191624,0.9008568,1.1057812,0.8648092,1.2149712,0.91009927,1.0664163,0.74237615,0.0,0.9929864,0.96960646,0.8921708,0.9922714,0.98086303,0.888607,1.0044848,1.0661247,0.84482837,1.0489913,0.92039883,0.8448455,1.0703843,1.1024184,1.0604113,1.2187817,1.0239509,1.0623037,0.97524035,0.90758294,1.1211511,0.9134551,1.0128831,1.0478592,1.0212682,1.0726762,0.96886086,1.2173493,1.2158782,1.0033895,0.95583606,0.83460224,0.98157537,0.7497311,0.98834544,0.8984138,0.99392384,0.99325067,1.0542519,1.178603,1.0858341,0.9755578,0.7589189,0.94181526,1.1283381,1.0704641,1.0799198,1.0466766,1.0537374,0.9291123,1.0495862,1.1094389,1.0575324
door,0.88010836,1.1500862,0.9616091,1.111275,1.082973,1.028018,0.8144088,0.87799674,1.3149734,0.9638889,0.9228033,1.1402321,0.9125793,1.2208663,1.1711456,1.1959453,0.71209466,1.131283,1.1157123,1.1691649,1.1270026,0.7120521,0.9647614,0.99657875,0.9197943,1.1978402,0.7393203,1.1163443,1.0058324,0.9929864,0.0,0.6669285,1.0762165,1.0896523,1.1695735,1.2157923,0.9554325,1.2370149,1.3206904,1.259258,1.0117956,1.0234141,1.1860772,0.92734915,1.0612712,0.98572767,0.6804096,0.9032943,1.2487315,0.98881483,1.2342408,1.1198772,1.018809,0.5836519,0.95953923,1.0285159,1.1835997,1.0876728,1.2257147,0.967654,1.1115477,0.8872102,0.5723187,0.8008095,0.9325765,1.1099913,1.0127343,0.88221765,0.8799955,1.2813203,1.0628955,1.0707681,0.8815674,0.6781732,1.2425059,1.0971277,0.8774805,0.95880973,1.2480271,0.86894554,0.8162694,1.244858,0.5844744
drawer,0.7389177,1.294427,0.8290273,1.1642835,1.2817968,1.0893124,0.71961427,0.88113636,1.1670192,0.70767426,0.8347983,1.1082492,0.9742264,1.0762445,1.3093112,1.1824334,0.6971301,1.1965417,1.2088207,1.0177991,1.0418035,0.6061468,1.0907406,0.8978772,0.83573073,1.2818159,0.8546231,1.2363894,1.1727399,0.96960646,0.6669285,0.0,0.9668133,1.0800428,1.2224066,1.0943786,0.9316908,1.2241755,1.1496128,1.2992699,0.91876996,0.9864316,1.2562897,0.9971801,1.0377653,1.0677897,0.73381156,0.9397954,1.0713747,1.0482308,1.2765564,1.1182873,1.0254155,0.5829952,0.9409093,0.93019587,1.0914991,1.1531675,1.2494844,0.9095401,1.2103792,0.9674656,0.7289087,0.8634467,0.8980249,1.1150373,0.9168926,0.90280795,0.79424524,1.2763646,1.0598295,1.0847576,1.0481738,0.65855795,1.2955487,1.047352,0.98394585,1.1599835,1.3432939,0.7920794,0.81498396,1.2029588,0.726449
face,0.8215517,1.2595749,0.90748703,1.0421371,1.1158215,1.2590053,1.0161774,0.8788937,1.1854789,1.1664239,0.61086595,0.99315095,0.93576074,1.2310647,1.3452332,1.3655678,1.0524838,1.339391,1.3007772,1.184654,1.012711,1.0066512,1.147935,1.0006241,0.882797,1.3860769,0.8270681,1.2929018,1.0544916,0.8921708,1.0762165,0.9668133,0.0,0.9512982,1.0444323,0.9341792,1.0068028,0.98503864,0.9898107,1.2318499,0.46422875,0.8295852,1.0239519,0.9621621,0.7744296,1.3212017,0.9935965,1.3801793,0.894491,0.882318,0.92836064,1.3213882,1.1364565,1.011527,0.90301037,0.9088481,1.2187496,1.2459459,1.3215141,1.0098529,1.2247022,1.011135,1.0202098,1.0304766,0.649001,1.1414654,0.74757475,0.9676826,0.8101411,1.2131884,1.0535046,0.7488149,0.9869386,0.8776764,1.110646,0.8959797,1.2117074,1.3479608,1.2923386,0.89708924,1.2170569,0.98149043,1.0275551
fish,1.1840665,1.0829382,1.0703607,0.8332287,0.7392961,1.0074786,1.2671254,1.2743475,0.9356136,1.1747621,1.0331937,1.0712907,1.210696,1.0432632,0.94168615,0.98190624,1.2617829,1.0093093,0.9502441,0.86846167,0.97195154,1.2397532,1.0073135,0.9063518,1.2185669,0.8692292,1.2288412,1.0193243,1.0292686,0.9922714,1.0896523,1.0800428,0.9512982,0.0,0.70081043,0.5305552,1.0806192,0.81304574,0.85989094,0.6389483,1.0636142,0.88868237,0.9135121,1.0699385,1.1144588,0.98807377,1.2791903,0.933239,0.9259494,1.025234,0.8264308,0.9009653,0.775137,1.2981578,1.1211126,1.0941117,0.9353858,0.9667486,0.949465,1.1565005,0.89894575,1.10521,1.3023746,0.92867094,1.1427397,0.7345787,1.1109633,1.1843402,1.1956953,0.86814195,1.0758632,0.8609748,1.0667264,1.2712934,0.92656434,0.9754678,0.96520525,0.98326004,0.78001165,0.97344756,1.0025547,0.7747889,1.125085
flower,1.0940701,0.8342559,1.012584,1.0167415,0.7832521,0.8847771,1.2095237,1.2306963,1.0265467,1.1529729,1.0780946,1.0806096,1.0229295,0.8521591,0.9044008,0.92349464,1.2209436,0.98136264,1.1056424,0.9932253,1.0208036,1.2279828,0.9218109,0.91452223,1.1891434,0.8501966,1.2313024,0.9806988,0.9873437,0.98086303,1.1695735,1.2224066,1.0444323,0.70081043,0.0,0.58272773,1.1498072,0.97088355,0.812222,0.6989897,1.1181732,1.0050365,0.9606994,1.1652709,1.0922462,0.97810465,1.2472278,1.0246418,0.90823144,0.99237424,0.98681855,0.98691285,1.0624235,1.3076098,0.8476292,1.0278852,1.0493058,0.911276,0.8790376,1.1864876,0.7529292,1.0598192,1.2480512,0.9401285,1.1635948,0.7218969,1.2417767,1.1378363,1.1101749,0.8828658,0.96243656,0.9237324,0.96624935,1.1653214,0.9172923,0.96846277,0.9922249,1.0394995,0.6358348,1.1564659,1.2438048,1.074656,1.1276506
frog,1.1113428,1.0870917,1.1764275,1.085874,1.075202,0.8815466,1.1584203,1.038483,1.0267516,1.1220582,1.0308683,1.0917325,1.0265614,0.95020044,1.0697303,1.0632963,1.182305,1.0654165,1.1355512,0.7695763,1.1238673,1.0999194,1.0112994,0.90436685,0.9314824,1.0579036,0.9690501,1.1494366,0.87408006,0.888607,1.2157923,1.0943786,0.9341792,0.5305552,0.58272773,0.0,0.90603334,1.0390822,0.7519839,0.6515146,0.98029804,1.0253856,1.1073432,1.1383495,0.9868657,1.1475801,1.0914456,1.2119398,0.7775394,0.9054227,1.1165807,0.91789275,1.1943136,1.186469,1.0050993,1.021559,0.9469413,0.991701,1.0524719,0.9268236,0.9118824,1.0355427,1.1917176,0.9309301,1.0850613,0.67731416,1.0489722,1.1618223,1.1242304,1.0000223,1.0367273,0.6972711,0.95108074,1.1184094,1.0974712,0.9889959,0.9693648,1.1439935,0.8009564,1.050435,1.1076019,1.0549887,1.1753287
glass,0.8676322,1.1615372,0.9724084,1.054481,1.1779126,1.0208708,0.6548512,0.762016,1.3322774,1.11239,1.0130525,0.9864599,0.81336623,1.1682255,1.2505867,1.1186174,0.8302358,1.236095,1.3090304,1.0576565,1.1551356,0.8882123,1.0335963,0.9702452,0.88673854,1.3854402,0.71854365,1.0160993,1.0690606,1.0044848,0.9554325,0.9316908,1.0068028,1.0806192,1.1498072,0.90603334,0.0,1.3997674,1.0360272,1.2195731,0.94120693,1.1639706,1.3289449,0.9121655,1.0854498,1.2313241,0.73409814,1.2258601,0.9040284,0.8323046,1.2397583,1.1892449,1.3767798,0.85624456,1.077703,1.0705391,1.241182,1.1853458,1.3045272,1.0169432,1.1213689,0.57135767,0.7661557,0.82384384,0.9616071,0.95342696,1.0900146,0.7008215,0.68231857,1.3250682,0.9289937,0.82287174,0.9085378,0.6701168,1.3126409,0.92830145,1.0858068,1.1909432,1.2014797,0.5332091,1.141357,1.306352,0.95636356
glasses,1.3287656,0.67415583,1.114392,0.65667474,0.6095195,0.8911777,1.3973417,1.4886286,0.32089716,1.179023,1.2672443,1.2613901,1.3330619,0.9210615,0.5058718,0.6656423,1.1838925,0.56456137,0.42638582,0.74683076,0.977774,1.3664867,1.0541673,1.1667259,1.3178749,0.4306922,1.4161491,0.62017906,0.9774432,1.0661247,1.2370149,1.2241755,0.98503864,0.81304574,0.97088355,1.0390822,1.3997674,0.0,0.90017545,0.46502197,1.0000025,0.8421544,0.36963606,1.2777754,1.0811065,0.9837563,1.3167593,0.69396067,1.2284389,1.3406513,0.3433916,0.90437233,0.49259627,1.4117098,1.0416257,1.1531603,0.71497524,0.78768474,0.62024695,0.97663563,0.8464455,1.3921337,1.3998556,1.1298966,1.2963147,1.045556,1.0750811,1.224095,1.3680956,0.37765592,1.2003856,1.1017671,1.1833377,1.58238,0.35763812,1.2187802,0.96166676,0.8723235,0.64769965,1.2968273,0.7295041,0.16179925,1.2721684
glove,1.0485313,1.1732366,1.0449697,0.9077618,0.89601237,0.92329305,1.2981288,1.1810378,0.8419157,1.104705,1.0482374,1.16222,1.11524,0.8428955,0.9871561,1.0202972,1.0147576,0.87403536,0.97838295,1.0571483,1.0824177,1.1063541,1.0293008,1.1091855,1.072703,0.9796675,1.145607,1.0758008,0.9410311,0.84482837,1.3206904,1.1496128,0.9898107,0.85989094,0.812222,0.7519839,1.0360272,0.90017545,0.0,0.8794719,1.0848134,0.94077075,0.9415535,1.0128193,0.9645648,1.1191764,1.0721738,1.0241356,0.38463318,1.0290445,0.95247835,0.95019555,1.0197124,1.1731201,0.91448635,0.9327563,0.8423812,1.01739,0.9895043,0.96898943,0.9831482,0.95565355,1.2038633,0.9530233,1.0847408,0.744905,0.90333974,1.110852,1.0856107,1.0167569,1.1390128,1.0013268,0.85209584,1.2504969,0.97177196,0.9946803,0.97150856,1.0496334,0.93128496,1.0253303,0.9977526,0.89279187,1.350996
gum,1.4028926,0.5410793,1.2698781,0.5174072,0.4610343,0.660698,1.4678893,1.4665834,0.5467275,1.3146453,1.3850439,1.2547728,1.2686989,0.82979786,0.32554638,0.4357103,1.2894566,0.41259336,0.47301507,0.64815855,1.0723906,1.4932356,0.76899856,1.1618431,1.3373334,0.33502644,1.410422,0.46901643,0.8927384,1.0489913,1.259258,1.2992699,1.2318499,0.6389483,0.6989897,0.6515146,1.2195731,0.46502197,0.8794719,0.0,1.2853788,1.0445688,0.53844,1.2927136,1.2934422,0.89036095,1.3975192,0.75935555,1.2162085,1.3168776,0.5071351,0.72256505,0.6372046,1.4873184,1.1683707,1.3302884,0.5925758,0.7518331,0.6400339,0.94025946,0.48593098,1.3185025,1.4324663,1.0830008,1.4258332,0.80172503,1.3324914,1.341475,1.4822087,0.35831988,1.2588878,1.0043304,1.1805689,1.6806668,0.48047113,1.1786667,0.88443637,0.77147704,0.27070498,1.2615943,0.89019704,0.5128646,1.365783
hair,0.8270703,1.2471627,0.9977466,1.1145085,1.267456,1.3250822,0.85921884,0.79938495,1.1972868,1.0655236,0.6445463,0.96032965,0.9609983,1.1951451,1.3248034,1.396153,1.0196911,1.3561146,1.2301028,1.096159,1.0521443,0.907897,1.1615167,0.94282615,0.84200186,1.428135,0.71890974,1.3184409,1.017036,0.92039883,1.0117956,0.91876996,0.46422875,1.0636142,1.1181732,0.98029804,0.94120693,1.0000025,1.0848134,1.2853788,0.0,0.79796916,0.9704095,0.92263234,0.7607874,1.3033469,0.93077564,1.3604672,0.96959364,0.88256246,1.0412375,1.3306184,1.1878225,0.9660221,0.8858766,0.8638878,1.2483582,1.2374754,1.3276852,1.0115775,1.306887,1.0231416,0.9186558,1.0288453,0.62184775,1.1752485,0.71621853,0.9154105,0.7612501,1.2626033,0.99621594,0.8040018,0.99660784,0.7570185,1.1186557,0.97342116,1.1750617,1.3811063,1.3801308,0.94664,1.1098363,0.9319591,0.9433478
hand,1.103203,1.1593418,0.93801266,0.8928226,0.9707219,1.169779,1.1874058,1.1224556,0.9507482,1.1025887,0.7052332,1.0736352,1.1221566,1.1669297,1.1182048,1.2111285,0.995319,1.083667,1.0118283,1.0848453,1.1001405,1.0684854,1.0749637,1.0293994,1.0231975,1.0359899,1.0387399,1.148903,0.9122106,0.8448455,1.0234141,0.9864316,0.8295852,0.88868237,1.0050365,1.0253856,1.1639706,0.8421544,0.94077075,1.0445688,0.79796916,0.0,0.94312596,1.0731046,0.84273314,1.2865326,1.1408877,1.0757817,1.0126075,1.1040219,0.8429176,0.9842463,0.8239349,1.0990095,0.99136996,0.8858787,0.85262936,1.1276553,1.1117969,1.0046263,1.137636,1.0746188,1.1738584,0.89758503,0.90025854,0.94215536,0.7415589,1.0687364,1.0698171,1.02753,1.1527522,1.0266443,1.0540184,1.0138794,0.75199413,1.0988709,1.0565794,1.1014924,1.1329913,0.9904928,0.9775315,0.74187005,1.1396453
hat,1.3421825,0.602635,1.2004818,0.63620716,0.4670142,0.70988566,1.3533264,1.4867384,0.58291245,1.2226508,1.2150671,1.2107292,1.2950664,0.91658014,0.37154478,0.5459956,1.1581057,0.4651863,0.39930892,0.89298725,1.0516171,1.2940539,0.8052288,1.2498238,1.3876306,0.51044333,1.3319536,0.5817497,0.9072978,1.0703843,1.1860772,1.2562897,1.0239519,0.9135121,0.9606994,1.1073432,1.3289449,0.36963606,0.9415535,0.53844,0.9704095,0.94312596,0.0,1.1843373,1.245595,0.82766217,1.3083606,0.6396956,1.3083631,1.302501,0.53774273,0.88639057,0.5872819,1.3289313,1.1626511,1.2659543,0.7194453,0.8571421,0.6583645,0.98616046,0.5912565,1.2863412,1.2623167,1.166291,1.2556487,0.86696863,1.1928854,1.3116215,1.4274902,0.45295787,1.2142391,1.1219733,0.99704635,1.5209026,0.46510375,1.2360195,1.0591154,0.7765384,0.54756284,1.3422701,0.7731174,0.43439704,1.1797338
jacket,0.81591177,1.1521885,1.0868098,1.1569431,1.1793815,1.184842,0.88394123,0.845941,1.2105966,0.9728591,0.8026402,0.90251327,0.72934926,1.0092006,1.2253592,1.2493917,0.994206,1.299818,1.2601559,1.2154212,1.0018152,0.9291709,1.0692934,1.0350616,0.93625665,1.2956321,0.93068606,1.2518343,1.1210805,1.1024184,0.92734915,0.9971801,0.9621621,1.0699385,1.1652709,1.1383495,0.9121655,1.2777754,1.0128193,1.2927136,0.92263234,1.0731046,1.1843373,0.0,0.8851048,1.0476011,0.8658868,1.2180963,0.87849206,0.8150661,1.1685271,1.0884326,1.2130941,0.8220326,1.0692177,0.7609392,1.2753328,1.1750052,1.1724478,1.1094232,1.1911395,0.7119131,0.84361315,1.1568713,0.7251906,0.98545086,0.8894156,1.0025439,0.858392,1.302419,0.9415915,1.0477375,0.83211994,0.8645707,1.2263939,0.8424053,1.1545693,1.0160731,1.2405615,0.9643303,1.1141484,1.1921512,1.0136864
jeans,0.91115147,1.2754006,0.950887,1.1575985,1.3570602,1.3112618,0.9663831,0.86564606,1.0654726,0.91121256,0.6520817,0.78454596,1.0504152,1.1747445,1.3990216,1.3665093,1.0700098,1.3307359,1.24544,1.107874,0.8981296,0.87615615,1.3356445,1.0726662,0.7694664,1.2980527,0.8418462,1.4193599,0.8703333,1.0604113,1.0612712,1.0377653,0.7744296,1.1144588,1.0922462,0.9868657,1.0854498,1.0811065,0.9645648,1.2934422,0.7607874,0.84273314,1.245595,0.8851048,0.0,1.2011164,0.92570335,1.3976346,0.7892249,0.9158685,1.0624058,1.119221,1.1376631,0.9491935,0.7954093,0.36840284,0.9916827,1.0980332,1.1538372,0.89182377,1.4350877,1.0344797,1.0645548,1.127623,0.5781621,1.2155697,0.23811793,1.0431263,0.8074039,1.267306,0.91173035,0.8878689,1.0554222,0.8471607,1.1246363,0.89672107,1.0187404,1.1850523,1.3464072,1.0861351,1.1161458,1.0541372,1.0602484
knife,1.0819433,0.83763266,1.0102446,1.0848129,0.8846145,0.793738,1.097857,1.1967926,0.8817533,0.8600755,1.2366064,0.9321258,1.1981798,0.76399946,0.70891005,0.7365142,1.002165,0.70300126,0.6068295,0.9998466,0.8170123,1.0919899,0.92502517,0.74352384,1.2413061,0.6073216,1.2146231,0.8011488,1.0361876,1.2187817,0.98572767,1.0677897,1.3212017,0.98807377,0.97810465,1.1475801,1.2313241,0.9837563,1.1191764,0.89036095,1.3033469,1.2865326,0.82766217,1.0476011,1.2011164,0.0,1.046227,0.594684,1.1320399,1.0411537,1.1284292,0.8256953,0.87787926,1.0401926,1.1221297,1.1927415,0.891853,0.5117073,0.51249623,1.1732123,0.83892745,1.0732927,1.0666665,1.1788476,1.1581353,0.93264765,1.2099843,1.2077754,1.2421608,0.8505169,0.8126515,1.086277,1.0355754,1.1904682,0.9877754,1.0441763,0.54289937,0.76264876,0.82599926,1.2077945,0.7567953,1.0765944,0.92002076
ladder,0.6805151,1.3616661,1.0015714,1.3422468,1.448007,1.0066258,0.66372323,0.71272224,1.2830477,0.8916423,0.9346108,1.1164699,0.78101015,1.121599,1.3970835,1.3680329,0.7444221,1.1916862,1.2315962,1.0772649,1.1567056,0.41716635,1.1611906,1.064158,0.74007624,1.4200525,0.60463154,1.3289552,1.1112062,1.0239509,0.6804096,0.73381156,0.9935965,1.2791903,1.2472278,1.0914456,0.73409814,1.3167593,1.0721738,1.3975192,0.93077564,1.1408877,1.3083606,0.8658868,0.92570335,1.046227,0.0,1.0696856,0.8614177,0.6866527,1.4444015,1.1890899,1.342032,0.54764867,0.94654554,0.8339524,1.1592929,1.001578,1.1986811,0.89338917,1.3073366,0.7962185,0.5599357,0.95973355,0.8607452,1.0803492,0.8829156,0.8601325,0.6622714,1.4996829,0.99312556,0.99576867,0.6113808,0.5557732,1.4442642,0.97515893,0.8675773,1.1406298,1.4388809,0.80627,0.7205572,1.3316271,0.8234917
lamp,1.2685218,0.8330991,0.88892233,0.8214929,0.57554924,0.7620372,1.13288,1.3937002,0.7565098,0.875585,1.3214056,1.2880857,1.295811,0.6726551,0.5929379,0.62526226,0.86154836,0.57605463,0.54450357,0.8303634,1.0660815,1.0560411,0.853673,0.960357,1.2598617,0.45133448,1.3253151,0.5768163,1.0723377,1.0623037,0.9032943,0.9397954,1.3801793,0.933239,1.0246418,1.2119398,1.2258601,0.69396067,1.0241356,0.75935555,1.3604672,1.0757817,0.6396956,1.2180963,1.3976346,0.594684,1.0696856,0.0,1.2408366,1.3120824,0.88381296,0.6713754,0.62258947,1.0848669,1.1832615,1.2686648,0.73445165,0.648206,0.5485588,1.0931112,0.70393646,1.1280777,1.129975,0.9591441,1.4124764,0.8372063,1.3233471,1.0829805,1.2729743,0.682154,1.2295117,1.3667883,0.9823414,1.3226722,0.81542605,1.2085097,0.67559564,0.63002974,0.7503655,1.0097197,0.5816045,0.8082667,0.93097675
mitten,0.88985366,1.3632257,0.983861,1.1347982,1.2486377,1.1395622,1.0196046,0.8252318,1.1253732,0.9739165,0.89032155,0.8274448,0.91862655,0.87255096,1.3724906,1.3038934,1.0015156,1.2327144,1.3396641,1.088536,0.96345496,0.94690037,1.1031199,0.9472889,0.83973765,1.2926766,0.9522203,1.3695803,1.0667098,0.97524035,1.2487315,1.0713747,0.894491,0.9259494,0.90823144,0.7775394,0.9040284,1.2284389,0.38463318,1.2162085,0.96959364,1.0126075,1.3083631,0.87849206,0.7892249,1.1320399,0.8614177,1.2408366,0.0,0.84209263,1.2393066,1.0159655,1.2767512,1.0000827,0.86841255,0.7330339,1.0515754,1.1280311,1.1221913,1.0955521,1.1781923,0.88521713,1.0672634,1.0656719,0.8956459,0.86812043,0.839971,0.96770084,0.89418054,1.3398751,0.85871583,0.782498,0.9398758,0.8869467,1.3434367,0.7845329,1.0419865,1.1362976,1.2151754,0.8654572,1.1749071,1.1916361,1.1892061
motorcycle,0.7481307,1.1842364,1.0369576,1.3004,1.3595309,1.1335534,0.7985484,0.7985182,1.3347368,1.0397345,0.914809,0.98990434,0.5591184,1.0904998,1.3533645,1.2709866,1.1290574,1.3999076,1.3937757,1.0561413,1.0993614,0.6650207,1.1141548,0.8466133,0.91201067,1.4228525,0.77587,1.324707,1.0099919,0.90758294,0.98881483,1.0482308,0.882318,1.025234,0.99237424,0.9054227,0.8323046,1.3406513,1.0290445,1.3168776,0.88256246,1.1040219,1.302501,0.8150661,0.9158685,1.0411537,0.6866527,1.3120824,0.84209263,0.0,1.3057458,1.3001745,1.3658862,0.91320074,1.0524061,0.98415816,1.3335662,1.1857163,1.2731254,1.197285,1.1958156,0.80823547,0.8595334,0.9855549,0.8453245,0.96969056,1.0040183,1.0158112,0.7737726,1.4247131,0.7152962,0.7508468,0.43287283,0.6763002,1.3584377,0.8194777,1.0830364,1.2924945,1.1690671,0.9433427,1.0673515,1.2907565,0.9929252
nail,1.2211336,0.6911947,1.0419233,0.47243708,0.43075812,1.0825099,1.2938474,1.354663,0.5515146,1.243336,1.195585,1.1374804,1.1848164,1.0393767,0.56402916,0.6676431,1.257176,0.73205477,0.64553386,0.89693534,0.92547107,1.4226303,1.0365249,1.2082843,1.2704288,0.52246475,1.3397726,0.62449825,0.9527183,1.1211511,1.2342408,1.2765564,0.92836064,0.8264308,0.98681855,1.1165807,1.2397583,0.3433916,0.95247835,0.5071351,1.0412375,0.8429176,0.53774273,1.1685271,1.0624058,1.1284292,1.4444015,0.88381296,1.2393066,1.3057458,0.0,1.0225991,0.5045576,1.4279702,1.1788979,1.1949172,0.8158239,1.0125871,0.84310865,1.0315927,0.8527604,1.375716,1.3803661,1.1550231,1.2506627,1.1352376,1.0611613,1.0896006,1.2037683,0.4367938,1.169118,1.0822625,1.3020129,1.4550114,0.30425233,1.0935493,1.1151881,0.9936564,0.6240116,1.1538913,0.9216463,0.25415462,1.2210016
napkin,1.277736,0.87430507,1.0535614,0.9760769,0.7850894,0.7135454,1.2618968,1.162569,0.8378165,0.8592034,1.18797,1.0760804,1.2052683,0.82575256,0.7003749,0.69954056,0.9735907,0.63194203,0.67981285,0.88663906,0.994929,1.1002202,0.8790005,1.0728872,0.94617534,0.741415,1.2194195,0.73056245,0.82970953,0.9134551,1.1198772,1.1182873,1.3213882,0.9009653,0.98691285,0.91789275,1.1892449,0.90437233,0.95019555,0.72256505,1.3306184,0.9842463,0.88639057,1.0884326,1.119221,0.8256953,1.1890899,0.6713754,1.0159655,1.3001745,1.0225991,0.0,0.7962426,1.1104285,1.0316708,0.99608624,0.6330429,0.88062954,0.76546395,0.75751984,0.7619139,1.0471934,1.2088494,1.0938761,1.2386484,0.84817487,1.0790327,1.1400661,1.3645878,0.7565095,1.1461382,1.2037046,1.1452732,1.3585603,0.8572011,1.041551,0.9157982,0.34081185,0.8341142,1.1806984,0.95319104,0.9775405,1.1226885
