,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,broom,bucket,can,car,cat,chair,couch,crayon,crib,cup,dog,doll,door,elephant,face,finger,fish,flower,frog,glasses,glove,grass,hair,hand,hat,helicopter,horse,jacket,jeans,ladder,lamp,melon,mitten,motorcycle,nail,napkin,necklace,orange,pants,pencil,pillow,plant,plate,pumpkin,purse,rock,rooster,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,sock,sprinkler,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,watch,window
belt,0.89928234,1.0476542,1.0793923,0.79552287,0.9500654,1.0284733,0.8960279,1.0516497,1.047556,0.9252538,0.0,1.1529789,0.8627777,0.9831532,1.0687042,0.95896965,1.113042,1.2722363,1.1869987,1.1256026,1.1824719,1.2320786,1.2241967,1.174959,0.92393816,1.2477057,1.0635413,1.2661957,1.1068825,1.2190537,1.0231477,1.1467875,0.9335697,0.94245535,1.0295328,0.73639286,1.1401157,1.0800009,1.0042493,0.9004005,0.9544078,1.0573924,0.80464697,0.72732073,1.020612,1.1473464,0.8581532,1.0501723,0.7602807,1.2149347,1.2253325,0.8797878,1.2544999,1.1428233,1.1783779,1.2370697,0.9089445,1.0038198,0.7893361,1.0331045,1.0490558,1.1675289,1.2224553,1.062163,0.6659945,0.97874373,1.0664238,0.8858898,0.8192633,0.7083682,1.1700286,1.0293814,0.9310205,1.1340642,0.9315992,1.0575236,0.9538609,0.9907734,1.1764134,0.9346185,0.9261984,1.2667816,1.0613164,1.1096224,1.0411665,1.2210336,0.63587725,1.2047904
bench,1.115771,1.3493674,1.39466,0.9318906,1.0533425,1.2093766,0.99023384,0.88668776,0.69584095,0.5519608,1.1529789,0.0,1.0305774,1.0893587,0.7912788,0.8354272,0.7565949,1.2419752,1.261842,0.69922376,1.0080308,1.1402863,0.82208014,1.1238979,1.0836985,0.29093254,0.91962624,1.3157762,0.4312582,1.3117999,1.0705116,0.98966175,0.75013775,0.9794914,0.9833344,1.2993348,1.1385069,0.9680215,1.1459724,1.3389716,1.1251812,0.919462,1.0804545,1.1616182,1.3483868,1.050165,1.0923458,0.8519144,0.98622155,0.54051197,1.1774712,1.1286455,1.117696,0.97458184,1.3144279,1.011909,1.2688268,1.0363307,0.9475873,1.2092282,1.0552527,1.0012273,1.2274497,1.247572,1.0283301,0.9241736,0.92980564,0.9538532,0.99548626,1.1205484,0.81183916,0.4924668,0.83337516,1.1858013,1.0256377,0.979585,0.8637382,0.23944795,1.2513897,1.1970034,1.106697,0.90812224,1.0736554,0.7053106,0.97142893,0.7476796,1.344448,0.74809533
bib,0.93590283,1.2970712,1.30032,0.7013282,0.93345815,1.2408497,0.7660268,1.224714,0.93731403,0.6561389,0.8627777,1.0305774,0.0,0.94635934,0.81558824,0.8469585,1.1710111,1.2893456,1.3736131,1.0938103,1.1921448,1.2642598,1.2851746,1.2994568,0.9556643,1.182431,1.1953225,1.3228054,0.9247387,1.3040476,1.1310844,1.0981717,0.8697655,0.74498826,0.88764656,1.0846012,1.171394,1.0520929,1.0155637,1.1602669,1.0911037,0.8552393,0.737863,0.9721258,1.0300936,1.2000123,0.6175464,0.8938912,0.55552816,1.1330807,1.3549008,0.81988966,1.2989228,1.1857113,1.2421341,1.1358932,1.0760576,0.77549446,0.6163676,1.1498739,1.1528478,1.1619376,1.2960099,1.1573132,0.84291553,0.93120015,0.92855257,0.8546021,0.28955054,0.80352217,1.1746376,1.003471,0.75359535,1.401682,0.8228601,1.089455,0.9789107,0.89402264,1.2107155,1.2192087,1.04884,1.0929246,1.0760459,1.1499214,0.8375933,1.2602818,1.2311127,1.0740981
bird,0.93140644,1.2537801,1.1365964,0.68567467,0.88579667,1.0653872,0.9014243,1.1167051,0.99943787,0.869264,0.9831532,1.0893587,0.94635934,0.0,0.8616705,0.88114864,1.1045336,1.2411609,1.2840505,1.1619638,1.1547036,1.2345904,1.312626,1.2541065,1.0061277,1.1655566,1.225809,1.232512,0.7746922,1.2420923,1.1918935,0.8690308,0.9366751,0.96500605,0.9533739,1.1359115,1.0886805,0.97301894,0.9920821,1.2108003,1.2461367,0.96088433,0.85158724,1.035062,1.0510023,0.9611782,0.9084852,0.9341565,0.93662393,0.878986,1.1442075,0.8953855,1.1999348,0.94091386,1.1533916,1.1502093,1.138859,1.104416,1.0002892,1.1136622,1.1822894,0.94094193,1.2095708,1.1084464,1.0417076,0.7310647,0.9925337,0.9242311,0.9203612,0.92492414,1.1573021,1.0075585,0.82896864,1.3045204,0.4277885,0.9724279,0.80128765,1.0462216,1.2030182,1.1162322,1.1732751,1.0943002,1.0461355,1.0904837,0.8922527,1.2286544,1.3136178,0.97037226
blanket,0.92830086,1.2610214,1.2752433,0.96008456,1.0569472,1.271981,1.0309148,1.1327194,0.90372443,0.6493095,1.0687042,0.7912788,0.81558824,0.8616705,0.0,0.91194046,1.0846558,1.2877676,1.2586346,0.95238733,1.0882504,1.2640278,1.1007974,1.2255862,1.0275328,0.96339625,1.0900773,1.3137517,0.8327176,1.3121718,0.9414615,0.80015856,0.94407666,0.8517174,1.049742,1.183739,1.1679393,1.0263941,1.1474334,1.1320404,0.94020224,0.9826823,0.9693418,1.0520589,1.110314,1.1386594,1.0198762,0.46686345,0.796025,0.9706666,1.2579854,1.1081479,1.1875015,1.0687599,1.2537919,0.4586767,1.1314965,0.993374,0.75692093,1.1854932,0.83574945,1.1002551,1.2509989,1.2662954,0.9249863,0.8045728,0.9173381,1.0890688,0.7499802,0.98843,1.1471535,0.8128601,0.91096294,1.1946189,0.91352904,1.0480474,1.0947028,0.837562,1.1886836,1.1521964,1.0237075,0.29441643,1.250078,1.0115868,1.0312536,1.0836043,1.2899563,0.8503579
boat,1.022075,1.3377573,1.3091197,0.7581385,0.81646425,1.0673206,0.6012099,1.2658962,0.2773084,0.49115038,0.95896965,0.8354272,0.8469585,0.88114864,0.91194046,0.0,1.1328034,1.4260906,1.2852316,0.5354336,1.2940466,0.8671567,1.0292224,1.4810247,1.1890607,1.1204685,1.1345855,1.2986453,0.6535263,1.351137,1.3445001,1.0228556,0.8470385,0.9241127,1.0131236,1.3519917,1.0457246,0.9376219,0.8345184,1.4813864,1.2937961,0.83814454,0.9420067,1.1762807,1.252792,1.1323599,0.85562474,0.879908,0.8418267,1.0193845,1.4309613,0.7483597,1.4050874,1.0500901,1.3077238,1.2680367,1.3887573,0.89190674,0.93212897,1.0759089,1.3533831,1.0702349,1.2030425,1.1354167,0.81854844,0.83318794,1.1713191,0.69601595,0.86759686,0.7540387,0.9317906,0.77070177,0.19971943,1.4488397,0.7248231,1.1628082,0.7945638,0.65320957,1.2392466,1.3457096,1.2473552,1.1873301,0.887372,1.045343,0.7856213,0.9219645,1.4664792,1.0187858
book,1.3341792,0.92893034,0.95068705,1.1519643,1.0469337,0.9303858,1.035776,0.5797052,1.0085901,1.1537708,1.113042,0.7565949,1.1710111,1.1045336,1.0846558,1.1328034,0.0,0.8667413,0.86615,0.8137604,0.93054366,0.91711545,0.80428326,0.9410736,1.1153665,0.7379221,0.53734934,0.8860146,0.9653457,0.9096868,1.0641885,1.1439893,0.9526495,1.0999466,1.11454,1.0984193,1.067267,1.0176961,1.0117207,1.096677,1.011109,1.1594539,1.2362137,1.1025965,1.1948874,1.0010774,1.2973843,1.0069737,1.2918481,0.7868046,0.87793314,1.0555633,0.9769061,0.9590559,1.0017788,0.985337,1.060892,0.9933107,1.2005217,1.018657,0.85735077,1.0164392,0.8915462,0.90632963,1.1376799,1.108437,1.017639,1.103469,1.273612,1.1591674,1.0016508,0.68916273,1.1469462,0.84898263,1.1536,1.0724547,1.1679677,0.8228977,0.8867786,0.9766506,1.0486264,0.9679016,0.9401692,0.15049589,1.1033046,0.99143815,0.9728135,0.83172965
bottle,1.2670708,0.4770459,0.53030837,1.3519472,1.1256231,0.7890925,1.229006,0.7153848,1.3171092,1.5003877,1.2722363,1.2419752,1.2893456,1.2411609,1.2877676,1.4260906,0.8667413,0.0,0.41076016,1.1088874,0.81045866,0.5542611,0.8059091,0.5021375,1.0962874,0.89513063,0.77610004,0.27025008,1.3369094,0.14257145,0.8457693,0.9538568,1.2919475,1.3446082,1.147929,0.929243,0.86100435,1.0367147,1.0582128,0.76966137,0.77578926,1.2415124,1.3420994,1.1317741,0.8603536,0.8740809,1.2919225,1.2009134,1.4286269,1.0251883,0.2694865,1.2507027,0.55638444,0.8644618,0.3486576,0.77028656,0.8746663,1.0894215,1.3737531,0.72853625,0.8546636,0.93621105,0.3766234,0.7731254,1.26914,1.2859575,1.1074191,1.2295376,1.3842475,1.278815,0.97745484,1.2305632,1.4546367,0.42710721,1.322293,0.9933212,1.1984369,1.365682,0.40890622,0.75904095,0.8320131,0.8921545,0.86693686,0.9654433,1.2107823,0.88623196,0.61581117,1.0228363
bowl,1.1821641,0.41119897,0.45734698,1.4429164,1.1257663,0.6716425,1.2392808,0.5433271,1.2219838,1.4874607,1.1869987,1.261842,1.3736131,1.2840505,1.2586346,1.2852316,0.86615,0.41076016,0.0,1.021078,0.7368609,0.43520713,0.60526514,0.4656229,0.99290967,1.0666635,0.66701007,0.42128813,1.4276888,0.2710533,0.67839515,1.1011897,1.1881412,1.3146453,1.1703511,0.87823236,0.66910493,1.1017538,1.0225023,0.71347666,0.71999216,1.2056127,1.3310226,1.1786482,0.8232914,0.9306161,1.3563286,1.2505157,1.4614108,1.2172098,0.46778464,1.2545552,0.66590977,1.0574132,0.6224212,0.74743086,0.6929184,1.0444938,1.3129417,0.6354024,0.59330094,1.0030879,0.31028926,0.7902298,1.285541,1.2251805,1.1504133,1.3533556,1.3891679,1.2598356,0.864354,1.1770707,1.4487333,0.42839032,1.2522887,0.9052979,1.3334963,1.3277676,0.32716185,0.8488724,0.85334665,0.9030613,0.919186,0.9410071,1.2619975,0.75298405,0.6228578,1.1143742
box,1.0917535,1.1455939,1.206452,1.0970607,0.8904879,1.1057042,1.0185026,0.9146889,0.19420445,0.775218,1.1256026,0.69922376,1.0938103,1.1619638,0.95238733,0.5354336,0.8137604,1.1088874,1.021078,0.0,1.0833175,0.61760634,0.38023663,1.0944862,1.1027333,0.7525504,0.7631866,1.1491487,0.7053887,1.1292237,1.1307058,1.0278102,0.9578869,1.1480877,1.0431176,1.2478986,1.0485551,0.9257857,1.0298259,1.2512801,1.0416088,1.0748398,1.1398736,1.166379,1.1584244,1.0466561,1.208399,0.7739543,1.0834625,0.94805473,1.1646566,1.1105688,1.1195662,1.0477511,1.2112526,1.0271729,1.1246061,1.0851663,1.0180647,1.2040952,1.1272528,0.99376804,1.1372721,1.0266676,0.9184075,0.96696025,1.0295042,1.0778841,1.0758556,1.0885748,0.91174895,0.64713234,0.63085693,1.1556519,1.1312796,1.0586585,1.061483,0.626862,1.1164114,1.1560097,1.0905011,0.94739604,1.0170777,0.8421948,1.0062616,0.6661479,1.2111725,0.8847294
broom,1.1196573,0.81307364,0.96201295,1.3437382,1.1525309,1.0035534,1.1999797,0.8169066,1.2214715,1.3376231,1.1824719,1.0080308,1.1921448,1.1547036,1.0882504,1.2940466,0.93054366,0.81045866,0.7368609,1.0833175,0.0,0.9522753,0.7400747,0.65040123,0.93465245,0.78487504,0.85957277,0.7374763,1.0903215,0.8016138,0.76252013,0.94911444,0.92667663,0.95896614,1.144818,1.0028514,0.9372171,0.9757027,1.1854687,0.8626816,0.8852165,0.69711334,1.2354594,1.1705092,0.9703757,0.72392887,1.1451976,1.0549855,1.2606623,0.81476563,0.6414161,1.315114,0.6760681,0.95812654,0.9100551,0.864832,0.8629677,1.0001836,1.1528641,0.9857888,0.92730993,0.8151142,0.8523689,0.9512933,1.2867107,1.1336616,1.0901082,1.2613325,1.2337228,1.2763536,0.6862102,1.2287962,1.3137314,0.7776046,1.1587415,0.88901746,1.0632937,1.1977992,0.75372463,0.9407396,0.9643639,0.9075563,1.1099215,1.006837,1.012039,0.69900846,0.8527801,0.86999303
bucket,1.1015619,0.7557051,0.6709352,1.3646088,0.9171287,0.60759914,0.92224324,0.7756559,0.73738885,1.318765,1.2320786,1.1402863,1.2642598,1.2345904,1.2640278,0.8671567,0.91711545,0.5542611,0.43520713,0.61760634,0.9522753,0.0,0.5455004,0.8384433,1.1808732,0.96587586,0.72675455,0.61904144,1.2566601,0.5216118,1.0323124,0.9251898,1.3481674,1.3542114,1.2601249,1.1447884,0.530168,1.0508857,0.7313912,0.9985598,0.75172234,1.2940466,1.3604743,1.1723404,0.9699326,0.9970324,1.3007145,1.1582539,1.3660914,1.2229971,0.68537724,0.9352751,0.76220345,0.8698888,0.82486326,0.9282045,0.9771876,0.9992098,1.359793,0.98935753,0.8373939,0.8975253,0.6245578,0.69579226,1.18727,1.1372458,1.156199,1.0452596,1.3787731,1.1348251,0.7281906,0.9351491,0.9600962,0.63579684,1.2991197,0.91795325,1.1611266,1.0833231,0.6350785,0.9383815,0.9625508,1.0111176,0.5910315,0.9089979,1.2659085,0.7778868,0.85231405,1.2009645
can,1.1709172,0.82117623,1.0608181,1.3006256,1.1736628,1.0946002,1.3016342,0.6535213,0.6748717,1.143944,1.2241967,0.82208014,1.2851746,1.312626,1.1007974,1.0292224,0.80428326,0.8059091,0.60526514,0.38023663,0.7400747,0.5455004,0.0,0.55998516,0.8372437,0.6761548,0.5894201,0.87199914,0.99772716,0.80971396,0.82971704,1.0369622,0.8462254,1.2280849,1.1387501,1.1111091,0.9444667,1.0126282,1.238645,0.9578832,0.84506667,1.1595908,1.2773774,1.252724,1.0617267,0.8441429,1.3228055,1.0413926,1.284095,0.97056323,0.76672125,1.3947722,0.6393742,0.9696396,0.99834645,0.82849807,0.82105166,1.1290185,1.1030953,1.0461006,0.8224417,0.9547356,0.845701,1.0203414,1.1425737,1.0922425,0.9692836,1.3886908,1.2430308,1.2825602,0.7031449,0.8615458,1.171074,0.73015165,1.175384,0.96349585,1.177192,0.93596256,0.8035698,1.022354,1.0102564,0.8607842,1.1901286,0.85963535,1.1430283,0.47244787,0.89988804,0.75475174
car,1.1450301,0.44892716,0.70885265,1.3383387,1.2920868,1.0373257,1.5066171,0.6773467,1.3009927,1.3953109,1.174959,1.1238979,1.2994568,1.2541065,1.2255862,1.4810247,0.9410736,0.5021375,0.4656229,1.0944862,0.65040123,0.8384433,0.55998516,0.0,0.8085326,0.86875945,0.8263964,0.5996152,1.2765703,0.48997647,0.5125094,1.147648,0.9237101,1.2561474,1.0492724,0.7966509,1.0088751,1.1085232,1.3802197,0.54606706,0.8022178,1.1469569,1.1357739,1.1581336,0.79593706,0.8721769,1.2240567,1.2639309,1.2784147,1.0115279,0.44483387,1.4213339,0.5071188,1.0998927,0.5311462,0.7422415,0.49839354,1.1504501,1.0889484,0.64256155,0.61473125,0.9779465,0.59644616,0.9974482,1.1879103,1.2879837,0.8675502,1.4867754,1.1935935,1.2746787,0.93765235,1.1840734,1.5471706,0.4601699,1.248899,0.9526044,1.2370415,1.278523,0.4523095,0.8895852,0.90652466,0.8834794,1.3218949,1.0190462,1.2297149,0.756725,0.6156536,0.8531485
cat,1.0554543,1.0079914,1.1528174,1.0301062,1.1609963,1.2570143,1.1292288,0.96425366,1.0913907,0.90259063,0.92393816,1.0836985,0.9556643,1.0061277,1.0275328,1.1890607,1.1153665,1.0962874,0.99290967,1.1027333,0.93465245,1.1808732,0.8372437,0.8085326,0.0,1.0250227,1.0779704,1.0041872,0.98848844,1.0505869,0.92728275,1.056526,0.6710075,0.8809444,1.0129871,0.9700305,1.2212397,1.0360084,1.2529962,0.9502964,1.1048445,0.89179444,0.9251645,1.0830566,0.91507953,1.0249784,0.90145844,1.0842022,0.96061563,1.0168185,1.0220995,1.2027277,0.7531587,1.0616914,0.99697614,1.1119846,0.8495453,0.96479756,0.83905953,0.8519912,0.97380257,0.96282333,1.0296216,1.1084013,0.96011716,0.89111567,0.9323071,1.1952597,0.85833645,0.94009876,1.0580266,1.0186964,1.1214068,1.0058279,0.71937793,1.0207664,1.1365116,1.0497013,1.1330042,1.0470299,1.1438276,1.1051395,1.3269242,1.1916088,0.95882,0.94209725,0.99883676,0.84658045
chair,1.1783718,1.119998,1.2083732,1.108511,1.134538,1.1311046,1.213186,0.7883796,0.9129887,0.91433287,1.2477057,0.29093254,1.182431,1.1655566,0.96339625,1.1204685,0.7379221,0.89513063,1.0666635,0.7525504,0.78487504,0.96587586,0.6761548,0.86875945,1.0250227,0.0,0.93589133,1.0319693,0.47709948,1.0086577,0.96241635,0.8890508,0.8912892,1.1320906,1.0351024,1.2583289,1.0824876,0.98067254,1.1520308,1.1150179,0.98370874,1.0763822,1.2383904,1.2356379,1.1672307,0.8306443,1.1401104,0.9429167,1.2416302,0.41366136,0.72511804,1.265422,0.8244186,0.8112047,1.0396223,0.8943634,1.0996917,1.1879823,1.1539377,1.1615808,1.037068,0.857239,1.0859063,1.0670534,1.2041583,1.1325438,0.954331,1.1237284,1.1768819,1.2598509,0.793484,0.8010484,1.0930612,0.92021227,1.1753626,0.92775756,0.93768775,0.5866692,1.0846468,1.0169355,1.0605918,0.88243234,1.0780766,0.6962003,1.0191476,0.67752045,1.046128,0.6652348
couch,1.2307649,0.7786546,0.987369,1.2414389,1.1130366,0.9744696,1.066457,0.616747,0.9978172,1.194607,1.0635413,0.91962624,1.1953225,1.225809,1.0900773,1.1345855,0.53734934,0.77610004,0.66701007,0.7631866,0.85957277,0.72675455,0.5894201,0.8263964,1.0779704,0.93589133,0.0,0.7893758,1.1851376,0.8036492,0.98692995,1.0998174,1.014833,1.0959982,1.1765264,0.9956028,0.8305669,1.0570399,1.1057816,0.9760688,0.81877494,1.2058613,1.2680025,1.0864768,1.132592,0.9688356,1.3241895,1.0001001,1.2129048,1.0525887,0.85631657,1.1735717,0.92389065,1.0309665,1.0081768,0.94952947,0.92010343,1.0360174,1.1043804,0.994992,0.78806376,1.0928187,0.7774755,0.9450738,1.0254297,1.1153433,1.0941383,1.1583989,1.1949897,1.1500245,0.80709845,0.8563774,1.1887282,0.73161674,1.1898872,1.036697,1.1952208,0.9483267,0.8128355,0.9668326,0.88932705,0.96916586,0.97272515,0.6316378,1.1753645,0.86725354,0.8509394,0.9459703
crayon,1.3240088,0.3701707,0.5228686,1.3654597,1.1357309,0.77092624,1.1254861,0.7817246,1.3065251,1.483796,1.2661957,1.3157762,1.3228054,1.232512,1.3137517,1.2986453,0.8860146,0.27025008,0.42128813,1.1491487,0.7374763,0.61904144,0.87199914,0.5996152,1.0041872,1.0319693,0.7893758,0.0,1.3556359,0.21627879,0.9637193,0.95659137,1.2997568,1.2596631,1.2012047,0.93522716,0.80200946,1.1206014,1.0149472,0.7101492,0.8527518,1.1813697,1.3743191,1.1566172,0.8635055,0.8797928,1.3045962,1.1851531,1.5202013,1.0659213,0.3962533,1.2210058,0.6614648,0.86383045,0.26798505,0.91327626,0.84448636,1.0667725,1.4269376,0.5098766,0.88091034,0.998045,0.2793641,0.66331637,1.2377318,1.3161527,1.2227284,1.1393493,1.4386904,1.1730244,0.89715505,1.3186607,1.3253525,0.46369982,1.2518847,0.96837145,1.2680283,1.37585,0.46960694,0.7917347,0.7732737,1.0098861,0.81608987,0.989559,1.2019997,0.9000169,0.5928729,1.0891858
crib,1.0691857,1.4168097,1.4523926,0.74450755,1.0132722,1.2817377,0.93745476,1.0590684,0.5786406,0.4447624,1.1068825,0.4312582,0.9247387,0.7746922,0.8327176,0.6535263,0.9653457,1.3369094,1.4276888,0.7053887,1.0903215,1.2566601,0.99772716,1.2765703,0.98848844,0.47709948,1.1851376,1.3556359,0.0,1.3696988,1.2180948,0.9984533,0.6331258,0.94091016,0.9198029,1.3591267,1.2070193,0.9169422,1.1007006,1.3890357,1.3387666,0.8678715,0.919966,1.2178967,1.2628893,0.9689616,0.88131416,0.80387056,0.93670344,0.30286372,1.1807067,1.0497817,1.2123625,1.0380837,1.2537903,1.2245748,1.314568,1.0780863,0.90430325,1.1802726,1.3816838,1.0006735,1.3433719,1.3025993,1.0209401,0.9144714,0.9432397,0.90427995,0.8427853,0.97658956,1.0636468,0.76065195,0.6469374,1.4678867,0.71457034,1.0150352,0.7383093,0.54307276,1.370889,1.3148326,1.2935505,1.1095277,1.1478639,0.9186914,0.73576224,0.8934297,1.4601622,0.6134325
cup,1.2464966,0.35909367,0.473548,1.3376133,1.1191735,0.7634449,1.2068487,0.7414643,1.2866316,1.4901148,1.2190537,1.3117999,1.3040476,1.2420923,1.3121718,1.351137,0.9096868,0.14257145,0.2710533,1.1292237,0.8016138,0.5216118,0.80971396,0.48997647,1.0505869,1.0086577,0.8036492,0.21627879,1.3696988,0.0,0.84777665,1.0735719,1.2534779,1.304218,1.1443658,0.8794988,0.79071146,1.0809708,1.0472045,0.7229557,0.8224739,1.2434901,1.3076918,1.1683495,0.7946845,0.92752653,1.3283048,1.2312374,1.3977937,1.1239055,0.32146215,1.247785,0.6606303,0.9854779,0.3067732,0.82729363,0.79063284,1.0763515,1.3082044,0.55814826,0.8020892,1.0422323,0.23078907,0.80796397,1.2542286,1.3076644,1.1766115,1.2342162,1.3894271,1.2460456,1.0040855,1.27617,1.4073125,0.46259522,1.2563233,0.96668935,1.2422912,1.3848002,0.35356116,0.81004095,0.8881668,0.9668768,0.8676673,1.003023,1.2161714,0.92091644,0.59272885,1.0997493
dog,0.8228905,0.7571868,0.74518037,1.2129545,1.1378791,1.0401138,1.3788226,0.81636727,1.2610354,1.2071067,1.0231477,1.0705116,1.1310844,1.1918935,0.9414615,1.3445001,1.0641885,0.8457693,0.67839515,1.1307058,0.76252013,1.0323124,0.82971704,0.5125094,0.92728275,0.96241635,0.98692995,0.9637193,1.2180948,0.84777665,0.0,1.130217,0.9925611,1.163341,0.98100185,0.75332236,0.9885551,1.0449562,1.2310383,0.6066903,0.64005613,1.0159132,1.016237,0.9723484,0.800787,1.0045214,1.0379988,1.2013516,1.1332664,1.0562484,0.7823185,1.2846067,0.711537,1.1455133,0.89408934,0.5718676,0.66875947,1.0407498,1.0396813,0.89627,0.57207775,0.9575267,0.87927705,1.0915202,1.0956724,1.022352,0.715243,1.3911788,1.09365,1.2161168,0.9992005,1.0992094,1.4214007,0.71269745,1.2155464,0.9103372,1.2285157,1.2092365,0.66338444,0.95501316,0.9046012,0.7264534,1.2814977,1.0694983,1.180302,0.8281312,0.7775218,1.0376391
doll,0.89172816,1.128078,1.1560831,1.0892258,0.98237264,0.98890936,0.95355797,1.0194033,1.0320562,1.08273,1.1467875,0.98966175,1.0981717,0.8690308,0.80015856,1.0228556,1.1439893,0.9538568,1.1011897,1.0278102,0.94911444,0.9251898,1.0369622,1.147648,1.056526,0.8890508,1.0998174,0.95659137,0.9984533,1.0735719,1.130217,0.0,1.1868774,1.0801088,1.1184864,1.2373184,0.7983318,1.0574132,0.9340477,1.137312,0.9483971,1.0309753,1.2324071,1.1278714,1.095104,0.8682139,1.0884842,0.760798,1.1841114,0.92223907,0.8304356,1.1047317,0.9738276,0.7136079,1.0523989,0.84118676,1.2390285,1.1645218,1.2027847,1.088188,1.0767603,0.81234986,1.0820872,0.9613493,1.1497103,0.9570022,1.0070566,0.9535538,1.1573431,0.97110933,0.7734484,1.1194236,0.9301302,0.84132326,1.0230072,0.91274,0.78858054,1.0933174,1.118461,0.9178797,0.9765126,0.7857354,0.81154215,1.0821464,1.0642922,0.9102974,1.0549314,1.0108323
door,1.0624102,1.2387996,1.3332125,0.7138847,1.1326417,1.3196192,1.040612,1.0103753,0.85487723,0.58443016,0.9335697,0.75013775,0.8697655,0.9366751,0.94407666,0.8470385,0.9526495,1.2919475,1.1881412,0.9578869,0.92667663,1.3481674,0.8462254,0.9237101,0.6710075,0.8912892,1.014833,1.2997568,0.6331258,1.2534779,0.9925611,1.1868774,0.0,0.74898016,0.91562086,1.1823435,1.2444906,1.0168647,1.2702833,1.2529035,1.2773366,0.7280457,0.92659277,1.2182417,1.2205434,1.0543687,0.8259393,1.080231,0.81149733,0.7918768,1.159976,1.1647375,1.0742683,1.2672191,1.215741,1.2300436,1.026706,0.9106369,0.6522665,0.9531612,1.1616337,1.0702995,1.2108968,1.3612453,0.9804076,0.9304132,0.84982574,1.0864027,0.7179921,1.0315998,1.0290451,0.826705,0.8903127,1.3352834,0.64431024,1.1018968,0.9140904,0.77514416,1.18353,1.3406925,1.323501,1.1902823,1.3676866,0.95127845,0.74515593,0.99516433,1.3057582,0.45033753
elephant,0.9518322,1.2598419,1.3054755,0.7742506,1.097089,1.2142662,0.8857224,1.1530516,1.0080436,0.7701653,0.94245535,0.9794914,0.74498826,0.96500605,0.8517174,0.9241127,1.0999466,1.3446082,1.3146453,1.1480877,0.95896614,1.3542114,1.2280849,1.2561474,0.8809444,1.1320906,1.0959982,1.2596631,0.94091016,1.304218,1.163341,1.0801088,0.74898016,0.0,0.9754839,1.0761524,1.1599773,1.0968902,1.0738184,1.2078836,1.1289623,0.67067283,0.96913195,1.0233688,1.1789607,1.0891547,0.7208469,0.8444316,0.5605892,1.0071428,1.3278034,0.88640076,1.1220194,1.1493226,1.2272323,1.0987986,1.114148,0.8193553,0.6224506,1.1015269,1.171836,1.1763558,1.2311138,1.1166713,0.8617338,0.9290894,1.1115415,0.89327693,0.6966406,0.82358235,1.0851282,0.98791635,0.88337976,1.2500619,0.812606,1.1729121,0.9155742,0.9072175,1.2716628,1.1779374,1.1034651,1.030138,1.1652923,1.058799,0.80506754,1.1896731,1.1580286,0.9828992
face,0.903667,1.1265504,1.0759633,0.91314405,1.060856,1.1428907,1.0022447,1.1603161,1.0119183,0.9035706,1.0295328,0.9833344,0.88764656,0.9533739,1.049742,1.0131236,1.11454,1.147929,1.1703511,1.0431176,1.144818,1.2601249,1.1387501,1.0492724,1.0129871,1.0351024,1.1765264,1.2012047,0.9198029,1.1443658,0.98100185,1.1184864,0.91562086,0.9754839,0.0,0.92403984,1.1205616,1.0077546,1.0286367,0.9569408,1.1401167,0.89425856,0.52179056,0.92508435,0.7083566,1.0743343,0.81520104,1.0729364,0.8734165,1.0327421,1.1616824,1.0189246,1.0723474,1.0930835,1.0539408,1.0579507,1.028713,1.0141313,0.8321043,1.035496,1.1781913,1.0574316,1.1059198,1.2218175,0.94423217,1.0078146,0.923521,0.95576286,0.80254906,1.0462184,1.1545534,1.0340822,1.025716,1.228815,0.94747376,1.0759566,0.9696057,0.9761234,1.1106683,0.9848434,1.0918436,1.0508201,1.0985608,1.1384,0.92589784,1.0609899,1.1306306,0.99268794
finger,0.87536705,0.66598564,0.70092636,0.9092626,1.0820283,0.96982646,1.1604724,1.0008588,1.3348154,1.2861776,0.73639286,1.2993348,1.0846012,1.1359115,1.183739,1.3519917,1.0984193,0.929243,0.87823236,1.2478986,1.0028514,1.1447884,1.1111091,0.7966509,0.9700305,1.2583289,0.9956028,0.93522716,1.3591267,0.8794988,0.75332236,1.2373184,1.1823435,1.0761524,0.92403984,0.0,1.0903418,1.1409018,1.1567359,0.47961146,0.73560494,1.1201878,0.8661291,0.3147204,0.76482224,1.1442673,1.0335752,1.2436359,0.84964854,1.2218752,1.0344114,1.047697,0.909952,1.1405239,0.8516182,0.94777614,0.58732474,0.9746897,0.91730475,0.9163504,0.6735265,1.1139346,0.95016754,0.9289304,0.975671,1.0727488,1.018478,1.1849798,1.0233048,1.0879095,1.1123402,1.2096729,1.3832741,0.7996204,1.1153986,0.9776028,1.1687548,1.3222258,0.82680476,0.38931423,0.61191434,1.0456793,1.1813459,1.1707145,1.2462637,1.0594109,0.5500231,1.1896771
