Total categories: 282
Embedding dimension: 768

Categories:
  airplane: 489 embeddings
  alligator: 392 embeddings
  animal: 26 embeddings
  ankle: 235 embeddings
  apple: 30271 embeddings
  applesauce: 63 embeddings
  arm: 3574 embeddings
  ball: 37786 embeddings
  balloon: 28885 embeddings
  banana: 30641 embeddings
  basement: 3834 embeddings
  basket: 50495 embeddings
  bat: 5 embeddings
  bathroom: 9214 embeddings
  bathtub: 9711 embeddings
  beads: 2343 embeddings
  beans: 14 embeddings
  bear: 7 embeddings
  bed: 94768 embeddings
  bedroom: 2079 embeddings
  bee: 17 embeddings
  belt: 713 embeddings
  bench: 17338 embeddings
  bib: 2786 embeddings
  bicycle: 4202 embeddings
  bird: 421 embeddings
  blanket: 31821 embeddings
  blocks: 9316 embeddings
  boat: 153 embeddings
  book: 53373 embeddings
  boots: 7275 embeddings
  bottle: 69546 embeddings
  bowl: 107257 embeddings
  box: 80280 embeddings
  bread: 28752 embeddings
  broom: 1022 embeddings
  brush: 507 embeddings
  bubbles: 2412 embeddings
  bucket: 54424 embeddings
  bug: 22 embeddings
  bunny: 115 embeddings
  bus: 133 embeddings
  butt: 50 embeddings
  butter: 6997 embeddings
  butterfly: 545 embeddings
  button: 279 embeddings
  cake: 2279 embeddings
  camera: 975 embeddings
  can: 6090 embeddings
  candy: 25 embeddings
  car: 2661 embeddings
  carrot: 3033 embeddings
  cat: 4027 embeddings
  cereal: 619 embeddings
  chair: 379927 embeddings
  chalk: 816 embeddings
  cheek: 268 embeddings
  cheerios: 1777 embeddings
  cheese: 551 embeddings
  chicken: 178 embeddings
  chips: 343 embeddings
  chocolate: 15 embeddings
  clock: 17856 embeddings
  closet: 1730 embeddings
  cloud: 32 embeddings
  coat: 103 embeddings
  coffee: 296 embeddings
  coke: 678 embeddings
  comb: 1437 embeddings
  cookie: 2558 embeddings
  corn: 544 embeddings
  couch: 180927 embeddings
  cow: 230 embeddings
  cracker: 2139 embeddings
  crayon: 62515 embeddings
  crib: 8922 embeddings
  cup: 154429 embeddings
  deer: 67 embeddings
  diaper: 19239 embeddings
  dish: 1175 embeddings
  dog: 4716 embeddings
  doll: 4336 embeddings
  door: 71681 embeddings
  drawer: 23571 embeddings
  dress: 1606 embeddings
  drink: 149 embeddings
  dryer: 9492 embeddings
  duck: 31 embeddings
  ear: 337 embeddings
  egg: 11417 embeddings
  elephant: 110 embeddings
  eye: 203 embeddings
  face: 628 embeddings
  finger: 6616 embeddings
  firetruck: 48 embeddings
  fish: 985 embeddings
  flag: 1161 embeddings
  flower: 7526 embeddings
  food: 1049 embeddings
  foot: 834 embeddings
  fork: 9188 embeddings
  frog: 3114 embeddings
  game: 3 embeddings
  garage: 232 embeddings
  garden: 89 embeddings
  giraffe: 228 embeddings
  glass: 1034 embeddings
  glasses: 75762 embeddings
  glove: 3620 embeddings
  glue: 363 embeddings
  goose: 7 embeddings
  grapes: 2316 embeddings
  grass: 8234 embeddings
  gum: 1953 embeddings
  hair: 8361 embeddings
  hamburger: 428 embeddings
  hammer: 1101 embeddings
  hand: 53395 embeddings
  hat: 34263 embeddings
  head: 801 embeddings
  helicopter: 50 embeddings
  hen: 17 embeddings
  horse: 632 embeddings
  hose: 676 embeddings
  ice: 76 embeddings
  jacket: 1660 embeddings
  jar: 2504 embeddings
  jeans: 5524 embeddings
  jello: 10512 embeddings
  jelly: 956 embeddings
  juice: 176 embeddings
  key: 6 embeddings
  kitchen: 26876 embeddings
  kitty: 78 embeddings
  knee: 1 embeddings
  knife: 14929 embeddings
  ladder: 11578 embeddings
  lamb: 2 embeddings
  lamp: 239096 embeddings
  leg: 138 embeddings
  light: 8122 embeddings
  lip: 4305 embeddings
  lollipop: 594 embeddings
  meat: 261 embeddings
  melon: 3602 embeddings
  milk: 1195 embeddings
  mitten: 1168 embeddings
  money: 75 embeddings
  moon: 582 embeddings
  moose: 1 embeddings
  mop: 29 embeddings
  motorcycle: 287 embeddings
  mouse: 290 embeddings
  mouth: 377 embeddings
  muffin: 647 embeddings
  nail: 291 embeddings
  napkin: 49645 embeddings
  necklace: 4727 embeddings
  nose: 961 embeddings
  nut: 469 embeddings
  orange: 20964 embeddings
  oven: 31491 embeddings
  owl: 32 embeddings
  pajamas: 3541 embeddings
  pancake: 2870 embeddings
  pants: 6518 embeddings
  paper: 8735 embeddings
  pasta: 140 embeddings
  pastry: 39 embeddings
  peas: 869 embeddings
  pen: 12764 embeddings
  pencil: 12509 embeddings
  penguin: 89 embeddings
  penis: 326 embeddings
  penny: 36 embeddings
