Category,Count,Total_frames,Proportion,konkle_category,cdi_semantic
chair,262155,2626935,0.09979500825106065,big_obj,furniture_rooms
lamp,200703,2626935,0.07640196655037144,big_obj,household
table,164742,2626935,0.06271262897635457,big_obj,furniture_rooms
couch,162456,2626935,0.06184241330676244,big_obj,furniture_rooms
pillow,143127,2626935,0.05448440863591981,small_obj,household
cup,105120,2626935,0.04001621661746484,small_obj,household
toy,103218,2626935,0.03929217890811916,small_obj,toys
bed,85036,2626935,0.03237080475915849,big_obj,furniture_rooms
bowl,84414,2626935,0.03213402691730096,small_obj,household
plate,73273,2626935,0.027892962711296626,small_obj,household
refrigerator,66966,2626935,0.02549206584860303,big_obj,furniture_rooms
box,66780,2626935,0.025421260899108657,small_obj,household
door,63790,2626935,0.024283052302398044,big_obj,furniture_rooms
bottle,60385,2626935,0.022986864920525252,small_obj,household
glasses,59884,2626935,0.022796148363016213,small_obj,household
window,56701,2626935,0.021584470114410902,big_obj,furniture_rooms
book,44679,2626935,0.017008034077736982,small_obj,toys
crayon,43598,2626935,0.016596527892772377,small_obj,toys
hand,42068,2626935,0.01601410008241544,others,body_parts
bucket,38445,2626935,0.014634926254361072,small_obj,household
napkin,35574,2626935,0.013542017598455995,small_obj,household
sink,34430,2626935,0.013106529091888456,big_obj,furniture_rooms
towel,33280,2626935,0.012668756554692065,small_obj,household
ball,31240,2626935,0.011892186140882817,small_obj,toys
plant,30228,2626935,0.011506946308149992,small_obj,household
basket,29758,2626935,0.011328030575556685,small_obj,household
blanket,28391,2626935,0.010807652263950192,small_obj,household
oven,28160,2626935,0.01071971708473944,big_obj,furniture_rooms
balloon,24675,2626935,0.009393075961148639,small_obj,toys
toe,22253,2626935,0.008471088930635893,others,body_parts
drawer,20480,2626935,0.007796157879810502,big_obj,furniture_rooms
spoon,19544,2626935,0.007439849101709787,small_obj,household
banana,15486,2626935,0.0058950830530637415,small_obj,food_drink
hat,15168,2626935,0.005774029429734652,small_obj,clothing
bread,13864,2626935,0.005277633439731094,small_obj,food_drink
slipper,13689,2626935,0.005211015879722947,small_obj,clothing
apple,11691,2626935,0.004450433680315653,small_obj,food_drink
clock,10896,2626935,0.004147799621992931,small_obj,household
knife,10398,2626935,0.00395822507979832,small_obj,household
tray,10350,2626935,0.003939952834767514,small_obj,household
purse,10270,2626935,0.003909499093049504,small_obj,household
stroller,9464,2626935,0.003602677645240556,big_obj,vehicles
shirt,9402,2626935,0.0035790759954090986,small_obj,clothing
ladder,8488,2626935,0.003231141996280837,big_obj,outside
bathtub,8421,2626935,0.003205636987592004,big_obj,furniture_rooms
shoe,8415,2626935,0.003203352956963153,small_obj,clothing
orange,8009,2626935,0.003048800217744253,small_obj,food_drink
crib,7976,2626935,0.0030362380492855745,big_obj,furniture_rooms
fork,7873,2626935,0.002997028856823637,small_obj,household
egg,7526,2626935,0.0028649357521217693,small_obj,food_drink
hair,7311,2626935,0.002783091321254618,others,body_parts
bench,7075,2626935,0.0026932527831864893,big_obj,furniture_rooms
pumpkin,6853,2626935,0.002608743649919012,small_obj,food_drink
pen,6607,2626935,0.002515098394136132,small_obj,toys
flower,6433,2626935,0.002448861505899461,small_obj,outside
slide,5725,2626935,0.002179345891695074,big_obj,outside
pants,5664,2626935,0.0021561249136350918,small_obj,clothing
paper,5506,2626935,0.0020959787737420224,small_obj,household
finger,5343,2626935,0.0020339292749915775,others,body_parts
can,4817,2626935,0.0018336959231956633,small_obj,household
pencil,4639,2626935,0.0017659363478730917,small_obj,toys
vacuum,4433,2626935,0.0016875179629492164,small_obj,household
jeans,4220,2626935,0.0016064348756250155,small_obj,clothing
dog,4206,2626935,0.0016011054708243637,animated,animals
doll,3810,2626935,0.0014503594493202154,small_obj,toys
grass,3804,2626935,0.0014480754186913646,big_obj,outside
shorts,3792,2626935,0.001443507357433663,small_obj,clothing
necklace,3668,2626935,0.001396304057770748,small_obj,clothing
cat,3609,2626935,0.0013738444232537159,animated,animals
toothbrush,3430,2626935,0.0013057041761596689,small_obj,household
sock,3369,2626935,0.0012824831980996865,small_obj,clothing
arm,3084,2626935,0.0011739917432292766,others,body_parts
watch,3070,2626935,0.001168662338428625,small_obj,household
scissors,3048,2626935,0.0011602875594561722,small_obj,household
pajamas,3041,2626935,0.0011576228570558465,small_obj,clothing
frog,2770,2626935,0.0010544608069860883,animated,animals
glove,2704,2626935,0.0010293364700687303,small_obj,clothing
melon,2411,2626935,0.0009177996410265195,small_obj,food_drink
car,2324,2626935,0.0008846811969081839,big_obj,vehicles
bib,2263,2626935,0.0008614602188482014,small_obj,clothing
carrot,2183,2626935,0.0008310064771301916,small_obj,food_drink
jar,2155,2626935,0.0008203476675288882,small_obj,household
tree,1929,2626935,0.0007343158471755107,big_obj,outside
cookie,1926,2626935,0.0007331738318610853,small_obj,food_drink
pizza,1809,2626935,0.000688635234598496,small_obj,food_drink
shovel,1722,2626935,0.0006555167904801604,small_obj,outside
gum,1707,2626935,0.0006498067139080336,small_obj,food_drink
soup,1684,2626935,0.0006410512631641056,small_obj,food_drink
tape,1661,2626935,0.0006322958124201778,small_obj,household
closet,1529,2626935,0.0005820471385854617,big_obj,furniture_rooms
jacket,1252,2626935,0.0004766010578868529,small_obj,clothing
comb,1218,2626935,0.0004636582176566988,small_obj,household
strawberry,1130,2626935,0.00043015910176688805,small_obj,food_drink
dress,1087,2626935,0.0004137902155934578,small_obj,clothing
pickle,1085,2626935,0.0004130288720505075,small_obj,food_drink
mitten,1004,2626935,0.00038219445856102263,small_obj,clothing
milk,993,2626935,0.0003780070690747963,small_obj,food_drink
sweater,989,2626935,0.0003764843819888958,small_obj,clothing
dish,986,2626935,0.00037534236667447043,small_obj,household
nose,859,2626935,0.0003269970516971299,others,body_parts
broom,849,2626935,0.0003231903339823787,small_obj,household
glass,833,2626935,0.0003170995856387767,small_obj,household
fish,750,2626935,0.00028550382860634163,animated,food_drink
foot,728,2626935,0.00027712904963388894,others,body_parts
soap,575,2626935,0.00021888626859819523,small_obj,household
horse,560,2626935,0.0002131761920260684,animated,animals
belt,558,2626935,0.00021241484848311815,small_obj,clothing
face,557,2626935,0.00021203417671164304,others,body_parts
hose,519,2626935,0.0001975686493955884,big_obj,outside
cracker,515,2626935,0.0001960459623096879,small_obj,food_drink
muffin,492,2626935,0.0001872905115657601,small_obj,food_drink
radio,414,2626935,0.00015759811339070056,small_obj,household
tooth,410,2626935,0.0001560754263048001,others,body_parts
potato,389,2626935,0.00014808131910382252,small_obj,food_drink
butterfly,386,2626935,0.00014693930378939716,animated,animals
bird,375,2626935,0.00014275191430317081,animated,animals
raisin,361,2626935,0.00013742250950251909,small_obj,food_drink
scarf,338,2626935,0.0001286670587585913,small_obj,clothing
alligator,328,2626935,0.00012486034104384005,animated,animals
mouth,318,2626935,0.00012105362332908885,others,body_parts
ear,298,2626935,0.0001134401878995864,others,body_parts
shower,296,2626935,0.00011267884435663616,big_obj,furniture_rooms
corn,295,2626935,0.00011229817258516103,small_obj,food_drink
hamburger,276,2626935,0.00010506540892713372,small_obj,food_drink
motorcycle,264,2626935,0.00010049734766943225,big_obj,vehicles
rock,254,2626935,9.669062995468103e-05,small_obj,outside
coffee,250,2626935,9.516794286878053e-05,small_obj,food_drink
pony,244,2626935,9.288391223992981e-05,animated,animals
nail,236,2626935,8.983853806812883e-05,small_obj,household
swing,224,2626935,8.527047681042737e-05,big_obj,outside
sprinkler,222,2626935,8.450913326747712e-05,big_obj,outside
zebra,200,2626935,7.613435429502443e-05,animated,animals
chips,200,2626935,7.613435429502443e-05,small_obj,food_drink
meat,194,2626935,7.38503236661737e-05,small_obj,food_drink
eye,182,2626935,6.928226240847224e-05,others,body_parts
giraffe,170,2626935,6.471420115077077e-05,animated,animals
rooster,168,2626935,6.395285760782052e-05,animated,animals
ankle,166,2626935,6.319151406487027e-05,others,body_parts
sauce,155,2626935,5.9004124578643936e-05,small_obj,food_drink
pig,143,2626935,5.443606332094247e-05,animated,animals
truck,140,2626935,5.32940480065171e-05,big_obj,vehicles
pasta,128,2626935,4.872598674881564e-05,small_obj,food_drink
tricycle,122,2626935,4.6441956119964903e-05,big_obj,vehicles
snow,117,2626935,4.453859726258929e-05,big_obj,outside
leg,115,2626935,4.3777253719639046e-05,others,body_parts
elephant,99,2626935,3.768650537603709e-05,animated,animals
stick,79,2626935,3.007306994653465e-05,small_obj,outside
penguin,76,2626935,2.8931054632109283e-05,animated,animals
coat,69,2626935,2.626635223178343e-05,small_obj,clothing
deer,56,2626935,2.131761920260684e-05,animated,animals
applesauce,45,2626935,1.7130229716380497e-05,small_obj,food_drink
sandwich,43,2626935,1.6368886173430254e-05,small_obj,food_drink
firetruck,43,2626935,1.6368886173430254e-05,big_obj,vehicles
boat,41,2626935,1.5607542630480007e-05,big_obj,vehicles
helicopter,41,2626935,1.5607542630480007e-05,big_obj,vehicles
mop,29,2626935,1.1039481372778542e-05,small_obj,household
owl,29,2626935,1.1039481372778542e-05,animated,animals
pastry,26,2626935,9.897466058353175e-06,small_obj,food_drink
cloud,26,2626935,9.897466058353175e-06,others,outside
duck,25,2626935,9.516794286878054e-06,animated,animals
toast,9,2626935,3.4260459432760995e-06,small_obj,food_drink
bear,6,2626935,2.284030628850733e-06,animated,animals
game,3,2626935,1.1420153144253665e-06,others,toys
