,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
comb,0.74739766,1.2175453,1.2751238,0.8509436,0.77234036,1.2002617,1.0420007,1.0432357,0.8163095,0.8907087,0.9730246,0.89065886,0.87800896,0.8359467,0.91952187,1.1188846,0.7377305,0.9055673,1.3906214,1.203486,0.8069088,1.1576061,0.9024733,1.1121795,1.068562,1.310007,1.0960776,0.9864755,1.020803,0.91607785,0.96941924,1.1063501,1.081417,1.157949,0.72935134,0.0,0.94501716,1.0270228,0.91460395,1.2322057,1.1822438,0.8577625,1.3416513,0.7704752,0.91764784,0.97316635,1.1217929,0.8433726,0.88338584,1.2038522,0.97965336,0.93874586,0.99096864,1.0867678,0.92841256,1.1674342,1.0882953,0.84330225,1.1679157,0.81995404,0.73258126,1.0597981,1.0508137,0.8150324,1.0145375,0.96118957,0.82792634,1.1641862,1.0075133,0.6256424,1.0034251,1.1089439,0.9960858,1.1440133,0.84625185,1.1176717,0.9524832,1.0972009,1.0051454,0.73495555,1.1594764,0.88845056,0.83581364,1.3130246,1.3526372,1.2468356,1.118458,1.2392588,1.1341801,0.95999146,1.019969,0.91854775,0.70331204,1.1978345,1.0661387,1.2530755,0.90519327,1.2278873,1.2420809,1.2711658,1.1433966,1.3810657,0.843977,0.9530096,1.127246,1.0384171,1.0355892,0.9779238,1.0417924,0.6354969,1.0197744,0.879122,0.8681446,1.1926988,1.0470409,1.0328163,0.85053366,1.2375948,1.3254606,0.64086723,1.1896925,0.9176246,1.0350085,0.99566674,0.7586247,1.078778,1.1216133,1.3261371,0.8424472,1.2621543,1.0975269,0.6398812,1.0244433,0.92808074,1.1216933,1.0006064
cookie,0.9393322,1.0783875,0.6808628,1.0214401,1.1402869,0.773162,0.7761514,0.7317836,1.1778755,1.0860957,1.0562851,1.0611614,1.2791955,1.1333745,1.011597,1.0560777,1.0891892,1.0937017,1.1480145,1.026391,1.0494552,0.8169606,1.1489255,1.0458308,1.0730225,1.2699335,1.0659274,0.9947076,0.9609283,1.2602264,0.80781853,1.0256127,1.2012787,1.1828935,1.0537745,0.94501716,0.0,0.9400659,1.0168426,0.96930575,1.0851605,1.0490496,1.1393704,0.8972239,0.9607348,0.76992476,1.1774111,1.079771,1.0934588,0.6154609,1.1709697,0.95365953,0.7810954,1.034257,0.98271054,1.0225276,0.79486644,0.9795471,1.134772,0.54808444,0.8006371,0.95886344,1.1975693,0.7399422,0.9067059,0.9224149,0.9540275,1.0730206,1.1315843,1.0422876,1.1821017,1.0252955,1.1824219,1.1338081,1.0906473,1.1078948,1.0273082,0.88771427,1.048055,1.0094184,1.1874963,0.905498,0.80161977,1.0238632,1.2717495,1.269284,0.864881,0.68173695,1.3171036,1.0201668,1.0495613,1.0902739,1.0020776,1.1149957,1.099386,0.8859115,0.90337765,1.1399441,0.9168512,1.1257594,0.9629311,1.0602704,1.0607256,0.807994,0.91166615,1.2129881,1.1465337,0.8831998,0.9705828,0.99621797,0.9867201,1.2148908,1.1346215,1.2246065,1.1027269,1.1296921,1.124206,1.1250488,0.9382135,1.0957628,1.101994,0.74731326,1.1218848,1.076962,0.9751781,0.8329822,1.0300285,1.0962303,1.1003411,1.2731657,0.7079216,0.8859638,0.9948803,1.1977754,1.0987611,1.118515
corn,1.1741767,0.9417435,0.8567062,0.93290055,1.1318693,0.875769,0.94331574,0.6488935,0.8252964,1.0943165,1.0974374,1.2949042,0.91251755,1.083264,1.1325512,1.0296419,1.1845663,0.88052905,0.9025531,0.8609017,1.010914,0.80974245,1.0341543,0.9043247,0.95344406,0.8403396,1.036117,0.99210346,1.2264552,1.1461006,1.0875511,0.8322587,1.08953,1.0735097,1.0354296,1.0270228,0.9400659,0.0,1.221584,0.82655007,0.82279724,1.2799377,0.8541534,1.0366627,1.2474432,1.1164231,1.0866295,1.0068562,1.1439376,0.8664106,1.0491343,1.0762541,1.165293,0.9684328,1.1422129,0.9695536,0.8720006,1.0147665,0.8809264,1.0044445,1.1571908,1.0681671,0.93454057,0.86827403,1.1943526,0.8540064,1.0401806,1.0026191,1.0850319,1.0568254,1.2035335,0.87372184,1.187168,0.88480616,1.1899316,0.79883355,1.0181651,0.7878895,0.94008034,1.1233175,0.7914946,1.151505,1.0010331,0.9933946,0.8478631,0.87535816,1.0907471,0.8575583,1.0863408,1.0314057,1.1837634,1.2157079,0.9979653,0.9234637,0.8291534,0.86174864,1.165563,0.97023493,0.8397119,0.86760104,0.84869546,0.90934134,1.05358,1.1511496,0.9730206,1.0297832,1.1394092,0.8538711,1.1804895,0.9373257,1.205646,0.8540498,1.1510758,0.9112391,1.183883,0.81035465,1.1474943,0.8975023,0.8363284,0.9244638,0.8812835,1.0557767,1.1479782,1.170569,1.1966528,0.87902296,0.9599322,0.87724155,0.8987469,0.8368021,0.9140768,1.0388082,1.0907239,0.9741405,0.94136006,1.1228981
couch,0.5748455,1.1141397,1.3796294,1.056466,0.7250307,1.4052371,1.1996762,1.4026493,1.1833372,0.6268451,0.966385,0.22375858,0.8738513,0.34734523,0.68109477,0.99470437,0.4319694,1.2597278,1.3741512,1.3479681,0.81490135,1.4160782,0.835989,1.1140076,1.2350106,1.1192598,1.0138856,1.0020869,0.6440879,0.37142205,0.8365265,1.4735129,0.6504791,0.7342129,0.9255808,0.91460395,1.0168426,1.221584,0.0,1.4224833,1.5046644,0.45041627,1.4175444,1.0595984,0.6157628,0.8191627,0.66778886,0.90381557,0.7876988,1.302781,0.9105442,1.2154807,0.80973625,1.1945125,0.92636716,1.2724067,1.2737911,0.91011405,1.4532685,1.133539,0.6701288,1.3194845,1.1737566,1.3927685,0.7180891,1.0354512,0.89989877,1.230515,0.94719934,0.720348,0.48285878,1.2030783,0.47122216,1.3950396,0.41677386,1.3021815,1.0381156,1.26226,1.094309,0.7087966,1.2509384,0.8621734,0.89566046,1.4189023,1.3678834,1.343524,1.1381121,1.3356073,0.7708605,1.0005468,0.6031277,0.39377207,0.9942288,1.401061,1.3902391,1.4865956,0.66652757,0.78001845,1.3820564,1.3262595,1.3868681,1.4026734,0.86621135,0.7486409,1.3601794,0.81230044,0.8899985,1.1669102,0.7321519,1.2955667,0.57508004,1.228261,0.64062583,1.355587,0.6620357,0.98639107,0.7576918,1.410609,1.5226442,0.970355,1.4694884,0.9389386,0.7436936,0.55108964,0.41699237,1.4834712,1.2726442,1.4254227,1.3749352,1.388408,1.419494,0.823665,0.92144966,0.8136188,1.4223325,0.7496369
cracker,1.2336364,0.8875749,0.64050734,0.9472834,1.317205,0.74938595,0.9218858,0.43883097,0.96954846,1.3978484,1.191858,1.4598805,1.0943723,1.3432286,1.271375,1.0153563,1.291934,0.8446657,0.812962,0.8751298,1.2532699,0.1079092,1.1385878,1.0756481,0.74483454,0.9833003,1.052364,0.88623005,1.2312315,1.3317633,0.82774985,0.8072939,1.333277,1.3113451,1.2623787,1.2322057,0.96930575,0.82655007,1.4224833,0.0,0.65363026,1.4664569,0.7907006,1.195827,1.1758839,1.1173136,1.386229,1.2053427,1.2862948,0.6262622,1.2789795,0.957188,1.2142704,0.7895161,1.2513883,0.7271061,0.63336205,1.0954927,0.43606806,0.75344807,1.2601335,0.8494305,0.72903985,0.7150878,1.2766957,0.79992664,1.0255746,0.8190173,1.2480104,1.2708244,1.387824,0.8890071,1.3696488,0.5841269,1.3859569,0.89077586,0.9948228,0.77036536,1.0680978,1.1370696,0.97790045,1.2448277,0.81649965,0.7008319,0.61347735,0.76151055,0.89891464,0.66126275,1.1683306,1.0262544,1.3548832,1.4009502,1.1041594,0.7627739,0.643402,0.45903873,1.16763,0.91454506,0.13627172,0.7628926,0.5559445,0.6754961,0.9788012,1.0822477,0.7948631,1.3153609,0.9700954,0.5204865,1.2682154,0.92475414,1.359235,0.9351473,1.265588,0.66255295,1.3572378,1.1128644,1.2584058,0.69307226,0.5883624,1.0914054,0.39963353,1.1044972,1.229408,1.3642882,1.3960449,0.70698917,0.6760333,0.45782232,0.68684417,0.6690514,0.7820864,1.2876482,1.164639,1.1291467,0.7658663,1.3855519
crayon,1.6089101,0.57188624,0.39877594,1.2255876,1.4048218,0.63703966,0.847749,0.6252962,0.9385907,1.3326445,1.2675809,1.6078758,0.81390834,1.2943609,1.5952635,0.50743747,1.5069647,0.44914275,0.33319187,0.32046187,1.2615258,0.6899752,1.1181135,0.97149044,0.69552416,0.49779958,1.0973446,0.6764847,1.345151,1.3630056,1.3112915,0.5217488,1.2354865,1.3188747,0.9823041,1.1822438,1.0851605,0.82279724,1.5046644,0.65363026,0.0,1.5697043,0.34786308,1.2697632,1.5025799,1.357024,1.2614946,1.053106,1.4097764,0.6590965,1.2895924,0.7824162,1.2684237,0.6009808,1.2920734,0.57295436,0.8262981,1.2846031,0.38782763,0.92818147,1.4881768,0.58657897,1.0086305,0.7119084,1.3665519,1.2602862,1.275826,0.65659094,1.2802651,1.200692,1.5215489,1.0350695,1.2358432,0.29616797,1.4315646,0.7271248,0.9745477,0.7319404,1.1637495,1.5305545,0.809029,1.292707,1.4460249,0.31678033,0.41210485,0.3729214,0.67110944,0.45690084,1.1995252,0.9765444,1.553458,1.5184003,1.1457423,0.106364906,0.10244435,0.27458,1.3883156,0.61625814,0.61997354,0.52128243,0.49620235,0.5200436,1.2819666,1.3399142,0.7569688,1.269805,1.1826416,1.0289602,1.3680892,0.73090386,1.4803185,0.94805914,1.3597634,0.31526768,1.367955,0.7540522,1.3077958,0.18849593,0.4151225,1.1840396,0.29697305,1.2322813,1.3287903,1.5297272,1.5930654,0.5249704,0.6237847,0.25201368,0.4408967,0.43358576,0.60064024,1.4766872,1.1748859,1.0224684,0.39038455,1.3195374
crib,0.49244833,1.3380831,1.4536219,1.0263964,0.6160586,1.4133701,1.3178735,1.3702425,0.93863666,0.48271453,0.66337264,0.19397974,1.2335854,0.66235816,0.5127099,1.2034044,0.47358584,1.2823031,1.3794422,1.3327299,0.5594465,1.5076659,0.8539332,1.0409997,1.3220513,1.3417039,0.97742873,1.2208148,0.6913706,0.6105582,0.8353327,1.466537,0.76106495,0.86422354,0.90821165,0.8577625,1.0490496,1.2799377,0.45041627,1.4664569,1.5697043,0.0,1.430908,0.793361,0.6077081,0.67000705,0.68059826,0.8216341,0.57159173,1.328744,0.7223171,1.2971483,0.7905131,1.4744122,0.51103497,1.43259,1.193347,0.9977448,1.5283463,1.0440886,0.5425915,1.4065434,1.3290967,1.3191539,0.7817128,1.0215569,1.0256314,1.4303672,0.76739436,0.7567609,0.4990257,1.1785957,0.7098695,1.5699714,0.3911314,1.2908094,1.2422175,1.3251565,0.85724443,0.71394396,1.1818014,0.76225257,0.8586487,1.4810278,1.5303926,1.600834,1.3751004,1.4130051,0.85345846,0.9308375,0.5212798,0.5845416,0.74831414,1.4845881,1.5133929,1.5628128,0.67334896,1.2956867,1.4924846,1.4064947,1.4054475,1.3674839,0.93066835,0.68738574,1.4211185,0.67007756,1.0539819,1.1628869,0.6483531,1.0768332,0.54813504,1.2018478,0.8621551,1.5557765,0.54403675,1.1295165,0.43181348,1.5697138,1.4929484,1.0503798,1.5783647,0.94236577,0.63141555,0.5399388,0.3081181,1.3726252,1.5635561,1.5861504,1.4452689,1.5070467,1.2025046,0.59939843,0.723196,0.98353374,1.5615679,0.63666195
cup,1.5931171,0.61772275,0.550997,1.106698,1.4805037,0.698509,0.9199692,0.8759245,0.85587764,1.2038506,1.243492,1.5447202,0.9365362,1.1491776,1.462528,0.66695595,1.5517715,0.5437318,0.14055705,0.15576982,1.0025809,0.8534018,1.0341811,0.4935707,0.8676026,0.30794787,1.0039694,1.03667,1.3933439,1.134578,1.231313,0.5656272,1.1101322,1.2042052,0.9675842,1.3416513,1.1393704,0.8541534,1.4175444,0.7907006,0.34786308,1.430908,0.0,1.1706082,1.4937947,1.295274,1.0542085,0.99210054,1.3631179,0.71553826,1.2742974,1.012071,1.2998681,0.899655,1.2151464,0.67188317,0.84331,1.2204881,0.43145466,1.1994158,1.3404124,0.73064077,0.90091264,0.87947845,1.3376337,1.1651969,1.38241,0.6600354,1.2885842,1.3497477,1.4567653,0.6196903,1.3115261,0.48523885,1.3014213,0.6925075,1.0969955,0.8738157,0.95224285,1.4761319,0.70439476,1.1655309,1.3650311,0.37863815,0.34254354,0.5011251,0.87967056,0.5767175,0.8974168,1.0972252,1.438178,1.524403,1.1377418,0.36326408,0.46589422,0.5127084,1.3482754,0.64245033,0.75807285,0.5602907,0.49336356,0.45990545,1.096975,1.2185378,0.8851334,0.999688,1.1626903,1.1261523,1.3268218,0.964212,1.4476209,0.9364058,1.3356655,0.47749984,1.2360171,0.52130896,1.2680522,0.34798348,0.3859135,1.3227566,0.3945948,1.2175623,1.0633374,1.4316638,1.4531624,0.55209523,0.8309388,0.37520224,0.76654,0.38336748,0.68458855,1.3604784,1.1334558,0.8942053,0.50515234,1.1694661
dish,0.896293,1.2713385,1.1664662,0.7504245,0.7811731,1.0569334,1.0392329,0.9879159,0.91208017,0.8705237,0.9910202,0.9251166,1.0860894,1.0494356,0.7998923,1.2490698,0.9393808,1.0443135,1.2398266,1.1278658,0.6944349,1.1199253,1.0481837,0.8409437,1.156992,1.2296537,1.0554413,1.1904414,1.1209118,0.9940778,0.94212854,0.9251753,1.0800201,1.0209743,0.9308882,0.7704752,0.8972239,1.0366627,1.0595984,1.195827,1.2697632,0.793361,1.1706082,0.0,1.0763916,0.7802151,0.98917794,0.89330393,0.8182155,1.0789406,1.0098082,1.038902,1.0379859,1.1258208,0.8384266,1.3074743,1.0629133,0.8500161,1.1938052,0.8413252,0.7794415,1.1656008,1.0676427,0.66129345,1.0714366,0.85473734,0.81370187,1.2756708,1.0339334,0.9334853,0.9872288,0.8919452,1.1164697,1.257023,0.9517682,1.1132076,1.0478104,1.013905,0.7246767,0.7980319,1.0822515,0.9625747,0.76546884,1.2363179,1.315498,1.3088083,1.1998266,1.180824,1.0055784,1.2040584,0.92838347,1.0225105,0.66240585,1.2961588,1.2500194,1.1942594,0.94544125,1.3585703,1.2045027,1.2462957,1.0226527,1.1844817,1.0416574,0.8113855,1.0544972,0.8668897,1.056899,1.0036342,1.0606518,0.8763865,1.0306957,0.97360444,0.9451547,1.2976823,0.97322184,1.0426286,0.8627671,1.3103013,1.0496821,0.8557058,1.2475052,0.86108816,0.91324615,0.9215496,0.73796076,0.8039038,1.1854644,1.2979082,0.98640084,1.2586312,0.86866933,0.5611954,1.0795319,1.0817741,1.1268537,1.0227028
dog,0.33505613,1.2589419,1.3495353,1.0464989,0.6497527,1.3461156,1.194727,1.281271,1.256092,0.8419888,0.5401478,0.49185646,1.150113,0.88983667,0.6408006,1.1476823,0.55064267,1.4580207,1.3642589,1.4409689,1.05084,1.184264,1.0126439,1.3664377,1.2510039,1.4147604,1.0152568,1.0166411,0.18328387,0.9161589,0.7645232,1.4289486,0.94300246,0.774101,1.1534239,0.91764784,0.9607348,1.2474432,0.6157628,1.1758839,1.5025799,0.6077081,1.4937947,1.0763916,0.0,0.8627637,0.9348429,1.1847298,0.7389163,1.3067778,0.7175213,1.1500232,0.73076946,1.2108499,0.88499045,1.0887127,1.1096061,0.8799585,1.4084636,1.0054739,0.6359597,1.2146938,1.0178075,1.3274504,0.66130865,0.9658358,0.8089542,1.192951,0.5498725,0.82016325,0.5742833,1.2729118,0.7053815,1.4150207,0.727627,1.3029267,0.96246195,1.2319251,1.0990487,0.61584747,1.2907608,0.8311661,0.7576339,1.29774,1.3776307,1.2750964,1.0746235,1.3443785,1.0662075,0.6641214,0.59054786,0.5861463,1.0895761,1.3517563,1.5008094,1.369481,0.45004642,1.1551756,1.1789801,1.3006351,1.4032742,1.2925034,0.97471845,0.88935846,1.2412933,1.0555799,0.76323867,1.0209653,0.7059214,1.2607388,0.52887714,1.1574652,0.91221607,1.3479135,0.7666819,1.3393122,0.78838354,1.3742056,1.4653835,0.9049294,1.4306029,0.89962,1.0288262,0.64405143,0.64040685,1.4388117,1.2039189,1.3876281,1.3179059,1.4101077,1.3842039,0.8714562,0.8185529,1.1578156,1.319638,0.8291607
doll,0.6634723,1.1620795,1.2386144,0.7041109,0.94420266,1.1109391,0.9789776,1.1229975,1.08105,1.0185205,0.9415308,0.7427637,1.2072921,1.0440714,0.5942522,1.1994632,0.7850714,1.1515219,1.3128316,1.2858524,0.8264247,1.0983882,0.9927026,0.9950683,1.0650306,1.337975,0.96761066,1.1865314,0.9641112,0.9485081,0.76707613,1.281872,1.0968539,0.9414822,1.0400741,0.97316635,0.76992476,1.1164231,0.8191627,1.1173136,1.357024,0.67000705,1.295274,0.7802151,0.8627637,0.0,1.1107388,1.0441513,0.7317959,1.1007221,1.0116106,1.0685548,0.8424382,1.1042961,0.8991981,1.1762605,0.94549197,0.7547552,1.3144476,0.6969915,0.7999773,1.1643602,0.84355557,0.9867421,0.83930224,0.66495955,0.78049934,1.1395755,1.048928,0.96877015,0.9601925,1.0063552,1.046688,1.3569252,0.9442814,1.2351067,1.0401049,1.0808653,0.78462404,0.6246871,1.1164328,0.91527265,0.8335016,1.2703528,1.3179388,1.3590202,1.0659844,1.220192,1.1004729,1.2854623,0.6073979,0.93459266,0.9636194,1.3935357,1.3058279,1.3455913,0.7634921,1.1668948,1.1382457,1.1936955,1.2852033,0.9058431,0.9009885,0.70970064,1.1292875,1.0646787,0.93182695,0.9973512,0.8537625,1.0331305,0.9106139,0.9904401,0.92535734,1.3246442,1.0356439,1.2880101,0.97545666,1.3128421,1.2270935,0.7823343,1.2999563,0.9559559,0.7595953,0.89862734,0.7845055,1.1812223,1.0864642,1.2926681,1.1315193,1.3062674,0.7986435,0.80341125,1.0637351,1.0128957,1.27724,1.0477716
door,0.9288632,1.0755913,1.3518758,1.1151159,0.906543,1.2786117,1.3040715,1.364402,0.93488264,0.4878236,0.90593815,0.7302251,0.91573215,0.60879767,1.0118499,1.0120841,0.9226762,1.1623387,1.0163656,1.1255296,0.7663599,1.437027,0.6616523,0.8793427,1.1811904,0.706862,0.9371689,1.2735658,0.81027555,0.4513358,1.055157,1.034455,0.20624977,0.6296432,1.0206436,1.1217929,1.1774111,1.0866295,0.66778886,1.386229,1.2614946,0.68059826,1.0542085,0.98917794,0.9348429,1.1107388,0.0,0.61166,0.96682096,1.3609805,0.9121976,1.20236,1.0053785,1.2893046,0.822245,1.1994358,1.2242548,1.1643301,1.2129498,1.264507,0.90500474,1.2496365,1.1985755,1.4053078,0.8729662,1.1698028,1.1336309,1.1254822,0.93459076,0.8369922,0.73414516,1.0231878,0.7924439,1.1171484,0.46840084,0.8859508,1.0657332,1.2165985,1.0296589,1.0786531,0.76657593,0.9363593,1.1026108,1.26882,1.0135648,1.0874902,1.2666737,1.3386256,0.42007518,1.0336132,0.88709486,0.7855933,0.94436353,1.1766156,1.2340295,1.3368589,1.0363072,0.9939095,1.3464328,1.0469307,1.1844203,1.1661054,1.0281026,0.9856284,1.2478709,0.23643452,0.7987739,1.2237563,0.8882583,1.132175,0.8846835,1.14863,0.9350968,1.1813656,0.43709266,0.7679223,0.79054743,1.2194822,1.1444008,1.1811467,1.2680161,0.78719664,0.7461567,0.8238449,0.79311347,1.27812,1.3378773,1.2921412,1.3067665,1.0191714,1.3314111,0.9438454,0.869275,0.66889364,1.2826259,0.45440114
drawer,1.1317109,0.99485296,1.225748,1.0300777,1.0003123,1.1445189,1.1185141,1.0914015,0.8115666,0.5642972,1.1034381,0.97349244,0.7604641,0.6772513,1.18059,0.97499377,1.0099748,0.82291263,1.0706135,0.9224911,0.6695304,1.1809045,0.7805451,0.8052523,1.062285,0.8352126,0.94814974,1.1374261,1.1886489,0.765818,1.1273763,0.9204223,0.735076,1.0539842,0.8327817,0.8433726,1.079771,1.0068562,0.90381557,1.2053427,1.053106,0.8216341,0.99210054,0.89330393,1.1847298,1.0441513,0.61166,0.0,1.1073875,1.15451,1.055438,1.0595537,1.1266483,1.138964,0.81007534,1.0378269,1.1411787,1.0132223,1.0251021,1.0378041,1.0705851,1.1097299,1.0812603,1.1502974,1.1546633,1.0034221,1.0876993,1.1218344,1.20212,0.8670504,1.0692042,0.989449,1.0223644,0.9569706,0.82148826,0.9486412,1.1061248,1.0316503,1.0013384,1.1195035,0.8284054,0.9583146,1.12819,1.185669,1.0529585,1.1026561,1.0926495,1.1995964,0.6417042,1.1433389,1.154013,1.0779772,0.7583335,1.0139592,1.0169923,1.1982834,1.0834056,0.97034097,1.1659623,1.0684751,0.9145846,1.0962708,0.8572739,0.9884156,1.055188,0.53207827,1.0856848,1.0327003,1.1489642,0.7961186,1.1802231,0.8922072,0.9688986,1.0964595,0.78535527,0.6326665,0.80186915,1.0757867,1.0120392,1.0232893,1.08691,0.7897316,0.88341236,1.0886421,0.9819532,1.0591025,1.1592786,1.2050786,1.1290712,1.0083089,1.0822088,0.8158708,1.040847,0.7891153,1.1079693,0.90160364
dress,0.591223,1.2711972,1.2858814,0.9237135,0.67167073,1.2598919,1.197592,1.2495067,0.9111833,0.9117146,0.7687781,0.53133243,1.1828576,1.0065101,0.37012768,1.1873834,0.51178277,1.2332299,1.3161825,1.3773749,0.86153424,1.3068719,1.0888352,1.105628,1.1124773,1.3036356,1.1071675,1.0359179,0.8043852,0.92209417,0.9640456,1.3428638,0.9124622,0.7928625,0.9997453,0.88338584,1.0934588,1.1439376,0.7876988,1.2862948,1.4097764,0.57159173,1.3631179,0.8182155,0.7389163,0.7317959,0.96682096,1.1073875,0.0,1.2358156,0.73185843,1.0778098,0.87579453,1.2272816,0.750728,1.28802,1.121674,0.89971936,1.439692,1.0076205,0.80851936,1.2213233,1.0289233,1.1527295,0.8104564,1.0251588,0.95290357,1.2006056,0.76239914,0.98050964,0.5034323,1.1052481,0.8720528,1.4312563,0.84856886,1.277638,1.1435539,1.197077,0.82182384,0.628929,1.1728362,0.9419978,0.96721524,1.3142258,1.2762978,1.3211613,1.1637207,1.2621369,0.90041715,0.9857822,0.49610728,0.6537375,0.8773723,1.363337,1.3966115,1.3587252,0.81941825,1.2513883,1.3177555,1.3057823,1.3863492,1.1876707,0.87477696,0.98696184,1.2556074,0.88123155,1.0014225,1.1321946,0.6409236,1.1702716,0.62767863,1.0558199,0.6626786,1.3390801,0.80426085,1.265074,0.79464763,1.3804187,1.3256254,0.83860666,1.459465,1.0833774,0.8338725,0.56919587,0.6535236,1.2766706,1.2693214,1.3934178,1.19186,1.222419,1.1432536,0.8680046,0.9557734,1.1635964,1.3084488,0.8845668
egg,1.3095605,0.78416026,0.15016448,1.156416,1.3121401,0.3601187,0.5236375,0.5006102,1.0456798,1.2565193,1.2279596,1.3546839,1.221586,1.3076394,1.2269564,0.91770965,1.3298101,0.81851393,0.76537955,0.7211667,1.148504,0.5749537,1.263212,0.8515348,0.8727606,0.98329735,1.0572671,0.9086615,1.2981945,1.3934336,1.0745863,0.75672185,1.3565937,1.2939212,1.0557078,1.2038522,0.6154609,0.8664106,1.302781,0.6262622,0.6590965,1.328744,0.71553826,1.0789406,1.3067778,1.1007221,1.3609805,1.15451,1.2358156,0.0,1.3159101,0.9882274,1.0925248,0.8466353,1.1696959,0.7637938,0.700257,1.1493953,0.70279455,0.76738596,1.1952221,0.89291203,1.022252,0.63292825,1.1635327,1.0866444,1.1460259,0.8840738,1.2844722,1.2873423,1.3447162,0.93015254,1.3399227,0.7394462,1.3763252,0.8260657,1.1112349,0.67844355,0.9116233,1.2300055,1.0538043,1.1744233,1.0410266,0.62300396,0.8328415,0.9673363,0.8450905,0.102734745,1.2673999,1.0959059,1.328851,1.3648009,1.0603025,0.7808002,0.6937897,0.5114794,1.1360775,0.9111885,0.6346116,0.8888962,0.62757504,0.730303,1.1643373,1.0526807,0.67548823,1.2862321,1.2379708,0.9336863,1.1441009,0.9604566,1.2672313,1.1011466,1.2207003,0.8007903,1.2705271,0.9395751,1.256933,0.77813816,0.5537296,1.1961021,0.63134164,1.1053305,1.2288469,1.2646246,1.301852,0.50670856,0.7749648,0.61380213,0.7481959,0.86686164,0.5086544,1.1238495,1.124956,1.2403486,0.8561182,1.3134542
elephant,0.79399115,1.1920413,1.3134047,1.0805019,0.6693362,1.277162,1.2530423,1.2306132,1.0962914,0.8199247,0.6322311,0.6687373,1.068715,1.0734397,0.70644176,1.152508,0.6940278,1.3492134,1.1859515,1.2258874,1.0035008,1.3200138,1.0402561,1.2184359,1.1780267,1.2403669,0.9557939,1.0856156,0.69138724,0.9747571,0.9984036,1.2716242,0.9204236,0.6675169,1.0516485,0.97965336,1.1709697,1.0491343,0.9105442,1.2789795,1.2895924,0.7223171,1.2742974,1.0098082,0.7175213,1.0116106,0.9121976,1.055438,0.73185843,1.3159101,0.0,1.0271611,0.85209846,1.1605715,0.7370343,1.3267174,1.1371481,0.9030796,1.3158557,1.2071636,0.9157628,1.1113111,1.1058211,1.2975401,0.81862783,1.0952724,0.9659726,1.1772765,0.3956777,0.9473438,0.5350634,1.2330443,0.80969554,1.3420918,0.8334533,1.0881803,1.0309879,1.1485327,0.99596184,0.75029534,1.1190873,0.8927741,0.9951315,1.2019341,1.2294258,1.1929722,1.1544542,1.3105276,0.9748963,0.71247935,0.63074195,0.6819426,0.9896718,1.1984569,1.2992295,1.3488052,0.9069787,1.2593625,1.3196766,1.3056486,1.3013935,1.1518979,1.083199,1.0985236,1.1271386,0.9433791,1.0510285,1.1340361,0.7347931,1.1176797,0.52495867,0.9484997,0.7620145,1.287793,0.8187599,1.1883144,0.6859518,1.2269831,1.3276798,0.87216425,1.3629966,1.0359592,0.998832,0.53007156,0.79463553,1.2571728,1.2317019,1.3122847,1.2849867,1.2052393,1.2604371,0.95562184,0.85102963,1.18923,1.1740376,0.8317534
