,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
bench,0.9924968,1.1433593,1.5617309,1.1828151,0.5220242,1.378206,1.4406993,0.9161513,1.0252616,0.45513725,0.24499696,1.2107885,0.0,0.6161198,1.2945278,0.46699095,0.9041679,1.4307976,1.2900298,0.5258654,1.5264536,1.1882522,1.1856961,0.98160106,1.3657194,0.713557,1.3609908,0.7268188,0.43574107,1.4087744,0.6285068,0.8045421,0.6613816,0.9470132,1.3718172,0.24426991,0.95622647,1.5289311,0.3174597,1.5321907,0.82695985,0.8575069,0.731014,0.8277686,0.7032396,1.4378595,0.7699866,0.9895935,1.3955784,0.8996658,1.3284906,1.453711,1.3611037,0.8290683,1.4474509,0.80338347,1.4441639,0.9337019,0.97277445,1.0463486,1.3546511,0.97388184,0.6892494,0.6301367,0.9399759,0.78571385,1.2672373,0.7117981,1.3196318,0.9920401,1.1224345,0.63225234,0.9587084,1.1633195,1.5244802,1.303443,1.4729744,1.2250758,1.4820942,0.8793818,0.7515106,0.5954608,0.59987044,0.7417184,1.5108237,1.5008514,1.3713944,1.0188469,0.8569763,0.88414985,1.3846419,1.1752504,1.3032962,0.934518,0.71261287,0.7282128,1.1520206,0.9043925,0.95868856,0.583581,0.80053294,0.8231912,1.2320616,0.55690676,0.8192456,0.50099725,1.4845642,1.364177,0.885823,0.89258265,1.467291,1.4656622,0.5907639,0.6486281,0.44333452,1.4084337,1.47978,1.503923,1.536896,1.2638861,1.1929207,0.655422,0.8888172,0.8027007,1.4188523,0.7171439
bib,1.0636483,1.2143381,1.3795158,1.0434873,0.6492209,1.2051256,1.3650962,0.7041743,0.95989007,0.76587605,0.5013304,1.3256202,0.6161198,0.0,1.3468214,0.41456628,1.0522463,1.4395949,1.2330045,0.86408246,1.3439322,1.4005368,1.2045166,1.1200255,1.4539708,0.9384541,1.2376832,0.7475819,0.9970441,1.3294303,0.9145442,0.8129955,0.9192005,1.0184283,1.220532,0.8350001,0.8203497,1.4622977,0.60766685,1.4828155,0.75786346,0.52092135,1.0465422,1.1528006,0.5394763,1.3109987,0.57578933,0.9502617,1.2270759,0.9075086,1.2543592,1.3477488,1.3212242,0.7540903,1.3798325,0.80987495,1.226278,0.90956074,0.95029986,0.888741,1.2722688,0.7650878,0.88448083,0.6345109,0.85789025,0.96516,1.382386,1.0108091,1.2356416,0.99299335,1.0145832,0.5345781,1.0463603,0.9958624,1.4076601,1.2262634,1.369767,0.9836447,1.3695539,1.1075002,0.59076786,0.41590142,0.8036057,0.73397857,1.4207392,1.3353593,1.2278415,1.1239164,0.7141981,1.1162894,1.4096336,1.1435928,1.0986351,0.7666104,0.78245807,0.99197894,1.1204059,0.8140496,1.0586076,0.48228425,0.72639287,0.8572656,1.21529,0.79723907,1.1370579,0.7218437,1.3901608,1.2864714,0.828906,0.87895185,1.3643785,1.4102807,0.71103084,0.6718566,0.65040404,1.3337246,1.2889698,1.4426272,1.3862215,1.1167656,1.0184183,0.9353511,0.9812289,1.1641344,1.3030584,0.91186684
bird,0.64553213,0.9291623,0.75389314,1.021925,1.3549299,0.8263916,0.73786557,1.1222358,1.0273106,1.2216783,1.3343308,0.6336592,1.2945278,1.3468214,0.0,1.2362332,0.8669581,0.74903333,0.82618445,1.1943331,0.9249975,0.76246977,0.89183974,0.57757103,0.7041911,1.0577172,0.85413253,1.0225617,1.2128046,0.835108,1.2206688,1.2966533,1.0823681,0.96252346,0.8179096,1.2220612,1.0046008,0.6214241,1.2992635,0.75326085,1.1184664,1.1853182,1.103908,0.900491,1.3438601,0.7772258,1.2739904,1.1695079,1.0330147,0.91661453,0.7504809,0.7115999,0.43590462,1.2532816,0.79848814,1.0846477,0.86466,1.247927,1.0246464,1.2787652,0.7581574,1.185662,1.211836,1.2831678,1.1753032,0.92189854,0.7583932,1.1606352,0.7921909,1.1829152,1.0165012,1.2971112,1.0275123,1.1576023,0.7601167,0.7131983,0.64071923,1.0835519,0.6741041,0.98752105,1.1774764,1.3333812,1.328219,1.1523042,0.6830443,0.79488707,0.7953594,0.74508667,1.1197056,1.0056018,0.7243351,0.80614376,0.9450814,1.2117124,1.043578,1.214851,0.27852213,1.2397166,0.8311847,1.3127413,1.1608353,1.1803821,0.8051058,1.1838951,1.0206897,1.2823058,0.70656806,0.8754981,1.189791,1.1420859,0.7014285,0.6932963,1.207366,1.3641948,1.3897073,0.7232782,0.98442066,0.773,0.7381823,0.7769724,0.88972604,1.1332735,0.97964305,1.0436822,0.7921979,1.1761177
blanket,0.9919208,1.1556417,1.4715378,1.1226747,0.6056376,1.207703,1.3638837,0.87005055,0.9339445,0.6413876,0.27640784,1.3026083,0.46699095,0.41456628,1.2362332,0.0,1.0305822,1.4627265,1.2437302,0.8255248,1.3676296,1.3242425,1.2525399,1.0929183,1.4724092,0.8403567,1.3189592,0.7478286,0.8312618,1.3232839,0.84525543,0.8124205,0.80050343,0.99815804,1.1951935,0.48928714,0.9474385,1.4636877,0.5314636,1.5686723,0.65672284,0.7103764,0.9647895,1.0610627,0.7683011,1.3063048,0.55897903,0.96154267,1.3249938,0.81744087,1.2685068,1.4337045,1.2339772,0.8076362,1.4003965,0.8166988,1.3396925,0.9838366,0.9453572,0.98244965,1.3282642,0.98340183,0.77751976,0.65555453,0.9510268,0.759763,1.4558451,0.8677354,1.2823105,0.9301343,1.0685891,0.5985973,0.93311,1.1427747,1.4508027,1.1433331,1.4746983,1.1804081,1.3667312,0.9997725,0.54276836,0.5921049,0.71763897,0.77273715,1.4886436,1.4519061,1.344593,0.8616401,0.78466463,1.007133,1.3474805,1.1453449,1.2098923,0.7819351,0.8061315,0.8644619,1.0807045,0.9482617,0.991016,0.63318866,0.8592347,0.85727626,1.3530376,0.7114662,1.0500798,0.67286724,1.4433633,1.255455,0.8175707,0.8608512,1.4502833,1.4247655,0.5862354,0.7183504,0.55988216,1.3298869,1.3965183,1.4246876,1.4589798,1.0408983,1.050445,0.837838,0.8917994,1.0437293,1.4195216,0.83891654
book,0.7745285,0.94541335,1.0447862,0.84720266,1.1712314,1.010561,0.9960983,1.1053082,0.7708201,1.0832778,1.0903835,0.8991587,0.9041679,1.0522463,0.8669581,1.0305822,0.0,0.84327143,0.8273938,0.57182217,0.9539293,0.9969295,0.7612964,0.8405671,0.8717106,1.016312,1.0905135,1.3302929,0.9770927,0.97668946,1.1133125,1.2807189,0.6749246,0.637543,1.0066838,1.0538142,0.6286262,0.8380496,1.0292478,0.8472848,1.3563945,0.96447235,1.1225063,0.64041734,1.215586,1.0180773,1.2451463,1.2401999,1.0563861,0.9442923,1.0126476,0.8469552,0.809796,1.0307176,1.023768,0.9847166,0.7970246,1.3062117,0.90183544,1.0594645,0.92239034,1.3863289,1.1556641,1.2312455,1.0191648,1.0881909,0.75408363,1.042699,1.0341766,1.1185471,0.9108013,1.0909623,1.1851404,1.1238418,1.0355724,0.7819477,0.9846989,1.2114155,0.91370654,0.87649584,1.0293517,1.2219329,1.2314839,0.43876886,0.8326688,0.87248826,1.0196085,0.70035124,0.8863155,1.0197701,0.7335043,0.86361223,1.1637199,1.0617616,0.8467407,1.0598221,0.9402526,1.2927644,0.71394926,1.2548085,0.8879304,1.1675622,0.99156964,1.1701128,0.8107641,1.2299575,0.9553763,0.92616755,0.89931226,0.9550548,0.8498399,0.94445443,0.8982115,1.2796246,0.9914386,0.7621184,1.1031967,0.95571643,0.9335095,0.8681258,0.8172227,0.8080883,1.1493688,1.0391455,0.97414285,1.1999475
bottle,0.9455536,0.9106253,0.6177837,0.95582616,1.488094,0.8004103,0.50974786,1.2704791,0.9425099,1.3085942,1.4876626,0.48213595,1.4307976,1.4395949,0.74903333,1.4627265,0.84327143,0.0,0.63562214,1.0525074,0.77721715,0.4976542,0.533835,1.0036014,0.19293833,1.1980859,0.72666806,1.3297547,1.0374722,0.77478814,1.156539,1.3565869,1.1566284,0.96464586,0.74922645,1.2924592,0.9863029,0.36563706,1.4388578,0.21868956,1.3904116,1.2543741,0.9347924,0.8961468,1.436931,0.77715456,1.2074155,1.2719542,0.9751974,1.3331935,0.6350359,0.59035164,0.7883189,1.3563725,0.60751086,1.2375734,0.80859,1.2951128,1.1332849,1.3202285,0.65004116,1.222173,1.2625318,1.3838155,1.0473584,1.2659435,0.62215626,1.0128394,0.71462154,1.2148435,0.7293966,1.4859688,1.1618598,1.1635011,0.48929363,0.35823804,0.39779,1.1749473,0.61188704,0.6511013,1.290924,1.4814389,1.3750428,1.1622614,0.53066593,0.65781105,0.72787976,0.6938976,1.261437,1.076758,0.43725425,1.0604944,0.83975494,1.3225387,1.1100289,1.0457388,1.0439165,1.1935543,1.0545306,1.4907906,1.2910383,1.1097549,0.5570434,1.1781625,0.84765023,1.364647,0.52533984,0.60633606,1.000745,1.2553045,0.58025134,0.4378512,1.3296995,1.4330729,1.4941111,0.6631267,0.84801453,0.47958618,0.308123,0.3964079,0.90004444,1.300967,1.1154747,0.8705343,0.6555089,1.1834898
bowl,1.1038774,1.2231748,0.7535975,0.7393979,1.3487172,0.754671,0.7124667,1.0771828,0.68241525,0.990289,1.2980524,0.796535,1.2900298,1.2330045,0.82618445,1.2437302,0.8273938,0.63562214,0.0,1.0215173,0.89620394,0.8941791,0.5557855,1.0864884,0.74033093,1.1512473,1.0300957,1.3130317,1.1159023,0.8556525,1.164963,1.2966738,1.0004063,0.9684957,0.8975891,1.2778713,0.91938096,0.72823286,1.1931338,0.5516763,1.3636007,1.0692443,1.111072,0.9084169,1.2784681,0.7406814,1.2035255,1.2056466,1.1571778,1.1738101,0.76192176,0.4907745,0.9053767,0.9982991,0.82664883,1.3180041,0.9064336,1.2553941,0.9075472,1.2380631,0.8847555,1.2632995,1.065819,1.3853078,0.8890401,1.2796142,0.77589667,1.0809073,0.7637602,0.83371854,0.7843113,1.3734909,1.1005309,1.1558843,0.79507166,0.77008367,0.83894455,1.1874361,0.7937275,0.8483018,1.2056181,1.3108163,1.4276509,1.006742,0.7868464,0.89441633,0.809577,0.9617708,1.0683081,1.059464,0.21923685,1.1999507,0.8801876,1.0860811,1.1524218,1.0564022,0.9590754,1.2357769,1.0473769,1.345681,1.2371159,1.2893254,0.8537715,1.1235288,0.6109953,1.1677653,0.8470377,0.61550695,1.1116962,0.5884023,0.42663437,0.73979306,1.196112,1.2956889,1.0942489,0.70651066,1.1064509,0.7584475,0.6682931,0.8397075,0.79225415,0.75235724,1.0362068,1.1107624,1.0367033,1.1504967
box,1.0243777,1.2312015,1.3717823,0.968457,0.88189155,1.1315238,1.1591961,1.0453548,0.61922234,0.7976489,0.6537444,1.0095001,0.5258654,0.86408246,1.1943331,0.8255248,0.57182217,1.0525074,1.0215173,0.0,1.309122,1.0360736,0.7636982,1.0490531,1.0487678,0.8715062,1.2943196,1.0448902,0.65875745,1.2651544,0.69281876,1.0164223,0.686053,0.94261223,1.2263573,0.681177,0.8443625,1.3067849,0.50972843,1.1637528,1.1107535,0.8365511,0.7243155,0.6899634,0.9813818,1.2363514,0.95851725,1.0810016,1.3512326,1.034396,1.1386292,1.2582171,1.247474,0.88520324,1.3280717,1.0257081,1.2511483,1.0560912,0.9799349,1.1411783,1.1614034,1.1182337,0.89164746,0.9874377,0.7581748,1.1369263,1.172945,0.70199525,1.1999137,0.8826595,0.8632072,0.9287617,0.9584023,1.144603,1.3675251,1.0676217,1.264586,1.2504864,1.2519124,0.74801314,0.8690069,0.9804241,0.9910094,0.58735424,1.3460658,1.3571148,1.248296,0.96047586,0.89831525,0.90636593,1.1376072,1.1881773,1.2390282,0.9937102,0.7667621,0.7135151,1.1178422,0.9828548,0.99885297,0.93571186,0.92041945,1.0010697,1.1694632,0.80016994,0.8054125,0.84301925,1.3199869,1.0276847,0.94380003,0.9425094,1.2523683,1.1798682,0.5963994,0.95345885,0.65368354,1.1411488,1.3957556,1.2787819,1.2452446,1.0683547,0.8981698,0.7427391,0.9615226,0.84640235,1.3645085,0.8757583
bread,0.98805946,0.6937705,0.44790965,0.8462302,1.2914084,0.79545915,0.706923,1.1252751,1.1629745,1.4401911,1.5680182,0.90561867,1.5264536,1.3439322,0.9249975,1.3676296,0.9539293,0.77721715,0.89620394,1.309122,0.0,0.9315436,0.9395902,1.0380577,0.71310866,1.3069892,0.56091917,1.3677771,1.2943964,0.60156816,1.4173937,1.3253888,1.2112837,0.9721604,0.5270356,1.4575348,0.947427,0.5126039,1.5307419,0.56779647,1.2224896,1.1739386,1.33209,1.065704,1.3423119,0.67551965,1.26943,1.1585228,0.42393345,0.9421239,0.7652143,0.5859803,0.7207004,1.1630032,0.5685371,0.9923398,0.5085082,1.2242512,1.0439463,0.811409,0.57755995,1.1799912,1.3363742,1.3716139,1.2530487,1.1156684,0.65693694,1.3053868,0.8408917,0.952628,1.0716234,1.1880265,1.2269276,0.8691516,0.52620447,0.70580155,0.6016583,0.6983489,0.54751205,1.1314708,1.2226679,1.4196241,1.2317494,1.2238064,0.41720217,0.3793857,0.56188947,0.81731874,1.1777419,1.0709995,0.6434195,0.8348666,0.7097352,0.89913106,1.160846,1.3722419,1.0655769,1.2693362,0.9792432,1.4439244,0.93020475,1.2130301,0.8093539,1.4531658,1.163501,1.4022387,0.46579123,0.7459179,0.99566525,1.1073939,0.5732526,0.63945955,1.2136409,1.3629531,1.3995674,0.6489252,0.36286342,0.4957158,0.5667704,0.79748154,0.9506345,1.143021,1.2181292,1.2397795,0.45904028,1.3618593
broom,0.9150692,0.7617969,0.8577502,1.1410141,1.2982904,0.9867487,0.75293165,1.2131944,0.988274,1.09719,1.314791,0.60833645,1.1882522,1.4005368,0.76246977,1.3242425,0.9969295,0.4976542,0.8941791,1.0360736,0.9315436,0.0,0.884032,0.9399071,0.47042513,1.1818231,0.76119983,1.1604912,0.84194493,0.8265065,0.9437623,1.2261477,1.2137039,0.8926438,0.8844948,1.0701885,1.1119418,0.6055815,1.2786279,0.71918565,1.2946141,1.2341973,0.68157053,0.7505759,1.345181,0.95756304,1.2147291,1.1986291,0.94883716,1.1205587,0.87124264,0.5999708,0.7833566,1.359889,0.88356066,1.2255533,1.0327579,1.1995866,1.0670332,1.2145919,0.85507125,1.102167,0.9981923,1.233999,1.1652046,1.0950203,0.51801777,0.85690176,0.691779,1.2601523,0.9468621,1.4137863,1.1199644,1.1031127,0.8224739,0.5811286,0.56442064,1.0600177,0.81258464,0.7115418,1.1575328,1.3655993,1.1337314,1.1811364,0.6247177,0.6410078,0.8909479,0.7951798,1.2083828,1.0502558,0.76524943,0.91052294,0.8168769,1.3083351,1.1102324,0.97612375,1.0265093,1.1364096,0.8408561,1.3537413,1.1866632,0.9872925,0.7467547,1.0405095,0.8277895,1.1957681,0.73446614,0.88419324,1.0149395,1.2686207,0.64274204,0.7870515,1.3356911,1.3127786,1.3448818,0.8467423,0.88007325,0.7701497,0.5860819,0.62035334,1.0677458,1.1638557,1.1075096,0.5501969,0.81480384,1.0176439
bucket,1.060029,1.127367,0.77596843,0.65777487,1.4242727,0.60972166,0.6229384,1.0261879,0.54904777,1.1262378,1.2975125,0.93765956,1.1856961,1.2045166,0.89183974,1.2525399,0.7612964,0.533835,0.5557855,0.7636982,0.9395902,0.884032,0.0,1.0136886,0.7326828,1.2067629,1.088542,1.4363813,1.0573033,0.8684958,1.159496,1.3289695,0.886215,0.9649628,0.94698846,1.246769,0.86505646,0.8562751,1.1184902,0.4709934,1.4503274,0.97363484,1.0818956,0.8970432,1.3751464,0.68504274,1.2073399,1.2875674,1.1084064,1.1603495,0.9624234,0.78344107,0.9100199,0.8080706,1.003006,1.0056385,0.727023,1.3217432,0.93898875,1.175189,0.8484749,1.3560655,1.1003026,1.3426137,0.6532312,1.1975032,0.9379486,1.1234635,0.8668529,0.9393363,0.57792085,1.1659758,1.2505147,1.1245124,0.9361862,0.75749373,0.91078365,1.1555599,0.6853892,0.8274298,1.0521133,1.4003701,1.3791317,1.0191981,0.92399627,0.95610857,0.7745702,0.9194469,1.1382184,1.0998946,0.7310877,1.032484,0.88859594,1.0048661,0.86989844,1.0476975,0.93916523,1.2513963,0.9094143,1.4401956,0.9495317,1.2017357,0.84844744,1.2283795,0.7754841,1.2025476,0.9618267,0.58778226,0.8253608,0.86775905,0.7555735,0.73558056,1.0245882,1.3814274,1.232214,0.47368872,1.0713447,0.95767605,0.7253027,0.78642666,0.45479023,1.060876,1.1822872,0.95736593,0.9987204,1.2289952
butterfly,0.4874845,0.9614521,0.96352565,1.0694172,1.2434772,0.98140055,1.0208213,1.1456839,1.0690744,1.0879728,1.1453193,0.8629943,0.98160106,1.1200255,0.57757103,1.0929183,0.8405671,1.0036014,1.0864884,1.0490531,1.0380577,0.9399071,1.0136886,0.0,0.9326575,1.0805737,1.0312611,0.9083942,1.0231191,0.94133854,1.087582,1.230483,0.9773255,0.9541948,0.91457134,1.0221364,0.96869886,0.8884266,1.1257571,0.97584355,1.0122601,1.1122918,1.0245872,0.8030101,1.150967,1.0570303,1.1090071,1.1040089,1.0985842,0.90822333,0.98218,0.90063936,0.44908214,1.0587918,0.96493596,0.9111807,0.9147821,1.1701745,1.013643,1.1677927,0.87347746,1.186656,1.0916494,1.1449745,1.1425158,0.98163974,0.82246363,1.1313323,0.93252945,1.1274984,1.0847605,1.0415757,1.0004383,1.0389707,0.9291522,0.94738317,0.8863866,1.0514984,1.0068277,1.0078919,1.0687889,1.162452,1.1176443,1.1068329,0.8900842,0.9292053,0.8825218,0.84540737,1.0020047,0.9651123,1.0419527,0.70089805,1.0191369,1.1041193,0.77831626,1.1296108,0.6747172,1.2163255,0.62624484,1.1568884,0.8441559,1.0455973,0.859234,1.0971215,1.0262382,1.2049289,0.90700847,1.0074425,1.0953279,1.105973,0.90008926,0.94159824,0.979801,1.2210746,1.153307,0.84604967,1.0737418,0.98116,0.99289864,0.9727546,0.9618074,1.049171,1.011244,0.95036125,0.9630275,1.1415493
can,0.8999433,0.7556548,0.5893355,1.0630646,1.5110505,0.95239884,0.5761991,1.3110886,1.0518726,1.3777899,1.5098168,0.2776057,1.3657194,1.4539708,0.7041911,1.4724092,0.8717106,0.19293833,0.74033093,1.0487678,0.71310866,0.47042513,0.7326828,0.9326575,0.0,1.1666875,0.60544384,1.2011001,0.90307033,0.7672241,1.1220556,1.4130908,1.2012076,0.9691837,0.7398882,1.2158786,1.0396417,0.33202642,1.4787828,0.23591459,1.304629,1.3155795,0.89923096,0.8720032,1.4613442,0.8552558,1.2831767,1.2877609,0.8749469,1.3469923,0.6957552,0.5066619,0.75386333,1.4808022,0.4994927,1.2748581,0.8755671,1.3235757,1.167573,1.3660121,0.5234844,1.1576934,1.3500361,1.4047167,1.2425338,1.1546028,0.4525001,1.0248016,0.72084165,1.3946688,0.9205405,1.5387316,1.115341,1.1310586,0.45774037,0.28600156,0.18722361,1.0666953,0.5572423,0.6277529,1.2181431,1.4723905,1.2292193,1.2662237,0.41862154,0.5779593,0.68754506,0.5465595,1.1889741,1.05489,0.44122052,0.9997834,0.8457846,1.3287021,1.0725279,1.1341823,1.1260251,1.2506621,1.113492,1.4634212,1.2232928,0.9927255,0.36031127,1.2198316,0.93003803,1.4247047,0.34349477,0.81702554,1.1312342,1.3278826,0.5043708,0.4358052,1.3081176,1.4848354,1.5215385,0.7034074,0.7261527,0.39993268,0.32523334,0.36229765,1.0740418,1.3069746,1.1614006,0.8969989,0.45480216,1.2012336
car,0.92864263,1.1244423,1.2775345,1.1321164,0.6872182,1.1902678,1.2374164,0.8571147,1.1424782,0.68715763,0.5393971,1.0320668,0.713557,0.9384541,1.0577172,0.8403567,1.016312,1.1980859,1.1512473,0.8715062,1.3069892,1.1818231,1.2067629,1.0805737,1.1666875,0.0,1.1594111,0.47148585,0.91089725,1.1621432,0.72216624,0.83120674,0.9111577,0.9090039,1.2926193,0.72487414,0.9822118,1.1623781,0.56547165,1.1972277,0.71351266,1.1624147,0.80003166,1.0486742,0.9007837,1.1843517,0.77871656,0.8803577,1.2405208,0.8323023,1.2125976,1.3088343,1.1552339,0.82409173,1.0767212,1.1389234,1.1483104,0.9113399,1.0023078,1.1400324,1.2227253,0.86951226,1.0218433,0.8216375,0.79010755,0.756029,1.1782794,0.7238153,1.1596079,1.0334698,1.1799777,1.0060067,0.39813387,1.1768559,1.0961992,1.194787,1.2504009,1.1365001,1.2389088,0.9958496,0.94181347,0.803638,0.87028867,0.95220196,1.2118711,1.3523026,1.3162136,1.090029,0.82077163,0.97929573,1.1162877,1.0923243,1.3157716,1.0663477,1.1361452,0.807407,1.0847113,0.9933117,1.1449721,0.69975513,1.1747985,1.0209862,1.2231808,0.5215952,0.87534374,0.6119062,1.1850641,1.215475,1.082341,1.0113611,1.2685798,1.2618669,0.89889514,0.8787393,0.7487844,1.2253783,1.2697132,1.1484065,1.2697525,1.191364,1.2145827,0.87856793,0.86681724,1.0490668,1.2193615,0.54031503
carrot,0.93843,0.53913486,0.56005794,1.0839092,1.2507946,1.0036572,0.6032491,0.9548882,1.241278,1.3276949,1.4418561,0.66585445,1.3609908,1.2376832,0.85413253,1.3189592,1.0905135,0.72666806,1.0300957,1.2943196,0.56091917,0.76119983,1.088542,1.0312611,0.60544384,1.1594111,0.0,1.1272135,1.1583399,0.60546833,1.2474802,1.2787223,1.3386244,1.008531,0.81882876,1.2589196,1.1338328,0.4255411,1.4204139,0.6588403,1.1461797,1.1949476,1.145278,1.0735873,1.2658974,0.8180673,1.2865889,1.1093675,0.44319093,0.98258,0.93255186,0.7457977,0.88365734,1.3511525,0.42897165,1.0492815,0.64857835,1.1992443,1.2000258,0.9223831,0.60716105,1.0723577,1.2944361,1.3052902,1.2887986,0.93450993,0.60272443,1.3082657,0.8242607,1.3094223,1.1302793,1.1376904,1.0933009,0.84304184,0.43226475,0.75996387,0.4093936,0.51439655,0.44781297,1.2021149,1.2023267,1.2972996,1.0681518,1.2801006,0.4337346,0.4689973,0.85053277,0.72722286,1.0785904,1.1862298,0.74490356,0.72470605,0.9099711,1.0732608,1.2640991,1.3200345,1.0593141,1.161867,1.0072272,1.2900302,0.9634534,1.0275277,0.7245605,1.3130924,1.1410639,1.2800007,0.35191536,1.1355093,0.9697894,1.2590734,0.7696257,0.5943435,1.3122411,1.3727572,1.3617513,0.82646203,0.37595892,0.42753017,0.528837,0.8220128,1.068904,1.1780736,1.243963,1.1609386,0.3422922,1.2597028
cat,0.9347414,1.0958718,1.3406695,1.1767849,0.6658703,1.2637638,1.3275967,0.84200513,1.269231,0.7879094,0.598662,1.0265583,0.7268188,0.7475819,1.0225617,0.7478286,1.3302929,1.3297547,1.3130317,1.0448902,1.3677771,1.1604912,1.4363813,0.9083942,1.2011001,0.47148585,1.1272135,0.0,0.8824658,1.2538062,0.68937254,0.79729927,1.0402185,0.9944191,1.1875602,0.69257265,1.0496317,1.287245,0.7096838,1.3585818,0.3270278,1.0756707,0.7803008,1.2082037,0.7328955,1.3218831,0.6522951,0.8543619,1.2559386,0.94087815,1.1896167,1.3031783,1.1463037,0.97209024,1.1139699,1.008689,1.2776881,0.80931056,1.0010924,1.086873,1.2446538,0.55275285,0.96520966,0.6539594,0.9261006,0.74853414,1.1840293,0.83093274,1.156485,1.0854234,1.1656287,0.8009777,0.46696568,1.1381133,1.196243,1.2586352,1.1655151,1.0134757,1.3870305,1.0801531,0.93367404,0.59932154,0.71640575,1.0908185,1.2549281,1.3267092,1.2721577,1.1346844,0.8310528,0.975065,1.3199033,1.0388179,1.2211412,1.0485005,1.0282443,0.9207846,1.0217137,0.82834625,1.179848,0.51586604,1.0839648,0.8027901,1.081536,0.56386346,1.0837096,0.6515926,1.191402,1.3315188,1.1483835,1.1074742,1.312645,1.3328855,0.9580173,0.74100566,0.78686404,1.3914438,1.2670052,1.2428877,1.3306297,1.2197709,1.3448553,1.0241642,0.84434223,1.0039973,1.1914253,0.671797
chair,1.0857892,1.0113273,1.3505871,1.1207745,0.88622946,1.3263221,1.2016006,1.2122698,0.91321605,0.649736,0.7331842,0.8767704,0.43574107,0.9970441,1.2128046,0.8312618,0.9770927,1.0374722,1.1159023,0.65875745,1.2943964,0.84194493,1.0573033,1.0231191,0.90307033,0.91089725,1.1583399,0.8824658,0.0,1.2132227,0.51131845,0.9611276,0.86196035,0.9081299,1.2048652,0.35718626,1.0819441,1.3513491,0.8597699,1.1585387,0.846738,1.0775933,0.4645542,0.72486216,0.9916566,1.3753401,0.95995665,1.156949,1.2441398,1.1457057,1.1927485,1.1321659,1.3706806,1.0350589,1.3322504,0.94276017,1.4591318,1.0426395,1.0198071,1.0920496,1.1724914,0.98537993,0.8692666,0.8965336,0.95694417,0.92168736,0.8928282,0.5201179,1.0289358,1.1366055,1.0550181,0.92703795,0.91920465,1.1656638,1.3912835,0.88403904,1.0979018,1.2098143,1.3179274,0.4707203,0.9178493,0.9730499,0.5779165,0.95286274,1.2816784,1.2878253,1.1292537,0.77228653,1.0391376,0.8720501,1.164864,1.1636353,1.1019956,1.0629357,0.8320228,0.60393566,1.1875285,0.9137795,1.1085174,0.9377932,1.0341022,0.68935263,0.8700957,0.7299372,0.64393675,0.7224692,1.2740322,1.1504788,0.8599441,1.0419626,1.1435375,1.195216,0.88475275,0.90577173,0.65006256,1.3877577,1.2927905,1.2559038,1.2862641,0.8490775,1.3020365,0.8647268,1.0108197,0.5793665,1.2104775,0.6028404
clock,0.9151894,0.76546127,0.6226442,1.005967,1.2917769,0.68196285,0.5415329,1.0924369,1.0741116,1.3147628,1.4448701,0.7638138,1.4087744,1.3294303,0.835108,1.3232839,0.97668946,0.77478814,0.8556525,1.2651544,0.60156816,0.8265065,0.8684958,0.94133854,0.7672241,1.1621432,0.60546833,1.2538062,1.2132227,0.0,1.336429,1.2557784,1.2352906,0.83234644,0.7090787,1.3436785,1.0773324,0.61508363,1.4180808,0.64432526,1.2753179,1.2227364,1.2178954,0.9372274,1.3802283,0.65575,1.2332883,1.09149,0.72547007,0.8411046,0.87189937,0.74065113,0.69415194,1.0389879,0.63769454,1.1892496,0.5271589,1.2012043,0.8759889,1.0842305,0.7403029,1.22489,1.2687078,1.3459642,1.0654509,0.9677708,0.784641,1.2141073,0.37776423,1.1632777,1.0646569,1.2195206,1.1241763,0.83956295,0.57718027,0.813462,0.6499042,0.7104954,0.6032419,1.169166,1.1958348,1.3868319,1.2327052,1.1298516,0.6437301,0.69042414,0.79851633,0.8210058,1.0962172,1.2078084,0.7205272,0.79688096,0.9269146,0.98286146,1.2820023,1.3172865,0.99641085,1.2426142,0.93552244,1.3866682,1.0107809,1.1891685,0.8960986,1.3076735,1.0276831,1.3164008,0.5318154,0.91064334,1.0202917,1.0995554,0.7147103,0.72320294,1.2430191,1.3520731,1.3267914,0.5177939,0.6202581,0.5797527,0.7699138,0.8729233,0.8736389,1.1222333,1.1934583,1.275207,0.67900085,1.216392
