,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
bench,0.78084326,1.4691483,0.60109603,1.4406147,1.3920034,1.4107479,0.85777336,0.53830093,0.48574167,1.2356173,0.0,0.77023077,0.49986506,0.9215761,1.3624127,1.348006,0.5414329,1.2204682,1.0198282,1.1539024,1.1051106,1.1137441,0.89982474,0.9436148,0.3265373,1.4541222,0.49485987,0.9275854,0.65514416,0.7358866,1.1229244,0.1823901,0.8761301,1.4198575,0.37882674,1.364414,1.1697899,0.65742576,0.96832216,0.8519877,0.8398312,1.0396318,0.99725544,1.3098054,0.92680013,1.0273545,0.90393376,1.1720338,1.4761229,1.0935344,0.9803244,1.3888016,1.3086329,0.98385507,1.1430514,1.1039009,1.1258136,0.8578829,0.99879336,0.9781687,1.4051162,0.7332647,1.2385609,0.8339053,1.3541553,0.619694,1.3980563,0.6257486,0.92824924,1.3230227,1.0723331,0.7328441,1.024742,1.0394182,1.3642154,1.0921338,1.2319971,0.93216467,1.4407454,0.66728485,0.92061126,0.7568533,0.4987886,0.86424446,1.3782936,1.2755297,0.9010916,0.9988589,0.8782431,1.2823932,1.1724386,0.8794255,1.0789937,0.69813156,1.2145003,0.86922574,1.1773086,0.8285968,1.1225619,1.0627576,0.70619136,1.0006169,0.9271319,1.3155276,1.0714107,0.86753595,1.0322214,1.3604715,1.1848582,1.4587431,1.0178977,0.70757735,0.47812122,1.2957155,1.2414571,1.0204127,1.033422,1.0742937,1.4481875,0.9321545,1.0709126,1.3680617,0.8210329
bib,1.0967678,1.3883572,0.6483903,1.2201127,1.2620157,1.261086,1.0778295,0.90341276,0.5579369,1.4037833,0.77023077,0.0,0.5070492,1.093373,1.4507412,1.4000021,0.72549343,1.156921,1.1694801,1.1018146,1.2406787,1.1574315,1.0233384,0.8932396,0.9466337,1.3240578,0.7288187,0.67978793,1.0634377,0.9713649,1.1177071,0.6738733,0.79808074,1.4783163,0.6741159,1.3736913,0.916003,0.7217561,0.89387125,0.99714696,1.0662633,0.71464586,1.0025021,1.1624868,0.7819911,1.1197753,0.58583003,1.0314213,1.450303,1.1282511,1.1381421,1.451692,1.333513,0.91055185,1.0188284,1.2072451,0.9710567,0.6152185,0.87471735,0.820544,1.2247179,0.37751245,1.2238085,0.7047249,1.4740725,0.8605096,1.3319378,0.8548978,0.86292124,1.2728224,0.93571955,0.63158464,1.0322539,1.0207443,1.3030336,1.3599958,1.2287326,0.797772,1.3298905,0.899948,1.0178418,0.45904326,0.5481861,0.80028653,1.5296875,1.4651301,1.2150679,0.9749048,1.2735082,1.2494111,1.018677,1.0688342,1.2481967,0.92454106,1.2069619,0.3841015,1.3239307,0.44082105,1.3700924,1.4050967,0.7353989,1.3583074,0.75965464,1.4296843,1.3300879,0.93486434,0.90415114,1.4283297,1.1705248,1.3657202,1.0390619,0.43579364,0.6358094,1.3482763,1.1386559,1.1763674,0.9803005,1.2687117,1.3275455,1.0474092,1.2786117,1.2870035,0.85125774
blanket,0.85273254,1.512312,0.56605005,1.3830587,1.4449515,1.3454806,0.8478257,0.6708195,0.23901165,1.4060401,0.49986506,0.5070492,0.0,1.0058093,1.5297289,1.4290884,0.74929583,1.1225334,1.234235,1.1004051,1.1880827,1.222131,1.0383435,0.7661842,0.72721404,1.439895,0.5812448,0.59236705,0.91075057,0.85460615,1.0651566,0.35008878,0.61640215,1.5285687,0.47944272,1.5201288,1.0507252,0.56410325,0.7985966,0.949728,1.0317041,0.76866746,1.1513062,1.3284066,0.5348505,1.1135587,0.79330695,1.1785082,1.4990969,1.125805,1.1268553,1.4093534,1.2587152,1.0158176,1.2106564,1.107926,1.0773772,0.820378,0.9465929,0.8797074,1.4687245,0.5850745,1.3367023,0.66660666,1.4277014,0.684845,1.39007,0.7704551,0.6570102,1.3199959,1.0500631,0.5128347,1.1148819,1.0574814,1.4131649,1.19967,1.3412733,0.9944946,1.4912809,0.78456104,0.9527363,0.45103955,0.5875684,0.67171896,1.4743438,1.4614435,0.8628561,1.0760281,1.1803617,1.2987248,1.0247785,0.9969518,1.3604344,0.88791865,1.1114346,0.68054825,1.1870105,0.57282853,1.2800949,1.3668895,0.69537467,1.2550269,0.7702756,1.4534538,1.3634955,0.7354369,0.88225675,1.4809316,1.2287807,1.4309533,1.128498,0.49130267,0.541765,1.4395138,1.3073541,1.1058606,0.9880861,1.0489628,1.4346604,0.94498026,1.2621047,1.3887986,0.7629762
book,0.9995602,1.0573634,1.2313081,1.0765359,1.0729349,0.94134384,0.7509569,1.08021,0.99998707,0.9263597,0.9215761,1.093373,1.0058093,0.0,0.86677223,0.8738095,0.5096953,1.039283,0.9555584,0.831533,0.9364943,0.9122726,0.96560127,1.3034052,0.8555149,1.0861334,1.1547844,1.2683219,0.68742955,0.93986,0.9758095,1.0098734,1.0306976,0.8645348,0.8103915,0.87495387,0.8485627,1.2326152,0.9190352,1.0957862,0.8678473,1.0817536,1.1027567,1.0930154,1.1734475,1.0171269,1.2241127,1.1699235,0.93136424,0.8743858,1.0482397,0.9129736,0.8723432,1.0131314,1.1507292,1.0239141,0.6742692,1.2576034,0.99563885,1.1446649,1.0488768,1.2543291,0.82645077,1.078436,0.85826063,0.8870603,1.0174985,1.2189739,1.1593233,1.0125571,0.849466,1.1434376,0.9538213,0.92689395,1.0989441,0.8242046,1.0835663,1.2305504,1.0124379,1.0905322,1.0493691,1.2019688,1.2767498,0.4034629,0.83046776,0.80318034,0.8533004,1.1062273,0.9322944,0.83281076,0.97571695,0.7442999,0.69425696,0.8896107,1.0072172,1.2051761,0.7594473,1.2669454,0.9225985,0.8405272,1.2307082,0.6995263,1.0853927,1.0233747,0.9747868,1.0089519,0.97875535,0.9545914,1.0735202,0.9376459,0.9794987,1.2387791,0.945623,0.90569395,1.169432,0.9915769,1.0762465,0.92500335,0.7572911,0.61290914,1.0476902,0.95789826,1.1354119
bottle,1.240773,0.38913178,1.4340752,0.48253268,0.58317184,0.6609987,0.98077357,1.3097115,1.4848264,0.3096243,1.3624127,1.4507412,1.5297289,0.86677223,0.0,0.49181068,1.2848262,0.6701248,0.8237435,0.6948112,0.5517138,0.69891846,1.0331925,1.1419784,1.1583014,0.60261166,1.3386959,1.358662,1.0311295,1.2019756,1.0986977,1.3958516,1.3162379,0.28119564,1.433985,0.34028852,1.1208036,1.4115503,1.1963558,1.0065877,1.1565511,1.2161784,0.9650759,0.80649424,1.2656933,0.9855437,1.3318843,1.0756629,0.41677976,0.7524725,1.0371228,0.6924746,0.85486484,1.2213494,0.9337359,0.9841857,0.9964971,1.327625,1.1510539,1.4176973,0.49993324,1.3136464,0.4886058,1.2969149,0.6635317,1.3918347,0.5410208,1.36825,1.186357,0.58816266,0.89756423,1.5068033,1.1346173,1.0767283,0.37413156,0.42525512,0.73390543,1.2872285,0.39361018,1.0383797,1.1029944,1.4680021,1.4554137,1.2266858,0.48302227,0.48308748,0.71383846,0.9729218,0.7693857,0.7044817,1.0872208,0.89459574,0.5643607,1.0992049,0.9961207,1.239264,0.9421626,1.4159479,0.60245913,0.62010455,1.3585138,0.7664337,1.2958732,0.43548024,0.52288747,1.2942955,1.185761,0.6881957,1.0759323,0.30002856,1.0651765,1.4832602,1.4434733,0.552047,0.923478,0.8811498,1.2070012,0.515841,0.5315343,1.255872,0.6935278,0.6479018,1.1958766
bowl,1.2370086,0.45362508,1.4753287,0.49507195,0.6756453,0.72479284,0.8998091,1.0419767,1.4579978,0.5894218,1.348006,1.4000021,1.4290884,0.8738095,0.49181068,0.0,1.2223369,0.7004469,0.93405956,0.5546464,0.61238563,0.8280057,1.0921823,1.2189369,1.1870457,0.5800405,1.4096848,1.3960822,0.92955786,1.1900759,0.73375744,1.4009306,1.3888841,0.53414154,1.393067,0.30668712,0.80601823,1.4940779,1.194427,1.1209701,0.9690887,1.2041931,1.1116346,0.5719217,1.2574457,1.045131,1.3273718,1.1028717,0.5496185,0.90241414,1.1074083,0.60085887,0.74795604,1.0129195,1.0530407,1.0750585,0.98545057,1.374645,1.1162204,1.3189524,0.7489096,1.4843585,0.751557,1.3036575,0.6379167,1.2936046,0.4539292,1.3597207,1.1853387,0.60042286,0.93314785,1.3324267,1.1554065,1.0311998,0.6204721,0.7319755,0.92427415,1.2841494,0.4628561,1.2122446,1.2329974,1.4565101,1.5185416,1.1711222,0.541317,0.5716991,0.81081015,1.1419914,0.9626634,0.099951506,0.9260852,0.91963625,0.72981393,1.2198999,0.7628459,1.3387192,0.86488414,1.4127718,0.7646666,0.7799646,1.2979372,0.51912487,1.179552,0.6691629,0.7227719,1.0338033,0.89311135,0.49785793,1.0367101,0.53665334,1.0826968,1.5046028,1.2993152,0.4831823,0.9673251,0.9506617,1.0899119,0.8557104,0.5310135,0.8815162,0.977948,0.70802647,1.2285991
box,0.91539526,1.3786917,0.91136825,1.3170925,1.3156836,1.2939937,0.79115474,0.79924554,0.60657156,1.308984,0.5414329,0.72549343,0.74929583,0.5096953,1.2848262,1.2223369,0.0,1.2485762,1.0588415,0.92535776,1.115678,1.068641,1.082123,1.1105987,0.68796384,1.3787525,0.7450617,0.9562724,0.78791916,0.90939087,1.1190691,0.617827,0.8865967,1.3441154,0.2705226,1.1476189,0.8554928,0.9847011,0.89535534,0.9089638,0.78834915,0.8923349,1.1883681,1.262871,0.9685845,1.1828649,0.9077036,1.2720082,1.3820035,0.952883,1.2254338,1.2779438,1.1845685,0.88656175,1.2343726,1.1862566,0.8068801,0.9442199,0.8019486,1.0193094,1.355519,0.86352015,1.0638301,0.8840132,1.2405809,0.62433696,1.3311005,0.9300537,0.91124856,1.2924947,0.8197816,0.8257997,0.89409983,1.019338,1.3631148,1.2535226,1.4000092,1.0893868,1.3611861,0.9074993,0.9800088,0.7854086,0.85098505,0.5166455,1.317793,1.25632,1.2363663,1.1598152,1.0681666,1.1420724,1.0744097,0.8013152,0.9925908,0.6859299,1.1290063,1.0493891,1.0057812,0.8651901,1.2443497,1.1121968,0.8007028,0.96058446,0.78235555,1.4067602,1.1591072,0.9753926,0.875549,1.2840891,1.111084,1.3044679,0.9694538,0.7596097,0.5329578,1.1113137,1.3507572,1.151238,1.013886,1.2767711,1.118606,0.63608634,1.1509452,1.2328345,0.9478295
bread,1.1509228,0.52485734,1.1853888,0.6612518,0.67141175,0.6756736,1.0253791,1.203872,1.2370826,0.60453194,1.2204682,1.156921,1.1225334,1.039283,0.6701248,0.7004469,1.2485762,0.0,1.0914047,0.99305385,0.92111397,1.1170882,0.80716884,0.938957,1.2504947,0.6617963,1.3322405,1.2633512,1.1803148,1.0423872,0.8332751,1.2507951,1.1422557,0.49792302,1.3377175,0.7792802,1.1905149,1.0694835,1.2722045,1.267962,1.1868544,1.2052593,0.82014227,0.5829078,1.0165768,0.6892427,1.1505628,0.79808736,0.67557865,1.1694123,0.86134744,0.92676246,0.8351704,1.3331702,0.8535034,1.0431033,1.0715344,1.136527,1.1436661,1.1490031,0.64524925,1.2861114,1.0531113,1.2118872,0.92583424,1.3314266,0.7747365,1.1269712,0.9570292,0.81763804,1.1891712,1.1574336,1.2117343,0.77693945,0.45894504,0.7884966,0.6593314,0.9554986,0.41075742,1.3210049,1.1080933,1.229925,1.2062634,1.1171526,0.69574785,0.58143973,0.6326067,0.77676713,0.9683376,0.81145597,0.66215634,1.1536369,0.89967126,1.3641963,0.92124325,1.0736699,1.1308719,1.1874526,0.9288741,1.0205445,1.3565522,1.0682616,1.135891,0.5013308,0.90674245,1.0250707,0.9825593,0.9173274,1.1681795,0.6041483,1.287721,1.243224,1.2783085,0.80366504,0.6962612,0.6728797,1.2207938,0.827529,0.81218123,1.2968777,1.0466777,0.7394626,1.2174919
broom,0.94583267,0.9044283,1.0464578,1.0290942,0.9975737,0.95439935,0.9818293,0.94546884,1.218575,0.9672751,1.0198282,1.1694801,1.234235,0.9555584,0.8237435,0.93405956,1.0588415,1.0914047,0.0,1.0235107,0.81059575,0.97061586,1.0717962,1.174676,0.89365894,0.94991416,0.937692,1.0396111,0.94170845,0.93614984,1.0457649,1.0788307,1.0760717,0.95985836,1.0780667,0.8558709,1.0885044,1.1385391,1.1545736,0.6450037,0.5667498,1.2037711,1.0696465,0.9936812,1.2274151,1.1418059,1.1275622,1.0297143,0.89657474,0.8526113,0.96449894,0.88773346,0.8419984,0.9171622,1.1209615,1.0626906,1.088233,1.1308516,1.1523722,1.1144644,0.9034039,1.1062721,0.7565931,1.1140265,0.87276655,1.0578517,0.8099221,1.0977097,1.2559856,0.7724861,1.0059547,1.1612453,1.0210028,1.0830259,1.001915,0.7970964,0.9268588,1.1346738,0.9679482,0.7824479,1.1286335,1.2059057,1.0729493,1.0649191,0.88922244,0.92506105,0.8918277,1.0236802,0.8095593,0.98302054,1.1764176,0.92805547,0.7112324,0.8270399,0.86490536,1.1499565,0.97349393,1.1860921,0.9155097,0.64819443,0.9789348,0.77798474,1.105063,1.0032997,0.5954114,1.165251,1.1860898,0.9365019,0.89396155,0.886574,0.9197215,1.1625783,1.0649984,0.8502943,0.9874283,1.1668366,1.042048,0.9035036,1.0560074,1.1039476,0.78367186,1.0475798,0.93889916
bucket,1.167996,0.9398764,1.2490346,0.94739264,1.0087109,0.93384886,0.6098752,1.0108156,1.1547905,0.88418674,1.1539024,1.1018146,1.1004051,0.831533,0.6948112,0.5546464,0.92535776,0.99305385,1.0235107,0.0,0.2798096,0.95497453,1.0805806,1.2540038,0.9349714,0.8906018,1.1816902,1.1391743,0.87473303,1.2930899,0.98399645,1.1347234,1.0176691,0.9230322,1.0445721,0.41098666,0.7524317,1.3473246,0.9837284,0.9925595,0.91973865,1.0210954,1.0441314,1.0064317,1.1530187,1.1186174,1.3637395,1.1830292,0.9318515,0.82598794,1.1862031,0.98499155,0.96891695,0.894969,1.2072318,1.0565717,0.81366646,1.3304298,0.98668396,1.28491,0.97923094,1.2008001,0.6700474,1.1820945,0.9641279,1.116579,0.80392736,1.240793,1.13224,0.8972362,0.6653967,0.9844162,1.0182923,1.0587386,0.99815905,0.66692615,0.9796753,1.2735612,0.8950531,0.8584877,1.195935,1.2243856,1.3125743,0.9790267,0.9893093,1.0002831,0.85235286,1.1202152,0.89730203,0.5516506,1.0623049,0.6149307,0.8690954,0.9238893,0.90183425,1.1460257,0.98496294,1.2676651,0.8625343,0.8247582,1.1836032,0.66219497,1.1116961,0.98692507,0.739331,0.8850299,0.8698442,0.8900102,0.9893455,0.76488185,0.95301265,1.2909169,1.1775105,0.68829817,1.138867,1.1044488,1.07509,0.7203656,0.76741004,0.9208672,0.9153269,0.9185307,1.1489226
can,1.1018308,0.93587804,1.2403773,1.0212893,0.9871729,0.9620503,0.62937295,0.84708893,1.2232836,0.6179081,1.1051106,1.2406787,1.1880827,0.9364943,0.5517138,0.61238563,1.115678,0.92111397,0.81059575,0.2798096,0.0,0.91725093,1.0511647,1.1109201,0.77463686,0.8031999,1.0329229,1.0476093,0.88684577,1.2326487,1.0520973,1.073055,1.141291,0.8013481,1.1162477,0.517474,0.97598916,1.339049,1.0891886,0.67936665,0.86664736,1.136441,0.96930474,1.0602108,1.1979603,1.0442306,1.4293969,1.1492405,0.85849977,0.8661165,1.1478612,0.8726719,1.045342,1.0713565,1.2317263,1.1253096,1.1127474,1.3692417,1.1429894,1.3400224,0.906252,1.1734138,0.66907823,1.2576076,0.81887245,1.1511596,0.6648279,1.1598586,1.1374077,0.87745094,0.7582337,1.1332598,1.1560681,0.98007876,0.9229546,0.38445473,0.7800695,1.3346715,0.8453052,0.6539829,1.195123,1.2827513,1.2468243,1.0969312,0.8250848,0.7930318,0.655505,1.123722,0.7527877,0.6128086,1.1222402,0.7389002,0.71407145,0.80482584,0.977767,1.1324674,1.0320536,1.3152409,0.877115,0.66881275,1.1042613,0.59263295,1.130767,0.87071204,0.4837733,1.0250106,0.98907816,0.8446446,0.9854443,0.6978724,1.1265349,1.3216761,1.3366793,0.79979074,1.1013024,1.0647016,1.126497,0.46552187,0.98576444,1.126537,0.66498214,0.85275805,1.0468111
car,1.0390981,0.92811835,1.2370988,0.93045133,0.93248665,0.89064205,0.92762613,0.9676057,1.1337807,0.8566612,1.1137441,1.1574315,1.222131,0.9122726,0.69891846,0.8280057,1.068641,1.1170882,0.97061586,0.95497453,0.91725093,0.0,1.178361,1.0308121,0.9712766,0.8215756,1.047464,1.0853918,0.75154334,0.97879744,1.1408094,1.10363,1.1762946,0.91433084,1.036156,0.8603474,0.9832022,1.1094385,0.9950755,0.88355285,1.0703518,1.0408622,1.1661699,1.1079199,1.1157718,1.1606886,1.0644504,1.2071494,0.7854357,0.7476275,1.1119232,0.8321631,0.9847046,1.0099183,1.0525328,1.072544,1.0231088,1.0316688,1.0402685,1.224313,0.8569025,1.1019745,0.7432773,1.0745448,0.8641623,1.0674025,0.7525573,1.2218117,1.0031914,0.8602901,0.88972837,1.3148174,0.7734076,1.007339,0.9707417,0.919372,1.1113251,1.2422408,0.96825063,1.0258102,0.9660275,1.1671097,1.2539036,1.032449,0.8620341,0.9543652,1.0616841,1.1814246,0.8742439,0.8491988,1.0945438,0.82644004,0.76112854,0.9201781,0.99417895,1.1209817,0.89695597,1.1491416,0.8187954,0.90482783,1.0838152,0.8580197,1.049496,0.9874093,0.96190196,1.2239382,1.017385,0.87978506,0.9683969,0.88212526,0.73239833,1.168617,1.1267937,0.97921765,1.1952032,1.2030554,1.0519466,0.96497965,0.8956531,1.0353061,0.9040287,1.0027535,0.8519764
carrot,0.8603286,1.0145321,0.93921006,1.005967,0.99232286,1.0065669,1.2130814,0.93541294,1.1720788,0.75267833,0.89982474,1.0233384,1.0383435,0.96560127,1.0331925,1.0921823,1.082123,0.80716884,1.0717962,1.0805806,1.0511647,1.178361,0.0,0.84497476,1.04753,1.0008175,1.1417335,1.0654821,0.9249401,0.8576478,1.0146576,0.99530554,1.0556737,0.75675565,1.199488,1.1303763,1.136441,0.9349235,1.2726068,1.130009,1.2218777,1.1860974,0.75662065,0.92950785,1.0195369,0.6081735,1.1293554,0.7558279,0.9179149,1.2764384,0.67262477,1.0595491,1.0317086,1.1125547,0.80661225,0.9195739,1.0336411,1.0767729,1.0850886,0.9803083,1.0525581,0.9608768,1.087719,1.0298033,0.9791062,1.0411648,1.0842359,0.82946503,1.0533526,1.0813193,1.2335892,1.0250573,1.1025318,1.0177901,0.8959353,0.82752657,0.6677573,0.8551079,0.86593264,1.1396154,0.9052482,1.1676651,0.81869555,1.0613322,0.86262536,0.7858987,0.7817879,0.5977502,0.9181618,1.1413206,0.9890461,1.1395297,0.93119854,1.1466033,1.2038108,0.6857927,0.92182773,1.1092243,0.995776,0.8724976,1.1399575,0.98871773,1.0994989,0.79708076,1.1558529,0.9311946,1.230535,1.0522662,1.0555596,1.0121849,1.0511297,1.1249728,1.1724925,0.9884936,0.76672477,0.6651114,0.9832898,0.8325397,0.9936962,1.0964746,0.9796656,0.9842497,1.132735
cat,0.893421,1.1822224,0.801773,1.1015123,1.1433444,1.1628121,1.1304882,0.7199475,0.83192825,0.8827595,0.9436148,0.8932396,0.7661842,1.3034052,1.1419784,1.2189369,1.1105987,0.938957,1.174676,1.2540038,1.1109201,1.0308121,0.84497476,0.0,0.99241024,0.97694796,0.88260347,0.47637618,1.1011115,0.7596743,1.1092944,0.8857339,1.0999159,1.138906,0.92802393,1.3205252,1.1434693,0.4612795,1.2219636,0.7711652,1.2165821,1.0216414,1.0094712,1.1374462,0.39786196,0.90710384,0.85058063,1.0182003,1.1809219,1.2065748,1.069387,1.1270213,1.246503,1.1077414,0.9332942,1.1506871,1.3143518,0.8877745,1.0711311,0.98009443,1.1440231,0.7687574,1.1913477,0.9174966,1.1347373,0.9676226,1.0166079,0.78374046,0.5055562,1.1207056,1.1943438,1.0472385,1.1542512,0.9536626,1.0416362,1.1348457,0.9231005,0.9539678,1.1249446,1.0432073,0.7545948,0.664049,0.8071729,1.0256977,1.1073619,1.0894834,1.1038386,1.0382088,1.158226,1.2222649,1.0033107,1.2346191,1.2025117,0.9822778,1.0961533,0.8017139,1.1118202,0.58282524,1.1607919,1.2660272,0.9429142,1.1825345,0.8680084,1.0405778,1.1915045,1.0446261,1.133488,1.1861469,1.0917346,1.2000909,1.1510289,0.72085077,0.90087116,1.3258687,1.104164,0.9204164,1.0158783,1.0720979,1.3961825,1.1364155,1.0923094,1.0768877,0.6971829
chair,0.7577585,1.4250324,0.7885091,1.425772,1.3895178,1.3200645,0.6825556,0.5515728,0.66049623,1.1225604,0.3265373,0.9466337,0.72721404,0.8555149,1.1583014,1.1870457,0.68796384,1.2504947,0.89365894,0.9349714,0.77463686,0.9712766,1.04753,0.99241024,0.0,1.2537571,0.48822868,0.9042579,0.6235796,0.8154228,1.1105727,0.38864744,1.0167894,1.3348024,0.4501691,1.1583055,1.078056,0.9013077,1.0195849,0.582476,0.7666258,1.090369,1.0632706,1.3334781,1.032462,1.1472182,1.1063977,1.2520858,1.3555503,0.9561724,1.0553868,1.2979996,1.2837577,0.99918264,1.2867277,1.1832255,1.1659082,1.0296721,1.068156,1.1065245,1.3337705,0.84862685,1.0362487,0.9977598,1.2265933,0.53176254,1.1073344,0.74365675,0.9782891,1.1903574,0.9510147,0.90245813,0.9613572,1.0136698,1.3955544,0.93031496,1.1743612,1.1388587,1.371488,0.5960945,1.0316454,0.9042523,0.73092836,0.9142113,1.3085177,1.2056471,0.9350307,1.2121656,0.78890467,1.0619502,1.1995505,0.79013145,1.0022076,0.5876545,1.1542536,1.0082142,1.0766531,0.9662422,1.0947075,0.8930273,0.7390206,0.7581557,1.0021192,1.3252907,0.8128558,0.92637134,1.0117229,1.2532362,1.0232819,1.3058971,0.9590941,0.86342824,0.6424924,1.2251542,1.346527,1.1175508,1.0689002,0.963278,1.3821707,0.88224435,0.8381945,1.2452546,0.6228588
clock,1.0814904,0.52131623,1.3818948,0.5956794,0.52977955,0.38457674,0.9415528,1.3075869,1.4788668,0.6103022,1.4541222,1.3240578,1.439895,1.0861334,0.60261166,0.5800405,1.3787525,0.6617963,0.94991416,0.8906018,0.8031999,0.8215756,1.0008175,0.97694796,1.2537571,0.0,1.4163759,1.2765574,1.2624696,1.0984651,0.76794887,1.4856366,1.2980436,0.49687582,1.4597933,0.6547673,1.0181684,1.2931104,1.2269727,1.0993322,1.0181639,1.2330662,0.8978763,0.6348024,1.196891,0.7118468,1.2547305,0.9115842,0.52679235,0.9971582,0.96984905,0.6298802,0.8291916,1.1319011,0.72087824,0.96538997,1.0676199,1.2779968,1.2278811,1.2891896,0.5174496,1.3984902,0.8454153,1.3451707,0.61560386,1.2827113,0.2860284,1.2671475,1.1330189,0.7730643,1.1140225,1.3653297,1.090422,0.88664114,0.4867646,0.8035505,0.53522134,1.014304,0.49174815,1.2778808,0.9745042,1.4722798,1.4313939,1.2780638,0.5192826,0.5541149,0.82219887,0.92033803,0.97850007,0.6372707,0.8188015,1.0576481,0.81276095,1.3505163,0.8735064,1.1666337,0.8789091,1.3727543,0.75616276,0.8959946,1.3929355,0.92586327,1.3003871,0.4398569,0.80568063,1.1118784,1.137251,0.57746243,0.6864339,0.57401687,1.110033,1.4897921,1.509191,0.7048528,0.75032336,0.8539397,1.0994935,0.831664,0.69050187,1.172208,0.88392186,0.5590829,1.1715492
closet,0.84465975,1.4646461,0.7350087,1.353162,1.3520491,1.3996706,0.9503941,0.5553556,0.42080986,1.3241748,0.49485987,0.7288187,0.5812448,1.1547844,1.3386959,1.4096848,0.7450617,1.3322405,0.937692,1.1816902,1.0329229,1.047464,1.1417335,0.88260347,0.48822868,1.4163759,0.0,0.6976496,0.84620494,0.9437741,1.2835484,0.45616448,0.86847615,1.4914949,0.38768542,1.4059252,1.0888884,0.72899216,0.9134406,0.36549437,0.7532745,0.8953784,1.1376033,1.3595959,0.8230103,1.2024304,0.7838166,1.2620711,1.4398777,0.9939646,1.1934513,1.3712852,1.3186203,0.9803558,1.2156469,1.2974185,1.1807803,0.7264488,0.9050242,0.9459712,1.3591778,0.62008786,1.1695129,0.8441526,1.3788221,0.6422634,1.241906,0.7419663,0.81902874,1.2818156,1.0040866,0.8412157,0.9419616,1.0734006,1.4007218,1.2552792,1.3924973,1.0210406,1.4569623,0.4488752,0.99621207,0.68739986,0.65005744,0.921301,1.4697917,1.4234915,1.199427,1.1810304,0.9899774,1.2995993,1.1709237,1.0875424,1.2222784,0.40833282,1.1908102,0.8544133,1.2334731,0.7409709,1.3865526,1.2260562,0.30641603,1.1543076,0.7374086,1.5035932,1.0768445,1.1033666,0.95852256,1.3898699,1.0844263,1.3752267,0.98196113,0.6169681,0.5699685,1.4243939,1.379936,1.1867332,1.0044225,1.1908756,1.4436073,0.96621066,0.9431563,1.3260356,0.47386634
coat,0.9100847,1.447015,0.67141354,1.3403261,1.3959651,1.3462077,1.1067498,0.67542005,0.67543876,1.2344068,0.9275854,0.67978793,0.59236705,1.2683219,1.358662,1.3960822,0.9562724,1.2633512,1.0396111,1.1391743,1.0476093,1.0853918,1.0654821,0.47637618,0.9042579,1.2765574,0.6976496,0.0,1.0497059,0.9390306,1.1474879,0.77723396,0.8468789,1.4289291,0.7441538,1.3987243,1.0045329,0.6920093,1.0311894,0.64494103,0.9745964,0.8379601,1.1745541,1.3419089,0.47311664,1.192659,0.85427797,1.1114235,1.4082525,1.1171834,1.1313937,1.2404008,1.3380908,0.92823744,1.2028325,1.1695294,1.2186611,0.9124505,0.9719012,0.84177774,1.4169996,0.46298754,1.136329,0.7211174,1.2300978,0.78788173,1.1929095,0.7479906,0.6540299,1.2096052,1.0190188,0.724311,1.0719775,1.0446883,1.3775332,1.1420466,1.146504,1.059325,1.434519,0.7174074,0.95841175,0.37266278,0.63208437,0.8771682,1.3552967,1.3554616,1.2626543,1.2156761,1.2409741,1.2914438,1.1660696,1.0822096,1.2471721,0.75594455,1.135808,0.7289976,1.1360683,0.37443352,1.3099993,1.2122747,0.73854905,1.0959833,0.69338745,1.4357445,1.1678913,0.9154494,1.0286331,1.2836213,0.95471877,1.3513622,1.1367095,0.3565954,0.7462407,1.3699248,1.2731438,1.1637678,0.8776175,1.0570039,1.5132282,0.9789305,1.0543491,1.2507409,0.71237105
