,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
scarf,0.85631603,0.8839283,1.1834459,0.87556636,1.1702247,1.2156398,1.2375182,1.0299617,0.8589772,0.86886036,1.233361,0.89329934,0.6725483,1.0047734,0.95120037,0.9211787,1.0727541,1.1871481,1.1954865,0.9465505,1.2791564,1.0930502,1.1357262,0.9832565,1.2179413,1.0489784,1.2267803,0.91862726,0.912946,1.0367764,1.1617014,0.89604867,0.9109738,1.0099757,0.8864324,0.8817594,1.1675906,1.2683182,0.7829938,1.2261963,0.8717591,0.71708727,0.95952535,0.9209517,0.9439543,1.2526221,0.9908952,0.827518,1.2722359,1.1262085,1.0936258,1.1549022,1.1812568,1.0898294,0.8414808,1.1495605,1.2532947,1.0033488,0.9254394,0.77395856,0.920323,0.9973162,1.2264185,0.8884923,0.9027734,0.9121027,1.0377401,0.913592,1.2269006,1.1272306,1.2389004,0.7820717,1.1287334,0.9680169,0.8767103,1.0485501,1.1192548,1.1532211,1.274404,1.2818912,0.976904,1.2051667,0.9541739,0.64105403,0.97986025,0.8889269,1.2278879,1.2612364,1.0633835,1.1428354,1.2631894,0.913909,1.1244937,1.2373039,0.9638238,1.1723764,0.8986076,1.1299671,1.1562474,0.0,1.2323735,0.84870505,1.0978458,0.9981919,1.3016862,0.8647988,1.1584227,0.6483957,1.3053868,1.0984434,1.246038,0.9409059,1.2046835,1.1692104,0.89272857,1.0436196,1.0062644,0.79605854,0.72837305,0.72138894,1.2067709,1.2653837,1.100739,0.97668463,1.2801218,0.85277283,1.0586667,0.9242969,1.1563565,1.3128715,0.7928527
scissors,1.1911985,1.1224763,0.8948913,1.2637964,0.9515258,0.83707994,0.70164174,0.9595278,1.0709836,1.35948,0.81786263,1.0892481,1.2403911,0.7902781,1.3206518,0.9398951,0.8387562,0.8530034,0.7265926,1.0172358,0.81292367,0.47145456,0.84555876,0.8060277,0.85719776,0.909635,1.0221813,1.2857229,1.0979396,0.94557214,0.76898164,1.1712959,1.2831268,1.1530093,0.94845873,1.3765192,0.97051245,0.6263381,1.0665687,0.8305234,1.3370812,1.0061429,1.0580689,1.0286947,1.0687355,0.94734323,1.2967817,1.2922876,1.0384903,0.9364202,0.92475027,0.94449455,0.53737307,0.6753678,1.0850362,0.99183947,0.836703,1.0771344,0.9950881,1.3510287,1.1916726,1.1476179,0.9221079,1.1617672,0.90402865,1.3688188,0.967577,1.3825433,0.5269996,0.78852063,0.6594937,1.2808249,0.9462135,0.99038225,1.1209378,0.6120908,0.9780986,1.0790651,0.8218139,0.80960685,1.1951444,0.84604955,1.035259,1.3448403,1.3365815,1.0792016,0.56109023,0.48230565,0.9171541,0.977596,1.0258046,1.1467911,0.8025057,0.95935607,0.87404877,0.73200744,1.1576759,0.84857607,0.9419462,1.2323735,0.0,1.3333385,0.709234,1.3097553,0.51549864,1.2343361,0.8141456,1.1265458,0.69601387,1.0870225,0.826329,1.0333674,0.93756026,0.4948694,0.93504703,1.0193733,0.9375147,1.3481579,1.1460239,1.3050313,0.8044257,1.0266193,0.90148914,0.5976804,0.7984322,0.8186517,0.8487659,1.0449213,0.64081794,0.90020686,1.2493399
shirt,0.5364924,1.0488211,1.3966589,0.45803624,1.352705,1.4193586,1.1649415,1.1633816,0.71441627,0.5046998,1.3592603,0.7698025,0.71159506,1.1425781,0.60024476,1.1317533,1.2810616,1.4089617,1.485333,1.1351292,1.4541245,1.2379625,1.4310648,1.1888616,1.3867348,1.292976,1.0834376,0.54708636,0.8639591,1.137438,1.2572213,0.7878454,0.56468606,0.86603284,0.951518,0.56222636,1.0967836,1.43165,0.7208406,1.4448931,0.69444036,0.99333566,0.8916283,0.909128,0.85380673,1.3901542,0.45284575,0.73160815,1.0813459,1.3206345,1.3264751,1.1917489,1.2924792,1.3092802,0.72228456,1.0704615,1.1766393,0.8831306,1.1075327,0.5439121,0.7755063,0.81348246,1.3332843,0.8576667,0.9367514,0.43994778,1.1190076,0.33741742,1.4297329,1.149188,1.4129763,0.56061447,1.2034729,1.0948321,0.60678786,1.0635478,1.1161819,1.1838746,1.3625898,1.1769902,0.92585975,1.3815832,1.0371796,0.390846,0.3649634,0.83462816,1.4314553,1.3952351,1.2261463,1.1214932,1.0676275,0.94477606,1.3475292,1.2746947,1.0277143,1.3886235,0.87601626,1.3316369,1.1633399,0.84870505,1.3333385,0.0,1.1505,0.45753044,1.5180166,0.6956938,1.3028315,0.85160154,1.4598641,0.8245629,1.4074218,0.94715464,1.3270022,1.3211232,0.9652368,1.1875135,1.0401272,0.32965392,0.85446614,0.5617634,1.401724,1.1622512,1.2681679,0.9627187,1.3635116,1.2211878,1.1778504,0.9181884,1.3599485,1.397154,0.7842645
shoe,1.011753,0.92435133,1.1239377,1.1780092,1.0880139,1.093482,0.9836296,0.8126532,1.1056061,1.2107031,0.99037737,1.0202163,1.0365232,0.9259194,1.1209624,0.8805173,0.8769474,1.0509804,1.0219481,0.89881575,0.9469386,0.92792004,0.9751403,1.0829213,1.0340166,0.90670013,1.0708851,1.1854378,0.99354,0.9803514,0.9362564,1.1071562,1.0963502,0.99623007,0.92229974,1.1851724,1.1543639,1.028795,1.08432,1.0247566,1.0549883,0.9596572,1.0778118,1.0660241,0.7918825,1.0707498,1.161032,1.1500175,1.040025,0.89277864,0.8851011,0.5754996,0.90796757,0.8620719,1.113583,0.94772315,0.7520869,1.115103,0.9837547,1.2028812,1.0836148,1.0368508,0.947215,1.0139819,0.95270854,1.0918272,0.94301,1.057238,0.93250537,0.87901956,0.92718583,1.0214674,0.9979755,1.0131909,0.9250177,0.83555233,0.91402376,1.1682233,0.93375134,0.82777953,1.031779,1.1209745,0.93884176,1.0629313,1.0392807,1.023783,0.9717697,1.0155506,1.0314536,0.8746883,0.9965353,1.0180256,0.9382453,1.035806,0.62263083,0.80939925,1.0849227,0.88652074,0.94777524,1.0978458,0.709234,1.1505,0.0,1.1155517,0.79897475,1.2166036,1.0558604,1.1212063,0.57584953,1.0453308,0.9316443,0.79416126,1.0829905,0.8242726,0.95633304,1.172335,0.8106468,1.2161806,1.0820261,1.2599125,0.9630198,0.8797206,1.018304,1.028626,0.91556966,0.97291625,0.973097,1.0273134,0.9380839,0.7841095,1.1572889
shorts,0.66299164,0.9858049,1.306904,0.5434743,1.2636845,1.3351388,0.9992224,1.2116759,0.78200024,0.47941864,1.205914,0.7097985,0.80721146,1.24762,0.61788434,1.058421,1.1949085,1.4107993,1.4070657,1.1389709,1.308603,1.3624115,1.4436365,1.2986548,1.2873496,1.2823644,0.8506204,0.78909516,0.8612801,1.137325,1.1487112,0.9119689,0.63751346,0.8849634,0.9382168,0.5491772,1.0598979,1.2876974,0.7280718,1.3985105,0.8028743,0.8169492,1.0111681,1.0246075,0.96399456,1.2380493,0.6543364,0.7844621,0.79692554,1.2416494,1.3363757,1.0373122,1.271903,1.1944959,0.9073936,0.97134435,0.9089783,1.0200254,1.033998,0.72355175,0.8431883,0.6577307,1.1764961,0.9426216,1.0005252,0.48209155,1.1626246,0.34901714,1.3103004,1.1006185,1.3468122,0.70031625,1.1959045,1.2001872,0.56785655,1.1790196,0.95946944,1.0783693,1.2646209,1.105954,0.8567107,1.2733173,1.134386,0.43432546,0.2800647,0.9136806,1.2930187,1.2686726,1.2009097,0.8805425,0.79892707,1.1316956,1.2929474,1.1590273,1.0790188,1.2513934,0.9940185,1.3567901,1.1600739,0.9981919,1.3097553,0.45753044,1.1155517,0.0,1.4756947,0.6907252,1.2806742,0.97998947,1.3166375,0.8717441,1.2442349,0.9206548,1.1895639,1.3228929,1.0190026,1.2251942,1.0589753,0.54268134,0.9586907,0.7425723,1.2022375,0.916711,1.1878995,0.98722684,1.2893522,1.1677741,1.1395252,0.9574761,1.3975865,1.2271383,0.977838
shovel,1.4711025,0.9906016,0.5435288,1.4999458,0.6780719,0.5064719,0.935303,0.94049287,1.3167777,1.5722837,0.48553652,1.4232315,1.3252544,0.8922199,1.4642253,0.99875724,0.87667745,0.2988612,0.45083946,1.0967326,0.56334144,0.6697289,0.5589981,0.83504647,0.4728065,0.6932049,1.0130702,1.3053846,1.3089032,0.98678714,0.8299742,1.1965331,1.3926289,1.2637017,1.0785866,1.5585629,0.8257103,0.38488925,1.4435629,0.39651287,1.3699182,1.2314675,1.0980232,1.2023487,0.9990844,0.627439,1.3854368,1.3747896,0.9898055,0.7036553,0.7134634,0.84816223,0.5550847,0.80076146,1.2895634,0.8901899,0.7787423,1.0518146,1.0472988,1.422364,1.4017464,1.3150346,0.6010676,1.1913958,1.1156723,1.4445959,0.9888374,1.4806364,0.40526783,0.91296285,0.52609944,1.4211117,0.8241519,0.9589579,1.5335729,0.87729293,0.91063154,0.7769892,0.35440677,0.63209057,1.2587018,0.5433741,0.89934003,1.5868336,1.4538727,1.2809188,0.40213037,0.46188843,0.8473279,0.97352403,0.98975307,1.0847526,0.70419025,0.7177919,1.0341598,0.5696658,1.2477072,0.59121686,0.94202614,1.3016862,0.51549864,1.5180166,0.79897475,1.4756947,0.0,1.3213735,0.56140023,1.2645769,0.3469591,1.1074971,0.46692145,1.1327631,0.66900885,0.5028173,1.0988462,0.63889444,1.0380226,1.5210044,1.304311,1.5197175,0.5609525,0.87129366,0.6813183,0.95732045,0.33138835,1.0114744,0.9209546,1.2010217,0.45349377,0.4742667,1.3089697
shower,0.7305063,1.0633907,1.325968,0.7085618,1.3115963,1.3745887,1.149159,1.1208254,0.49973452,0.5873386,1.2455732,0.65869826,0.9803952,1.1068971,0.8002141,1.1107699,1.2679484,1.3022183,1.2874596,0.9815962,1.4125086,1.0470498,1.2708803,1.0726552,1.1191524,1.163499,1.0311867,0.7561493,0.6784531,1.0599915,1.1811244,0.39098108,0.74374306,0.87434494,1.0755718,0.6181178,1.1275394,1.3534143,0.6134528,1.3262918,0.6630601,1.1115712,0.4526425,0.78400344,1.0514326,1.3506896,0.75921416,0.76901054,1.1649548,1.2850196,1.2441268,1.2336198,1.1695275,1.1733396,0.8124958,1.1811075,1.3029737,0.8672235,0.9723151,0.6163814,0.8805745,0.9689492,1.3813556,0.82440937,0.95167327,0.73135555,1.0549008,0.64076674,1.3101583,0.98542076,1.3173844,0.7595153,1.1692638,1.0565853,0.8984366,0.97982395,1.1186695,1.1626883,1.2744887,1.2801355,1.0450075,1.3103957,0.70993733,0.74695873,0.64239144,0.85571146,1.3302476,1.3188462,1.1606681,1.1061392,1.1464813,0.93608433,1.1726506,1.2934294,1.0351894,1.26058,0.80412287,1.1813117,1.2251403,0.8647988,1.2343361,0.6956938,1.2166036,0.6907252,1.3213735,0.0,1.1553235,0.9048624,1.4864993,0.9441912,1.1627449,1.1549658,1.2877285,1.1556431,1.006942,1.2080284,1.0346732,0.6102478,0.9085499,0.6422182,1.2318892,1.2451673,1.2392223,0.9565458,1.301334,1.157405,1.0336398,0.92717534,1.1609752,1.4203775,0.6345705
sink,1.3192796,1.0590119,0.8035029,1.2709446,0.8854471,0.79010355,1.1130036,0.7061942,0.9866822,1.3482966,0.61061853,1.133494,1.1876116,1.0738243,1.3144375,1.1586778,0.7773342,0.50461537,0.45977902,0.777717,0.7470809,0.78580093,0.43493587,1.0041989,0.42939454,0.77690446,1.0715554,1.2111616,0.92938995,0.9122091,0.9785697,1.0069835,1.1868582,1.0446835,1.0333973,1.2778609,0.87035084,0.6776244,1.171118,0.34962356,1.2644995,1.22331,0.90651727,0.83525556,0.97648925,0.8592707,1.1673183,1.3266065,1.0539358,0.9638286,0.87051296,1.0201116,0.7054809,1.0324644,1.0823464,1.0690532,0.8787259,1.0684371,1.1673197,1.3438326,1.2647709,1.2721832,0.8952059,1.1258703,1.2804077,1.1751198,0.83255064,1.2837255,0.66669005,0.7752929,0.7313318,1.345696,0.959099,0.88556814,1.3635879,0.8347608,0.9521337,1.0295687,0.57239294,0.8942342,1.2645468,0.72015524,0.65912807,1.3632562,1.2629347,1.1553164,0.6402472,0.6515224,0.9312472,0.9698067,0.9732056,1.0334069,0.71142447,0.9077555,1.0004457,0.6078449,0.98646516,0.79698765,0.89744115,1.1584227,0.8141456,1.3028315,1.0558604,1.2806742,0.56140023,1.1553235,0.0,1.2193496,0.7848828,1.1058973,0.6576501,1.1922208,0.8068067,0.66593903,1.3090315,0.8465818,0.9736244,1.2903008,1.1916647,1.233348,0.82563066,1.1018335,0.93256754,1.133849,0.59722054,1.1181859,0.7249639,1.0721335,0.6196145,0.8119434,1.1098642
slide,0.86539006,1.0263541,1.185143,0.82717407,1.2024508,1.234728,1.0590805,1.1097862,0.77367187,0.8099893,1.3200816,0.7912471,0.92152065,0.90508056,0.92738205,0.50833476,1.1277719,1.205746,1.273629,0.9676024,1.349117,1.1131785,1.123533,0.99772996,1.2361066,1.2044046,1.2458535,0.9035416,0.88021845,1.0429816,1.1755586,0.9745905,0.9710318,0.9671757,0.89251417,0.8605776,1.2365271,1.299705,0.67466694,1.2393867,1.0187337,1.0269876,0.9656238,0.9595839,1.0444236,1.3177097,0.8710499,0.9314759,1.2579675,1.2289981,1.1744841,1.1281203,1.2985294,1.0741851,0.79775107,1.1919719,1.1778833,0.90205467,0.79083174,0.90280867,0.9463828,1.086654,1.2756717,0.9299929,0.5746554,1.029783,1.0166206,0.92480147,1.3191264,1.075519,1.3032302,0.9711929,1.0312737,1.0252371,0.8455094,1.0953139,1.1595672,1.1940954,1.3020654,1.3514122,1.0826623,1.2586077,1.0722427,0.8940449,0.96492594,0.86533093,1.2866963,1.3307079,1.01999,1.212174,1.3486488,0.7291834,1.1699504,1.2743345,0.99643016,1.3152221,0.9101771,1.3114746,1.1753572,0.6483957,1.1265458,0.85160154,1.1212063,0.97998947,1.2645769,0.9048624,1.2193496,0.0,1.3209904,1.1087443,1.2128508,0.82549036,1.246582,1.2779593,0.54420334,1.0783156,0.980239,0.86215353,0.34531766,0.6885768,1.0639168,1.2635,1.1763778,0.76389796,1.3129071,0.49179244,1.0581278,0.6226439,1.21133,1.365408,0.7439157
slipper,1.4402866,1.0478278,0.53153944,1.4511118,0.6341138,0.41711617,0.83754456,1.0628035,1.4880378,1.5387241,0.40801477,1.4849281,1.2611691,1.0254952,1.3984045,0.9552104,0.8795955,0.4324689,0.58944887,1.2007326,0.3946569,0.96760446,0.82206374,1.068416,0.58912235,0.67461354,0.7760018,1.260912,1.3799901,1.0621338,0.7773876,1.380858,1.3492533,1.3118986,1.0486709,1.5165491,0.6394763,0.2550338,1.59335,0.5467118,1.3733836,1.1021843,1.2937789,1.3337247,1.0027118,0.5182327,1.4079511,1.1916137,0.6294188,0.57838553,0.75411046,0.49406832,0.834188,0.8954532,1.5392096,0.53297997,0.676087,1.0924076,1.2239603,1.3285284,1.2567192,1.1289151,0.3009075,1.2650028,1.227535,1.4204583,1.2036662,1.3602593,0.37484097,0.89794934,0.5482309,1.3564432,1.0745364,1.197775,1.3942888,1.0956433,0.8255757,0.46828604,0.36493862,0.45788354,0.92497694,0.48588216,1.1728197,1.3895655,1.3339483,1.4017813,0.34858358,0.44304746,0.9688971,0.7617307,0.84568506,1.1649579,0.87716335,0.5393313,1.0774238,0.5185469,1.3235002,0.5402363,0.8085028,1.3053868,0.69601387,1.4598641,0.57584953,1.3166375,0.3469591,1.4864993,0.7848828,1.3209904,0.0,1.0651977,0.5679648,1.1067969,0.46557862,0.8216351,1.188371,0.53521645,1.0501527,1.5206249,1.328185,1.6646172,0.6544809,0.43119657,0.45518374,1.16687,0.3224125,1.0425701,1.1296991,1.1940045,0.6294188,0.15947944,1.4282553
snow,0.80314004,1.0978293,1.2655877,0.91316295,1.2780929,1.0352273,0.9140808,1.2229793,0.7206098,0.9039252,0.93886495,0.9308511,1.0121702,1.1542807,0.86918724,1.1525466,1.1910896,1.2498115,1.1679025,1.2752322,1.0608652,1.0626965,1.2740436,1.2387965,1.0044295,0.8798126,0.7540379,0.49605978,1.002175,1.1273968,0.8132991,0.9470373,0.98389465,1.0051498,0.95663565,0.8931007,0.7296353,1.013463,0.9793848,1.2123432,0.73997754,1.1373619,0.90135956,1.0767437,0.9300763,1.0709647,0.79174864,1.0182472,0.7968163,0.91710085,1.2719977,0.8814579,0.92400974,1.2054594,0.92748845,0.90985,0.964265,0.6219433,1.1795388,0.98227394,0.92262775,0.83490986,1.141409,0.9335666,1.0142673,0.93182015,1.1601578,0.7675883,1.0419781,0.98709244,0.99964666,0.8455925,1.1181443,1.2200541,0.9016075,0.8564695,0.9720775,0.9775894,0.9853513,0.76353264,0.8072807,1.2088106,1.1712127,0.8200523,0.7247125,1.0679047,1.0449654,0.95067984,1.3287075,0.90625226,0.8635584,0.95916593,1.0578529,0.99165845,1.208449,1.1283092,1.2310262,1.1538765,0.85849625,1.0984434,1.0870225,0.8245629,1.0453308,0.8717441,1.1074971,0.9441912,1.1058973,1.1087443,1.0651977,0.0,1.1495883,1.0673497,0.971264,0.98333895,1.096398,1.1068038,1.0311083,0.9559271,1.0409361,0.9907124,1.1834934,0.89776456,0.9990463,0.99156445,1.0209492,1.3619587,0.9473158,1.0883311,1.0734932,0.9332092,0.9039551
soap,1.4387833,1.1100953,0.6015681,1.4511615,0.6610482,0.5936911,0.8991524,0.9549645,1.203346,1.4048014,0.49192393,1.238642,1.1643424,0.98858047,1.3182149,0.87914544,0.80772483,0.4930789,0.6508051,0.9823,0.68295467,0.8323773,0.6434943,1.0027556,0.4912727,0.6554594,0.93162143,1.3585664,1.144392,1.1245035,0.9870376,1.2010818,1.210208,1.0962414,1.1198748,1.3651154,0.8468363,0.49781084,1.304019,0.52468413,1.2074952,1.1234429,1.1331148,1.2248516,0.94398797,0.67378896,1.3027289,1.268649,0.86471933,0.72921014,0.7656792,0.7751734,0.98626554,0.7648269,1.2853746,0.9404355,0.78136146,1.1155846,1.0082284,1.3273697,1.3575798,1.2784958,0.6571126,1.1596607,1.0983678,1.2598665,0.97177637,1.2392323,0.62868327,0.82470155,0.7346935,1.4148953,0.9758827,1.0702096,1.447409,1.067822,0.90327555,0.7576135,0.4671697,0.6978947,1.2226313,0.692984,0.8711319,1.3912027,1.229394,1.2442653,0.56610554,0.6166195,0.8720634,0.79721177,0.8188212,1.0921165,0.9070158,0.66041654,1.0645841,0.66564417,1.2273223,0.66533405,0.9885667,1.246038,0.826329,1.4074218,0.9316443,1.2442349,0.46692145,1.1627449,0.6576501,1.2128508,0.5679648,1.1495883,0.0,1.1606956,0.54928035,0.89951384,1.0899372,0.8370726,1.0203651,1.4233394,1.2229898,1.4149722,0.49570537,0.8222764,0.7609623,1.190972,0.45643222,0.9295215,0.9491853,1.1491199,0.5893643,0.54859614,1.245333
sock,0.8120998,0.7727937,1.0582228,0.8948318,0.9326671,1.0688213,0.99766135,0.9218602,0.99320656,0.85527253,1.2795725,0.99028516,0.6833982,0.9967758,0.78590316,0.84042174,0.9554423,1.2101415,1.0739,1.0261977,1.2038019,1.1122737,0.99115384,0.95242417,1.2491057,1.2074367,1.094942,1.0900342,1.0623486,0.9524168,0.8948582,1.1375713,0.9468807,0.893815,0.97712195,0.88564825,1.2972744,1.2818395,0.93995035,1.0875043,0.9845227,0.737658,1.209363,1.060173,1.0883213,0.94384974,0.95800644,1.0672957,1.1168183,1.0189295,1.1418817,0.9547663,0.99098283,1.0176558,0.90002316,1.1821208,0.7996861,1.066612,0.71964526,1.0864818,0.95789695,0.9415156,1.0782623,1.0163988,0.90750134,0.95217586,0.91676885,1.0023634,1.2759359,1.1757629,1.034563,0.8060744,0.7403142,0.9196287,0.5862271,1.1112167,1.0965928,1.1414614,1.2392268,1.1149548,1.0282136,1.1526268,1.0611254,0.7959129,1.0370331,0.83286554,1.2563734,1.2319942,0.8510325,1.0530281,0.78261125,1.1125895,0.9089684,1.0358806,0.9289978,1.2338178,1.0798478,1.2488468,0.9076986,0.9409059,1.0333674,0.94715464,0.79416126,0.9206548,1.1327631,1.1549658,1.1922208,0.82549036,1.1067969,1.0673497,1.1606956,0.0,1.2054162,0.9567943,0.9022048,1.1533252,0.9470111,0.9761168,0.97400695,0.87087214,0.9054644,1.0511042,1.2485112,0.89273566,1.2404441,0.7280078,0.92631686,1.0192132,1.2070103,1.2294565,1.1360235
soup,1.3220657,1.2330606,0.55361253,1.3925046,0.6366646,0.5128956,0.9136268,1.0729804,1.2900035,1.365953,0.321325,1.357063,1.2203436,1.0528973,1.3110834,0.91173923,0.89146465,0.5679447,0.55822545,1.1586319,0.66085637,1.0967841,0.88293225,1.0598001,0.50699145,0.727327,0.7538528,1.1196884,1.2549142,1.1550843,0.79958874,1.2846739,1.2429657,1.1272105,0.9905509,1.3286048,0.52824014,0.36760414,1.4047319,0.6703098,1.2255815,1.1724675,1.2198316,1.2546096,1.0951462,0.5898165,1.3040838,1.1891179,0.6485342,0.77268887,0.8268875,0.5818571,0.9629942,0.9197103,1.3357284,0.6092739,0.7929076,1.0424935,1.1697363,1.2322528,1.1762371,1.119177,0.51686454,1.1870708,1.2309635,1.2917614,1.1209319,1.2570442,0.59563035,0.87177354,0.6821154,1.3322376,1.1087191,1.2207332,1.3507739,1.1741334,0.82495606,0.5271187,0.5248691,0.48240966,0.9720413,0.6211619,1.2135487,1.2697788,1.1940942,1.3250506,0.49922436,0.53410923,1.0052274,0.8864602,0.83722854,1.0666096,0.76949346,0.5908251,1.2565799,0.6227018,1.2477207,0.77854884,0.6701717,1.2046835,0.93756026,1.3270022,1.0829905,1.1895639,0.66900885,1.2877285,0.8068067,1.246582,0.46557862,0.971264,0.54928035,1.2054162,0.0,0.99512494,1.2005273,0.65340376,1.1395128,1.3666255,1.2394965,1.4343061,0.6685578,0.6429164,0.5790489,1.2793286,0.5597219,1.0636823,0.9104568,1.1444136,0.69103867,0.39565295,1.2258626
spoon,1.046893,0.91999483,0.89033014,1.308128,0.9512687,0.8059645,0.94865596,0.92926633,1.0323029,1.3515092,0.84757525,1.2551615,1.2303234,0.9345553,1.262866,1.0626868,0.8927891,0.8998326,0.425233,0.98821026,0.81543124,0.62156165,0.74882686,0.80269575,0.904285,0.857245,1.149261,1.2569461,1.1967247,0.7228601,0.7076978,1.1720061,1.1717619,1.114875,1.0727389,1.3670284,1.0437875,0.82000446,1.2104332,0.74644756,1.2589414,1.0412121,1.1162498,0.97233605,1.0931559,0.80620074,1.1954391,1.2677777,1.1025332,0.8910711,0.93144614,1.0513091,0.06809759,0.7763238,0.8928908,1.0294611,1.0319251,0.966851,0.9624387,1.3212845,1.1835119,1.082608,1.0621018,1.1032429,1.1026161,1.2231939,0.77789295,1.3796093,0.59526396,0.9945444,0.6735892,1.1959767,0.6767899,0.8485076,1.2738951,0.6370723,1.0606862,1.0658259,0.94824123,0.9058886,1.1377039,0.889938,0.95367825,1.3719803,1.3728584,1.0513994,0.7294469,0.6295037,0.80713785,0.95734215,1.0267292,1.1381049,0.30377918,0.94691944,1.005347,0.777947,1.1734269,0.8511179,0.80467486,1.1692104,0.4948694,1.3211232,0.8242726,1.3228929,0.5028173,1.1556431,0.66593903,1.2779593,0.8216351,0.98333895,0.89951384,0.9567943,0.99512494,0.0,1.1326077,1.0015386,1.0511048,1.3057905,1.2572153,1.1247038,0.7790611,1.0887742,0.9827395,0.7533969,0.95159763,1.0892423,0.5495724,1.1905887,0.7988375,0.91973394,1.2281251
sprinkler,0.92324936,1.0570754,1.0841262,0.9796794,1.1193191,1.173648,0.9794093,1.0871747,0.994164,0.9239096,1.2445855,0.8590956,1.1213529,0.8869505,0.923049,0.7687793,1.0915337,1.1623383,1.2385883,1.0216651,1.2207464,0.8786055,1.1222112,0.9471289,1.2395636,1.1498919,1.2271849,1.0605847,1.0723426,1.0357659,1.072178,1.0962118,1.0190907,1.0302402,0.9690833,0.9707575,1.2417793,1.1881175,0.895104,1.2208933,1.0737795,0.990145,1.0536797,1.0233189,1.0681597,1.2490026,0.9820399,0.98935,1.2660381,1.1184573,1.0632973,1.0394666,1.1779133,0.8976554,0.8790499,1.1651337,1.1432194,0.9278016,0.85565877,0.9664221,0.99379003,1.1241704,1.23235,0.99505967,0.06712985,1.0411842,0.98115486,1.0350175,1.1591083,1.0935769,1.1169899,1.0378984,1.0110747,0.99504495,0.93149614,0.9041927,1.0945992,1.1801395,1.2428757,1.246864,1.0835137,1.2131248,1.142273,1.054529,1.0647848,0.8918183,1.1653836,1.1540583,0.919162,1.1340052,1.2343637,0.7520087,1.1379144,1.1951963,0.9009207,1.1762458,1.0131141,1.1696959,1.1940519,0.89272857,0.93504703,0.9652368,0.95633304,1.0190026,1.0988462,1.006942,1.3090315,0.54420334,1.188371,1.096398,1.0899372,0.9022048,1.2005273,1.1326077,0.0,1.1034449,0.8750623,1.0017837,0.66410756,0.8541048,0.98918813,1.2209733,1.1604085,0.7597664,1.2383643,0.72969484,1.0752865,0.7327557,1.050483,1.2760878,0.90499246
strawberry,1.2752626,1.038732,0.49653554,1.1517124,0.64896464,0.46201354,1.04328,1.2057767,1.2587426,1.2470515,0.715209,1.3146055,1.1310841,1.0653231,1.2253752,1.1043491,1.1277672,0.44406432,0.6803554,1.2117953,0.6875648,1.0007384,0.97340345,0.98401666,0.8734868,0.8815306,0.9058239,0.95132947,1.31622,1.1039928,0.90187573,1.1791093,1.1883464,1.309039,1.1171631,1.2610912,0.5740492,0.44656885,1.3392258,0.68234503,1.2262934,1.1591595,1.1740458,1.2133582,1.1368997,0.60599244,1.2009149,1.0273743,0.91461945,0.79031456,0.9008614,0.9743309,0.97969735,1.1666609,1.2770619,0.7442689,1.1079415,0.9204987,1.1179771,1.0868055,1.1409516,1.1504874,0.52656305,1.1308621,1.1468304,1.2369063,1.18063,1.2087748,0.55042106,1.1609375,0.6900587,1.1499763,1.0911912,1.0907962,1.3251262,1.1702883,1.0957644,0.34630996,0.6949378,0.8507841,0.91756916,0.50693756,1.1085423,1.2510695,1.2020898,1.2714183,0.5385705,0.6190982,0.95517683,0.98258096,1.0109417,1.0554253,0.99217474,0.72318566,1.2068955,0.8181654,1.2232139,0.77848804,0.9799325,1.0436196,1.0193733,1.1875135,1.172335,1.2251942,0.63889444,1.2080284,0.8465818,1.0783156,0.53521645,1.1068038,0.8370726,1.1533252,0.65340376,1.0015386,1.1034449,0.0,1.1263996,1.2383943,1.1731977,1.2737582,0.8947047,0.81929445,0.48819458,1.1104052,0.62594354,1.0784105,1.1585698,1.1455095,0.8344146,0.62054086,1.1166351
