,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window,zebra
comb,0.8625338,1.0914685,1.2590585,0.89870006,1.1823015,1.0798417,1.0947711,0.6643064,0.8327979,1.0294405,0.9909514,0.8607054,1.0215485,1.0782886,0.956103,0.977261,0.7980561,0.9966563,0.9909262,0.8138542,1.0945818,0.9686358,1.0082214,0.9203236,1.0202273,0.8740387,0.8460889,0.8733872,0.8559488,0.9907818,0.86027056,0.9095796,1.0792123,0.85253185,0.0,0.94011784,1.029895,0.809547,1.0852919,0.9762488,1.0244397,0.992996,1.0231823,1.0856385,0.89834434,0.77083004,1.0683733,1.2690446,0.9027797,1.163996,1.0996746,1.2007554,0.9982032,0.91831166,1.0600874,1.1403145,0.6559738,1.070946,0.89177454,1.185889,0.9681255,0.8869896,1.1014222,1.1216863,0.9606887,1.1454448,1.1218975,0.70228213,1.0111487,0.84052646,1.199132,0.57111347,0.9018659,0.9883288,0.89804006,0.8595123,0.87433374,0.95044875,0.9502267,1.1729424,0.9017806,1.1846546,1.0214303,1.1076531,1.1976149,1.1933005,0.91501284,1.1392529,0.9863107,1.144627,0.85003006,0.9960658,0.99499387,1.1721689,1.088478,1.0448692,0.9580193,1.0040218,0.96364504,1.1098785,1.0277458,0.8579775,0.86746806,1.14041,0.928029,1.0458733,1.0587579,0.750509,1.0650787,0.70055,1.2027867,0.75361836,1.0537418,0.7720236,0.9240471,1.0820075,0.93265414,1.0286304,0.9278933,1.0264773,1.023899,1.0253221,0.9568999,1.0540084,1.0997814,0.9156513,1.0503936,1.2033765,1.19213,0.8991028,1.0121484,1.0228826,0.7353016,1.0380412,0.80208015,1.177357,0.9399168,1.0046474
cookie,1.0132282,1.0099262,0.79976434,1.1694304,0.6907966,0.70749635,0.77299726,1.0251225,1.2206236,1.2255145,1.0377859,1.2552814,1.1356524,1.0096058,1.2257956,1.0682229,1.0043378,0.81587714,0.8175949,1.0565077,0.61772776,0.9717248,0.90042937,0.8975622,0.9595777,1.2252128,1.1299114,1.2901964,1.2158368,0.7979803,0.8016696,1.2226065,1.0901506,0.7341845,0.94011784,0.0,1.2387283,1.0717453,0.9849044,1.2062948,0.8034042,0.80171096,1.0631871,0.97942734,1.1797764,0.9668507,1.0915089,0.7319952,1.2588869,1.0575871,1.0211676,0.9994916,1.0454937,1.0262356,1.0940639,0.8437916,0.91493595,0.85014004,1.097804,1.0171497,0.90653455,0.89588106,1.0503789,0.59981644,1.1043923,0.924929,1.0919695,1.0643071,1.1862892,1.0066622,1.2495785,1.1763979,1.1972837,0.8143858,0.99479973,1.0261246,0.9090451,0.9110788,1.0961225,0.97369236,0.78525746,0.9537252,0.9094238,0.99185663,0.9752702,0.82142127,1.075132,0.9494985,1.2315936,1.2434442,0.99864876,1.019236,0.99080473,1.0092323,0.98882,1.0513984,1.0297625,1.1506205,0.80860245,0.94367486,0.9480352,1.038875,0.9501721,0.7994176,1.1231498,1.0439653,1.1748302,0.92122155,1.2681532,1.0312319,1.1343555,1.0147204,1.1397626,1.0915087,1.2401502,0.9119246,1.1518939,0.7581756,0.9939484,0.9470528,0.9664882,0.867422,0.84846735,1.1072109,1.1711787,1.1183904,0.7300864,0.8999288,0.9862831,0.9971083,0.9736914,0.89944893,1.1447332,1.1588901,1.1457944,1.0650513,1.2296617,0.948987
couch,0.88102174,1.2169116,1.4815248,0.5792776,1.4038458,1.4629374,1.2988454,0.8641636,0.60762995,0.19558954,1.3402009,0.254654,0.6817931,1.1142992,0.3261993,0.76102436,0.9954337,1.4330449,1.3524587,0.66037166,1.2570143,1.2286078,1.2613226,1.2546973,1.2801311,0.97693515,1.0552814,0.7188907,0.35275924,1.1149877,1.2805239,0.7035117,0.6355431,1.1672345,1.029895,1.2387283,0.0,0.98779863,1.5025461,0.35995197,1.4493691,0.99611986,0.92069983,0.8463339,0.7127392,0.803607,0.7825584,1.3822904,0.70082426,1.0529946,0.8577634,1.3163999,0.8726655,1.368417,0.92897683,1.2519996,1.4307324,1.3117685,0.82397,1.3627812,1.2096881,1.3462055,0.8019303,1.2346699,0.97609776,1.3107725,0.9079956,1.0322558,0.5419796,1.0483942,0.5510037,0.9229767,0.4652474,1.4339533,1.2335707,0.8907964,1.1394091,1.0946169,0.6905544,1.2321496,1.093484,1.4255145,1.2767323,1.4431643,1.3362882,1.4156263,0.78897727,1.0805234,0.54732025,0.5672852,0.7355036,1.4898328,1.4912803,1.337457,1.1125866,0.8225981,0.7843877,0.84582394,1.2026426,1.0995134,1.2419342,0.8542788,1.1898675,1.3891735,0.65988964,0.94722986,0.72970617,1.2050991,0.55100256,1.055281,0.7989545,0.94274414,0.6107727,1.0558091,0.6018372,1.4834781,0.7295207,1.2501395,1.0049568,0.9037162,1.3243436,1.3056989,1.4174443,0.51500016,0.48800474,0.4807515,1.4127545,1.3328508,1.3829645,1.3305206,1.223896,1.0652508,0.6362932,0.8165947,0.87008125,1.4188098,0.7473973,1.0086051
cracker,0.5104606,1.2359403,1.1161427,0.98776555,1.2156211,1.1717741,0.9038718,0.92218083,1.0850968,1.0060978,1.2073348,0.9336292,0.89138955,0.91218007,0.9576929,1.0642084,0.8583445,1.236919,1.1954943,0.92435557,0.60258126,1.0720779,1.2627571,0.9372995,1.2264998,0.6696714,0.8174083,0.6193131,1.1340178,0.85845244,1.1696166,1.0135106,1.1925362,0.7834435,0.809547,1.0717453,0.98779863,0.0,1.1518998,0.96020323,1.2388325,0.87070864,0.5871599,0.8381547,1.0568652,1.1120932,1.0741802,1.2349596,1.0602399,1.1099652,0.9628918,1.1453552,0.86329496,0.70217425,0.9130532,1.0149199,0.92695785,0.7295477,0.6961379,1.1631539,0.88083166,0.90542895,0.9507653,0.97200495,0.9344535,1.2697905,1.1402339,1.1069022,1.1424009,0.8867494,1.0944651,0.868131,0.9293311,1.2189428,1.1930754,0.82811517,0.5955576,1.1211901,0.7966916,1.0937837,0.73917794,1.1911937,1.1950576,1.2306621,1.1128211,1.1459285,1.1278011,0.9344112,0.9695361,1.0479441,0.77632153,1.1173273,1.1446477,1.0705979,0.9940517,1.083742,0.39437973,0.88723826,0.8907473,1.0480754,0.77370304,1.0678165,1.1319588,1.2473199,1.0153053,0.7957136,0.962258,0.97683614,0.97579414,1.0479727,1.066034,1.0337226,1.147383,1.1917385,1.0643481,1.1869477,0.90276617,1.1484041,1.0697237,0.9764916,1.0340267,0.9485942,1.0877651,0.88621616,1.1119015,0.8810175,1.1317266,1.157359,1.1264286,1.0578799,1.224445,0.92361873,0.7238848,0.9818539,1.151394,1.2170113,0.86009794,0.95185655
crayon,1.4248977,0.588276,0.2314496,1.3970263,0.6186173,0.613356,0.7722304,1.1462278,1.2225188,1.5483915,0.18846679,1.4923756,1.50004,1.1258872,1.5420195,1.2154479,1.0899938,0.42325354,0.6171205,1.3455732,0.832319,0.5660995,0.7764566,0.9108651,0.42024553,0.8737709,0.9001776,1.2801383,1.3642488,1.1815888,0.8759411,1.2772349,1.246713,1.0633488,1.0852919,0.9849044,1.5025461,1.1518998,0.0,1.5627006,0.4005816,1.1746919,1.3271551,1.3617973,1.2372884,1.132863,1.3819721,0.58999616,1.2418537,0.8999566,1.2267884,0.54241437,1.2010036,0.6064728,1.1676813,0.61870843,0.4804389,0.7749888,1.4848473,0.21550977,0.996496,0.8107655,1.2985781,1.124453,1.2143705,0.5537298,1.1666619,1.0731368,1.4142735,1.2902281,1.325488,1.0258282,1.4048034,0.5251033,0.48519164,1.3044306,1.027372,1.1091124,1.5543777,0.76213014,1.0696504,0.13253689,0.5144501,0.25685835,0.39467597,0.28845376,1.2476108,1.0408034,1.504492,1.3464756,1.4521015,0.06275612,0.059649587,0.58765876,1.0801528,0.7971474,1.3536551,1.2470181,0.9373314,1.0734096,0.68775195,1.2513207,0.6676825,0.55505145,1.383606,1.3798597,1.3917658,0.80351305,1.4519632,1.1015532,1.1130049,1.0456396,1.3335061,0.8577418,1.3108826,0.27177382,1.2912142,0.900559,1.0924581,1.295979,0.55363,0.66548157,0.5107772,1.4535011,1.4880402,1.5615457,0.59266436,0.6122241,0.25025642,0.5010793,0.5106568,1.0953285,1.5294132,1.224321,1.0371453,0.29742742,1.2766836,1.1250832
crib,0.75949657,1.3734562,1.5096393,0.6617525,1.4669528,1.481631,1.3166056,0.8090031,0.61593413,0.14668179,1.4313259,0.33991516,0.5100497,1.0153323,0.37208652,0.52873194,0.76769876,1.4734914,1.337328,0.4997754,1.333826,1.2846259,1.257967,1.2077374,1.4022255,0.8860319,1.1587031,0.77164376,0.6122653,1.0473505,1.2260715,0.70230347,0.6482248,1.1096735,0.9762488,1.2062948,0.35995197,0.96020323,1.5627006,0.0,1.4814925,1.0099672,0.8634151,0.694951,0.7370084,0.70478743,0.67503595,1.4474586,0.6705953,1.1578377,0.87951124,1.4833095,0.735945,1.432517,0.9039023,1.4173832,1.510478,1.1924795,0.5749546,1.4419534,1.400521,1.2185352,0.8346038,1.1488677,1.058792,1.4292272,0.78846216,1.0385605,0.6578027,0.7725215,0.7398592,0.8438685,0.45521963,1.5062377,1.3593326,0.92057645,1.167664,0.9752214,0.7687487,1.3249289,1.2025917,1.4781533,1.4884937,1.6226997,1.3988159,1.4858572,0.7812997,1.082773,0.46902275,0.76234156,0.52942824,1.5619206,1.5633763,1.3906438,1.1152614,1.2169849,0.67005837,0.88533926,1.141622,1.0946026,1.3774321,0.85322464,1.1803465,1.4455884,0.5699222,0.8412849,0.772394,1.0918798,0.5720298,1.0855329,1.0233872,0.8762864,0.51306224,1.1090978,0.41748703,1.6392359,0.58634216,1.1485269,1.1635479,0.8083134,1.4734794,1.4450012,1.4312735,0.6287303,0.53571045,0.23121685,1.3702893,1.5157579,1.522253,1.3329052,1.4614714,0.7452849,0.42112952,0.8141066,0.94959915,1.5443351,0.6662197,0.9714027
cup,1.4536549,0.71064246,0.44055736,1.4664373,0.57187974,0.511305,0.7747953,0.8657373,1.2036337,1.5696585,0.45598328,1.4072442,1.4201541,1.0876153,1.5294684,1.3118837,0.98316664,0.15555727,0.24360758,1.0680885,0.82985854,0.7199771,0.2772187,1.0059546,0.3961898,1.020784,1.0611362,1.449753,1.1833575,1.0201397,0.79393935,1.1873631,1.3002747,0.8884631,1.0244397,0.8034042,1.4493691,1.2388325,0.4005816,1.4814925,0.0,0.9367441,1.2971249,1.2014815,1.1719238,1.1085281,1.3755347,0.50854623,1.3908602,1.0998255,1.2528162,0.7567031,1.1711211,0.84286386,1.0724964,0.6852586,0.723934,0.97571766,1.1741982,0.54054564,0.811548,0.7230919,1.303754,0.97336227,1.1841335,0.5963825,1.1452544,0.98255026,1.3568711,0.88076305,1.4229149,1.2709255,1.3457342,0.52545786,0.616469,1.2996888,1.0459076,0.75426376,1.4017861,0.9184685,0.99000144,0.43261182,0.50597185,0.47400653,0.5982298,0.43904775,1.0045838,0.94393885,1.5041173,1.4155053,1.3721588,0.46887034,0.4446022,0.8163005,1.0376059,0.7987557,1.3486207,1.2205341,0.8329725,1.0240942,0.82556725,0.9414835,0.62366253,0.70732254,1.2376198,1.2595162,1.3536241,0.9785692,1.509414,1.0646399,1.1308968,1.0122569,1.2857606,0.7221063,1.3611627,0.51338565,1.3678558,0.56818616,0.94383454,1.1449412,0.7974186,0.70777416,0.6360146,1.3815105,1.3983768,1.4675863,0.4271826,0.75231326,0.6177625,0.6281379,0.53688973,0.8816192,1.3308318,1.2520673,0.9616792,0.58597434,1.2746316,1.1992073
dish,0.99228066,1.0459965,1.0160995,1.1193745,0.85931295,0.90687895,1.0280063,1.0827477,1.0967326,1.0508898,1.1522614,0.95505285,0.9989806,1.0706611,1.0583849,1.0743612,0.9994597,1.0617421,0.8865385,0.7809125,0.8121333,1.0071514,0.96257895,1.0780805,0.9630159,1.0931865,0.9791716,1.096392,1.0275024,0.9012616,0.8207365,1.133756,1.0558323,0.4016857,0.992996,0.80171096,0.99611986,0.87070864,1.1746919,1.0099672,0.9367441,0.0,1.0478972,1.010958,1.0956581,0.9692388,1.0893643,0.89506143,1.2075336,0.7929477,1.0067937,0.96878105,1.0738475,1.1364684,1.1067642,1.043737,0.9707626,1.0199538,0.7035235,1.123433,1.0675925,0.77795637,1.0127451,0.93025964,0.94879746,1.0673051,1.2279394,1.0312313,1.1956415,0.76771617,0.99233425,1.036403,1.0342814,0.9702675,1.1724062,1.0344985,0.7553342,0.98332256,0.87172896,0.9489256,0.5843345,1.0966574,1.2684624,1.1382251,0.9739754,1.0078998,1.0250057,1.0936568,1.1098808,0.98648864,0.94686073,1.2082554,1.2179222,1.0570672,1.176131,1.1276858,0.9284493,1.0865313,0.7768774,1.1762091,0.9717012,1.0736293,1.0619998,0.8880444,1.0038713,0.94411474,1.0816978,1.0314541,1.1161376,1.0584917,1.0533899,0.92066514,1.039929,0.9914444,1.1802763,1.0797267,1.1588356,0.87904185,0.86282885,0.7660277,1.0012074,0.996511,1.0894569,0.9055543,1.0462968,0.8882218,0.80343103,0.98810285,1.0500655,1.2479496,1.2710881,0.9901756,0.7740364,1.0885276,1.0922484,1.0482115,1.0326735,0.9831633
dog,0.49008065,1.2452719,1.2484616,1.0074003,1.1497996,1.0951343,1.0868124,1.0491798,1.0568013,0.8777929,1.2778323,0.93474895,0.8413166,0.65803206,0.90845203,0.8965703,0.83168745,1.2606125,1.2067463,0.95943856,0.96069074,1.1385894,1.2597803,0.90538293,1.2948241,1.0805837,1.1099491,0.6499598,1.0879297,0.9035521,1.0774722,0.9802061,0.9829433,1.0174823,1.0231823,1.0631871,0.92069983,0.5871599,1.3271551,0.8634151,1.2971249,1.0478972,0.0,0.6439862,1.042683,1.08202,0.8547028,1.2125928,0.93522805,1.1861123,0.91603476,1.3336844,0.9780925,0.9737213,0.89279974,1.1935617,1.2565112,0.7069727,0.863664,1.266261,0.888523,1.13052,0.89979416,0.9426365,1.0729625,1.1943773,0.8006122,1.1619823,0.84652084,0.8872887,1.0964091,1.1465471,0.92255175,1.2417879,1.2290775,0.684579,1.0150292,0.9351419,0.8165138,1.211666,1.0279148,1.2449813,1.2283884,1.3311498,1.1905749,1.2212132,1.0336357,0.7268875,0.9405664,1.0288794,0.65941316,1.3151783,1.3141371,1.1954559,0.55030465,1.178288,0.7049346,0.8523634,1.0896643,0.62279224,1.0679088,0.94470716,1.1756103,1.1882308,0.9994692,0.5897718,0.87458664,1.0955579,0.94262874,1.0938312,0.985582,1.1438062,1.0315533,1.209404,1.0034388,1.3555942,0.9472765,1.0416294,1.1071938,0.9742164,1.2575413,1.1077596,1.1148645,0.82701385,0.9485526,0.8284106,1.1783454,1.3029581,1.3290852,1.2727519,1.2520446,0.86444664,0.8735268,0.9093065,1.098652,1.379859,0.97946084,0.8221614
doll,0.63773775,1.2025237,1.262996,0.84774506,1.1601365,1.1315753,1.1007946,0.9451516,1.1677797,0.7519096,1.34871,0.8923837,0.5002244,0.9110512,0.7649367,0.8670032,0.7630274,1.215705,1.1738889,0.8545298,1.0567597,1.2743244,1.144133,1.022998,1.3377596,1.1977444,1.0812876,1.0350606,0.99859256,0.9736097,1.151721,1.0789976,0.8472792,1.0022465,1.0856385,0.97942734,0.8463339,0.8381547,1.3617973,0.694951,1.2014815,1.010958,0.6439862,0.0,1.1745322,1.0670784,0.9051221,1.0989096,1.0484871,1.043187,0.8322092,1.1126087,0.92822576,1.071497,0.89031994,0.9791476,1.3008456,0.82854474,0.81326205,1.2450266,0.7904922,0.961669,0.8371603,0.9112865,0.79174465,1.0665687,0.8263105,1.2135327,0.8189976,0.813859,0.93618566,1.1815127,0.9939785,1.3247882,1.2238877,0.9555235,1.0706601,0.89678335,0.65662813,1.1517558,1.074802,1.2894802,1.2238499,1.2750015,1.1220031,1.2485154,1.0615684,0.80496097,0.67277384,0.946698,0.76005155,1.3927608,1.3716626,1.1165437,0.8832942,1.0512586,0.8285047,0.9888853,1.0855625,0.90174085,1.11747,0.8640306,1.2208784,1.2232406,1.1205734,0.67533547,0.8818042,1.0168015,0.91473204,0.8349933,0.98504543,1.019114,1.0590585,1.332423,0.95739365,1.204726,0.969545,1.0465038,0.8020036,0.9875026,1.1274433,1.1312407,1.2074525,0.8073704,0.8638215,0.71975374,1.150775,1.0527371,1.3056558,1.1368356,1.21684,0.50788426,0.7674062,0.99444014,1.1717354,1.2251521,1.097604,0.92125255
door,1.0759372,1.0616328,1.3097185,0.92030096,1.2750366,1.2440296,1.2102177,0.9071838,0.38807774,0.7957278,1.0461215,0.6955374,1.0860384,1.0627844,0.8892304,1.0578206,1.1548455,1.0734246,1.2004887,0.8319881,1.2729883,0.86085105,1.0156604,1.1016794,0.9565682,0.9174365,1.0958612,0.7262715,0.50979495,1.0548277,0.9897574,0.11257416,0.9608644,1.1325212,0.89834434,1.1797764,0.7127392,1.0568652,1.2372884,0.7370084,1.1719238,1.0956581,1.042683,1.1745322,0.0,0.6323385,0.98689723,1.25176,0.85824215,1.1689951,0.99041075,1.2826716,1.0813864,1.2607627,1.0422657,1.3488128,1.1049523,1.2897372,0.9686033,1.217236,1.2543457,1.3326545,0.9098825,1.3327607,1.0840092,1.1952299,1.030948,0.62506235,0.8699815,1.0165807,0.9313729,0.8493335,0.4330485,0.9600038,0.9585234,0.8753815,1.0212753,0.97912663,1.0829829,1.2561376,1.2235255,1.2296078,1.0063144,1.1831968,1.1885757,1.2608138,0.38425988,1.1196495,0.86433744,0.8629907,1.0007725,1.195842,1.1843758,1.196481,1.1146733,0.9221088,0.9562433,0.8124145,1.0860353,1.0993104,1.2791663,1.0025578,0.99879533,1.2261337,0.23986816,1.1325989,0.84559065,1.1323298,0.8136885,1.1528068,0.9589343,1.0038111,0.39809883,0.64270663,0.7532269,1.3307779,0.9242566,1.0414459,1.0930924,0.9957818,1.2183225,1.0444351,1.1990852,0.8636497,0.87181115,0.905477,1.295783,1.2944455,1.3414084,1.0327768,0.9694233,1.2071534,0.9570614,0.8761779,0.5004609,1.2973261,0.4146368,1.0940868
drawer,0.95981705,1.0623344,1.3088789,0.9654298,1.1924896,1.1568236,1.1359892,0.83846694,0.45535064,0.8329712,1.046548,0.6274154,1.0688118,1.0764401,0.9111206,0.88169396,0.79172635,1.0964307,0.9811114,0.58425534,1.2282301,0.8297675,0.91452366,0.9562032,0.94769895,0.93239623,1.1020001,1.0918044,0.7067951,1.0662502,0.98424506,0.82120275,1.0814059,1.0509338,0.77083004,0.9668507,0.803607,1.1120932,1.132863,0.70478743,1.1085281,0.9692388,1.08202,1.0670784,0.6323385,0.0,1.1076032,1.2560441,1.0384347,1.0094317,1.0968047,1.1313726,1.0801393,1.1166357,1.0182962,1.1864986,0.9293117,1.0183314,1.0916629,1.183748,1.2371715,1.1074361,1.1094501,1.0913557,1.0560901,1.0436896,1.0390929,0.81729275,0.98984706,1.0076362,0.98972625,0.70436686,0.7285817,1.0427923,1.0460199,0.9657154,1.098256,0.9909757,1.0998967,1.1134981,1.1346164,1.2007685,1.0587678,1.140148,1.1392186,1.2515469,0.53216416,1.1148894,1.0831057,1.0274317,0.8330174,1.0267755,1.0454892,1.1299962,1.0731459,0.92381847,1.1176368,0.9472259,1.0122985,1.0751636,1.1597452,0.8855227,0.5594847,1.112439,0.48912603,1.1010993,1.1264943,0.831284,1.1027163,0.92743355,1.0488648,0.89756775,0.72628427,0.6480056,0.8669532,1.1129804,1.027742,0.9998994,1.0827578,1.0316449,1.0148351,1.092076,1.2234166,0.982045,1.0568668,0.8245383,1.0530146,1.1202537,1.2053328,1.0825956,1.0565466,0.982921,0.7712814,1.003086,0.7695687,1.1772666,0.86933804,0.988583
dress,0.8454646,1.2305114,1.3626119,0.71680546,1.298312,1.2308084,1.2505554,1.0272816,1.0190841,0.65286577,1.2946683,0.8033423,0.57824177,0.948412,0.63436115,0.74295497,1.0039732,1.3316116,1.3463954,0.96809584,1.270011,1.2911879,1.2988973,1.1265819,1.3646761,1.2031822,1.153319,0.88381225,0.9557775,1.0365119,1.1142201,0.95866525,0.6369624,1.2257771,1.0683733,1.0915089,0.7825584,1.0741802,1.3819721,0.67503595,1.3755347,1.0893643,0.8547028,0.9051221,0.98689723,1.1076032,0.0,1.2784021,0.68827814,1.1008635,0.82838154,1.288712,0.81109923,1.3256164,0.7221831,1.1787859,1.3964958,1.1554241,0.88819176,1.2852267,1.149458,1.1649421,0.7391499,0.9196288,0.9855446,1.257488,0.9544453,1.1498514,0.63044614,0.9400759,0.7352474,1.1046116,0.8621383,1.3100455,1.2384893,0.876088,1.1485269,0.9731355,0.7438947,1.1289867,1.0933043,1.2893496,1.3439845,1.3018571,1.2513499,1.3599322,0.99531114,0.85313463,0.6260826,0.7484263,0.78472126,1.3993273,1.3982548,1.2161518,1.0267996,1.2637303,0.9124705,0.7420019,1.199674,1.0314814,1.2673972,0.96011615,1.2453529,1.2325641,0.86939776,0.6208687,0.5930513,1.2068564,0.5453802,1.0826681,0.8725197,1.0136852,0.82162535,1.2209796,0.8140735,1.4051732,0.8234371,1.1295261,1.0918245,0.7915783,1.3640581,1.2910835,1.2408671,0.67213154,0.49518007,0.68505764,1.3307248,1.2740096,1.3239236,1.2317666,1.2993208,1.0258265,0.8842481,0.66525686,1.0331987,1.32082,0.88317657,0.923999
egg,1.4089483,0.74732286,0.32224536,1.2786545,0.20525908,0.35137153,0.8173719,1.1673523,1.2833238,1.4176428,0.7099694,1.4855225,1.3179358,1.0142372,1.3929889,1.2391125,1.1951892,0.5332023,0.65028083,1.2848793,0.7956271,0.9159838,0.7228187,1.0481894,0.7175752,1.1836191,0.9772763,1.3896568,1.2884351,1.0730104,0.7560973,1.2500596,1.1527431,0.83734274,1.2690446,0.7319952,1.3822904,1.2349596,0.58999616,1.4474586,0.50854623,0.89506143,1.2125928,1.0989096,1.25176,1.2560441,1.2784021,0.0,1.2710977,0.9923049,1.1003717,0.6844564,1.2322861,0.8663732,1.1156728,0.7226924,0.8389696,1.0527027,1.1949978,0.65514565,0.8507412,0.70746124,1.1208364,0.84000146,1.0447487,0.6411102,1.0507114,1.0784249,1.2884403,1.0300418,1.202656,1.2937391,1.3634534,0.5378538,0.8008108,1.1556807,0.9204931,0.9123381,1.2283767,0.8960458,0.83938503,0.509758,0.73949873,0.653761,0.55770296,0.37429893,1.178853,0.9871387,1.3179324,1.2582288,1.3366251,0.7021083,0.6658935,0.78479683,1.0132776,0.8582239,1.2759925,1.2420033,0.93728817,0.9821077,0.76821923,1.1284697,0.9328371,0.6095638,1.3248795,1.1846178,1.2606574,1.1543756,1.3408037,1.144503,1.0472226,1.1475489,1.2078614,0.91205347,1.3382677,0.62521124,1.2890441,0.67907685,0.9104386,1.0767398,0.8293596,0.78043735,0.48619115,1.331635,1.301681,1.4236267,0.6473719,0.6487734,0.6226451,0.7522036,0.7702385,0.99410725,1.373612,1.1939839,1.1770272,0.6291877,1.2445153,1.1628331
elephant,0.9993845,1.083446,1.2707689,0.5493055,1.3004701,1.3717073,1.2021892,0.89739364,0.7512882,0.56407464,1.1590397,0.79680324,0.6973245,1.0759523,0.57810074,0.7672396,1.1892822,1.3409202,1.3458196,1.0956252,1.1963556,1.2430809,1.3264592,1.169692,1.3443809,0.92986417,0.9795918,0.49334103,0.8629777,1.1587617,1.0493702,0.8474474,0.698561,1.2522712,0.9027797,1.2588869,0.70082426,1.0602399,1.2418537,0.6705953,1.3908602,1.2075336,0.93522805,1.0484871,0.85824215,1.0384347,0.68827814,1.2710977,0.0,1.0273696,1.0357547,1.1431978,0.8436175,1.1701022,1.0984647,1.170736,1.1430216,1.2841848,0.8868334,1.1326122,1.0258479,1.3221881,1.0167364,1.1280777,0.86681163,1.1706526,0.7659333,0.8886974,0.6921259,1.0625573,0.66798115,0.78227186,0.76261914,1.1792715,1.1324735,0.9407504,1.1124504,1.193147,0.7097763,1.1695085,1.0250006,1.1972439,1.1455511,1.2357957,1.1715053,1.2667456,0.99035513,1.1204529,0.49556804,0.7369728,0.9090966,1.2029002,1.217114,1.1704305,1.0638144,1.088593,0.9104485,1.0505258,1.2520777,1.04822,1.1749257,1.0975785,1.2302899,1.2362112,0.88315165,1.0776511,0.85643554,1.1215144,0.55860513,0.8969253,0.8638729,0.9313778,0.7366343,1.0110954,0.6285689,1.215029,0.6378665,1.2989241,0.97487175,0.9794104,1.1223714,1.2451175,1.127687,0.9135562,0.66453964,0.76433647,1.3371546,1.1929199,1.1470414,1.2025778,1.0934108,1.2034184,0.92710555,0.87159336,0.9890307,1.1356204,0.81291175,0.98760957
eye,1.1604598,0.7770746,0.93767387,0.9669262,0.93527097,1.0705993,1.0742923,1.2795327,1.1862345,1.1200576,1.0297089,1.0586146,1.0453832,1.1493008,1.1338103,1.1328542,1.1628263,1.2327856,1.1508532,1.1354672,0.9303006,0.9652851,1.1761928,1.0414667,1.0151851,1.0954947,0.7828403,1.0291458,1.1501536,1.1419833,1.0906105,1.1514099,0.9873253,0.87780076,1.163996,1.0575871,1.0529946,1.1099652,0.8999566,1.1578377,1.0998255,0.7929477,1.1861123,1.043187,1.1689951,1.0094317,1.1008635,0.9923049,1.0273696,0.0,0.8720151,0.4381274,1.0981356,1.045692,1.2136662,0.73903966,0.7506012,1.034596,1.1610508,0.7265669,1.0885959,0.8580375,0.94936335,0.9464543,0.6653876,0.8013327,1.1246164,1.1401857,1.164513,1.2382947,0.81291693,0.89384246,1.1427951,1.0941412,1.0344862,1.1017276,0.96701974,1.2645804,0.9793885,0.43129653,0.77844715,0.8810983,1.2033727,0.7966676,0.66724616,0.9642506,1.2603923,1.1325204,1.0826507,0.85258645,1.1379952,0.90405786,0.9429755,0.6346414,1.1859059,1.026045,1.2042487,1.1426632,1.1293744,1.1997367,1.0028104,1.2119646,1.080639,0.5383044,1.2069176,1.1172801,1.0375215,0.9723416,1.054237,0.7877306,0.96827096,1.0772828,1.0985953,1.2016786,1.124632,0.6068193,1.1455406,1.330646,0.80028355,1.1072236,0.59695095,0.9706341,1.0580773,1.026871,1.0573181,1.1705997,1.0133878,0.4662941,0.59099007,1.1220826,1.1461124,1.1891842,1.138269,1.1327612,1.06963,0.46231616,1.166199,0.87743825
