,alligator,apple,ball,balloon,banana,basket,bathtub,bed,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,coffee,corn,couch,crayon,crib,cup,dog,doll,door,drawer,ear,face,firetruck,fish,flower,frog,glasses,glove,grass,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,melon,mitten,nail,napkin,oven,pants,paper,pen,pencil,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,sock,spoon,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,window
chair,1.2063367,1.2083957,1.0448477,1.2516098,1.2735318,0.92184913,0.81871337,1.1653832,0.5328266,1.0057621,1.2505372,1.0498334,0.9511385,1.003593,0.9572791,1.0877264,0.8791858,1.0381652,0.9153779,1.0592257,0.0,1.1088283,0.39783055,0.75734067,1.1069424,0.7389288,1.1577125,0.656026,0.95769733,1.1527666,1.1098177,0.4295206,0.8316435,1.1226685,1.1734,1.0181347,1.1836371,0.71457803,1.2630641,1.1134291,1.1646501,1.248994,1.2092261,1.129921,1.1672771,1.1208259,1.1641588,0.8878296,0.9082261,0.74347806,0.83156943,1.1399306,1.2342656,1.1225455,0.84094757,0.6461681,0.9710075,0.84721994,1.0227666,1.1113944,0.859282,0.7465768,1.1674533,1.0448741,0.8676073,0.7727852,0.70579207,1.0068251,0.9943355,1.075518,1.181494,1.2266818,0.97940725,0.5845517,0.8574455,1.1492771,1.0381882,1.1122293,1.2229033,1.0771798,0.5296545,1.105153,1.256633,1.0798895,0.826103,1.2359122,0.89842856,0.87299883,0.91415644,0.6726615
clock,1.2015117,0.727726,0.7956548,0.777038,1.0894487,0.9159438,0.9099729,1.2043552,1.26355,1.1853976,1.2169187,0.77949905,0.7903462,0.6470042,0.9989143,0.85686415,0.6492837,0.71292174,0.9554278,0.9302118,1.1088283,0.0,1.0889169,1.0858377,1.187753,1.1702857,0.7946125,1.293128,0.782517,1.0357078,0.9964066,1.0625217,0.8587445,1.0307082,1.1089051,0.98302346,1.2247237,0.8375257,1.1748537,0.8436342,1.0472295,1.0965103,0.9141504,0.98601115,1.1374767,0.9174503,1.1919203,1.1452961,0.968178,1.2328598,0.6666337,1.1716417,1.177405,0.82630587,0.94120693,1.2114505,1.2195864,0.7321031,0.8067985,1.1678447,0.6227778,0.8825705,0.60447854,0.8847392,1.0241647,0.9555883,1.198005,1.0685475,1.2890635,0.92130756,1.1226418,1.0100543,0.8752868,1.0472605,0.99090934,0.7937618,0.8692963,1.1318467,0.8724435,1.1850299,1.2137239,0.7540267,0.86206424,1.1026214,0.89135003,1.0180076,1.0563769,1.0126047,0.8087981,1.1428087
closet,1.2027581,1.1096199,0.9564955,1.158875,1.1915772,0.8816628,0.7525493,1.1933118,0.6740114,1.0882136,1.2411803,1.0531771,0.8742728,0.89830387,0.8370056,0.95113343,0.8575093,0.97013104,0.90680456,1.0155559,0.39783055,1.0889169,0.0,1.0205561,1.1874439,0.9867347,1.0868998,0.8551507,0.851612,1.1914837,1.1872555,0.31482923,0.7534146,1.0977648,1.2191329,1.0351114,1.2022038,0.75820124,1.2490911,1.0913591,1.1161909,1.2290539,1.2807539,1.1643208,1.2178831,1.0851611,1.2548095,1.0524098,0.9286245,0.9924102,0.7511121,1.1132783,1.1738677,1.0057038,0.6798764,0.5657821,0.9610767,0.7954235,0.969833,1.1259335,0.8008921,0.79954493,1.103705,1.0163893,0.7479873,0.766665,0.7310047,1.084875,0.9397245,0.9747749,1.2307293,1.2541015,0.86507386,0.60390353,0.81850576,1.1193053,0.9423983,1.0683901,1.1695298,1.1198642,0.8798136,1.066833,1.2169648,1.0557096,0.6508025,1.2137439,1.0595182,0.96006244,0.8084324,0.85903466
coffee,0.8951316,1.3942215,1.2548724,1.277015,0.9278636,1.2443548,0.9067733,0.7307037,0.6341894,0.9247103,0.8342199,1.1982192,1.3844935,1.2936492,1.1273305,1.3505971,1.2712889,1.3215859,1.0545125,1.2389379,0.75734067,1.0858377,1.0205561,0.0,0.88613707,0.4653899,1.3865122,0.47265637,1.3665382,0.95092916,1.0926913,0.85482055,1.0031447,1.1094173,0.8849772,0.78674495,0.95115477,1.0288311,0.94831824,1.3908851,1.1014777,1.0306877,0.90599394,1.127876,0.9349069,1.378743,0.7971568,0.6912721,1.0703545,0.7189639,1.0117131,0.9099436,1.0239493,1.3239121,1.2725596,0.7720778,0.79329634,1.0332686,1.215419,1.0221945,1.1879668,1.0414462,1.2434345,1.36646,1.0463501,1.0868975,0.6869574,1.0320117,0.95745397,1.1970639,0.8877581,1.2681429,1.4014133,0.8259511,1.2021451,1.4562538,1.2830051,1.0529503,1.2171068,0.796894,0.20432222,1.2924176,1.4058518,1.1290054,1.313605,1.0983859,0.51133,0.75875235,1.183531,0.5536705
corn,0.5616955,1.3411736,1.3232602,1.2694669,0.9644408,1.2916772,0.9868087,0.7075039,0.7218847,0.9240197,0.61123765,1.3373202,1.3512468,1.3692757,1.2435195,1.198554,1.3741407,1.3584049,1.0886729,1.1312833,1.1069424,1.187753,1.1874439,0.88613707,0.0,0.88497823,1.2445358,0.8362398,1.3313096,0.77709866,1.0374947,1.1831483,1.1463361,0.91137856,0.9481805,1.0183674,0.8240618,1.258457,0.6536258,1.2296174,0.72959936,0.5550306,0.9619252,1.0826259,0.82172996,1.357229,0.8693765,0.8870328,1.0269933,0.825574,1.120515,0.9581635,0.5003754,1.3020803,1.2195266,1.0413755,0.8838322,1.1085856,1.1603783,0.8711818,1.2113534,1.0999601,1.2661566,1.2953355,1.0397973,1.3280555,0.91523707,0.85234183,0.9437784,1.1375264,0.9329311,0.7471733,1.3511643,1.0336428,1.0659901,1.2232866,1.2533026,0.57449734,1.1485964,0.8287122,0.8506919,1.297907,1.187417,1.0329193,1.2302095,0.9364283,0.97018635,1.0070573,1.2586241,0.95408255
couch,0.7854688,1.3392787,1.3668985,1.2340093,0.8817363,1.3935913,0.89840925,0.5133313,0.50067747,0.7589163,0.71150595,1.4191401,1.4789417,1.4284812,1.2228394,1.386801,1.4291652,1.3532499,0.9995655,1.2751936,0.7389288,1.1702857,0.9867347,0.4653899,0.88497823,0.0,1.4755528,0.46806216,1.4871995,0.89224917,0.9806532,0.8740629,1.0996116,1.0208861,0.7168287,0.9030496,0.9460219,1.2862554,0.8649658,1.4936062,1.0243398,1.029831,1.0957078,1.0320976,0.9343795,1.3116689,0.5468439,0.42119664,1.2813944,0.713525,1.1712258,0.87625086,1.0318872,1.3597498,1.218201,0.6947354,0.53059053,1.0826477,1.3456271,0.933208,0.905783,1.2057551,1.4747488,1.3836232,1.099502,1.1865095,0.6334239,1.0256563,0.8522569,1.2865796,0.7420806,1.2827086,1.483907,0.9817266,1.1821909,1.5467368,1.3102465,0.9846608,1.317131,0.48604566,0.33799165,1.3992908,1.3328047,1.2065527,1.2848026,1.0431628,0.79412913,0.83841956,1.4082904,0.5216987
crayon,1.2504289,0.37051976,0.5072233,0.85085344,1.1911302,0.6279081,1.086752,1.3496392,1.400119,1.2981021,1.3049941,0.41437852,0.39227617,0.41197145,0.8041721,0.7787226,0.53738284,0.39454365,0.875087,0.9437308,1.1577125,0.7946125,1.0868998,1.3865122,1.2445358,1.4755528,0.0,1.4711356,0.35312515,1.1590507,1.162201,1.2228397,1.0494623,1.0773553,1.2730422,1.1191133,1.1712599,0.8461091,1.1925174,0.661146,1.0998356,1.093992,1.109912,1.0732031,1.2391423,0.69782895,1.3541301,1.3322318,0.81452364,1.2252939,1.0113341,1.2829096,1.242793,0.32966995,0.7964787,1.3596141,1.3255763,0.99861914,0.54281616,1.1581635,0.8930583,1.0083151,0.64737105,0.54473263,1.2362654,0.9362842,1.4122895,1.0921557,1.0823479,0.59543645,1.2351933,0.85731393,0.44175464,1.2090847,0.9090614,0.41718835,0.48689306,1.1891899,0.7466191,1.4410107,1.5103168,0.6096243,0.5107043,0.69262147,0.71416545,0.90083766,1.2427328,1.2030914,0.48645496,1.3830483
crib,0.864603,1.4849191,1.3874831,1.3191643,0.806895,1.3472085,0.8000698,0.71618915,0.43325192,0.7591347,0.81035477,1.3365667,1.5032928,1.3764879,1.0900819,1.4569216,1.3441472,1.4106841,0.8874824,1.242369,0.656026,1.293128,0.8551507,0.47265637,0.8362398,0.46806216,1.4711356,0.0,1.4099486,0.9646736,1.0371319,0.6975544,0.86960536,1.093638,0.91638696,0.86294496,0.8673936,1.1471857,0.9035983,1.4503287,0.98272395,0.9996864,0.93843746,1.1982403,0.8824664,1.4472185,0.8011438,0.6885063,1.2010859,0.46414268,1.0937943,0.7908592,0.9878633,1.4350888,1.2123886,0.5207326,0.6822579,1.0541068,1.3145458,0.8919208,1.191635,1.1269705,1.4101131,1.3977294,0.9765657,1.0814862,0.40467858,0.9024842,0.83017254,1.2655176,0.94665045,1.1777303,1.4498767,0.767694,1.0826905,1.4303927,1.4022846,1.0516557,1.2150674,0.6979969,0.34368467,1.3899828,1.3885336,1.1556551,1.2751051,1.1200601,0.68156105,0.9146009,1.2914053,0.6127255
cup,1.3930078,0.3680489,0.3528651,0.79500735,1.1639225,0.5465237,1.0323361,1.5019135,1.3149891,1.2568645,1.4516265,0.43660438,0.14900428,0.1956529,0.6282217,0.67558926,0.29010308,0.29443097,0.8230108,0.8526266,0.95769733,0.782517,0.851612,1.3665382,1.3313096,1.4871995,0.35312515,1.4099486,0.0,1.2366507,1.2222807,1.0884038,1.087029,1.1655719,1.2840723,1.1487088,1.2199117,0.8051425,1.3503491,0.66464067,1.1659099,1.1671481,1.1322858,1.0725262,1.29791,0.69721854,1.3998545,1.3466332,0.8294044,1.2624712,0.8632622,1.2394681,1.3179344,0.3976087,0.681217,1.2151557,1.3365645,0.9808779,0.74617517,1.1506027,0.8336848,0.94373864,0.56383246,0.5462852,1.0584755,0.7400025,1.2725422,1.1544935,1.1659153,0.86105025,1.2936082,0.94263566,0.2807399,0.9689981,0.9204583,0.4975711,0.40254527,1.3111889,0.875168,1.4374132,1.4765298,0.3977245,0.5850128,1.0302073,0.6063047,1.1308113,1.295658,1.1704203,0.53628665,1.3356872
dog,0.86442405,1.1115354,1.1907617,1.059271,0.9527408,1.1992439,1.0130185,0.8899669,0.94063,0.8767879,0.8977204,1.0891538,1.2289425,1.1916578,1.1593033,0.9735447,1.2053038,1.1715273,1.1209816,0.7744729,1.1527666,1.0357078,1.1914837,0.95092916,0.77709866,0.89224917,1.1590507,0.9646736,1.2366507,0.0,0.91200423,1.1238185,1.0859244,0.74460304,0.78637016,1.0710441,1.0156176,1.1933622,0.9463961,1.1082467,0.8689125,0.9834569,0.95096123,0.978189,0.80042183,1.043414,0.7923455,0.98030496,1.0207376,0.91915596,1.0307229,1.0317543,0.8224642,1.1391424,1.1854438,1.0529854,0.9082692,0.9796449,1.1617761,0.85626584,1.1125427,1.1781342,1.090941,1.0363996,0.93121123,1.2104125,0.9660431,0.80215245,0.95070696,1.239406,0.8353278,1.0822487,1.2014085,1.0370668,1.181413,1.1591913,1.134869,0.86937076,1.1342473,0.8071369,0.927801,1.1760272,0.9613321,1.2085364,1.2308803,0.9793161,0.8870489,0.9809616,1.1602539,0.9950459
doll,1.0320647,1.108497,1.0576438,0.7730487,0.9002474,1.0165956,1.2151351,1.0720942,1.100905,0.9652877,1.0299212,1.0389842,1.1340022,1.2363689,1.051408,1.0008738,1.0528313,1.1662283,1.0822523,0.82520056,1.1098177,0.9964066,1.1872555,1.0926913,1.0374947,0.9806532,1.162201,1.0371319,1.2222807,0.91200423,0.0,1.037101,1.029335,0.90064543,0.95154226,0.9242346,1.0542389,0.9138361,0.9354614,0.9201262,0.88468957,0.9784208,0.90737325,0.79057944,0.90653884,0.77452886,1.0154564,1.037847,1.0067782,0.9406595,0.98991066,0.8327317,0.90255946,1.1782467,1.0681473,1.1205941,1.1375664,1.0396099,1.2093705,0.8705746,0.95772105,0.90794146,0.9563855,0.9864045,0.87476486,1.0104756,1.022618,0.8329134,1.1003213,1.0726062,1.0262232,0.9647747,1.1511344,1.0561081,0.93889236,1.0284832,1.0934441,0.790043,0.97590363,1.0247378,0.99314016,1.0139762,1.0298507,1.0847573,1.10981,0.80964434,0.95815635,1.0846983,1.1753662,1.0358255
door,1.0994192,1.2648311,1.0246291,1.2416477,1.2211292,0.91115475,0.7762696,1.0703547,0.75866103,0.99904615,1.1262385,1.1770027,0.9859569,1.102669,0.9038753,1.0508516,0.91494197,1.0854281,1.0220342,1.0668952,0.4295206,1.0625217,0.31482923,0.85482055,1.1831483,0.8740629,1.2228397,0.6975544,1.0884038,1.1238185,1.037101,0.0,0.63275564,1.1316493,1.0919808,0.9765622,1.1490017,0.657014,1.1664156,1.193314,1.2071118,1.2203298,1.1091397,1.1122708,1.1060256,1.1620663,1.1403099,1.0177287,0.90554166,0.8696895,0.78025156,1.0975138,1.1589763,1.1580448,0.94758654,0.5172509,1.0061275,0.8746723,1.0276623,1.1326675,1.0093954,0.7396803,1.1650009,1.1335523,0.7931214,0.6850197,0.460514,1.096241,1.0506955,1.0694721,1.1434729,1.3284633,1.1136268,0.5963576,0.9435418,1.3351744,1.0449383,1.0937268,1.2424754,1.0405755,0.7015934,1.1654041,1.3976043,1.1128709,0.9283309,1.0982707,1.0029202,0.79457986,0.9835299,0.590642
drawer,1.1329875,1.2090496,1.1280917,1.0927727,1.1348244,0.97379094,0.6258434,1.155102,0.85111576,1.0777495,1.1414254,0.8936956,1.092233,0.9669962,0.8077557,1.0511603,0.8952426,1.0132738,0.92933273,0.93457353,0.8316435,0.8587445,0.7534146,1.0031447,1.1463361,1.0996116,1.0494623,0.86960536,1.087029,1.0859244,1.029335,0.63275564,0.0,1.0161984,1.1695008,1.0271037,1.1674297,0.8283936,1.0911623,0.92070436,0.9842234,1.1537944,0.9498464,0.9878413,1.0115817,1.1194319,1.2291609,1.1448628,0.95729184,1.0118054,0.8055674,1.0945369,1.0547384,1.1724484,1.0134192,0.6216602,1.1646142,0.7260111,0.7821089,1.0829707,0.89741933,0.960686,0.9863226,1.0677387,0.94695914,0.84074867,0.7097449,1.0112327,1.0973085,0.9710473,1.1688676,0.9887954,1.094852,0.6924236,0.9014036,0.9585372,1.1428163,1.0550592,0.89892375,1.1402571,0.9724545,1.1475377,1.0522678,0.9091648,0.9932968,1.1089978,0.9068402,1.0384752,0.8893194,1.0706632
ear,1.091023,1.0388047,1.251884,0.9568843,0.8581103,1.2794018,1.0284132,1.1354511,0.99964386,1.0515201,1.144144,1.2510111,1.180252,1.1294267,1.215526,1.0055071,1.2238446,1.1885095,1.1157763,0.8529677,1.1226685,1.0307082,1.0977648,1.1094173,0.91137856,1.0208861,1.0773553,1.093638,1.1655719,0.74460304,0.90064543,1.1316493,1.0161984,0.0,0.9417449,1.122813,1.0266461,1.0995427,1.1758428,0.9418398,0.8600128,1.0542707,0.9307569,0.91063017,0.47031617,1.0175781,0.9210005,0.91820747,1.1635009,1.0902971,0.98098797,0.91096985,0.8286414,0.96858156,0.96655095,1.0195898,0.89809746,1.1453491,1.077977,0.74437606,0.96667075,1.0899282,1.0641972,0.9908578,1.0708932,1.22267,1.0621289,0.81062365,0.87171656,1.0833465,0.8592052,1.0035605,0.97663873,1.1037775,0.9785775,0.8862121,1.0887828,0.8069836,0.97267705,0.9081312,1.1122568,1.0531015,0.6596591,1.0397782,1.0382864,1.1474967,0.9994336,1.0638629,1.0912712,1.0433083
face,0.8679574,1.117629,1.2291834,1.0861713,0.91179365,1.278301,1.0624788,0.75146383,1.0394856,0.7939823,0.83467317,1.3052278,1.2834274,1.2593176,1.1164907,1.1832908,1.29389,1.1364263,1.0531828,1.2144052,1.1734,1.1089051,1.2191329,0.8849772,0.9481805,0.7168287,1.2730422,0.91638696,1.2840723,0.78637016,0.95154226,1.0919808,1.1695008,0.9417449,0.0,0.9313469,0.9764372,1.3231208,0.9351543,1.0743716,1.1296629,0.98706496,1.0267565,0.564083,0.8720058,0.9811572,0.28533328,0.8702442,1.2496321,0.94033986,1.1600853,1.0051377,1.0327035,1.1352094,1.3797779,1.0848241,0.7867921,1.1373293,1.2420975,0.92962617,1.2559543,1.270287,1.2695841,1.2336601,1.2315123,1.1893187,0.93445146,1.0349873,0.97035426,1.2206951,0.29812503,1.1257352,1.2491374,1.178641,1.2456968,1.273679,1.1720147,0.9861317,1.124889,0.57591563,0.86387205,1.1714357,1.0294772,1.1967309,1.400084,1.0484948,1.0679859,0.95972914,1.2440064,0.8157012
firetruck,1.050105,1.0979272,1.1050653,1.1332064,1.038703,1.1293519,0.89663684,0.924539,0.93182594,0.98927754,0.9815356,1.1180186,1.1233348,1.0567741,1.0967127,1.1542778,1.1301308,0.99543756,0.96207863,1.1884905,1.0181347,0.98302346,1.0351114,0.78674495,1.0183674,0.9030496,1.1191133,0.86294496,1.1487088,1.0710441,0.9242346,0.9765622,1.0271037,1.122813,0.9313469,0.0,0.8569309,1.0182678,1.0826771,1.1454965,1.1621208,0.83798414,1.0965492,1.0181372,1.0413144,1.1718571,0.8946358,0.8519087,0.96330106,0.87875235,1.0924224,1.0680358,1.178056,1.0788016,1.0634403,0.98026395,0.86125433,1.0866094,1.1187335,1.197911,1.1683673,1.0275944,1.1230681,1.2084012,1.1186489,1.0423466,0.92011046,0.8305337,0.9892476,1.03135,0.87605035,1.0608351,1.1942345,0.9968359,1.0488964,1.2310598,0.9797616,1.1633284,1.0693393,0.9419123,0.8354539,1.1764612,1.2342695,1.0515106,1.0744549,1.0642359,0.96842617,0.84754574,1.1520901,0.79037625
fish,0.77954507,1.2279123,1.2078042,1.1997925,0.91234934,1.2366227,1.098057,0.62155676,1.0612732,0.8205902,0.6367178,1.2563105,1.2469511,1.2647312,1.1840222,1.119779,1.3204297,1.231594,0.9655,1.153051,1.1836371,1.2247237,1.2022038,0.95115477,0.8240618,0.9460219,1.1712599,0.8673936,1.2199117,1.0156176,1.0542389,1.1490017,1.1674297,1.0266461,0.9764372,0.8569309,0.0,1.1308068,0.69451535,1.1304115,0.8827913,0.6988265,0.98637086,1.0756292,0.8713728,1.2197591,0.84922135,0.8171088,1.0573623,0.96659005,1.3355861,0.9268991,0.7902904,1.1966043,1.0381906,1.0104766,0.79738146,1.1589895,1.144517,0.86955523,1.2231153,1.0465778,1.195198,1.2150139,1.0826505,1.208967,1.0167301,0.9570002,0.8631491,1.0876033,0.9056014,0.82903117,1.1826375,1.1386025,1.0745583,1.1422242,1.1999254,0.8588441,1.0461017,0.8374918,0.97936434,1.2725518,1.1032923,0.9675163,1.0662466,1.0067174,1.0371648,0.98506904,1.2041065,0.95863503
flower,1.2551874,0.9878934,0.80988216,0.9848239,1.2672261,0.65147257,0.99760926,1.375825,1.0777761,1.2610126,1.3266287,0.76363003,0.6293185,0.7647765,0.89220417,0.7798701,0.59922266,0.7995508,0.9343669,0.70786357,0.71457803,0.8375257,0.75820124,1.0288311,1.258457,1.2862554,0.8461091,1.1471857,0.8051425,1.1933622,0.9138361,0.657014,0.8283936,1.0995427,1.3231208,1.0182678,1.1308068,0.0,1.1967123,0.906332,1.1726133,1.2517537,1.1645213,1.0991029,1.1977321,0.97895575,1.449049,1.2921746,0.6658453,1.0707109,0.79743105,1.1946077,1.2469518,0.94641656,0.7011909,1.0165914,1.3240716,0.8113104,0.87267065,1.1723645,0.81716025,0.26344252,0.6264649,0.76211715,0.7952585,0.6261287,1.0307776,1.034571,1.2151638,0.90117455,1.369077,1.1502168,0.7306317,0.78549516,0.77651584,0.91502863,0.7545602,1.1518946,0.90967476,1.4044071,1.0742189,0.88423014,1.1590211,0.96346605,0.66725594,1.0318084,0.97697103,0.8373448,0.72808766,0.95811874
frog,0.18996716,1.2509325,1.1582528,1.0555432,1.0218111,1.1163013,1.1188796,0.34958863,1.0222576,0.94575083,0.16063273,1.1919897,1.3030778,1.3864226,1.1313138,1.2324517,1.3206961,1.2616334,1.1836576,1.1833005,1.2630641,1.1748537,1.2490911,0.94831824,0.6536258,0.8649658,1.1925174,0.9035983,1.3503491,0.9463961,0.9354614,1.1664156,1.0911623,1.1758428,0.9351543,1.0826771,0.69451535,1.1967123,0.0,1.1956031,0.8115984,0.75110626,0.9389308,0.9860367,1.0642047,1.1094128,0.87892133,0.90541655,1.08594,0.92594117,1.2838264,0.96903425,0.540874,1.249315,1.3247861,1.1324869,0.99449986,1.0874172,1.1883186,1.0015444,1.2555076,1.0373927,1.2428603,1.23702,1.0325397,1.1369729,1.006231,1.1431966,0.9984609,1.0477092,1.0072659,0.7459157,1.3485637,1.1518235,1.2128234,1.203359,1.232729,0.6755885,1.0114659,0.86278284,0.9188271,1.2125027,1.2460302,0.98481995,1.3133794,0.3272636,1.0032878,1.0399344,1.2627419,1.0243658
glasses,1.3151275,0.7087951,0.7988442,0.74683064,1.0842886,0.7982966,1.0988576,1.3690645,1.3716885,1.1137075,1.3117862,0.7358782,0.6598251,0.7214618,0.9438034,0.74118066,0.7269021,0.75474894,0.9287005,0.75105107,1.1134291,0.8436342,1.0913591,1.3908851,1.2296174,1.4936062,0.661146,1.4503287,0.66464067,1.1082467,0.9201262,1.193314,0.92070436,0.9418398,1.0743716,1.1454965,1.1304115,0.906332,1.1956031,0.0,1.0024995,1.031472,1.0127198,0.6149779,1.0352473,0.3694334,1.1931165,1.3013167,0.811115,1.2416159,1.0206002,1.175461,1.0751642,0.7511477,0.85450214,1.2986814,1.2884891,1.1254132,0.79400647,0.9477346,0.96574676,0.92522436,0.6128232,0.56679887,1.0555061,0.9174733,1.341737,1.0056126,0.9892099,0.83296186,1.0424259,0.74192923,0.46544814,1.1544734,0.8467072,0.44986188,0.8306776,1.1399974,0.6108577,1.2738403,1.487914,0.72654927,0.49070555,0.908474,0.82087934,1.0914751,1.279725,1.2539746,0.7602047,1.3842359
glove,0.8274318,1.2464473,1.186563,1.0568142,0.8119128,1.2304933,1.0858395,0.9458154,0.9001466,0.81227434,0.8846181,1.0581071,1.3094096,1.2636948,1.0832916,1.2237371,1.1347755,1.1925074,1.0068564,1.0141861,1.1646501,1.0472295,1.1161909,1.1014777,0.72959936,1.0243398,1.0998356,0.98272395,1.1659099,0.8689125,0.88468957,1.2071118,0.9842234,0.8600128,1.1296629,1.1621208,0.8827913,1.1726133,0.8115984,1.0024995,0.0,0.8747302,0.8512578,1.1256552,0.6973042,1.1175939,1.0382212,0.94615597,1.0783199,1.0572102,1.1737843,0.8290795,0.3805251,1.3103364,0.9877597,0.9571671,0.89721656,1.005136,1.0199901,0.6219313,0.82329273,1.0353029,1.2151093,1.1717485,0.90683895,1.1690841,1.0641423,0.82207036,0.8294361,1.0593665,1.1410549,0.6141712,1.1784934,1.1053133,1.0525483,0.8606715,1.3455601,0.5994738,0.94671226,0.89365566,1.1171783,1.1896906,1.0083452,0.93836236,1.0224493,0.9473029,0.95932263,1.1858383,1.0917867,1.2191501
grass,0.7432406,1.0755876,1.0565443,1.0328456,0.9933812,1.1495768,1.0519811,0.71876705,1.0570716,1.0573534,0.7099334,1.1827594,1.1722435,1.1765566,1.1446987,0.970898,1.2488977,1.1993797,1.0515851,1.0834186,1.248994,1.0965103,1.2290539,1.0306877,0.5550306,1.029831,1.093992,0.9996864,1.1671481,0.9834569,0.9784208,1.2203298,1.1537944,1.0542707,0.98706496,0.83798414,0.6988265,1.2517537,0.75110626,1.031472,0.8747302,0.0,0.9205329,1.0351251,0.94912887,1.1018915,0.9689961,1.013309,0.98880196,0.92012906,1.1087064,1.0161737,0.73346716,1.1435316,1.2792628,1.1624622,1.0844721,1.131531,1.1043365,0.9903257,1.2104903,1.1174916,1.0383372,1.1564626,1.0799724,1.2181168,1.0671935,0.7955285,1.0782621,0.96234375,0.98382443,0.8378073,1.2271631,1.0684671,1.0634705,1.1492378,1.1330576,0.8800886,1.0488575,0.9217891,1.0029299,1.1515372,1.1317463,0.9696356,1.260338,0.9054667,1.1374063,0.972647,1.2153846,0.99600345
gum,0.97284126,1.1349626,1.0355157,0.8962813,0.84616643,1.0510675,1.1590352,1.0335691,1.0899233,0.90249634,0.97739524,0.98724425,1.1418844,1.1465163,0.9311302,1.1062025,0.999422,1.1592553,1.0461946,1.0939529,1.2092261,0.9141504,1.2807539,0.90599394,0.9619252,1.0957078,1.109912,0.93843746,1.1322858,0.95096123,0.90737325,1.1091397,0.9498464,0.9307569,1.0267565,1.0965492,0.98637086,1.1645213,0.9389308,1.0127198,0.8512578,0.9205329,0.0,1.0122765,0.6303183,1.0330579,1.0379784,1.018124,1.075484,1.1181612,0.9058204,0.75645506,0.74787444,1.0836295,1.1926345,1.0923548,1.11351,0.9717216,1.0763046,0.88230115,1.1049713,1.0778515,0.9227259,1.0855762,0.9341102,1.0268382,0.9946783,0.9520909,1.1598428,1.0390538,1.0474368,0.88434,1.2056596,1.0822154,1.0068388,1.027798,1.1373315,0.8873063,1.0038846,1.05125,0.93061715,0.9476205,1.0453129,0.9936146,1.2114718,0.85806835,0.8233219,1.0009964,1.1940372,1.0469258
hair,1.0718238,0.9305872,1.0498612,0.89720356,1.0454751,1.1112926,1.1229042,1.0696245,1.1789862,1.01681,1.0556118,1.1308615,1.0237349,1.0686419,1.0349646,0.95021266,1.087085,1.0227197,1.0834217,0.9572972,1.129921,0.98601115,1.1643208,1.127876,1.0826259,1.0320976,1.0732031,1.1982403,1.0725262,0.978189,0.79057944,1.1122708,0.9878413,0.91063017,0.564083,1.0181372,1.0756292,1.0991029,0.9860367,0.6149779,1.1256552,1.0351251,1.0122765,0.0,0.89767253,0.66960114,0.7513107,1.0345862,1.0973847,1.1252285,1.0707976,1.1024793,1.0874217,0.94814086,1.1235151,1.1352495,1.0540751,1.099477,1.0825588,1.0506473,1.0937582,1.058427,0.99810725,0.9955274,1.176942,0.9999392,1.10156,1.0112004,1.1107092,1.0724964,0.6465,0.97442925,0.8808992,1.1344064,1.1355834,0.9030857,1.051173,0.9414612,0.8609291,0.9787535,1.1276586,0.9851673,0.7244227,1.0882324,1.140368,1.0657853,1.1693692,1.0367879,1.1065598,1.0351844
hand,0.9986418,1.2624686,1.3612018,1.1126013,0.7141679,1.3925455,0.97657293,1.0488417,0.915329,0.872769,1.014806,1.3329375,1.3574405,1.2536279,1.1592975,1.2017038,1.3434783,1.336401,1.0385016,1.113701,1.1672771,1.1374767,1.2178831,0.9349069,0.82172996,0.9343795,1.2391423,0.8824664,1.29791,0.80042183,0.90653884,1.1060256,1.0115817,0.47031617,0.8720058,1.0413144,0.8713728,1.1977321,1.0642047,1.0352473,0.6973042,0.94912887,0.6303183,0.89767253,0.0,1.2032771,0.8357452,0.8350647,1.2236559,0.9656765,1.0761114,0.7421383,0.6192877,1.1799839,1.1948065,1.0245037,0.88377124,1.1981282,1.1292703,0.40371442,1.1332707,1.1387981,1.2304921,1.2244952,1.0743482,1.2608197,0.9129735,0.7437519,0.9087782,1.2241762,0.82662237,1.0053744,1.1947902,1.0774993,1.0792265,1.0724896,1.2628454,0.74830776,1.0052212,0.84792674,0.93576294,1.2449691,0.85311204,1.1289923,1.2779701,1.1701035,0.9243579,0.95181656,1.3013332,0.9334986
