,alligator,apple,ball,balloon,banana,basket,bathtub,bed,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,coffee,corn,couch,crayon,crib,cup,dog,doll,door,drawer,ear,face,firetruck,fish,flower,frog,glasses,glove,grass,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,melon,mitten,nail,napkin,oven,pants,paper,pen,pencil,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,sock,spoon,sweater,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,window
blanket,0.12174094,1.2933302,1.2371874,1.2100669,1.0197169,1.1518333,1.0796416,0.11430645,0.9363881,0.89208627,0.0,1.3172865,1.3816118,1.4493086,1.1995864,1.2461293,1.4183477,1.3007882,1.3024551,1.3231658,1.2505372,1.2169187,1.2411803,0.8342199,0.61123765,0.71150595,1.3049941,0.81035477,1.4516265,0.8977204,1.0299212,1.1262385,1.1414254,1.144144,0.83467317,0.9815356,0.6367178,1.3266287,0.16063273,1.3117862,0.8846181,0.7099334,0.97739524,1.0556118,1.014806,1.1895591,0.74352616,0.82383215,1.1144809,0.9357853,1.2573409,0.9421029,0.53808284,1.2584383,1.3907268,1.0865471,0.89924246,1.1033456,1.2496002,1.0518508,1.2521284,1.1626819,1.3424602,1.3396609,1.0457349,1.1617138,0.96009964,1.2111961,1.0154594,1.0813185,0.87520736,0.77395356,1.4791082,1.1517223,1.1885712,1.3234057,1.2348702,0.67885494,1.1927556,0.7037442,0.78682697,1.3724066,1.3131744,1.0276067,1.3863536,0.41420233,0.99649966,0.953512,1.3638123,0.86740774
book,1.2966506,0.5180051,0.51249254,0.8013196,1.18805,0.50774086,1.0674762,1.3669453,1.2398037,1.2412341,1.3172865,0.0,0.46061522,0.42112023,0.66610724,0.7629099,0.4640677,0.40501022,0.79415727,0.83943367,1.0498334,0.77949905,1.0531771,1.1982192,1.3373202,1.4191401,0.41437852,1.3365667,0.43660438,1.0891538,1.0389842,1.1770027,0.8936956,1.2510111,1.3052278,1.1180186,1.2563105,0.76363003,1.1919897,0.7358782,1.0581071,1.1827594,0.98724425,1.1308615,1.3329375,0.736721,1.4430449,1.3833113,0.6933425,1.2222354,0.972505,1.2284378,1.3003943,0.60335135,0.88157874,1.2203107,1.4166193,0.74807185,0.6544473,1.1575717,0.76229835,0.9130106,0.53172415,0.62951136,1.0483558,0.71393394,1.2677107,1.0511963,1.2397051,0.73644125,1.3649206,0.9660314,0.6027941,1.0002754,0.88050944,0.5431108,0.5766407,1.2150526,0.81002027,1.4721951,1.3204806,0.6424473,0.76072836,0.7722281,0.7905005,0.9572656,0.9073649,1.1607578,0.56453574,1.3566697
bottle,1.331466,0.3490026,0.29236156,0.82940775,1.3257666,0.40119535,1.1909105,1.4515544,1.3942174,1.3191677,1.3816118,0.46061522,0.0,0.3240922,0.69236803,0.6159171,0.2956884,0.31104457,1.0122781,0.82180506,0.9511385,0.7903462,0.8742728,1.3844935,1.3512468,1.4789417,0.39227617,1.5032928,0.14900428,1.2289425,1.1340022,0.9859569,1.092233,1.180252,1.2834274,1.1233348,1.2469511,0.6293185,1.3030778,0.6598251,1.3094096,1.1722435,1.1418844,1.0237349,1.3574405,0.5996387,1.387376,1.3676107,0.60769224,1.3365762,0.85165024,1.3052968,1.3387021,0.36046433,0.67224956,1.2528114,1.399744,0.9201108,0.746453,1.2614114,0.8601806,0.7397147,0.54214925,0.45624018,0.9807348,0.6331816,1.2731167,1.1866653,1.2801895,0.87296325,1.2935011,0.98945016,0.3222618,1.0052382,0.9282017,0.59582615,0.23310393,1.2694037,0.96971107,1.4206072,1.4641366,0.47999227,0.6691818,1.0311792,0.59145105,1.0167881,1.3064058,1.0978999,0.59873605,1.3069643
bowl,1.407043,0.3680606,0.48839563,0.80265236,1.1283257,0.6633932,0.79075015,1.4731424,1.2696946,1.3090191,1.4493086,0.42112023,0.3240922,0.0,0.7172402,0.61681753,0.4327523,0.3201936,0.7163614,0.811681,1.003593,0.6470042,0.89830387,1.2936492,1.3692757,1.4284812,0.41197145,1.3764879,0.1956529,1.1916578,1.2363689,1.102669,0.9669962,1.1294267,1.2593176,1.0567741,1.2647312,0.7647765,1.3864226,0.7214618,1.2636948,1.1765566,1.1465163,1.0686419,1.2536279,0.79673755,1.3864623,1.3063191,0.88399166,1.2454607,0.76211953,1.2454348,1.3984189,0.46182877,0.7464336,1.2349348,1.3457434,0.9111319,0.6875284,1.1654879,0.7477176,1.0087036,0.4312575,0.70578897,1.1541661,0.84417504,1.3199112,1.0987236,1.2482092,0.8495812,1.2585858,1.0634145,0.35787392,0.9410442,0.8742266,0.56195664,0.43162543,1.4039543,0.7329168,1.4346318,1.4396888,0.5154748,0.6286619,0.977261,0.6835143,1.1839765,1.2382106,1.0962315,0.55425125,1.2558641
box,1.1796212,0.9256866,0.7659129,0.96489847,1.1130229,0.50861526,0.93630445,1.2243931,1.0787369,1.1098179,1.1995864,0.66610724,0.69236803,0.7172402,0.0,0.89391136,0.5497868,0.71913505,0.92844594,1.0533504,0.9572791,0.9989143,0.8370056,1.1273305,1.2435195,1.2228394,0.8041721,1.0900819,0.6282217,1.1593033,1.051408,0.9038753,0.8077557,1.215526,1.1164907,1.0967127,1.1840222,0.89220417,1.1313138,0.9438034,1.0832916,1.1446987,0.9311302,1.0349646,1.1592975,0.97515744,1.21596,1.1893095,0.89706725,1.1559632,0.86195564,1.0762997,1.1786304,0.9093362,0.95203805,1.0179651,1.2289231,0.74469167,0.84825224,1.1135736,0.9050457,0.97393465,0.86383784,0.9210318,0.8906028,0.6560762,1.013537,1.1303954,1.1584235,0.84070754,1.1732029,1.0104221,0.8371753,0.85203445,0.925005,0.8809676,0.911785,1.064318,0.99755937,1.2358243,1.1502861,0.8113942,1.0292137,0.9784404,0.90879834,1.007296,1.0500052,1.0450186,0.8039965,1.1485231
bread,1.2478204,0.5849831,0.6494026,0.66804564,1.1884698,0.61445636,1.1351594,1.2617924,1.3028805,1.2341368,1.2461293,0.7629099,0.6159171,0.61681753,0.89391136,0.0,0.72713125,0.74233776,1.1217107,0.5224408,1.0877264,0.85686415,0.95113343,1.3505971,1.198554,1.386801,0.7787226,1.4569216,0.67558926,0.9735447,1.0008738,1.0508516,1.0511603,1.0055071,1.1832908,1.1542778,1.119779,0.7798701,1.2324517,0.74118066,1.2237371,0.970898,1.1062025,0.95021266,1.2017038,0.6490411,1.3059577,1.3394673,0.7851586,1.2351705,0.747854,1.1349769,1.1873541,0.62998164,0.8489118,1.2466644,1.3758495,0.9898655,0.786519,1.1842567,0.83540916,0.9161936,0.44579387,0.6580646,0.99672794,0.803744,1.2968453,1.1054641,1.2575625,0.8594468,1.1697358,1.0492697,0.6100882,1.0718619,0.75770044,0.7409893,0.66409403,1.1342372,0.9148494,1.3215628,1.4018333,0.6384535,0.7774403,0.9502605,0.81008416,1.010041,1.1878757,1.0224097,0.7911954,1.1931145
bucket,1.3687646,0.6396774,0.49442106,0.83234584,1.2590353,0.46364665,1.0030067,1.4559596,1.240129,1.2904826,1.4183477,0.4640677,0.2956884,0.4327523,0.5497868,0.72713125,0.0,0.31691837,0.8901908,0.78967464,0.8791858,0.6492837,0.8575093,1.2712889,1.3741407,1.4291652,0.53738284,1.3441472,0.29010308,1.2053038,1.0528313,0.91494197,0.8952426,1.2238446,1.29389,1.1301308,1.3204297,0.59922266,1.3206961,0.7269021,1.1347755,1.2488977,0.999422,1.087085,1.3434783,0.77009904,1.4514463,1.3959161,0.6911665,1.2887831,0.7093016,1.2045789,1.3125262,0.6525978,0.7407538,1.1260693,1.442351,0.7467878,0.7317387,1.2463399,0.7349255,0.71325374,0.51345557,0.6209285,0.8311807,0.51537496,1.1915807,1.1430079,1.3132117,0.8015075,1.3601558,0.95099026,0.5992677,0.8503304,0.8229985,0.649888,0.5853028,1.2665211,0.963084,1.4697849,1.3075583,0.5562826,0.8730905,0.96944326,0.6498954,1.0015672,1.1024284,1.0910388,0.6909692,1.2711267
can,1.2698159,0.41706735,0.38213503,0.9217428,1.2379689,0.6223419,0.9760343,1.3242857,1.2680926,1.2807294,1.3007882,0.40501022,0.31104457,0.3201936,0.71913505,0.74233776,0.31691837,0.0,0.82936174,0.9230596,1.0381652,0.71292174,0.97013104,1.3215859,1.3584049,1.3532499,0.39454365,1.4106841,0.29443097,1.1715273,1.1662283,1.0854281,1.0132738,1.1885095,1.1364263,0.99543756,1.231594,0.7995508,1.2616334,0.75474894,1.1925074,1.1993797,1.1592553,1.0227197,1.336401,0.7458806,1.2946875,1.3061519,0.7731496,1.2693894,0.8926727,1.287677,1.3571013,0.43336034,0.8336755,1.2352678,1.3168232,0.8900936,0.69429433,1.2497983,0.8246925,0.9432259,0.6779853,0.719133,1.1840202,0.7537069,1.2840817,1.11829,1.2488528,0.8791391,1.1915953,0.9249374,0.5395717,1.150117,0.9825667,0.6180229,0.42898834,1.2911396,0.9436199,1.3794363,1.3800199,0.6220848,0.7063344,1.0228517,0.7418396,1.0276694,1.2111038,1.0296636,0.637227,1.2112302
car,1.2280959,1.029547,1.0854665,0.9779921,0.9514036,1.1754668,0.65628874,1.2749734,0.9134626,0.8352543,1.3024551,0.79415727,1.0122781,0.7163614,0.92844594,1.1217107,0.8901908,0.82936174,0.0,0.9103002,0.9153779,0.9554278,0.90680456,1.0545125,1.0886729,0.9995655,0.875087,0.8874824,0.8230108,1.1209816,1.0822523,1.0220342,0.92933273,1.1157763,1.0531828,0.96207863,0.9655,0.9343669,1.1836576,0.9287005,1.0068564,1.0515851,1.0461946,1.0834217,1.0385016,1.1976142,1.0940752,0.9546761,1.1259485,0.89954317,1.1037731,1.1492068,1.2686734,1.1532273,0.7955049,0.92361337,0.8710227,0.9654756,0.9176183,0.9016314,0.8787476,1.0529817,0.9082066,0.9754216,1.2233908,1.1502764,0.9721342,0.7674383,0.86529464,1.0498556,1.0901748,1.0699118,0.8615813,1.0197335,0.8641551,0.9295329,1.1102258,1.2306128,0.8251215,1.0510353,1.0639724,0.9771822,0.93160343,0.9832715,0.77548766,1.306006,0.99229926,0.979961,0.89081836,0.93756974
cat,1.23036,0.8333099,0.9092502,0.66383266,1.0200392,0.8810453,1.0318696,1.3794197,1.1079767,1.1491257,1.3231658,0.83943367,0.82180506,0.811681,1.0533504,0.5224408,0.78967464,0.9230596,0.9103002,0.0,1.0592257,0.9302118,1.0155559,1.2389379,1.1312833,1.2751936,0.9437308,1.242369,0.8526266,0.7744729,0.82520056,1.0668952,0.93457353,0.8529677,1.2144052,1.1884905,1.153051,0.70786357,1.1833005,0.75105107,1.0141861,1.0834186,1.0939529,0.9572972,1.113701,0.7905009,1.2636738,1.256448,0.8631268,0.95134133,0.8450946,1.0472049,1.1027838,0.97547233,0.78270936,1.11006,1.2354368,1.0133296,0.9416496,1.0481491,0.90702504,0.8667586,0.4703412,0.62611395,0.8020795,0.9775333,1.1446807,0.82991135,1.0341,1.015817,1.1935856,1.0538745,0.6988745,1.0183626,0.8099352,0.81785583,0.90061975,1.149368,0.78921306,1.2913629,1.2122777,0.7209779,0.8073301,0.99789,0.79935277,1.0489427,0.93818164,1.0819362,0.9473117,1.183654
