,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
paper,0.78514194,1.1278456,1.2897506,0.76967263,0.7425102,1.1608484,1.1574165,1.1652484,1.0243578,0.79348385,1.044711,0.7133938,1.1565313,0.957005,0.68620145,0.9313756,0.60422003,0.76813287,0.64439225,1.2391183,1.0720277,0.8292521,1.2103817,1.097972,0.9953545,1.2751001,0.87949735,1.1802081,0.96500945,1.017026,1.0576974,1.0167881,1.0993295,0.85680246,0.8783661,1.324811,1.0047873,0.8590811,1.073194,0.8038969,1.1493368,1.0382894,0.96378034,1.0001882,1.047602,0.87469995,1.0903577,1.2834508,1.2100362,1.0398157,1.008184,1.1266576,0.7964854,1.031156,1.2155691,1.3432715,1.1024711,0.95496786,0.81104577,1.3079395,1.0029274,0.9083487,1.0101417,0.73406076,0.86721015,1.3219726,1.0482754,0.946065,1.0159434,0.9302597,0.9753497,0.8532053,0.91470367,1.2097311,0.885024,1.097111,0.9700006,0.7778114,0.9392578,1.2271676,1.2074631,1.3479106,1.2713816,1.2455908,1.0545495,0.87562937,1.0313897,0.0,1.1536815,1.0815794,1.1721451,1.0776643,0.6971485,1.2904131,0.9910463,0.9160288,1.0533345,0.9114281,1.0611619,1.2627996,0.94647926,1.2636734,1.1534749,0.52360547,0.84900576,1.1424854,1.0682454,1.1099762,0.91100717,0.93905264,0.78182775,1.337527,0.74182653,1.2926022,1.1186597,0.91256726,1.1725726,1.1208425,1.1665118,1.090684,1.0157266,0.82167614,0.5577892,0.97760856,1.3107896,1.0192398,0.45564997,1.3066295,0.9369439,0.56934834,1.1110353,1.3328471,0.9550303
pen,1.5566278,1.0518321,0.35547316,1.1293563,1.450936,0.5027422,0.56830275,0.665427,1.0848312,1.248314,1.0270066,1.4861684,0.26510167,0.9609745,1.4723629,0.818863,1.44486,1.2630022,0.7909979,0.47600698,0.8351711,1.2629855,0.69326496,0.9460414,0.9819197,0.41537803,1.2060477,0.33172452,1.2950189,1.099405,1.0426664,1.2837285,1.180575,1.0161786,0.9711556,0.5875885,1.2341391,1.2422323,0.0953719,1.4969757,0.77462703,0.81286806,1.3681842,1.228985,1.2997485,1.0231686,1.2868555,0.5694374,0.66266054,1.2843084,1.2726136,0.72290033,1.2852222,0.44688606,0.8020355,0.46065742,0.5200971,0.7187122,1.4565138,0.48710012,1.1183059,0.7909361,1.3273768,1.3505692,1.2108417,0.7198631,1.1649272,1.0873322,1.3880955,1.2638204,1.2965953,0.5195308,1.2484157,0.86467856,1.2338185,0.6129784,1.252642,1.502182,1.2515899,0.36880445,0.5529417,0.4363954,0.74356776,0.43501687,1.2096659,1.3944364,1.3308954,1.1536815,0.0,0.017455757,0.6573453,0.7150035,0.7686057,0.8414486,0.78613174,1.3559443,1.0793351,1.1667478,0.9166093,0.7838074,1.3547487,0.8372611,1.278518,0.97984713,1.4834452,0.74896693,1.1603088,0.7488588,1.4854857,0.915687,1.3261049,0.21173227,1.0736095,0.705084,1.0800499,1.0021569,0.3981374,1.1101782,0.8186548,0.703947,1.1306527,1.4415158,1.4958814,0.9692763,0.60831684,0.8883814,1.0819039,0.51220435,1.0512152,1.2956233,1.0148861,0.3137511,1.2437268
pencil,1.5290911,1.062328,0.39538407,1.1069839,1.4046133,0.5336338,0.61087555,0.6771695,1.0771502,1.2405362,1.0425621,1.4213809,0.3089288,0.93126744,1.42483,0.8234289,1.3801746,1.2362078,0.7663555,0.5251871,0.84021634,1.2352569,0.7390608,0.96916234,1.0045207,0.47828555,1.1995566,0.3673709,1.2996597,1.0943594,1.0572712,1.2711002,1.2149014,0.98196214,0.9776524,0.61444676,1.1995745,1.1913667,0.13371629,1.4344387,0.79950297,0.8136593,1.3557786,1.1991649,1.2972149,1.0191945,1.2725911,0.6293449,0.7063875,1.2839252,1.243342,0.7402184,1.27162,0.46214628,0.8612216,0.50655746,0.5583126,0.7359528,1.4120055,0.52105033,1.1154982,0.794921,1.2938869,1.2967143,1.1907241,0.7626157,1.1460696,1.0946132,1.3675613,1.2399055,1.2654157,0.5267986,1.209677,0.90341425,1.1859784,0.62745863,1.2483608,1.4603488,1.2481593,0.39931768,0.60913575,0.5071432,0.778207,0.47160643,1.2183656,1.347404,1.3123165,1.0815794,0.017455757,0.0,0.6983869,0.728245,0.7499687,0.90787417,0.7953491,1.3222876,1.0595887,1.1499715,0.94976807,0.8298886,1.3413266,0.87506443,1.2747467,0.9483007,1.4451374,0.77211314,1.1677111,0.804363,1.4616926,0.9275897,1.2920136,0.26401895,1.0655698,0.7579205,1.0901078,0.9803609,0.4483279,1.1272595,0.85887486,0.7343439,1.1113013,1.4004304,1.4286947,0.9848974,0.6522055,0.9072684,1.0226767,0.57803494,1.037253,1.2504184,1.0277994,0.36144376,1.2398527
pickle,1.3057941,1.1330216,0.47575617,1.0852327,1.3598428,0.5421506,0.5665215,0.27220237,1.0496395,1.1935238,1.1323113,1.4440817,0.7453598,1.1606092,1.3429468,0.9930555,1.3335228,1.2550347,0.866518,0.7087755,0.7087493,1.0793238,0.6726194,0.8629774,0.7517179,0.7462507,1.1712173,0.5606476,1.3030021,1.332058,0.9676208,1.2957833,1.2359443,1.0857351,1.071224,0.6034321,1.3730714,1.0136224,0.6035396,1.4584733,0.8109636,0.6366661,1.1841207,1.1822588,1.3335779,1.1276191,1.2161616,0.7883758,0.36241752,1.3210242,1.1840785,0.83310294,1.1371363,0.6045699,0.70126116,0.767146,0.79481584,0.6664414,1.173975,0.82409775,1.1231736,0.5130697,1.2080033,1.1437783,1.1294808,0.8484696,1.1471587,1.1026082,1.3957024,1.1211011,1.3343257,0.86772084,1.389173,0.9115119,1.1835352,0.41873896,1.0597426,1.2888824,0.98811114,0.738979,0.801854,0.8193901,0.8231445,0.5197627,1.2771009,1.3990786,1.3677796,1.1721451,0.6573453,0.6983869,0.0,0.95352274,0.844821,0.77621096,0.6423262,1.2744224,0.8860363,1.2570202,0.88890857,0.55890775,1.311828,0.88446844,1.1347454,1.1651623,1.4162536,0.9154255,1.2569308,0.8456956,1.3659738,1.0009003,1.2578132,0.68232924,1.033802,0.6855902,1.1512948,0.6434053,0.61429226,0.9969479,0.83341646,0.45434004,1.1984211,1.3062726,1.321333,0.97326493,0.75374603,0.8228863,1.221183,0.79468524,0.7439846,0.93612045,1.2428705,0.71013004,1.2574599
pillow,1.0923665,1.0189352,0.9576868,0.8639438,1.2703859,1.0915152,0.87041026,0.99281985,0.9475158,0.9639633,0.98687553,1.0603294,0.5091926,0.49254203,1.1831568,0.8530664,0.88256,1.2566487,0.8763859,0.9669257,1.0763847,1.1950566,0.6754406,0.915518,0.91923344,0.4973113,1.2847279,0.7539784,0.9875402,0.70676696,1.0578259,0.930699,1.0189697,0.82301503,1.0679842,0.9584434,0.63162094,0.85729104,0.80594134,1.0780774,1.0435958,0.85068345,0.95792097,1.1214576,0.99069226,0.8699664,0.9695296,0.63110113,0.9761365,1.2221072,1.2342864,0.81830025,1.3270439,0.63331044,1.0507452,0.50513786,0.87624454,0.7191659,1.2005813,0.9777467,0.90459174,1.0178242,1.29911,1.1935972,1.1043032,0.9319365,1.1041346,1.1165687,0.89609015,1.1441582,1.0700442,0.80046356,1.0453907,0.9453346,0.9384506,0.7851281,1.1607938,1.1402639,1.1053853,1.028847,0.5699748,0.60226226,0.89330846,0.9995421,0.874672,1.1396841,0.9755458,1.0776643,0.7150035,0.728245,0.95352274,0.0,0.9302674,1.0404366,0.86530674,1.0449471,0.92887604,0.94134325,0.8752749,1.0102731,1.1268258,1.0126839,1.2358408,1.1744218,1.2571533,0.7956115,0.9110514,0.8633695,1.2318261,0.7776746,1.3252252,0.7426189,0.99629456,0.7733556,0.8369456,1.0247079,0.78896224,1.1369125,1.2067571,0.98073566,0.8189306,1.3296682,1.2646909,1.1638598,0.8100271,1.1510798,1.2049834,0.67752177,1.169277,1.2036359,0.8756155,0.8147774,1.1210356
pizza,1.1490222,1.0577835,0.7436433,1.0246562,1.1018555,0.7926443,0.82131225,0.76737016,0.7914153,1.1494172,1.005425,1.1843672,0.8031815,1.0392427,1.1409856,0.99268824,0.9602549,1.0543444,0.8009585,0.8571744,0.8281485,1.1602976,0.5699737,0.94791394,0.92592627,0.92780316,1.035723,0.8121823,1.0789118,1.0935048,1.0301952,1.2077798,1.1218966,0.99520403,1.1271069,0.84136647,1.2633479,0.9909145,0.7710204,1.26324,0.8781094,0.8919062,1.1546963,1.1475617,1.2632209,1.1175286,1.1973615,0.9425986,0.8072773,1.1919264,1.1965353,1.0218186,1.1004238,0.75909555,0.8007459,0.92134523,0.8975203,0.8383455,1.1669531,0.89419013,1.0801172,0.85716486,1.1962612,0.9672008,1.1564934,0.95952743,1.0607542,1.1755722,1.2713392,1.1564077,1.2253196,0.8673006,1.1980939,0.9005482,1.0696917,0.7706294,1.083965,1.2134541,0.71012944,0.805818,0.7432411,0.8406986,1.0459735,0.7687985,1.1103916,1.148042,1.2527324,0.6971485,0.7686057,0.7499687,0.844821,0.9302674,0.0,0.83459103,0.615288,1.1888423,0.9302962,1.1477149,0.8396449,0.87173456,1.2001286,0.95042384,1.1642106,0.9853866,1.1773477,0.9387679,1.0764177,0.8800577,1.2588623,0.96527827,1.1996559,0.7853538,0.91105026,0.8895435,1.1500205,0.9698015,0.79170007,1.1883329,0.8116782,0.75101876,1.2420417,1.1054602,1.096809,0.9154934,0.97686666,0.96816695,0.9777281,0.7754152,1.0340719,0.788001,1.2379394,0.7997779,1.0840684
plant,1.1791189,0.90579915,0.6547131,1.119564,1.3247955,0.7417795,0.8563479,0.8451356,0.79691446,1.4113022,0.9523815,1.355662,0.9966663,1.221193,1.3640432,1.0716199,1.3123974,1.2434863,0.9954728,0.56974757,1.040689,1.1706247,0.5568646,0.853624,0.80672604,0.7672212,1.1595299,0.8287314,1.0738271,1.1684154,0.95095265,1.0729489,1.0425065,1.2655723,1.02187,0.85011387,1.2960606,1.1527009,0.7458992,1.3476096,0.7877252,1.0233039,1.0044657,1.0235889,1.079602,1.1423017,1.134348,0.8696606,0.81674635,1.1749601,1.1868813,1.0768328,1.2164501,0.91264033,0.08515465,0.82785285,0.9168955,0.86045516,1.2748084,0.7167833,1.0999608,0.88225126,1.0856795,1.1816511,1.292824,0.6054321,1.1337156,1.1181285,1.1876209,1.116228,1.3807414,0.98749703,1.1868119,0.77795756,1.1286371,0.76194555,0.9837912,1.3438268,0.85812443,0.69443697,0.57819235,0.7071594,0.90318215,0.70909905,0.91560155,1.2750353,1.3096483,1.2904131,0.8414486,0.90787417,0.77621096,1.0404366,0.83459103,0.0,0.9843319,1.0702466,1.0275677,1.0458342,0.7237942,0.74766505,1.1027882,0.44530952,0.9367025,1.1148274,1.3208253,0.9704219,1.0853386,0.681301,1.1866274,1.1640587,1.4010956,0.694496,1.078623,0.5875609,0.9896418,1.1835957,0.863091,0.874941,0.63866913,0.72734123,1.1679765,1.3,1.4277439,1.0456176,0.8584931,0.9357354,1.1792524,0.4843955,0.9247317,1.3138795,0.85383475,0.628165,1.0531669
plate,1.2998129,1.0670379,0.8576552,0.99260306,1.3319385,0.87243927,0.7362144,0.6794225,0.6831242,0.80252266,1.2266426,1.3099802,0.7742268,0.9707389,1.2777588,1.0613464,1.1645014,1.1047978,0.5960458,0.7721192,0.25202733,0.92160606,0.39964688,0.64791006,0.8734444,0.74679714,1.0740348,0.8496809,1.3509816,0.99195194,0.9068151,1.182034,1.2373916,0.9659208,1.048017,0.8996575,1.2983953,1.08798,0.81473327,1.2462467,0.5724273,0.54926854,1.2573807,1.1162337,1.2069588,0.84688306,1.2751845,0.9888146,0.65586704,1.3477983,1.3124123,1.1111898,1.0985765,0.92180264,0.94668305,1.0007449,0.60348296,1.0041019,1.089819,1.0370053,1.138771,0.81332076,1.2859702,1.0705695,1.2142041,0.97547424,1.1560034,0.9913891,1.3789964,0.9610301,1.3923049,0.76884377,1.2640401,0.8440241,1.0764154,0.6766715,0.8695799,1.2899725,0.932859,0.9388185,0.6619729,0.9496907,1.1225218,0.8073078,0.9572143,1.342338,1.3844197,0.9910463,0.78613174,0.7953491,0.6423262,0.86530674,0.615288,0.9843319,0.0,1.2158159,0.9180144,1.0933113,0.67401326,0.89026886,1.1011117,1.0691866,1.1820521,1.056424,1.40159,1.0609202,1.1334955,0.68039787,1.259518,0.527079,1.1889187,0.8922598,1.0248655,0.71915334,1.0998896,0.53279114,0.5169661,0.95509267,0.77196,0.77829957,1.2678939,1.2264618,1.0377237,0.65344596,1.105848,0.8867804,1.12343,0.84737337,0.87867033,0.44274473,1.1044283,0.98072994,1.1707816
pony,0.8480416,0.7054539,1.276295,1.0394388,0.81270444,1.1825423,1.2027707,1.1953866,0.92567044,1.0183277,1.0658501,0.6407968,1.3460388,0.99671865,0.65018684,1.0798126,0.65709573,0.9567579,1.0269742,1.190559,1.1692547,0.8571553,1.1846588,1.0311923,1.1045882,1.2256738,1.0979278,1.2097254,1.0768601,0.9442503,1.0652078,0.8986031,1.0268252,1.0591527,1.1177558,1.2240525,0.862737,0.90332896,1.3189983,0.7578721,1.0999929,1.1961483,0.91159225,0.70784736,0.8887799,1.0400605,0.8556516,1.2983751,1.2214171,0.97078705,0.90725636,1.1265343,0.9282129,1.2637572,1.106222,1.2940801,1.2447844,1.2036202,0.81359535,1.2914525,0.84510386,1.0563898,0.8527764,0.8728646,0.8613404,1.08079,0.9484449,1.0544344,0.7806286,0.8917359,0.9225307,1.139262,0.8783127,1.1387812,0.8198185,1.2449664,0.879445,0.7269377,0.9357179,1.2246512,1.1592178,1.2771447,1.0890635,1.2013975,0.8315548,0.7108928,0.9021572,0.9160288,1.3559443,1.3222876,1.2744224,1.0449471,1.1888423,1.0702466,1.2158159,0.0,0.9961778,0.83430016,1.0174173,1.2044117,0.8739582,1.0815074,0.9116165,0.96593916,0.8762847,1.173051,1.0102857,1.1350795,0.7681405,1.1040499,0.87810445,1.3290181,1.04641,1.1404783,0.7508346,1.0038942,1.3127,0.9062803,1.1617042,1.1668335,0.8888347,0.8481437,0.79659367,1.0859535,1.2143263,1.1018027,0.85571575,1.1657648,0.84113204,0.952283,0.90400594,1.3197061,0.912597
pumpkin,0.9252739,0.82776934,0.89000666,1.058072,0.9682814,0.99584067,0.8616516,0.8780154,0.9975352,1.1359407,1.1052073,1.1821722,0.97916245,1.0942035,1.0912386,1.1231595,1.0224812,1.1478947,1.0856557,1.201308,0.94142413,1.1361506,0.9245192,1.0798738,0.8089613,1.171515,1.1371549,0.85875714,1.0011256,1.2251827,1.0389796,1.2542988,1.2032441,1.0133253,1.1542795,0.6919222,1.1430466,0.908044,1.0897398,1.2315112,1.0985034,0.911005,0.77521276,0.829072,1.2779417,1.1007172,0.9829326,0.98857033,0.8612755,1.13231,0.90789026,0.68912727,1.1200536,0.75042975,0.9513481,0.82460296,1.0423853,0.72902095,0.9792063,0.8908522,0.6591686,0.7875097,0.9944367,0.93126327,0.75589913,0.8839935,1.0712714,1.1591427,1.0964584,1.0753953,1.0257136,1.0090454,1.2707858,1.0862826,0.9288519,0.8766515,1.1079806,0.69743776,0.91365576,1.0088614,1.0658374,1.0358319,0.694855,0.9337991,1.2255956,1.0500617,1.0685099,1.0533345,1.0793351,1.0595887,0.8860363,0.92887604,0.9302962,1.0275677,0.9180144,0.9961778,0.0,1.1156927,0.98368484,0.82399815,1.2386421,0.8866992,1.0539151,1.0676928,1.0736475,0.82052696,1.0658226,0.9377444,1.1718508,1.1208106,1.1950364,0.90925944,1.0583861,1.0453217,0.9531165,0.84692013,0.95762056,1.0032717,1.0216,0.8130859,1.107698,1.1039591,1.1493223,1.0399042,0.7183706,0.83101004,1.0153275,1.1130403,0.85116804,0.9337741,1.2660412,0.9282055,1.2567006
purse,1.0407069,0.9841743,1.2914745,0.8635089,0.93476945,1.2257774,1.1072075,1.3320212,0.7002465,0.9991736,0.9758113,0.95217055,1.1105974,0.8006229,0.9087992,1.1272439,0.8683162,0.96894026,0.81731033,0.9987025,0.9967606,0.73328483,1.0919169,0.7501199,1.1641004,0.92740357,1.0224485,1.250792,1.0620682,0.6900107,0.9481815,0.7562404,0.9019875,0.91929,0.945584,1.3575354,0.9080109,1.1159743,1.1614184,0.8281323,0.89792985,1.2207408,1.0792938,1.0410295,0.8043728,0.8595256,0.81328726,1.2037486,1.2929758,1.0684156,1.105398,1.2993646,1.0444134,1.216008,1.1379746,1.2022625,1.0628258,1.26475,0.88643664,1.2633308,1.0830672,1.2123014,1.0113231,0.91842157,1.1336038,1.129761,1.0381228,0.78298414,0.6582698,0.76393306,0.9755148,1.0009267,0.88911736,0.9420562,0.82293093,1.0719209,0.8204948,1.0302181,1.107681,1.239978,0.8682202,1.0621358,1.2802154,1.2501407,0.67367625,0.97016233,0.92024446,0.9114281,1.1667478,1.1499715,1.2570202,0.94134325,1.1477149,1.0458342,1.0933113,0.83430016,1.1156927,0.0,1.0132378,1.239183,0.7751701,1.2239281,0.8948237,0.8270705,0.9386304,1.1716791,0.7302826,0.9813127,0.9060688,0.8835972,0.9967533,1.2825072,1.0003986,1.0144855,0.9154006,1.138543,1.1278524,0.90825284,0.9919843,1.1495202,0.8294977,0.97161204,0.9447121,0.84448266,1.3166811,1.2176204,0.8299203,0.9273356,1.0845406,1.0015241,0.64948726,1.3091345,0.71050555
radio,1.2309248,0.96573824,0.89489263,1.0138816,1.2725165,0.9023833,0.8503759,0.919892,0.77452034,1.1123735,1.1976956,1.2538514,0.94432193,0.93068683,1.2607806,1.208113,1.1546485,1.0586967,0.76878035,0.6426351,0.81858087,0.9561347,0.56755996,0.48561037,0.876466,0.7777604,0.9538377,0.9947241,1.224293,1.1135722,0.99606764,1.0495368,1.1699885,1.0517628,1.0981325,0.9055334,1.1899676,1.0734812,0.88562727,1.1966712,0.62619936,0.9734127,1.0699004,1.0363278,1.0333288,0.7164428,1.1125737,1.010599,0.8723633,1.2910978,1.2845113,1.1103417,0.9889228,0.8902703,0.71236837,0.9493523,0.89590794,0.8924799,1.0519829,0.9402422,1.0636939,0.78118944,1.2389853,1.1265087,1.2377306,0.82334757,1.100653,1.0979905,1.2874792,0.9106906,1.3718508,0.92344546,1.2717586,0.9065561,1.1233847,0.79601955,0.7902528,1.2750659,0.8861392,0.9146862,0.5826591,0.93456703,0.9867545,0.92109704,0.7607489,1.3180101,1.3759446,1.0611619,0.9166093,0.94976807,0.88890857,0.8752749,0.8396449,0.7237942,0.67401326,1.0174173,0.98368484,1.0132378,0.0,0.80727625,0.9230197,0.9405667,1.1222787,1.1002748,1.374563,0.95548946,1.1280614,0.64169997,1.1185231,0.6619959,1.2798772,0.8802524,0.9784279,0.551228,0.9262007,1.0680835,0.7992904,0.87242323,0.84294665,0.84302145,1.1856983,1.2925315,1.3003871,0.7697029,0.998467,1.0472153,1.0829581,0.6570494,0.7996274,1.0062422,0.7868988,0.8758445,1.1668943
raisin,1.2425342,1.0475932,0.58028746,1.2113805,1.3015156,0.56793475,0.57435936,0.638147,1.1021767,1.2809526,1.1500034,1.4345003,0.84174,1.1253815,1.3562648,1.1531181,1.3625734,1.2294588,1.1101549,0.8807968,0.9654352,1.2542828,0.7015446,0.9523937,0.720195,0.85860884,1.2524807,0.70210594,1.2808623,1.2936094,0.9039751,1.3177433,1.2282363,0.96194994,1.0046043,0.45928657,1.3789585,1.0527921,0.7227813,1.4702371,0.92964673,0.8983308,1.1295961,1.070823,1.2902886,1.0763389,1.1626768,0.7241603,0.4400553,1.2764689,1.0986161,0.6550504,1.1440185,0.67915606,0.7002787,0.6558961,0.79484653,0.615089,1.161098,0.7326392,1.0008345,0.57240045,1.1338674,1.1746538,1.0169336,0.64710677,1.0622324,1.0618985,1.3406259,1.227896,1.2813734,0.85340726,1.2957637,0.9006713,1.2112765,0.63575864,1.1172361,1.1832771,0.84414315,0.716441,0.85049415,0.7549698,0.52319396,0.69615316,1.2228522,1.3578811,1.2907809,1.2627996,0.7838074,0.8298886,0.55890775,1.0102731,0.87173456,0.74766505,0.89026886,1.2044117,0.82399815,1.239183,0.80727625,0.0,1.3288798,0.8434659,1.0340668,1.1156121,1.3943264,0.71494037,1.2208894,0.8429719,1.3697002,1.114836,1.2560136,0.60104156,0.9998809,0.7524287,0.9814256,1.0040686,0.61899203,0.8698917,0.8414514,0.46440852,1.2312474,1.324852,1.4238582,1.0043548,0.52813715,0.84464574,1.1699365,0.7730498,0.85862446,1.093714,1.1752543,0.59751284,1.3190908
refrigerator,0.8353879,1.1040063,1.4535518,0.8739007,0.8707415,1.3832934,1.3411485,1.3458011,0.9361608,0.6882298,0.96506506,0.756521,1.2820132,0.8009869,0.9323648,1.0773765,0.9383604,0.8348505,0.9618646,1.1027495,1.1073273,0.8008323,1.2461724,0.94531584,1.1709646,1.0545022,0.64668524,1.4011897,0.9142822,0.55230117,1.0896305,0.27720463,0.8102113,1.0111929,1.001387,1.451506,0.71135116,1.0673463,1.3698682,0.5716487,1.030118,1.1598779,1.057463,1.0973134,0.20651007,0.49199152,0.77927375,1.26424,1.354253,0.93775445,1.0383683,1.367835,0.54920644,1.3408036,1.1511979,1.3585681,1.2034018,1.3808501,0.81981087,1.3495924,1.2006819,1.3605257,0.9321413,0.99863607,1.1071355,1.3197196,0.9002266,0.89936703,0.7174879,0.7186524,0.8935993,1.1169889,0.5932355,1.1003611,1.0277638,1.289535,0.7670306,1.0396581,1.1412687,1.3718066,1.1288023,1.2780476,1.3807029,1.3541559,0.2563579,0.899465,0.801422,0.94647926,1.3547487,1.3413266,1.311828,1.1268258,1.2001286,1.1027882,1.1011117,0.8739582,1.2386421,0.7751701,0.9230197,1.3288798,0.0,1.1501392,0.9029069,0.95573515,0.8139726,1.3484595,0.83412874,0.95074373,0.4225021,0.6733186,0.9029235,1.4663018,1.0381696,1.1329643,1.1222986,1.0961546,1.3040591,0.9670111,1.1221305,1.3116715,0.80512136,0.8247044,0.7157322,0.93996924,1.4742674,1.2232423,0.89672434,1.1265471,1.2043723,0.8854899,0.47985256,1.4273093,0.6708793
rooster,0.96908534,0.91371834,0.72318375,1.0968521,1.1574672,0.8596002,0.96398807,0.89790434,0.96867406,1.3299758,1.0165081,1.2522644,0.9200131,1.0908277,1.2535605,0.99454916,1.2057617,1.1849748,1.0975071,0.81210935,1.1095874,1.2079694,0.8834635,1.0934618,0.73603976,0.9468305,1.1867744,0.86236596,1.0180866,1.1310145,1.08989,1.145999,1.0672271,1.1782932,1.028076,0.8677837,1.1122916,0.97550595,0.8103955,1.2685335,0.98814106,0.8466746,0.89370304,0.99459356,1.1623461,1.1696527,1.0080246,0.8649875,0.90366566,1.0485883,0.98412985,0.88945544,1.1526349,0.83173335,0.4697823,0.77561516,0.94555104,0.76369715,1.1796229,0.643676,0.8625397,0.9003949,1.0123504,1.1398485,1.0365181,0.67466575,1.0761967,1.2929909,1.0440918,1.2295399,1.0836288,0.9588826,1.1450218,1.0032449,1.067636,0.9122344,1.1408513,1.0817919,0.9572079,0.7405956,0.86777866,0.8038193,0.78973806,0.7937751,1.0638869,1.1116488,1.0444416,1.2636734,0.8372611,0.87506443,0.88446844,1.0126839,0.95042384,0.44530952,1.0691866,1.0815074,0.8866992,1.2239281,0.9405667,0.8434659,1.1501392,0.0,1.011726,1.1443486,1.1719863,0.74805677,1.0226045,0.8444627,1.152576,1.2701585,1.295114,0.6696267,1.1569059,0.87150335,0.972931,1.0685738,0.9233593,1.0204421,0.91147596,0.89985365,1.0058812,1.2125489,1.2707772,1.1009961,0.7029797,0.92476845,1.1961819,0.77084017,0.9549692,1.2465053,0.99230415,0.5997317,1.1894404
scarf,0.99096596,1.1569711,1.154837,1.0446823,0.92441154,1.138388,1.2113203,1.1888924,1.0481476,1.1441568,1.0647397,0.9520866,1.2685688,1.0636629,0.8763874,1.1838741,1.0621831,1.0178198,1.1756979,1.0669731,1.1371382,0.99236554,1.1351583,1.0798516,1.0704831,1.1111361,0.98342526,1.2316393,0.96232814,1.0103153,1.0166234,0.83663344,0.9061396,0.9850629,1.0249434,1.1078551,0.8959047,0.98911077,1.2738874,0.8879495,1.0659959,1.1630372,0.8739173,0.9070115,0.8079747,1.097162,0.75125945,1.0759977,1.1574855,0.9624145,0.43586993,1.1696975,0.98585886,1.1891608,1.0071125,1.1853163,1.2180943,1.171918,0.91954476,0.97929025,1.1580703,1.1946553,0.26031566,0.95059204,1.026518,0.841303,0.9820946,1.0885128,0.82009494,0.88108754,0.95105594,1.2783365,0.9031378,1.0751132,0.9182492,1.1476597,0.87971723,1.0310153,1.0067434,1.1135352,1.1213362,1.0422169,1.00048,1.1316379,0.9741397,0.826112,0.90775007,1.1534749,1.278518,1.2747467,1.1347454,1.2358408,1.1642106,0.9367025,1.1820521,0.9116165,1.0539151,0.8948237,1.1222787,1.0340668,0.9029069,1.011726,0.0,1.1322683,0.660873,1.2141798,0.9217725,1.1572963,0.7978305,1.1909764,0.96449715,1.1807727,1.0668399,1.0831064,1.080312,1.1013924,1.2725399,1.0480044,1.0686436,1.0748874,0.9001017,0.6658429,0.917254,1.1110746,1.0942123,1.1268926,1.0967885,1.0402422,1.1084795,1.0832074,0.96701133,1.1403408,0.78969747
scissors,0.87726814,1.0781361,1.2972031,1.0680878,0.89898497,1.1906742,1.1014353,1.1658664,0.88148016,0.95547664,1.0591689,0.989554,1.0573683,1.05359,0.9398852,0.9195011,0.89501476,1.064688,0.76162875,1.2359946,1.0435425,0.8668724,1.1998471,1.0850601,0.90809816,1.212208,0.964134,1.1435794,1.1387329,0.9408062,1.0023453,1.0112795,1.0842643,1.0291687,0.61384237,1.3098028,1.1733924,0.98056823,0.80817896,0.96055114,1.0942074,1.020255,1.0757135,0.9514828,1.013859,0.8687216,1.093428,1.2638153,1.2078178,1.0939326,1.1690534,1.123358,0.94562924,0.97584635,1.0792352,1.2810796,0.617164,0.82612514,0.91033304,1.2235883,0.8732865,0.8948532,1.095487,0.87729675,0.94461334,1.1715474,1.100932,0.49492913,0.98486155,1.0179161,1.0592824,0.41483903,0.79027116,1.0492468,0.97519344,1.0782609,1.0769873,0.85375947,1.0843966,1.2419738,1.1109757,1.2016381,1.282459,1.2897277,1.0027721,0.98165935,1.0953275,0.52360547,0.97984713,0.9483007,1.1651623,1.1744218,0.9853866,1.1148274,1.056424,0.96593916,1.0676928,0.8270705,1.1002748,1.1156121,0.95573515,1.1443486,1.1322683,0.0,1.0267459,0.93928784,1.0427055,0.7119189,1.0064839,0.9752782,0.7853957,1.2285255,0.97886926,1.2883321,0.95653987,0.94395214,0.79201156,0.80763847,0.83139324,1.0983636,1.0286239,1.0000852,0.8477676,0.774515,1.2744216,0.9412206,0.11544919,1.1965443,0.85400206,0.81921816,0.7340964,1.2305466,1.0419321
