,airplane,alligator,animal,ankle,ant,apple,applesauce,arm,ball,balloon,banana,basement,basket,bat,bathroom,bathtub,beads,beans,bear,bed,bedroom,bee,belt,bench,bib,bicycle,bird,blanket,blocks,boat,book,boots,bottle,bowl,box,bread,broom,brush,bubbles,bucket,bug,bunny,bus,butt,butter,butterfly,button,cake,camera,can,candy,car,carrot,cat,cereal,chair,chalk,cheek,cheerios,cheese,chicken,chips,chocolate,clock,closet,cloud,coat,coffee,coke,comb,cookie,corn,couch,cow,cracker,crayon,crib,cup,deer,diaper,dish,dog,doll,door,drawer,dress,drink,dryer,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flag,flower,food,foot,fork,frog,game,garage,garden,giraffe,glass,glasses,glove,glue,goose,grapes,grass,gum,hair,hamburger,hammer,hand,hat,head,helicopter,hen,horse,hose,ice,jacket,jar,jeans,jello,jelly,juice,key,kitchen,kitty,knee,knife,ladder,lamb,lamp,leg,light,lion,lip,lollipop,meat,medicine,melon,milk,mitten,money,monkey,moon,moose,mop,motorcycle,mouse,mouth,muffin,nail,napkin,necklace,nose,nut,orange,oven,owie,owl,pajamas,pancake,pants,paper,pasta,pastry,peas,pen,pencil,penguin,penis,penny,pickle,pig,pillow,pizza,plant,plate,pony,pool,popcorn,popsicle,porch,potato,potty,present,pretzel,pudding,pumpkin,puppy,purse,puzzle,radio,rain,raisin,refrigerator,rock,roof,room,rooster,salt,sandbox,sandwich,sauce,scarf,scissors,sheep,shirt,shoe,shorts,shoulder,shovel,shower,sidewalk,sink,sky,sled,slide,slipper,sneaker,snow,snowman,snowsuit,soap,sock,soda,soup,spoon,sprinkler,squirrel,stairs,star,stick,stone,story,stove,strawberry,street,stroller,sun,sweater,swing,table,tape,teddybear,telephone,tiger,tights,tissue,toast,toe,tongue,tooth,toothbrush,towel,toy,tractor,train,trash,tray,tree,tricycle,truck,tummy,tuna,turkey,turtle,tv,underpants,vacuum,vagina,vanilla,vitamin,walker,watch,water,wind,window,wolf,yard,yogurt,zebra,zipper
airplane,0.0,0.04102,0.0796,0.0742,0.06934,0.0845,0.0718,0.07666,0.0669,0.0586,0.06396,0.1157,0.04688,0.03955,0.06152,0.04053,0.05176,0.0957,0.0586,0.0664,0.0967,0.05127,0.0669,0.0332,0.0674,0.04004,0.04492,0.05713,0.042,0.03418,0.05176,0.062,0.0659,0.04785,0.04736,0.0752,0.04297,0.04443,0.05664,0.0459,0.04004,0.0708,0.04395,0.0547,0.0801,0.06006,0.07715,0.0542,0.04395,0.05566,0.0752,0.04004,0.0703,0.0547,0.1333,0.03857,0.0757,0.1206,0.06836,0.0718,0.06396,0.10986,0.06445,0.06885,0.0625,0.05957,0.084,0.0371,0.0669,0.03516,0.08887,0.0747,0.06885,0.05322,0.0737,0.06885,0.04443,0.05664,0.0703,0.05127,0.07324,0.0781,0.0762,0.05127,0.04834,0.1006,0.0625,0.03467,0.05615,0.0957,0.0796,0.05127,0.0996,0.1489,0.0967,0.0503,0.04834,0.05957,0.0659,0.0928,0.0708,0.04443,0.05225,0.1333,0.1406,0.145,0.10645,0.04346,0.0923,0.05273,0.05176,0.0659,0.07715,0.1084,0.05273,0.1196,0.0757,0.04883,0.0791,0.06494,0.10156,0.0376,0.06055,0.0708,0.03027,0.04834,0.083,0.0703,0.08203,0.05566,0.05762,0.0742,0.05713,0.1157,0.07275,0.08594,0.04248,0.04053,0.1367,0.04102,0.0747,0.06494,0.10156,0.11914,0.07227,0.06934,0.05566,0.0586,0.083,0.06055,0.0498,0.227,0.0664,0.08984,0.0586,0.03857,0.04297,0.1328,0.0747,0.1001,0.04492,0.0801,0.08594,0.09814,0.08936,0.03857,0.05078,0.05225,0.0864,0.0581,0.0918,0.0498,0.1372,0.0996,0.07275,0.05957,0.06152,0.06055,0.04736,0.0737,0.07764,0.0757,0.0454,0.0796,0.05957,0.05908,0.084,0.0664,0.05762,0.06836,0.2046,0.0884,0.03613,0.0747,0.0674,0.06006,0.0786,0.1035,0.04932,0.08496,0.04834,0.0537,0.084,0.0454,0.06445,0.06055,0.09424,0.0547,0.07715,0.0884,0.09814,0.0781,0.0801,0.042,0.07275,0.0962,0.0635,0.0869,0.06836,0.0381,0.06152,0.0747,0.03076,0.05615,0.04834,0.0459,0.0669,0.0747,0.05225,0.0547,0.0957,0.0659,0.06055,0.08057,0.084,0.04346,0.02588,0.06055,0.05078,0.06885,0.0498,0.0674,0.0664,0.04932,0.09814,0.0752,0.05518,0.0757,0.1118,0.0908,0.06836,0.0635,0.0718,0.0498,0.0635,0.08105,0.04932,0.1299,0.0923,0.08154,0.06934,0.03906,0.04834,0.05127,0.05273,0.05078,0.0464,0.0498,0.104,0.04883,0.062,0.05322,0.0869,0.06006,0.05713,0.04248,0.0625,0.0381,0.05957,0.05566,0.0879,0.03955,0.0791,0.04883,0.03564,0.0498,0.06152,0.125,0.05762,0.09814,0.0864
alligator,0.04102,0.0,0.02881,0.03955,0.04736,0.05713,0.03516,0.0381,0.05127,0.0464,0.03418,0.09717,0.03613,0.0293,0.06934,0.0337,0.0293,0.07275,0.02441,0.03662,0.09717,0.02197,0.05322,0.02441,0.02002,0.05127,0.01709,0.021,0.03955,0.03857,0.03076,0.0327,0.0542,0.03906,0.0327,0.05273,0.0371,0.03613,0.04834,0.03613,0.01465,0.021,0.03613,0.01855,0.06055,0.03613,0.0762,0.02783,0.03467,0.04248,0.06055,0.04736,0.03662,0.01758,0.1084,0.02246,0.06006,0.07227,0.04443,0.0547,0.01514,0.0874,0.03516,0.07666,0.04883,0.07275,0.03857,0.02734,0.04102,0.02637,0.06055,0.0581,0.03613,0.01563,0.04736,0.05615,0.03027,0.04688,0.03418,0.01514,0.06885,0.02393,0.02295,0.04053,0.03955,0.04834,0.03662,0.04102,0.03418,0.0498,0.05615,0.02881,0.0654,0.0879,0.05322,0.04688,0.02637,0.0454,0.04688,0.0635,0.02832,0.0376,0.01172,0.125,0.1665,0.1572,0.06006,0.02393,0.05664,0.01514,0.02979,0.05518,0.05615,0.1084,0.0249,0.06396,0.03906,0.04736,0.03418,0.03662,0.04932,0.084,0.02051,0.03662,0.03174,0.03906,0.03955,0.05127,0.03516,0.02734,0.02881,0.04932,0.04785,0.1196,0.02344,0.05322,0.0371,0.03613,0.0835,0.05273,0.03418,0.08057,0.04346,0.07666,0.05322,0.02588,0.0337,0.0327,0.08105,0.012695,0.02197,0.1743,0.062,0.06494,0.0586,0.0337,0.03174,0.08545,0.03467,0.07715,0.02393,0.04688,0.04785,0.06396,0.0625,0.03662,0.042,0.00928,0.03564,0.02783,0.042,0.02881,0.1201,0.05566,0.04883,0.05664,0.05713,0.02393,0.01465,0.04492,0.05127,0.02734,0.02002,0.05078,0.04492,0.04932,0.04102,0.06055,0.02246,0.03662,0.21,0.04883,0.03027,0.04053,0.02686,0.0327,0.04736,0.05176,0.02783,0.063,0.0542,0.0547,0.05518,0.03613,0.062,0.1079,0.09814,0.01367,0.0503,0.0654,0.06396,0.05225,0.02979,0.03906,0.0293,0.04736,0.03516,0.03955,0.03955,0.02979,0.05713,0.0742,0.02832,0.0825,0.0381,0.0459,0.03955,0.05713,0.05762,0.01465,0.04736,0.04932,0.02637,0.0503,0.06104,0.0332,0.02637,0.01123,0.0464,0.06396,0.03613,0.0664,0.04834,0.05664,0.0752,0.084,0.03662,0.0825,0.05908,0.08545,0.04932,0.06104,0.01855,0.04736,0.01514,0.0332,0.03516,0.1221,0.04932,0.04346,0.03516,0.01953,0.02441,0.02881,0.0581,0.05225,0.01758,0.03418,0.11865,0.0542,0.08496,0.01465,0.05713,0.01611,0.02539,0.0371,0.02148,0.03076,0.02979,0.02393,0.06934,0.03857,0.05908,0.05127,0.05713,0.05176,0.02148,0.1343,0.0293,0.0664,0.06934
animal,0.0796,0.02881,0.0,0.084,0.11475,0.11865,0.0737,0.0381,0.1079,0.1045,0.09424,0.05615,0.0884,0.05762,0.06006,0.0454,0.06836,0.1157,0.02441,0.02637,0.07227,0.0752,0.11816,0.06104,0.03223,0.0742,0.06396,0.02734,0.0835,0.0713,0.0835,0.083,0.11475,0.09424,0.0703,0.1172,0.08936,0.09326,0.103,0.0884,0.05225,0.05664,0.0625,0.03662,0.1299,0.105,0.1411,0.0757,0.08105,0.09814,0.1211,0.0967,0.0957,0.0249,0.127,0.05762,0.0703,0.0957,0.0781,0.11475,0.04004,0.1333,0.0781,0.147,0.0503,0.1274,0.03613,0.0708,0.09033,0.0654,0.1206,0.12256,0.0327,0.03125,0.0967,0.1274,0.03857,0.10596,0.07715,0.04688,0.1094,0.01465,0.04492,0.062,0.0908,0.04932,0.07666,0.0547,0.0864,0.09326,0.1162,0.03662,0.1157,0.08154,0.09766,0.0698,0.0879,0.1113,0.1011,0.09863,0.0664,0.1006,0.0635,0.1396,0.1636,0.1587,0.0757,0.05713,0.103,0.05225,0.0757,0.1138,0.11523,0.1011,0.08057,0.063,0.0884,0.10693,0.05664,0.0864,0.0459,0.11426,0.02002,0.0786,0.05713,0.084,0.0337,0.1006,0.03662,0.0742,0.0762,0.09717,0.1118,0.0874,0.021,0.08105,0.0991,0.0654,0.04053,0.11475,0.06152,0.1475,0.0752,0.125,0.1167,0.06152,0.0625,0.08496,0.1216,0.0332,0.0786,0.1641,0.1318,0.08057,0.11523,0.05273,0.08545,0.12256,0.0791,0.1357,0.0752,0.1011,0.09326,0.12256,0.1245,0.0654,0.0962,0.03516,0.02881,0.0703,0.04736,0.06494,0.1611,0.08887,0.11426,0.1279,0.1289,0.0713,0.062,0.1084,0.1216,0.05615,0.06445,0.09863,0.0952,0.1074,0.07275,0.07227,0.05615,0.0947,0.1616,0.0962,0.05127,0.0679,0.0713,0.08057,0.09717,0.0737,0.063,0.10596,0.11426,0.0757,0.1123,0.0586,0.0947,0.1396,0.07227,0.05225,0.083,0.06396,0.09375,0.10254,0.04248,0.09863,0.02051,0.03906,0.07324,0.0586,0.06445,0.08203,0.05078,0.06494,0.0664,0.10693,0.05615,0.0669,0.0962,0.1089,0.0796,0.05078,0.03564,0.11475,0.06396,0.08984,0.10254,0.09326,0.06152,0.03174,0.0537,0.1421,0.08154,0.1177,0.0923,0.0762,0.1436,0.08545,0.04834,0.146,0.03955,0.0879,0.0503,0.1274,0.0376,0.1094,0.0459,0.0337,0.0879,0.1748,0.0947,0.0947,0.0879,0.062,0.0742,0.0791,0.10156,0.05762,0.05176,0.0674,0.1309,0.0845,0.127,0.04053,0.08594,0.02148,0.0542,0.0864,0.05273,0.07227,0.04346,0.04492,0.1377,0.04736,0.1157,0.0737,0.0874,0.0674,0.0791,0.125,0.0654,0.08203,0.1372
ankle,0.0742,0.03955,0.084,0.0,0.04492,0.03467,0.05225,0.0586,0.03955,0.03467,0.0337,0.1587,0.03564,0.0586,0.1089,0.07227,0.05322,0.09375,0.0625,0.0835,0.1504,0.0332,0.03418,0.03662,0.0371,0.07666,0.0371,0.05615,0.05908,0.06934,0.04785,0.012695,0.0337,0.0371,0.05566,0.04248,0.03418,0.02881,0.05176,0.03027,0.03418,0.042,0.06836,0.02441,0.0454,0.04443,0.06006,0.04248,0.03076,0.02588,0.05762,0.04736,0.01855,0.04492,0.1562,0.02783,0.127,0.05127,0.0825,0.04688,0.04395,0.11475,0.0454,0.0586,0.08154,0.08105,0.05664,0.0376,0.03564,0.04395,0.05615,0.0542,0.0708,0.04688,0.06055,0.03516,0.0713,0.03125,0.0542,0.02979,0.0923,0.0635,0.0376,0.0542,0.0415,0.0586,0.0415,0.07227,0.0415,0.02344,0.03027,0.06152,0.03857,0.103,0.01758,0.08984,0.02686,0.0332,0.0464,0.0952,0.006836,0.02979,0.03662,0.1758,0.2129,0.2104,0.11523,0.04248,0.03125,0.012695,0.0293,0.05762,0.04688,0.1494,0.02393,0.0703,0.0464,0.04688,0.0376,0.01758,0.0669,0.124,0.06055,0.063,0.0659,0.06055,0.0635,0.04736,0.05322,0.04395,0.04004,0.0454,0.03613,0.1763,0.05615,0.02393,0.02979,0.05713,0.1426,0.04102,0.02051,0.06445,0.0718,0.04053,0.03467,0.05225,0.0581,0.03857,0.0791,0.0337,0.02051,0.2305,0.04688,0.1177,0.04736,0.05957,0.02295,0.05566,0.0415,0.04346,0.02051,0.01514,0.02246,0.04004,0.0415,0.05225,0.06006,0.0371,0.0581,0.0459,0.05127,0.06055,0.1494,0.08594,0.04688,0.03857,0.03955,0.03027,0.02295,0.02344,0.03516,0.05225,0.01807,0.0664,0.05322,0.05078,0.06934,0.1206,0.04688,0.01758,0.2773,0.02002,0.06055,0.084,0.03467,0.04053,0.03174,0.06445,0.0332,0.10254,0.04395,0.08887,0.02832,0.0542,0.09717,0.1362,0.1509,0.03125,0.05225,0.1377,0.09814,0.06934,0.03857,0.03906,0.0679,0.0659,0.02539,0.03223,0.03418,0.03174,0.09863,0.1216,0.04395,0.10986,0.08057,0.08154,0.01416,0.03174,0.09424,0.02686,0.0796,0.03076,0.009766,0.0586,0.0884,0.02637,0.04883,0.03955,0.08887,0.06396,0.05078,0.0796,0.0781,0.08887,0.04688,0.1274,0.06055,0.0713,0.08594,0.1255,0.10205,0.04492,0.042,0.03467,0.0503,0.04834,0.02979,0.1362,0.01172,0.01807,0.01807,0.02686,0.01855,0.0376,0.0737,0.0952,0.02393,0.06836,0.1626,0.0708,0.0869,0.01855,0.0952,0.05908,0.0664,0.04102,0.01807,0.03027,0.0635,0.05322,0.05273,0.0801,0.02441,0.0913,0.09375,0.0757,0.0371,0.187,0.0459,0.1094,0.04297
ant,0.06934,0.04736,0.11475,0.04492,0.0,0.04688,0.0718,0.10645,0.05127,0.0464,0.04395,0.1929,0.0547,0.0796,0.1343,0.09766,0.06934,0.09766,0.0796,0.1221,0.1807,0.0327,0.04395,0.05664,0.0762,0.0923,0.03125,0.0918,0.0742,0.0845,0.06006,0.0381,0.04834,0.0498,0.0781,0.04883,0.0454,0.04102,0.05078,0.05176,0.0332,0.0498,0.07764,0.05762,0.0464,0.02832,0.0464,0.05322,0.05225,0.04443,0.0698,0.05518,0.0337,0.06104,0.1699,0.0537,0.1416,0.0928,0.10156,0.05957,0.05273,0.124,0.05713,0.04834,0.11084,0.06104,0.0908,0.05127,0.063,0.05664,0.0547,0.063,0.11035,0.05908,0.0669,0.04004,0.0991,0.0459,0.0503,0.05615,0.10645,0.084,0.0698,0.0757,0.04932,0.10986,0.0674,0.0967,0.03613,0.04248,0.04297,0.083,0.0415,0.1387,0.05078,0.103,0.02539,0.04395,0.04932,0.10547,0.04395,0.0327,0.03516,0.1929,0.2246,0.2139,0.1284,0.0542,0.0537,0.04248,0.05273,0.05664,0.05176,0.1709,0.03516,0.1094,0.063,0.0542,0.0742,0.042,0.103,0.1162,0.0864,0.06055,0.08105,0.06152,0.10547,0.0679,0.09766,0.06055,0.04688,0.06885,0.0327,0.2104,0.0718,0.06152,0.03516,0.07715,0.1626,0.04102,0.05078,0.06152,0.06934,0.0659,0.04297,0.05908,0.08057,0.05273,0.1084,0.0674,0.02637,0.229,0.03662,0.10986,0.0625,0.08057,0.03223,0.0864,0.04932,0.0537,0.0376,0.04004,0.03564,0.04053,0.0542,0.07715,0.0581,0.0464,0.10693,0.05762,0.09424,0.06885,0.1494,0.09375,0.0454,0.03955,0.0415,0.03418,0.0337,0.0293,0.0376,0.06494,0.0376,0.07715,0.0581,0.05908,0.0698,0.146,0.06152,0.03613,0.2988,0.0415,0.0879,0.10693,0.0537,0.0498,0.0537,0.07666,0.06445,0.1157,0.05225,0.08496,0.03027,0.08057,0.0947,0.146,0.1772,0.0332,0.0698,0.1582,0.11816,0.0747,0.08154,0.04932,0.08887,0.1118,0.063,0.0786,0.062,0.04346,0.1245,0.1401,0.05908,0.10596,0.11035,0.1123,0.03418,0.062,0.0869,0.03857,0.11865,0.0371,0.05225,0.08887,0.0918,0.0332,0.05273,0.04688,0.1128,0.04932,0.05615,0.0708,0.0796,0.11475,0.05713,0.1348,0.08984,0.0625,0.1333,0.1494,0.1313,0.05713,0.0669,0.04102,0.0547,0.09717,0.04688,0.147,0.042,0.04004,0.02979,0.04443,0.0381,0.0547,0.0884,0.1084,0.0459,0.0884,0.1636,0.0947,0.09766,0.04346,0.0845,0.08057,0.0762,0.0547,0.0586,0.04834,0.0952,0.07275,0.05176,0.1045,0.04443,0.08545,0.0835,0.09375,0.02295,0.2031,0.062,0.124,0.04492
apple,0.0845,0.05713,0.11865,0.03467,0.04688,0.0,0.05273,0.1084,0.01123,0.012695,0.01904,0.1919,0.0381,0.0762,0.1348,0.0957,0.05225,0.0752,0.08545,0.1221,0.1792,0.03076,0.03174,0.05176,0.0762,0.0928,0.03662,0.0923,0.0679,0.0781,0.05273,0.02588,0.02051,0.0249,0.0674,0.02051,0.0454,0.03125,0.03467,0.02979,0.04883,0.04932,0.0801,0.05908,0.02002,0.0371,0.03662,0.0293,0.03955,0.03125,0.03125,0.04443,0.01807,0.06836,0.1465,0.04834,0.1436,0.0845,0.0864,0.03613,0.05078,0.0991,0.04395,0.0332,0.1167,0.08203,0.10156,0.0454,0.04395,0.0664,0.0337,0.03613,0.11035,0.06006,0.05713,0.01953,0.1006,0.02002,0.05518,0.05713,0.0879,0.08594,0.06104,0.08154,0.0586,0.1089,0.05078,0.0967,0.02979,0.04688,0.00586,0.0864,0.04736,0.1396,0.0454,0.1011,0.01953,0.02393,0.03174,0.0825,0.04736,0.02783,0.03613,0.1934,0.2305,0.209,0.1362,0.05322,0.04102,0.0371,0.0381,0.0371,0.01904,0.169,0.02441,0.1128,0.03174,0.04492,0.0762,0.01904,0.105,0.1279,0.0874,0.06006,0.08545,0.0586,0.11035,0.0454,0.10693,0.03662,0.03516,0.04443,0.0293,0.1943,0.0864,0.05762,0.0293,0.0801,0.1719,0.0332,0.0654,0.0503,0.0908,0.05664,0.01123,0.05908,0.0801,0.02441,0.084,0.0659,0.02588,0.2334,0.02441,0.127,0.0654,0.0801,0.02051,0.08154,0.0332,0.021,0.0327,0.0337,0.03418,0.01514,0.00537,0.07227,0.06396,0.04688,0.11084,0.0415,0.10596,0.0786,0.1338,0.0747,0.01709,0.02637,0.02588,0.0371,0.03857,0.01563,0.01172,0.0586,0.03516,0.05225,0.04688,0.0332,0.0718,0.1328,0.05078,0.01465,0.2944,0.01611,0.0786,0.1006,0.03027,0.0327,0.00879,0.0752,0.0547,0.10693,0.03906,0.10156,0.01953,0.07715,0.0996,0.1445,0.1763,0.0376,0.0752,0.1548,0.09863,0.0547,0.08545,0.03467,0.0845,0.1172,0.06006,0.08496,0.0713,0.03467,0.1323,0.148,0.05273,0.11816,0.09814,0.09717,0.01807,0.04834,0.1113,0.03662,0.1279,0.01416,0.04834,0.0786,0.07715,0.02295,0.06006,0.05322,0.11865,0.04492,0.062,0.0752,0.0952,0.0967,0.010254,0.1504,0.09375,0.06445,0.1367,0.148,0.1211,0.02295,0.05664,0.02637,0.0586,0.10254,0.0337,0.1289,0.0337,0.02686,0.02588,0.0415,0.0327,0.02783,0.0708,0.1113,0.04932,0.0718,0.1621,0.0825,0.08887,0.04443,0.10156,0.0801,0.0762,0.04736,0.0586,0.0454,0.0864,0.0679,0.0166,0.1084,0.02344,0.103,0.1045,0.1011,0.04395,0.1978,0.05273,0.1309,0.03125
applesauce,0.0718,0.03516,0.0737,0.05225,0.0718,0.05273,0.0,0.05566,0.05078,0.04785,0.02832,0.1436,0.04883,0.04248,0.1084,0.04785,0.02832,0.04297,0.06836,0.07324,0.1421,0.03418,0.0796,0.05176,0.0381,0.0801,0.05176,0.0542,0.0498,0.05322,0.0464,0.05518,0.0625,0.03174,0.04346,0.04443,0.062,0.04492,0.03564,0.0381,0.042,0.05225,0.06934,0.04346,0.04883,0.0713,0.0781,0.02393,0.0415,0.0635,0.04883,0.0703,0.04102,0.05957,0.06494,0.04932,0.0825,0.07275,0.03418,0.04346,0.0381,0.04883,0.02783,0.0864,0.0879,0.1011,0.07715,0.0332,0.03906,0.0459,0.04346,0.0454,0.0747,0.05518,0.03223,0.0718,0.05908,0.0464,0.0742,0.02881,0.04004,0.06494,0.04492,0.0752,0.0586,0.07715,0.021,0.0635,0.06055,0.0654,0.0459,0.0669,0.08154,0.11475,0.05615,0.0781,0.0459,0.0669,0.06494,0.03027,0.04688,0.0454,0.0376,0.1416,0.1997,0.1782,0.104,0.02197,0.0747,0.03223,0.01855,0.07324,0.05566,0.1416,0.02588,0.0913,0.02295,0.0542,0.03613,0.05615,0.0791,0.11084,0.05615,0.0801,0.05176,0.03418,0.0752,0.0371,0.0698,0.01367,0.0166,0.02832,0.0674,0.1406,0.062,0.06006,0.04883,0.0669,0.1333,0.06934,0.062,0.09375,0.0845,0.08203,0.05615,0.02832,0.0327,0.01855,0.06396,0.02881,0.02979,0.2085,0.0708,0.1089,0.0835,0.06494,0.04492,0.08496,0.02588,0.0879,0.03857,0.063,0.06006,0.0664,0.05273,0.05762,0.06006,0.04053,0.06445,0.01904,0.0796,0.04395,0.09033,0.03516,0.05176,0.07275,0.0698,0.06006,0.02588,0.05127,0.04443,0.06006,0.0454,0.03467,0.06885,0.0332,0.084,0.0698,0.01514,0.04248,0.2607,0.0454,0.03418,0.05518,0.01514,0.01465,0.04492,0.0845,0.04785,0.0669,0.0708,0.0967,0.0708,0.05957,0.0874,0.1328,0.146,0.04736,0.04297,0.08154,0.0371,0.02002,0.0586,0.05078,0.0664,0.0781,0.05225,0.0674,0.05908,0.04004,0.0928,0.1128,0.03418,0.1201,0.05176,0.0659,0.05762,0.07275,0.0952,0.03906,0.083,0.05273,0.042,0.04834,0.02539,0.03564,0.04395,0.04688,0.08154,0.0908,0.05127,0.0825,0.0708,0.05908,0.0791,0.1221,0.0703,0.1011,0.0908,0.11523,0.0586,0.05127,0.0459,0.0679,0.0547,0.0659,0.04688,0.0947,0.0586,0.04883,0.04785,0.02734,0.0454,0.0381,0.0781,0.0923,0.03662,0.02539,0.1509,0.0747,0.1079,0.03516,0.05518,0.03857,0.0459,0.0625,0.04297,0.0586,0.04004,0.02588,0.05615,0.06836,0.0737,0.0742,0.08984,0.09033,0.05762,0.1616,0.01318,0.1118,0.0952
arm,0.07666,0.0381,0.0381,0.0586,0.10645,0.1084,0.05566,0.0,0.1045,0.09863,0.0845,0.08496,0.0825,0.0454,0.06885,0.03857,0.0635,0.11084,0.0503,0.03027,0.08594,0.0737,0.0996,0.05518,0.01904,0.07764,0.0786,0.02783,0.0742,0.0708,0.0713,0.0718,0.10205,0.0845,0.0625,0.1084,0.0796,0.08057,0.1006,0.0781,0.05322,0.0801,0.063,0.02881,0.11865,0.1089,0.1406,0.07666,0.0635,0.084,0.11914,0.0918,0.07227,0.04395,0.1304,0.0498,0.07764,0.0659,0.0708,0.10205,0.0635,0.1309,0.0718,0.1387,0.05322,0.12305,0.03662,0.06006,0.0742,0.05078,0.1206,0.1128,0.0327,0.05664,0.09033,0.1074,0.04297,0.09375,0.1035,0.04053,0.104,0.05664,0.05127,0.05762,0.0747,0.03955,0.063,0.04834,0.0991,0.0718,0.104,0.0454,0.1011,0.0796,0.05957,0.0757,0.08105,0.09814,0.103,0.0991,0.04248,0.0835,0.0718,0.1401,0.1748,0.1812,0.105,0.0498,0.084,0.03906,0.0581,0.1196,0.1123,0.1211,0.0659,0.0537,0.084,0.0923,0.02002,0.0781,0.042,0.1206,0.0332,0.10547,0.0542,0.084,0.0293,0.0928,0.021,0.0659,0.06885,0.08203,0.10547,0.10156,0.04688,0.05225,0.08105,0.063,0.1138,0.1035,0.03662,0.1333,0.0908,0.09375,0.10986,0.06396,0.04883,0.0757,0.1113,0.0249,0.06494,0.2134,0.12354,0.1157,0.1011,0.05664,0.07324,0.09424,0.08105,0.1177,0.063,0.0757,0.0762,0.1172,0.11475,0.05566,0.0884,0.0537,0.01855,0.0669,0.03174,0.05078,0.1616,0.10156,0.105,0.10645,0.10596,0.08545,0.04346,0.0918,0.10693,0.083,0.0537,0.0962,0.1001,0.09717,0.11084,0.0786,0.0542,0.07324,0.2153,0.08496,0.04443,0.0664,0.06152,0.07227,0.0918,0.105,0.05762,0.1001,0.10645,0.08594,0.103,0.05225,0.10205,0.1387,0.0918,0.0674,0.0708,0.0762,0.08984,0.09326,0.0327,0.0874,0.06104,0.02246,0.0625,0.03418,0.03857,0.07275,0.05322,0.08203,0.0537,0.1074,0.0581,0.0703,0.08057,0.1001,0.08887,0.06055,0.04492,0.1035,0.04053,0.0786,0.09717,0.07764,0.05957,0.05908,0.05957,0.1367,0.07227,0.1255,0.07666,0.06885,0.1299,0.09717,0.05566,0.1338,0.03076,0.1001,0.04883,0.11865,0.05908,0.09766,0.07275,0.01563,0.0796,0.1646,0.0669,0.0713,0.0679,0.042,0.06396,0.08057,0.1089,0.063,0.0459,0.06055,0.1465,0.0918,0.1294,0.03613,0.0928,0.0337,0.06836,0.0757,0.02979,0.06396,0.0337,0.04297,0.1294,0.05273,0.09326,0.08154,0.0884,0.06836,0.08496,0.1504,0.05664,0.1084,0.124
