category,clip_pearson_r,dinov3_pearson_r
alligator,0.664518,0.386904
ankle,0.752946,0.651942
apple,0.635313,0.632013
applesauce,0.482661,0.145415
arm,0.574242,0.421838
ball,0.671688,0.673024
balloon,0.548982,0.555999
banana,0.694262,0.741309
basket,0.726955,0.691253
bathtub,0.648099,0.529320
bear,0.170181,-0.009520
bed,0.578186,0.389935
belt,0.686612,0.565657
bench,0.631459,0.538139
bib,0.390852,0.272865
bird,0.682637,0.279806
blanket,0.653528,0.334789
boat,0.545500,0.515046
book,0.465700,0.478202
bottle,0.696287,0.491807
bowl,0.688704,0.546175
box,0.688890,0.659200
bread,0.517548,0.288088
broom,0.595988,0.494666
bucket,0.756999,0.714204
butterfly,0.742025,0.484297
can,0.521958,0.295550
car,0.359325,0.125055
carrot,0.401780,0.284456
cat,0.794119,0.553679
chair,0.663772,0.534472
chips,0.705077,0.541945
clock,0.726948,0.605456
closet,0.571683,0.462064
cloud,0.782093,0.560631
coat,0.571960,0.322771
coffee,0.596657,0.355502
comb,0.774450,0.688345
cookie,0.495865,0.261347
corn,0.780704,0.718986
couch,0.589564,0.555919
cracker,0.800629,0.746551
crayon,0.521104,0.439114
crib,0.811763,0.754934
cup,0.685837,0.521870
deer,0.683551,0.575111
dish,0.542728,0.173793
dog,0.711260,0.334182
doll,0.706827,0.643661
door,0.569918,0.319858
drawer,0.536706,0.502000
dress,0.532612,0.224558
duck,0.678666,0.463930
ear,0.703560,0.708842
egg,0.494230,0.468654
elephant,0.760085,0.730567
eye,0.673602,0.515855
face,0.328481,0.250796
finger,0.688553,0.586816
firetruck,0.743970,0.718735
fish,0.690865,0.500576
flower,0.648973,0.171452
foot,0.820527,0.776008
fork,0.765432,0.798201
frog,0.665881,0.507618
game,0.502916,0.582794
giraffe,0.771284,0.686644
glass,0.643489,0.559449
glasses,0.451218,0.460680
glove,0.726166,0.557740
grass,0.555679,0.205996
gum,0.625563,0.397736
hair,0.529658,0.193636
hamburger,0.512039,0.511685
hand,0.723025,0.483759
hat,0.624102,0.551325
helicopter,0.845826,0.807589
horse,0.722381,0.615974
hose,0.777353,0.652123
jacket,0.518733,0.332653
jar,0.664742,0.641464
jeans,0.551619,0.422498
knife,0.602542,0.475134
ladder,0.704140,0.498012
lamp,0.608359,0.384908
leg,0.558792,0.501051
meat,0.578426,0.497416
melon,0.768025,0.477110
milk,0.630253,0.214730
mitten,0.573124,0.279012
mop,0.549707,0.429624
motorcycle,0.656339,0.417864
mouth,0.742565,0.600691
muffin,0.513976,0.261277
nail,0.128861,0.040411
napkin,0.697649,0.516382
necklace,0.675945,0.455728
nose,0.742672,0.716283
orange,0.471747,0.580108
oven,0.766414,0.700853
owl,0.646160,0.390140
pajamas,0.536101,0.253684
pants,0.486612,0.372732
paper,0.738586,0.720825
pasta,0.638646,0.373601
pastry,0.712302,0.450820
pen,0.624665,0.490432
pencil,0.511296,0.434349
penguin,0.680729,0.751700
pickle,0.456995,0.213451
pig,0.688214,0.531996
pillow,0.736511,0.628064
pizza,0.810329,0.757540
plant,0.544163,0.144208
plate,0.679134,0.625211
pony,0.694392,0.518596
potato,0.501764,0.627681
pumpkin,0.651072,0.684259
purse,0.745381,0.561190
radio,0.692119,0.455182
raisin,0.290777,0.152292
refrigerator,0.734409,0.622942
rock,0.551873,0.447618
rooster,0.753194,0.677414
sandwich,0.649657,0.423079
sauce,0.316175,0.068416
scarf,0.628763,0.534697
scissors,0.764801,0.865083
shirt,0.407044,0.113446
shoe,0.718475,0.671544
shorts,0.648600,0.458352
shovel,0.729788,0.641035
shower,0.811396,0.780413
sink,0.674590,0.661350
slide,0.738860,0.816857
slipper,0.648070,0.551646
snow,0.549651,0.445938
soap,0.563735,0.574259
sock,0.670270,0.666169
soup,0.595411,0.336882
spoon,0.777873,0.727379
sprinkler,0.412103,0.189585
stick,0.701092,0.511304
strawberry,0.634600,0.752865
stroller,0.765739,0.743058
sweater,0.587747,0.405245
swing,0.592105,0.652257
table,0.438812,0.343243
tape,0.721218,0.699144
toast,0.463078,0.284604
toe,0.681887,0.657491
tooth,0.659230,0.739404
toothbrush,0.745270,0.686238
towel,0.608512,0.423968
toy,0.693582,0.632626
tray,0.547188,0.427342
tree,0.667620,0.353605
tricycle,0.824399,0.754830
truck,0.692376,0.529182
vacuum,0.716114,0.699495
watch,0.614596,0.503205
window,0.609534,0.510702
zebra,0.797636,0.631674
