category,clip_pearson_r,dinov3_pearson_r
alligator,0.603037,0.316271
ankle,0.734296,0.637054
apple,0.577703,0.587979
applesauce,0.497718,0.180488
arm,0.529146,0.406835
ball,0.633742,0.651998
balloon,0.499712,0.530910
banana,0.648342,0.702666
basket,0.711376,0.668178
bathtub,0.594732,0.480555
bear,0.493835,0.301058
bed,0.540198,0.351318
belt,0.608891,0.518836
bench,0.606293,0.498514
bib,0.359180,0.245059
bird,0.665632,0.237494
blanket,0.624649,0.311645
boat,0.564156,0.495167
book,0.435599,0.453749
bottle,0.652855,0.462919
bowl,0.653552,0.519291
box,0.652563,0.635501
bread,0.469277,0.234954
broom,0.518877,0.454472
bucket,0.735355,0.681843
butterfly,0.732786,0.489341
can,0.500951,0.294985
car,0.338992,0.129976
carrot,0.368806,0.272989
cat,0.794102,0.504809
chair,0.627688,0.512193
chips,0.654465,0.510334
clock,0.687027,0.576182
closet,0.551849,0.440893
cloud,0.771267,0.542324
coat,0.555065,0.314938
coffee,0.558936,0.332672
comb,0.739681,0.665979
cookie,0.470932,0.242653
corn,0.700529,0.639013
couch,0.559398,0.537629
cracker,0.795668,0.725067
crayon,0.441767,0.381902
crib,0.769040,0.714137
cup,0.633305,0.485373
deer,0.674021,0.557633
dish,0.546373,0.185929
dog,0.692534,0.314289
doll,0.680712,0.613616
door,0.549140,0.302675
drawer,0.520601,0.498699
dress,0.509595,0.212028
duck,0.670184,0.459097
ear,0.652608,0.691323
egg,0.438132,0.437701
elephant,0.744536,0.730479
eye,0.656806,0.526525
face,0.339858,0.268688
finger,0.669326,0.573919
firetruck,0.721084,0.685514
fish,0.602851,0.397210
flower,0.599202,0.141873
foot,0.777424,0.762872
fork,0.709398,0.788528
frog,0.599123,0.436340
game,0.494628,0.578045
giraffe,0.753651,0.672833
glass,0.640059,0.525268
glasses,0.402774,0.434534
glove,0.688483,0.519265
grass,0.512347,0.169570
gum,0.591098,0.363858
hair,0.484739,0.183491
hamburger,0.482738,0.456556
hand,0.672808,0.460544
hat,0.535310,0.469956
helicopter,0.840897,0.803525
horse,0.697916,0.557305
hose,0.758844,0.635658
jacket,0.467773,0.283085
jar,0.638984,0.626804
jeans,0.503938,0.389255
knife,0.496808,0.420683
ladder,0.665339,0.470728
lamp,0.574320,0.371767
leg,0.520541,0.483014
meat,0.519000,0.481484
melon,0.743114,0.474776
milk,0.587575,0.220726
mitten,0.535641,0.260873
mop,0.466057,0.439881
motorcycle,0.598081,0.385349
mouth,0.737456,0.599486
muffin,0.511607,0.259086
nail,0.118211,0.043176
napkin,0.686658,0.513582
necklace,0.647472,0.453059
nose,0.724421,0.698515
orange,0.436814,0.566913
oven,0.739809,0.692389
owl,0.563373,0.286475
pajamas,0.505583,0.237322
pants,0.455884,0.349555
paper,0.695241,0.703246
pasta,0.638782,0.375140
pastry,0.715423,0.442242
pen,0.546844,0.418809
pencil,0.447303,0.375476
penguin,0.654001,0.744850
pickle,0.409514,0.183918
pig,0.675564,0.535886
pillow,0.702243,0.616902
pizza,0.775395,0.718461
plant,0.549044,0.156154
plate,0.610178,0.562373
pony,0.680624,0.476705
potato,0.445743,0.605808
pumpkin,0.569083,0.622894
purse,0.730355,0.542168
radio,0.655232,0.420026
raisin,0.267213,0.144460
refrigerator,0.700601,0.606295
rock,0.547326,0.429614
rooster,0.723766,0.650495
sandwich,0.609291,0.387328
sauce,0.331644,0.062669
scarf,0.596462,0.520404
scissors,0.755391,0.855634
shirt,0.378396,0.101186
shoe,0.707811,0.650644
shorts,0.628827,0.453304
shovel,0.734817,0.628666
shower,0.769416,0.742321
sink,0.646733,0.630766
slide,0.704689,0.793565
slipper,0.600856,0.511110
snow,0.468988,0.391610
soap,0.534583,0.563323
sock,0.645011,0.650624
soup,0.562151,0.302919
spoon,0.740820,0.696477
sprinkler,0.430948,0.209373
stick,0.687595,0.492843
strawberry,0.584550,0.725755
stroller,0.738891,0.735460
sweater,0.519373,0.345931
swing,0.565845,0.638367
table,0.387955,0.302407
tape,0.688084,0.678679
toast,0.435276,0.268757
toe,0.620633,0.634463
tooth,0.610525,0.741004
toothbrush,0.694370,0.638709
towel,0.587116,0.409227
toy,0.696278,0.628470
tray,0.530674,0.408711
tree,0.634341,0.350977
tricycle,0.792425,0.731472
truck,0.678081,0.507543
vacuum,0.676984,0.666563
watch,0.568830,0.476160
window,0.575286,0.492971
zebra,0.795825,0.630874
