,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pasta,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
couch,1.199992,1.2427464,1.3411256,0.5114644,1.354938,1.3242433,1.3514373,1.1366373,0.44856334,0.40981358,1.3484988,0.48961198,0.73254544,0.71814954,0.37939644,0.73043895,1.1942375,1.4278736,1.3085487,0.8886846,1.408169,1.2513242,1.19239,1.3211035,1.2969894,0.97956854,0.7587284,0.83828044,1.4196666,0.779686,0.60449314,1.2354871,1.3853333,1.2687618,0.0,1.2413079,1.4711426,0.4499361,1.4205029,0.80288756,0.7847333,1.1178811,0.5578526,1.0612692,0.84335124,0.9663117,1.4148188,0.87320966,1.132893,0.7006017,1.180115,0.9065038,1.3816555,1.3651594,1.1117448,1.4818945,1.3656878,0.70374435,1.1984807,1.1358414,0.8783241,1.1505222,0.6688198,0.8067456,1.2746817,0.8686056,0.59867823,0.52603173,1.3087373,0.43314916,1.4154894,1.185495,1.2946461,1.1252948,1.0160974,0.6490782,0.7864275,1.3742912,1.3243973,1.3093691,1.2544737,0.8874417,1.310816,0.63590395,1.1560181,0.3969903,0.44145787,0.932388,1.0313854,1.3246617,1.4115398,1.3402478,1.2444634,1.1704968,1.397624,1.1546818,1.1789924,1.1648332,1.2366164,0.8711775,1.227547,0.5400149,0.94951546,0.9076303,0.58422405,0.77538,0.57449645,1.1030066,0.8124186,1.2281975,1.0666467,0.65700394,1.3560368,1.2906231,1.0458875,1.2198373,1.5330255,1.3717582,0.8696501,0.47918046,0.38475412,1.3636749,1.295022,1.2620671,1.0415906,1.1729789,0.96657413,1.0475047,0.8651481,0.71198404,1.1751654,0.88380146,1.3972862,0.6065979,0.8265039
cracker,0.6963209,1.1618725,0.9696309,1.1941669,0.85721815,0.8597105,0.83377993,0.99099857,1.2670436,1.3115819,1.0944072,1.2544675,1.1939055,0.99023783,1.2512765,1.1733726,0.9514327,0.9856362,1.0115023,0.963938,0.40322948,1.0635535,0.851513,1.06838,1.0459932,1.0478276,1.057339,1.1573554,0.94464344,1.1308695,1.1103535,1.1023408,0.13885134,0.81277907,1.2413079,0.0,1.0386385,1.2143035,1.0273756,0.95424354,1.0368432,0.77938795,1.2239282,0.89162743,1.0931782,1.0794054,0.9913647,1.2559175,0.9375629,1.0941792,0.9553133,1.1340002,0.93975776,0.88551563,1.0320739,0.7632827,0.50661373,0.99169016,1.0036812,1.1219275,1.1761055,0.78674686,1.1942316,1.027798,1.0575718,1.2284226,1.0941746,1.247172,0.76192486,1.3243802,0.9125214,0.96087325,0.9964264,1.0068423,1.0572466,1.0940849,1.124968,0.53454554,1.0279522,0.85035753,1.0032742,0.97214246,0.9418413,1.1938843,0.84471416,1.2121134,1.3140501,1.1252552,0.5605985,0.44021773,1.0792841,1.1182928,0.96816725,1.1064276,0.8181421,0.8484567,0.5228871,0.9266753,0.91707176,0.9695886,1.0359893,1.156317,1.0717891,1.0496383,1.165843,1.1644334,1.2187862,1.0552119,1.0106837,0.8847753,1.1860473,1.1993908,1.1022513,1.017926,1.1753217,0.56400764,0.8572662,0.8957419,1.1067736,1.2543429,1.0233312,0.8349288,0.9656904,1.0330703,1.0416185,0.9449932,0.9918031,0.8507239,1.0763439,1.1975254,1.0285907,1.0115232,1.0684413,1.2011487,1.273776
crayon,0.86513984,0.5582525,0.41039872,1.439522,0.58064175,0.67099303,0.59399873,0.9787948,1.461796,1.469842,0.35030073,1.3707881,1.2868397,1.3879431,1.535131,1.2257752,0.80523086,0.4137932,0.74544007,1.0735426,0.66496754,0.85519236,1.0799961,0.46448344,0.7960326,0.7620995,1.3771175,1.0914019,0.7468041,1.2958391,1.3913962,0.7603502,0.8589371,0.68394816,1.4711426,1.0386385,0.0,1.4160047,0.48434103,1.3749733,1.355808,0.9317212,1.362248,1.1178634,1.2350128,1.1410952,0.44907874,1.1681035,1.0155413,1.3346918,0.5842754,1.2606621,0.56558454,0.75919354,0.93633944,0.6490605,0.82745755,1.3808997,0.68898606,0.82855105,1.1357265,0.61735344,1.2918359,1.1955273,0.7428601,1.1076561,1.2285259,1.4107926,0.89925116,1.4314063,0.66689193,0.88642323,0.8096617,0.7818657,0.9175366,1.3501618,1.2476413,0.7778606,0.34304786,0.90214384,0.7078402,1.1861566,0.469427,1.346982,1.1047225,1.5038493,1.39525,1.0720397,1.1915445,0.8347634,0.15069818,0.2130202,0.63551325,0.5510624,0.42466772,1.0520732,1.0953003,0.83913976,0.5542833,1.2795415,0.79486215,1.4549602,1.1433592,1.0924958,1.4042584,1.171257,1.4163883,1.109883,1.1812726,0.76068527,0.83451945,1.2641218,0.40980983,0.31356716,0.94866097,0.9181456,0.51261705,0.8852058,1.2620137,1.5103433,1.5583228,0.60631746,0.4400347,0.31269395,0.75760174,1.0118144,0.8668173,1.2318659,1.2420763,1.274617,1.0536166,1.1036693,0.29916316,1.3065655,1.2044398
crib,1.1798241,1.3320374,1.4578803,0.64416045,1.3915647,1.3256708,1.2925287,0.7105832,0.39059114,0.3287623,1.3985472,0.34104717,0.8692322,0.8467643,0.59464157,0.67639685,0.8528403,1.3778702,1.0912135,0.5229607,1.4008517,0.94186836,1.0468621,1.224597,1.2055378,1.1191095,0.7917488,0.6375248,1.292579,0.6758427,0.61972463,1.0981014,1.3257645,1.2998866,0.4499361,1.2143035,1.4160047,0.0,1.3343952,0.74936074,0.81956744,1.1628078,0.5686626,0.85167193,1.0345043,1.0157049,1.4487069,0.92568594,1.167881,0.87973213,1.3835254,0.8765937,1.3489573,1.2851472,1.104179,1.288199,1.2237988,0.8035507,1.3615751,1.2827042,0.8472446,1.2054738,0.949409,0.98228323,1.3810718,0.9862679,0.5487601,0.79099375,1.1490903,0.70456386,1.1962994,0.9873891,1.1124219,1.1364927,0.9357788,0.81435496,0.63474923,1.3832903,1.4849092,1.1813723,1.3774529,1.019934,1.4038689,0.5360494,1.029148,0.6857094,0.72087467,0.7076374,0.9323734,1.2774509,1.429599,1.3328745,1.2137297,1.2662222,1.3954687,1.0922873,1.0014718,1.3069389,1.4046073,0.8017429,1.1460834,0.4774077,1.0110191,1.045102,0.7639883,0.6553491,0.8206668,1.0546583,0.9879341,1.1429335,0.8611472,0.60430175,1.3962581,1.3914263,1.0706145,1.1460502,1.3480208,1.1944554,0.7367736,0.6807379,0.41594386,1.2976253,1.5142915,1.3630414,0.81429726,1.0415677,0.6399274,0.78015363,0.935875,0.74755996,1.0471655,0.80609655,1.4976696,0.67587703,0.90765226
cup,0.92793524,0.62675613,0.5045931,1.4619313,0.58768743,0.67652065,0.5988991,0.6965603,1.37081,1.3920362,0.431651,1.3135386,1.3696564,1.3399493,1.5297314,1.2845476,0.7820611,0.11532056,0.28924334,0.9448916,0.6630493,0.4041618,1.0449141,0.25008297,0.5528781,1.2208744,1.2925327,0.82636416,0.4829402,1.2374613,1.0406786,0.9680054,0.8692015,0.98219395,1.4205029,1.0273756,0.48434103,1.3343952,0.0,1.1263804,1.2571495,0.77714247,1.2944212,1.0376668,1.3134297,1.2288116,0.34356236,1.2604508,1.106722,1.2876055,1.0507809,1.1880214,0.73711973,0.5054257,0.84932077,0.5887941,0.87412417,1.3145009,0.88928246,0.87252516,1.1412088,1.0512936,1.4254451,1.4307563,0.6715368,1.1949253,1.367969,1.4419804,0.6501657,1.567588,0.693794,0.69010955,0.7327044,0.79256356,1.054555,1.4555249,1.2130101,0.7283703,0.631376,0.5853348,0.95523256,1.2681103,0.5274514,1.1450373,1.0530338,1.5222087,1.5095197,1.1014793,1.1723003,0.7614472,0.42764473,0.52368814,0.88275456,0.6278879,0.3954805,0.8817683,0.8202562,0.746613,0.7966197,1.0235668,0.66523767,1.276828,1.2133439,1.1587162,1.480729,1.2785822,1.4625343,1.046949,1.1945719,0.8610603,0.7166308,1.3046718,0.5818262,0.5003952,1.0207957,0.9619238,0.5413772,0.61104107,1.0051521,1.4838758,1.4252474,0.48591733,0.8063681,0.73585975,1.1268882,0.69957715,0.8303678,0.958854,1.1310233,1.2937002,0.7588829,0.95380366,0.64307046,1.1974742,1.2479924
dish,1.1251917,1.2890954,1.2754748,0.76655483,1.0638992,1.047928,1.0594935,1.0869586,0.6455727,0.6820005,1.4686816,0.7167951,0.9189682,0.83992815,0.79877293,0.7778535,1.1412895,1.2995664,0.6990657,1.033602,1.1565548,1.0628245,1.0472467,1.3228414,1.2601073,1.0215554,0.8770339,1.0540535,1.0485631,0.91730076,0.70821995,1.0908849,1.0052105,1.2032685,0.80288756,0.95424354,1.3749733,0.74936074,1.1263804,0.0,0.89914906,1.1879121,0.8674368,1.0239584,0.8979389,0.9302268,1.1317106,1.0165455,1.0710108,0.8421339,1.230978,0.8892863,1.286973,1.2714167,1.0584904,1.2446072,1.1499648,0.8204856,1.2772129,1.2971554,0.9176546,1.0219959,0.86586535,0.89779216,1.2581034,0.98733294,0.80672723,0.8675264,1.131102,0.8905655,1.1804574,1.2085795,1.1305522,0.9301857,0.90492946,0.8441808,0.90609926,1.1482278,1.2227832,1.0427539,1.2522883,0.9051472,1.2514553,0.8705708,1.037059,0.82615703,0.8801366,0.8556312,0.79613864,1.0493062,1.3007371,1.2303898,1.2374903,1.3865583,1.2660412,1.0484496,0.5078002,1.189277,1.174636,1.0172781,1.2448343,0.8130424,1.0476458,0.98579246,0.8337156,0.894256,0.87545615,1.1028225,0.99442226,1.0648091,0.7672086,0.82033277,1.3987906,1.3052783,1.0896245,0.7656574,1.2510738,1.1607361,1.1022656,0.7945406,0.48270112,1.0119543,1.306977,1.2920563,0.88353264,1.0518957,1.0124569,0.7646475,0.96181554,0.9785628,1.1259838,0.98341787,1.3988456,0.9291258,1.0136892
dog,1.0839114,1.2841563,1.2631645,0.8026753,1.2089542,1.2252864,1.2140359,1.090314,0.8351344,0.80512863,1.3178481,0.82708097,0.9569346,0.21363115,0.67140436,0.88346916,0.996287,1.2290233,1.1677247,0.9998443,1.2219944,1.1468958,0.9523631,1.2763827,1.1125809,1.1721075,0.012074888,1.0650285,1.2189391,1.0302756,0.8568592,1.10241,1.1623591,1.2652258,0.7847333,1.0368432,1.355808,0.81956744,1.2571495,0.89914906,0.0,0.85379666,0.95493144,1.0186322,1.0771499,0.59926724,1.2310232,0.99091434,1.0340582,0.7792526,1.2643704,0.9316349,1.0620555,1.1265929,1.0126652,1.1793337,1.0076123,0.9526975,1.1522492,1.147602,0.9061719,1.1794367,0.9348659,1.0248091,1.12416,1.0372068,0.9342954,0.88834494,1.0493627,0.86516905,1.1848141,1.1048956,1.1671305,1.1249347,0.9715902,0.9200696,0.95220095,1.1723428,1.3213636,1.1051831,1.3085575,0.9404812,1.2150904,0.99164367,0.9594678,0.80833834,0.8693936,0.93881756,1.001053,1.1332006,1.2976656,1.2598269,1.2175245,1.2436821,1.2342192,0.9575149,1.065849,0.7694572,1.2402143,0.91808426,1.1124021,0.89274913,0.9787148,0.36586618,0.9246564,0.92373705,0.90610343,0.9943308,0.8963984,1.1176769,1.1182266,0.9201885,1.2666198,1.3136606,1.0310719,1.0678862,1.2409747,1.0294906,0.9640704,0.8590226,0.73722696,1.1672316,1.320085,1.2311052,1.0591757,1.0386697,0.99796104,0.9697519,0.9494352,0.96643615,1.0334765,1.0551064,1.3083502,0.9504168,0.9779595
doll,0.96381694,0.9122852,0.82021546,1.1793451,0.8610042,0.83453315,0.88224894,0.995566,1.3583229,1.3182153,0.7862584,1.2554729,1.0971298,0.96081036,1.1380998,1.0825114,0.9258679,0.6902515,0.99084663,0.8971366,0.7799446,0.8969208,1.0118492,0.73853534,0.8809828,1.1476631,0.93137395,0.92276216,0.9125431,1.2276726,0.9745635,1.0755718,0.89089596,0.85484815,1.1178811,0.77938795,0.9317212,1.1628078,0.77714247,1.1879121,0.85379666,0.0,1.2274427,1.0323031,1.1839621,1.0438333,0.8641465,1.2091848,1.1635731,1.0732197,0.8836945,1.1607126,0.79986906,0.72032905,0.7724622,0.91641057,0.85431445,1.002472,0.9463317,0.77782476,1.2084771,0.9858879,1.2039386,1.0224057,0.7643441,1.1585029,1.060128,1.2690413,0.77485096,1.2520127,0.99219275,0.894748,0.9509354,0.9585948,1.1441675,0.9381276,1.0767555,0.843171,0.8861755,0.77201986,0.90509397,1.0275435,0.8094693,1.153825,1.0000689,1.0651572,1.2401955,1.213505,1.0788815,0.7447837,0.9542346,1.053047,0.8479737,0.78069717,0.9089984,0.8236369,0.99321187,0.5809935,0.8513231,0.9146344,0.91747963,1.1554453,1.1656718,0.95347506,1.2182738,1.1755216,1.2878809,0.96539694,1.0256574,0.88619757,1.1590679,1.1809723,0.8210734,0.8698507,0.94236416,0.9846216,0.8270868,0.82700074,0.938577,1.2556219,1.1767062,0.85346246,0.7803256,0.9252116,1.0783734,0.77845687,0.75680995,1.0695461,1.1288233,1.1973995,0.95553184,0.8792398,0.91140723,1.0708127,1.2121732
door,1.2189387,1.2193632,1.3575909,0.7318197,1.3631799,1.3254004,1.334257,1.1422303,0.25218093,0.4443208,1.2203934,0.50211406,0.813136,0.88467443,0.71748155,0.8440323,1.2407839,1.3108559,1.2045662,0.973429,1.38468,1.1138085,1.1625873,1.0990232,1.2600021,1.0540272,0.9111821,0.65925217,1.1741599,0.3749066,0.7329773,1.1420308,1.2912154,1.142155,0.5578526,1.2239282,1.362248,0.5686626,1.2944212,0.8674368,0.95493144,1.2274427,0.0,0.87464833,0.8028453,0.8792895,1.3398478,0.69834256,1.1335875,0.8700034,1.1829476,0.9811434,1.2748699,1.2627617,1.1678189,1.3030726,1.347131,0.78662634,1.1327053,1.2414789,0.86960196,1.2787321,0.7622582,0.91571957,1.2810163,0.81128395,0.8189043,0.6332505,1.2703711,0.6580134,1.2272094,1.0012337,0.96396,0.95909953,0.9824298,0.857242,0.9507464,1.3450782,1.3296239,1.3364403,1.1624918,0.99136794,1.3409197,0.30910158,1.1369834,0.67823637,0.6104012,0.94435495,1.0573782,1.3469168,1.281677,1.2366242,1.2454989,1.27793,1.3029697,1.013932,1.162344,1.1248658,1.3118567,1.0501295,1.1269208,0.22718203,0.9404257,0.97105086,0.7233738,0.93395936,0.68813574,1.2002115,0.94498944,1.1276275,0.8609925,0.7499537,1.3723472,1.2453402,1.1347299,1.1710807,1.3298469,1.2285503,0.98151594,0.52498674,0.645171,1.3941665,1.2851876,1.1988028,1.0242205,1.273201,1.2128811,1.035327,0.81203115,0.80433035,1.1476897,0.799387,1.2793007,0.27951294,0.72006625
drawer,0.7020095,1.0984519,1.2923424,1.0850779,1.2121178,1.0995413,1.1126661,0.7549242,0.8693718,0.913306,1.107578,0.89932734,1.2301024,1.0177658,1.0782348,0.9639395,0.76304936,1.0869567,0.89558613,0.810056,1.0789405,0.8218955,0.778286,1.0085087,0.9037584,1.2934687,1.0132145,0.7769517,0.7698866,0.8705671,0.8886548,0.8656357,0.914894,1.1349194,1.0612692,0.89162743,1.1178634,0.85167193,1.0376668,1.0239584,1.0186322,1.0323031,0.87464833,0.0,1.1331476,1.1685181,1.2024646,1.1411695,1.0156009,1.167533,1.1437931,0.9384891,0.9974705,0.85455024,1.021124,0.80828184,0.7065407,0.9658585,1.1944247,1.0757642,0.9757361,1.1203059,1.2374232,1.0325872,1.06762,1.2240592,1.0546402,1.2214059,0.878829,1.176227,0.765218,0.7308293,0.6431658,1.1115228,1.0066755,1.0708895,1.0208,1.0997958,1.2905586,0.7459917,1.0953147,1.0873114,1.2757735,0.7539817,0.75596774,1.2069235,1.2129871,0.8920756,0.9032741,1.0413498,1.0971354,1.0742542,1.1445723,0.84754854,1.0828885,0.81576484,0.8006859,1.2207644,1.2749257,0.75353444,0.84493047,0.8076595,1.0927187,1.1232822,1.1487045,0.9818426,1.2247493,0.8461701,0.98014814,0.95728713,0.6634761,1.1177378,1.0587616,1.2256434,1.007908,1.0460806,0.8479879,0.7896473,0.88122976,1.1173416,0.9902206,1.0905123,1.2151204,1.1335809,0.9012481,0.77137315,0.9848016,0.6247549,0.9190901,1.1131378,0.84338915,0.70671237,1.1647127,0.91632813,1.1438093
dress,1.1533035,0.96415913,1.0813357,0.77780527,1.1913743,1.148808,1.2481511,1.3102677,0.7907168,0.892559,1.1586162,0.9577688,0.4691257,0.9560159,0.7781328,0.9471018,1.3126001,1.2963526,1.2843695,1.1848665,1.2100372,1.2969955,1.1210631,1.2460904,1.2936049,0.849842,1.0671082,1.0656767,1.2498144,0.8497406,1.0029919,1.1443826,1.1798526,0.88378066,0.84335124,1.0931782,1.2350128,1.0345043,1.3134297,0.8979389,1.0771499,1.1839621,0.8028453,1.1331476,0.0,0.9899376,1.2412676,0.87983066,1.0407904,0.7957564,0.7669718,0.92648625,1.2538767,1.3530705,1.0604274,1.3199341,1.3178478,0.70130914,0.9114254,0.9415836,1.0406189,0.9358705,0.58394396,0.58950305,1.0186967,0.8595094,0.77816224,0.63037926,1.2989746,0.6527207,1.2195106,1.229993,1.1329854,1.0175111,1.0611378,0.6655007,1.1099846,1.1784234,0.95065075,1.2880231,0.59817946,0.8322177,1.1235,0.8849591,1.1030618,0.6160394,0.63525975,1.033727,1.0776567,1.2320945,1.2016227,1.1852117,1.1291709,1.1911886,1.2603568,1.1486423,1.1427152,0.9696229,0.9687017,1.0628914,1.1623894,0.8444029,0.9925355,0.98723286,0.54294854,1.0270507,0.5052494,1.0685163,0.7648554,1.0286734,1.0897466,0.9497675,1.1324942,1.0573782,0.94728744,1.0289222,1.2869905,1.3561409,1.1883681,0.5914335,0.85665995,1.3201255,0.8467268,0.9616032,1.0791126,1.2576758,1.306975,1.132108,1.0357283,0.96448994,1.2293229,1.0511484,0.9737655,0.89295554,0.85653436
ear,1.1379979,1.1599672,1.1136053,0.83265996,1.122313,1.1542548,1.114771,1.3188559,0.846823,0.9279724,1.0993284,1.0171432,0.83213425,0.6203481,0.8205909,0.99194753,1.2706223,1.2271256,1.2351248,1.2213202,1.1182321,1.2997439,1.1381528,1.2183158,1.2254852,0.7609134,0.57977563,1.2268709,1.045012,0.90186983,1.1240852,0.95419914,1.0880704,1.0777339,0.9663117,1.0794054,1.1410952,1.0157049,1.2288116,0.9302268,0.59926724,1.0438333,0.8792895,1.1685181,0.9899376,0.0,1.0769471,0.6461252,0.639467,0.91332066,1.0088916,0.95509136,0.9776207,1.2282349,1.1328639,1.1235392,1.0971138,0.95872545,0.84251046,1.149224,0.98915714,0.9656464,0.8118601,0.9803763,1.0463029,0.7662541,1.04618,0.859306,1.0442691,0.8478301,1.1721832,1.2277069,1.188934,1.034811,0.9630443,1.0673974,1.0106298,1.0902385,1.036331,1.2508179,1.0572789,0.7093625,1.1049954,1.0601591,1.1593485,0.88867986,0.7595166,1.0444156,1.1142812,1.0520655,1.1036942,1.0736682,1.0502582,1.2080473,1.125374,1.1668121,1.2239633,0.78995526,1.05363,1.2048432,1.2147577,1.0126024,0.8536633,0.5246372,0.9080508,1.0374073,0.8810279,1.1819769,1.0237176,1.10568,1.0998874,0.9915247,1.2191482,1.037014,1.1436862,1.0507125,1.1761377,1.1402624,1.1803671,0.9262697,0.99000114,1.08435,1.0534075,1.0402879,1.1636586,1.2301065,1.2602721,1.2192004,1.0673548,0.89894885,1.2429626,1.2322038,0.9940857,0.9833366,0.71334285
egg,0.9324777,0.67364776,0.2640254,1.4337828,0.23470521,0.38466716,0.5822752,1.0335357,1.4701858,1.4527935,0.49817234,1.370439,1.310686,1.2427173,1.4638054,1.2981732,0.96895695,0.38917047,0.54721457,1.1640368,0.5956969,0.8402128,1.0297371,0.5946914,0.72386056,0.9219,1.2527474,1.1352626,0.4679994,1.2972246,1.2391455,0.9823617,0.7977401,0.84920406,1.4148188,0.9913647,0.44907874,1.4487069,0.34356236,1.1317106,1.2310232,0.8641465,1.3398478,1.2024646,1.2412676,1.0769471,0.0,1.2218522,0.97071517,1.1616364,0.86283505,1.1719797,0.68747854,0.70313865,0.91544676,0.7299355,0.8513608,1.4360491,0.7862885,0.95270944,1.1751937,0.80323064,1.2710495,1.3153086,0.66125125,1.1624215,1.375977,1.3191553,0.6981189,1.4422456,0.90442526,0.98171645,0.84200263,0.95207673,0.93548006,1.449001,1.1796006,0.5582866,0.38309157,0.8140719,0.9157579,1.1737869,0.25621247,1.3657305,1.0575365,1.4393529,1.3857927,1.1223974,1.2114155,0.6900369,0.4528368,0.5297424,0.8111697,0.78732383,0.47323304,1.054941,0.952326,0.76060164,0.46395963,1.2827724,0.82087255,1.4282613,1.1501992,1.0111451,1.4271511,1.2687505,1.3584818,1.1367496,1.2047333,0.98197985,0.95904016,1.2626164,0.6270206,0.51528764,1.1044023,0.8751122,0.67126405,0.76901,1.1678516,1.4157379,1.4425893,0.35233724,0.6284153,0.66639566,1.1220073,0.9644739,0.90600055,1.2167068,1.1398697,1.228608,0.93562734,1.1914723,0.5570452,1.235619,1.2223037
elephant,1.1457727,1.1123264,1.2345717,0.8028183,1.2451037,1.292337,1.1572315,1.1554728,0.7694612,0.7336574,1.0860795,0.89295554,0.6851275,1.0364131,0.68945765,0.9470428,1.2017163,1.2325978,1.2759314,1.1705294,1.2490674,1.1751468,1.1081177,1.1214956,1.153221,0.9479413,0.943111,1.0847164,1.1040579,0.77843547,1.0874945,1.015865,1.2171988,1.0981613,0.87320966,1.2559175,1.1681035,0.92568594,1.2604508,1.0165455,0.99091434,1.2091848,0.69834256,1.1411695,0.87983066,0.6461252,1.2218522,0.0,0.9418509,1.0032698,1.1775111,0.9748038,1.0909362,1.1741819,1.1400642,1.160161,1.2119926,1.0102777,1.0806658,1.0818759,0.881874,1.2191043,0.8342848,1.0271395,1.1699252,0.2754526,1.0189112,0.633096,1.1261396,0.65319866,1.1545709,1.189288,1.0831412,1.0137454,0.9973176,0.97209305,0.9378214,1.2146032,1.2050964,1.1853585,1.0496458,0.93578964,1.2352568,0.8932255,1.1125776,0.7710345,0.6100157,1.0423888,1.1959352,1.2462116,1.0453796,1.0091845,1.0347354,1.1307285,1.1293052,1.1372186,1.2852074,1.1256762,1.2382102,1.0010141,1.1094111,0.8690744,0.56304365,1.0003427,0.6974703,0.9315535,0.6737182,1.0607312,1.0536659,1.1794398,1.0551941,0.8283043,1.1973327,1.0908477,1.0452912,1.2487056,1.2462357,1.1660376,0.9803372,0.70746577,0.9558897,1.2440579,1.2313433,1.102576,1.158222,1.0991547,1.2006228,1.1562078,1.0231336,0.82726,1.1469865,1.067598,1.1221354,0.87215817,0.10995048
eye,0.95128465,1.0948195,1.0056669,1.0613325,0.9079931,0.93587667,0.9165826,1.1091934,1.1115822,1.1599727,1.0696217,1.1733127,1.0639714,0.98451066,1.0688848,1.1597471,1.0673993,1.116622,1.07824,1.0995494,0.9791107,1.1650848,0.9010134,1.1505193,1.0619389,0.78678817,1.0187721,1.2237467,0.88074434,1.0297959,1.1555523,0.9354988,0.9023168,0.9796046,1.132893,0.9375629,1.0155413,1.167881,1.106722,1.0710108,1.0340582,1.1635731,1.1335875,1.0156009,1.0407904,0.639467,0.97071517,0.9418509,0.0,0.97061175,0.9154226,0.9608133,0.9332291,1.0774082,1.0279567,1.0064374,0.92022324,1.0329677,0.7373378,1.0651206,1.0768287,0.88164854,0.8996495,1.0073131,0.9515674,1.0122269,1.060135,1.045027,0.9022606,1.071361,1.1273884,1.054614,1.0068948,1.0968492,1.055378,1.16269,1.0378487,0.93341756,0.92537785,1.0794575,0.9883804,0.9010033,1.0297204,1.1237993,0.9245255,1.0741715,1.0337839,1.0312225,0.98710054,0.9976699,1.0113775,0.9832758,1.010447,1.0745506,0.9750168,1.0722334,1.0683247,0.9719057,0.93681884,1.0789202,1.0189366,1.1629764,0.9223261,0.888854,1.1044171,1.0544205,1.0434586,0.9930152,0.9983262,1.0959476,1.1158957,1.1084503,1.0667458,0.93925834,1.0601197,1.0516605,1.0372369,0.9532355,1.0945413,1.0958365,1.1272331,0.9448677,0.9585718,0.9296728,1.1181824,1.0834097,1.1666586,1.0830369,1.013639,0.97191155,1.0370487,1.1536404,0.8431592,1.0569636,0.9295788
face,1.1866561,1.3649212,1.0989622,0.80196905,1.1730994,1.1911929,1.1643401,1.2426537,0.8018644,0.8722117,1.3199668,0.90773505,0.7011466,0.75211537,0.7862233,0.85062927,1.1508918,1.2625031,1.2487403,1.0688535,1.2252816,1.2990094,1.0818018,1.3365006,1.1541408,0.94724035,0.7699071,1.1586633,1.2613715,0.91366935,0.97882396,1.1694845,1.189664,1.1337295,0.7006017,1.0941792,1.3346918,0.87973213,1.2876055,0.8421339,0.7792526,1.0732197,0.8700034,1.167533,0.7957564,0.91332066,1.1616364,1.0032698,0.97061175,0.0,1.0301259,0.9169536,1.138639,1.2103928,1.2148663,1.2518475,1.2148895,0.6921099,0.72568107,1.2578795,0.91285187,1.0053667,0.46253926,0.78328645,0.96866065,0.9913708,0.8243274,0.6172649,1.2033888,0.7697449,1.2711412,1.1745747,1.2171595,1.2028224,0.9801774,0.90652347,0.8619708,1.1958594,1.0709207,1.3351727,1.1162843,0.7806831,1.08459,0.9311293,1.0715735,0.535357,0.7777941,0.9328268,0.9872332,1.1521529,1.2519368,1.2147108,1.2056737,1.4263191,1.2361754,1.0510437,1.0862888,0.9847825,1.058497,1.0879794,1.2014538,0.8102263,1.075041,0.8008118,0.73300666,0.87043786,0.5889021,1.1417024,0.853705,1.2028027,1.1679811,0.7714244,1.3920759,1.183769,1.2254779,1.1274661,1.350744,1.2254882,1.0043176,0.6620333,0.6941224,1.2090601,1.1454852,1.1761562,1.10085,1.2906778,1.0734533,1.0428098,0.87180114,0.77737296,1.0614835,1.0688298,1.186001,0.86444485,0.974433
