participant_id,top8_rank_densest_first,pct_category_coverage_valid85
participant_01,1,98.82352941176472
participant_02,2,95.29411764705884
participant_03,3,88.23529411764706
participant_04,4,92.94117647058825
participant_05,5,95.29411764705884
participant_06,6,78.82352941176471
participant_07,7,82.3529411764706
participant_08,8,84.70588235294117
