subject_id,age_bin_1,age_bin_2,median_age_threshold,rdm_correlation,n_common_categories,n_categories_younger,n_categories_older
00320001,younger,older,16.0,0.8144597544641929,154,161,155
00680001,younger,older,16.0,0.5510116308484995,87,88,151
00320002,younger,older,16.0,0.7170137729537082,144,156,144
00500001,younger,older,16.0,0.8006711681018138,154,155,160
00400001,younger,older,16.0,0.812668897323295,157,160,158
00430001,younger,older,16.0,0.7952280289513094,150,157,153
00560001,younger,older,16.0,0.7928932767656965,147,154,154
00370001,younger,older,16.0,0.7131965915506866,151,155,153
00400003,younger,older,16.0,0.7883436918725605,148,152,149
00510001,younger,older,16.0,0.705955055889289,140,153,144
00420001,younger,older,16.0,0.7531022084090341,141,160,142
00510002,younger,older,16.0,0.8369805934773404,153,157,156
00240001,younger,older,16.0,0.7721182031488926,149,155,153
00490001,younger,older,16.0,0.6957425208253073,127,149,128
00320003,younger,older,16.0,0.7767398758999959,147,155,148
00400002,younger,older,16.0,0.8182773320914469,155,159,156
00370002,younger,older,16.0,0.812926077550381,156,160,157
00590001,younger,older,16.0,0.643990920577335,134,139,147
