subject_id_1,subject_id_2,correlation_type,correlation,n_common_categories,n_categories_subject1,n_categories_subject2
00320001,00680001,younger_younger,0.42945645260816157,88,161,88
00320001,00680001,younger_older,0.6194820084855339,149,161,151
00320001,00680001,older_younger,0.3812082226631675,84,155,88
00320001,00680001,older_older,0.5934494385696015,145,155,151
00320001,00320002,younger_younger,0.7505734989285762,155,161,156
00320001,00320002,younger_older,0.6788524482103067,144,161,144
00320001,00320002,older_younger,0.6999291958725345,151,155,156
00320001,00320002,older_older,0.6371536339506635,141,155,144
00320001,00500001,younger_younger,0.7329674903796772,154,161,155
00320001,00500001,younger_older,0.7851135256438283,158,161,160
00320001,00500001,older_younger,0.7211667697629248,150,155,155
00320001,00500001,older_older,0.7147564618171961,152,155,160
00320001,00400001,younger_younger,0.7641963975088302,159,161,160
00320001,00400001,younger_older,0.7309673966247251,157,161,158
00320001,00400001,older_younger,0.7457583333638147,153,155,160
00320001,00400001,older_older,0.7242529206914317,154,155,158
00320001,00430001,younger_younger,0.7156534308487729,156,161,157
00320001,00430001,younger_older,0.7214041833554448,153,161,153
00320001,00430001,older_younger,0.7168314858101913,150,155,157
00320001,00430001,older_older,0.6891885046094901,149,155,153
00320001,00560001,younger_younger,0.7389593196175785,153,161,154
00320001,00560001,younger_older,0.7890497306862466,153,161,154
00320001,00560001,older_younger,0.7182450472671474,147,155,154
00320001,00560001,older_older,0.7375006799139837,149,155,154
00320001,00370001,younger_younger,0.7693782517866721,154,161,155
00320001,00370001,younger_older,0.694086227439985,152,161,153
00320001,00370001,older_younger,0.7514416673295202,150,155,155
00320001,00370001,older_older,0.6844134463568657,148,155,153
00320001,00400003,younger_younger,0.8019066083781702,152,161,152
00320001,00400003,younger_older,0.705673529717742,149,161,149
00320001,00400003,older_younger,0.7479390706169365,149,155,152
00320001,00400003,older_older,0.6834769364968034,146,155,149
00320001,00510001,younger_younger,0.7225743209718593,153,161,153
00320001,00510001,younger_older,0.7406232409783686,144,161,144
00320001,00510001,older_younger,0.7105976925559717,147,155,153
00320001,00510001,older_older,0.7147706251855593,140,155,144
00320001,00420001,younger_younger,0.703464948500951,159,161,160
00320001,00420001,younger_older,0.614096569608282,141,161,142
00320001,00420001,older_younger,0.6796275168147803,154,155,160
00320001,00420001,older_older,0.5880824143757011,139,155,142
00320001,00510002,younger_younger,0.737661004483628,156,161,157
00320001,00510002,younger_older,0.7093510276883523,155,161,156
00320001,00510002,older_younger,0.7079404144928064,153,155,157
00320001,00510002,older_older,0.7037774540704278,153,155,156
00320001,00240001,younger_younger,0.7101739651683879,155,161,155
00320001,00240001,younger_older,0.7359217815626536,153,161,153
00320001,00240001,older_younger,0.7104891638845169,151,155,155
00320001,00240001,older_older,0.6840696170762359,148,155,153
00320001,00490001,younger_younger,0.6927820012066855,148,161,149
00320001,00490001,younger_older,0.7438390577703304,127,161,128
00320001,00490001,older_younger,0.678311643944714,143,155,149
00320001,00490001,older_older,0.7233697238688672,124,155,128
00320001,00320003,younger_younger,0.7484789702385419,154,161,155
00320001,00320003,younger_older,0.686277126017669,147,161,148
00320001,00320003,older_younger,0.6931900214330848,149,155,155
00320001,00320003,older_older,0.6570564426287648,143,155,148
00320001,00400002,younger_younger,0.7676084157144589,158,161,159
00320001,00400002,younger_older,0.7668257360199543,155,161,156
00320001,00400002,older_younger,0.7224431290212362,152,155,159
00320001,00400002,older_older,0.7791262993823329,150,155,156
00320001,00370002,younger_younger,0.7669690700983555,158,161,160
00320001,00370002,younger_older,0.7407167321018576,156,161,157
00320001,00370002,older_younger,0.7105438149078376,154,155,160
00320001,00370002,older_older,0.7281861871385026,152,155,157
00320001,00590001,younger_younger,0.6552627719627424,138,161,139
00320001,00590001,younger_older,0.6560180349389485,146,161,147
00320001,00590001,older_younger,0.5788968258437489,134,155,139
00320001,00590001,older_older,0.5865196683695456,143,155,147
00680001,00320002,younger_younger,0.43952084434082705,87,88,156
00680001,00320002,younger_older,0.4062970867655888,85,88,144
00680001,00320002,older_younger,0.6563389280547052,147,151,156
00680001,00320002,older_older,0.5904271515046712,139,151,144
00680001,00500001,younger_younger,0.4318287288456227,88,88,155
00680001,00500001,younger_older,0.4466196547822794,88,88,160
00680001,00500001,older_younger,0.6654121833766653,145,151,155
00680001,00500001,older_older,0.6806306066888884,149,151,160
00680001,00400001,younger_younger,0.3818325564622511,88,88,160
00680001,00400001,younger_older,0.4477845768435067,87,88,158
00680001,00400001,older_younger,0.665707910106639,149,151,160
00680001,00400001,older_older,0.6557378603005672,148,151,158
00680001,00430001,younger_younger,0.3810031209447905,88,88,157
00680001,00430001,younger_older,0.34754448313394576,87,88,153
00680001,00430001,older_younger,0.6485834030339536,147,151,157
00680001,00430001,older_older,0.6298213337180677,143,151,153
00680001,00560001,younger_younger,0.3985050880304296,88,88,154
00680001,00560001,younger_older,0.4486840462252187,87,88,154
00680001,00560001,older_younger,0.6088003966111569,147,151,154
00680001,00560001,older_older,0.6450999868615057,145,151,154
00680001,00370001,younger_younger,0.4422189267849602,88,88,155
00680001,00370001,younger_older,0.4551014967403237,87,88,153
00680001,00370001,older_younger,0.6146138380107291,146,151,155
00680001,00370001,older_older,0.5893064261011886,144,151,153
00680001,00400003,younger_younger,0.401667933583233,86,88,152
00680001,00400003,younger_older,0.3811770358653587,86,88,149
00680001,00400003,older_younger,0.675920124508718,144,151,152
00680001,00400003,older_older,0.6720619794259526,143,151,149
00680001,00510001,younger_younger,0.42285492506978445,88,88,153
00680001,00510001,younger_older,0.4333523676794044,87,88,144
