subject_id,n_common_categories,mean_spearman_correlation,mean_pearson_correlation,std_spearman_correlation,std_pearson_correlation
00320001,154,0.7727801874689004,0.7797408,0.2118388803006616,0.21001431
00680001,87,0.6053469150721499,0.615799,0.25133770205299216,0.24978343
00320002,144,0.6536907795828629,0.6627069,0.2188084813351334,0.21626742
00500001,154,0.7262801702987678,0.73372555,0.24082602600237676,0.23936349
00400001,157,0.7825647741679592,0.7902548,0.20462814393343703,0.2007785
00430001,150,0.740287582606475,0.7490271,0.19767208798459737,0.19359584
00560001,147,0.733052501311377,0.74123585,0.19992984100927222,0.19773133
00370001,151,0.6884099684622784,0.6962469,0.251659327022141,0.24820568
00400003,148,0.7088739056964968,0.7167214,0.23098794000049122,0.22744402
00510001,140,0.6875632856858798,0.6948949,0.2573875753156494,0.2562792
00420001,141,0.7017735375176096,0.70896447,0.2251591991126597,0.22355656
00510002,153,0.7916085891280844,0.7989351,0.1993288475957649,0.19587222
00240001,149,0.7293186632909924,0.73717225,0.22858826032996882,0.22690043
00490001,127,0.6240624030480174,0.630692,0.25802059014948886,0.2568496
00320003,147,0.7504645640431706,0.7591941,0.22833088096529572,0.2252522
00400002,155,0.7581563032271951,0.7661696,0.21327238167581405,0.21015766
00370002,156,0.8059444186996351,0.8132244,0.18163934137609608,0.17717725
00590001,134,0.658493936866395,0.6668718,0.2532549684392349,0.2518104
