subject_id,n_ages,age_min,age_max,age_range,age_mean,n_below_median,n_above_median,split_balance
00320001,13,9,21,12,15.0,8,5,0.625
00680001,5,16,20,4,18.0,1,4,0.25
00320002,11,8,18,10,13.0,9,2,0.2222222222222222
00500001,15,12,28,16,20.0,5,10,0.5
00400001,20,10,29,19,19.5,7,13,0.5384615384615384
00430001,14,11,29,18,18.571428571428573,6,8,0.75
00560001,14,13,27,14,19.571428571428573,4,10,0.4
00370001,11,10,20,10,15.0,7,4,0.5714285714285714
00400003,13,10,22,12,16.0,7,6,0.8571428571428571
00510001,8,12,19,7,15.5,5,3,0.6
00420001,10,9,18,9,13.5,8,2,0.25
00510002,7,13,19,6,16.0,4,3,0.75
00240001,15,7,21,14,14.0,10,5,0.5
00490001,6,13,18,5,15.5,4,2,0.5
00320003,11,8,18,10,13.0,9,2,0.2222222222222222
00400002,13,13,25,12,19.0,4,9,0.4444444444444444
00370002,12,9,20,11,14.5,8,4,0.5
00590001,5,14,18,4,16.0,3,2,0.6666666666666666
