subject_id,category_group,n_common_categories,correlation,n_categories_younger,n_categories_older
00320001,animals,19,0.5108263133894929,19,19
00320001,bodyparts,14,0.7708233795190318,14,14
00320001,big_objects,27,0.8431906981906983,31,27
00320001,small_objects,93,0.8351497479582046,95,94
00320001,others,1,,2,1
00680001,animals,9,0.31531531531531537,9,17
00680001,bodyparts,7,0.8792207792207792,7,12
00680001,big_objects,20,0.6403714346949398,21,31
00680001,small_objects,51,0.4968893175789728,51,90
00680001,others,0,,0,1
00320002,animals,16,0.3299465240641711,18,16
00320002,bodyparts,14,0.7418856505813028,14,14
00320002,big_objects,27,0.6925727050727051,31,27
00320002,small_objects,87,0.7450258372701843,93,87
00320002,others,0,,0,0
00500001,animals,17,0.5129430847764896,17,18
00500001,bodyparts,14,0.9299888517279821,14,14
00500001,big_objects,31,0.6329372884511643,31,32
00500001,small_objects,91,0.8236272599632087,92,94
00500001,others,1,,1,2
00400001,animals,19,0.7668202654378766,19,19
00400001,bodyparts,14,0.9258321388756171,14,14
00400001,big_objects,30,0.7382957910128772,32,30
00400001,small_objects,93,0.8319566961657751,93,94
00400001,others,1,,2,1
00430001,animals,16,0.6403569692339744,17,16
00430001,bodyparts,13,0.714993866892601,14,13
00430001,big_objects,29,0.8163786715510853,32,29
00430001,small_objects,92,0.832727511965518,93,94
00430001,others,0,,1,1
00560001,animals,16,0.6307521355649697,19,16
00560001,bodyparts,13,0.8534882838680307,14,13
00560001,big_objects,29,0.6612646978041503,32,29
00560001,small_objects,88,0.8311932603423398,88,94
00560001,others,1,,1,2
00370001,animals,18,0.440358918687092,19,18
00370001,bodyparts,14,0.8598502946329034,14,14
00370001,big_objects,29,0.6466793708173019,30,30
00370001,small_objects,89,0.7626009017375612,91,90
00370001,others,1,,1,1
00400003,animals,16,0.5098617959580526,16,16
00400003,bodyparts,13,0.759101657835835,14,13
00400003,big_objects,29,0.7856659519199437,29,30
00400003,small_objects,89,0.837409885042215,92,89
00400003,others,1,,1,1
00510001,animals,14,0.27391304347826084,16,15
00510001,bodyparts,12,0.8484083081098008,13,13
00510001,big_objects,27,0.6682672882672882,31,27
00510001,small_objects,87,0.7133133709561605,93,88
00510001,others,0,,0,1
00420001,animals,11,0.5715728715728717,19,11
00420001,bodyparts,12,0.7463730299551197,14,12
00420001,big_objects,27,0.7891269841269841,32,27
00420001,small_objects,91,0.7447821918001285,94,92
00420001,others,0,,1,0
00510002,animals,17,0.554305615190115,18,18
00510002,bodyparts,14,0.8577639751552797,14,14
00510002,big_objects,29,0.8581632236804652,30,30
00510002,small_objects,92,0.8487551625493114,94,93
00510002,others,1,,1,1
00240001,animals,16,0.5844086394888534,19,16
00240001,bodyparts,14,0.764070711896799,14,14
00240001,big_objects,29,0.7605216501768226,29,31
00240001,small_objects,90,0.7801416401431811,92,92
00240001,others,0,,1,0
00490001,animals,12,0.481432000834986,17,12
00490001,bodyparts,11,0.7634920634920637,13,11
00490001,big_objects,28,0.5988706044205999,32,28
00490001,small_objects,76,0.7021220986559096,87,77
00490001,others,0,,0,0
00320003,animals,16,0.5133759288839502,19,16
00320003,bodyparts,14,0.6786430960344005,14,14
00320003,big_objects,32,0.850628698879494,32,32
00320003,small_objects,85,0.8132086611894068,90,86
00320003,others,0,,0,0
00400002,animals,17,0.6253756977243451,19,17
00400002,bodyparts,14,0.7832457397674789,14,14
00400002,big_objects,32,0.7609710068819564,32,32
00400002,small_objects,92,0.8472594117300017,94,92
00400002,others,0,,0,1
00370002,animals,18,0.5666874405264497,19,18
00370002,bodyparts,14,0.8320114667940756,14,14
00370002,big_objects,31,0.7265720853404117,32,31
00370002,small_objects,93,0.8219431212314202,95,93
00370002,others,0,,0,1
00590001,animals,13,0.20466874897254644,14,17
00590001,bodyparts,12,0.4911178373864943,13,13
00590001,big_objects,30,0.7725536018613953,30,30
00590001,small_objects,79,0.636980642305148,82,87
00590001,others,0,,0,0
