class_name,cdi_category,umap_x,umap_y,exemplar_count
alligator,animals,3.8187158,6.4879193,260
ankle,body_parts,1.4559901,7.4843807,199
apple,food_drink,-0.57550377,6.5303435,265
applesauce,food_drink,-0.4410877,5.2079005,94
arm,body_parts,5.876822,7.163605,256
ball,toys,-0.52896917,6.376514,266
balloon,toys,-0.5734893,6.343211,266
banana,food_drink,-0.38771358,5.572534,260
basket,household,2.0160353,4.561762,266
bathtub,furniture_rooms,3.4894211,4.4009304,262
bear,animals,4.8747354,6.847721,102
bed,furniture_rooms,4.421572,4.40368,266
belt,clothing,0.92056996,6.81349,262
bench,furniture_rooms,4.2625294,4.3788776,266
bib,clothing,5.6755743,7.2885303,266
bird,animals,3.2490175,6.6970487,227
blanket,household,5.3673067,6.565872,266
boat,vehicles,3.1113186,4.80567,218
book,toys,2.512977,4.3949547,266
bottle,household,1.2604477,4.8979573,266
bowl,household,0.99257237,4.684491,266
box,household,2.4304433,4.1831617,266
bread,food_drink,-0.8667338,5.2706985,257
broom,household,3.5616953,5.317866,196
bucket,household,1.4457474,4.5159087,266
butterfly,animals,3.3403182,6.7760553,186
can,household,1.7255315,4.573562,266
car,vehicles,3.550783,5.7337675,265
carrot,food_drink,-0.037928015,6.26721,235
cat,animals,4.605093,6.9753776,265
chair,furniture_rooms,3.9808097,4.6229167,266
chips,food_drink,-1.0147693,4.85198,84
clock,household,0.99661475,5.532067,262
closet,furniture_rooms,4.609653,4.8167925,233
cloud,outside,3.436681,6.1823206,13
coat,clothing,6.014392,6.88943,130
coffee,food_drink,0.7693201,4.599752,189
comb,household,2.429165,5.5498548,234
cookie,food_drink,-1.0882286,5.27521,177
corn,food_drink,-0.50039035,5.3587656,113
couch,furniture_rooms,4.5528855,4.3957806,266
cracker,food_drink,-0.73955995,4.9090796,248
crayon,toys,0.779099,6.2932773,266
crib,furniture_rooms,4.0877085,4.5369697,265
cup,household,1.2088596,4.635332,266
deer,animals,3.4529738,7.029102,83
dish,household,0.5612912,4.3883758,152
dog,animals,3.6133668,6.865544,266
doll,toys,2.736323,7.147123,265
door,furniture_rooms,4.764645,4.8885727,265
drawer,furniture_rooms,2.1797051,4.1183295,262
dress,clothing,6.130231,7.2336855,228
duck,animals,3.2098598,6.525131,45
ear,body_parts,0.6763418,7.0943427,183
egg,food_drink,-0.7548165,6.6164727,246
elephant,animals,5.025358,6.9219136,193
eye,body_parts,0.60695314,7.3514557,107
face,body_parts,6.2801375,7.25337,248
finger,body_parts,1.1854852,7.1241927,263
firetruck,vehicles,3.7669451,5.4108744,86
fish,animals,1.7059786,6.3903837,263
flower,outside,2.6511014,6.39013,266
foot,body_parts,1.5377287,7.5991917,215
fork,household,1.5225224,5.619759,253
frog,animals,3.2011392,6.790032,265
game,toys,2.8731103,4.5715466,32
giraffe,animals,3.8621683,6.9419065,53
glass,household,2.5780122,4.817862,251
glasses,household,0.71494955,7.0198107,266
glove,clothing,1.8802754,7.045414,265
grass,outside,4.716447,6.6221714,149
gum,food_drink,0.54006666,6.1440573,265
hair,body_parts,6.1068025,7.263076,263
hamburger,food_drink,-0.6785748,4.8313007,176
hand,body_parts,1.9570343,7.108922,266
hat,clothing,1.2080587,6.583504,266
helicopter,vehicles,3.177422,5.689383,41
