,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,egg,elephant,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,meat,milk,mitten,mouth,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pillow,plant,plate,pony,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,sink,slide,slipper,soap,sock,soup,spoon,sweater,table,tape,toe,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.071798,1.0541115,1.102049,1.0320648,1.0696055,0.8584947,1.0628643,1.1683755,1.2311622,1.0771619,1.0948966,0.70304805,1.196273,0.97385496,0.93751276,1.0616326,0.96282643,0.96533316,0.9835282,0.9092902,0.95640254,1.0036316,1.0380214,0.9681432,1.0598978,1.1462544,0.9963048,0.8921996,1.0757171,0.97723603,0.9469159,0.9864715,1.1097118,0.65492433,1.0292966,1.0880572,1.105546,0.94116044,0.87078226,0.98706424,0.814728,0.5474642,0.96828777,1.1076027,0.97348624,0.8801054,1.1266382,1.0896584,1.1573935,1.0852436,0.8854397,0.993362,0.98828214,1.1596721,1.0485426,1.0926815,0.7513125,1.1339778,0.9554655,1.0064324,1.0342405,1.0672542,0.8865458,0.779384,1.093301,1.132921,0.9274783,1.1394994,1.1459064,0.81409925,0.89170414,0.8396468,0.96495515,1.0587306,0.9051379,1.0825833,1.0926895,1.0984371,0.9614702,1.1166785,0.9883126,0.96291244,1.1473604,1.03424,1.1674938,1.0797683,1.1429365,0.96488243,0.9123639,0.81166506,1.0434432,0.7988588,1.270368,1.089379,0.89620066,0.99168783,1.061643,0.9553375,0.93725854,1.0337623,0.992685,1.0407199,1.0850313
ankle,1.071798,0.0,0.5702536,1.0742358,0.8817245,1.0178491,1.2309685,1.2309736,1.3718004,1.3269229,1.3093505,1.1104876,1.0793209,1.2712793,1.295822,0.9075174,1.2718447,1.2341219,0.91048133,1.2228544,0.83165216,0.9143945,1.2097338,1.2938007,0.5915612,1.1823915,1.2916973,1.0031297,0.68511605,1.3167351,0.7992824,1.2473428,0.9376762,1.1817307,1.218478,0.89963967,0.9317878,0.24094844,0.9157581,1.2736028,0.40171957,1.2461118,0.9844405,1.1195339,0.43224895,0.9376634,1.1356392,0.936391,1.1125765,0.8803126,0.62748677,1.0481516,0.8636677,0.7424731,0.7587345,0.8377537,1.1920526,1.0532418,1.106316,1.293046,1.0857221,0.4946053,0.36772084,1.1577985,0.6256344,0.70998454,1.1767349,1.0271505,1.3089395,0.9552457,1.2829307,0.8315144,0.724459,0.96917194,0.8284083,1.1729647,1.1896479,0.58181775,1.2132328,1.1825063,1.2849503,0.81362927,1.2809861,1.023137,1.2287537,0.9615079,1.2447759,1.2853808,0.24675095,0.88990295,0.7155386,1.2127478,0.89735377,1.1380424,1.3665286,0.99710846,0.35891056,0.91484773,1.2810879,1.1194379,1.4790964,0.93307734,0.77280456,1.1516222
apple,1.0541115,0.5702536,0.0,1.2434697,0.38716865,0.6237465,1.1476684,1.1809895,1.3896087,1.3636765,1.4157157,1.1449888,1.0228868,1.3041924,1.1887023,0.63343316,1.0586516,1.1314458,0.9416988,1.0489268,0.87745583,0.6542502,1.2450815,1.2255008,0.56114745,1.2760893,1.357233,1.0939766,0.47764117,1.3916323,0.52048147,1.2656155,0.80714333,1.3167676,1.2398131,0.69056726,1.0515934,0.59439325,0.8585036,1.2095294,0.67850375,1.2942655,0.83666134,1.0512936,0.6419022,0.7833135,0.8199443,1.1218567,1.1677113,0.9991832,0.7786363,0.9321408,0.9373032,0.54978454,1.0018297,1.0916414,1.2971784,0.98786277,1.0318156,1.1567184,0.9805646,0.7065588,0.28705275,1.119349,0.6794006,0.7211746,1.3581679,1.0071759,1.3558235,1.1589724,1.2816442,0.64296675,0.6022364,1.0945035,0.77654064,1.0934508,0.9442134,0.7392801,1.2473359,1.191695,1.4097048,0.82136154,0.9834077,1.2028421,1.0963753,1.1224332,1.1962553,1.2568026,0.38770604,0.77207637,0.92348003,1.2825925,0.8657374,1.243595,1.3994957,0.6490395,0.48351258,0.9511095,1.2885445,0.6440353,1.4348425,1.0370406,0.57011604,1.2869639
arm,1.102049,1.0742358,1.2434697,0.0,1.3792021,1.1605818,0.99840957,0.9878936,0.71223325,0.7609706,0.705598,0.6515393,1.055532,0.722487,0.84107316,1.4388647,1.198929,1.0499431,1.1299245,1.1695565,1.2692496,1.2278225,0.94369465,1.1097414,1.3269944,0.7500925,0.7306683,0.9580542,1.3515252,0.8276324,1.4178051,0.9349473,1.08997,0.86200297,0.9666013,1.1688519,0.98005897,0.94070834,1.0087507,1.1563021,0.8883447,1.0677655,1.2889957,0.9165809,1.2523785,1.050368,1.027573,0.8318306,0.8300005,0.5380237,1.2431468,1.2704399,0.93522847,1.3357606,0.74895906,0.7883412,0.7204529,1.3250211,0.8705196,1.134918,0.8648573,0.97211534,1.1775855,1.09731,1.2829504,1.0437698,0.8007264,1.2923641,0.6212729,0.63348275,0.9434581,1.2590617,1.1922332,0.87553966,1.0292559,1.1750493,1.1626246,1.2240505,0.78458583,1.0788467,0.81005687,1.3099433,1.1361334,0.6020069,0.88692474,0.5856144,1.0138253,0.9354249,1.1646991,1.3097574,1.157929,0.9295488,1.3318021,0.63280225,0.75824547,1.3447412,1.160291,1.0984492,0.9303936,1.3229835,0.8889231,1.0354321,1.2957857,0.81093216
ball,1.0320648,0.8817245,0.38716865,1.3792021,0.0,0.5421808,0.9953946,1.1289165,1.3772048,1.3506509,1.3736327,1.2489963,1.0570762,1.3371406,1.1504779,0.41139698,0.7699396,1.1556218,0.77036077,0.99312156,0.89445376,0.5902927,1.1829185,1.1241974,0.53607434,1.239584,1.3991586,1.1497759,0.48714584,1.3766508,0.42672205,1.1935269,0.919661,1.3278399,1.142741,0.65391344,1.0691648,0.9661185,1.0896031,1.0380505,0.9645453,1.0728871,0.6465513,1.0974122,0.72706497,0.9079712,0.90052515,1.1767162,1.0425918,1.2570091,0.735422,0.79695773,1.1893562,0.5289032,1.1780223,1.2805352,1.3673613,0.70230025,1.1661463,0.955745,1.1873482,1.038452,0.42302835,1.0644354,0.63569325,0.77683896,1.3909125,0.7747386,1.3914948,1.3457196,1.1684016,0.62378633,0.5783721,1.1634216,0.9040338,1.0098664,0.78717184,0.73711896,1.3786837,1.049499,1.4072336,0.71775496,0.7666077,1.3019141,1.2260296,1.2928742,0.989383,1.2532806,0.6533638,0.6093582,1.0123268,1.2018511,0.65656185,1.3146489,1.4165883,0.49262857,0.5922482,1.0197728,1.346426,0.4376924,1.2383621,1.0007693,0.5597507,1.2807087
balloon,1.0696055,1.0178491,0.6237465,1.1605818,0.5421808,0.0,0.9347208,1.1630918,0.9897358,1.1299323,1.1217427,0.9908524,1.1396523,1.0928372,1.0421842,1.051427,0.6395751,1.0465727,0.8249867,0.9628744,1.1186372,0.85688543,1.1061317,1.1780441,1.0971713,1.139746,1.1069826,0.75797933,1.038434,1.1115803,0.9881457,1.1017628,0.84770966,1.1988325,1.098524,0.56990695,1.1697688,0.93109405,1.044144,0.99330217,1.0220234,1.090832,1.0564704,0.68248343,1.0605205,0.90818727,0.787073,1.1022278,0.82392657,0.85471034,1.0299311,1.1105239,1.1468332,1.0088706,1.0322983,1.1612484,1.0889242,0.9784148,0.9044489,1.1006095,0.97197527,1.0009054,0.79039854,1.0835192,0.9607413,0.6262948,1.1956159,1.0165077,1.1405983,1.170433,0.96277905,1.0389129,1.0700184,0.9647986,1.1310478,1.0681528,0.8278804,1.1278913,1.1080704,0.89502966,1.1796784,1.1836467,0.8842517,1.1189425,0.96034074,1.0492837,0.69847775,1.0466058,1.0463626,0.96611047,0.9834967,0.8977841,0.8597264,1.1062286,1.0836786,0.8449495,0.9096788,1.1315418,1.0699966,0.8220486,1.0172727,1.1504583,1.0705749,1.0919846
banana,0.8584947,1.2309685,1.1476684,0.99840957,0.9953946,0.9347208,0.0,0.95877516,1.0431558,0.97857976,1.0245384,0.8932781,0.8508812,0.9510317,0.8487604,1.0486443,0.9114947,0.75006306,0.91783273,0.7959604,1.0552874,0.9938761,0.9026798,1.1296539,1.1356633,1.1731161,1.0537122,1.005549,1.1008985,1.0433179,1.1282314,0.89497346,0.91580015,1.2255206,0.96362644,0.8862617,1.1596,1.2306905,1.174564,0.77234447,1.1238449,0.81801635,0.9113822,0.81258065,1.2145082,0.9310912,0.80469394,1.0786592,0.9960786,1.038361,1.2148091,1.0756885,1.1799073,1.1539009,1.240892,0.98698044,1.1314989,0.8906588,0.9888733,0.8757469,0.98388004,1.1973062,1.2560489,0.7471508,1.0304167,0.9343939,1.1580068,1.0044581,1.0446184,1.2387506,0.8601469,1.0652974,1.0562234,0.96459496,1.1377211,0.884734,0.9347833,1.1495099,0.9668165,0.9221124,1.1015168,0.9954421,0.65842855,1.1647501,0.9406094,1.1373851,0.9931329,0.7160251,1.2688305,1.0913528,0.7460704,0.8800017,0.92229176,1.1019384,1.0049922,0.9956571,1.0945148,1.0384239,0.7285988,0.8520947,0.91193014,1.1263965,1.1326787,1.1787622
basket,1.0628643,1.2309736,1.1809895,0.9878936,1.1289165,1.1630918,0.95877516,0.0,0.98910725,0.77631396,0.8131136,0.882794,0.80352116,0.82955796,0.72128904,1.0990875,1.0273991,0.7829241,1.1670144,0.8555689,1.0028508,0.97289944,1.0208313,0.7274096,1.2289273,1.027468,0.8571279,1.0116844,0.9909299,0.7736058,1.1581547,1.0064659,0.9331227,1.0410484,0.9101954,1.119834,0.94997144,1.2518594,0.9491261,0.9768798,1.1392468,0.84419966,1.0657973,1.0580955,1.1827021,0.9709496,0.8489814,1.1865633,1.0754904,1.0848054,1.0541523,0.9668079,0.9611617,1.2005581,1.1722648,0.98745835,0.96249014,1.057886,0.95183504,0.9751636,0.838835,1.1495736,1.2796104,0.902803,1.1002228,1.217589,1.102951,0.931681,0.97053444,1.1032068,0.8557155,0.769122,0.92889714,1.1031127,0.97653687,1.006489,0.9371364,1.1671592,0.3305347,1.0413878,1.0620018,1.1499481,0.8227407,1.179814,0.83636445,0.99849,1.0259763,0.82567704,1.2081542,1.0650393,1.0511224,1.0818988,1.1486083,0.89920473,0.8576026,1.0686107,1.2579975,1.0674047,0.8222302,0.897773,0.7915803,1.0351332,1.1448752,1.0554936
bathtub,1.1683755,1.3718004,1.3896087,0.71223325,1.3772048,0.9897358,1.0431558,0.98910725,0.0,0.31721687,0.5237476,0.6025135,1.1982888,0.53102654,0.82746184,1.5315298,0.7122286,0.85018027,1.259434,0.82576096,1.2823852,1.283726,0.8829063,0.8358785,1.4807824,0.5575054,0.4007488,0.8848244,1.5265441,0.56925875,1.4857553,0.8797272,1.2897859,0.6236356,0.9353292,1.2484667,0.9896244,1.2874811,1.0775795,1.0443779,1.3856688,1.0375497,1.4912786,0.9714433,1.4589907,1.2370067,1.092773,0.8630251,0.87549603,0.98949796,1.4326733,1.2091305,1.0405276,1.448417,0.84727836,0.8052841,0.5838322,1.2571878,0.8780873,0.92191434,0.9442985,1.1537111,1.4292986,0.9482547,1.5161073,1.2511379,0.5493902,1.2253972,0.60102564,0.6949862,0.81035304,1.3901801,1.512265,0.9125772,1.3788245,1.146666,0.8240401,1.4181867,0.76703393,0.93591475,0.4924823,1.3831763,1.0768732,0.69577354,0.8487024,0.7748076,0.501479,0.55774844,1.5349834,1.3254766,1.2710547,0.7724826,1.2949014,0.61455643,0.41440856,1.1573846,1.5073408,1.0623549,0.7909181,1.3147384,0.5250226,1.2738372,1.3994594,0.7710054
bed,1.2311622,1.3269229,1.3636765,0.7609706,1.3506509,1.1299323,0.97857976,0.77631396,0.31721687,0.0,0.49354178,0.4600016,1.099931,0.38669324,0.685685,1.4876227,1.0515966,0.7556411,1.3515775,0.8984154,1.2668753,1.2414356,0.86591446,0.7745158,1.4215087,0.6750428,0.26206362,0.97765416,1.4617786,0.5041625,1.4808538,0.8634808,1.154055,0.7436709,1.0854498,1.268961,0.83597565,1.2826366,1.0279268,1.1173803,1.3872771,1.1254029,1.4407849,1.0950698,1.4550593,1.1599293,1.0560594,0.92417425,0.9711771,1.0766923,1.4246117,1.167053,0.8784189,1.4189781,0.78093374,0.7748084,0.55126995,1.3263721,0.828729,0.9916188,0.88707256,1.167842,1.3950279,0.8952776,1.5324142,1.2812475,0.6743719,1.2412612,0.6130631,0.6759379,0.90062046,1.3209382,1.4075778,1.0195594,1.3243785,1.189452,0.95083845,1.3892652,0.5623019,1.0081965,0.64121914,1.312187,1.0231953,0.6925149,0.81424594,0.79493284,0.90431976,0.4274584,1.4908416,1.3261156,1.2110472,0.97092074,1.4431169,0.49983853,0.43840766,1.2519829,1.5022998,1.0222037,0.7100087,1.1432438,0.6070438,1.207108,1.3368793,0.8671262
