category,mean_bv_to_things_centroid,std_bv_to_things_centroid,mean_bv_to_bv_centroid,std_bv_to_bv_centroid,corr_dist_things_vs_dist_bv,n_bv,n_things
raisin,9.638969012067337,0.5396709590048627,3.4528528398826817,0.8477829884285013,-0.31773125006375386,360,14
applesauce,9.494979350546238,0.7128082619696116,4.9301518331041825,0.6650393094369218,-0.024795868579551593,45,15
book,9.396922381395042,0.7537728591436522,5.809208427431596,0.669259497623574,0.26912146196662595,44652,11
closet,9.347747358283423,0.893892175368575,4.887897298176813,0.7868154758072842,-0.28056237470601786,1529,10
glasses,9.322023997645674,0.7242132845576522,4.189919234595781,0.8533818125660806,-0.21472308515838667,59879,17
hair,9.266428352632666,0.6860761428591611,4.639533258820302,0.7765936977322294,-0.1328367666062432,7310,10
table,9.255082945915285,0.8301978931568408,5.287770961584121,0.7218401279840826,-0.04881780884191503,164719,12
face,9.243621025986371,0.47494032872510855,4.858215003335437,0.6663591318031461,-0.23331410097596403,557,3
bear,9.232155540128183,0.787752969156847,4.736730117861642,0.7763374762424138,-0.5341162675357416,6,21
bib,9.217825346009663,0.7691262630091155,5.575674290723642,0.7441794130914047,-0.2239703913476163,2263,14
frog,9.18384616487328,0.9053263328275647,4.908746235764387,0.7189808591998696,-0.2340341114995486,2767,15
hamburger,9.167015662663959,0.8606149776571752,4.633176815481706,0.8963992437900782,-0.08319342972315023,276,11
pickle,9.138922815379551,0.678484211265709,4.369656670771935,0.8087186574512897,-0.1652248568136481,1085,16
coffee,9.120217173221755,0.5846873310451747,4.451785414706179,0.9030507978620252,0.12524249292914333,250,15
shirt,9.09225116105735,0.6240096275456896,5.270793955325513,0.7942873906731307,-0.051171152332066906,9402,12
alligator,9.032589159237753,0.8286426115701199,5.19274467449129,0.6945071172909417,-0.4515248219315451,328,14
bread,9.020347517986716,0.7870415541332169,4.549725059292992,0.9213004384602028,-0.363865893755213,13846,21
bed,8.967913174766144,0.8034070350099897,5.173151400627716,0.7354019424457953,-0.09220105946232235,85010,21
sauce,8.937089485824004,0.3928137172990132,4.564171550401676,0.5598659293496386,0.07877370412008046,155,11
couch,8.911353002734577,0.9945288301857473,4.974112223596437,0.8132588403540839,-0.12155101698062991,162393,21
cookie,8.898246184764242,0.6665400904192005,4.381376330456609,0.8131547629240978,-0.025728060558878954,1926,12
meat,8.876373065871165,0.7590773370894985,4.777238510662925,0.7392243105953206,-0.021620917149668645,194,13
