subject_id,category_group,n_common_categories,correlation,n_categories_younger,n_categories_older
00320001,animals,19,0.5875656994744042,19,19
00320001,bodyparts,14,0.929702181876095,14,14
00320001,big_objects,27,0.8535492285492285,31,27
00320001,small_objects,93,0.8527909763258957,95,94
00320001,others,1,,2,1
00680001,animals,9,0.13873873873873876,9,17
00680001,bodyparts,7,0.587012987012987,7,12
00680001,big_objects,20,0.6193030569442806,21,31
00680001,small_objects,51,0.43913244101595306,51,90
00680001,others,0,,0,1
00320002,animals,16,0.33182165428154725,18,16
00320002,bodyparts,14,0.7746456442108616,14,14
00320002,big_objects,27,0.7264724164724164,31,27
00320002,small_objects,87,0.7464536572965313,93,87
00320002,others,0,,0,0
00500001,animals,17,0.6036400935069891,17,18
00500001,bodyparts,14,0.96037585602803,14,14
00500001,big_objects,31,0.6486083726792288,31,32
00500001,small_objects,91,0.8268964879597749,92,94
00500001,others,1,,1,2
00400001,animals,19,0.8099311205510356,19,19
00400001,bodyparts,14,0.9675903806338589,14,14
00400001,big_objects,30,0.8225440528794917,32,30
00400001,small_objects,93,0.8324920807608384,93,94
00400001,others,1,,2,1
00430001,animals,16,0.696451142440447,17,16
00430001,bodyparts,13,0.9098622896091249,14,13
00430001,big_objects,29,0.8094142507935612,32,29
00430001,small_objects,92,0.8445187684065205,93,94
00430001,others,0,,1,1
00560001,animals,16,0.5763039099937495,19,16
00560001,bodyparts,13,0.7446604028882509,14,13
00560001,big_objects,29,0.7221782463161773,32,29
00560001,small_objects,88,0.8103209519717159,88,94
00560001,others,1,,1,2
00370001,animals,18,0.3535007304357149,19,18
00370001,bodyparts,14,0.8126771778945692,14,14
00370001,big_objects,29,0.6690783035610622,30,30
00370001,small_objects,89,0.785032189385595,91,90
00370001,others,1,,1,1
00400003,animals,16,0.5273977359538856,16,16
00400003,bodyparts,13,0.8645658139329025,14,13
00400003,big_objects,29,0.7602661326799258,29,30
00400003,small_objects,89,0.8549924886535175,92,89
00400003,others,1,,1,1
00510001,animals,14,0.2982481286829113,16,15
00510001,bodyparts,12,0.9102807640121076,13,13
00510001,big_objects,27,0.7603016428016428,31,27
00510001,small_objects,87,0.7446794361348649,93,88
00510001,others,0,,0,1
00420001,animals,11,0.7043290043290046,19,11
00420001,bodyparts,12,0.8467800855860559,14,12
00420001,big_objects,27,0.7748224535757631,32,27
00420001,small_objects,91,0.7018216225316432,94,92
00420001,others,0,,1,0
00510002,animals,17,0.5387099852106292,18,18
00510002,bodyparts,14,0.9130434782608695,14,14
00510002,big_objects,29,0.8357581943788841,30,30
00510002,small_objects,92,0.8576532305170101,94,93
00510002,others,1,,1,1
00240001,animals,16,0.6352107785262865,19,16
00240001,bodyparts,14,0.8349259436215958,14,14
00240001,big_objects,29,0.7570139777036329,29,31
00240001,small_objects,90,0.7766489273876015,92,92
00240001,others,0,,1,0
00490001,animals,12,0.5015551612566539,17,12
00490001,bodyparts,11,0.8134920634920636,13,11
00490001,big_objects,28,0.5502294084770657,32,28
00490001,small_objects,76,0.6947049869088978,87,77
00490001,others,0,,0,0
00320003,animals,16,0.5597263698867977,19,16
00320003,bodyparts,14,0.8523650262780699,14,14
00320003,big_objects,32,0.8667594029474991,32,32
00320003,small_objects,85,0.8234913945116527,90,86
00320003,others,0,,0,0
00400002,animals,17,0.6411144506464386,19,17
00400002,bodyparts,14,0.8791845835324098,14,14
00400002,big_objects,32,0.7397050927264466,32,32
00400002,small_objects,92,0.858279068655802,94,92
00400002,others,0,,0,1
00370002,animals,18,0.6140719445673004,19,18
00370002,bodyparts,14,0.9541328236980412,14,14
00370002,big_objects,31,0.8070671036487849,32,31
00370002,small_objects,93,0.8564845450167763,95,93
00370002,others,0,,0,1
00590001,animals,13,0.28608100759999494,14,17
00590001,bodyparts,12,0.6931426782173051,13,13
00590001,big_objects,30,0.8044066729160257,30,30
00590001,small_objects,79,0.647580567898817,82,87
00590001,others,0,,0,0
