subject_id_1,subject_id_2,correlation_type,category_group,correlation,n_common_categories,n_categories_subject1,n_categories_subject2
00320001,00680001,younger_younger,animals,-0.03912483912483913,9,19,9
00320001,00680001,younger_older,animals,0.25635704403415865,17,19,17
00320001,00680001,older_younger,animals,0.00025740025740025744,9,19,9
00320001,00680001,older_older,animals,0.1569963265111397,17,19,17
00320001,00680001,younger_younger,bodyparts,0.6025974025974027,7,14,7
00320001,00680001,younger_older,bodyparts,0.8261559336186204,12,14,12
00320001,00680001,older_younger,bodyparts,0.7194805194805195,7,14,7
00320001,00680001,older_older,bodyparts,0.858553386911596,12,14,12
00320001,00680001,younger_younger,big_objects,0.5098418169508216,21,31,21
00320001,00680001,younger_older,big_objects,0.5380237543681125,30,31,31
00320001,00680001,older_younger,big_objects,0.4844799163684612,18,27,21
00320001,00680001,older_older,big_objects,0.5624331224331224,27,27,31
00320001,00680001,younger_younger,small_objects,0.39748780341651974,51,95,51
00320001,00680001,younger_older,small_objects,0.7071104161477079,89,95,90
00320001,00680001,older_younger,small_objects,0.39323388735592113,50,94,51
00320001,00680001,older_older,small_objects,0.69342780566264,89,94,90
00320001,00680001,younger_younger,others,,0,2,0
00320001,00680001,younger_older,others,,1,2,1
00320001,00680001,older_younger,others,,0,1,0
00320001,00680001,older_older,others,,0,1,1
00320001,00320002,younger_younger,animals,0.5119282162625814,18,19,18
00320001,00320002,younger_older,animals,0.546558788804778,16,19,16
00320001,00320002,older_younger,animals,0.457182394488896,18,19,18
00320001,00320002,older_older,animals,0.29413153691228555,16,19,16
00320001,00320002,younger_younger,bodyparts,0.812008281573499,14,14,14
00320001,00320002,younger_older,bodyparts,0.5979136805223761,14,14,14
00320001,00320002,older_younger,bodyparts,0.8495938843764932,14,14,14
00320001,00320002,older_older,bodyparts,0.6836598184424272,14,14,14
00320001,00320002,younger_younger,big_objects,0.7411690869569655,30,31,31
00320001,00320002,younger_older,big_objects,0.5428207903207903,27,31,27
00320001,00320002,older_younger,big_objects,0.7414058164058164,27,27,31
