category,clip_mean_knn_dist,clip_n_exemplars,dinov3_mean_knn_dist,dinov3_n_exemplars,delta_knn_dinov3_minus_clip,rank_shift_dinov3_minus_clip
stick,25.77349370014268,33,38.49655278137707,33,12.723059081234389,-2.0
bird,24.712768492388076,91,36.855513982464196,91,12.14274549007612,-4.0
eye,17.027053379794108,76,28.505663340183087,76,11.47860996038898,-11.0
cracker,23.49632370759113,80,33.591744951607,80,10.095421244015867,-2.0
swing,26.616457931435964,24,36.6827695684867,24,10.066311637050735,1.0
mouth,15.706350992096041,122,25.098065644965413,122,9.391714652869371,-9.0
necklace,16.99530633690921,193,26.30231383308392,193,9.307007496174712,-7.0
scarf,25.770578473428476,58,35.06659466104371,58,9.296016187615233,1.0
ear,15.12140808341456,125,24.3316208358242,125,9.21021275240964,-10.0
car,17.83150331736413,200,26.90909041483297,200,9.07758709746884,-8.0
jar,20.373155923421848,155,29.416445095888225,155,9.043289172466377,-1.0
foot,16.723429505856966,158,25.512094416641585,158,8.788664910784618,-6.0
nose,13.677094469320974,196,22.418287978266164,196,8.74119350894519,-14.0
tree,20.723713296167084,108,29.420169711729894,108,8.69645641556281,0.0
dish,27.11098876781752,64,35.73000194304852,64,8.619013175231,3.0
shower,23.517069388723165,87,32.118038106012804,87,8.60096871728964,1.0
glass,19.689699292323763,145,28.26701886230637,145,8.577319569982606,0.0
pony,23.67338046832365,60,32.17667379219882,60,8.50329332387517,1.0
rock,25.269446022181704,30,33.76021491569057,30,8.490768893508864,1.0
flower,18.286403065550406,189,26.664837692061898,189,8.378434626511492,-4.0
fork,14.08242512207468,216,21.94153445657631,216,7.85910933450163,-6.0
tooth,15.176663716363386,137,22.990363074497317,137,7.813699358133931,-4.0
closet,17.834283554647406,171,25.46512783250731,171,7.630844277859904,-1.0
dog,14.893906045556937,224,22.38796261206546,224,7.494056566508524,-3.0
clock,14.917633431878931,194,22.395252503441377,194,7.4776190715624455,-3.0
butterfly,22.490016099700203,50,29.96404175690964,50,7.474025657209438,0.0
watch,14.632693853239156,136,22.037803452625354,136,7.405109599386199,-4.0
bench,14.227459442551197,231,21.381641928150895,231,7.154182485599698,-1.0
cat,13.495340897691777,220,20.64008458595297,220,7.144743688261192,-8.0
can,13.61691434303356,245,20.573408733627254,245,6.956494390593694,-5.0
apple,11.644456558758264,246,18.481401028209973,246,6.8369444694517085,-5.0
vacuum,16.483574616574092,218,23.061649486181498,218,6.578074869607406,-1.0
slide,20.414639625749277,187,26.85666872718339,187,6.4420291014341124,4.0
sock,16.526390982647307,203,22.791534854275085,203,6.265143871627778,2.0
jacket,19.34650531520343,181,25.60613645577356,181,6.259631140570129,3.0
crib,15.33119591442932,233,21.51421861679904,233,6.183022702369721,5.0
shoe,14.179860087353852,240,20.354257904408414,240,6.174397817054562,3.0
glasses,8.630057581394686,250,14.60351153912633,250,5.973453957731644,-13.0
bottle,10.064690965328223,264,15.982432278292704,264,5.9177413129644805,-8.0
face,18.868845726504762,154,24.718908714751716,154,5.850062988246954,6.0
shorts,13.750576399535795,195,19.572570747263143,195,5.8219943477273475,2.0
stroller,19.4878455598323,166,25.204209453873922,166,5.716363894041621,7.0
finger,7.209399485675795,255,12.906685362743884,255,5.697285877068089,-6.0
sweater,18.64063797702482,133,24.231683966230708,133,5.591045989205888,8.0
jeans,13.575431901767216,213,18.986321749051648,213,5.410889847284432,0.0
purse,14.641729011767142,248,20.034235636087516,248,5.392506624320374,7.0
drawer,11.68516671390247,246,17.050725098711965,246,5.3655583848094945,1.0
sink,11.092756765353549,246,16.42190686249887,246,5.32915009714532,-3.0
dress,19.019746492132647,124,24.32111365801952,124,5.301367165886873,9.0
plant,13.722034946190565,228,18.992404222971487,228,5.270369276780922,2.0
balloon,11.903065570222683,256,17.157113208074392,256,5.254047637851709,0.0
bowl,10.850534484199619,262,16.08363109974598,262,5.23309661554636,-5.0
grass,16.58526466885836,64,21.80729464026424,64,5.2220299714058775,9.0
plate,12.008941353575349,263,17.122036326130715,263,5.113094972555366,2.0
cup,9.668271736024986,264,14.762640583309441,264,5.094368847284455,-8.0
bucket,11.2046675375527,262,16.16903899551486,262,4.9643714579621605,0.0
basket,13.828144534571972,252,18.662352911800394,252,4.834208377228421,6.0
pants,10.80414034852537,244,15.568329279453721,244,4.76418893092835,-3.0
tray,16.620783694335575,242,21.341673145215065,242,4.72088945087949,13.0
toe,5.862960170378906,262,10.54040103078965,262,4.677440860410743,0.0
arm,12.887290690187267,247,17.559687439312277,247,4.67239674912501,0.0
napkin,9.800919312148373,264,14.431448211266098,264,4.630528899117724,-3.0
oven,10.997629986072335,246,15.618246809269145,246,4.62061682319681,0.0
doll,18.53070567760174,204,23.106566355726972,204,4.575860678125231,8.0
ball,10.97405605335491,260,15.512905316378776,260,4.538849263023865,1.0
hat,10.877483430864686,262,15.358469991981975,262,4.480986561117289,1.0
towel,9.858602447276148,261,14.309523651271565,261,4.450921203995417,0.0
chair,7.436798939230313,266,11.763681418306103,266,4.32688247907579,-1.0
paper,13.228687019688213,251,17.478242008841775,251,4.2495549891535624,2.0
pajamas,16.326686509693168,221,20.50172425781059,221,4.175037748117422,12.0
door,7.591417668018941,262,11.653188921863336,262,4.061771253844395,1.0
window,9.545594575745227,259,13.424455576667675,259,3.8788610009224485,-1.0
bed,9.06652228585765,262,12.926206053596522,262,3.859683767738872,0.0
lamp,8.954684558186388,265,12.764202896264115,265,3.8095183380777264,1.0
box,10.173176178653529,265,13.95700250330558,265,3.7838263246520505,4.0
couch,8.06518236964977,264,11.805468256976118,264,3.7402858873263476,1.0
hair,9.820795413345799,255,13.525904496596814,255,3.705109083251015,2.0
refrigerator,9.54344622888487,263,13.21119994505091,263,3.6677537161660396,-1.0
pillow,7.954926571197683,265,11.507185653708003,265,3.5522590825103197,3.0
table,9.474691770098467,265,12.959844954258193,265,3.485153184159726,-1.0
blanket,11.112084365752066,260,14.452713273011973,260,3.340628907259907,8.0
toy,9.670317714432683,266,12.930844362535371,266,3.2605266481026884,4.0
hand,4.758905986152879,266,7.9705675647395,266,3.2116615785866207,0.0
shirt,11.532458966832635,253,14.162452729351115,253,2.6299937625184793,13.0
book,10.493944391528558,258,12.648222239464106,258,2.154277847935548,14.0
