,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.0550159,1.3415022,0.8977172,1.0965058,1.1662211,0.8587725,1.1342767,0.8978872,0.9318078,0.89814097,1.3821985,1.0762082,0.99600714,0.7127079,0.8948824,1.154808,0.9135117,1.3627574,1.1401076,1.0301745,0.80482,1.1174138,1.2285204,0.6394299,1.3718528,1.0753716,1.0987885,1.0113019,1.1904851,0.886867,0.9168093,1.0534302,1.0655694,0.97073156,1.0427144,0.688878,0.90675455,1.1393309,0.56556547,1.273375,0.85890335,1.35988,0.98799145,0.6970135,0.6697966,1.1756161,1.122797,1.034409,1.1697514,1.2069595,0.9919737,1.1971765,1.1076216,1.1267836,0.9244438,0.96128136,0.39652258,0.94633883,1.3299515,0.93298167,1.0468789,0.91180027,1.0297815,0.8389895,0.87615746,1.2929,1.0137739,0.82828826,0.9608216,1.1044955,0.9457713,0.87249947,0.98174214,1.3523293,0.6492699,0.93702215,1.0340409,0.80018955,0.8367543,1.0735446,0.7358848,1.3624238,0.79651546,1.181056,1.3234832,1.0598412,1.1275363,0.9177851,0.8848905,1.005053,0.67380595,0.66973245,1.2991881,1.0889239,1.0424578,0.7671236,1.2936306,0.7433721,0.7978693,0.9965824,0.98295385,1.2276785,1.137471,0.8840173,1.0087267,1.1868048,1.1194823,1.0335058,0.8250706,0.91969836,0.9688344,1.180047,0.9272677,0.94415057,0.77962065,1.0639325,1.1419859,0.9312986,0.8852059,0.8747998,1.3152037,0.84264606,1.1446095,1.0991979,0.906677,0.9283657,0.8982557,1.0183069,0.87828916,0.9521281,1.0195831,1.2277851,1.2314045,1.1403395,0.7672963,1.2077644,0.98649347,0.8588129,0.9374022,1.0544988,1.2586668,1.140024
ankle,1.0550159,0.0,0.90838015,0.88059026,1.186711,1.1026505,1.0157285,1.2605228,1.1123134,1.0908831,1.0715094,0.7990514,0.8523371,1.0460516,1.0870012,0.9605433,1.0954307,1.115098,0.9361628,1.259615,1.1708255,1.0680958,0.74083364,1.0855564,1.0644853,0.8396621,1.0710803,0.88029015,1.0581597,0.8199712,1.0503157,1.0831902,1.0620813,0.90523916,1.233511,0.9776125,0.8802732,1.1739523,0.98754686,0.9899801,0.9668977,1.2024677,0.9261405,1.1863294,1.0619045,0.9996106,1.08813,0.9289806,0.9073075,0.9368886,0.949459,0.92417264,0.64566666,0.97824895,0.98592865,0.5664919,1.1026621,1.1583519,1.1144283,0.78466463,0.84844005,1.0595363,1.0417979,0.8440913,1.101667,0.7806058,0.8912272,1.0957772,1.2511656,0.8698586,1.0904782,0.7551905,1.1224573,1.0911578,1.0247341,0.9888166,1.0416781,1.1606085,0.7215861,0.9386957,0.7936971,0.9714864,0.9726314,0.88859683,0.77452195,0.8209065,0.92523885,0.9698757,0.9936623,1.0100743,0.64387,1.115887,0.95329994,0.96919125,1.0807425,0.9430746,1.1113509,0.940993,1.1995451,1.0860387,1.2665553,0.91089386,0.80469966,0.92196435,0.89115,1.1038568,0.6521026,1.0594028,0.9776098,1.0055352,1.089153,1.1136141,1.2152427,1.0425715,0.8173952,0.8075884,0.57093745,1.1381409,1.1880438,1.1383945,1.1014763,0.81939447,1.1476293,1.031472,0.77083397,1.2758512,1.178486,0.944425,1.190311,1.0828369,0.8689474,0.98915523,1.108548,0.61737,0.77622986,1.0865661,0.9045516,1.1425323,1.1377554,1.1949719,0.9215248,0.87063,1.1307971
apple,1.3415022,0.90838015,0.0,1.3877628,0.7378974,0.64193594,0.94053537,1.0605859,1.3817968,1.1543844,1.4868894,0.36163604,1.425972,0.92277306,1.093853,1.4207981,0.83714235,1.0061933,0.40883064,0.94732577,1.0951084,0.9130558,0.9961477,0.79807216,0.9066667,0.46166193,0.9079019,0.65305567,1.1934922,0.94214433,1.1943533,0.931423,1.3197397,1.2130363,1.3020127,1.2201297,0.8545278,1.176949,1.2331903,1.1423709,0.2564875,1.4222004,0.29451334,1.2911452,1.3046212,1.0726659,1.1413647,1.0942045,1.3098845,0.6859665,0.29549682,1.1925914,0.5340307,0.5153632,0.59155947,1.0750389,0.81487405,0.885627,1.4041154,0.28227627,0.9932488,1.1277992,0.9957935,1.1359472,1.2407004,1.1964638,0.2360704,1.1741635,1.2233528,1.3477186,1.0077413,1.3723205,1.065256,1.345617,0.47936392,1.1331531,1.1190128,1.1001849,1.297836,1.3359206,0.9835405,0.99542606,0.09687376,0.80467796,0.7224792,0.33503103,0.66141486,1.3300991,1.1778549,1.442092,1.3098775,1.3965015,1.0668086,0.34138292,0.55490494,0.6870732,1.229584,0.5929847,1.1806118,1.1759528,1.0737306,1.154011,0.27999854,0.42199433,1.2601254,1.2998092,0.64080393,1.184155,1.1837705,0.68370533,1.2704036,1.1071622,0.9666325,0.71813357,1.386589,1.3628608,1.1392432,0.70611364,1.3806245,1.368381,1.3374279,0.24306595,1.2780582,0.4976623,0.84725505,1.1699103,0.9230832,1.1241173,0.65182126,1.1889153,1.3749721,1.4234031,0.3816917,0.40901816,0.5644667,1.3167496,0.66959006,0.60267156,1.3544166,1.2237977,1.2171636,0.3483066,1.1983159
arm,0.8977172,0.88059026,1.3877628,0.0,1.3136234,1.3592439,1.198749,1.1744788,0.6269572,0.8042836,0.5855272,1.3406838,0.5533267,0.71270466,1.1072907,0.5003187,1.1703603,1.1682119,1.4353492,1.184166,1.0866934,1.2686226,1.1210074,1.3437761,1.1626182,1.4759415,1.2214212,1.2498584,0.7125571,1.2001433,0.91668123,1.1264017,0.7954762,0.62953347,0.9124061,0.88202316,1.2678841,0.95103806,0.91241574,1.0870944,1.4590431,0.8026395,1.4824681,0.8575308,0.82663393,1.1026528,1.0335964,1.1020474,0.6478468,1.1753106,1.3263443,0.6712744,0.9871613,1.4228688,1.3903356,0.86610335,1.3322306,1.379513,0.75338745,1.3382537,0.96414626,0.84680164,1.0891486,0.71220094,0.93847305,0.5033623,1.44174,0.78104246,0.8900617,0.55364954,1.2685504,0.33115858,1.1565263,0.7748171,1.4971566,1.0593743,1.0294684,1.0800247,0.6013619,0.6827927,0.82859635,1.1366596,1.3497782,1.2475117,0.99621487,1.2591105,1.2570484,0.7589186,0.69314194,0.38464856,0.5154444,0.6824988,1.0634127,1.3817258,1.3796283,1.2798082,1.0204352,1.3543334,0.9758468,0.9867966,1.1111757,0.7368058,1.3048482,1.3314826,0.852521,0.8655846,1.1594434,1.033043,0.88030016,1.3926971,0.8678132,0.9748383,1.1888124,1.3889604,0.30935246,0.85197663,0.60871506,1.4256592,0.7866285,0.6806515,0.73494434,1.3692429,0.7988832,1.462767,0.95610994,1.1353194,1.3162587,0.9999221,1.3418796,1.1506768,0.42450732,0.7686117,1.5196096,1.1264532,1.2846855,0.68039566,1.3674207,1.4309274,0.8211318,0.96109736,1.0454191,1.3267567,0.92412144
ball,1.0965058,1.186711,0.7378974,1.3136234,0.0,0.069945455,0.9836052,0.82244337,1.1790068,1.0806189,1.1808434,0.9627644,1.2047216,1.1074772,1.0720419,1.1867092,1.0142403,0.8583667,0.80670273,0.87754357,0.79785514,0.9875203,1.0145328,0.6903156,0.91910446,0.88574076,0.8780971,0.9892982,1.2172413,0.98252904,1.1170293,0.82824945,1.1222242,1.1093422,1.0237963,1.2480257,1.0619311,1.0303779,0.9992495,1.1571748,0.8532922,1.0391233,0.8125928,1.0135741,1.1280209,0.8259779,1.0182424,1.1367905,1.0937078,1.0898174,0.6707751,1.0876733,0.9779857,0.87279177,0.76156086,1.1313496,0.9415341,0.7799129,1.0950923,0.929396,0.91798174,1.1708229,0.782865,1.1162871,1.078366,1.157544,0.74931544,1.1129743,1.0341092,1.1420221,0.8285145,1.2225999,1.0627548,1.0850303,0.8656922,1.1270082,1.011738,0.9101917,1.0966574,1.1904635,1.0549057,1.0690434,0.75653774,1.0472339,1.08788,0.9442277,0.89146066,1.3134356,1.1160276,1.1417321,1.2710509,1.0289198,1.1472396,0.9610921,0.8584059,0.93805426,1.085761,0.88778424,1.0503792,1.023237,0.9887563,1.1411736,0.8083047,0.85151565,1.0247693,1.0853637,1.0846105,1.1527517,1.1317575,0.836671,1.163086,0.9838652,0.7379765,0.9636276,1.2478683,1.0259036,1.2015458,0.8454469,1.2621645,1.1722773,0.9651934,0.90690976,1.0301917,0.81284666,0.8295537,0.8478891,0.94407743,1.0948442,0.6133714,0.9615284,1.2311906,1.1805253,0.6298536,0.942124,1.0566709,1.0999224,0.9104962,0.43601447,1.174079,1.0725468,0.97925115,0.90334797,1.1226107
balloon,1.1662211,1.1026505,0.64193594,1.3592439,0.069945455,0.0,0.98226947,0.84341806,1.2454008,1.1230139,1.2024275,0.81507826,1.1664915,1.1112982,1.1028249,1.1716201,0.9693505,0.8758331,0.68197584,0.9300471,0.8515601,1.0164036,0.9819766,0.606519,0.9254836,0.7246124,0.8879665,0.8886135,1.1637609,0.85072696,1.1079537,0.8466971,1.1721454,1.1290494,1.0945904,1.2749741,1.0594349,1.0912073,0.94627637,1.2053596,0.73848814,1.1042892,0.66620755,1.1059263,1.1105658,0.8561537,1.0369928,1.1019361,1.1275591,1.0250787,0.5875959,1.1406766,0.90574086,0.7694098,0.7158779,1.1356143,0.9517509,0.7882259,1.2118492,0.81554365,0.8670962,1.1567252,0.83213395,1.1308486,1.1743292,1.2089759,0.61058336,1.1501014,1.1103182,1.1285845,0.81389034,1.1960093,1.1298084,1.1247576,0.7668857,1.1518965,1.0260377,0.97534287,1.0921602,1.1696756,1.0656372,1.0990555,0.6655524,0.98603547,1.0074636,0.8736976,0.8117653,1.3240345,1.1563528,1.2088252,1.240387,1.0906036,1.1397052,0.848531,0.82131416,0.8706266,1.1336035,0.7140734,1.1515936,1.1000392,1.0391098,1.1594958,0.6921563,0.7688886,1.0342321,1.1447085,0.97801507,1.1327268,1.148291,0.8051652,1.2388799,1.0672499,0.7864332,0.9088356,1.2533832,1.0829736,1.1235887,0.8557296,1.293509,1.2425737,0.98813224,0.77555996,1.0525855,0.78476,0.73124427,0.9496114,0.98567647,1.1222168,0.62132007,1.0024225,1.2591234,1.1934277,0.59972745,0.8425479,0.9436183,1.2059495,0.78821886,0.4162221,1.2510617,1.124355,0.9785207,0.80052453,1.1347841
banana,0.8587725,1.0157285,0.94053537,1.198749,0.9836052,0.98226947,0.0,1.1776545,1.0215548,1.2120901,1.318376,1.0870769,1.290358,1.1731758,0.7752549,1.2294714,1.070409,1.0455313,1.0827775,0.83837616,1.095068,0.5748623,1.0641155,1.0644667,0.8587771,1.015008,1.1930877,0.523652,1.2740334,1.1430022,0.63992023,1.07793,1.3388443,1.255126,1.0360328,1.1368825,0.41451865,0.9120541,1.1469827,0.58041084,0.94847786,1.2123734,1.0044392,0.9296855,1.1450603,0.9759583,1.2598746,1.1773356,1.2523037,0.8774508,0.6949515,1.2272202,1.0013943,0.8832677,1.0338055,1.0829213,0.84510493,0.7799338,1.1160896,1.1075134,0.94697934,1.2620933,0.9441973,1.2700868,0.7405793,1.0796055,1.0441941,1.1543748,0.9840592,1.2685206,1.0841464,1.2474619,0.80641395,1.2272974,1.0896724,0.75882643,0.15132928,1.0120556,1.0566306,1.1125213,0.9283233,0.687477,1.0651424,0.6466749,1.0741521,1.1235129,0.43202394,1.2327487,1.2758127,1.2643485,1.2322103,1.1670396,0.6655864,1.0266526,0.92964697,0.16347355,1.0649674,0.9933076,0.7838479,1.0492666,0.65543395,1.1227527,0.80645937,0.8697993,0.9925236,1.1178492,1.0361973,1.2864885,1.2256463,0.87611485,0.7326582,0.87597,1.0738835,0.93770486,1.3028464,1.061597,1.1786844,0.9347324,1.2351034,0.9620205,1.1118783,1.0703279,1.1524582,0.5303261,0.8705647,0.7540469,0.7130295,1.0941406,0.74463135,1.1165156,1.3241313,1.1858594,0.81640434,0.9841778,0.8881051,0.94611454,0.89883596,0.93196183,0.88042384,1.1300572,1.1601248,1.0315137,1.248985
basket,1.1342767,1.2605228,1.0605859,1.1744788,0.82244337,0.84341806,1.1776545,0.0,1.029225,1.064312,0.7929514,0.9738015,0.9570335,1.0594516,1.1615866,1.0404408,0.765095,0.63656646,0.737555,0.7701236,0.4936235,1.175079,1.0577328,0.53942347,0.9713253,0.7807101,0.810248,1.1706519,1.1151952,0.67338926,1.1413257,0.8798978,0.7867721,1.148687,0.8903146,0.9674436,1.3698268,0.9755258,0.7697802,1.3385603,0.9747202,0.40995872,0.8481367,0.9317658,1.0750734,0.90905017,0.9183127,0.862655,1.0720067,1.2491684,1.0710737,1.1421838,1.2909813,1.1245556,0.7836857,1.2228051,0.9680845,1.0042853,1.0466242,1.1227102,0.9467149,1.0750434,0.76331323,1.1663702,1.1044286,1.2213006,0.94690746,1.0855529,0.93433046,0.9984834,0.75511515,1.228751,1.0752573,0.9323016,0.8567641,1.2891045,1.0976889,0.8137015,1.1288052,0.88230246,1.216402,1.3294518,1.0450121,1.2253423,1.2121432,1.0975744,1.1684778,0.83408666,1.0988039,1.0587878,1.2300143,0.96098894,1.2621889,1.0201713,0.99280417,1.1665751,0.9825438,0.89078975,1.1146756,0.94894224,0.8676529,1.0311327,1.183444,1.088527,0.8370571,0.81391394,1.2526803,0.6738353,1.1309818,0.98857397,1.1204209,0.9588016,0.8082031,1.0288913,1.1854445,0.9952648,1.222847,0.864231,0.9930692,1.0411503,0.87757415,1.0432445,0.9097425,1.0966406,1.0330156,0.9662296,0.97046846,1.2618957,0.8757515,0.6507091,1.1785042,0.7127001,0.8092076,1.2673062,1.0694382,1.0488018,0.9911417,0.5844027,0.90479076,0.99002826,0.8264416,1.1112087,0.90120643
bathtub,0.8978872,1.1123134,1.3817968,0.6269572,1.1790068,1.2454008,1.0215548,1.029225,0.0,0.8579544,0.60310143,1.4388427,0.70870435,0.9156126,1.1374068,0.7911858,1.3519251,1.0987422,1.4754653,0.51461214,0.9447191,1.0283586,1.2637924,1.2782925,1.1277412,1.5281857,1.2356101,1.3053653,0.9216225,1.304934,0.8430579,0.957987,0.7765372,0.8481774,0.63670313,0.95484614,1.116043,0.8697012,1.0375026,0.94841915,1.4673564,0.6347775,1.4498785,0.42473435,0.9665164,1.1506224,0.92559195,0.9541857,0.99990004,1.3531344,1.4049222,0.8393539,1.378523,1.4051414,1.4747843,1.2023681,1.1836638,1.2383568,0.7318908,1.4698724,1.3651161,0.8643337,1.1353323,0.97139555,0.71846205,0.9627273,1.4543278,0.8288169,0.8756567,0.7957847,1.1128323,0.8341056,0.9742819,0.74637294,1.3960721,0.9543609,0.8796356,0.9597808,1.0165732,0.9385808,0.9686941,1.0099816,1.3264171,1.2832599,1.4139684,1.3402991,1.2500625,0.6955147,0.8550837,0.71364623,0.9482084,0.6960603,1.0847967,1.5191506,1.4173948,1.2562267,0.95922023,1.4174601,0.76557434,1.0025299,0.42539608,0.743999,1.3726282,1.4307034,1.1170702,0.74051875,1.3026104,1.0381694,0.6609283,1.3613031,0.743401,0.5749203,1.1183381,1.4013587,0.78713346,0.9463934,1.1397318,1.2006323,0.7253432,0.029437304,0.62954605,1.4238079,0.7785608,1.2767637,1.3317267,0.72202444,1.1202236,1.0129834,1.1363307,1.1947043,0.846693,0.53148884,1.3281649,1.4498148,1.3785357,0.6824538,1.4938921,1.2690241,0.27271402,0.9614061,1.1151422,1.5362345,0.9358721
bear,0.9318078,1.0908831,1.1543844,0.8042836,1.0806189,1.1230139,1.2120901,1.064312,0.8579544,0.0,0.5689659,1.1828148,0.8110563,0.7845222,1.0782589,0.7032194,1.0810676,1.0822628,1.2797568,1.1033498,1.1357504,1.2360185,1.1802481,1.2247556,1.0014058,1.304731,1.0159688,1.2258923,0.649376,1.1544304,1.0477085,1.0087423,0.89239,0.89817303,1.0793573,0.9201082,1.2420657,0.90514237,0.9465025,1.1615825,1.1788497,0.7625787,1.2844894,1.0690945,0.75356233,0.96031094,0.9696322,1.1277156,0.8891473,1.0302219,1.1903169,0.8927493,1.0610832,1.1863507,1.1840932,0.95992875,1.157917,1.1112419,0.9962842,1.1406912,1.0650631,0.7052486,1.0801442,0.88769555,1.0730323,0.83514607,1.2047083,0.88118136,1.0185086,0.87281835,1.2082951,0.7542995,1.177712,0.98324895,1.1377068,1.059223,1.1376276,1.0621918,0.9966418,1.1446011,1.0351113,1.1214608,1.0977224,1.1636391,1.142679,1.0708239,1.2214866,1.019121,0.17238605,0.62490416,0.94527036,0.8552817,1.0892217,1.1599549,1.152453,1.2693301,0.91317576,1.1285613,0.8952194,1.0831045,1.0683068,0.89988357,1.189765,1.1584876,1.0732164,0.96875,1.175225,1.0621412,0.8175452,1.2088354,1.1098579,1.0342208,1.0837266,1.1629468,0.8906802,0.89351326,1.0228335,1.1942921,0.83066404,0.93276256,0.7112785,1.1189309,0.8416987,1.2399741,1.124918,1.1232761,1.1874661,1.1026706,1.0946839,1.0823517,0.84233564,0.91270846,1.244795,1.0804389,1.2050877,0.9785658,1.2204866,1.1269106,0.99948114,0.85347605,1.202451,1.0761049,0.8242694
