,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
couch,0.7749678,1.0867877,1.1967117,0.44595915,1.1749009,1.3798321,1.4146088,1.3632317,0.6306347,0.08103824,1.3079305,0.21095377,0.5789288,0.86972046,0.33157396,1.3746363,1.2330475,1.44089,1.0716456,1.004962,1.4000247,1.3086487,1.2344884,1.3968011,1.0501918,1.1134223,0.87465227,0.82932764,0.9807685,1.3352808,1.1718892,1.1117591,0.88813055,1.2290474,1.1238465,0.0,1.0384452,1.5041707,0.4423412,1.4465977,1.0046983,1.0425379,0.8839448,0.824919,0.8153812,0.61477625,1.3485866,0.76407206,0.5756086,1.2254103,0.82155585,1.3773507,1.3716099,1.221146,1.4206825,1.2049698,0.65464866,1.4304812,1.0389376,0.8629065,1.41278,0.75039846,1.0526289,0.87403786,1.3583078,0.80778253,0.5034896,1.270848,0.4294936,1.4366376,1.0342587,1.3675675,1.2985919,1.0516659,1.0255961,0.9348521,0.9279627,0.5779605,1.3202047,1.3328733,1.1709577,1.4431716,1.2895766,1.3134041,0.6934575,1.0047947,0.5215628,0.91010875,0.7830013,0.90525,1.4333495,1.431126,1.1044953,0.7052398,1.3924001,1.3497795,1.2624459,1.1437391,0.79861295,1.2108331,1.2603557,0.98189175,0.7190149,0.94228506,0.9307218,0.6895549,1.31244,0.5158064,1.0595622,0.9594082,1.1146226,0.62724984,0.62062514,0.49713993,1.4460938,1.4724758,1.1992044,0.8556337,1.2634429,1.2832723,1.049311,0.7288661,0.5457734,0.38333356,1.4171991,1.2804868,1.4042045,0.95072544,1.2673287,1.0771954,0.92017436,1.0717024,1.0213538,0.51579213,1.3790853,0.87078744,0.58840305
cracker,0.8818295,1.0222465,1.2346631,0.98559046,1.1143667,1.2623248,0.6553676,1.2576619,0.98638564,1.0740627,1.3234737,1.0540153,0.97151697,1.0060589,1.066728,1.287225,1.1962628,1.3571843,0.79767555,1.1240075,0.34841228,1.198391,1.1962383,1.38959,1.3405051,0.8080888,1.2676975,1.2942287,0.54229224,1.154257,1.1190192,1.2554781,1.0894278,0.3887592,1.1091238,1.0384452,0.0,1.3116373,1.1217601,1.3362963,0.8893476,1.1608651,1.0155349,1.1338423,1.0433298,1.1093903,1.0187217,1.1405395,0.95523673,1.034187,1.1432153,1.2167482,1.1396945,1.0271157,1.2642658,0.9491499,0.92680264,1.3554919,1.0367748,1.1835897,0.7245854,1.0200253,0.3125131,0.88032037,1.0675038,0.9926133,1.0072395,0.9800915,1.0754691,1.2428033,1.0937657,1.340769,1.1723311,0.7016367,0.777357,0.9683963,0.94652563,1.1040555,0.47932255,1.2127451,1.0492953,1.2254341,1.1005243,0.7890626,1.0204057,1.0054533,1.1175998,1.0730236,1.06068,0.33869195,1.2727952,1.264551,0.4121884,1.2259047,1.0468721,1.2059383,0.7270264,0.85978615,1.0124335,1.0841444,0.6707059,1.2170928,0.90112585,0.550544,0.5847951,1.0190682,1.18206,1.0472476,0.9841201,1.1325479,0.7555653,1.1255523,0.9701527,0.99015856,1.2648749,1.1262068,1.2557776,0.7837535,0.8629876,1.1908567,0.51234657,0.9902657,1.1613017,0.88189226,0.94878733,1.1069858,1.1527073,0.94474673,1.23841,1.0596719,0.9212403,1.0968122,1.2172077,0.98301417,1.2226411,1.2515132,1.1044757
crayon,1.1892583,0.8254821,0.4084921,1.4849617,0.7428607,0.46256858,0.7204357,0.47936535,1.3909094,1.5036991,0.39949208,1.5166217,1.382254,1.1604255,1.525601,0.53039837,0.47516054,0.18401748,1.2286884,0.97766954,0.935014,0.5694957,0.818021,0.33016205,0.8424088,0.6138433,1.1010699,1.1047175,1.2830324,0.6035301,0.7711123,0.7542913,1.1725936,1.1696731,0.9664837,1.5041707,1.3116373,0.0,1.4502656,0.30714953,1.2521582,0.9148843,1.1006827,1.2374194,1.2691574,1.4674027,0.5628933,1.2360001,1.4273915,0.7189264,1.1399798,0.3513769,0.5515524,1.0625836,0.39507836,0.7794138,1.5251414,0.2880395,1.170731,1.1382719,0.7092625,1.3554156,1.181542,1.2930856,0.6787047,1.1735003,1.3962853,1.077394,1.4771001,0.22316468,1.0093892,0.35651553,0.5263415,1.1377869,1.0864352,1.2180123,1.3209498,1.3971798,0.98834133,0.3107409,0.7429087,0.45929766,0.75510573,0.88522416,1.4251041,1.1007698,1.5072854,1.2564511,1.0786858,1.3896289,0.19809192,0.18700707,1.0330727,1.0251069,0.56939685,0.5274332,0.86647904,0.8737175,1.3163309,0.6548562,1.0266446,1.0431156,1.3210564,1.3914876,1.348398,1.4256587,0.5515559,1.5073175,1.1754744,1.1558945,0.9901083,1.2543867,1.4393771,1.3508097,0.32591677,0.4440837,0.82589465,1.2902131,0.8594048,0.7690856,1.2106915,1.3219247,1.4476306,1.5755868,0.5809101,0.6081844,0.29930472,1.0782967,0.4843235,0.77073646,1.0635834,0.9632282,1.016352,1.3837755,0.33279938,1.1095033,1.333245
crib,0.840085,1.2485263,1.2174618,0.63537025,1.1730677,1.345525,1.3995152,1.1117514,0.6484271,0.30141848,1.2796291,0.42141318,0.62923795,1.0177199,0.5282918,1.2876868,1.1321212,1.3621566,1.0179087,0.8156197,1.4201313,1.1714227,1.1778381,1.2816824,0.92969507,1.2212061,0.88336635,0.67283225,0.9826484,1.1666752,1.0147675,1.1098111,0.6989173,1.2306049,0.9519296,0.4423412,1.1217601,1.4502656,0.0,1.3867503,0.9296413,1.0966395,0.93042636,0.5552592,0.57735205,0.6665523,1.4073827,0.73946947,0.79697484,1.3902469,0.7428744,1.3564198,1.2683976,1.1997545,1.2608408,1.1920244,0.7699379,1.4336544,1.0343966,0.8069119,1.3970692,0.8744152,1.0963999,1.0465989,1.3953311,0.91381705,0.63686407,1.1457561,0.68983984,1.3335898,0.90232515,1.2984067,1.2877263,1.1829333,1.0490714,0.8851767,0.97115934,0.63036233,1.3043213,1.443125,1.0997763,1.4628388,1.3020037,1.391476,0.5323702,1.0449216,0.58719265,0.89564586,0.7892158,0.8848697,1.3343607,1.3423035,1.0946497,0.9277702,1.267086,1.2776344,1.1299596,1.3474305,0.8560949,1.155874,1.2262326,0.62498385,0.8767568,0.89982814,0.879159,0.82406044,1.221028,0.711746,1.0439469,1.0834175,1.104423,0.5412658,0.63098407,0.50788385,1.5096412,1.3762652,1.215853,0.96713424,1.2875887,1.111181,1.1020916,0.9084421,0.66657233,0.48349035,1.3765024,1.4670715,1.4633532,0.8969111,1.2153084,0.9426941,0.8266953,0.9959936,0.78749907,0.66308725,1.4861269,0.61402357,0.82575303
cup,1.2610692,0.8933828,0.45834124,1.4030138,0.7084445,0.3836782,0.79842746,0.50563186,1.2803714,1.4760712,0.42058563,1.4502358,1.3934705,1.2198069,1.5148698,0.6652851,0.6557854,0.15288138,1.022023,0.83030236,0.96220005,0.65338993,0.46311677,0.22592258,0.8981354,0.75105476,1.0449427,0.8945254,1.2695198,0.61306417,0.7642839,0.65729755,1.1836526,1.0797031,0.97998744,1.4465977,1.3362963,0.30714953,1.3867503,0.0,1.096521,0.8438653,1.0861328,1.1079503,1.2196069,1.3891505,0.70944744,1.1937342,1.3794216,0.793705,1.2060976,0.50085974,0.60767746,0.9960524,0.63857406,0.9178895,1.3027653,0.3857813,1.1044724,1.139011,0.81237674,1.3058095,1.2195561,1.2653902,0.56362474,1.2874715,1.3701439,0.82248586,1.4530195,0.5862408,1.0782572,0.3817321,0.6194603,1.0897429,0.9541093,0.97934186,1.2314074,1.3569702,1.0509245,0.42117953,0.76082283,0.58632433,0.77871644,0.7624747,1.2928419,1.1677485,1.4673448,1.2246866,1.1195756,1.3698264,0.5713099,0.5562486,1.0796288,0.95526713,0.6412778,0.6105054,0.8481946,1.0389929,1.1730629,0.8215818,0.9900162,0.8949079,1.2879676,1.4366441,1.3250957,1.3901675,0.7738506,1.4067444,1.0946923,1.0334058,1.0397228,1.207668,1.33726,1.3558534,0.45141852,0.49999487,0.7094243,1.283394,0.94776857,0.8575022,1.146318,1.2271821,1.3931298,1.4539038,0.6067774,0.70815694,0.6039447,1.1791924,0.51087254,0.84699726,1.0137941,1.0181795,1.0619972,1.2922201,0.45304996,1.0683864,1.319917
dish,0.89938223,1.14804,1.1944005,0.9957496,0.9256495,1.0733393,0.97433764,1.1378809,0.65293294,0.9730328,1.2066578,1.0054857,0.9139808,1.044364,0.9855039,1.2120167,1.0024105,1.2818396,0.17006159,0.9315766,1.0108632,1.0994077,0.85325205,1.2435967,1.0901259,1.1759331,1.1674666,1.0748765,0.8119022,1.0394851,1.1583228,1.0887398,1.024319,0.83662975,1.0914319,1.0046983,0.8893476,1.2521582,0.9296413,1.096521,0.0,1.1748184,1.1699963,1.1075456,0.9721935,1.0622631,1.2268741,1.0689734,1.058771,1.2294382,0.98730147,1.2037805,1.1095606,0.92306536,1.2309028,0.99494237,0.8057779,1.2943933,0.8488411,1.1132132,1.0474428,1.1026101,0.88174695,1.0134155,1.03091,0.9988469,0.98185617,0.8483919,1.0264703,1.0910175,1.2764246,1.150824,1.2498747,0.97540575,0.9867488,0.84733224,0.800738,0.9611857,1.1264269,1.2961646,0.8411731,1.2639245,1.1932389,0.99910694,0.97948927,0.98845065,1.0472431,1.0050995,0.67777663,0.75567305,1.1663042,1.1503171,0.98125535,1.166568,1.1274667,1.2292149,0.3959036,1.1371522,0.975877,1.0979576,0.9616037,1.1499299,1.0460765,0.86054975,0.7863517,1.0211542,0.8725022,0.98577,0.85639244,1.1080451,0.9360929,1.0524783,0.45887417,0.84622335,1.2473621,1.2421603,1.0420272,0.868961,0.81938,1.0577703,0.8044652,1.1434629,1.040859,0.6296309,0.9194192,1.2833207,1.2768823,0.64130366,1.0775169,1.0122563,0.6422759,1.0890245,0.99090284,1.0468897,1.2465967,1.0458016,1.0831709
dog,0.9625392,0.93191004,1.0102966,1.3040935,1.1009846,0.81061816,1.1145463,0.70410275,1.2831621,1.104442,0.6259868,1.0313023,1.2625453,0.81011736,1.0333098,0.80907583,0.9673689,0.8024633,1.1874468,1.017607,1.1005346,0.9470109,0.8334596,0.6084986,0.758348,1.1902486,0.42856312,0.89177996,1.2847667,0.9563444,0.74241257,0.6610123,0.99641687,1.061664,0.82174456,1.0425379,1.1608651,0.9148843,1.0966395,0.8438653,1.1748184,0.0,0.7695018,0.96595675,1.0269104,1.1592548,0.8944354,1.112431,1.0122875,0.92566335,0.9328351,0.62350166,1.0154831,1.049775,0.69985807,0.7557534,1.1504879,0.67649585,1.0803847,0.9976972,1.0905406,0.919453,1.236899,1.1431367,0.68607175,1.007551,1.140221,1.0143896,1.1426723,1.0906079,0.8213204,0.7886023,0.83307564,0.9502713,1.1039225,1.1865224,1.1022815,0.99954385,0.78219193,0.83836514,0.98155475,0.7730528,0.84220713,0.99561924,1.0901042,0.87515724,1.161838,1.0964875,1.175959,1.309581,1.1248963,1.1336,1.3281736,0.42619085,0.92478824,0.5929181,1.2781749,0.9702499,0.674247,0.87182593,0.8164068,0.9290816,0.72690576,1.1829025,1.2235756,1.1447519,0.874619,1.0387021,1.1487917,0.73589545,1.0835403,1.1111926,1.3558561,1.2694244,0.7228148,0.99073,1.0271951,1.0285909,0.923533,1.1006405,1.2316294,0.55273175,1.0372846,1.2501285,0.98851806,0.8918929,0.8945943,1.3669761,0.76026106,0.8917309,1.2741437,0.9838693,0.9390592,0.98148304,0.7985026,1.045151,1.0700122
doll,0.84363204,0.6360114,1.1302605,1.036535,1.0069139,1.0641394,1.1051679,0.8601707,1.305104,0.9004114,1.040099,0.9784626,0.7869946,0.8737904,0.87138706,1.0486277,1.0261735,1.1002405,1.2724032,0.82727134,1.0340929,1.1503042,0.98448676,1.0196193,1.0393969,1.0356529,1.1604129,1.0450369,1.0660099,1.2039113,0.77681446,1.0944011,1.186301,1.0325221,1.1143551,0.8839448,1.0155349,1.1006827,0.93042636,1.0861328,1.1699963,0.7695018,0.0,1.0389022,0.99817616,0.79504514,0.833704,0.93220514,0.8427697,0.85567605,1.0492203,1.0771704,0.9753819,0.93067276,1.1314899,0.62287456,1.0653027,1.1020585,0.91009045,1.2699164,1.0312248,0.7870562,1.1256708,0.9007448,0.87513673,1.18823,1.1104884,0.99158144,1.0446094,1.1020575,0.75668997,1.2711,1.043706,0.8730271,1.0702987,0.91322577,0.88035,0.86857766,0.87288827,1.022424,1.0726899,0.9749705,0.88232005,1.1558104,1.1265751,0.67100537,0.80246603,1.0272493,1.0838052,1.1250676,1.0936811,1.1002153,1.0484778,0.86386573,1.1346033,0.8692219,1.3019712,0.82785857,0.7600645,1.1496258,0.9567245,0.91805166,0.74935836,0.98415774,1.0614072,0.86353135,1.0413496,0.7956766,0.9555536,0.81956744,1.0114095,1.1959901,1.2862183,1.1063453,0.9574983,1.0906625,1.0165323,1.1024102,1.000546,1.0966161,1.0839952,0.6915846,0.9424954,1.0550987,0.9540266,0.82433176,1.0053385,1.0581685,0.9789522,0.48133802,1.1975819,1.1504298,1.0715684,0.81771815,0.8963918,1.2523435,1.0653924
door,1.0515703,1.2051146,1.1277702,0.9571776,1.2009232,1.0942189,1.2989293,1.031899,0.8681079,0.8432749,1.0616744,0.620833,1.1504296,1.1078093,0.96809024,1.002898,1.1875976,1.0920467,1.1580493,0.88939786,1.2579119,0.9965602,1.1141802,0.9994039,0.9164566,1.1584939,0.89110076,0.66408616,1.1421796,0.8949781,0.78198427,0.88530946,0.8478633,1.1477382,0.8287006,0.824919,1.1338423,1.2374194,0.5552592,1.1079503,1.1075456,0.96595675,1.0389022,0.0,0.3945043,1.0237362,1.2531487,0.9109107,0.99512476,1.1932791,0.9859271,1.113474,1.1293341,1.0776548,1.0070294,1.1485306,0.9530167,1.1595452,1.1062481,0.73664355,1.2712858,0.94095063,1.2084699,1.0367128,1.1697985,1.0253865,0.9560637,0.984892,1.0441494,1.1598719,0.6397296,1.0280228,1.1061797,1.1719722,0.9322127,0.76084363,1.1104825,0.9955851,1.1314714,1.2426074,0.98760635,1.1521251,1.1658471,1.1409626,0.54224575,1.1872134,1.0280312,0.9823118,1.0768229,1.0912875,1.1651046,1.1837178,1.0381658,0.92567015,1.0722891,1.0130427,1.2846148,1.1825187,0.929292,0.9934146,1.1039904,0.2973557,0.88578695,1.1321341,0.9884668,0.9726876,1.1079768,0.94419515,1.0824265,0.94099456,0.9737605,0.64493334,0.9123167,0.9534339,1.2749009,1.0835577,1.1346601,0.99734414,1.0230099,0.7637249,1.0613459,0.88751847,0.9187285,0.7831845,1.2162071,1.2573764,1.316842,1.0018954,1.0891477,1.1375872,1.1318274,0.8434932,0.78671944,0.5780219,1.2564899,0.640671,0.9139692
drawer,0.987944,1.1144558,1.2817901,0.93552244,1.2512884,1.1795079,1.2958966,1.0017946,0.7039167,0.8244455,1.0796325,0.5821859,1.0560534,1.1028813,0.9300248,1.0809726,0.99494046,1.2730184,0.9668467,0.7696763,1.2520268,1.098346,1.0096669,1.1194941,0.96401584,1.1022902,1.0294505,0.8336,1.0731672,0.97470415,0.98466253,0.9356067,0.7600236,1.1228868,0.92697465,0.8153812,1.0433298,1.2691574,0.57735205,1.2196069,0.9721935,1.0269104,0.99817616,0.3945043,0.0,1.0257465,1.2577615,0.9430326,1.0029022,1.1420538,0.9644359,1.1431171,1.2879932,1.1175673,1.0286925,1.0817543,0.8153131,1.2715555,1.1309572,0.84593934,1.3037351,1.0427448,1.1412231,0.9696238,1.2521029,0.9541994,0.9984943,0.89707994,0.9631692,1.1278166,0.7772412,1.1303227,1.1620723,0.98693687,0.9808779,0.8273269,1.0868344,0.88305503,1.0805187,1.3444552,0.99342346,1.1914706,1.1814224,1.1584183,0.4338739,1.0744631,1.0142518,1.0318482,0.9661174,1.01206,1.1604135,1.1871843,1.0178977,0.92698157,1.2523296,1.1803863,1.1124673,1.1124549,0.9086442,0.8860924,1.0379919,0.5533564,0.83818674,1.0371021,0.8402145,0.9759931,1.1287069,0.9845011,1.0867989,0.97763187,0.81346333,0.7452671,0.73280954,0.8687734,1.3131226,1.2249852,1.1685541,0.90073603,0.82764,0.8773593,0.98459595,0.8445809,1.0147758,0.6503345,1.0965544,1.2833803,1.3220731,1.0054823,1.1391704,1.0106819,0.8710983,0.93759334,0.88679147,0.6646244,1.2560177,0.8422804,0.956561
dress,0.9351176,1.0079516,1.2378738,0.36523134,1.2385365,1.3707082,1.374275,1.2994652,0.8139431,0.55716884,1.2859114,0.70943356,0.346332,0.85612774,0.38208896,1.2508034,1.3072294,1.4073153,1.1362077,1.0383009,1.2158879,1.2320478,1.1900599,1.3631153,1.1544209,1.2838542,0.9502108,0.99655837,0.961596,1.3618426,1.2005428,1.258256,0.98275524,1.195948,1.1479043,0.61477625,1.1093903,1.4674027,0.6665523,1.3891505,1.0622631,1.1592548,0.79504514,1.0237362,1.0257465,0.0,1.2037554,0.50344294,0.745088,1.0957972,0.91432685,1.4501033,1.1817015,0.9864339,1.3710225,1.2432772,0.821177,1.4000479,0.90176135,0.94109064,1.3030481,0.6990101,1.0416111,0.78291285,1.3493139,0.9231603,0.7008112,1.1590601,0.45647466,1.3845873,0.993536,1.4336573,1.1849246,0.9548763,1.1145463,0.9857868,0.8302238,0.6962636,1.1300603,1.346847,1.2636172,1.1753495,1.1250515,1.2783208,0.85792124,0.7340691,0.059347153,0.5537072,0.88522476,0.9316865,1.338141,1.3497206,1.20353,0.93896997,1.2681625,1.3225651,1.2770822,1.1413983,0.8234982,1.292202,1.1331747,1.0420719,0.94639456,0.8296195,0.9835913,0.46606588,1.2952709,0.38271427,0.9142556,0.71162057,1.1633302,0.797984,0.8220765,0.68364626,1.3552568,1.3118498,0.9797401,0.9513713,1.2959731,1.1680697,1.105919,0.87768245,0.30151844,0.7377387,1.3883584,1.1934122,1.3029231,0.91045797,1.2577958,1.1258142,1.0717425,1.065733,1.0583826,0.8966115,1.2875406,0.9900761,0.6261296
egg,1.2000109,0.49878776,0.70911664,1.2543995,0.78465843,0.6661628,0.75447094,0.9159436,1.281039,1.384449,0.7727869,1.4160624,1.156276,0.9574658,1.3168612,0.6712718,0.9874779,0.6616731,1.210212,1.1929835,0.6725844,0.9246634,1.0416067,0.70819306,1.163993,0.6311905,1.0699574,1.2864678,1.1724949,0.86572504,0.8382053,1.0043932,1.2715483,0.96356416,1.0078195,1.3485866,1.0187217,0.5628933,1.4073827,0.70944744,1.2268741,0.8944354,0.833704,1.2531487,1.2577615,1.2037554,0.0,1.1085087,1.1399134,0.43899107,1.1820315,0.7700796,0.81257635,1.0186445,0.7447633,0.9288281,1.3170767,0.54739857,1.1812062,1.1154889,0.7230172,1.012533,1.0548619,0.9488207,0.8043932,1.1064062,1.3338518,1.0960437,1.3011314,0.74633664,0.87974346,0.67315453,0.66167414,0.85148495,0.85316974,1.2040336,1.1919017,1.3584495,0.7026878,0.3442396,1.098602,0.49281043,0.4973334,0.63210225,1.4152677,0.99123454,1.2265248,1.1837143,1.2574422,1.2308668,0.7586478,0.7454244,0.8254162,1.093576,0.8974288,0.71254045,0.9942484,0.5234256,1.3230532,0.8999206,0.90631884,1.2081573,1.2088209,1.2163651,1.1921685,1.1796352,0.93929464,1.240891,1.1919678,0.9992367,1.1361142,1.2896562,1.3323492,1.296797,0.55040175,0.65119517,0.9870142,1.1960087,0.93982655,1.0232291,1.0779138,1.0525247,1.1999866,1.4603627,0.69275016,0.32887626,0.40796888,1.1133338,0.91082907,0.95382375,1.2826985,1.0868969,1.2548087,1.2657955,0.4519471,1.2518167,1.0496898
elephant,1.021383,1.091673,1.008217,0.7633747,1.1374843,1.1921314,1.2007537,1.1491153,0.824312,0.65984666,1.1689689,0.79516494,0.7221444,0.98999923,0.64853966,1.2103311,1.2263087,1.162422,1.0800061,1.0335083,1.134149,1.1272404,1.1843952,1.1929597,1.0594221,1.1556298,0.8839077,0.9725745,0.9779497,1.1978179,1.1265416,1.1848555,1.0017223,1.1231241,1.0269207,0.76407206,1.1405395,1.2360001,0.73946947,1.1937342,1.0689734,1.112431,0.93220514,0.9109107,0.9430326,0.50344294,1.1085087,0.0,0.9701019,1.1314056,0.77883065,1.2448269,1.0693065,1.1019832,1.2339294,1.2279042,0.87350935,1.2026201,1.0372938,0.7732873,1.1635996,0.92933017,1.0808244,0.99364376,1.3027645,0.94958216,0.7914757,1.137723,0.83668756,1.2549841,1.0713482,1.1345282,1.1455911,1.0194815,1.054383,1.0470803,0.99940693,0.814208,1.1415906,1.156325,1.1848325,1.1103778,1.0716856,1.2238092,0.92638826,0.87730765,0.5248704,0.8299073,0.93939185,0.97166383,1.1945734,1.2088821,1.0917783,1.0982401,1.1085043,1.1404074,1.1207097,1.2003335,0.9338677,1.2574944,1.0814418,0.9236012,1.0583922,1.0011082,0.9756816,0.8228163,1.1161195,0.8411385,1.0295857,0.9632648,1.2286788,0.79029965,0.853435,0.7692114,1.2351439,1.1593497,1.0471277,0.999704,1.2911807,1.0096557,1.0243925,1.013553,0.61765003,0.8549955,1.2132413,1.1581914,1.1676096,0.99855125,1.1971362,1.0937161,0.96537614,1.0285096,1.0029775,0.9109382,1.186607,0.88814545,0.8182535
face,0.85474,0.97860825,1.139873,0.60188234,1.0369099,1.315708,1.2500703,1.3748046,0.86010367,0.60444796,1.311913,0.74499786,0.7584959,0.88471687,0.6868127,1.152486,1.332393,1.3476137,1.0888805,1.1759809,1.2658737,1.2007414,1.2059609,1.2870822,1.0564399,1.0617774,0.88965625,1.0849823,0.96662396,1.2266791,1.1752316,1.182678,0.875707,1.1044872,1.0231456,0.5756086,0.95523673,1.4273915,0.79697484,1.3794216,1.058771,1.0122875,0.8427697,0.99512476,1.0029022,0.745088,1.1399134,0.9701019,0.0,0.9949394,0.84037346,1.2654128,1.201835,1.0982273,1.3096677,1.0687124,0.6366965,1.2009027,1.0695136,0.94017804,1.3021438,0.25312543,0.9880943,0.73380876,1.1742823,0.916785,0.7880763,1.1425548,0.63539636,1.4100511,0.99629784,1.2585497,1.1403917,1.0450262,1.0081877,0.9419394,0.9692796,0.7180151,1.1631032,1.0859764,1.2798829,1.2125237,0.88711303,1.0661294,0.83812684,0.9385898,0.69308233,0.93527716,0.93333703,0.9365926,1.3952763,1.3884507,1.1201813,0.95936996,1.2998167,1.1788597,1.2328718,0.86488235,0.9970154,1.1785778,1.1164638,1.1567265,0.7089216,0.83710635,0.9212078,0.7404239,1.3027456,0.60438836,1.0822029,1.0058585,1.1052195,0.917132,0.85242695,0.8210013,1.2866673,1.3308275,1.2543098,0.8798871,1.1539273,1.2259387,0.95121175,0.6271954,0.773885,0.7717005,1.3092498,0.91733867,1.1871468,1.002167,1.327776,1.157649,1.0797243,1.1014572,1.0272446,0.82622623,1.2562655,0.9284569,0.6681819
finger,1.1099213,0.5576687,0.94891214,0.95381474,0.98102653,0.8677871,0.9343855,0.9954648,1.2476368,1.325434,0.77241856,1.2744346,1.1045454,0.91319776,1.2321179,0.72478473,0.97501063,0.86864406,1.2549284,1.1880449,0.76548934,1.0277342,1.0312505,0.82053244,1.2872287,0.6137379,1.0614228,1.1996044,1.1851966,0.98044086,1.044264,0.9997816,1.1350651,1.096804,1.0314054,1.2254103,1.034187,0.7189264,1.3902469,0.793705,1.2294382,0.92566335,0.85567605,1.1932791,1.1420538,1.0957972,0.43899107,1.1314056,0.9949394,0.0,1.2810352,0.87676364,0.9813665,0.8533273,0.7012509,1.0477618,1.2485789,0.6727992,1.0152403,1.160235,0.85245174,0.87221175,1.1301581,0.38342023,0.96825564,1.0968971,1.3407066,1.1139126,0.9872233,0.8270898,0.7986233,0.9726324,0.64610875,0.7220334,0.8309802,1.185434,1.0311944,1.3269795,0.7970648,0.5762654,1.0796026,0.50162137,0.5074116,0.67700565,1.332267,1.0737938,1.1353499,0.9893429,1.1247692,1.2911248,0.84182453,0.83172214,0.88055974,0.95949936,1.0908494,0.80423,1.2213308,0.415433,1.2087588,0.88867104,0.7977863,1.2580558,1.0839798,1.263394,1.217859,1.081299,0.99174625,1.0999842,1.043767,0.77021915,1.077133,1.3075843,1.2830765,1.3105564,0.6448537,0.84318453,0.83102584,1.1760828,0.8860149,1.0769122,1.0672446,0.88889486,1.1151686,1.3828499,0.9272334,0.20438147,0.48125273,0.94606733,1.0124247,1.1136457,1.3227534,1.0333351,1.3186685,1.2173154,0.49454278,1.197836,0.9465873
firetruck,0.89976454,1.0959014,1.0127665,1.0039765,1.0669382,1.1107585,1.1629966,1.0132922,0.9261614,0.746733,1.1153122,0.87657464,0.96868604,0.757812,0.8257188,1.1534234,1.0190163,1.079799,1.0569606,0.9665656,1.2764857,1.1094282,1.1355563,1.1031498,0.72403336,1.1510856,0.7809321,1.0742131,0.9914806,1.089317,1.0088441,1.084576,0.80300313,1.1790677,0.793767,0.82155585,1.1432153,1.1399798,0.7428744,1.2060976,0.98730147,0.9328351,1.0492203,0.9859271,0.9644359,0.91432685,1.1820315,0.77883065,0.84037346,1.2810352,0.0,0.9993897,1.0085083,1.1218933,1.0743841,0.979639,0.8482908,1.0802113,1.0479449,0.8112465,1.1560508,0.96589416,1.0159593,1.2434096,1.1722741,0.8989676,0.8338904,1.0123315,0.8611715,1.1644069,1.0043442,1.0104263,1.0873278,1.1624284,1.1903404,1.0370145,1.0023327,0.67375535,1.2013303,1.1050045,1.1247622,1.2566167,1.1569986,1.2303035,0.92946637,0.8929156,0.86682624,1.0203017,0.87890893,0.99340117,1.1346896,1.1371932,1.1853677,1.06707,1.0668013,1.0152448,1.0604255,1.1628698,0.9588744,1.1153433,1.2396839,0.95408404,0.8002276,0.8477528,1.0064174,1.0128074,1.0119238,0.9154713,1.0657364,1.1164049,1.132127,0.8995937,0.94847053,0.87380457,1.0988536,1.090413,1.2190897,1.0028641,1.2111285,1.0582433,1.10804,0.9386874,0.88272196,0.91898215,1.087936,1.2288498,1.1058211,1.1949747,1.0824816,0.9093735,0.9498641,1.1070254,0.7897824,0.95276225,1.1689607,0.93791294,0.9273174
