,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,0.9916181,1.4344375,0.5110999,1.5596102,1.3423767,0.8693857,1.1667571,0.65510744,0.6532903,0.6223168,1.3641596,0.5726455,0.66291255,0.8993634,0.74607325,0.8112824,1.2218114,1.5694337,1.3753259,0.8988139,1.2190424,1.1303052,1.1589364,0.8874331,1.3417925,1.3421917,1.1873289,0.6350697,0.8250449,1.348782,0.84463525,0.7995904,0.95561445,0.55139315,1.1433517,1.045158,0.70901084,0.8079326,1.3724792,0.603263,1.5685103,0.847454,1.0913235,0.63327396,1.1703699,0.9290888,1.1441454,0.89947397,1.1193997,1.4099588,0.71106076,1.0492195,0.86825424,1.1404939,0.745556,1.2152947,1.2141589,1.0398035,1.3482351,0.73201555,0.83345836,0.7215255,1.2632369,0.8847352,0.6280333,1.3299463,0.8276867,0.75974244,1.404259,0.8993598,0.6760941,0.8232436,1.1702597,0.56788486,1.2588339,0.6413209,1.4098566,0.71048653,0.950194,1.1299574,0.76521623,1.2563109,0.8225607,1.1092399,1.4739993,0.9265431,1.3863839,1.3768369,1.3744981,0.7093953,0.75756586,0.66139376,0.6528902,1.0960186,0.92661643,1.3637098,1.3204168,1.4147606,0.88728034,1.2127316,0.94287634,1.0802373,1.0785981,0.87175095,1.3893198,1.3832996,0.9329978,1.0448685,1.2761524,0.7790804,0.8050249,0.8965288,0.792272,1.244036,0.6136104,0.6109694,0.8436319,1.246511,0.7181552,0.84573793,0.7252768,1.3378377,0.80253756,1.4748116,0.9015401,0.8697933,1.3411105,1.0210466,1.3033637,0.80070853,0.600393,0.6968292,1.473557,1.2504953,1.25309,1.2033532,0.8617489,1.3415122,0.9244751,0.85704356,1.3928103,0.84693915,1.4663827,0.95086503
ankle,0.9916181,0.0,0.91161066,0.7077552,1.0649403,1.024755,0.9076934,1.1961784,1.1787609,0.99875885,1.1782916,1.1090629,1.0571986,0.96693313,0.6117816,1.1169271,1.3197229,1.1051029,1.251929,1.2327652,1.1980833,1.0459503,1.0569158,1.2285795,0.6158817,0.98383135,1.3022312,0.41196835,1.012058,0.971427,1.230543,1.2371666,0.9966957,0.5043034,0.9492975,1.1486845,0.5016226,0.85523856,0.81030464,0.9707871,1.1586698,1.1387317,0.9741899,1.2943758,1.003035,1.238047,1.1836551,1.1575608,0.9707133,0.40877998,0.6436577,0.85543954,0.88241875,0.8327073,0.28078043,1.1047213,0.82036245,1.239449,0.21122462,1.0851892,1.0486449,1.0532738,1.0460297,0.6808937,0.8833648,1.1042498,0.871089,0.6814156,0.45989084,0.8519005,1.118339,1.1727357,1.0605812,1.2580949,0.7320908,1.1028868,1.0460742,1.1022666,1.2128083,0.9459758,1.2529227,1.0086118,1.1142367,1.2210919,1.0735574,0.8568954,1.1294134,0.82822657,0.6688444,0.81664896,1.1798313,0.967051,0.9985102,0.6589786,1.0715607,1.1971269,0.9768164,0.9902872,1.1760916,0.63095796,0.78771996,0.86030483,1.2054311,1.2192328,1.0838708,0.8286074,0.9745639,1.1614594,1.1545854,0.9042464,1.2256689,0.58003664,1.1774557,0.9334613,1.2754326,0.9166266,0.83403015,0.42675447,1.3325883,1.2152526,1.2540971,1.2030326,0.6527923,1.128299,1.0199392,0.5263883,1.1280861,1.1860676,1.336868,0.7480447,1.1808522,0.9238747,1.1362951,1.1854923,0.27844012,1.0293417,0.90922093,1.1387334,1.2070112,1.3217056,1.2394967,1.2931175,1.123662,0.92043847,1.1800562
apple,1.4344375,0.91161066,0.0,1.2445507,0.35329282,0.5555314,0.9359206,0.97463,1.2845013,1.0880442,1.3386564,0.9646631,1.4464909,1.247357,1.0292485,1.2444288,1.2224205,0.9933868,0.6706398,0.8353447,1.2199522,0.58263946,1.112175,0.9455767,1.0665596,1.0258778,0.8560314,0.8358986,1.2354677,1.2674325,0.79649496,1.3216183,1.1209847,1.0451303,1.3868756,1.0048608,1.0006969,1.2907501,0.90250564,0.86150205,1.3692052,0.7331164,1.0768361,1.0431176,1.1107818,0.8781714,1.2847679,0.9943008,1.2127296,1.0001342,0.31563157,1.1911342,0.9672558,1.0995007,0.81162345,1.1596909,0.7781768,0.8376334,0.94328123,0.91463554,1.0459597,1.0693934,1.2773659,0.8961949,0.93253005,1.2881739,0.72035736,1.0899817,1.0519487,0.7020228,1.103351,1.2136256,1.107336,0.9501915,1.3298601,0.89187485,1.3427007,0.861301,1.180775,0.96643156,1.129264,1.033212,0.8421617,1.0916886,0.71043617,0.7018498,1.0424678,0.9055468,0.8006476,0.4287718,1.3613911,0.9992029,1.2569724,1.2948062,1.1146365,1.033388,0.8532839,0.8753802,0.8394967,1.0294476,0.9575889,1.0881063,0.9573816,1.110866,1.1060653,0.09365296,0.023153901,1.153423,1.0684193,0.7412548,1.3705761,1.0791107,1.1074675,1.159685,0.86035806,1.2859352,1.1948373,1.1595608,0.7471373,1.3136692,1.2502677,1.1410466,0.82620597,1.1709313,0.71272427,0.9718432,1.1044803,0.7377,0.89875805,0.6901934,1.124146,1.2954531,1.3034804,0.6925683,0.75214773,1.0143445,0.89849746,1.1137259,0.7008891,1.1557299,1.1575326,0.7814754,1.2638912,0.7505093,1.3068846
arm,0.5110999,0.7077552,1.2445507,0.0,1.452586,1.3124337,1.0797839,1.3793081,0.5427456,0.8290266,0.547047,1.3616676,0.63131136,0.61911887,1.0260165,0.77525616,0.8759995,1.3480499,1.5080569,1.4740194,0.96622,1.321001,1.0460492,1.1801429,1.1647882,1.3910255,1.3341506,1.1416622,0.8339047,0.80178076,1.490546,0.72240674,0.73656523,0.80744594,0.74547887,1.1957281,1.1226349,0.5674553,0.99708813,1.4421157,0.6486774,1.4848231,0.94351614,1.1073325,0.7694137,1.2160397,0.8318106,1.1465118,0.7172538,1.0479181,1.1263769,0.93287736,1.0553304,0.67472506,0.84818524,0.7872123,1.4156239,1.3658667,0.81324637,1.4425402,1.1076386,0.9060981,0.6594058,1.2300884,0.9864953,0.7548795,1.3339981,0.5845754,0.44434118,1.4234697,1.197763,0.6894251,0.8940662,1.0728232,0.48014992,1.3903056,0.5375175,1.495635,0.77951425,0.88811046,0.99433964,0.88981885,1.2870483,0.73469985,1.2247815,1.3102986,1.0905915,1.4531784,1.3156228,1.2842665,0.6613159,1.0387511,0.52240247,0.50651604,1.0878675,0.8380749,1.3925481,1.2727023,1.3598046,1.0231045,1.3392355,1.1224157,1.172329,1.2711642,1.0734808,1.1920583,1.2159936,0.96189016,1.2002076,1.4279295,0.6979927,0.8456588,0.9068923,0.7302911,1.4034135,0.44093418,0.66611594,0.76137716,1.2796757,0.58426404,0.82056314,0.70571464,1.3714637,0.9698921,1.5259931,0.5785245,0.96223557,1.43083,1.199709,1.3133585,0.7435559,0.36554766,0.5664655,1.5277832,0.9626924,1.3204288,1.2442205,1.0266907,1.475432,1.0744588,0.8327582,1.31913,0.8699439,1.3441353,0.91730124
ball,1.5596102,1.0649403,0.35329282,1.452586,0.0,0.25000226,0.9379671,0.8982627,1.4503566,1.1692942,1.5165768,0.58313453,1.5707166,1.4314983,1.1140397,1.3355951,1.2382424,0.8097409,0.38092208,0.680388,1.2977439,0.74450934,0.97279155,0.93594533,1.0707663,0.7301695,0.6522832,0.7087476,1.2319918,1.3457396,0.45034105,1.4095998,1.254636,1.0750787,1.3698914,0.86815524,0.89601433,1.432612,1.0409874,0.45263588,1.5745023,0.35690266,1.1889639,1.1163647,1.3193169,0.9757836,1.2923981,0.9382174,1.3221018,0.88693655,0.31918,1.1749959,0.9037206,1.1687814,0.79647946,1.2253636,0.52969927,0.72825783,1.0363437,0.610399,0.9653898,1.1927836,1.3802732,0.68344235,1.1226007,1.3183138,0.34717655,1.2448404,1.2554737,0.47843468,1.1332421,1.398356,1.2330086,1.0333222,1.465358,0.73474973,1.5323597,0.531942,1.3495128,0.949574,1.1179109,1.2388026,0.79351145,1.2934377,0.87378603,0.3446182,1.0944057,0.5848119,0.55213976,0.26292956,1.4613545,1.1254936,1.4624145,1.4372607,0.99856853,1.105496,0.5281196,0.5406761,0.5004835,0.94694793,0.64008623,1.0244039,0.906113,0.942612,1.1639571,0.44293153,0.44407475,1.2997968,1.0233665,0.46587425,1.4637765,1.0783972,1.1910549,1.2835993,0.7714535,1.4784868,1.3344401,1.2170308,0.8670641,1.3965073,1.2799156,1.2709969,0.4932781,1.1771605,0.3340935,1.1240805,1.1362876,0.70387983,0.9180982,0.4292817,1.3510619,1.5016899,1.3944788,0.2922334,0.7287513,0.70282334,0.640473,1.1812009,0.46405113,1.2462726,1.2003601,0.7821319,1.3397455,0.44875258,1.2360948
balloon,1.3423767,1.024755,0.5555314,1.3124337,0.25000226,0.0,0.890993,0.9539346,1.2631345,1.0584987,1.3478868,0.805589,1.3259058,1.315649,1.097532,1.1563236,1.0632256,0.9164015,0.71616423,0.8168964,1.1453037,0.995139,0.93890446,0.93707615,0.9862103,0.8336473,0.90746933,0.79737246,1.0452826,1.1731983,0.67937094,1.3130537,1.2179368,1.0152872,1.1394314,0.9164467,0.9145396,1.2817394,1.1406823,0.70870405,1.3534852,0.6925742,1.1010377,1.1215569,1.258076,1.0318288,1.183017,0.92845315,1.2430496,0.9100388,0.40391982,1.0738022,0.87943137,1.1032174,0.861918,1.1372672,0.70082057,0.8615588,1.0300245,0.8441892,0.8958142,1.1328647,1.1655252,0.9052868,1.1218239,1.188803,0.49994886,1.1385816,1.1476388,0.7211281,1.0364205,1.2039462,1.2131555,0.97898483,1.2880604,0.893806,1.3550596,0.73531085,1.2630435,0.86396605,1.0989488,1.172202,0.86069953,1.2577136,1.0225583,0.6801987,1.0588583,0.731484,0.7019643,0.3018577,1.3395332,1.0327462,1.2959119,1.2518085,0.97117335,1.0135506,0.8120859,0.8064606,0.7413111,0.8463291,0.80886704,1.0136625,0.97883004,1.0042593,1.0729091,0.6622741,0.63543004,1.1898549,1.0227389,0.65534544,1.3101209,1.0495986,1.1173366,1.1773843,0.9235312,1.3149432,1.1904216,1.0157332,1.0301793,1.2897325,1.1482719,1.0973635,0.7650498,1.0186849,0.63379914,1.0279386,1.0448872,0.9339372,0.9440874,0.46514672,1.310761,1.3611987,1.2482004,0.5184208,0.88549405,0.8983925,0.79134816,1.1404417,0.60131794,1.16674,1.1404169,0.9648491,1.2053293,0.8113315,1.078806
banana,0.8693857,0.9076934,0.9359206,1.0797839,0.9379671,0.890993,0.0,0.8784747,1.1521991,1.1159225,1.250877,1.1283698,1.1223474,1.0334795,0.8721168,1.1467772,1.029325,0.8651997,1.1115865,0.78010803,0.9399118,0.845722,0.9915112,0.9063683,0.955869,1.1187614,1.1834968,0.7716337,1.2322719,1.1867132,1.0073938,1.2374483,1.1880267,0.9828536,1.0380985,0.84667456,0.820631,1.1745882,0.68469185,0.92865926,1.1569499,1.0472924,0.93650186,0.7615732,1.0645324,1.0148056,1.1968889,1.0496547,1.1564419,0.96159637,0.9108028,1.1010605,0.9331804,1.1174237,0.90253395,1.0765815,0.90903366,1.0612626,0.9147823,1.0184959,0.467409,0.99835813,1.0882299,1.0412341,0.9247949,1.2073274,0.7920106,1.1193967,0.92166764,1.0494418,1.0672939,1.0123707,1.0853701,0.8951396,1.128828,0.911816,1.1743783,1.0278935,1.1627792,0.8168511,0.9436714,0.9677844,1.0482515,1.2125266,0.92518187,1.1197625,0.93049324,1.0423979,1.0144001,0.7562875,1.1253299,0.9658745,1.1454864,1.1197113,0.967713,0.9874204,1.0392795,1.0597628,1.1411071,0.38774955,1.0536901,0.663066,1.0912727,0.75438076,0.96683013,0.93289334,0.9567385,0.98831207,1.0855683,0.9064864,1.210126,0.96189505,0.78635204,1.1037236,0.9436111,1.1758237,0.8220613,1.0111763,0.8842233,1.1755853,0.92126966,0.9528753,0.95257914,1.2387017,0.8469773,0.88184047,0.70835453,0.89150405,0.9161098,0.83530724,1.1548783,1.1929748,1.1558063,0.90875065,0.94483894,1.0159024,0.70969707,0.97311926,0.70591855,0.8096106,1.1552597,1.1330409,1.1368644,1.1389525,1.1764953
basket,1.1667571,1.1961784,0.97463,1.3793081,0.8982627,0.9539346,0.8784747,0.0,1.2259576,1.319459,1.2321552,0.96100646,1.0127939,1.0729774,1.0150905,1.1432309,0.9584764,0.5540531,0.6905714,0.6409075,0.4586103,0.8545415,0.87300897,0.7526627,0.86407995,0.65642726,0.91097695,0.98381937,1.264638,0.8884935,0.7007659,1.0564171,1.212682,1.166021,1.0319549,0.9002836,0.9863251,1.1049778,0.98647517,0.8901703,0.9143793,0.6974506,1.0115465,0.8476544,1.2757136,0.7420999,0.99744755,0.7512962,1.1069039,1.1390724,1.1069584,1.2135819,1.2218378,1.2857777,1.1236271,1.0401176,0.894049,0.6946502,1.1505979,0.893787,0.79404485,1.1376926,1.0806181,1.16522,1.0568124,1.1822859,0.8353164,1.3314965,1.2248479,0.9354722,0.92095304,1.2162086,0.9264589,0.8821764,1.3664889,0.78506505,1.1350572,0.7154889,0.9710257,1.1064233,0.72007346,1.1287849,0.69917536,1.3229059,0.85540223,1.0793806,0.94102794,0.8393637,1.0161698,0.99661195,1.1685748,0.86552507,1.1787362,1.2487652,0.73251724,1.1672791,0.9108832,0.9668437,0.9427763,1.0699699,0.7496704,0.8280951,0.92329806,0.802088,0.93467665,0.99479705,0.97338486,0.8809993,0.67406774,0.8725544,1.0983555,1.1432942,1.0587934,1.0826135,0.72241324,1.2428825,1.042099,1.0680382,0.750645,1.1861217,0.9900155,1.081237,0.9604299,1.0623375,0.763462,1.1162167,1.0542316,0.74283123,0.87666386,0.77924174,1.1901437,1.3215666,1.2028525,0.7493616,1.1203371,0.9272096,0.772175,0.99036187,0.5540626,0.7923585,1.2176833,0.76677775,0.900679,1.053385,0.9990095
bathtub,0.65510744,1.1787609,1.2845013,0.5427456,1.4503566,1.2631345,1.1521991,1.2259576,0.0,0.6896392,0.31891704,1.2855847,0.53342074,0.71150756,1.260239,0.711037,0.5406441,1.3657544,1.4586322,1.2423459,0.7812653,1.3244183,1.0597721,1.0699021,1.305615,1.3541764,1.3023845,1.3846719,0.6708558,0.8017921,1.3214657,0.51012963,0.7428106,1.0492014,0.85016143,1.1706169,1.2414293,0.64130294,1.2861798,1.4730494,0.39838076,1.4506083,0.9381067,0.8344189,0.8967384,1.0490544,0.6097455,0.9666667,0.8402936,1.2238246,1.2509058,0.87028193,1.153173,0.8941114,1.2817659,0.72133607,1.5994134,1.3726208,1.2511051,1.4363011,1.1285038,0.8494528,0.6679725,1.3312689,1.1932203,0.5668671,1.4767218,0.82157046,0.93868554,1.5245821,1.1723607,0.37549663,0.951915,0.9129276,0.72216076,1.4332149,0.5568635,1.411949,0.6732906,0.7638504,0.83828837,0.9944764,1.3132687,0.6267922,1.2187264,1.3604652,1.0300176,1.4973842,1.3998342,1.348911,0.5131103,0.9953051,0.5322368,0.76289713,1.1352093,0.8186536,1.4502013,1.3306755,1.3044959,1.172581,1.4986233,1.2095499,1.2121202,1.0381117,1.1023012,1.3150796,1.2188967,0.9367275,1.1088473,1.4046116,0.46091545,1.210184,0.7856248,0.92441535,1.3119183,0.56991583,0.9149308,1.0627856,1.2028186,0.23046875,0.47362423,0.45332432,1.482205,0.7567376,1.539331,1.0204012,0.8953249,1.410784,1.0022994,1.43892,0.6477033,0.54772294,0.45776516,1.3533677,1.3466322,1.2730997,1.3580898,0.9675713,1.3237032,0.8199349,0.8053259,1.2363183,0.8054953,1.383104,0.84088314
bear,0.6532903,0.99875885,1.0880442,0.8290266,1.1692942,1.0584987,1.1159225,1.319459,0.6896392,0.0,0.6256935,1.0389019,0.79091203,0.94326776,1.0502156,0.82035697,0.8826606,1.2632266,1.3185551,1.2438289,1.190943,1.0655507,1.1873102,1.2572055,1.059191,1.2260346,1.1018442,1.1234883,0.34099525,1.0381103,1.1941979,0.9236418,0.7854825,0.90476716,0.9159715,1.1189103,0.97398466,0.79498243,1.0572861,1.1377317,0.83656436,1.2986606,0.9508692,1.1686909,0.69892347,1.1994342,0.96509355,1.199185,1.0636599,1.0519298,1.1267895,0.5043227,0.92758393,0.8973535,1.1152043,0.754436,1.1207668,1.2465334,1.0265446,1.16873,1.1018751,0.846379,1.0315819,1.0207804,1.020072,0.44199324,1.2412257,0.9257811,1.041227,1.2069639,0.9453766,0.8972773,1.0312859,1.1988978,0.67454064,1.2256615,0.90078753,1.2380081,0.8787904,1.049085,1.2911191,0.9452819,1.2302289,0.8128009,0.9755566,1.0804131,0.97849256,1.1613405,1.1649175,1.1487501,0.87133914,0.73257667,0.7994077,0.8154983,1.1940503,1.0150018,1.1369201,1.1372138,1.187507,1.0363004,1.1096963,1.1194464,1.1271516,1.1647468,0.9894826,1.1187776,1.0762546,1.1235698,1.1512535,1.0065553,0.9117536,1.0681496,1.0287961,1.0364165,1.2439647,0.80889416,1.0039504,1.0055686,1.2751647,0.8147695,1.0567236,0.7651098,1.0441365,0.64207894,1.2446043,1.0346665,1.0337764,1.2946343,1.1588272,1.2347693,0.87477225,0.8018274,0.80450976,1.1509783,1.1002648,1.0026957,1.2300767,0.8955686,1.2204542,1.1250716,0.9331075,1.2306113,1.1358243,1.1055268,0.99784285
