,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,game,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tricycle,vacuum,watch,window
alligator,0.0,1.3344889,1.4154537,0.98635894,0.5130574,1.4487073,1.4796216,1.1899698,1.0910486,0.48504913,0.52173644,1.5511295,0.49431682,0.9245532,1.0890465,0.3931266,0.62278455,1.175828,1.6315833,0.9957546,0.7547991,0.8276019,1.1545775,1.4304972,1.2119833,1.6414294,1.0497285,1.0400616,0.8493835,1.171404,1.4282392,0.72752595,0.8365511,0.7789117,1.0121007,0.85992306,1.0912968,0.50794333,0.6249595,1.5998504,0.710659,1.5167716,0.83448225,0.62757874,0.76874685,1.0256516,0.9913585,0.7021939,0.9498013,1.2136538,1.4671675,0.904359,1.1043514,0.7285867,1.2364421,0.81744415,1.1975579,1.4360061,1.2358636,1.447794,0.9923087,0.86778855,0.60306406,1.5218801,0.91192776,0.83008224,1.4191451,0.79975927,0.69144773,0.7096844,1.5248128,0.50138587,0.8027668,1.2618539,0.5682951,1.2930365,0.9664798,1.5498676,0.9498492,1.1000962,1.1429957,0.51206374,0.75405365,1.1207395,0.856209,1.5424252,1.218596,1.3891768,1.2567364,1.2285078,0.86362624,0.50709915,0.6144904,0.85850084,1.1761996,1.5204636,1.5206846,1.0520997,1.1780419,1.1040442,0.72352123,1.0425999,1.1587944,1.0558406,0.85287935,1.4458405,1.1426324,0.9984172,0.9566934,0.9648663,0.6962713,0.9914395,0.54648423,1.1328639,1.0443119,1.5606761,0.87807953,0.49957818,0.6141007,1.5827206,1.6785178,1.0265516,0.79110265,1.470084,1.1423442,1.5033059,0.7726512,0.74337107,0.42416906,1.4755325,1.4214754,1.4426502,0.73477274,1.2450116,1.3052598,0.57675016,0.8964517,1.142245,1.5383615,0.86090416
ankle,1.3344889,0.0,0.67043585,1.0555594,1.118819,0.9232559,0.9096435,1.0081555,1.0953732,1.3731984,1.2324936,0.33283246,1.1750797,1.0866032,0.8218865,1.2025383,1.2688615,0.9954942,0.7247737,1.2441059,1.3114362,1.1095052,0.7339442,0.98221064,0.9693773,0.5544316,0.89420146,0.70288014,0.99080855,0.9347341,0.6141759,1.2211611,1.1317298,1.2167194,0.9129164,1.1735849,0.99991465,1.1805574,1.187602,0.54683334,1.2908202,0.82560414,1.211679,1.2879015,1.1751816,1.0328766,1.0489514,1.1286128,0.8963065,0.79068017,0.93932533,1.0724099,1.059831,1.2032328,0.5902316,1.1559877,0.76029927,0.77647555,0.46186757,0.60758364,0.95822245,1.226816,1.3746699,0.49843633,1.0090519,1.1485322,0.74765795,1.1124732,1.2220325,1.0042628,0.6998192,1.3210995,0.9289558,1.0035412,1.0255551,0.8926769,1.0311863,0.7267081,1.2135768,1.1302629,1.0732118,1.1642911,1.1097721,0.87633157,1.1069102,0.654578,0.7454021,0.72870255,0.7832766,0.9340253,1.1793256,1.2445601,1.0047201,1.124695,1.171829,0.71316266,0.7265833,1.0442449,0.81145847,0.65161073,1.2128749,0.79472256,1.1680514,1.0613883,1.1300069,0.5219407,1.0830685,0.86191237,1.0804527,1.0812714,1.2106463,1.1097702,1.210193,0.8848654,0.70508534,0.6091579,1.1784073,1.3800128,1.3482516,0.48621833,0.6030694,0.6640017,1.0724176,0.75371265,1.0331057,0.73816067,1.0837535,1.1736722,1.353513,0.8554888,0.47121358,0.66547227,1.2493248,0.78991145,1.0375593,1.4036152,1.0865582,0.7833453,0.63673764,1.1439807
apple,1.4154537,0.67043585,0.0,0.95341045,1.4134114,0.3536911,0.38174397,0.7164829,1.1484551,1.507694,1.4244132,0.41765094,1.4881439,0.9809837,0.8420377,1.4007705,1.3443736,0.9733049,0.5266577,1.008144,1.3579423,1.0103426,1.0155656,0.817151,0.789588,0.6125866,0.8287813,0.70150363,1.0695902,1.138036,0.5299149,1.3994439,1.2236809,1.1398213,1.0985476,1.1271684,0.893706,1.4190023,1.2745228,0.3982947,1.420272,0.574221,1.237212,1.1554725,1.1423179,1.2598264,1.2398186,1.3715945,0.9837056,0.8811213,0.38800263,1.1383696,0.7566652,1.2735947,0.73984003,1.2184494,0.46870583,0.5541304,0.76304585,0.6861141,0.74668276,1.183593,1.3292471,0.49021596,0.8583407,1.0647035,0.3725121,1.2818487,1.178297,1.2499557,0.5005462,1.4764954,1.1943325,0.9391428,1.3948503,0.8467552,1.3185658,0.55153686,1.1855114,0.61225724,1.1901705,1.2846981,1.1959589,0.94785273,1.0927552,0.40809882,0.77088195,0.83204895,0.63491696,0.56218696,1.3774151,1.4801965,1.3966378,1.2047688,0.9407769,0.5742821,0.5805644,0.9914599,0.48144257,0.8366041,1.2699288,0.62155217,0.90320784,0.75585496,1.1379395,0.6472727,1.2808423,0.8625621,1.1032171,1.0254045,1.3153768,1.1138266,1.4756666,0.95865047,1.0844576,0.60927457,1.3097756,1.4595264,1.271122,0.38910347,0.38478458,1.0396074,0.95154774,0.61351734,0.9924842,0.32458073,1.2803935,1.3033966,1.5210404,0.44966978,0.64804864,0.47002375,1.3049402,0.77861476,0.67944294,1.3410828,0.9692105,1.1091597,0.5138881,1.2861485
applesauce,0.98635894,1.0555594,0.95341045,0.0,0.9743079,1.0569768,0.99193084,0.81315523,1.2838967,1.0624877,1.3293467,1.147047,1.1692349,0.9184261,0.9401909,1.1693642,1.229208,1.0872953,1.0879672,1.1212044,1.2175093,0.7922327,1.0069745,1.1087475,1.0650775,1.1553018,1.1469935,0.6436095,1.2044379,1.2325414,1.211482,1.2789122,0.9473118,0.88000935,0.8660325,0.8078576,0.9406943,1.2135446,0.6378464,1.1255004,1.2749261,1.0049204,1.0145034,1.1860201,0.99403226,1.1651211,1.102328,0.94710016,0.91883135,0.7057147,0.89004266,1.0692794,0.8643567,0.93689615,0.6262586,1.2248297,0.9776013,1.1524012,0.79817235,1.0422256,0.96746767,1.0313529,0.88948214,1.0484065,0.8128388,1.1501949,0.74519324,0.89310807,0.96853983,0.5721941,1.136884,1.0789256,0.96249163,1.0116341,1.0244511,1.0551252,1.1852582,1.1570798,1.0250392,0.802009,0.93327796,0.820483,1.0150484,0.63404346,0.7232311,1.0598552,1.0972788,0.82445645,0.850357,0.72332585,1.1900986,1.0956525,1.039811,1.0741926,0.9456646,1.0686094,0.9836813,0.76305723,0.66420054,1.1708261,0.8120577,0.96494365,1.1522658,0.85996246,1.1234589,1.2424128,1.2017643,0.91676813,0.8857472,1.0377821,0.87021947,1.0213715,1.0714914,0.85539794,0.9119381,1.1145656,1.2492094,1.0128475,1.2563376,1.096059,0.9175617,1.0672592,0.78979146,0.9352947,1.0490981,1.0657965,0.9125116,1.1254537,1.1714964,1.1285055,0.71826136,0.90667,0.77002025,1.1601956,1.2212127,1.0374947,1.0382464,1.2549918,1.0133351,1.1724393
arm,0.5130574,1.118819,1.4134114,0.9743079,0.0,1.3509148,1.4010493,1.3333302,1.0696505,0.58039135,0.6327491,1.3749305,0.611949,0.91959846,1.2952093,0.5518639,0.8021894,1.1854663,1.4148641,1.1136659,0.7611774,1.0295218,1.1504054,1.3981233,1.2334634,1.4792478,1.2791781,1.0657923,0.9270998,1.0217761,1.3646762,0.76667285,0.7365923,0.94098824,0.96267927,1.0012232,1.1764631,0.5858595,0.87137777,1.4240463,0.74597704,1.4008106,0.89459443,1.0133353,0.8636427,0.941,0.91660666,0.6581278,1.1228597,1.089608,1.3319232,0.98136884,1.097392,0.7470109,0.8481712,0.8526525,1.3609792,1.4288168,0.97584426,1.3553944,1.401548,0.76538616,0.6520282,1.3461924,1.0776458,0.9644004,1.4285468,0.7350254,0.7801408,0.44444394,1.4660583,0.55096424,0.82415795,1.2278943,0.4996279,1.2409259,0.9697052,1.4264581,0.9725774,1.2008264,1.0112177,0.5259304,1.0099765,1.0393996,0.9938155,1.3532369,1.2500343,1.1124535,1.1835387,1.1488254,0.8448502,0.35555196,0.5311106,0.8306973,1.2706467,1.333878,1.2895672,1.1366265,1.2965124,1.036815,0.80634737,1.3860532,1.2602217,1.1257505,0.9529558,1.324203,1.0196981,1.2790443,0.9905902,1.107218,0.58940345,1.092514,0.42433953,1.2019138,0.77458155,1.367746,0.8035191,0.6387963,0.7429191,1.4690926,1.4774213,0.90567744,0.98528683,1.4035449,1.1022037,1.4530776,0.93994445,0.5505564,0.5922599,1.5036724,1.1183923,1.3058335,0.6029141,1.322997,1.3684359,0.7634208,1.1707133,0.9973698,1.3354352,0.7851292
ball,1.4487073,0.9232559,0.3536911,1.0569768,1.3509148,0.0,0.20304048,0.7829068,1.0953505,1.3834051,1.3754227,0.6859996,1.5045829,1.0719129,0.81583416,1.3668511,1.2469625,0.9849484,0.447003,0.8680591,1.3057551,1.1229601,1.178246,0.67058396,0.76116204,0.7083551,0.8477622,1.1064723,1.1070406,1.0387899,0.58873403,1.3219838,1.190792,1.0881984,1.0382769,1.1196419,0.94854975,1.4062457,1.3781691,0.5057807,1.3553054,0.5457086,1.116431,1.1145008,1.1083323,1.2131976,1.1238887,1.4279413,1.0342878,0.9842518,0.22147918,1.0704314,0.8414083,1.2611163,0.8799273,1.1514316,0.5273522,0.52838635,1.0475304,0.6335033,0.7688116,1.1170547,1.139525,0.622778,0.880064,1.081645,0.47218084,1.2500397,1.2103252,1.292671,0.37113565,1.410665,1.2103491,0.84216285,1.4277868,0.7661738,1.2505989,0.49240726,1.1404222,0.73635983,1.0353028,1.3412607,1.2114416,1.0027045,1.072964,0.42200077,0.7849277,0.87553483,0.78016996,0.5910366,1.229461,1.417873,1.3911322,1.1341004,0.88972306,0.55216223,0.56000775,0.91572756,0.9214629,0.94839007,1.2692521,0.8786763,0.7749791,0.7627288,1.0341897,0.7238195,1.1835883,0.90717846,1.1110356,1.0999645,1.2891829,0.94856155,1.4244828,0.92458737,1.1925166,0.64433956,1.2603519,1.331289,1.2101437,0.50306785,0.4754941,1.048404,1.1700091,0.58076054,0.86039734,0.38719618,1.3524654,1.2667524,1.4168488,0.4288937,0.7962667,0.57473457,1.2542007,0.8053305,0.5372575,1.2633989,1.0947744,1.1029012,0.56708217,1.1990972
balloon,1.4796216,0.9096435,0.38174397,0.99193084,1.4010493,0.20304048,0.0,0.75415885,1.0359279,1.3866286,1.3920947,0.7108357,1.4973733,1.0889373,0.8798131,1.40921,1.2911972,0.9842192,0.4274571,0.8109268,1.2859232,1.1275262,1.127641,0.64707327,0.8044072,0.67114013,0.93832654,1.0579716,1.1872151,0.978059,0.67246777,1.305866,1.2626755,1.0287119,1.1526139,1.0161626,0.8541794,1.3986605,1.2816607,0.51467305,1.2821128,0.47660446,1.1331966,1.0636462,1.0309973,1.130688,1.1013651,1.3761046,1.0922451,0.99765867,0.21200895,1.133757,0.93755877,1.2300894,0.86366135,1.2617555,0.551775,0.5180762,1.0480889,0.7296769,0.81919706,1.1779096,1.1240693,0.68082863,0.84525025,1.1325829,0.50116026,1.2050782,1.2091892,1.2619759,0.40824914,1.4150354,1.2130654,0.7846,1.4040091,0.81850946,1.1795652,0.49061,1.0339211,0.5875492,0.9956065,1.3420783,1.2061657,1.0395933,1.0042305,0.47087663,0.80473363,0.86792386,0.8913388,0.47969007,1.2426453,1.4104644,1.3979306,1.1820433,0.8036457,0.59201145,0.5851968,0.88596624,0.81915003,0.9609707,1.1818774,0.9014883,0.79006183,0.6786176,1.0948492,0.7711415,1.0937946,0.95119584,1.1562228,0.9982979,1.3025781,0.8838928,1.3933661,0.9778949,1.1838218,0.6318175,1.2643653,1.3380814,1.2514571,0.57796615,0.4109646,1.0198228,1.1538444,0.64013135,0.85016173,0.4056862,1.3557069,1.2231722,1.4115803,0.5080052,0.8252168,0.6694907,1.1767855,0.77107745,0.4898613,1.2523221,1.0501349,1.0760293,0.6423354,1.1914505
banana,1.1899698,1.0081555,0.7164829,0.81315523,1.3333302,0.7829068,0.75415885,0.0,1.0313425,1.2456291,1.3794307,0.8418536,1.2954171,0.5211396,0.89050114,1.2329533,1.1736219,0.6929108,0.7925416,0.8056904,1.0988733,0.68922853,0.99293745,0.880431,0.8743353,0.9305749,0.9595436,0.9926026,1.21041,0.9922831,0.87259424,1.3438219,1.2208703,0.97706467,1.0983816,0.84561855,0.42621094,1.3985629,0.87604755,0.70648056,1.2716026,0.766461,1.099868,1.0455515,1.0319098,1.2722795,1.1950496,1.2724174,0.9799641,1.1672008,0.67409396,1.0993031,0.94852144,1.3394653,1.1275998,1.195163,0.6242857,0.82955885,1.1229162,0.5662887,0.7364654,1.0820634,1.3791394,0.9669931,0.80338275,1.0582778,0.6702957,1.3613527,0.91190684,1.343136,0.82969356,1.3124013,1.1071172,0.8607891,1.4449832,0.5985642,1.240801,0.8144647,0.8508195,0.48537558,1.0008936,1.2751598,1.2451077,1.1200756,0.83367425,0.88229465,0.61691856,1.0212662,1.1352769,0.71636397,1.1835676,1.4335213,1.4230964,1.1251119,0.6745956,0.6596211,0.65930295,0.97004104,0.42984134,1.0663419,0.92635655,0.971968,0.57328343,0.7900654,1.1373203,0.9040739,1.1534244,0.93641245,0.7127658,0.94078654,1.223011,0.6351859,1.4690077,1.0459862,1.2903476,0.7573029,1.2564516,1.2167702,1.1385803,0.78843766,0.72376096,1.077897,0.893235,0.6627068,0.9967802,0.73640275,1.3167605,1.3323432,1.3348715,0.5878447,1.0526378,0.83858526,1.1225133,0.5784879,0.7010077,0.837847,1.0437143,1.1639745,0.9160168,1.2640002
basket,1.0910486,1.0953732,1.1484551,1.2838967,1.0696505,1.0953505,1.0359279,1.0313425,0.0,0.8691677,0.668965,1.0622898,0.8769902,1.1061026,1.2408861,0.9886447,0.7900838,0.6264272,0.94719183,0.74951917,0.48227727,1.2609811,1.1139901,0.64832586,0.876407,0.7814338,1.0322658,1.3046489,1.0807585,0.6830418,1.0708554,0.68932617,1.1452072,1.0647371,1.0269798,1.0984493,0.89471215,0.9871018,1.1276231,1.0717127,0.28259957,0.8483602,0.9284844,0.88652843,0.94763446,0.83149606,0.781464,1.086546,1.2625091,1.3174224,1.0449679,1.1391823,1.0798168,1.1440116,1.3174747,0.81014085,1.157946,0.96164596,1.2839029,1.0429791,1.1160469,0.8501405,0.95384413,1.1905916,1.112571,0.8371739,1.1564796,1.1530601,1.0409071,1.25121,1.1156403,0.860228,1.0952998,0.6640987,1.2246917,0.909691,0.8361395,0.96613085,0.9447536,0.96996576,0.72061723,1.1600649,0.91963625,1.2401153,1.1971841,1.1915809,1.0732782,1.1765001,1.3161654,1.106348,0.70889616,1.051636,1.211154,0.87581295,0.9831929,1.0479573,1.0856429,1.1496005,1.1905637,1.1398758,1.0075552,1.0754262,0.848198,0.93351716,0.8553809,0.83049834,0.5997638,1.2252518,1.1098263,0.87301517,1.0740733,0.8117031,1.0865396,1.0593175,1.2314017,0.97804093,0.86987376,0.9034822,0.652283,1.1943101,1.1333158,1.0948981,1.2098981,1.1313456,1.0789723,1.0621618,1.036081,1.0637144,0.84556055,0.9596032,1.3195194,1.3420001,1.0173109,0.9524836,0.66556394,0.79124486,0.95914894,0.8940832,1.2400321,0.7422314
bathtub,0.48504913,1.3731984,1.507694,1.0624877,0.58039135,1.3834051,1.3866286,1.2456291,0.8691677,0.0,0.5154966,1.514312,0.42987275,1.070119,1.2989616,0.6008332,0.6199827,1.1377281,1.4709079,0.6122631,0.5860973,0.9946203,1.1614181,1.1469595,1.2500024,1.4603467,1.123266,1.2483687,0.9100165,0.99718815,1.3577676,0.5172392,0.88236725,0.59171665,1.0913898,1.0670964,1.14806,0.4966178,0.8197541,1.536571,0.5540414,1.1940322,0.50919497,0.9557974,1.1305315,0.78283304,0.6399383,0.88763463,1.0911074,1.2716974,1.3639888,0.9936972,1.1271453,0.7741779,1.3259054,0.812624,1.2872145,1.5056641,1.4001281,1.4004776,1.416597,0.86455446,0.52436423,1.4869902,1.2699606,0.96687776,1.5431436,0.863335,0.79335773,0.8592501,1.5621899,0.42613482,1.0982001,1.1074274,0.59870577,1.2231648,0.72094,1.3532016,0.97362036,1.1343826,0.8444294,0.7311827,1.003748,1.1433436,1.09195,1.4536438,1.232525,1.4047372,1.3884965,1.278271,0.5445335,0.6359614,0.6596955,0.74650705,1.1791637,1.4552461,1.4673502,1.1251004,1.3516035,1.2213168,0.9377634,1.4141077,0.85302365,1.2449688,0.9836968,1.2984524,0.7589294,1.3491056,0.98703843,0.8399416,0.88921374,0.96339643,0.6660691,1.2780259,1.1347474,1.4769278,0.5497521,0.04384023,0.58454484,1.5658319,1.5734262,1.1235725,0.72949946,1.4250276,1.044807,1.5154996,0.9626619,0.69171566,0.18497312,1.3103969,1.4922448,1.4135919,0.7625141,1.3500667,1.3477552,0.30749297,1.1322614,0.9716264,1.4761953,0.7348902
