,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cookie,1.0754725,0.791315,0.7725361,1.1459177,1.2228148,0.85472035,0.82543623,0.42866325,1.1306031,1.1950679,1.1528643,1.3328401,1.0163893,1.3307838,1.2106763,0.85821277,1.2458436,1.1843845,1.1508844,1.0651429,0.77026093,1.1869473,0.32945055,1.0759163,1.0463622,0.8965031,1.1070757,1.1338243,0.7156373,1.1512617,1.3128122,0.91913384,1.2561384,1.2765844,0.9468885,1.2714752,0.0,0.52951586,1.3164495,0.28249174,0.94212055,1.3756591,0.9347012,0.9097991,0.9825606,1.1430941,1.1652182,1.059023,1.1373657,0.8849579,0.74904954,1.0692037,1.1386391,0.88260067,0.75078106,0.9195806,0.7846788,0.87913245,0.7760862,1.1495336,0.9843931,0.89860713,1.1010929,0.91378707,1.1137818,0.8118315,1.1025937,0.98896295,1.1336973,1.1174979,1.244145,1.0704628,1.2824129,1.1170281,1.2084355,0.94623387,1.0018994,0.71638083,1.1060197,1.0141679,1.2729048,0.8841054,0.28563178,0.8929362,0.6915574,0.8937641,0.8657572,0.62081695,1.1488588,1.1811684,1.2500334,1.1860709,1.0434718,1.033181,1.0134091,0.9505191,0.3790636,1.164248,0.9873672,0.6765797,0.8880074,0.8055934,1.086477,0.7393506,0.74686706,1.1484108,0.9675988,1.1884793,1.0963743,0.76960105,0.6507149,0.83829063,1.1488326,1.1933855,1.3271139,0.97430426,1.0001816,0.93935484,1.3294328,1.0247889,1.296565,0.82465684,1.2262809,0.7291254,0.9774744,0.7286339,0.9115421,1.0261891,1.0731187,1.1364526,1.3057742,1.269476,0.8500948,0.82544166,0.775149,1.0930783,0.91401905,0.99885285,0.90830064,0.99859595,1.0787318,1.1535711,1.0357057,1.2956499
corn,1.1756165,0.7464719,0.66916525,1.110919,1.2145832,0.81905925,0.8623968,0.6352577,0.7908815,1.318435,1.0305843,1.2812505,0.7821783,1.3484733,1.3307893,0.8318863,1.2326438,1.1743363,1.0502856,0.7534661,0.9480442,1.1236289,0.45311964,0.8255221,1.086538,0.95062715,0.7320981,0.982745,0.896379,1.1017263,1.2219484,0.84199554,1.3385372,1.242743,0.98068416,1.0948306,0.52951586,0.0,1.3298285,0.6262892,0.63467157,1.2681676,0.8350271,1.1561155,1.0956128,1.0681328,1.0622019,1.0668617,1.1489165,1.1089865,0.74157745,1.0845971,1.2766362,0.90249336,0.84978485,0.8789871,0.9412329,0.9610955,0.95819294,1.2997867,1.0005959,0.9313088,1.0917366,0.8965869,1.269659,0.7798104,1.2346026,0.78577757,1.0552679,0.9513181,1.2654498,0.89089096,1.3321583,1.0137113,0.97043097,0.7081809,1.0450622,0.7953254,1.2060056,1.233392,1.2391307,1.0461991,0.67688686,0.8079859,0.8355217,0.9303893,0.95836395,0.6737982,1.2177708,1.1806482,1.2796706,1.2835964,1.1162819,0.7338822,0.7444936,1.0912274,0.68425536,1.1128991,0.9684517,0.9116667,0.9123421,1.0500977,0.93836415,0.77512056,0.7185668,1.2254924,0.87489825,0.990078,1.0733124,0.86960757,0.7618496,1.0649632,1.2129042,1.2088073,1.3760278,1.0543085,0.9951573,0.80005,1.2753959,1.2674646,1.259449,0.6790726,1.1367927,0.5861643,0.8126987,0.7536211,0.9608521,1.14615,1.049097,1.1478101,1.3378556,1.3072853,0.67283094,0.8682866,0.8196686,0.9705295,0.87171674,0.7347421,1.1450956,0.9503243,1.025044,0.93427336,0.8424747,1.2271655
couch,0.4134934,1.2504637,1.5178218,0.93561375,0.5075409,1.442369,1.3889701,1.2053418,1.2823384,0.547732,0.7973776,0.23360229,1.3941839,0.18683195,0.64051294,1.362635,0.18418527,0.7205272,1.008913,1.3837149,1.2607527,0.87446296,1.1912011,1.2968541,1.1860734,1.2881888,1.3651513,1.217707,1.0889611,0.7861577,0.41083986,1.4473783,0.6553337,0.625452,1.2334765,0.93576074,1.3164495,1.3298285,0.0,1.0751227,1.5169203,0.55579644,1.4687808,0.9113288,0.5977446,0.96833724,0.91925806,1.0797727,0.89626473,1.0224798,1.4216685,0.53912884,0.82056123,1.2515936,1.339655,1.1616437,1.0604196,1.2508076,1.2158161,0.7537663,1.2670745,1.1047385,0.8315552,1.2906139,0.81195426,1.0269231,0.8095268,1.3425508,0.9681182,1.0928522,0.41837823,1.2166551,0.39445126,0.97809654,0.8491246,1.4735999,0.689124,1.3324529,0.9092349,0.6884091,0.9013299,1.1180738,1.1621355,1.4327539,1.1899548,1.1765909,1.209598,1.4292045,0.8582939,0.68779254,0.46231002,0.5537878,1.0074654,1.458671,1.3687768,1.0358338,1.2471948,0.5804887,0.81553614,1.0503461,1.2977548,0.97964454,1.1971315,1.2878339,1.3089006,0.7034817,1.2552184,1.0952418,0.78720087,1.1877905,1.1122068,0.94112146,0.63828135,0.74654496,0.46207845,0.87414813,1.0873159,1.1897058,0.6524237,0.71697253,0.50900924,1.4626002,0.6835011,1.4918951,1.1349788,1.311782,1.2123469,1.1856866,1.1286856,0.7675131,0.3778637,0.37919378,1.471133,1.3107388,1.3421798,1.0837091,1.0999241,1.4644201,0.8003466,1.1639683,1.0964949,1.1482503,1.3228127,0.75717986
cracker,0.7717372,0.98477936,1.0344495,1.0402484,0.93910426,1.1699983,1.1186042,0.56983757,1.2662567,1.037278,1.0719874,1.1514269,1.2656045,1.0531358,1.028759,0.91566706,1.0609438,1.023386,1.0621289,1.2675319,0.95557296,0.98899204,0.42744148,1.2923772,1.1561763,1.0396436,1.3467276,1.2622612,0.6325488,1.0912006,1.2155529,1.1389537,1.1364535,1.1309729,1.1017089,1.1081557,0.28249174,0.6262892,1.0751227,0.0,1.1199013,1.1612415,1.1748835,0.9030713,0.824949,1.1239119,1.1894792,1.1057484,1.1161393,0.84437567,1.0662024,0.9855944,1.0080178,0.95079166,0.86846346,0.919015,0.726991,0.9006848,0.68295753,0.93677497,1.0778513,0.9568128,1.0276418,0.83797157,0.9975187,0.8320653,0.89995366,1.2300599,1.2228452,1.1857036,0.989367,1.2226217,1.0252835,0.99214953,1.1035342,1.1615078,0.8752217,0.88034683,1.0221671,0.7078502,1.1464739,0.9624434,0.2706015,1.1398331,0.7978855,0.96298975,0.9362739,0.8324027,1.0571997,0.96480334,1.0216931,0.9203744,0.8379277,1.2002354,1.08399,0.868801,0.5439222,1.215328,1.036345,0.567192,0.9378625,0.796914,1.1967695,0.9426598,0.9947296,0.9764014,1.1472299,1.3013306,0.9942877,0.6953588,0.6602845,0.77289355,0.88166946,0.94776607,1.1094337,0.7625521,1.1084105,1.006432,1.2048553,0.9215116,1.1186589,1.0504572,1.1147726,0.95058125,1.1476307,0.95345676,1.0151448,1.05041,0.9304839,0.96027446,1.0577409,1.132857,1.1137521,0.9686942,0.8345958,0.8682864,1.0101246,1.1541072,0.80504465,1.0750618,1.1154668,1.2000489,1.2011055,1.2854184
crayon,1.577023,0.9232545,0.298706,1.3022606,1.543312,0.4437536,0.6155872,1.0227844,0.6313815,1.5181111,1.2002814,1.524734,0.20515221,1.5717735,1.6079272,0.62381595,1.4936075,1.2649859,0.8949948,0.23925996,0.8562086,1.2736465,0.86718124,0.3477974,1.0794808,0.7566934,0.32177824,0.68812186,0.8599491,1.1677676,1.1877911,0.49737662,1.4039105,1.3574317,0.9351065,1.1048309,0.94212055,0.63467157,1.5169203,1.1199013,0.0,1.5030146,0.50316817,1.1745102,1.4881316,1.1613852,1.033535,0.9795227,1.2082808,1.0237503,0.70674,1.3958225,1.3353515,0.6842672,0.36216104,0.90247923,1.0138813,0.7364856,0.9836671,1.4695759,0.61787283,0.8937351,1.2052062,0.8757718,1.3634388,1.1543648,1.3759024,0.42536223,1.0364635,0.81249636,1.5167394,0.99923086,1.5114816,0.95315987,1.0337316,0.17940271,1.3355058,0.9166925,1.3199656,1.5090953,1.225393,1.0111028,1.1280899,0.2576046,0.6907728,0.8477677,0.6458589,0.52582544,1.1560205,1.2522316,1.5715344,1.4088889,0.9764788,0.07728696,0.28009862,1.1210324,0.858096,1.2095505,0.8229254,1.0892087,0.57319474,1.2589357,0.840546,0.7694621,0.79238224,1.4094877,0.58606714,0.8695261,1.1437088,0.6925334,1.1063027,1.3609455,1.5280452,1.3310559,1.5503165,1.2146132,0.71828353,0.74421614,1.2794524,1.455918,1.4355702,0.1646682,1.272505,0.23714745,0.80048573,0.5547702,0.89690435,1.1008356,1.0332811,1.274467,1.5807192,1.5214219,0.48647088,0.5986078,0.48337817,0.9556566,0.61664766,0.43736076,1.5005832,0.79942006,0.9690103,0.6025901,0.4171148,1.238274
crib,0.5849985,1.2926384,1.5214016,0.6247553,0.6549463,1.4524316,1.3773304,1.2682824,0.9035313,0.54982764,0.8308995,0.26011443,1.4621353,0.49583954,0.52988076,1.2270329,0.61311585,0.6154908,0.8560163,1.3786743,1.2125428,0.42842782,1.4314003,1.255782,0.87170553,1.2201786,1.334713,1.1114545,1.32039,0.8835466,0.70679456,1.2845416,0.35428143,0.86196166,1.1477928,0.6740142,1.3756591,1.2681676,0.55579644,1.1612415,1.5030146,0.0,1.2915192,1.0181166,0.7244544,0.75566244,0.80143213,0.89109975,0.8418982,1.2151088,1.3655932,0.7204501,0.8456891,1.4511526,1.4570948,1.0332032,1.2781718,1.1859219,1.007512,0.8295473,1.3833642,1.2862225,0.8151677,1.0550902,0.91827595,1.1062502,0.9433833,1.4554503,1.0599691,1.041541,0.59088606,0.9746879,0.7529239,0.93667114,0.6377068,1.4270605,0.78888035,1.187317,0.7311633,0.8704775,0.6798665,1.1678572,1.2789745,1.51194,1.303082,1.3612113,1.3580682,1.512336,0.7184175,0.8287461,0.5480064,0.82428694,0.8780191,1.4642441,1.3773932,1.0064608,1.3832206,0.8385416,1.1306202,1.053752,1.308752,0.8851783,1.1702919,1.4577019,1.2907754,0.64282024,1.2311409,0.9147146,0.85539776,1.2463442,1.190955,0.7980412,0.7939589,0.6153091,0.6410558,0.8681663,1.2417544,1.1104871,0.6203767,0.7272326,0.36918396,1.5332229,0.734602,1.5191422,1.2762713,1.3111829,1.0804493,0.9956943,0.9403815,0.6267608,0.6232904,0.5187896,1.3403487,1.5109034,1.4241173,0.869193,1.2614784,1.132091,0.6327425,1.1431581,1.0161889,1.066075,1.4075526,0.6772946
cup,1.5064039,0.8855047,0.47525722,1.0945468,1.4885869,0.41180658,0.5884187,1.0104175,0.49903816,1.2551978,1.3410993,1.4367113,0.5544287,1.4710574,1.346307,0.67648643,1.4882569,1.2211405,0.7860943,0.35217428,0.43849856,0.99334526,1.0282966,0.56447124,0.55664647,0.72289026,0.5174086,0.7553613,1.1466421,1.3706526,1.1567606,0.56343466,1.2826118,1.3648143,0.74170935,1.2132173,0.9347012,0.8350271,1.4687808,1.1748835,0.50316817,1.2915192,0.0,0.8534328,1.4981283,1.0053486,1.025801,0.9231651,1.1373625,1.2286317,0.491251,1.3983197,1.2695645,1.0461252,0.7874434,0.90811074,1.2618835,0.92722154,0.9522191,1.2394171,0.933621,0.9471172,1.2914841,0.82623005,1.3328032,1.0462365,1.3536059,0.5669688,1.0257602,0.8993933,1.4080038,0.55134887,1.5558609,1.0991693,1.072297,0.39297855,1.3414071,0.75389814,0.94547296,1.4225295,1.163734,1.0817044,1.1122363,0.57909167,0.79099834,1.093868,0.9768971,0.6747385,1.1156425,1.3053999,1.4228839,1.4528995,0.9323688,0.49734676,0.7511802,1.1090379,0.88886654,1.2477177,1.0732669,1.0843925,0.78681123,0.9017674,0.7239953,0.8948239,0.7117409,1.2559725,0.6363219,0.7542543,1.2802144,0.99845916,1.0232197,1.114012,1.3906989,1.2955041,1.4915903,1.1983622,1.0328085,0.8436731,1.2691967,1.1001995,1.2741206,0.557915,1.2511947,0.44095695,0.8846198,0.7031248,0.8101514,0.98713297,1.0392257,1.1437982,1.4762235,1.2329187,0.32492185,0.95105916,0.85105884,1.1325897,0.83146393,0.39999402,1.087877,0.9759953,1.0678263,0.7690848,0.7405124,1.2086818
dish,0.94522583,1.0891149,1.1364003,1.0438659,0.9348924,0.97649753,0.9342566,0.9556107,1.1835984,0.68992186,1.0297225,0.958148,1.1328781,0.8421837,0.94650877,1.1164861,0.98249644,0.92438954,1.0431828,1.2465526,0.2887454,0.9795213,1.0579038,1.1705269,0.88456285,0.9400588,1.2481102,1.1207796,0.92392534,1.0301422,0.9883381,1.0824918,1.0406775,1.0844913,0.7856749,0.8921864,0.9097991,1.1561155,0.9113288,0.9030713,1.1745102,1.0181166,0.8534328,0.0,1.079377,1.1646516,1.1257656,0.87533224,1.1334367,0.95001656,0.9697333,0.9202244,1.0156826,1.1430452,1.0290613,1.2396159,1.0991924,0.873051,0.9754417,0.8695757,1.1131042,0.951322,1.0042837,0.7985931,1.0916772,1.0763875,0.9710113,1.2181324,1.0697811,1.0788146,0.95560384,0.9423745,0.9261332,0.90430707,1.1516973,1.276865,1.0979129,0.86294097,0.97982997,0.8970396,0.98417854,0.96034765,1.0265198,1.11812,0.9025463,1.1308681,1.0787336,1.004078,0.99524236,0.9463986,1.055923,0.95118046,0.87559545,1.1712579,1.1430056,1.0662235,0.8848649,1.0972861,1.051856,0.9846914,1.1705072,0.7287531,1.1234655,1.1172793,1.1044513,0.968818,1.0437775,1.2109671,1.0357059,1.110639,1.0341054,0.9188799,1.0497389,0.86674076,0.9826131,0.911388,1.1079035,0.98807865,1.0263338,0.524666,0.8524886,1.1301088,0.9648863,1.1746783,1.0050255,1.0130037,0.8394783,0.85508674,1.0568773,1.0115926,1.0102116,0.80236423,0.8550781,1.182692,1.1122954,0.8977188,0.9942591,1.1660894,0.7443753,1.1361152,1.1048542,1.1317244,1.1305406,0.998063
dog,0.36226332,1.1319261,1.4067627,0.97036165,0.575173,1.3787694,1.3584049,0.9710582,1.3185265,0.85061926,0.64138126,0.59225106,1.4183528,0.6044,0.6496716,1.1306908,0.5798384,0.83880967,1.2024422,1.3924658,1.3992505,1.0550649,0.9471255,1.3446245,1.2930012,1.1713984,1.4240053,1.2761474,1.0059366,0.5532604,0.9358841,1.3607554,0.8085793,0.77778876,1.2091746,0.9301493,0.9825606,1.0956128,0.5977446,0.824949,1.4881316,0.7244544,1.4981283,1.079377,0.0,0.7170232,1.0921067,1.2093031,0.8248666,1.0109534,1.3409712,0.49646288,0.7834242,1.2248293,1.177643,0.92530537,0.8767279,1.2226927,0.8244107,0.84350616,1.2042165,0.92624146,0.6558099,1.2572949,0.6825249,0.8890909,0.8139976,1.2332289,0.8789285,1.115735,0.67562914,1.2665081,0.6019989,1.0214255,1.003753,1.4188335,0.6377128,1.2448311,1.0200639,0.5484665,0.79281896,1.1682078,0.8392806,1.3843055,1.1795144,1.0750158,1.0711073,1.3448138,1.0115042,0.8098471,0.52269053,0.66754824,1.1561483,1.4892786,1.419874,0.6917476,1.1176542,0.6902143,0.97725224,0.90380156,1.0680119,1.1022261,1.1648846,1.1525581,1.1734465,0.7860348,1.3241825,1.2993288,0.8220447,0.8694135,0.926453,0.9771971,0.66193795,0.7869252,0.6619328,0.74795985,1.0738052,1.0946065,0.8957345,0.9821655,0.7950169,1.3575773,0.76315403,1.4302968,1.1169538,1.1932716,1.1856095,1.0664871,0.92358655,0.7944414,0.5903468,0.7584456,1.5053703,1.2065867,1.2021418,1.0331876,1.152387,1.3444135,0.9416251,1.1852154,1.0779955,1.2240214,1.3546007,0.9725942
doll,0.85079765,1.0209044,1.0738759,0.8689012,1.003152,1.0508002,1.0083623,1.0416472,0.839288,1.1421633,0.9527235,0.8470771,1.140167,1.0788155,0.61899996,0.9062628,0.9456212,0.6830158,0.8455672,1.0331278,1.182624,0.84836626,1.1381494,1.1502521,0.8820213,0.8772969,1.1483796,0.96383625,1.1655879,1.2031398,1.0534518,0.9980223,0.8983721,1.0998343,1.1770182,1.1528848,1.1430941,1.0681328,0.96833724,1.1239119,1.1613852,0.75566244,1.0053486,1.1646516,0.7170232,0.0,1.1419766,1.0728096,0.29848844,1.1337157,1.0306678,1.0236504,0.81516623,1.1840106,1.1335996,0.8578745,1.1537179,1.067599,0.6624281,1.0635592,1.077595,0.9623027,1.1437798,1.0311068,0.8938913,0.8565904,1.0062599,1.0327245,0.9774637,1.1074576,0.87431073,0.9096412,1.0917765,1.1236159,1.0310322,1.1133122,0.89500743,0.98919284,0.96340066,0.8627124,0.7366514,1.0949833,1.1003025,1.1627115,1.2989326,1.1945372,1.1960486,1.1426398,1.1170412,1.0970529,0.7450048,1.1727874,1.2031156,1.1457324,1.1387792,0.7528025,1.1473572,0.9421468,1.1686296,0.99474436,1.142685,1.0751578,0.8132445,1.0795588,0.9030647,0.8655963,1.1046076,1.0733141,1.1107659,1.0063317,0.93081945,0.99849063,0.9514427,0.9600102,0.98979247,1.0056051,1.2534835,1.0722088,1.2075372,1.2171248,0.77439463,1.2179339,1.0924041,1.1384183,0.97516954,1.2114005,1.023833,0.94408286,0.92295414,0.7155484,0.94068784,1.0160283,1.0454618,1.1799134,1.2606254,1.052903,1.2079682,0.6498306,0.9650899,1.0625767,0.9461358,1.0560365,1.1002218,1.0217221
door,1.1147088,1.0674391,1.1876569,0.996661,1.1075069,1.1150641,1.0968817,1.1807896,0.869516,0.9037333,1.0895995,0.92220265,0.94036543,0.8656504,1.259788,1.0204124,1.0765437,1.0969113,1.119189,0.9399589,1.1528522,0.8309457,1.2453431,0.68305814,0.8875437,1.137965,0.6597323,0.94545346,1.1620914,0.93103355,0.6156564,0.9391944,0.4911685,1.0029198,0.93285525,0.88453174,1.1652182,1.0622019,0.91925806,1.1894792,1.033535,0.80143213,1.025801,1.1257656,1.0921067,1.1419766,0.0,0.77888936,1.1207898,1.1642522,1.1195284,1.1626866,1.0686846,1.1363089,1.1009911,0.9582414,1.1166004,1.1161872,1.266594,1.0628147,1.0707004,1.1966796,0.97251636,1.3215973,1.0034796,1.1363243,1.1310883,0.99830794,1.05956,0.7111565,1.2075809,0.9221515,1.0408564,0.94412965,0.3977059,0.85824907,1.1098919,1.179379,0.806993,1.2052696,1.0844553,1.2107093,1.1415834,1.1273767,0.87291974,1.0188348,1.1706314,1.2147679,0.7394549,1.0713289,1.0942253,0.88238275,0.9007684,1.0058516,1.0075384,1.0852646,1.1722089,0.9643419,0.7993449,1.1726235,0.82591724,1.1666907,1.1451815,1.2095318,1.1312214,0.9970385,0.9169369,0.39408684,0.93448526,1.043096,1.1713783,1.1160203,1.0952977,0.98162204,1.1052932,1.1881391,0.85506487,0.8496568,0.37230808,0.99866384,1.0330347,1.0554655,0.7874029,1.0976814,1.0557228,0.8722847,0.97443616,0.8418149,0.9851588,0.99652106,1.0586202,0.8642963,1.1270587,1.1256982,1.1052991,1.0551087,0.9438833,1.1424302,1.1579065,0.9193791,0.9490012,0.5973537,1.0154285,0.64646506
drawer,1.1824276,0.8442066,1.1020929,1.0501252,1.1021522,0.9671048,0.91547406,1.0343823,0.9028454,0.8606119,1.1518188,1.0363971,0.79485893,0.91360444,1.182333,1.0563617,1.1584921,0.9747281,0.8466975,1.0741823,0.86524385,0.66617644,1.2241362,0.94331473,0.8616979,0.9565587,0.86367774,0.7320918,1.2612023,1.1184645,0.7886711,0.8903049,0.9126538,1.1462138,0.9127351,0.88312864,1.059023,1.0668617,1.0797727,1.1057484,0.9795227,0.89109975,0.9231651,0.87533224,1.2093031,1.0728096,0.77888936,0.0,1.0596504,1.2090656,0.8739409,1.1566974,1.1575284,1.1690732,1.122209,1.066491,1.2019874,0.9162629,1.1219501,1.1195835,1.1317387,1.161783,1.0750585,0.9954151,1.2361835,1.033304,1.1602256,1.0449528,1.0179317,0.95372975,1.2073121,0.8347155,1.1885835,0.7620699,0.85685,0.9908258,1.2191651,0.8470522,0.9608017,1.3060893,1.0524206,1.043478,1.1345973,1.1420012,0.8616867,1.0632403,1.1765668,1.1228815,0.73053783,1.1744498,1.258822,1.2135904,0.78549075,0.8859428,0.9155732,0.9936659,1.1126958,1.130364,0.92444515,1.1735572,1.157717,0.95733374,0.99233466,1.1317775,0.91967034,0.97395587,0.76777285,0.64595014,1.013733,1.207958,1.0750864,0.90657544,1.2080421,0.9121925,1.1863492,1.084536,1.0275296,0.74614954,0.89620167,0.837453,0.9932843,1.0305232,1.0505694,1.042221,1.0580199,1.0353105,0.7846243,0.7550139,1.0532603,1.0400969,1.2161549,0.8646424,0.9110388,1.1882063,1.1459216,0.9062478,0.95364666,0.9927861,0.9478797,0.85625184,0.7925279,0.96558094,0.77398145,0.8763963
dress,0.8589505,1.0341578,1.1486126,0.9345709,0.93356526,1.0927082,1.0638239,1.0292581,1.0608869,0.975055,0.83646715,0.84693855,1.1914759,0.92484903,0.46810323,1.0878952,0.8981853,0.8126455,0.92391676,1.0910693,1.1878936,0.9645527,1.1914698,1.1611269,0.992951,0.9931688,1.1999578,1.0466763,1.0969883,1.090951,1.0260154,1.0672668,0.8970116,0.9669827,1.1163397,1.0789748,1.1373657,1.1489165,0.89626473,1.1161393,1.2082808,0.8418982,1.1373625,1.1334367,0.8248666,0.29848844,1.1207898,1.0596504,0.0,0.979527,1.0700502,0.9902863,0.78361344,1.1214011,1.1505427,0.96669644,1.0766525,1.0987455,0.8792248,0.9485688,1.0658209,1.0549923,1.0903181,1.0515474,0.8441861,0.9780359,0.9687804,1.1074342,0.95301074,1.0745664,0.7999158,0.9698548,0.9248245,1.0806751,1.0709368,1.183698,0.7621484,1.008164,1.009537,0.8554834,0.8553921,0.9742842,1.0738034,1.1565726,1.2438142,1.0522405,1.1596371,1.1636555,1.1191053,1.0220007,0.6971471,1.0094628,1.1573514,1.1939119,1.1949599,0.8834053,1.1244063,0.95920354,1.1505277,1.0428342,1.1781273,1.0061213,0.9256096,1.0627984,0.99538505,0.9110974,1.2498553,1.1411853,1.0350039,1.1045421,1.0205301,0.9696186,0.83794534,0.9602211,0.84041214,1.0667334,1.2197862,1.1725178,1.0236663,1.0736084,0.8016968,1.2896262,0.98344725,1.1976981,1.0313574,1.2284153,1.0697544,0.96797585,0.93732935,0.86423194,0.8499945,0.88701487,1.1463442,1.1342167,1.1977555,1.0354308,1.1941769,0.9246949,0.9376674,1.0199516,1.0173225,1.138439,1.1469258,0.92321396
ear,1.0055399,0.9772287,0.919289,1.1140567,0.98979974,1.053341,0.97216666,0.8207705,1.3268167,1.0745139,0.95749056,1.1311378,1.2040119,1.0465279,0.94785047,1.137669,1.0483946,1.1391644,1.2189869,1.14713,1.1047449,1.2827666,0.83668196,1.1951816,1.2868234,1.1509619,1.2026718,1.2596182,0.44785267,1.0420548,1.1513628,1.1152575,1.1567062,0.93864596,1.1002183,1.1089782,0.8849579,1.1089865,1.0224798,0.84437567,1.0237503,1.2151088,1.2286317,0.95001656,1.0109534,1.1337157,1.1642522,1.2090656,0.979527,0.0,0.982774,1.051865,0.70890355,0.3653838,0.9486114,1.0768906,0.5420797,0.97853625,1.0044994,0.82354105,0.53373075,0.83145016,1.1314664,0.89598966,0.650087,1.0450354,0.6291839,1.0094553,1.176811,1.2002044,0.99618423,1.2860737,0.8350769,1.0167824,1.1162151,1.0978482,1.0792925,1.2055054,1.1133758,0.7391391,1.0991292,0.40774477,0.89692354,0.7151647,1.1256806,0.6929587,0.46693546,0.87042964,1.1897674,0.8266594,0.99997663,0.8169991,1.1410984,1.0676506,0.9194981,1.0404154,0.70701915,1.0814537,1.1042633,1.0358815,0.9088609,1.1049683,1.1058347,0.5175965,1.1440345,1.0936706,1.2138152,1.2959139,1.0986371,0.8764952,0.99063015,1.0714813,0.8303442,1.0027926,0.87537336,0.90870786,0.9272709,1.1585255,1.1006515,1.0556713,1.1264982,0.93210375,1.0669844,1.0446657,0.99462026,1.1164632,1.1098373,1.0818701,1.0154612,1.1437665,0.9562976,1.12665,1.1286025,0.37873352,0.54547983,0.85472125,1.1272665,1.1958222,1.1205434,1.1808044,1.1749269,1.1229092,0.94341844,1.1315237
egg,1.4102908,0.5414139,0.4874584,1.085677,1.4227524,0.2640605,0.40475595,0.8213837,0.8493587,1.1592131,1.1759542,1.3423386,0.757568,1.4340413,1.223849,0.725687,1.3604361,1.2371309,1.0035121,0.71777934,0.63530827,1.1919826,0.8662651,0.8577167,0.80567765,0.76884437,0.7995963,0.8707024,0.9931355,1.2835608,1.3237486,0.65536374,1.3120213,1.332031,0.8219154,1.3013108,0.74904954,0.74157745,1.4216685,1.0662024,0.70674,1.3655932,0.491251,0.9697333,1.3409712,1.0306678,1.1195284,0.8739409,1.0700502,0.982774,0.0,1.2438366,1.1782184,0.82154334,0.9435785,1.0187114,1.0951605,1.0354583,1.0572194,1.2583187,0.8976317,0.9195795,1.1152133,0.7595787,1.1940367,1.0530912,1.2251008,0.6265814,1.0000678,1.1762689,1.343231,0.6928165,1.4678226,1.0943561,1.1930683,0.66781723,1.2217813,0.7106662,1.0669433,1.3139575,1.2260927,0.8880047,1.0378593,0.53411424,0.86021936,1.0447297,0.8666074,0.4781332,1.2959377,1.2372575,1.4083776,1.3987103,1.0667005,0.758228,0.90398,1.1025314,0.78699905,1.1514595,1.1183859,1.1797622,1.079683,0.9490576,0.7671579,0.4968031,0.5114093,1.297354,0.84828085,1.009557,1.2148072,1.019212,1.0221804,1.1002736,1.3333972,1.3110331,1.4303124,1.2058371,1.0718874,0.8572783,1.2869228,1.0604002,1.2308395,0.655483,1.2111607,0.5178181,0.80868006,0.91069174,0.8173108,0.9465863,1.1942296,1.2044345,1.4204624,1.2319448,0.3552884,0.71779364,0.8173793,1.1213465,0.8720325,0.5934479,1.1032037,1.0593313,1.0293286,1.058028,0.80399036,1.2329767
