category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist
hand,266,5,5,7.9705675647395,3.065003800059213,7.288050794829189
toe,262,5,5,10.54040103078965,4.184291426258122,8.960847650555309
pillow,265,5,5,11.507185653708003,4.106783605888857,10.568663934509718
door,262,5,5,11.653188921863336,3.4951296165628887,11.03286687347509
chair,266,5,5,11.763681418306103,3.3948736166538445,11.167161460290705
couch,264,5,5,11.805468256976118,4.0786740891281825,11.29525520306055
book,258,5,5,12.648222239464106,5.443676061332588,11.063869800634908
lamp,265,5,5,12.764202896264115,4.614791856736909,12.139250737045558
finger,255,5,5,12.906685362743884,5.606569855266735,11.083328919623316
bed,262,5,5,12.926206053596522,4.521045985287636,12.084625721944791
toy,266,5,5,12.930844362535371,4.295782335449255,11.821629676122699
table,265,5,5,12.959844954258193,4.276161251837905,11.953304767763166
refrigerator,263,5,5,13.21119994505091,5.109998086700538,11.939377225025535
window,259,5,5,13.424455576667675,5.443661675365492,12.278928859631863
hair,255,5,5,13.525904496596814,5.015877354284546,12.327530567631305
box,265,5,5,13.95700250330558,5.038767587577335,12.539484953243548
shirt,253,5,5,14.162452729351115,4.426163785127484,13.181893908457322
towel,261,5,5,14.309523651271565,4.340688269160976,13.407522854553623
napkin,264,5,5,14.431448211266098,4.631259495756915,13.368373211438051
blanket,260,5,5,14.452713273011973,5.293540446819142,13.371626252690238
glasses,250,5,5,14.60351153912633,7.7434317976609774,12.03284099060463
cup,264,5,5,14.762640583309441,4.602318214402692,14.049650278736602
hat,262,5,5,15.358469991981975,4.99407179798862,14.241221622301936
ball,260,5,5,15.512905316378776,4.546304551238819,14.239609768068911
pants,244,5,5,15.568329279453721,5.388036292639003,14.215641641948285
oven,246,5,5,15.618246809269145,6.821349967431023,13.92276341144119
bottle,264,5,5,15.982432278292704,4.529890879168363,15.092505723828559
bowl,262,5,5,16.08363109974598,4.525391963456788,15.251083765290105
bucket,262,5,5,16.16903899551486,4.928229581284644,14.869833200399277
sink,246,5,5,16.42190686249887,5.4899718311348815,15.118507670070409
drawer,246,5,5,17.050725098711965,6.372060556625732,15.270028947695803
plate,263,5,5,17.122036326130715,5.4538502982882555,15.994647116719083
balloon,256,5,5,17.157113208074392,4.977480034623708,16.14701100143575
paper,251,5,5,17.478242008841775,6.328153632297255,15.725064253273128
arm,247,5,5,17.559687439312277,6.6163876203782594,15.13823065145922
apple,246,5,5,18.481401028209973,5.2979765435664365,17.26388300339434
basket,252,5,5,18.662352911800394,5.253941924783296,17.915132297310425
jeans,213,5,5,18.986321749051648,7.11769238752028,16.948210266398824
plant,228,5,5,18.992404222971487,7.025438780276362,17.314636553394514
shorts,195,5,5,19.572570747263143,6.874469198868735,17.265192449375544
purse,248,5,5,20.034235636087516,6.399931832378206,18.444511478859752
shoe,240,5,5,20.354257904408414,7.036584004005758,18.21087838080934
pajamas,221,5,5,20.50172425781059,6.1087059789800495,18.779935901778362
can,245,5,5,20.573408733627254,6.4094893160256206,19.176602306887396
cat,220,5,5,20.64008458595297,6.924615393645074,19.003022307551205
tray,242,5,5,21.341673145215065,5.697845446780656,19.988606000673123
bench,231,5,5,21.381641928150895,6.579133754809761,19.901292529543035
crib,233,5,5,21.51421861679904,7.145946874996756,19.853199168330182
grass,64,5,5,21.80729464026424,10.346301820480498,17.678015584564626
fork,216,5,5,21.94153445657631,7.2555621486567,20.29806989264216
watch,136,5,5,22.037803452625354,10.517676547337022,19.220418967401788
dog,224,5,5,22.38796261206546,7.218805985511799,21.058717548627065
clock,194,5,5,22.395252503441377,9.52053192669316,21.5444805153303
nose,196,5,5,22.418287978266164,6.1425833362593645,21.467136550194617
sock,203,5,5,22.791534854275085,7.424061061398248,20.609409683419962
tooth,137,5,5,22.990363074497317,8.901438367895429,20.251143261168238
vacuum,218,5,5,23.061649486181498,6.802320025329921,21.23599150530154
doll,204,5,5,23.106566355726972,6.103905639282253,21.922031155753285
sweater,133,5,5,24.231683966230708,6.539457770128512,23.08868184672451
dress,124,5,5,24.32111365801952,6.565954723429219,22.228842598642952
ear,125,5,5,24.3316208358242,5.633273706583816,24.018502431415165
face,154,5,5,24.718908714751716,6.571352793080232,23.303716317541344
mouth,122,5,5,25.098065644965413,6.89921423389226,24.679768553538384
stroller,166,5,5,25.204209453873922,8.348572907125476,24.138040542156908
closet,171,5,5,25.46512783250731,7.288169199389503,24.53713632367181
foot,158,5,5,25.512094416641585,6.921505304705975,24.414067768638112
jacket,181,5,5,25.60613645577356,6.598968241640969,24.492568145916234
necklace,193,5,5,26.30231383308392,6.46130920967179,25.80905009951976
flower,189,5,5,26.664837692061898,7.8932917379007135,26.487072003506324
slide,187,5,5,26.85666872718339,7.022417394820484,26.204261549091292
car,200,5,5,26.90909041483297,6.445015414520683,26.238705028721053
glass,145,5,5,28.26701886230637,6.3839426465667275,26.93457199779005
eye,76,5,5,28.505663340183087,5.977903128344392,27.458089593464898
jar,155,5,5,29.416445095888225,6.44648265435825,28.181238973939827
tree,108,5,5,29.420169711729894,6.0026920677922675,29.190441651901224
butterfly,50,5,5,29.96404175690964,7.520173400224745,30.075176316305168
shower,87,5,5,32.118038106012804,7.359961170400963,33.15085831016415
pony,60,5,5,32.17667379219882,7.128569932296813,33.24739824421701
cracker,80,5,5,33.591744951607,5.429382376089934,32.68132923064789
rock,30,5,5,33.76021491569057,8.124108361637662,34.375100630099176
scarf,58,5,5,35.06659466104371,6.158254177531472,37.45793440929307
dish,64,5,5,35.73000194304852,7.476074762610007,36.667288080956695
swing,24,5,5,36.6827695684867,5.383930407939783,35.891194788542194
bird,91,5,5,36.855513982464196,5.986378653102961,37.28625314568751
stick,33,5,5,38.49655278137707,4.808149217772807,39.290882299002575
