category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,mean_bv_to_bv_centroid,n_bv,local_rank,global_rank,rank_shift_local_minus_global,embedding
box,265,5,5,13.95700250330558,5.038767587577335,12.539484953243548,12.14136776029484,66750,70.0,25.0,45.0,dinov3
shirt,253,5,5,14.162452729351116,4.426163785127484,13.181893908457322,11.072717931273043,9402,69.0,68.0,1.0,dinov3
towel,261,5,5,14.309523651271563,4.340688269160976,13.407522854553624,12.11410759160976,33272,68.0,29.0,39.0,dinov3
napkin,264,5,5,14.431448211266098,4.631259495756915,13.368373211438051,11.820813096013062,35562,67.0,39.0,28.0,dinov3
blanket,260,5,5,14.452713273011971,5.293540446819142,13.371626252690238,11.45364127597684,28388,66.0,54.0,12.0,dinov3
glasses,250,5,5,14.60351153912633,7.7434317976609774,12.03284099060463,10.764000969544426,59879,65.0,76.0,-11.0,dinov3
cup,264,5,5,14.76264058330944,4.602318214402692,14.049650278736602,12.783684569871204,105034,64.0,8.0,56.0,dinov3
hat,262,5,5,15.358469991981975,4.99407179798862,14.241221622301936,12.621549569541097,15166,63.0,13.0,50.0,dinov3
ball,260,5,5,15.512905316378776,4.546304551238819,14.239609768068911,12.521109489284562,31235,62.0,17.0,45.0,dinov3
pants,244,5,5,15.56832927945372,5.388036292639003,14.215641641948285,10.750955961108865,5664,61.0,77.0,-16.0,dinov3
oven,246,5,5,15.618246809269143,6.821349967431023,13.92276341144119,11.479643548367102,28153,60.0,53.0,7.0,dinov3
bottle,264,5,5,15.982432278292704,4.529890879168363,15.09250572382856,12.810714669711126,60304,59.0,6.0,53.0,dinov3
bowl,262,5,5,16.08363109974598,4.525391963456788,15.251083765290105,12.748099571242788,84340,58.0,9.0,49.0,dinov3
bucket,262,5,5,16.16903899551486,4.928229581284644,14.869833200399276,12.794084114095584,38435,57.0,7.0,50.0,dinov3
sink,246,5,5,16.42190686249887,5.4899718311348815,15.118507670070407,12.17800839733977,34414,56.0,24.0,32.0,dinov3
drawer,246,5,5,17.050725098711965,6.372060556625732,15.270028947695804,11.217193090821212,20456,55.0,64.0,-9.0,dinov3
plate,263,5,5,17.122036326130715,5.453850298288256,15.994647116719085,12.659476724735557,73202,54.0,11.0,43.0,dinov3
balloon,256,5,5,17.157113208074392,4.977480034623708,16.14701100143575,11.987455918396028,24663,53.0,33.0,20.0,dinov3
paper,251,5,5,17.478242008841775,6.328153632297255,15.725064253273128,11.61925800197942,5505,52.0,47.0,5.0,dinov3
arm,247,5,5,17.559687439312277,6.6163876203782594,15.13823065145922,11.41406743320375,3084,51.0,55.0,-4.0,dinov3
apple,246,5,5,18.481401028209973,5.2979765435664365,17.26388300339434,11.962389376473752,11674,50.0,34.0,16.0,dinov3
basket,252,5,5,18.662352911800397,5.253941924783296,17.915132297310425,12.337399518319392,29745,49.0,21.0,28.0,dinov3
jeans,213,5,5,18.986321749051648,7.11769238752028,16.948210266398824,11.00059449653961,4220,48.0,74.0,-26.0,dinov3
plant,228,5,5,18.992404222971487,7.025438780276362,17.314636553394514,11.047438953809843,30220,47.0,69.0,-22.0,dinov3
shorts,195,5,5,19.572570747263143,6.874469198868735,17.265192449375544,10.85555058483446,3792,46.0,75.0,-29.0,dinov3
purse,248,5,5,20.03423563608752,6.399931832378206,18.444511478859752,11.886229711664996,10269,45.0,37.0,8.0,dinov3
shoe,240,5,5,20.354257904408414,7.036584004005758,18.21087838080934,12.007470654080947,8408,44.0,31.0,13.0,dinov3
pajamas,221,5,5,20.50172425781059,6.1087059789800495,18.77993590177836,11.405749864345417,3041,43.0,56.0,-13.0,dinov3
can,245,5,5,20.573408733627254,6.4094893160256206,19.1766023068874,12.32356619347721,4817,42.0,22.0,20.0,dinov3
cat,220,5,5,20.64008458595297,6.924615393645074,19.003022307551205,12.128209473548337,3609,41.0,27.0,14.0,dinov3
tray,242,5,5,21.341673145215065,5.697845446780656,19.988606000673123,12.417089684332302,10348,40.0,18.0,22.0,dinov3
bench,231,5,5,21.38164192815089,6.579133754809761,19.901292529543035,12.627862630441852,7074,39.0,12.0,27.0,dinov3
