,alligator,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,jacket,knife,ladder,lamp,milk,mitten,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shower,sink,slipper,snow,soap,spoon,strawberry,stroller,sweater,table,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,0.62035763,0.89647156,1.2896744,0.6167896,1.3017163,0.6934744,0.643106,1.2171373,0.9101441,0.70651436,1.2136395,0.6754066,0.71484697,1.0959331,1.3204939,1.1125958,1.0463163,0.7966616,0.9041383,1.2566291,1.2105893,1.4212866,1.1214544,0.6840992,1.0631227,0.96891415,1.4335897,1.2188014,1.0652233,0.6689834,1.4250972,0.78804827,1.1193546,1.1016781,0.8391018,0.91074216,1.1720982,1.1689873,1.0080198,0.827902,0.89461243,1.1794116,1.1152443,1.1187156,0.8801921,0.7592186,1.3558714,0.83545715,0.99947095,0.7882409,1.1371888,1.0276499,1.2420063,0.87976444,1.1909297,0.8017853,1.5018744,0.97342664,0.54080975,1.1366335,1.1138644,1.0900943,1.1816422,0.65990347,0.8463136,0.7605307,1.3179693,1.3208163,1.0324084,1.1198194,1.0050066,1.0983381,1.1547192,1.3249016,0.99704903,1.1793396,0.76977944,1.138397,0.73499143,0.9666114,0.80988383,0.74168015,1.3340187,0.8699718,1.1462828,1.341398,1.2060626,0.7871745,0.8834541,0.66291875,1.0298595,1.2225008,0.7998661,1.2922144,1.0709274,1.0796134,1.1791462,1.2906761,1.2820437,0.97359353
arm,0.62035763,0.0,1.1405039,1.1416855,0.9055364,1.2099236,0.7480325,0.6055016,1.1840417,0.8568785,0.64678556,1.3170785,0.6568738,0.5035657,1.0916642,1.4831893,0.9345304,0.9229848,0.6528399,0.9511299,1.3797371,1.3295367,1.3055646,1.4293016,0.73423266,1.135234,0.8119899,1.4815838,1.0560602,1.2342355,0.6061262,1.4295018,0.8110352,1.250819,1.0513117,1.1491611,1.0090494,1.0206255,0.97342825,1.0437049,0.88494945,0.7232477,1.3149326,1.3001094,1.1079503,1.2414296,0.9226796,1.3167167,1.0801126,1.2117604,0.852064,1.1520545,0.6742264,1.3493751,0.783672,1.0823226,0.83928317,1.4935622,0.9945378,0.77696556,1.1881682,1.1827383,1.0856532,1.1444468,0.5017979,0.79770553,0.7459269,1.3794526,1.2630624,1.1420777,1.0070945,0.8489467,0.9805146,1.1771066,1.3926988,0.96639806,1.1669911,0.76150733,1.0464047,0.47442055,0.96619344,0.7212676,0.73159933,1.4327126,0.8879148,1.2152079,1.1836631,1.3473647,0.80781364,0.77691483,0.7092101,0.94929814,1.2288474,0.87793386,1.2396783,1.3414981,0.86206037,1.2375926,1.2361752,1.2924452,1.0099139
ball,0.89647156,1.1405039,0.0,0.8715035,0.5393353,0.9759194,0.91943204,1.0323756,1.1402732,0.94614434,1.0002215,1.0546083,1.0369779,1.1009316,0.9891098,1.024449,0.8388469,0.95141417,0.9608722,1.0604031,1.039487,1.2024701,1.149011,0.76844233,0.90570456,1.1684811,1.2412889,1.0602807,1.0900813,1.0350294,1.1259533,1.1104025,1.0572058,0.93819225,0.81186676,1.0513518,0.92977476,1.097803,1.1248724,1.0063789,0.9280809,1.0115005,1.1573513,0.865988,0.9656932,0.5819788,0.92079186,1.1832255,0.7470461,0.62898815,0.963217,1.2113931,0.97716296,1.0392255,1.0176802,0.9748542,1.0465487,1.100351,1.0372071,0.68110096,1.0067832,1.1028678,1.2327471,1.0679187,1.0121993,1.070379,0.9206147,1.1114235,1.1521575,0.8780561,1.2652298,0.9718854,0.8279706,0.97523904,1.1157608,1.0647756,1.1385446,0.9351746,1.0767838,1.0759282,0.8240354,1.124814,0.9058118,1.1813035,1.0960442,1.0749993,1.0068024,1.1948524,1.0615145,0.90097415,0.8913485,1.1786466,1.2309101,0.9111979,1.1271881,0.49683315,1.1563458,0.9977234,1.1518306,1.1675485,0.95806664
balloon,1.2896744,1.1416855,0.8715035,0.0,0.9942563,0.65652394,1.2459497,1.3323457,0.8858154,1.1255996,1.2550474,0.9143939,1.2251215,1.217681,0.98224175,0.74037874,0.96309984,0.98210794,0.8755945,1.2002187,0.7023865,0.79787123,0.7916651,1.0532752,1.0951377,1.0459534,1.0933489,0.8464842,1.0709736,1.1140977,1.3107933,0.727749,1.2880905,0.87283933,0.98958516,1.0137709,1.0865597,1.1256136,1.0562955,0.9244759,1.2394046,0.9585847,1.0669565,0.82681173,0.9346921,0.9334659,1.2963469,0.8643853,0.86736506,0.839553,1.2581917,0.9180136,0.9553137,0.8822935,1.0480932,0.9904307,1.3075967,0.8384247,0.9957363,1.0388478,0.6072209,0.86705315,0.8821527,1.1313783,1.1763105,1.0715383,1.1816958,0.8704314,0.8447722,0.7498801,0.9789941,1.0045683,0.9965115,0.8323871,0.91900736,1.1098294,0.9460238,1.0747507,0.7867954,1.2179245,0.82747954,1.200741,1.2325883,0.8774619,1.3164448,0.72461593,0.77496856,0.69606835,1.1785619,1.2272913,1.2908752,0.8189119,0.8910898,1.0181638,0.734096,0.74550354,1.0917249,0.9917961,0.7058816,0.7972144,1.2991421
banana,0.6167896,0.9055364,0.5393353,0.9942563,0.0,1.196013,0.8654669,0.90927327,1.1339204,0.86940205,0.8940017,1.1007011,0.90159273,0.8868047,1.0784794,1.2179507,0.9520762,1.0339618,0.98214054,1.0133182,1.0630414,1.2391565,1.3696687,1.0146828,0.8201362,1.2333858,1.1520219,1.3708773,1.1892143,1.103594,0.96872437,1.290252,0.9828499,0.9672289,0.92271954,1.0753821,0.97113043,1.2330254,1.0911319,0.89593744,0.9415273,0.86788964,1.1697882,0.98599315,1.0087042,0.38921535,0.92550474,1.3375626,0.6905448,0.6262006,0.9220692,1.1847959,0.9750795,1.1389413,0.96031857,1.1733073,0.98913234,1.4372704,0.8251313,0.3922305,1.0789548,1.041483,1.109477,1.141343,0.91422975,0.8966285,0.81186545,1.2199169,1.2801921,0.44422364,1.2272023,0.9403346,0.91296077,1.0775474,1.3308892,1.1260098,1.1947407,0.89227134,1.0597516,0.973695,0.8106718,0.97081566,0.88368315,1.2174656,1.1229897,0.7336689,1.1600082,1.2463325,0.9220604,0.9553415,0.85062397,1.0488497,1.1921471,0.68192846,1.2662685,0.58583236,1.1381946,1.157083,1.2665895,1.2334306,1.0924813
basket,1.3017163,1.2099236,0.9759194,0.65652394,1.196013,0.0,1.0785202,1.2060976,1.1194856,0.9172983,1.2015146,0.8610902,1.1744602,1.2650079,0.8146057,0.75306314,1.0518386,0.3504504,0.97519475,1.0727439,0.9255698,0.96014225,0.7598906,0.8586079,1.1236371,1.2117122,1.1398607,0.7706873,1.0052181,1.0387802,1.2477005,0.7977295,1.0364393,1.0413821,1.0182894,1.1089906,1.0967234,0.9476339,1.0668993,1.0697405,1.0803081,1.1778392,1.0646347,0.866464,0.9429791,1.0487252,1.2081949,0.89389044,0.9813589,0.86849207,1.1392666,1.0585532,1.0680315,0.9835882,0.9511661,0.8247731,1.1952453,0.7859634,0.9669396,1.2583597,1.0072827,1.0612154,0.8681105,0.9538665,1.1896881,1.1977082,0.9960972,0.8925307,0.8351462,1.1048906,1.2162478,0.86748755,1.060174,0.886598,0.7573281,0.96318954,1.0811968,1.0056716,0.82482487,1.225074,0.96493584,1.127096,1.0889984,1.012386,1.1624984,1.1423953,0.66208977,0.9380945,1.2520125,1.0076407,1.0723584,1.1841617,1.09366,1.1796994,0.85930157,0.8140656,0.8992976,0.91166747,0.8580209,0.9292759,1.0797744
bathtub,0.6934744,0.7480325,0.91943204,1.2459497,0.8654669,1.0785202,0.0,0.7214629,1.2924459,0.80398965,0.87628245,1.1769179,0.8287032,0.8788701,1.0132443,1.3969377,0.6003011,0.64849174,0.80562913,0.8983619,1.4162853,1.3250942,1.2894824,1.1401957,0.80598736,1.2467477,1.1265037,1.2858804,0.9463739,1.1528116,0.9048099,1.3851297,0.74832666,1.0851408,0.5859094,1.2916434,1.1788487,0.9866311,1.0391097,1.1067926,0.9883942,1.0441457,1.1999304,1.2533604,0.95554763,1.0778565,0.93776923,1.3752854,1.1674732,1.0720037,1.0158687,1.343046,1.1098174,1.3851733,0.90942526,1.0327417,0.81875074,1.3324189,0.98268664,0.94716626,1.3555827,1.139791,1.1662445,0.9619252,0.8337363,0.9486528,0.662223,1.3332521,1.3189166,1.0850924,1.2932551,0.91762125,0.53372335,1.1239026,1.2445061,1.0893106,1.2942529,0.7779963,1.1456401,0.81678575,1.0856223,0.7715317,0.01881349,1.4074974,0.83171695,1.2957639,1.1432166,1.4141402,0.96517277,0.77361834,0.055933595,1.2981536,1.2637626,0.9647983,1.2832197,1.0679276,0.60105395,1.1088561,1.3461928,1.4103975,0.8342862
bed,0.643106,0.6055016,1.0323756,1.3323457,0.90927327,1.2060976,0.7214629,0.0,1.1630915,0.7896857,0.6697719,1.2789861,0.16509563,0.62425905,1.0890408,1.4691956,1.019676,0.9048944,0.7642981,0.81082654,1.483496,1.3911221,1.4030826,1.2064161,0.9397407,1.1327784,0.62521464,1.4150016,1.2080145,1.229776,0.18885136,1.532624,0.6281234,1.3732821,1.0937698,0.958318,0.83697915,0.9807003,1.1245182,0.94920295,0.87599635,1.1127375,1.2441273,1.1490507,1.3331399,1.0168145,0.79678774,1.369554,1.0196283,1.2326573,0.75852627,1.3700106,1.0593606,1.310478,0.72702193,1.2388661,0.7648274,1.4898837,1.0654172,0.79433274,1.3323383,1.2071854,1.0986764,1.052225,0.36979938,0.8573052,0.8595106,1.400377,1.419579,1.2072394,0.96746886,0.84586805,1.0558015,1.0068284,1.2502002,0.81012845,1.3396665,0.6690854,1.2635478,0.50213176,1.012457,0.52668494,0.74919415,1.3540404,0.441495,1.371592,1.2925224,1.4088404,0.6093652,0.72422487,0.6435598,1.219018,1.3941224,1.0944431,1.301799,1.11336,1.0629559,1.0601699,1.4031801,1.4237978,0.73932785
belt,1.2171373,1.1840417,1.1402732,0.8858154,1.1339204,1.1194856,1.2924459,1.1630915,0.0,1.1718042,1.1300132,1.0342785,1.0594463,0.96837056,0.93147707,0.8880113,1.2678789,1.210634,1.1148257,1.157517,0.6638386,0.9103067,0.75889367,0.9486153,1.1523751,0.634933,0.9159635,0.91267186,1.0955424,0.67715776,1.0889932,0.5603025,1.1458695,0.85134625,1.2595527,0.99124503,0.9513923,1.1722989,0.72819054,1.0881885,1.261597,0.9599997,0.99137706,0.96457374,1.0600226,0.99495965,1.0665916,0.81627446,1.0134584,0.9746822,1.1463042,0.75257677,1.1127069,0.8084425,1.0004637,0.959143,1.0364804,0.8539421,1.1058487,0.9881545,0.8514012,0.74190944,0.89189726,0.8800544,1.0827243,0.93545246,1.1243334,0.59531635,0.6646447,1.0846854,0.5156893,1.2349237,1.2835345,0.76610106,0.916653,1.0240433,0.70086867,1.1968756,0.8962626,1.1535838,0.9799402,1.1761253,1.31003,0.49513626,1.095314,0.8822854,1.1309394,0.77530324,1.0603266,1.2750707,1.3074998,0.6660979,0.6997225,1.0239512,0.66269124,1.0754498,1.1196256,0.9979396,0.84193593,0.70406806,1.043624
bench,0.9101441,0.8568785,0.94614434,1.1255996,0.86940205,0.9172983,0.80398965,0.7896857,1.1718042,0.0,0.8763617,1.2832975,0.7310667,0.8754452,1.0583252,1.3247527,0.9687448,0.6645838,0.9420878,0.68886596,1.240643,1.4060674,1.1856813,1.0984854,0.9151675,1.1356221,0.79325974,1.3656183,0.8922264,1.1888862,0.7775598,1.3360703,0.65138197,1.2474681,0.9498196,1.0242501,0.9855792,0.7674761,0.7781194,0.8386051,0.9237772,1.0454311,1.3261642,1.0676191,1.246014,1.1466516,0.7942356,1.3603094,0.9262653,1.1324015,0.9852593,1.2928321,1.0332308,1.340544,0.65448916,1.0058594,0.9063696,1.2751582,0.9975986,0.88586646,1.3595061,1.1502155,1.0779644,0.8995011,0.7670703,0.9217901,0.8441052,1.3970716,1.3243325,1.0827378,1.0101447,0.7950716,0.9465905,0.9928099,1.2735755,0.7939164,1.1408792,0.70702267,1.1729888,0.873159,1.0326385,0.67539483,0.79895604,1.4710681,0.9883012,1.1583744,1.0880772,1.3142353,0.74607784,0.82428133,0.7716044,1.2985739,1.2229342,1.0672697,1.1315898,1.0997449,0.79647076,1.0896401,1.1473943,1.4457178,0.88135046
