,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coat,comb,corn,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,dress,ear,egg,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hand,hat,hose,jacket,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
sink,1.0630099,1.0962893,0.9431241,1.0334946,1.0278313,0.93418443,0.97143364,0.34017485,0.9193289,0.84660345,1.1146237,0.7800607,0.8578675,1.1499559,0.89507616,1.0346242,0.97924066,1.1471506,0.9931324,0.941827,1.2105957,1.1479142,0.83969355,1.015621,1.0463741,1.2422315,1.0807589,0.96661997,1.0173309,0.8249124,0.9630301,0.9629313,1.1417027,0.90293276,1.0529087,1.1626949,0.9096635,0.92818844,1.196404,1.1047872,0.7871106,0.93208534,1.0048769,1.0519892,1.0644708,1.1255575,1.0874072,1.2503412,0.99904144,1.1694784,1.1354749,1.1106119,1.1087333,0.9187751,1.1600077,1.0201375,0.9670211,1.0516924,1.029694,1.2783916,0.8750771,0.992132,0.89998394,0.85992485,0.935117,1.0489731,0.99026,0.9898415,0.7132398,0.975995,1.107549,1.1620425,0.85402876,1.1661241,1.1973659,1.0344807,0.7595849,0.97980285,0.97798634,1.0534639,0.8678535,1.236868,1.2639694,1.1131415,0.83951354,1.2090247,1.0245924,1.1934788,1.2413423,1.1443619,0.7217765,1.0023799,1.1373667,1.1044822,0.9149405,1.1260449,0.9680278,1.0889163,0.72784656,0.0,0.79569983,1.2473663,0.6425027,1.0171365,1.103529,0.88864,1.0962293,1.1252658,0.99431384,0.7649605,1.1177499,1.2322285,1.1484323,0.7928315,0.99519116,0.97174346,0.79627264,1.1216025,1.2304362,0.7618382
slide,0.93448687,1.1505053,0.8672465,0.98351187,1.0496677,0.98097074,1.2255322,0.9030703,0.78247327,0.4022789,1.3251431,0.4676324,0.5568121,1.1969835,0.5612005,1.0089475,0.9611394,1.2825148,1.3083966,0.77431434,1.3619686,1.2819334,1.1947281,1.292552,1.0466837,1.2934723,0.8779632,0.85633016,1.2365935,0.8078301,0.90053976,0.7931396,1.0634589,0.63097066,1.1289585,1.3108997,0.5341647,1.2527541,0.9253995,0.86095405,0.88988537,1.1997265,0.7987319,0.9979189,1.1690071,1.30151,0.870623,1.4156601,1.128861,1.2081705,1.2144654,1.308168,1.0248439,0.8584305,1.3634815,1.0034761,0.99999905,0.85127974,1.045362,1.3776755,1.0430303,0.603299,0.9187163,1.1013503,0.8713436,1.3054159,0.9136607,1.0517724,0.827303,0.9433299,0.9387544,1.2745806,1.205384,1.3793194,1.3765757,1.2251755,0.9582973,0.83630633,0.55949193,0.85307515,0.8383808,1.3698249,1.3771038,1.2971392,0.6361213,1.3340195,1.3013477,1.2381425,1.2801561,1.2792912,0.7720124,0.8111577,0.89382815,1.1969477,0.71438026,1.1755551,0.8913537,1.2107507,0.81928,0.79569983,0.0,1.3762894,0.89784503,1.1678245,1.2815119,0.9537933,1.2403865,0.96717894,0.76409185,0.44401526,1.3355404,1.3721151,1.1172185,0.7206881,1.2997456,0.77865493,0.79572654,1.090746,1.2277164,1.0531877
slipper,1.0182297,0.89049476,1.2652376,1.1765511,1.1345572,0.913527,0.8645178,1.27586,1.2514545,1.497622,0.4028203,1.5140982,1.4496832,0.8098798,1.4225082,1.2079372,1.1724486,0.43247318,0.39201564,1.4502579,0.6090688,0.8444363,0.81277895,0.42345548,0.79991776,0.7299171,1.0721409,1.2591488,0.6965399,1.4382083,1.3543196,1.2436347,0.92045486,1.485789,0.97290295,0.37981027,1.4908651,0.7783849,0.7977979,1.0297859,1.3860795,0.8753987,1.2556791,1.1610299,0.837492,0.4503882,1.0108112,0.3922305,0.6626617,0.5613998,0.61054116,0.6866146,0.8637067,1.2231644,0.2692386,0.8896441,1.1344547,1.2699063,1.1033113,0.24063706,1.157451,1.4198368,1.4226812,1.0165925,1.267409,0.5579663,1.2096239,1.2478403,1.3107244,1.1861953,1.3061146,0.38200986,0.7626424,0.46345127,0.4103254,0.80807096,1.3176162,1.1505723,1.4500504,1.3387069,1.4217882,0.37035465,0.51396716,0.6828886,1.3187451,0.5796233,0.34736466,0.783031,0.64970934,0.47000843,1.5277274,1.1666119,1.2555903,0.83521473,1.3601319,0.42343485,1.2703125,0.9569849,1.3763016,1.2473663,1.3762894,0.0,1.2489228,0.6317731,0.7278964,1.2354952,0.71170837,1.0454948,1.3153241,1.512399,0.40160006,0.2866081,0.9391556,1.3570213,0.7652136,1.0574236,1.1040103,0.861627,0.2504397,1.0995091
snow,1.0931419,1.1674442,0.83766204,1.0997773,1.0820148,1.142761,1.1844295,0.47159427,0.7736143,0.8674917,1.1880744,0.971926,1.0116765,1.0848821,0.95958763,1.1701455,1.3298502,1.2476337,1.1408236,1.1650658,1.2214168,0.89690524,1.216059,1.1240584,1.0758872,1.1729858,0.6324603,1.1394325,1.0150965,0.85033184,0.97455376,0.9117592,1.0523303,0.92142683,1.1062393,1.1976303,1.002224,1.2647593,1.0759228,1.2471304,0.6006682,1.1139193,1.0390373,0.92775285,1.0749625,1.0538924,1.091362,1.2247012,0.98157203,1.2128795,1.0612327,1.1353852,1.226688,0.6866308,1.0765344,1.1363058,1.2812829,1.0136395,1.1049738,1.2534597,0.7291769,0.918098,0.879804,0.8841177,0.8941978,0.9210509,0.9580644,0.99323326,0.8547651,1.0941398,1.0459366,1.0979482,1.0813777,1.0907961,1.1689589,1.0963472,0.83334124,0.71280676,1.0354646,1.0187776,1.157934,1.2966247,1.3487287,1.0170455,0.86743057,1.1340566,1.1714947,1.217195,1.3169193,1.1110907,0.54281986,1.0142152,1.1065583,1.1735938,0.89260256,1.2451707,1.027375,0.88854367,0.45452952,0.6425027,0.89784503,1.2489228,0.0,1.0481782,1.1058481,1.0081116,1.2058007,1.1505497,0.88776857,0.8525549,1.0444158,1.2085745,1.1272341,0.99695694,1.1105411,1.2950063,1.0353379,0.9769409,1.2190866,0.24078846
sock,1.1794834,1.1391591,0.77897984,1.1163851,1.1008387,1.1213467,1.0639883,0.95929235,1.2375603,1.1827409,0.72007173,1.0804203,1.0462632,1.0005106,1.0644822,1.1031114,1.1954758,1.0462867,0.95976114,1.1673018,0.7070546,0.8782573,0.74155575,0.77373916,1.2570611,0.96035576,0.9661262,0.9743,1.047036,1.2116508,0.9640567,0.91648555,1.0555567,1.0953541,0.99298084,0.97238797,1.294926,1.0337617,0.98027444,0.95352244,1.1265254,0.8128205,0.94727063,1.17983,1.1236689,0.9440982,1.1721718,0.64024436,1.1094564,1.131565,0.6538253,0.96567565,1.2083514,1.2208412,0.861023,0.53203213,1.1287668,1.1923647,0.7525801,0.7558254,1.0238252,1.2609386,0.968795,0.8895463,1.195378,0.9415329,0.81789273,1.0439776,1.0177083,0.77618134,1.1993134,0.9405255,0.6318462,0.70316976,0.83258915,1.0465605,1.1111162,1.0324945,1.1532974,0.8743464,1.1759585,0.85257256,0.7848007,0.6460393,1.0499734,0.90844387,0.89074576,1.1122793,0.80782515,0.9600274,1.2407501,1.155258,1.0025603,0.9864131,1.1258657,0.617516,0.8760439,0.8774655,1.2120699,1.0171365,1.1678245,0.6317731,1.0481782,0.0,0.99311775,1.0291653,1.074953,0.98485297,1.1419268,1.2776608,0.792733,0.4672681,0.8644501,0.9998988,0.5702523,1.1828042,1.089886,1.010472,0.7928246,1.0607547
spoon,0.90275663,0.7703439,1.3054023,1.025965,0.9682956,0.9011247,0.9268849,1.1643505,1.1746657,1.4162157,0.854956,1.3703384,1.367923,0.6804973,1.3892024,1.0774434,1.0901903,0.68472886,0.7441897,1.3846416,0.9039583,0.55116415,0.9299795,0.7836573,0.87807006,0.7859521,1.1510665,1.2178736,0.6086913,1.1442599,1.1707859,1.1868359,1.0541136,1.3958719,0.94846195,0.6612839,1.3069785,0.9207011,0.97875893,1.0953797,1.1292554,0.9829839,1.2039362,1.0670674,0.8556553,0.78574777,1.0922151,0.900335,0.820066,0.75299275,0.9306653,0.16866255,0.78162956,1.1486428,0.6696371,1.0664226,1.0885762,1.2163807,1.2727246,0.83656615,0.8358899,1.2836231,1.304166,0.8377402,1.0001062,0.47982,1.2428106,1.1087971,1.2200881,1.194181,1.0114058,0.83317643,1.0228624,0.8807586,0.8172791,0.8442589,1.0726284,1.1608891,1.3502083,1.2531378,1.1654154,0.77272636,0.8883515,0.9999646,1.2858577,0.70768183,0.75774324,0.80435294,0.8519228,0.7470745,1.2568325,1.1236846,1.2359185,0.38184738,1.283906,0.8717425,1.2659098,0.5926479,1.1697183,1.103529,1.2815119,0.7278964,1.1058481,0.99311775,0.0,0.9352762,0.7809833,0.9352297,1.2762737,1.3139272,0.6992559,0.88432795,0.9036578,1.2088182,0.99976766,1.01402,1.0246258,0.5503734,0.8760745,0.95396525
sprinkler,1.0617096,1.0601574,0.97705394,0.80616915,0.788536,0.9939299,0.9903321,0.9664485,0.9360304,0.9860932,1.2315754,0.9242183,0.78330976,0.9467712,0.94272053,0.8726767,1.0165093,1.1888796,1.3216797,0.9348631,1.0263958,1.0147362,0.98528314,1.3327818,1.2080251,1.2050226,0.96389204,1.0166221,0.99004567,0.9128034,0.89072573,0.9086271,1.1315919,0.9340781,1.0798372,1.3517873,0.9032581,1.1126292,0.9023218,0.8495486,0.9719514,1.0261159,0.883147,0.93991315,1.0810851,1.1430686,1.0111314,1.2349477,1.2168986,1.2696079,0.95451975,1.0920485,0.925414,1.0897962,1.272923,0.6893164,0.9479425,0.96768445,0.9247676,1.2568861,0.88304234,1.0107932,0.9603637,0.96891296,0.96964806,1.2049956,1.0196943,0.6448349,0.81713516,0.5987299,0.8199392,1.334012,1.0255152,1.0689087,1.2606031,1.0809405,0.9251803,0.9644792,0.9858749,0.9954566,0.8471824,1.3031988,1.2055483,1.1671805,1.0105494,1.2296348,1.2454464,0.9583419,1.0965483,1.314419,1.022398,0.8970983,0.85904515,0.940349,0.9951362,0.90335,0.94566435,1.0203187,0.94597334,0.88864,0.9537933,1.2354952,1.0081116,1.0291653,0.9352762,0.0,1.1980588,0.93969375,0.9857421,0.98094773,1.0167837,1.1726367,0.99201894,0.71033037,1.0463152,0.79173887,0.9737258,1.0985647,1.1868112,1.1007384
strawberry,0.87622225,0.11598754,1.2811195,0.8726201,0.8283779,0.7955985,0.76867306,1.1969086,1.1972587,1.3656418,0.8521477,1.2441745,1.3193545,0.82455933,1.3376108,0.9772202,0.8569491,0.67361385,0.63761544,1.1117698,0.80663437,0.9973968,0.8458811,0.65597117,0.82355535,0.79471016,1.323283,1.1807928,0.69256246,1.2396483,1.2642083,1.208616,1.0062474,1.3921916,0.91212887,0.59425294,1.2850895,0.6491971,1.1003512,1.0568798,1.2640504,0.9104075,1.2249079,1.1216488,0.6173752,0.7492308,1.0811833,0.8475405,0.79039764,0.6205136,0.97796607,0.7424692,0.63873124,1.0832213,0.7228781,1.1899091,0.8358801,1.2846777,1.2213964,0.79445297,1.1223652,1.2266997,1.3279791,1.0914545,1.121652,0.71040225,1.2554493,1.0044861,1.2550749,1.2449623,1.1953175,0.68582296,0.9953686,0.8809542,0.72227585,0.5668156,1.1338854,1.1770351,1.300108,1.3351692,1.0589966,0.6603652,0.79546034,1.0140941,1.2196602,0.77501756,0.6801445,0.5590371,0.8985018,0.74276507,1.2999948,1.1603377,1.2559376,0.87094235,1.2579138,0.91011554,1.2528994,1.0105321,1.27449,1.0962293,1.2403865,0.71170837,1.2058007,1.074953,0.7809833,1.1980588,0.0,1.1498878,1.2789658,1.2173275,0.8036183,0.78759503,0.98999333,1.3666022,0.9558009,0.8000277,0.9251503,0.95690405,0.816249,1.0940981
stroller,1.2146425,1.1862679,1.0583378,1.144378,1.1788166,1.1694127,0.9253332,0.9446536,0.999225,0.92830336,1.1075699,0.88129956,1.1229446,1.1449745,0.9463147,0.97108305,1.1227773,1.0614556,1.1442788,0.87340236,1.0757376,0.80611837,0.79646015,1.0193052,0.8991192,1.231318,0.7813764,0.45900542,1.1834136,0.6690438,0.9193359,0.8982059,1.1617047,0.7516327,1.1377594,1.2782729,0.65982664,1.211799,0.5977908,0.9048089,0.6861535,0.94862115,0.8228155,0.92040455,1.2833943,1.2195308,1.0205472,1.1321344,1.2390305,1.0146396,0.9290314,1.0372922,1.2222798,1.1775718,1.1068769,0.8710449,1.1976521,0.88646185,1.0450044,1.1025567,0.8185247,0.94091105,1.0142444,1.0199975,0.5543239,0.9843555,1.0059984,1.1128745,0.8841363,0.95742553,0.5412064,1.2920239,0.97553855,1.1794231,1.1430267,1.3373971,0.6325706,1.143554,0.9833547,0.65341204,1.1306989,1.1671621,1.1847509,0.7998909,1.0441303,0.8230027,1.1315855,1.2955399,0.612412,0.9471449,0.7349853,0.85329306,0.8234887,1.0380038,0.979432,0.8900753,0.86428475,0.9245144,0.8057269,1.1252658,0.96717894,1.0454948,1.1505497,0.98485297,0.9352297,0.93969375,1.1498878,0.0,0.9135797,1.1291357,1.0426909,1.115091,1.1556973,1.0622536,1.0468464,1.2109522,1.013978,0.64446557,1.1268572,1.166395
sweater,0.9795332,1.2288101,0.5846514,1.0429999,1.1003916,1.1350853,1.4172509,0.9323293,0.8915216,0.49769723,1.1965511,0.880229,0.53047544,1.2048388,0.65325457,1.1027343,1.060716,1.4345667,1.4613585,0.85546035,1.2453225,1.2921546,1.3122523,1.4062665,1.221471,1.233007,0.7952899,0.79674476,1.3292186,0.7515866,0.729552,1.1073394,1.1846703,0.49940914,1.140906,1.4709201,0.667287,1.333159,1.0149243,0.9660841,0.82187,1.3216765,0.54401505,0.94775796,1.2465551,1.3457556,0.84059733,1.1739137,1.2912462,1.3874079,1.1286404,1.4295943,1.185868,0.8403263,1.3664641,0.91954005,1.2539904,0.45464492,0.7989595,1.1841681,0.96817225,0.33261406,0.85059285,1.1449075,0.7978059,1.437451,0.90348387,0.90610194,0.81280404,0.79139376,0.84745926,1.2965,1.1036988,1.0765849,1.3718219,1.2827696,1.0097289,0.8134366,0.4867308,0.49539948,0.797084,1.4042394,1.2949721,1.0989885,0.61254835,1.3971722,1.3812914,1.2467285,1.1801226,1.3840159,0.6596798,0.84413546,0.7738753,1.1765274,0.19683808,1.1525264,0.5459147,1.1964774,0.8057034,0.99431384,0.76409185,1.3153241,0.88776857,1.1419268,1.2762737,0.9857421,1.2789658,0.9135797,0.0,0.62530637,1.2486075,1.1815094,1.3640356,0.72944355,1.223652,1.2032647,1.0665351,1.2282139,1.1746827,1.0690417
table,1.0042902,1.0893098,0.7748571,0.9236041,1.0114801,1.0466337,1.2355917,0.936151,0.77129877,0.33105487,1.3740301,0.5870226,0.45740104,1.1580377,0.534831,1.0166308,0.5682279,1.3795145,1.4054191,0.58316284,1.3379676,1.377008,1.3035048,1.4307016,1.1317431,1.2355927,0.98359597,0.8940033,1.2841921,0.818831,0.92305803,0.9114731,0.90443164,0.5885018,0.98934144,1.4126457,0.56209797,1.0304732,1.1736181,0.892667,0.9148265,1.2317183,0.8361195,1.0421791,1.1794654,1.3783537,0.9133287,1.3774748,1.1913309,1.2903012,1.249206,1.3728065,1.0212593,0.75757897,1.4175577,1.1136962,0.7358863,0.79346704,0.88693535,1.4509678,1.0916094,0.41356307,0.8321302,1.1316079,0.87618494,1.427511,0.8785477,1.0105296,0.8016585,0.989359,0.9558274,1.3786038,1.2519708,1.326828,1.4247189,1.240158,0.9884923,0.81564516,0.55256295,0.88231117,0.38513875,1.429608,1.3295543,1.3852952,0.49372715,1.4064288,1.3473539,1.2378123,1.3513975,1.3247238,0.68294007,0.91569793,0.9212164,1.075496,0.57911247,1.279376,0.89647186,1.2822373,0.8245927,0.7649605,0.44401526,1.512399,0.8525549,1.2776608,1.3139272,0.98094773,1.2173275,1.1291357,0.62530637,0.0,1.4161487,1.3924351,1.172548,0.61190724,1.4058982,0.76176095,0.72469336,1.2480679,1.3484622,1.0331367
tape,1.0492347,0.92753845,1.1389151,1.1107113,1.043685,0.95647866,0.886305,1.2064345,1.0978647,1.414474,0.62263316,1.4338148,1.4321619,0.7720804,1.3687894,1.123904,1.2293205,0.5862121,0.3917514,1.4522521,0.73090875,0.8014891,0.8728449,0.6695638,0.8263542,0.788493,1.081569,1.329464,0.6210886,1.2983823,1.2928256,1.2378011,1.0038226,1.3947049,0.9586035,0.5530082,1.3990995,0.8507937,0.9037667,1.1623989,1.231853,0.906523,1.2593129,1.160135,0.8022291,0.37987626,1.1405388,0.63079476,0.6084555,0.6992801,0.7346682,0.7141746,0.96658546,1.2114499,0.4891067,0.90036166,1.1447941,1.2817593,1.2133675,0.5765086,1.1151667,1.3654456,1.3221338,1.0351825,1.0887067,0.62528276,1.1831808,1.1285006,1.2759115,1.1743536,1.079146,0.53895694,0.9272135,0.7294518,0.54475,0.7689858,1.0959581,1.1495436,1.3570458,1.270974,1.4219406,0.5552993,0.78221476,0.80022395,1.2882413,0.61539125,0.42353994,0.7552208,0.8191452,0.56559247,1.3603559,1.1624488,1.233379,0.89461917,1.2856827,0.66691816,1.2227592,0.8491855,1.2138506,1.1177499,1.3355404,0.40160006,1.0444158,0.792733,0.6992559,1.0167837,0.8036183,1.0426909,1.2486075,1.4161487,0.0,0.5909308,0.8703345,1.3796651,0.85246885,1.114963,1.2389779,0.93678397,0.655373,0.9587873
toe,1.0812546,0.9344626,0.95288193,1.1318359,1.1077309,1.0627134,1.0333284,1.286782,1.2945496,1.4166074,0.47472382,1.4405198,1.2398193,0.8691765,1.3699973,1.1755288,1.1241022,0.73288256,0.68285096,1.3588321,0.5671437,0.93033344,0.8632251,0.60495245,1.081287,0.6780882,1.1430184,1.2226459,0.92775154,1.4318738,1.2458193,1.1554872,0.9236275,1.3330733,0.9844973,0.6041795,1.4577236,0.80554587,0.9852638,0.95466673,1.3427911,0.8699169,1.1170998,1.2295876,0.9730533,0.61804205,0.9911983,0.22875166,0.8746106,0.8516983,0.5056672,0.9024002,0.9928851,1.2604975,0.53907955,0.7263872,1.0884297,1.1677436,0.6414459,0.461905,1.1604555,1.2953038,1.1318779,1.0625341,1.3457963,0.8837038,0.9044274,1.1088688,1.2463562,0.92231166,1.2710804,0.52255636,0.6894567,0.40393758,0.5083236,0.8979178,1.360122,1.1120313,1.2680874,1.1560079,1.2196763,0.47150362,0.42096043,0.78851783,1.1880959,0.7866677,0.58311814,0.8208632,0.7785565,0.7643707,1.4924359,1.2854923,1.1734782,0.946136,1.2132316,0.4752283,1.0733184,0.9889711,1.323459,1.2322285,1.3721151,0.2866081,1.2085745,0.4672681,0.88432795,1.1726367,0.78759503,1.115091,1.1815094,1.3924351,0.5909308,0.0,0.93913746,1.1309048,0.63155043,1.1148789,1.1609926,1.0445483,0.523816,1.1283927
tooth,0.9258132,0.93639684,1.1552292,1.0556753,1.0353022,0.8769657,0.9762172,1.1991165,1.104158,1.2459998,0.91059935,1.1102469,1.155184,0.74185205,1.099518,0.8363352,1.0012758,0.9048784,0.8956252,1.074845,0.77959734,0.85336053,1.0736094,1.0481584,1.0262628,0.6240605,1.0715463,1.2810295,0.91074,1.2335303,1.129042,0.9087754,0.7107271,1.2727213,0.90769494,0.7660214,1.2777524,0.9686707,1.0672626,1.1006538,1.2688437,0.9791084,1.2013991,0.9826707,0.9754169,0.88000107,1.0287746,0.88887185,0.79541713,0.8403845,0.92466336,0.77660584,0.873684,1.051676,0.8953823,0.9942342,0.78110576,1.1401334,0.9841461,0.9546986,1.0029266,1.282709,1.0106694,0.9610963,1.2045338,0.92841554,0.94895977,0.89977384,1.1147046,1.0244968,0.995197,0.8901726,1.0224172,0.9548663,0.88310945,0.9193212,1.166427,1.0806588,1.1603603,1.2516389,1.1263728,0.79047745,0.7813933,1.0261472,1.2348976,0.8545705,0.9002018,0.9033387,1.0592448,0.9812965,1.2878027,1.0125138,1.0049982,0.9202782,1.3191671,0.99191767,1.2712712,0.8679367,1.2133361,1.1484323,1.1172185,0.9391556,1.1272341,0.8644501,0.9036578,0.99201894,0.98999333,1.1556973,1.3640356,1.172548,0.8703345,0.93913746,0.0,1.0846832,0.8487326,0.9251744,1.1658201,0.9649583,0.9604786,1.0513829
toothbrush,1.0327637,1.2563312,0.69162476,0.95677394,1.0112861,1.0483899,1.1796556,0.97751266,0.9476819,0.70628405,1.2108328,0.7142507,0.49059248,1.1561687,0.79761523,1.0404983,0.8236138,1.2953458,1.4107978,0.7623545,1.1357547,1.2393922,1.1336734,1.3937652,1.3463002,1.0865158,1.0990252,0.8932594,1.3109084,0.8123417,0.7483685,0.8623918,1.0354973,0.73328376,1.0060189,1.3289771,0.77871907,1.0746945,1.2023008,0.91998583,0.9768339,1.1972871,0.8580991,1.0328587,1.3151373,1.3331043,0.99902964,1.1064572,1.2761091,1.4013152,1.1558058,1.3051475,1.1487926,0.9301816,1.4150487,0.7271646,0.9061325,0.79808986,0.59039277,1.2690117,0.97712386,0.69046175,0.6402656,0.94165355,0.9800879,1.4174794,0.7494722,0.82195914,0.68723214,0.6322021,0.94613624,1.3004405,0.86670095,1.1331308,1.2945688,1.3263289,1.038856,0.92503613,0.72649884,0.82102907,0.543824,1.2361126,0.99326974,1.3731375,0.7906496,1.4848423,1.4069037,1.2484933,1.184364,1.466671,0.86166656,0.9642962,0.6895859,1.0501183,0.67119443,1.1237911,0.7536725,1.2045838,0.9355893,0.7928315,0.7206881,1.3570213,0.99695694,0.9998988,1.2088182,0.71033037,1.3666022,1.0622536,0.72944355,0.61190724,1.3796651,1.1309048,1.0846832,0.0,1.0762938,0.8908435,0.9471147,1.1466554,1.1639737,1.1265677
towel,0.8921651,1.1317179,1.1258233,1.219636,1.1831052,0.9640598,0.9800855,0.86574775,1.2936372,1.2953366,0.62831426,1.1384747,1.1407713,1.0329518,1.0403968,0.9792416,1.0912771,0.99220085,0.83753175,1.0399928,0.77143323,0.7999142,0.65587074,0.6245078,1.0151477,0.7527008,1.0077335,0.84530985,1.1068573,1.2410256,0.9554602,0.99036497,1.0879813,1.1233622,1.0310531,0.771204,1.2942573,0.9416548,1.0856812,1.0389254,1.1294458,0.6703181,1.0345836,0.94618744,1.0863404,0.93331367,1.3054838,0.6147232,0.9763442,1.0506557,0.8712015,0.8897246,1.0492116,1.1627811,0.7602371,0.71295273,1.0428628,1.3633871,0.8404169,0.830703,1.0447892,1.2397683,1.0172052,0.77382696,1.2248404,0.9695118,1.0643097,0.9378021,1.1040506,0.7259291,1.1144516,0.855828,0.24948204,0.6831409,0.7758059,1.0096928,1.0313224,1.0205894,1.2044624,0.97119063,1.1774803,0.60848975,0.59269196,0.38788724,1.208963,0.8178936,0.6516427,1.0270661,0.71034396,0.9431981,1.2351058,1.0824945,0.8460166,1.0257182,1.2546614,0.8085719,0.8589165,0.68898344,1.2432569,0.99519116,1.2997456,0.7652136,1.1105411,0.5702523,0.99976766,1.0463152,0.9558009,1.0468464,1.223652,1.4058982,0.85246885,0.63155043,0.8487326,1.0762938,0.0,1.1318271,1.1615278,1.0806346,0.9454797,1.0180821
toy,0.9124753,0.6772487,1.2214326,0.4956773,0.53665614,0.8758061,0.76093924,1.2949494,1.1046522,0.88877255,1.2309008,0.7682749,0.8155653,1.0364922,0.85909367,0.8491061,0.5567673,0.9149593,1.0318207,0.67189324,1.006559,1.306401,0.81400067,1.0681019,1.0308142,1.0902133,1.4011271,1.0381529,0.82092935,1.1537781,1.1130055,1.001963,0.90806997,1.0861502,0.9163883,1.0046792,0.9016381,0.7425206,1.1645675,0.601472,1.3034012,1.0620979,1.0411067,1.081017,0.73315763,1.0223402,0.9452271,1.1642449,1.0963058,0.90764827,1.0954062,1.0337753,0.46357834,1.1399338,1.1557493,0.92435616,0.42800736,1.1185935,1.0681523,0.95091444,1.1415435,1.0122954,1.1030282,1.2635086,1.2407768,1.1351758,1.0877447,0.89859724,0.96591437,0.8415018,1.1156602,1.0576568,1.1906211,1.143363,1.0891804,0.72506106,1.2279525,1.0930071,0.96422017,1.2606801,0.70512015,1.0422035,0.9716544,1.3214483,0.9343728,1.1615039,0.9876228,0.6320628,1.0339934,1.0589737,1.3177489,1.0554821,1.0518711,0.925941,1.1684363,0.8851875,1.198297,1.3335426,1.3035367,0.97174346,0.77865493,1.0574236,1.2950063,1.1828042,1.01402,0.79173887,0.8000277,1.2109522,1.2032647,0.76176095,1.114963,1.1148789,0.9251744,0.8908435,1.1318271,0.0,0.65746415,1.1349674,1.0257893,1.3334472
tray,1.0239798,0.899419,1.1416299,0.9373176,0.9831558,0.9404514,0.89465404,0.901508,1.0424817,0.8182529,1.1040719,0.8119955,0.8483796,1.0358875,0.9017904,1.059304,0.6256171,1.0664402,1.0864005,0.75689065,1.0522405,1.1487352,0.87366766,1.0447177,1.0032372,1.1944838,1.1125062,0.8944706,1.0060993,0.9362668,1.0245662,0.94937813,0.95625234,0.943082,0.8484429,1.1014597,0.76853585,0.85751104,1.0058419,0.70818675,0.9834605,0.9910572,0.940999,0.9701271,1.0142182,1.189451,0.9861633,1.1927972,1.1420414,1.0596973,1.0315417,1.0084437,0.7430032,1.0488328,1.0904905,1.0745245,0.7251897,1.0480131,1.0846068,1.20127,0.975593,0.9346757,1.1025373,1.023863,0.9576048,1.0586808,1.1183351,1.0729903,0.9231688,1.0920446,1.1055447,1.206581,1.1284629,1.1372468,1.164195,1.0011771,0.9378771,1.0635579,0.942739,1.103539,0.7594674,1.1797479,1.1379955,1.1417339,0.782007,1.074966,1.0084604,1.09413,1.1124389,1.0303818,0.89936006,0.98815525,1.0207903,0.86235476,1.0511664,0.97967935,1.1084956,1.1938388,0.996424,0.79627264,0.79572654,1.1040103,1.0353379,1.089886,1.0246258,0.9737258,0.9251503,1.013978,1.0665351,0.72469336,1.2389779,1.1609926,1.1658201,0.9471147,1.1615278,0.65746415,0.0,1.0510176,1.0423647,1.0424378
vacuum,1.1038797,0.98164284,1.1784427,1.0019833,0.99713266,1.1613925,0.84468764,0.9469868,1.0193722,1.2416682,1.091113,1.0496349,1.43792,0.9018008,1.2784078,1.1315353,1.2134627,0.7330213,0.887528,1.186383,1.1478966,0.40733498,0.85039353,0.68071467,0.9397073,0.9547622,0.91752094,0.93259096,0.8325711,0.8982038,1.1052598,0.98336464,1.0824409,1.1984526,1.0599298,0.8013089,1.0525916,1.0576197,0.76113236,1.0306752,0.6989554,1.0165205,1.010339,1.0262537,1.0371584,0.8648883,1.1390326,1.1040559,0.9372056,0.7542528,0.9942098,0.62416637,1.0838116,1.1094412,0.85350657,1.079443,1.1761482,1.1139575,1.3692069,0.9124089,0.71845126,1.1273857,1.1167691,0.8047664,0.7257942,0.43229425,1.093467,1.333854,1.0471694,1.223273,0.9278445,0.9179173,0.9877601,1.1160078,0.9363894,1.0536788,0.78617966,1.2132035,1.3360348,1.083949,1.2986462,0.9439544,1.0656334,0.98358226,1.3085356,0.7202187,1.0598586,0.9916362,0.6554055,0.7786766,0.9130945,1.0879136,1.0726712,0.8415715,1.2183053,0.9683384,1.2570512,0.68915486,0.7719499,1.1216025,1.090746,0.861627,0.9769409,1.010472,0.5503734,1.0985647,0.95690405,0.64446557,1.2282139,1.2480679,0.93678397,1.0445483,0.9649583,1.1466554,1.0806346,1.1349674,1.0510176,0.0,0.98592544,0.86586845
