label,family,MDS1,MDS2
00220001,0022,0.0689087087363804,-0.06929491826968075
00240001,0024,-0.029659698818281607,0.139086926022473
00320001,0032,-0.012446410335214304,0.004656285716214548
00320002,0032,0.028671954856315414,0.07388155545511775
00320003,0032,-0.06597485915953097,-0.01767715428490645
00360001,0036,-0.09741150617931876,0.10986514867796855
00370001,0037,-0.07087788778877907,0.013587333464539542
00370002,0037,0.005526022166591291,0.05665021526794049
00400001,0040,0.0247615958597664,-0.0016035642153090829
00400002,0040,-0.043203267764593684,0.0726098813723148
00400003,0040,0.05755588903981492,0.03157491198337815
00420001,0042,0.01136269859967725,-0.07554826231956321
00430001,0043,0.09701530984361878,0.05621523280606525
00500001,0050,0.026674103847296658,0.017401782082464554
00510001,0051,0.08234719993214593,-0.0199206770295823
00510002,0051,0.15520469237972392,0.01715510259288362
00560001,0056,-0.021477036881818342,-0.03308085907513907
00590001,0059,-0.13217672974078906,-0.0897941253504376
00680001,0068,-0.20037812683713022,0.011521848721854367
00720001,0072,0.0815504532274904,0.1249521741528828
00820001,0082,0.0004466886434253036,0.031890809514971044
THINGS,THINGS,0.0335802063732094,-0.4541296472864499
