model,n_categories,n_pairs,n_semantic_clusters,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,mae,rmse,figure_png,figure_pdf,semantic_counts
clip,129,8256,9,0.6652064629356077,0.0,0.5496400426481074,0.0,0.3903509853084106,0.0,0.12240123784585927,0.15529909367517894,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_clip_cdi_clustered_filtered-0.png,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_clip_cdi_clustered_filtered-0.pdf,"{'household': 34, 'food_drink': 23, 'clothing': 18, 'furniture_rooms': 15, 'body_parts': 13, 'outside': 11, 'animals': 7, 'toys': 5, 'vehicles': 3}"
dinov3,129,8256,9,0.5485222977712547,0.0,0.4005126352967393,0.0,0.2759292582836805,2.19232196491737e-309,0.10161298734948293,0.13675514626172436,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_dinov3_cdi_clustered_filtered-0.png,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_dinov3_cdi_clustered_filtered-0.pdf,"{'household': 34, 'food_drink': 23, 'clothing': 18, 'furniture_rooms': 15, 'body_parts': 13, 'outside': 11, 'animals': 7, 'toys': 5, 'vehicles': 3}"
