group,n_subjects,n_subject_pairs,avg_pearson_r,std_pearson_r,avg_spearman_rho,std_spearman_rho,avg_common_categories,avg_rdm_pairs
all_subjects_clip,31,465,0.713105440375846,0.10390274917677378,0.6889178366765509,0.1081712350518116,118.84301075268817,7072.7806451612905
top8_densest_subjects_clip,8,28,0.824781919076154,0.03169575057116384,0.805795079384137,0.03407551615201612,128.5,8192.035714285714
all_subjects_dinov3,31,465,0.7377975121444296,0.09328236476985433,0.7075032665178316,0.1006559870449226,118.84301075268817,7072.7806451612905
top8_densest_subjects_dinov3,8,28,0.8417225178290527,0.028222026490540904,0.8195597463743185,0.0316937349299634,128.5,8192.035714285714
