subject,n_pairs,mean_pearson_r,mean_spearman_rho
Subject 4,7,0.8577237365931065,0.8389749152055158
Subject 3,7,0.8549681995957851,0.8349696941190283
Subject 5,7,0.8507936391210017,0.8258083179468904
Subject 1,7,0.849419669449376,0.8249774192431257
Subject 2,7,0.849158832125082,0.8304818900119579
Subject 7,7,0.8379135057332103,0.8167302838193129
Subject 6,7,0.8171353851075184,0.7973768672989171
Subject 8,7,0.8166671749073415,0.7871585833497988
