subject,n_pairs,mean_pearson_r,mean_spearman_rho
Subject 3,7,0.8405013830830769,0.8201493988979742
Subject 5,7,0.8385713472775641,0.8206671785295219
Subject 2,7,0.8369243446609562,0.819959046967731
Subject 1,7,0.8367093988673323,0.8152694775546868
Subject 4,7,0.832351107311211,0.8160510270423786
Subject 7,7,0.8123178387956055,0.795300122271939
Subject 8,7,0.801331613844096,0.7792301185723544
Subject 6,7,0.79954831876939,0.7797342652365103
