subject_a,subject_b,n_common_categories,n_rdm_pairs,pearson_r,pearson_p
00220001,00230001,122,7381,0.7493766370113978,0.0
00220001,00240001,128,8128,0.7935298089909818,0.0
00220001,00320001,128,8128,0.7927305960789128,0.0
00220001,00320002,128,8128,0.8008285720699808,0.0
00220001,00320003,126,7875,0.7557033968800476,0.0
00220001,00340002,92,4186,0.5539761750365207,0.0
00220001,00350001,100,4950,0.5768960770621406,0.0
00220001,00350002,111,6105,0.5566963970189297,0.0
00220001,00360001,128,8128,0.7560455190354051,0.0
00220001,00370001,128,8128,0.7557578820188824,0.0
00220001,00370002,128,8128,0.7944575167921004,0.0
00220001,00390001,121,7260,0.7342421464452201,0.0
00220001,00400001,128,8128,0.790723200134929,0.0
00220001,00400002,127,8001,0.7819532689571255,0.0
00220001,00400003,127,8001,0.7546321157496283,0.0
00220001,00420001,128,8128,0.8016582583398443,0.0
00220001,00430001,128,8128,0.766719196692239,0.0
00220001,00430002,102,5151,0.541044973846233,0.0
00220001,00440001,116,6670,0.6252857464629775,0.0
00220001,00460001,122,7381,0.7289937087470211,0.0
00220001,00490001,125,7750,0.723031072478296,0.0
00220001,00500001,128,8128,0.7950910906236728,0.0
00220001,00510001,128,8128,0.8031150352073413,0.0
00220001,00510002,128,8128,0.769667457595339,0.0
00220001,00550001,119,7021,0.6952706825420952,0.0
00220001,00560001,128,8128,0.8022989584126939,0.0
00220001,00590001,127,8001,0.6945736943029208,0.0
00220001,00680001,125,7750,0.6879385849533837,0.0
00220001,00720001,128,8128,0.7393237078252854,0.0
00220001,00820001,128,8128,0.8094370677959606,0.0
00230001,00240001,122,7381,0.7677503974603224,0.0
00230001,00320001,122,7381,0.8025585649570276,0.0
00230001,00320002,122,7381,0.7963264973256571,0.0
00230001,00320003,120,7140,0.7631346189329828,0.0
00230001,00340002,91,4095,0.4978959853549247,1.5701384656614045e-255
00230001,00350001,98,4753,0.6133443149511365,0.0
00230001,00350002,107,5671,0.5742817354299233,0.0
