dataset,model_a,model_b,n_categories,n_pairs,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,mae,rmse
bv,clip,dinov3,129,8256,0.907101171297674,0.0,0.8774603912611144,0.0,0.6989440860366514,0.0,0.07210270932356207,0.09134412354213016
things,clip,dinov3,129,8256,0.6773150823933538,0.0,0.4839565767179665,0.0,0.3387651482071002,0.0,0.07488399689540301,0.09727248024701347
