position,category,cdi_semantic,source_order
0,alligator,animals,bv_first_semantic
1,bird,animals,bv_first_semantic
2,butterfly,animals,bv_first_semantic
3,cat,animals,bv_first_semantic
4,dog,animals,bv_first_semantic
5,frog,animals,bv_first_semantic
6,pony,animals,bv_first_semantic
7,ankle,body_parts,bv_first_semantic
8,arm,body_parts,bv_first_semantic
9,ear,body_parts,bv_first_semantic
10,eye,body_parts,bv_first_semantic
11,face,body_parts,bv_first_semantic
12,finger,body_parts,bv_first_semantic
13,foot,body_parts,bv_first_semantic
14,hair,body_parts,bv_first_semantic
15,hand,body_parts,bv_first_semantic
16,mouth,body_parts,bv_first_semantic
17,nose,body_parts,bv_first_semantic
18,toe,body_parts,bv_first_semantic
19,tooth,body_parts,bv_first_semantic
20,belt,clothing,bv_first_semantic
21,bib,clothing,bv_first_semantic
22,dress,clothing,bv_first_semantic
23,glove,clothing,bv_first_semantic
24,hat,clothing,bv_first_semantic
25,jacket,clothing,bv_first_semantic
26,jeans,clothing,bv_first_semantic
27,mitten,clothing,bv_first_semantic
28,necklace,clothing,bv_first_semantic
29,pajamas,clothing,bv_first_semantic
30,pants,clothing,bv_first_semantic
31,scarf,clothing,bv_first_semantic
32,shirt,clothing,bv_first_semantic
33,shoe,clothing,bv_first_semantic
34,shorts,clothing,bv_first_semantic
35,slipper,clothing,bv_first_semantic
36,sock,clothing,bv_first_semantic
37,sweater,clothing,bv_first_semantic
38,apple,food_drink,bv_first_semantic
39,banana,food_drink,bv_first_semantic
40,bread,food_drink,bv_first_semantic
41,carrot,food_drink,bv_first_semantic
42,chips,food_drink,bv_first_semantic
43,coffee,food_drink,bv_first_semantic
44,cookie,food_drink,bv_first_semantic
45,corn,food_drink,bv_first_semantic
46,cracker,food_drink,bv_first_semantic
47,egg,food_drink,bv_first_semantic
48,fish,food_drink,bv_first_semantic
49,gum,food_drink,bv_first_semantic
50,hamburger,food_drink,bv_first_semantic
51,melon,food_drink,bv_first_semantic
52,milk,food_drink,bv_first_semantic
53,muffin,food_drink,bv_first_semantic
54,orange,food_drink,bv_first_semantic
55,pickle,food_drink,bv_first_semantic
56,pizza,food_drink,bv_first_semantic
57,pumpkin,food_drink,bv_first_semantic
58,sandwich,food_drink,bv_first_semantic
59,soup,food_drink,bv_first_semantic
60,strawberry,food_drink,bv_first_semantic
61,bathtub,furniture_rooms,bv_first_semantic
62,bed,furniture_rooms,bv_first_semantic
63,bench,furniture_rooms,bv_first_semantic
64,chair,furniture_rooms,bv_first_semantic
65,closet,furniture_rooms,bv_first_semantic
66,couch,furniture_rooms,bv_first_semantic
67,crib,furniture_rooms,bv_first_semantic
68,door,furniture_rooms,bv_first_semantic
69,drawer,furniture_rooms,bv_first_semantic
70,oven,furniture_rooms,bv_first_semantic
71,refrigerator,furniture_rooms,bv_first_semantic
72,shower,furniture_rooms,bv_first_semantic
73,sink,furniture_rooms,bv_first_semantic
74,table,furniture_rooms,bv_first_semantic
75,window,furniture_rooms,bv_first_semantic
76,basket,household,bv_first_semantic
77,blanket,household,bv_first_semantic
78,bottle,household,bv_first_semantic
79,bowl,household,bv_first_semantic
80,box,household,bv_first_semantic
81,broom,household,bv_first_semantic
82,bucket,household,bv_first_semantic
83,can,household,bv_first_semantic
84,clock,household,bv_first_semantic
85,comb,household,bv_first_semantic
86,cup,household,bv_first_semantic
87,dish,household,bv_first_semantic
88,fork,household,bv_first_semantic
89,glass,household,bv_first_semantic
90,glasses,household,bv_first_semantic
91,jar,household,bv_first_semantic
92,lamp,household,bv_first_semantic
93,nail,household,bv_first_semantic
94,napkin,household,bv_first_semantic
95,paper,household,bv_first_semantic
96,pillow,household,bv_first_semantic
97,plant,household,bv_first_semantic
98,plate,household,bv_first_semantic
99,purse,household,bv_first_semantic
100,radio,household,bv_first_semantic
101,scissors,household,bv_first_semantic
102,soap,household,bv_first_semantic
103,spoon,household,bv_first_semantic
104,tape,household,bv_first_semantic
105,toothbrush,household,bv_first_semantic
106,towel,household,bv_first_semantic
107,tray,household,bv_first_semantic
108,vacuum,household,bv_first_semantic
109,watch,household,bv_first_semantic
110,flower,outside,bv_first_semantic
111,grass,outside,bv_first_semantic
112,hose,outside,bv_first_semantic
113,ladder,outside,bv_first_semantic
114,rock,outside,bv_first_semantic
115,shovel,outside,bv_first_semantic
116,slide,outside,bv_first_semantic
117,sprinkler,outside,bv_first_semantic
118,stick,outside,bv_first_semantic
119,swing,outside,bv_first_semantic
120,tree,outside,bv_first_semantic
121,ball,toys,bv_first_semantic
122,balloon,toys,bv_first_semantic
123,book,toys,bv_first_semantic
124,doll,toys,bv_first_semantic
125,toy,toys,bv_first_semantic
126,car,vehicles,bv_first_semantic
127,motorcycle,vehicles,bv_first_semantic
128,stroller,vehicles,bv_first_semantic
