subject_a,subject_b,n_common_categories,n_rdm_pairs,pearson_r,pearson_p,spearman_rho,spearman_p
00220001,00230001,122,7381,0.7818669305697458,0.0,0.7593702113715924,0.0
00220001,00240001,128,8128,0.8080091340233051,0.0,0.7787977234301352,0.0
00220001,00320001,128,8128,0.8077585880147369,0.0,0.7846212004665111,0.0
00220001,00320002,128,8128,0.8127331698998045,0.0,0.784002990605213,0.0
00220001,00320003,126,7875,0.796196673623768,0.0,0.7683766421184441,0.0
00220001,00340002,92,4186,0.6376045109511076,0.0,0.6086991138705002,0.0
00220001,00350001,100,4950,0.6272784305096477,0.0,0.5972669005201171,0.0
00220001,00350002,111,6105,0.5962056978937333,0.0,0.552985150046245,0.0
00220001,00360001,128,8128,0.7784546040575581,0.0,0.752362597152083,0.0
00220001,00370001,128,8128,0.7731710121843951,0.0,0.741727815467157,0.0
00220001,00370002,128,8128,0.8190551125775701,0.0,0.7871469179328092,0.0
00220001,00390001,121,7260,0.7444934204204888,0.0,0.7252005374151296,0.0
00220001,00400001,128,8128,0.7938354850752635,0.0,0.7631072150749012,0.0
00220001,00400002,127,8001,0.80087691950601,0.0,0.7798964194084589,0.0
00220001,00400003,127,8001,0.781344903504104,0.0,0.7472322031977946,0.0
00220001,00420001,128,8128,0.8308870119137264,0.0,0.813526855362365,0.0
00220001,00430001,128,8128,0.7814504378535125,0.0,0.7471401406562472,0.0
00220001,00430002,102,5151,0.585645339984843,0.0,0.53953271345275,0.0
00220001,00440001,116,6670,0.6705803948116534,0.0,0.6439781968535789,0.0
00220001,00460001,122,7381,0.7402314482248432,0.0,0.6910732983258314,0.0
00220001,00490001,125,7750,0.7619940624754769,0.0,0.7436448570830066,0.0
00220001,00500001,128,8128,0.8176896556732276,0.0,0.7902019778301471,0.0
00220001,00510001,128,8128,0.8124928752733636,0.0,0.7842985242520117,0.0
00220001,00510002,128,8128,0.7855931693873095,0.0,0.7662599109827847,0.0
00220001,00550001,119,7021,0.7345396238173942,0.0,0.7006062244938324,0.0
00220001,00560001,128,8128,0.8265383842410479,0.0,0.8057889999851314,0.0
00220001,00590001,127,8001,0.6966454831475603,0.0,0.6725937736366435,0.0
00220001,00680001,125,7750,0.6871102841893785,0.0,0.663863265191104,0.0
