category,cosine_similarity,pearson_r,spearman_r,kendall_r
cracker,0.7957850545022487,0.7956682304296507,0.7818843737312405,0.5886589084155683
cat,0.7940623458612666,0.7941021475364687,0.7824634845359952,0.5900412439103303
foot,0.7775340791087474,0.7774235474859612,0.7748075590779132,0.5790111435499115
pizza,0.7756701818440364,0.7753948993084359,0.7635406376207172,0.5647086723263443
shower,0.7717904492533637,0.7694162170250538,0.7556992152762715,0.5601492273945875
crib,0.7693597423691354,0.7690403824196114,0.7486724296101402,0.5579181947037536
hose,0.7578824755724971,0.7588435660363477,0.7372913629704803,0.5440215276390018
scissors,0.7552422380889678,0.755391083673241,0.7328912676607479,0.5396805994105361
melon,0.7415819704580178,0.743113679990345,0.7270749298370528,0.5366800828111834
spoon,0.7402263710758163,0.7408201558928763,0.7185723329585755,0.5269724300230725
oven,0.7399351762008434,0.7398090202389455,0.7167040679939856,0.5250234133745794
comb,0.739409099751156,0.7396814887610036,0.71823032471299,0.5258393991853546
stroller,0.7389205261298502,0.7388912134802417,0.7299264385511859,0.5344698423174472
mouth,0.7386323919008371,0.7374560359953651,0.7109984558907558,0.5222037905826009
shovel,0.7355415670672055,0.7348165508240605,0.7056877000656367,0.5163055942627987
bucket,0.7351166908183397,0.7353545466744619,0.7400725384119623,0.5445329981108364
ankle,0.7345230543352701,0.7342962116452204,0.7346708670231601,0.5376806060239055
butterfly,0.7329531205257979,0.7327858766473306,0.7329533849371975,0.5350090597757421
purse,0.729910832844867,0.7303552418356123,0.7273945894747363,0.5309364461342809
nose,0.7266426805861166,0.7244213231630576,0.7070406802038959,0.5195514077571871
basket,0.7123253342138979,0.7113755602826328,0.6750540148918966,0.4957570768122326
fork,0.7088632914720144,0.7093981752589532,0.690133366020695,0.5014429498680493
shoe,0.7074354375309595,0.7078108867427098,0.7029827445652529,0.5046937592183078
slide,0.7049553502818431,0.7046886559235954,0.6909457983151518,0.5046977620178028
refrigerator,0.70271249779504,0.7006013042559927,0.6671109764935176,0.4864608671310755
pillow,0.7023530122707393,0.7022433322389809,0.686262236455705,0.5005313097244647
corn,0.7005073684585188,0.7005293455179551,0.6728348789292026,0.4879270086034828
toy,0.6956601292488205,0.6962783392621859,0.6859310103551292,0.4965331665337593
paper,0.6954279081173896,0.6952412678888554,0.680125465309309,0.4881125301365822
toothbrush,0.694448754724418,0.694369529690261,0.6799925335925806,0.4912886936640322
dog,0.6920733650617982,0.6925338014520459,0.69268194967259,0.5045695877497678
tape,0.6883063050075007,0.6880835885575693,0.6682696510483267,0.48277022146203735
glove,0.6881130594857958,0.688483360966059,0.6739969663641007,0.48741461753159027
stick,0.6877980588448814,0.6875946683848877,0.6575980650463477,0.47472048721291343
napkin,0.6867489062427405,0.6866577272467799,0.6686975391349376,0.479696052574202
clock,0.6859180489314988,0.6870272243391602,0.6701108161488895,0.4857711853927318
pony,0.6815788637680166,0.6806238699374323,0.6684233569881741,0.4820500284227687
doll,0.6807010051773602,0.6807120086238356,0.6505720493840904,0.46973247228579706
vacuum,0.6768691933797937,0.676983810404723,0.6561062888765886,0.47023702665427075
hand,0.6731686704100786,0.6728080092242643,0.652855946171979,0.47640671089159253
finger,0.6691438606918635,0.6693264537540811,0.6370599021370045,0.45953787150515224
bird,0.665598886101882,0.6656315279309026,0.6493326848619458,0.4664452241275598
ladder,0.6617461882707276,0.6653391711318515,0.6358558818847275,0.4527739351883788
eye,0.658437199974101,0.6568062420748038,0.6296926593280466,0.4546639513850443
radio,0.6548646756166685,0.6552316445005737,0.624888673894078,0.4474615667408799
chips,0.6546584471167933,0.6544650263837175,0.6218695638938241,0.44141368685673504
bowl,0.6525862158523812,0.653552487235826,0.6336245024733578,0.4541090135500901
box,0.6525489216823086,0.6525627007015138,0.6333046805204787,0.4525519547977676
bottle,0.651548450745078,0.6528547896221021,0.636847411353557,0.4542076945684848
ear,0.6508099457211113,0.6526079087435661,0.6259293725790952,0.4461076252656377
banana,0.6482650610148413,0.648341974843729,0.6271764822901558,0.4454348783927004
necklace,0.6473126313358734,0.6474723194869743,0.6159648827645506,0.4383337544213177
sink,0.6456719446600313,0.6467328139708397,0.6396803526083996,0.4559858432279657
sock,0.6426662249457329,0.6450107017015386,0.6276235523442733,0.4481258658844492
glass,0.6412659751011771,0.6400593775081644,0.618759996717883,0.43902774699773733
jar,0.6384198383459371,0.6389836658312198,0.6164541506439709,0.44029080630892903
ball,0.6347225450941282,0.6337416016753807,0.5988729354642893,0.4250629758202856
tree,0.6343879320454959,0.6343409837969897,0.6114384810836567,0.4419887402573661
cup,0.6330374792659641,0.6333053207095003,0.5920440849872232,0.4218589953981353
chair,0.6306357508353988,0.6276881961023084,0.6106989792565002,0.43246921138700206
shorts,0.6287867122455355,0.6288268970393249,0.5973465598982526,0.42633804102227923
blanket,0.6245163083174716,0.6246486550279502,0.6110521593906009,0.4343491877130098
toe,0.6202750131020962,0.6206325705245809,0.5991649890869785,0.4247140855597458
tooth,0.6102680637419315,0.6105251971733766,0.5945055110361235,0.4216871628311536
plate,0.6097024277989618,0.6101776403381467,0.5981941281504924,0.421497239198093
sandwich,0.6091894212830993,0.6092914419423174,0.6102749899020192,0.4274809747644693
belt,0.6090486397495035,0.608890795189458,0.6020478484882222,0.42202031355923864
bench,0.6068597893980688,0.6062928877111208,0.6052922041063865,0.42773868383879426
alligator,0.6061082106613043,0.6030367763877551,0.5888485023453109,0.4167944021898813
fish,0.6030807764205782,0.6028506908519131,0.5828494515273801,0.41211838640584064
