model,ordering,n_categories,n_pairs,pearson_r,pearson_p,spearman_r,spearman_p,kendall_r,kendall_p,mae,rmse,figure_png,figure_pdf,order_csv
clip,bv_first_semantic,129,8256,0.6652064629356078,0.0,0.5496400426481074,0.0,0.3903509853084106,0.0,0.1224012378458593,0.15529909367517897,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_clip_bv_semantic_lowertri_filtered-0.png,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_clip_bv_semantic_lowertri_filtered-0.pdf,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/results/bv_things_rdm_order_bv_semantic_clip_filtered-0.27.csv
clip,things_first_cluster,129,8256,0.6652064629356078,0.0,0.5496400426481074,0.0,0.3903509853084106,0.0,0.12240123784585927,0.15529909367517894,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_clip_things_cluster_lowertri_filtered-0.png,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_clip_things_cluster_lowertri_filtered-0.pdf,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/results/bv_things_rdm_order_things_cluster_clip_filtered-0.27.csv
dinov3,bv_first_semantic,129,8256,0.5485222977712547,0.0,0.4005126352967393,0.0,0.2759292582836805,2.19232196491737e-309,0.10161298734948293,0.13675514626172436,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_dinov3_bv_semantic_lowertri_filtered-0.png,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_dinov3_bv_semantic_lowertri_filtered-0.pdf,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/results/bv_things_rdm_order_bv_semantic_dinov3_filtered-0.27.csv
dinov3,things_first_cluster,129,8256,0.5485222977712547,0.0,0.4005126352967393,0.0,0.2759292582836805,2.19232196491737e-309,0.10161298734948292,0.13675514626172436,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_dinov3_things_cluster_lowertri_filtered-0.png,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/figures/bv_things_rdm_comparison_dinov3_things_cluster_lowertri_filtered-0.pdf,/home/j7yang/babyview-projects/vss2026/object-detection/analysis/preprint-2026/results/bv_things_rdm_order_things_cluster_dinov3_filtered-0.27.csv
