,alligator,ankle,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,cat,chair,clock,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,eye,face,finger,fish,flower,fork,frog,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pony,purse,radio,raisin,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
bench,1.1007208,1.2813308,1.3822982,0.5767306,1.4031966,1.4035398,1.1190016,0.5374497,0.20058548,1.2045187,0.0,0.8767771,1.1173861,0.34582043,1.0265394,1.4758093,1.3544396,0.5132388,1.2618835,1.2906281,1.3371487,1.2656747,1.1538987,0.7082029,0.2279697,1.3105522,1.1494635,0.9626253,0.22478831,1.3077911,1.5320382,0.472641,1.4789531,0.7419204,0.99152553,0.6023489,0.9896884,1.0316328,1.3913898,0.97633576,0.8973668,1.3237616,0.7340937,1.1484188,1.486037,1.4618807,1.3686025,0.94753605,0.93877363,1.2760811,0.7576128,0.8032955,1.3497562,1.3034539,0.6891023,0.57240915,0.41410148,1.0038496,0.7442209,1.4087076,0.7105895,0.66829604,1.1263137,1.3484696,1.4661121,1.326659,1.3189147,1.162905,0.9046674,1.1242622,0.6426479,0.49967158,0.7283498,1.4068886,1.4278088,1.2000434,1.1663374,1.253574,1.3199605,1.1360043,0.78748643,1.1990685,1.3508286,0.49798393,1.1477791,1.2360363,0.5107288,0.95156056,0.49004072,1.0746298,0.5804059,0.61124307,1.500489,1.0595176,1.1652256,1.2579044,0.91113794,1.2955476,0.61962813,0.86789024,0.51106256,1.4492639,1.2303995,1.1660157,0.7033172,1.4726535,0.93076974,1.1044813,0.94544375,0.8967854,1.1701481,1.4655511,0.829482
bib,1.224951,1.0072149,1.0135804,0.7329672,1.192975,1.2286923,1.2581122,0.8929584,0.8396109,1.2588959,0.8767771,0.0,0.94407547,0.72279304,1.0599849,1.2466779,1.2630706,0.8994784,0.94904727,1.2428255,1.0412331,1.357588,1.1095355,0.6706192,0.88583463,1.3115647,1.030891,0.72758406,0.886792,0.982867,1.413776,0.81510663,1.3144796,0.78282785,0.7243997,0.9690185,1.174503,0.9030846,1.2816458,1.0681309,0.86474043,1.1059635,0.5974345,1.0645293,1.1735849,1.1373937,1.2406398,0.7866621,1.074197,0.9433426,0.7493751,0.6470201,1.1044053,1.192174,0.7690501,0.8654767,0.7644552,1.2296218,1.1267724,1.3733261,0.5892775,0.96921796,0.89492995,0.9931044,1.3068799,1.1638124,0.92935646,0.9821188,1.0730166,0.95607346,0.7425683,0.8092556,0.7945491,1.4041224,1.3909488,1.1888368,1.2109863,1.0563589,1.2869714,0.862776,0.9165894,1.3043325,1.0833935,0.94033897,1.1485288,1.1220239,0.81389415,0.8907387,0.86229885,1.2707498,0.7700084,0.83283126,1.2978964,0.9197977,1.1686208,1.2247478,0.8111744,1.146651,1.058892,0.99024624,0.7965453,1.2969664,1.1703535,0.9432991,0.67715645,1.2310171,0.9727131,1.2197632,0.9752074,1.112243,1.15904,1.3196872,1.0065056
bird,0.9812663,1.0756323,1.0814391,1.0106391,1.0720092,0.95028025,1.2362466,1.0442616,1.0329137,1.0207605,1.1173861,0.94407547,0.0,1.0751945,1.1057473,1.0776381,1.0494455,1.1716431,1.0611556,1.1493958,1.0706398,1.1181263,1.0358765,0.9016655,1.1372534,1.0648829,0.8405762,0.8622259,1.0502982,1.1621041,1.1085982,1.1011147,1.02571,1.0402535,1.1325032,0.97282255,1.1424419,1.0532396,1.0535427,0.9474422,0.9895194,1.1422019,0.9405668,0.9697987,1.0606476,1.026791,1.0073657,1.1380372,0.8257365,1.0561538,0.97313356,1.1364585,1.1102121,1.0435048,0.95034045,1.0775863,1.0980848,1.0741218,1.0661888,0.91236407,1.0655909,1.0679839,1.1025598,1.0008463,1.0231183,1.0848005,0.971781,0.9768389,1.092741,0.01974845,0.9907553,1.0411586,1.0167768,1.090199,1.0941066,1.2000836,1.201064,0.920531,1.117298,0.968022,1.0993018,1.1130538,0.995295,1.0373328,1.0434959,1.3015506,0.9707195,1.1019163,1.0381172,1.1021466,0.98859555,1.039841,1.2153497,0.76452184,1.057273,0.99817437,0.92633307,1.1113268,1.0311427,0.9024515,1.0330749,1.111361,1.1573457,1.1723679,1.0439935,1.0094694,1.1095499,1.2945964,0.8945919,0.9918467,1.203907,1.1276162,0.85438466
blanket,1.3015976,1.3290787,1.3368182,0.5850605,1.3302199,1.479526,1.3170202,0.48544627,0.16051841,1.4053813,0.34582043,0.72279304,1.0751945,0.0,0.9768927,1.4940408,1.4090483,0.6159747,1.3261198,1.4367816,1.3217732,1.4402635,1.1752515,0.5429045,0.40832317,1.3135068,1.198703,0.9484978,0.25244594,1.2997249,1.6268959,0.39141363,1.5141308,0.56667113,0.7112342,0.7585007,1.267115,1.00011,1.3504469,1.048743,0.7500721,1.3026826,0.61223406,1.1402242,1.5550671,1.4076805,1.3727256,0.9005267,0.8764373,1.1054181,0.6105391,0.7230878,1.2165327,1.2862384,0.68454164,0.5952295,0.3577993,1.2950722,0.98991793,1.5476143,0.55543625,0.65095127,1.1594336,1.278414,1.4676281,1.4710916,1.2990942,1.1531585,1.102783,1.060635,0.42257142,0.39174807,0.49876034,1.5975792,1.6046231,1.1677465,1.2319849,1.2447591,1.4463379,0.98710227,0.8471388,1.3828137,1.4222164,0.70624125,1.2002332,1.172439,0.37538123,0.8627221,0.44808972,1.1505609,0.6646916,0.6561798,1.5334047,1.0020517,1.3654516,1.308162,0.8843179,1.2124454,0.5779163,0.8073337,0.39806712,1.5313323,1.179298,1.1337049,0.5893663,1.55764,0.85021365,1.3051429,0.9278097,0.9728806,1.2703186,1.5516462,0.8264613
book,0.91812444,1.0658473,0.92306525,0.9760912,0.8768631,1.0148796,0.64302903,1.1050973,0.93907183,1.1131291,1.0265394,1.0599849,1.1057473,0.9768927,0.0,0.92205036,0.8188837,0.41562074,1.1509006,0.7500941,0.94609064,0.971943,0.9574319,1.1825322,1.0686389,1.0597334,0.9655683,1.0614071,1.1003003,0.9149245,0.94303274,0.8023951,0.91831714,1.0524743,0.9604446,1.099808,0.70125264,1.2077554,1.1205153,1.1522675,1.0847247,1.1532117,0.9048569,1.0006236,0.9321879,0.89479667,1.1628141,0.9532327,1.0796887,0.567207,1.2334512,1.0036168,1.0784081,0.97782356,1.0244583,1.1679486,1.1268699,0.97274023,0.9311992,1.013939,1.0363014,1.0692098,1.2033539,1.0396677,1.0811212,0.88078964,1.180457,1.277566,1.0383877,1.1099033,1.1898273,1.1032805,0.50236017,0.9240717,0.9673254,0.94646597,0.97744524,0.9644135,0.6545055,1.0381839,0.67706645,0.90555996,1.2543545,1.0164682,1.0869396,0.78720653,1.2115421,0.82864636,1.2285366,1.0798123,0.8900596,0.7874814,0.97539735,1.1798111,0.6984974,0.8231406,0.920497,1.0889041,1.1665809,1.3486768,0.4983887,0.77958596,1.1848637,1.1034291,0.8014499,0.9478056,0.7106738,0.58325386,1.1215199,0.96706903,1.1346344,1.1480018,1.1418263
bottle,0.89894044,0.58376837,0.6445792,1.4228404,0.6121108,0.3850578,0.769631,1.4027739,1.4827312,0.83726645,1.4758093,1.2466779,1.0776381,1.4940408,0.92205036,0.0,0.24454618,1.2824769,0.9524232,0.40414584,0.7882261,0.5064399,0.73734754,1.3137512,1.4525316,0.77055615,0.97951597,1.1569382,1.4182532,0.85472167,0.24736631,1.35788,0.11274803,1.2301255,1.0927383,1.2395772,0.8279458,1.2115192,0.7119932,1.1782558,1.171112,0.8495939,1.2682798,0.8555252,0.62381023,0.70932275,0.4683751,1.1861277,1.1344554,0.67467415,1.3477826,1.3719909,0.69930065,0.8838922,1.3408663,1.3405799,1.5068288,0.88237715,1.2026876,0.3509158,1.2552809,1.2861032,1.0944225,0.7737461,0.2629844,0.53257436,1.0799106,1.0866029,0.92886376,1.0823278,1.352511,1.4932323,1.3058856,0.513553,0.48494142,1.0536253,0.7164268,0.80879325,0.5147259,1.0572356,1.1609716,0.6024138,0.92858094,1.2345878,1.027007,0.90914,1.4357469,1.0313011,1.4748933,0.9247376,1.3619158,1.246605,0.49806464,1.1755955,0.896085,0.7258965,1.2362275,0.52451336,1.1595924,1.2394454,1.3669102,0.47576064,0.8414668,1.0251095,1.2418212,0.36190677,0.90180904,0.6101527,1.1409731,1.0542628,0.6465049,0.5308496,1.1939726
bowl,0.686114,0.74415034,0.7565073,1.3739808,0.67066115,0.47850955,0.70752716,1.2094389,1.3296776,0.82800424,1.3544396,1.2630706,1.0494455,1.4090483,0.8188837,0.24454618,0.0,1.1509393,1.0646042,0.43310118,0.8657516,0.50334257,0.6895404,1.2817822,1.3610412,0.8724539,0.8707192,1.2143831,1.2972816,0.9080262,0.3462665,1.2864083,0.07971245,1.2097688,1.2957895,1.1326537,0.7788701,1.3238658,0.74505866,1.1669054,1.1424708,0.98895335,1.2471023,0.9124414,0.7955655,0.7559419,0.49169546,1.357909,1.0194116,0.87017584,1.3363283,1.425598,0.8497883,0.9275596,1.2817245,1.2584715,1.4628148,1.0232711,1.1992984,0.27424324,1.4285679,1.2502403,1.2248658,0.85057384,0.33202922,0.55840737,1.1671243,1.1357589,0.9215354,1.0603805,1.2995248,1.3903582,1.1840298,0.49656832,0.52694917,1.0363553,0.6531412,0.8044871,0.350407,1.0823476,1.1018156,0.6730319,1.0240972,1.1339031,1.1208096,1.0956417,1.3473022,1.1870373,1.4122388,1.0073656,1.1129256,1.1381006,0.72593915,1.0618641,0.8413101,0.75296646,1.2050295,0.6510094,1.1456256,1.2595062,1.237284,0.47894162,0.99336654,1.0902754,1.3061092,0.45031178,1.04234,0.6560187,1.0212227,0.9927911,0.87882316,0.72657263,1.0380332
box,1.1230415,1.2236253,1.14492,0.72802114,1.2043406,1.3334526,0.8369577,0.8156104,0.5379603,1.3037529,0.5132388,0.8994784,1.1716431,0.6159747,0.41562074,1.2824769,1.1509393,0.0,1.2689955,0.9889939,1.0933656,1.2341601,1.0977238,0.97688067,0.6152098,1.1847441,1.0123593,0.9781458,0.64746773,1.0552964,1.4067626,0.3705324,1.3013563,0.83416915,0.7982116,0.8447383,0.70296305,1.1083434,1.3049116,1.1195776,0.9618365,1.3038418,0.818646,1.0912542,1.2649934,1.2366129,1.3878719,0.86413264,1.1000055,0.80307543,0.9745162,0.864265,1.2614849,1.1271468,0.7718098,0.9014318,0.7818052,1.089713,0.86950684,1.369561,0.74073625,0.80102235,1.2247096,1.1800351,1.4028494,1.212879,1.2974313,1.2565607,0.97472656,1.1818157,0.9643762,0.7739531,0.47109604,1.334527,1.368245,1.0340595,1.1484736,1.0639035,1.0355523,1.0470761,0.48692977,1.0783534,1.3566378,0.7183381,1.1402578,0.9021872,0.8743237,0.76688176,0.8927686,1.0789837,0.6996703,0.60929096,1.3022072,1.2258745,0.9169909,1.0592272,0.82943034,1.3305451,0.88675106,1.2013726,0.32456863,1.0974478,1.2546041,1.1687164,0.6264754,1.3271418,0.6597804,0.80803823,1.0558597,0.8736495,1.2315478,1.3533099,1.000337
bread,1.1445796,0.70468384,0.7271013,1.1380291,0.9003535,0.7282134,1.063621,1.2890267,1.4087181,0.7844786,1.2618835,0.94904727,1.0611556,1.3261198,1.1509006,0.9524232,1.0646042,1.2689955,0.0,1.0719696,0.9925224,0.8349987,1.1670465,1.1235278,1.3033036,0.75549865,1.1855034,0.81983215,1.385494,0.6027347,0.72702503,1.40049,0.95863825,1.2214631,0.95985246,1.2083917,1.0425773,0.5685683,0.54419893,0.5896383,1.0859824,0.37968874,1.1660362,1.1518381,0.80908126,0.9852307,0.5840838,0.93858266,1.1873837,0.94708925,0.99615973,0.84662414,0.7611441,1.0590396,1.2197082,1.1777426,1.1598845,0.95379245,1.0084047,0.9293119,1.1200742,1.3423711,0.6005399,0.8683628,0.6560451,0.8543941,0.45270705,0.38078868,1.1512899,1.053625,1.1453056,1.1780826,1.253716,0.79244816,0.71209556,0.80445623,0.8546922,1.1991707,0.9986352,1.1231624,1.2261945,0.9330802,0.4498837,1.2817054,0.92035174,0.8200775,1.2436711,1.2912123,1.1715786,1.2345713,1.34444,1.3112684,0.58745575,1.0841833,0.8477497,1.1146665,1.0713441,0.80038476,1.3632855,1.0286467,1.3826094,1.0301181,0.56791365,0.7562799,1.2280297,0.89271176,1.2873602,0.9654571,1.2156954,1.2337357,0.961309,0.5637409,1.2643622
bucket,0.8181859,0.91125613,0.7271502,1.3971068,0.76302314,0.61712885,0.47216058,1.2561915,1.3958566,0.7745091,1.2906281,1.2428255,1.1493958,1.4367816,0.7500941,0.40414584,0.43310118,0.9889939,1.0719696,0.0,0.7350226,0.4949059,0.67447215,1.3384291,1.1727977,0.87898767,0.8155541,1.2539098,1.3310481,0.86246616,0.57561374,1.0905207,0.3838569,1.2654754,1.1695567,0.94469655,0.6786506,1.3285222,0.8930276,1.205533,1.2144045,1.1442349,1.2281501,0.7401649,0.6678394,0.7078487,0.9335445,1.1152177,1.1189724,0.8278071,1.3580847,1.4302535,0.92613554,0.89431536,1.2655534,1.1639241,1.447513,0.8889417,0.9842866,0.42506093,1.3572588,1.1355646,1.2433112,0.9513107,0.7290224,0.4780829,1.1858951,1.2748462,0.60154617,1.1671925,1.4212987,1.4396375,1.1666346,0.65671027,0.6954359,0.9638114,0.5727668,0.60601586,0.5011313,1.12928,0.90778613,0.5357764,1.0399104,0.858647,0.97279197,0.96704274,1.4406888,0.96559745,1.4228941,0.9196984,1.1160579,1.0515563,0.7963121,1.0331738,0.7344056,0.6054088,1.1847103,0.7611253,1.1350756,1.3223504,1.2414833,0.3955261,1.1694633,1.1054343,1.20246,0.42395014,0.9919061,0.48789448,1.0786915,0.9339011,0.6836101,0.8563786,1.1245849
butterfly,0.8845357,0.9005604,0.84571487,1.2576184,0.8137202,0.89975333,0.7693997,1.1887354,1.3239887,0.95253366,1.3371487,1.0412331,1.0706398,1.3217732,0.94609064,0.7882261,0.8657516,1.0933656,0.9925224,0.7350226,0.0,0.98351324,0.8433063,1.219829,1.2399076,0.8891844,1.0660402,1.0554233,1.3319805,0.72908163,0.800462,1.1049371,0.78898776,1.1111507,0.9784124,1.197206,0.76849246,1.1770347,1.0233083,1.297953,1.0926929,1.1189431,1.0589484,0.7282795,0.6702173,0.33154833,0.9976912,0.9926749,1.1414406,0.84759057,1.1843423,1.2571288,0.8826714,0.7133863,1.0689145,1.2386352,1.361049,1.0140166,1.1166725,0.8239849,1.1836019,1.0772403,1.0854129,0.8517169,0.9571289,0.7208873,1.0180489,1.183693,0.93097234,1.102285,1.3150554,1.3570595,1.054195,0.79890686,0.8247042,1.0157726,0.80262387,0.7391454,0.8402833,0.90732026,0.90556204,0.7927178,1.0001892,1.1799484,0.8431725,0.76898694,1.3445734,0.86430246,1.343358,0.8404538,1.1235844,1.0593754,0.7414113,1.0464028,0.82333654,0.73580056,0.9707282,0.86193466,1.1496925,1.1690643,1.1791526,0.58748174,1.1582319,1.1028818,1.1389802,0.6669943,0.9177899,0.8049133,1.0250407,1.0794992,0.81200576,0.9221935,1.0955421
can,0.86033297,0.8248868,1.0117226,1.3649288,0.7707882,0.57317066,0.65529317,1.350345,1.4447746,0.49099076,1.2656747,1.357588,1.1181263,1.4402635,0.971943,0.5064399,0.50334257,1.2341601,0.8349987,0.4949059,0.98351324,0.0,0.9410144,1.2842869,1.2246913,0.8019856,0.9788656,1.2378654,1.3335145,1.0071269,0.33591175,1.3627476,0.4319752,1.3368928,1.2865045,1.0498772,0.96613514,1.0321379,0.66280586,0.82223916,1.2102436,0.81232727,1.4209639,0.8588872,0.7955249,0.8397677,0.6272295,1.1938231,1.1039481,1.1516448,1.3024137,1.3410218,0.8521458,0.9515196,1.2997994,1.0481148,1.2653308,0.753811,0.8903486,0.36894006,1.4771388,1.1317941,1.0469329,0.9735145,0.59190387,0.3696407,0.8858806,0.97930014,0.696264,1.119191,1.2642123,1.2749853,1.3904755,0.42091972,0.46241075,0.64153004,0.59668994,0.912285,0.38042903,1.2128946,1.1500967,0.5638763,0.73376834,1.0002052,0.9290801,1.0511826,1.3162001,1.2418294,1.2233603,0.9852362,1.2884269,1.1954052,0.6974285,0.9663141,0.9057406,0.70843625,1.200379,0.72541255,1.132426,1.1675702,1.4084997,0.6941831,0.91009283,1.019488,1.3795478,0.40839708,1.2473199,0.66444814,1.0706947,1.1557275,0.9143378,0.5542648,1.1301732
car,0.7106608,0.932789,0.9366182,1.3232577,0.8742128,0.93243146,0.6568719,1.1798475,1.1812156,0.91923964,1.1538987,1.1095355,1.0358765,1.1752515,0.9574319,0.73734754,0.6895404,1.0977238,1.1670465,0.67447215,0.8433063,0.9410144,0.0,1.0735521,1.0350978,1.0694486,0.94127154,1.0042001,1.0741805,0.95594347,0.8717417,1.0345322,0.6947312,1.0387182,1.0183766,0.9869545,0.762609,1.3090688,1.0493463,1.2919904,1.1475405,1.2964406,0.9805004,0.8007193,0.7686291,0.75474507,0.99674803,1.1157992,1.1122223,0.8588107,1.0768114,1.3263831,0.9477491,0.8950119,1.2619354,1.1290963,1.3330314,1.1091312,1.0041368,0.69352996,1.2157755,0.8703691,1.20977,0.89238924,0.91591656,0.8286776,1.2560852,1.2993143,0.90013397,1.0724044,1.1280737,1.3294574,1.1638366,0.87100637,0.9140769,1.2289865,0.5926592,0.6505226,0.78508306,0.9856968,0.9378676,0.7716849,1.1141236,0.9426615,0.9746677,1.095911,1.2325625,0.84274495,1.269429,0.89335907,1.0717429,0.90768963,1.0146192,0.98099065,0.92646784,0.8658999,1.1697557,0.933511,0.9906199,1.0856596,1.2111142,0.7321145,1.266782,1.1814183,1.0300251,0.7203053,0.8679431,0.6834861,0.812112,0.4597183,0.8707167,1.0863963,0.8270525
cat,1.0348414,1.1675291,1.2661773,0.78553975,1.2304082,1.2932273,1.2477822,0.7407093,0.64219475,1.2318323,0.7082029,0.6706192,0.9016655,0.5429045,1.1825322,1.3137512,1.2817822,0.97688067,1.1235278,1.3384291,1.219829,1.2842869,1.0735521,0.0,0.7349215,1.2666785,1.0555005,0.8017154,0.65729034,1.1632817,1.3977259,0.78013825,1.3060462,0.28207636,0.84055567,0.82958555,1.2899201,1.0815463,1.2475033,0.9804456,0.8918139,1.2626898,0.6552012,0.9973403,1.3145015,1.1390694,1.2025987,0.9948359,0.9100201,1.242657,0.63815916,0.85137343,1.1498108,1.0140649,0.80975294,0.8381469,0.7591825,1.1652327,1.078662,1.2477925,0.7186352,0.8579966,1.0536108,1.1177309,1.2890557,1.2927129,1.1826912,1.0427289,1.0859295,0.9226238,0.7340306,0.8012776,0.8512082,1.37684,1.3863674,1.1620051,1.1327322,1.0822775,1.2990103,0.62546813,0.9786501,1.2571579,1.1909206,0.86954117,0.9496318,1.2587311,0.77371806,1.0376687,0.81895137,1.045593,0.7848195,0.8823832,1.4225726,0.74242383,1.2497023,1.2095523,0.93742263,1.1797457,0.8842174,0.8577999,0.8072037,1.3664513,1.1573704,1.1645534,0.81444705,1.311397,1.031348,1.3219328,0.93461823,0.97571886,1.1758087,1.3849277,0.8795732
chair,1.1890602,1.2555377,1.3751919,0.6934799,1.4229927,1.4409022,1.0891818,0.5486148,0.31175095,1.1639168,0.2279697,0.88583463,1.1372534,0.40832317,1.0686389,1.4525316,1.3610412,0.6152098,1.3033036,1.1727977,1.2399076,1.2246913,1.0350978,0.7349215,0.0,1.2800391,1.0679866,1.1199431,0.23445195,1.2271285,1.6124661,0.3351524,1.4460416,0.7116439,0.87420833,0.5172545,1.0949689,1.0676372,1.3576195,1.0843464,0.9367725,1.437738,0.8554,1.0585005,1.4976554,1.4080943,1.4768196,0.8826804,1.0558927,1.349492,0.7388258,0.8878627,1.2527369,1.1815721,0.77485037,0.46948886,0.45950925,1.1706278,0.7696178,1.3681006,0.7386484,0.46339726,1.2494364,1.3716297,1.5441186,1.2006495,1.3401062,1.2088728,0.76093197,1.1347237,0.67252666,0.49177253,0.75653726,1.5280559,1.5616984,1.1948048,0.9943176,1.0716726,1.3650534,1.0636517,0.70671487,1.1162903,1.4023073,0.3627041,1.0679317,1.2106986,0.5125396,0.8483723,0.46656263,0.90362954,0.62485856,0.5570984,1.5491288,1.0398781,1.2034631,1.2272952,0.916364,1.3311224,0.46605945,0.85712636,0.6020789,1.3702447,1.3131807,1.2423772,0.8273735,1.3170726,1.016242,1.1702057,0.8860613,0.8268718,1.0650027,1.5033549,0.77700186
clock,1.032817,0.9920197,0.7091371,1.3640407,0.70473045,0.7189652,0.94283223,1.1715914,1.3263175,0.912019,1.3105522,1.3115647,1.0648829,1.3135068,1.0597334,0.77055615,0.8724539,1.1847441,0.75549865,0.87898767,0.8891844,0.8019856,1.0694486,1.2666785,1.2800391,0.0,0.98232484,0.9779615,1.2856185,0.9047724,0.69787306,1.2503201,0.79951835,1.157718,0.9292107,1.1906593,0.9552869,0.9909371,0.7012802,0.9002375,1.0463845,0.7281598,1.2957232,1.0406473,0.87031764,0.82268095,0.7258841,1.0547101,1.0791053,0.9201584,1.1501708,1.1944821,0.6671002,0.754915,1.2175479,1.2551163,1.2510289,0.85729873,1.1614734,0.8255178,1.1658068,1.1075411,0.9152133,0.6776185,0.7104104,0.9901676,0.93532646,0.8295233,1.0857949,1.0515571,1.2141092,1.1920358,1.2692726,0.7535144,0.6926222,0.841638,0.9531655,1.0487566,0.7680536,1.0098027,1.1221864,0.7779738,0.78052926,1.2794051,0.6190076,0.80738837,1.1427795,1.165051,1.1662289,0.8487823,1.2477127,1.1610446,0.5206827,1.1596761,0.95551604,1.0041398,1.1965367,0.7432467,1.1918687,1.0642331,1.2985647,0.7279166,0.7450119,0.959583,1.2460433,0.8934033,0.8970451,0.88619596,1.2184398,1.0593002,0.78012633,0.6706702,1.2577095
coffee,0.7401529,1.0209539,1.0338256,1.1827879,1.0311426,1.0536088,0.87726104,0.9308169,1.1376826,0.9702114,1.1494635,1.030891,0.8405762,1.198703,0.9655683,0.97951597,0.8707192,1.0123593,1.1855034,0.8155541,1.0660402,0.9788656,0.94127154,1.0555005,1.0679866,0.98232484,0.0,1.1248453,1.1040692,1.0074859,1.0624653,1.0066543,0.89733845,1.0381621,1.0820184,0.9235872,0.96404445,1.2040854,1.0187086,1.051507,1.0265918,1.2274594,1.0383303,0.8774661,0.84293556,0.9845776,1.1550825,1.0392632,0.9758472,0.98648417,1.1809168,1.1518223,1.0334597,0.9335877,0.92196804,1.1725612,1.2364331,0.94830084,1.0722839,0.91834867,1.0243714,1.0020183,1.1545353,0.9208481,1.0738904,0.92254424,1.0662134,1.1117533,0.84346014,0.86663765,1.1412572,1.172983,1.0574466,0.9949053,1.0452533,1.0437304,1.0325283,0.80446994,0.8553574,0.93768597,0.8938209,0.99648,1.0440718,0.9652677,1.0104144,1.1375724,1.2089574,0.9433812,1.2242941,0.7392461,0.76191574,0.92471004,1.1425235,1.0114077,0.79209316,0.854061,0.878979,1.2826471,1.0999207,1.2361867,1.0734798,0.5879398,1.2154369,1.1771854,1.0474722,0.88523984,0.9958016,1.0862815,0.9579236,0.8409745,1.0787964,1.042028,0.95516276
comb,1.1287638,1.1310936,1.0491408,0.9910677,1.1478255,1.0866141,1.0439014,1.0111006,1.0126798,1.1561245,0.9626253,0.72758406,0.8622259,0.9484978,1.0614071,1.1569382,1.2143831,0.9781458,0.81983215,1.2539098,1.0554233,1.2378654,1.0042001,0.8017154,1.1199431,0.9779615,1.1248453,0.0,1.0383534,1.0066818,1.1382693,1.0099763,1.2046942,0.9133618,0.9337932,1.0062447,1.0277398,0.92746615,1.1244111,0.85182995,0.91580045,0.9776033,0.7486999,1.2014856,0.95909023,1.0739129,0.94796085,0.9663961,0.99135447,0.78987336,0.8555,0.88251853,1.203676,1.0825006,1.0196848,1.1032917,0.9883694,1.0827756,1.0970525,1.1904289,0.81954944,0.9698306,0.7852053,0.7018359,1.0814418,1.2108358,0.98965424,0.86732316,1.2644827,0.88902104,0.99322206,1.0549699,1.0376544,1.1351236,1.1126344,1.0095819,1.1690211,1.1718287,1.1044376,0.8880654,1.0041116,1.1518216,0.9680125,1.1172538,0.9852391,0.9395848,0.9656247,1.1042936,1.0785778,1.2280254,1.0616524,1.0338684,1.0602825,0.95343906,1.0420315,1.1747308,0.96261257,1.0779477,1.1399937,0.905191,1.0153562,1.2033336,0.9748874,0.92206824,0.78725743,1.2087187,0.9557244,1.0484393,1.0946405,1.0580819,1.1292855,1.12161,1.064696
couch,1.2129883,1.3108276,1.359138,0.64818054,1.3945816,1.432555,1.2549045,0.49148738,0.13142192,1.3461821,0.22478831,0.886792,1.0502982,0.25244594,1.1003003,1.4182532,1.2972816,0.64746773,1.385494,1.3310481,1.3319805,1.3335145,1.0741805,0.65729034,0.23445195,1.2856185,1.1040692,1.0383534,0.0,1.3523227,1.5945086,0.37297398,1.4102124,0.6075607,0.9054719,0.65694,1.2000463,1.0555071,1.3660026,1.0327967,0.7201233,1.3807529,0.75611424,1.1121223,1.5495918,1.4573808,1.3283048,1.006581,0.9368387,1.2487372,0.6568508,0.87837166,1.2654003,1.2773412,0.77054864,0.601302,0.42618817,1.2833545,0.95828635,1.4141841,0.7116319,0.6021769,1.1765326,1.278209,1.4290631,1.4550449,1.3766413,1.156675,0.99721396,1.0396163,0.49108773,0.43350577,0.678191,1.5709224,1.5873252,1.2467284,1.1569463,1.1152339,1.4044921,1.0371257,0.78960395,1.2353616,1.3971522,0.5399636,1.1728954,1.3086523,0.3634683,0.9201552,0.4441778,1.0659143,0.63556373,0.61344224,1.5546839,1.0615139,1.3596126,1.2888263,0.9960203,1.2631714,0.47775984,0.7463783,0.4861337,1.4612634,1.2228022,1.197855,0.7837217,1.4952424,0.91833055,1.2924908,0.8414924,0.83573556,1.2065449,1.5128051,0.69529045
cracker,0.8763521,0.8116999,0.7421453,1.1678016,0.9386112,0.9196641,0.65704346,1.2323686,1.3428512,0.83020127,1.3077911,0.982867,1.1621041,1.2997249,0.9149245,0.85472167,0.9080262,1.0552964,0.6027347,0.86246616,0.72908163,1.0071269,0.95594347,1.1632817,1.2271285,0.9047724,1.0074859,1.0066818,1.3523227,0.0,0.7802044,1.1287969,0.85620046,1.1276741,0.8665297,1.197637,0.66260475,1.0542886,0.80896544,1.0638429,1.1899539,0.8690113,1.0892353,0.9322502,0.5640291,0.76665354,0.93641573,0.92746204,1.1630706,0.87673503,1.2220407,1.0953579,0.8778729,0.85802686,1.1839341,1.2273154,1.3482397,0.90742326,1.016052,0.8942724,1.1479034,1.1832911,1.0298188,0.8308017,0.83411986,0.7811971,0.9052016,0.99514556,0.9913078,1.1735437,1.3109397,1.2760761,1.1071956,0.79108334,0.75784904,0.8232714,0.73840123,0.8684565,0.8259618,0.9831066,0.9684679,0.88459694,0.84638894,1.2015516,0.9935388,0.7208997,1.3818141,0.9479573,1.3200032,0.85449886,1.0996397,1.1464012,0.71706563,1.0566678,0.62369275,0.93414676,1.028379,0.9420692,1.2515959,1.2634811,1.1870725,0.7768732,0.93497914,0.9711279,1.1944559,0.7728938,1.042539,0.7748859,1.1354282,0.9938462,0.81097275,0.86122763,1.2088498
