,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
cracker,0.9324343,1.0865881,1.1938456,0.7154561,1.2276034,1.1265745,0.48583597,0.8544209,0.99850553,0.96385604,1.1070538,0.8168572,0.83012134,1.1124835,0.8470297,0.9717133,1.056494,1.2688496,1.246737,1.0021005,0.5081102,1.2463019,0.97648346,1.1140099,1.1181124,0.9559517,0.8110565,0.9811822,1.2206223,1.1904539,0.8705653,0.79957795,0.95395654,0.0,1.0743334,0.9359622,1.2959722,0.93681055,0.9698795,1.1529536,1.0618565,1.0612944,0.911868,0.9953258,1.0653157,1.1326753,0.98342186,1.1279783,1.0518224,0.9554611,0.8256068,0.60802096,1.0361308,0.9979812,0.85246456,1.0850916,0.7988833,1.1268224,0.92471343,1.024734,1.0212057,0.8546692,0.9596618,0.84605664,1.2069843,1.0399249,1.2141156,1.1459697,0.9905123,1.0407099,0.7883483,0.67766845,1.1283655,1.306504,0.8421475,0.8629066,0.7716327,0.9040074,0.9532354,1.0147536,0.9218637,0.6803161,1.1888754,0.9562885,0.96599627,1.2456044,1.1066273,0.94170415,0.7822377,0.8573573,0.7865927,0.8054392,1.075722,1.0051831,1.1092322,1.1891308,0.64058495,1.2877945,1.07535,1.1489062,1.1147344,1.0908175,1.2931294,1.3028395,1.0451916,0.9946146,1.0039288,0.9771434,1.0074679,0.77862096,0.84004784,1.0621269,0.867309,1.1519407,0.9430073,0.909701,1.0340053,1.1598375,0.8551446,1.109706,1.1424901,0.9109266,0.9512893,1.0158509,1.1952524,1.1041143,0.9413309,0.9096349,1.160048,1.0345596,0.9202186,0.78920114,0.9395724,1.1594112,1.0514169,1.0614967,1.0440094,1.1611447,1.1715164,1.0819784
crayon,1.0089942,0.7472867,0.26841497,1.5010316,0.8191402,0.7149272,1.1544743,1.018149,1.4158075,1.547529,0.14281034,1.4837215,1.5887642,0.588296,1.5462811,1.2450781,0.8702878,0.21884537,0.6269933,1.2245679,1.1107017,0.5412401,0.72321194,0.3564273,0.66818047,0.3448314,1.4410123,1.3144064,0.3057831,1.2941617,0.97915375,1.2689718,1.4784493,1.0743334,0.0,1.551816,0.21969861,1.327426,1.3961782,1.4219728,1.2228765,0.93020093,1.172154,1.4007082,1.0781407,0.48194945,1.2245523,0.6498241,1.2528446,0.742532,1.1722682,1.2477138,0.9457718,0.69410944,0.39489865,0.8792244,1.296858,0.33726263,1.1883689,1.1934234,0.6524033,1.362353,1.1261988,1.2535799,0.6331985,0.88819444,0.79289514,0.675616,1.4933674,1.1450968,1.4182818,0.5296378,0.9947529,0.35545194,1.3158696,1.3107529,1.0647739,0.9704468,1.5774148,1.3912826,1.0824859,1.3327619,0.2317074,0.7296001,0.7458204,0.7030022,0.49888277,1.3139071,1.3914067,1.510598,1.3644371,1.3880063,0.06823969,0.07617569,1.1198293,0.675863,1.0208124,0.94380593,0.940545,1.015148,0.438945,1.3994404,0.81509024,0.7080455,1.2482277,1.1878496,1.0643635,1.0717776,1.3982003,1.1427766,1.477598,1.1949831,1.238701,0.72282624,1.439447,0.85332954,0.9512155,0.19119656,1.3356082,0.24990076,1.2045988,1.1042767,0.665462,1.1569295,0.6743461,1.3863335,1.479291,1.5265127,0.50092006,0.59090817,1.1232585,0.7445939,0.9814765,0.8800718,1.2992994,1.179662,0.55379534,0.6381911,0.26650387,1.2192597
crib,1.0786946,1.3547986,1.6045825,0.7420259,1.2791817,1.2536821,1.007198,0.67368406,0.60613364,0.24322414,1.4640067,0.34166074,0.6730326,1.2736747,0.5441308,0.68071544,0.89636296,1.4403602,1.1034452,0.42553997,1.1389908,1.1302255,1.1985213,1.2572463,1.1549337,1.490763,0.7688793,0.44507682,1.4340477,0.5556997,0.8300681,0.9485683,0.4834876,0.9359622,1.551816,0.0,1.4189632,0.6921611,0.77312845,0.76171744,0.65029144,0.93641967,0.9951456,0.9227244,1.1518345,1.5186676,0.9891195,1.3293078,0.9628348,1.4165916,0.8462296,0.99786544,0.966595,1.3769667,1.4549308,1.1681805,0.6416693,1.4983915,1.1013429,0.75094247,1.2947499,0.8993897,0.88979435,1.0824219,1.4186676,1.0599325,1.2475628,1.2015123,0.6877536,0.97793645,0.70418984,1.290389,0.7194449,1.3999919,0.8867878,0.8663861,1.0903949,1.175881,0.791611,0.5897049,1.1327659,1.0303855,1.5447414,1.1680825,1.3925581,1.3688439,1.5230961,0.47764838,0.82491034,0.6286861,0.7825073,0.72784495,1.4989967,1.5170808,1.0307294,1.207421,1.0219713,1.014048,0.88813096,1.0531328,1.4219888,0.48663068,0.9824245,1.2920221,0.52462876,1.0717931,1.0254707,0.86279625,0.7692479,0.8290668,0.732306,0.96910954,0.92438406,1.2317688,0.51544404,0.88721883,0.82337856,1.5799454,0.6688179,1.4811729,1.0305147,0.8380509,1.3521714,0.9479545,1.332998,0.46869445,0.70517534,0.3818462,1.4042747,1.5577707,0.98913217,1.1503842,1.0066868,0.9099327,0.5406666,0.86409354,1.2889175,1.1323762,1.54828,0.6832536
cup,1.1605515,0.80245596,0.27085018,1.568205,0.70676863,0.70260155,1.3294442,0.95700455,1.347542,1.4989159,0.23636615,1.4407005,1.62311,0.5053098,1.5461237,1.25366,0.92354286,0.048724294,0.47687387,1.126318,1.1799861,0.25719494,0.7845249,0.30853164,0.736705,0.5174421,1.4701755,1.2065387,0.3034966,1.2083532,1.0070561,1.2672982,1.426386,1.2959722,0.21969861,1.4189632,0.0,1.3400259,1.3099017,1.3725514,1.104352,1.0028025,1.2376735,1.3098699,1.1501575,0.48228073,1.2560863,0.8399257,1.2346568,0.97247946,1.2080612,1.331147,0.95178175,0.83730674,0.62474084,1.0257059,1.2072576,0.4900897,1.2626408,1.1664542,0.74407953,1.3673161,1.1524477,1.3905048,0.60445887,0.85592175,0.7470609,0.6319047,1.4545071,0.91672283,1.4813783,0.8435159,0.84607327,0.18827641,1.289454,1.215842,1.0791527,1.1236143,1.5475489,1.3796812,1.1797863,1.3498819,0.2921955,0.65213835,0.9300182,0.5924464,0.41645145,1.221412,1.3863993,1.5782526,1.436058,1.4121468,0.26965523,0.30585313,1.0232283,0.5520544,1.1333057,0.754891,0.8990583,0.94754964,0.30565053,1.3409051,0.6471846,0.6230976,1.0569696,1.1452576,1.082586,1.1659176,1.3933399,1.2872183,1.4967228,1.188041,1.3035871,0.67480934,1.3754023,0.78696156,0.9328441,0.3297652,1.3439806,0.30671668,1.1396658,1.1705303,0.7662356,1.0743392,0.6345705,1.3317702,1.4659905,1.5166025,0.36075258,0.77841455,1.1550848,1.0204822,0.9044912,0.87046367,1.1892493,1.1243936,0.50120914,0.59516263,0.4013667,1.1289515
dish,1.0655481,1.2358974,1.3934321,0.799025,1.0477971,1.0524904,0.8700397,1.0899644,0.56032294,0.82244,1.4119977,0.962253,0.67288727,1.2344791,0.81565374,0.7460507,0.84339255,1.3330618,0.69096935,0.66303366,1.1661243,1.2100347,1.0469736,1.3415775,1.155949,1.2047925,0.9105616,1.1475848,1.3926084,0.90526456,1.0052043,0.8989147,1.006521,0.93681055,1.327426,0.6921611,1.3400259,0.0,0.9340295,0.8576162,1.0330158,0.99018943,1.0144246,0.86307555,1.0090663,1.3758237,1.0022701,1.2917671,0.9432589,1.2099627,0.92026156,0.97769976,0.42827725,1.3317668,1.3016031,0.87529206,0.7300146,1.2986795,1.059007,0.9680537,0.8120924,0.9452507,0.9999644,0.90404296,1.338537,1.1290865,1.1870689,1.1665956,0.9009474,0.9988762,0.9732703,1.2672298,1.0577983,1.3655969,1.0349209,0.9566825,0.99763006,1.0988475,0.77046716,0.8286625,0.95754033,0.93678826,1.3534076,1.2790947,1.2114162,1.343422,1.334734,1.0011227,0.8022407,0.7950324,0.9874722,0.65147454,1.3470201,1.3219614,0.9964072,1.4340556,0.609042,1.0549047,0.40003228,1.0533634,1.2575145,0.83310753,1.2165563,1.3009527,0.9720192,1.0431654,1.0951784,0.45216984,0.7849139,0.6896529,0.9093791,0.89161104,1.0801927,1.1360219,0.78164184,0.96264493,0.942059,1.4082898,0.8076977,1.3669589,1.0410196,0.44976425,1.1711477,0.9601258,1.0872017,0.83367896,0.84061486,0.51954716,1.2746663,1.3276234,0.7443443,0.8410968,1.2436014,0.7343174,0.40849602,0.9238608,1.234223,1.2356755,1.3425756,1.0797644
dog,0.6947647,1.1720954,1.3199291,0.76423275,1.0565339,1.1873503,1.0041411,1.0991434,0.9103691,0.6948837,1.4004458,0.7556108,0.8215224,0.9336744,0.7178822,0.9540604,1.0962864,1.2805918,1.2665632,1.0279465,0.9276017,1.3418658,1.0503991,1.3690666,1.1082996,1.3503745,0.32172787,0.9063511,1.3233349,0.91066647,1.1303915,0.975024,0.6858986,0.9698795,1.3961782,0.77312845,1.3099017,0.9340295,0.0,0.6409486,0.9419287,1.1466416,1.0154028,0.68945,1.1177518,1.2806417,0.61590713,1.0593375,0.79830134,1.3014779,0.9662651,0.81587726,1.0090892,1.2270046,1.2558315,0.90841436,0.9657147,1.3366549,0.98368204,0.83120847,1.2661874,0.80787885,0.75213814,1.0437815,1.2274704,1.1573229,0.95689803,1.1928594,0.80875397,1.0195032,0.8606216,1.3033073,1.0619078,1.2920629,0.86518395,0.95168626,1.0226673,1.0247115,0.78602916,0.8918496,0.85052735,0.9502213,1.3220317,1.1609676,1.3286068,0.9188523,1.2744629,0.9833549,0.71610427,0.85179394,0.9495458,0.928095,1.3296871,1.3659801,0.84180045,1.1275759,1.0635543,0.9757843,1.1659882,0.6189395,1.2139223,0.92428654,1.0867313,1.2178,0.9565903,0.87785393,0.6522554,1.037804,0.78616965,1.0183761,0.84167105,1.0029968,1.080991,1.2558115,0.8734536,1.2037721,1.0936869,1.3648185,0.8163594,1.2430847,0.93602425,0.9981738,1.3431567,0.96955216,1.1589404,0.7922907,0.7649263,0.7440998,1.2842677,1.2970967,1.0589536,1.1972905,0.99654806,0.98561347,0.97975546,0.9396505,1.1556703,1.1731856,1.385714,0.9189574
doll,0.87837267,1.1229327,1.2620708,0.80040437,0.92020947,1.1418078,0.9718791,0.99552095,0.9993967,0.69150686,1.4201863,0.9265897,0.61065,1.1622546,0.7079232,0.979058,0.97478575,1.3061521,1.2076762,0.9487674,1.0465735,1.3129463,1.1733097,1.4082912,1.0927215,1.2962152,0.7929977,0.9996682,1.3880748,0.9880173,1.2122408,0.8226215,0.85363543,1.1529536,1.4219728,0.76171744,1.3725514,0.8576162,0.6409486,0.0,1.054279,1.0771121,1.1190977,0.7353989,0.99047947,1.1507723,0.92386377,1.1636703,0.7649527,1.0936736,1.0198481,0.979987,0.8299514,1.2078481,1.2561839,0.7158039,1.0135313,1.2444158,0.76162666,0.970067,1.0191734,0.86751527,0.76300794,0.8349976,1.0912138,1.207538,0.98821443,1.2261167,0.7043921,0.9196832,0.9615176,1.2538345,1.1050714,1.3877933,0.89615357,0.97571856,1.0621251,0.98915213,0.49945098,0.8829132,0.935017,0.9474212,1.3020216,1.2175722,1.1608623,1.0659816,1.1780562,1.1120739,0.8046479,0.5669126,0.9947799,0.9843931,1.4389069,1.4180652,0.8952203,1.1067492,1.1028512,1.0247381,1.05347,0.8649179,1.2210569,0.6704509,1.0464962,1.101065,1.0996219,0.95865554,0.8052721,0.8418437,0.67953026,0.9114964,0.8854764,0.8375349,0.9789319,1.0936528,0.94312245,1.3902032,1.012151,1.3215787,0.9342026,1.3316517,0.75018793,0.92683375,1.1674607,0.89979595,1.1187489,0.48439652,0.83615583,0.74555814,1.2864418,1.1188027,0.84822315,1.0247195,1.0153574,0.5880035,0.8492205,1.0692049,1.1638021,1.2102631,1.3295571,1.0000428
door,1.0880986,1.196604,1.2910343,0.9840613,1.2824875,1.1786305,1.152619,0.907864,0.67480266,0.77535146,1.1507379,0.6659001,1.0646111,1.0118831,0.9951787,1.0220162,1.1417398,1.1027869,1.1717085,0.82132596,1.1187978,0.9429155,1.1623628,0.8878177,1.1110439,1.1987278,0.9633521,0.5956551,1.0106091,0.47088194,0.70605725,1.0764861,0.76867855,1.0618565,1.2228765,0.65029144,1.104352,1.0330158,0.9419287,1.054279,0.0,0.82995343,1.0247859,1.0245492,1.0728476,1.3029346,1.00546,1.0696778,1.0062546,1.173914,0.9814312,1.1737713,1.1356552,1.2390655,1.1104847,1.2551486,0.80566335,1.2311612,1.1949189,0.8423286,1.3479779,0.8914808,1.1613542,1.0881739,1.2215786,0.8769907,1.1118485,0.97141105,0.8970846,0.9785001,0.8544101,1.0815859,0.692919,0.9235475,0.8377199,0.95081204,0.9739808,1.1000533,1.0898838,0.9863034,1.1623054,1.0279523,1.2351606,0.96652174,1.1368015,1.0931494,1.2658144,0.4361238,1.1492649,0.9846418,0.85833013,0.9794121,1.1791412,1.1945746,1.0537457,1.05723,1.0698622,0.8925363,1.1493567,1.0879488,1.1647787,0.94247967,0.96069276,1.0892962,0.2948038,1.120794,1.0478508,1.0862288,1.0243516,1.0670391,0.86512005,1.1781157,0.925628,1.0754188,0.52523005,0.8585551,1.0044248,1.2937891,0.9125147,1.1032505,1.0760922,0.9929017,1.1594431,0.8666231,1.187756,0.8728181,0.8912933,0.8972677,1.2285864,1.2044404,1.1626699,1.1045069,0.8865292,1.2325673,1.0359541,0.92805016,1.039301,0.6616138,1.2392902,0.5020672
drawer,0.7531145,1.0815169,1.12577,1.1488023,1.035829,1.0134629,0.9962521,0.8588636,0.88651025,1.0893148,0.9319764,0.9618923,1.2223482,1.0780102,1.1458043,0.88342494,0.72171915,1.0650716,0.78453195,0.6682329,1.0442728,0.86252105,0.93324983,0.91205376,0.8107458,1.0387422,1.2979577,1.0000544,0.8431919,0.9326544,0.7325563,0.99966896,1.1074295,1.0612944,0.93020093,0.93641967,1.0028025,0.99018943,1.1466416,1.0771121,0.82995343,0.0,1.114705,1.1272438,1.0578763,1.1306827,1.2490406,1.0444397,1.1788757,0.97991586,1.0400088,0.9901668,1.0148691,1.1075867,0.8074002,0.86697865,0.9623723,1.0634623,1.0397046,1.1090826,0.8183787,1.2258468,1.0921345,1.0312793,1.1676906,0.7435874,0.9396776,0.931123,1.1822715,0.8996674,1.171613,0.7281637,0.90608215,0.9042556,1.0906851,1.0853474,1.0512037,1.0511718,1.1625891,1.1007578,1.14033,1.1308815,1.175668,0.93338364,0.8666261,1.1678098,1.1038057,0.8840377,1.246388,1.2247859,1.1480856,0.91389644,0.92272896,0.9039662,0.9215772,1.0037984,1.0314456,1.035087,0.7967365,0.97986573,1.118795,0.8636967,0.8769559,0.93623143,0.8387946,0.9503544,0.9908052,1.0301028,1.160921,0.6702175,1.196506,0.9620985,1.1076496,0.67065626,0.97095174,0.7780106,1.0061625,0.995725,1.1788011,1.1292549,0.968957,1.114264,0.58306503,1.001622,1.0396872,0.9895851,1.1935264,1.0463638,0.8549938,1.0734572,0.8735501,0.75446373,0.9917149,0.89151543,0.78577495,1.086495,0.88330853,0.77727187,1.0208316,1.0082893
dress,1.0677587,0.83203894,1.2020609,0.5877706,1.1858156,1.112088,0.8221983,1.3470207,0.82205683,0.80282253,1.1772356,0.7488959,0.6500664,1.2333784,0.7150677,0.8303168,1.1641178,1.2645876,1.3200715,1.218626,0.99786156,1.2840707,1.1140667,1.1824386,1.243782,1.1070422,0.72133887,0.8291943,1.2455188,0.860051,1.0750146,1.0186601,0.70411146,0.911868,1.172154,0.9951456,1.2376735,1.0144246,1.0154028,1.1190977,1.0247859,1.114705,0.0,1.0199622,0.9464265,1.0899205,0.7544241,1.0011882,0.98823965,0.89351255,0.9986761,0.7578339,1.2867172,0.83510023,1.1890545,1.2768028,1.0135869,1.1769104,0.81397116,0.8941504,1.2165747,0.9281122,0.9616172,0.8256437,1.1289315,1.0245234,1.1975324,1.1798522,0.7066315,1.1660936,0.5455604,1.0724816,1.1117871,1.2436891,0.6333779,0.94376546,0.9740662,0.91735214,0.7567377,0.80118823,0.93846595,0.93352646,1.0452235,0.9854779,0.8855056,1.2254515,1.1415645,0.7706009,0.8379899,0.6518626,0.5432899,0.7480878,1.1181741,1.144074,1.1532094,1.0834483,1.1048456,1.2113678,1.1783457,1.1648443,1.216291,0.98906857,1.341339,1.2323778,0.992908,1.0643793,1.1770675,1.1339849,0.9044601,1.0071262,0.6363498,1.1023642,0.6871439,1.2704216,0.91590476,0.9107064,1.0453473,1.1945722,0.8164832,1.1556704,0.8900044,1.0665911,1.2122984,1.0799688,1.2134185,1.12443,0.6823004,0.7787237,1.3133717,0.98517287,1.0079936,0.9585004,0.93474746,1.3994871,1.172096,0.9475801,1.256623,1.1759572,1.0968043,0.91734725
duck,0.79416424,1.0537091,1.2632655,0.76726127,1.0202371,1.122277,0.9000737,1.0920533,0.92868686,0.92856896,1.3771088,0.8863426,0.75734854,0.9265984,0.7173951,1.159426,1.1791912,1.3034644,1.257047,1.0786732,0.74602354,1.2887628,0.9157791,1.3177383,1.2226146,1.29881,0.6237116,0.95960706,1.2670109,1.0824842,1.1025712,0.9249245,0.8420314,0.9953258,1.4007082,0.9227244,1.3098699,0.86307555,0.68945,0.7353989,1.0245492,1.1272438,1.0199622,0.0,0.9281355,1.1616381,0.84454167,1.0472584,0.97973496,1.0072209,0.98159844,0.58234495,1.0096128,0.9818307,1.1509162,1.012499,0.9063053,1.2704085,0.5639816,1.1199615,1.0317229,0.822117,0.82074475,0.7501931,1.0360519,1.0922095,1.152358,1.2974861,0.6784794,1.0180193,0.8799271,1.1760066,1.2062631,1.2648768,0.7636533,0.9822295,0.96210325,0.93908,0.54838264,0.998585,0.8747202,0.82237554,1.2630486,0.88109183,1.1539475,0.8698649,1.2104529,1.0106976,0.84424484,0.7719326,0.92309093,0.8643061,1.3497689,1.3427131,1.0125217,0.9859618,0.9887799,1.069151,1.1586676,1.0107514,1.2211204,0.9509511,1.1606104,1.1429908,1.0459845,0.7444817,0.7727002,1.0180398,0.8759787,1.0686646,0.81447566,0.9352851,0.9736012,1.0738775,0.8912945,1.078014,1.2501595,1.2534696,0.9527301,1.1944479,0.7618656,0.9877479,1.1637362,0.9431125,1.1905551,0.90849245,0.86901474,0.9296057,1.30313,1.0645295,0.86239135,1.0027765,0.7425274,1.1007004,1.1088494,1.1027975,1.2175213,1.1752995,1.3392904,0.99854475
ear,1.2485886,0.7878718,0.9611197,0.97257435,1.0799655,1.0120987,0.98349065,1.133895,1.1008229,1.1179497,1.008746,1.1558678,0.8792528,1.1431721,1.0898936,1.1991582,1.1380507,1.1235187,1.1621042,1.1974592,0.93487906,1.1504005,1.061739,1.0375837,1.2266958,0.73856187,1.063708,1.0807303,1.1504683,1.136542,1.086849,1.0639273,1.0855125,1.0653157,1.0781407,1.1518345,1.1501575,1.0090663,1.1177518,0.99047947,1.0728476,1.0578763,0.9464265,0.9281355,0.0,0.88001883,1.0303377,0.85148025,0.9225893,0.5468389,1.0253208,0.97034115,1.0752866,0.7321689,1.076963,1.1286038,1.0663916,0.7877046,0.82577115,1.1427152,0.96019095,0.79327345,0.94636476,0.5946706,0.75324404,1.0668904,1.1051508,1.1312159,0.9540081,1.052879,0.9753979,1.0101874,1.1579442,1.157378,0.9322984,1.0309764,1.1017039,0.85977626,0.9210502,1.0410426,0.69007546,0.91072786,0.9298657,1.0741148,0.503659,0.9580817,0.9779176,1.0300425,1.1069336,0.89921904,0.9455442,1.0261242,1.115912,1.0494252,1.0113928,1.1048201,1.0169435,1.0629519,1.1316682,1.1205682,1.1341023,1.0544071,1.0416825,0.9992301,1.0796208,1.0682954,1.0849004,0.9672708,0.87801594,1.1359724,0.9077768,0.96393883,0.8570138,0.9849944,1.0227526,1.175703,1.1983688,0.95223296,1.1751884,1.1039577,0.99050266,1.0851972,0.9645536,0.89744455,1.0192541,1.053922,0.98706555,1.1429865,1.1496502,0.6004904,0.7821483,0.89173967,1.045288,1.1459811,1.1562588,1.074969,1.1492796,1.1142983,0.7909183,1.0420642
egg,1.2726076,0.69383806,0.16800028,1.2988907,0.5000309,0.53744996,1.1445606,1.0855793,1.3617194,1.4110706,0.55121535,1.4432371,1.3397721,0.8596988,1.4352573,1.2669917,1.114325,0.50116247,0.8260781,1.3755206,0.8579185,0.75781095,0.9708388,0.7205905,0.9228442,0.41828477,1.307094,1.314317,0.6103446,1.3633599,1.2897987,1.014965,1.3454586,1.1326753,0.48194945,1.5186676,0.48228073,1.3758237,1.2806417,1.1507723,1.3029346,1.1306827,1.0899205,1.1616381,0.88001883,0.0,1.1149094,0.65454954,1.0285851,0.56791836,1.2381518,1.1947317,1.08671,0.5599926,0.7183445,1.0155274,1.3251514,0.4395976,1.0854013,1.184245,0.70889735,1.106184,1.0489829,1.0137376,0.47588605,1.0924333,0.8665323,0.9948242,1.3196461,0.97700167,1.2854353,0.8662005,1.1888592,0.62728214,1.1855233,1.0891128,0.9501858,0.79649514,1.2953783,1.3026645,0.91712874,0.96319145,0.27862406,0.9498321,0.6660959,0.5786568,0.12480694,1.3899117,1.2708771,1.308476,1.2160819,1.4064231,0.5830958,0.5810561,1.0817859,0.808419,1.1177728,1.0437921,1.1241772,1.0443685,0.41556764,1.4186338,0.9309053,0.75124985,1.3435009,1.0306307,1.0848289,1.1140434,1.2264756,1.3426697,1.2945244,1.1935055,1.0756044,0.82330596,1.3614665,1.1028305,1.0232784,0.4669472,1.2840453,0.49423695,1.1127898,1.2200036,0.78456706,1.1278923,0.6786937,1.3681363,1.2886941,1.4701089,0.52340895,0.4138868,1.0210007,1.0229187,1.093766,0.9038748,1.3265809,1.1830945,0.7513852,1.0129466,0.4359252,1.2571652
elephant,0.8458036,1.0094,1.2079344,0.7951508,1.1337086,1.1631879,0.8967178,1.2548494,0.8277163,0.83258134,1.2393684,0.91909343,0.7154875,1.0428444,0.66949046,0.9221052,1.2467098,1.2556175,1.2894522,1.2418716,0.96271276,1.3314497,1.0855863,1.3043505,1.2306774,1.2074778,0.41020942,0.9961733,1.1608393,0.89200604,1.0468849,1.0095807,0.8563569,0.98342186,1.2245523,0.9891195,1.2560863,1.0022701,0.61590713,0.92386377,1.00546,1.2490406,0.7544241,0.84454167,1.0303377,1.1149094,0.0,0.92611706,1.015851,1.068614,0.968979,0.89859545,1.1353432,1.0156124,1.1484144,1.093275,1.0742104,1.2247012,0.95511186,0.86695874,1.2914567,0.91614264,0.8374599,1.0049547,1.1477367,1.1518828,1.0721276,1.0478653,0.72718316,1.1412956,0.75643766,1.234308,1.1181829,1.1495513,0.9437632,0.9486947,1.0281909,0.97888225,0.78192645,0.84247553,0.8851232,0.97984946,1.106069,1.0332246,1.1105661,0.90170205,1.1761839,0.96884364,0.6576518,0.76814806,0.82149625,0.9509301,1.153253,1.235953,1.0446353,1.0548534,1.0762264,1.0759022,1.1512859,0.9754474,1.1600497,1.0246363,1.2529937,1.1525872,1.040921,0.9651904,0.9947208,1.0301051,0.9233086,1.1231593,0.8427539,1.0620611,0.89159566,1.3703427,0.8953844,1.0587451,1.0094366,1.2093941,0.640074,1.0597917,0.99120194,0.9783012,1.269508,0.8378923,1.130298,1.1408837,0.7955775,0.8693234,1.2260926,1.0801994,0.9666878,1.2091253,0.9295017,1.2347155,1.1279426,0.89791816,1.2232803,1.1750202,1.2216322,0.8824158
eye,1.0007876,0.7166357,0.7056487,1.1472718,0.99170667,0.95190805,1.1374075,1.1132263,1.1651497,1.1934339,0.72035825,1.1991836,1.1928828,0.8939742,1.2195342,1.2137647,1.1368122,0.865247,1.1108892,1.3260155,0.9727338,1.0534626,0.95950127,0.81260544,0.99913335,0.65842533,0.96998066,1.1185281,0.62835044,1.1152133,1.1953176,0.9698794,1.0656945,1.1279783,0.6498241,1.3293078,0.8399257,1.2917671,1.0593375,1.1636703,1.0696778,1.0444397,1.0011882,1.0472584,0.85148025,0.65454954,0.92611706,0.0,0.916593,0.572188,1.1634874,1.1339973,1.2797052,0.47521538,0.7397057,1.0804422,1.2574658,0.46484667,0.9737703,1.135107,1.0005534,0.9276912,1.0679611,0.9121978,0.65446544,1.1120564,1.0220891,1.0356088,1.1566195,1.2000188,1.0694271,0.8103913,1.2584594,0.783986,1.084766,1.1534647,1.0693356,0.6270926,1.2570219,1.1559564,0.73515534,0.96455175,0.54004616,0.97180665,0.6630816,0.62151253,0.81764483,1.172689,1.1269426,1.1656983,1.0279828,1.193377,0.6303438,0.6693736,1.2065097,0.91441965,1.189789,1.1296713,1.2637693,1.0636955,0.99179965,1.3140285,0.9481487,0.7383033,1.2060192,1.0020617,0.9199008,1.1472417,1.0569631,1.2834644,1.120023,1.1129583,0.941836,1.0803225,1.1204184,1.0458249,1.2651565,0.5319102,1.1406347,0.6254314,1.114241,1.2038103,0.9782753,1.1073244,1.0490336,1.2963511,1.1660877,1.2640467,0.8740144,0.47724968,1.1923256,1.0357492,1.0447998,1.2087296,1.361415,1.1984091,0.99949056,1.0306542,0.4481228,1.0686145
face,1.1187723,1.1466358,1.1176453,0.7859496,0.92767173,1.0746837,0.9817505,1.2086879,0.97065794,0.842212,1.306068,0.9551619,0.85614556,1.1186821,0.9194837,0.9821677,1.0494632,1.2072508,1.2445387,1.120952,1.0161346,1.3054453,1.1569893,1.3142139,1.0342729,1.1635966,0.86648095,1.0571003,1.2097939,0.9547694,1.2140179,0.7937745,0.76400745,1.0518224,1.2528446,0.9628348,1.2346568,0.9432589,0.79830134,0.7649527,1.0062546,1.1788757,0.98823965,0.97973496,0.9225893,1.0285851,1.015851,0.916593,0.0,0.98249334,1.0832886,0.99155873,1.0518217,0.9247748,1.3057942,0.8964017,0.9381245,0.97115326,1.0893823,0.93466777,1.1033611,0.44840014,1.0676458,0.8656845,0.9753372,1.1639026,1.1749301,1.2675908,0.8465053,1.0084358,0.86231816,1.3007731,1.2337894,1.2796947,0.8254285,0.86916775,0.912345,0.75202084,0.8817064,0.8642043,0.58008695,0.7601938,1.0658017,1.3230197,1.122466,1.1512276,1.0683453,1.0756059,0.8859602,0.8501849,0.8833995,0.9056646,1.2412457,1.2529622,0.9997802,1.3025105,1.0205371,1.1190753,1.150048,0.9877428,1.1672709,1.1076908,1.1180699,1.155845,1.0384398,1.0537776,0.8944832,0.8783034,0.6367206,1.0467669,0.6814922,1.0349526,1.0061579,1.1935676,0.8773781,1.1811903,1.1714929,1.213522,0.9708813,1.1439852,1.1188818,0.8727956,1.2985792,1.0400062,1.0408483,0.91205215,0.70130616,0.88259757,1.1749395,0.94418323,1.0501546,1.1797312,1.2634708,0.99808663,1.030385,0.9121803,1.178306,1.3181769,1.152987,0.95214
