,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,face,finger,fish,flower,foot,fork,frog,glasses,glove,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,melon,milk,mitten,motorcycle,mouth,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,plant,plate,pony,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shorts,sink,slide,slipper,sock,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
belt,1.176626,0.6638178,1.0785145,0.9787042,0.8819286,1.0609245,0.9456215,1.1421522,0.9005649,1.300828,0.0,1.2729725,1.1381941,0.7971323,1.3699074,1.2612542,0.7190496,0.8057693,1.024767,1.2345487,0.8650075,0.97190404,1.2316391,0.71574676,0.95559824,0.8031666,1.266521,1.2764951,0.88870955,1.0792484,0.808154,0.8726143,1.2211509,1.0108854,0.5183504,1.3774624,0.80946493,0.94548273,1.309116,1.050336,1.1340908,0.91556275,1.025186,0.76628923,0.94787335,1.1172516,1.0083221,0.85635877,1.0327053,0.9491061,0.7390282,0.94078964,0.7278127,0.936814,0.7254969,1.1158199,1.2208115,0.72833115,0.7316119,1.2448972,1.1307822,1.227665,1.1831951,1.1532116,1.2754003,0.82987916,0.8418666,1.1778034,1.215397,1.2149748,1.1225367,0.8817181,0.69578505,1.1438639,0.8148874,0.8122133,0.7230464,1.1921053,0.7466318,1.2397931,1.023335,1.2341259,0.6340123,0.49458712,0.73036754,1.056732,0.60953116,1.1648502,1.1314287,0.7969955,1.2654839,1.0673467,1.2133129,1.0585537,0.99953526,1.1840236,1.0903279,1.2005701,0.68118924,0.88624126,1.2789273,1.2183559,0.7118521,1.1493087,0.95820624,1.3751736,0.7948382,0.7247706,0.6694097,1.2193594,0.9626426,1.2317526,1.0665925,1.2312875,0.8856658,0.5869801,0.9466734
bench,0.8077157,1.5210134,0.74086297,1.4443301,1.4880794,1.1639104,1.1521164,0.5670856,1.0452194,0.26740813,1.2729725,0.0,0.957933,0.8453516,0.49590248,0.783875,1.2468148,1.4338017,1.2623869,0.48154593,0.93710196,1.092467,1.0982289,1.1727098,1.0650771,1.2343116,0.62018704,0.18961334,1.4515278,0.69985694,1.001414,0.98545384,0.2536416,1.1891322,1.624255,0.38568985,1.4417882,1.0123813,0.64518565,1.1926252,0.50426495,0.8418559,0.7453488,0.8788148,1.3453965,1.0123179,1.2677375,1.0407565,1.2376724,0.91001904,1.4069523,1.3428378,1.4599348,1.4266582,1.5577588,0.7584967,1.0096005,1.4951571,1.3955495,0.86855555,1.0131624,1.1015114,0.6564387,0.7923643,0.5386237,1.3177879,1.2981474,1.0200473,0.9189742,0.81374604,0.673075,1.2375972,1.4799532,1.1841176,1.3076293,1.4459867,1.1676013,0.4583348,1.112438,0.7339042,0.5790913,0.8611877,1.5523771,1.472003,1.2702692,1.1282878,1.4559746,0.9476661,0.57310444,1.2023501,0.43511236,0.85520655,1.0762485,0.68827367,0.9649156,0.60191935,0.809758,0.67220175,1.5690856,1.1320945,1.0505567,0.7126623,1.364649,0.65832424,0.93466115,0.20223051,1.447244,1.4325492,1.275434,0.8729322,1.2939332,1.2099819,1.1504236,0.8909225,0.7660406,1.5392039,0.8964568
bib,0.9884255,1.1515871,0.6803895,1.199173,1.2191594,0.99160254,1.006473,0.87716293,0.8263347,0.82948637,1.1381941,0.957933,0.0,1.0155483,0.7726965,0.92501944,1.0556589,1.2548404,1.2825329,0.9235475,0.89139307,1.233722,1.2674961,1.2041072,0.99897116,0.9414887,0.8964961,0.9393968,1.211947,1.0593519,0.9712233,0.8092273,0.9459077,1.0046462,1.1632028,0.9084929,1.2536513,1.1006844,0.98558646,1.062157,1.0794365,1.1603222,0.8648741,1.0157325,1.0701703,0.83192074,0.9649983,0.9192038,1.1255149,0.9939225,1.0049725,1.0471364,1.1396734,1.1242956,1.1063267,0.8328309,0.76814413,1.1356459,1.167985,0.9701938,0.6209953,1.2033789,0.90669405,0.93943495,1.0022885,1.2287488,1.0651791,1.1406765,1.0754042,0.9726651,1.0028422,0.9696527,1.2015889,1.1004744,0.9553969,1.1499918,0.9966117,0.94310534,1.1114103,0.75113815,0.97832817,0.69912267,1.1976671,1.2050558,1.1468731,1.0970583,1.2338874,1.1891446,1.0017734,1.2144561,1.074734,0.9134031,0.8115027,0.77006125,1.0076215,0.86519194,1.1570585,0.8811859,1.1074393,0.7882085,1.0382216,0.87728703,1.1364914,0.86624706,0.76511574,0.8217692,1.175311,1.0823348,1.1290956,1.0018687,1.1753203,0.97694325,1.1364813,1.0323608,1.2294097,1.1456258,1.0664128
bird,0.88271415,1.1714917,0.85926163,1.2056282,1.3564026,1.0639296,1.1092391,0.8857039,0.9371535,0.8398296,0.7971323,0.8453516,1.0155483,0.0,0.793306,0.92633677,1.0568815,1.3458656,1.1905618,1.033641,0.9485723,1.2056204,1.2218504,1.1893032,1.0304197,1.0954996,0.88061875,0.97044647,1.3257229,0.98593295,0.94087124,0.7300762,0.8300137,1.0109874,1.235564,1.0140202,1.3549149,0.883155,0.92497814,1.1820042,1.0873624,1.1646512,0.8261335,0.023567796,1.0614684,1.055991,1.0255139,0.8140769,1.1688781,0.86060023,1.0227523,0.9699205,1.1420734,0.84937847,1.0136989,0.84500575,0.9032784,1.2256384,1.1865815,1.0579336,1.0487293,1.1983272,0.6962936,1.0499294,1.0184608,1.2867907,1.2478757,1.0200944,1.1622081,0.6640028,0.92308855,1.0493631,1.1971886,1.1074084,0.9799997,1.1400582,1.1291337,1.0129315,0.43996924,0.81670374,0.677783,0.993869,1.2323809,1.118516,0.97587246,1.166414,1.1663922,1.151607,0.61782146,1.169558,1.1255873,0.73013735,1.1358954,0.9300502,0.77518785,0.6487354,0.9989762,0.98337793,1.1796734,0.9508465,1.0578631,0.9484191,1.2875035,0.91843295,1.0342183,0.9399635,1.230515,1.117288,0.888412,0.956137,1.1162207,1.1809174,1.2551152,1.0546983,1.1343054,1.2458203,1.2052944
blanket,0.37880075,1.5074936,0.7551247,1.2347536,1.457911,1.185209,1.2179863,0.71670306,0.8981166,0.23124766,1.3699074,0.49590248,0.7726965,0.793306,0.0,0.58330274,1.3196183,1.539914,1.3059387,0.8243589,1.068775,1.1176436,1.1824905,1.4977237,1.0743957,1.2282028,0.23465717,0.5555747,1.4792995,0.8516008,1.152498,0.8966191,0.43220806,1.0171824,1.6166381,0.5752189,1.4890412,0.98875,0.27217448,1.1604272,0.9302824,1.1959834,0.75864345,0.80704045,1.2994542,1.0253273,1.2845665,0.88826025,1.1676967,1.0525914,1.3534799,1.014778,1.5055565,1.1074831,1.4030899,0.7506576,0.9523944,1.4862616,1.3654792,0.87857807,0.72726977,1.0871316,0.5244573,0.93092036,0.7641973,1.4663503,1.3441002,1.0059131,1.0219254,0.67087924,0.8088126,1.2617118,1.4489603,0.93992937,1.2964798,1.3802335,1.2479295,0.7840652,1.1282498,0.51956785,0.75225,0.696077,1.6036599,1.5692105,1.2142024,1.1880119,1.4961383,0.8681996,0.5832165,1.3818177,0.84157485,0.7651936,0.933255,0.8325876,0.9067863,0.61390114,1.0875145,0.62855184,1.5678432,0.9671132,1.1089678,0.7122607,1.3767607,0.64884317,0.96061534,0.36700052,1.4017897,1.4893589,1.2329793,0.77845156,1.1009088,0.9569247,1.2590123,0.83087265,1.1983291,1.5859419,1.1623017
boat,0.9668277,1.2733864,0.83752316,0.91918296,1.1426117,1.1045961,1.2738814,0.76867485,0.98787415,0.5283582,1.2612542,0.783875,0.92501944,0.92633677,0.58330274,0.0,1.2249019,1.2948949,1.1615869,0.97200537,1.1276754,1.1333389,1.0389534,1.3948491,0.9319074,1.1573944,0.87679756,0.8202774,1.3192666,0.90579695,1.1347635,0.8667988,0.733672,1.1353395,1.3634247,0.78790057,1.3166466,0.85818565,0.90346,1.0780219,1.0843818,1.2463875,0.87956923,0.92662656,1.2900454,0.9274568,1.1529046,0.873925,1.0588528,0.9846955,1.3062956,1.0461047,1.3830893,1.11618,1.1708827,0.8638487,0.89596516,1.2532735,1.2531512,0.8200355,0.889176,0.8548069,0.6138189,0.94950515,0.95217025,1.4248252,1.2602708,1.0149628,0.9350904,0.6268767,0.8701198,1.1222868,1.2717953,1.094762,1.1428391,1.3462944,1.2745864,0.99759126,1.0019213,0.6148345,0.83088124,0.824454,1.3437221,1.4119239,1.2690735,1.2113575,1.3256593,1.0540376,0.6476252,1.3047948,1.0023868,0.7919835,0.9138708,0.9080094,0.8963999,0.7015615,1.0244844,0.5368704,1.3268594,0.933161,0.94987035,0.75545764,1.3258307,0.7510121,0.8916018,0.6348422,1.2528236,1.2873397,1.1279482,0.78422654,1.2072959,0.77579874,1.0469561,0.70578647,1.2516787,1.3428979,1.2456295
book,1.0449176,0.663517,1.3681417,0.8301215,0.7250565,0.93700534,0.68408644,1.232714,1.1893046,1.3541579,0.7190496,1.2468148,1.0556589,1.0568815,1.3196183,1.2249019,0.0,0.7086943,0.68260396,0.8536401,1.0488142,0.87828714,0.872149,0.5216849,0.7959722,0.7888634,1.4159273,1.2187648,0.68548167,1.144457,0.96844697,0.9053842,1.3381652,0.89778507,0.47273302,1.1140501,0.58137727,0.9726519,1.3433938,0.9535266,1.1620975,0.5566274,1.4683548,1.0418129,0.9522269,1.2516903,0.96629214,1.0830921,0.8584449,1.1742146,0.67348444,0.92918724,0.6458542,0.89784026,0.60828257,1.4914188,1.2202374,0.7318352,0.6579593,1.2169639,1.0300515,1.0106536,1.4222946,1.1105958,1.0735614,0.67461884,0.9165697,1.0716821,0.9788498,1.3145938,1.2283204,0.9627408,0.79414946,0.7956985,1.0618526,0.87140346,0.73071575,1.2212739,0.8616667,1.37114,1.33184,0.85320115,0.4435439,0.48200315,0.5078343,0.95122814,0.31973076,1.0944335,1.0761517,0.59777474,1.1935648,1.1527339,0.89172626,1.4979874,1.1419939,1.390767,0.76548517,1.268887,0.7247408,0.99043036,0.7976781,1.3324393,0.67921305,1.3329163,1.2325317,1.2692258,0.6464044,0.90128,0.96408033,1.2392228,0.62056863,0.85024595,0.39962113,1.0688603,0.9737623,0.6761515,0.9283098
bottle,1.1843728,0.45060867,1.4166957,0.7298292,0.44102955,1.024317,0.60297,1.3940326,1.0916245,1.5399597,0.8057693,1.4338017,1.2548404,1.3458656,1.539914,1.2948949,0.7086943,0.0,0.45612693,1.0992323,1.1378257,0.81222147,0.5635475,0.49493462,0.78721607,1.0544672,1.3470591,1.3639331,0.27716815,1.0875928,1.0835499,1.2033668,1.4365053,0.88512766,0.422637,1.3101245,0.11746091,1.2218782,1.2718797,0.7674375,1.0634813,0.6634996,1.367523,1.3379862,0.74260795,1.208046,1.0253676,1.1142986,0.6367134,1.258227,0.7418355,0.93642825,0.3775729,0.91602117,0.761294,1.3112026,1.3768102,0.5276407,0.61642516,1.2543422,1.1409347,0.6290379,1.5121307,1.117511,1.1821814,0.3512659,0.5294742,1.0536009,0.8840686,1.4482014,1.1909503,1.0639677,0.44609976,0.8517407,1.1138994,0.5241643,0.89506316,1.1872393,1.0707995,1.5114262,1.415344,1.1390033,0.43386775,0.4836719,0.73826814,0.6551832,0.46287745,0.9017076,1.3121012,0.58499193,1.0751545,1.3897066,1.1120251,1.3308527,1.2224516,1.5065672,1.0112027,1.3302817,0.6727173,1.2001874,0.9983402,1.3120663,0.44272977,1.3519942,1.2820113,1.4625547,0.4358809,0.8450117,0.9907857,1.2314062,0.7247666,0.9372603,0.64225394,1.1282973,0.84614116,0.45270956,0.844291
bowl,0.9851265,0.7140765,1.396343,0.65822655,0.55651665,1.0001006,0.6984693,1.1977057,1.1412199,1.3350306,1.024767,1.2623869,1.2825329,1.1905618,1.3059387,1.1615869,0.68260396,0.45612693,0.0,0.9276739,1.1690701,0.78926444,0.2904681,0.58462584,0.8159571,1.011614,1.2608008,1.2208685,0.47345674,1.1321012,1.0867131,1.2625155,1.2970867,0.88275975,0.7234862,1.0917242,0.3467096,0.9888188,1.1537839,0.9309289,1.1079919,0.76203555,1.4324586,1.1986055,0.92575026,1.226883,1.0276331,1.1123984,0.7855257,1.3975196,0.8043411,0.9757351,0.49825454,0.9449585,0.85563534,1.3436508,1.3332236,0.74021614,0.7571337,1.09112,1.096729,0.53756934,1.3880825,1.0686321,1.0315096,0.46030498,0.77519065,0.9620722,0.87101984,1.3959308,1.0973402,1.1487185,0.8090277,0.7128185,1.2203387,0.6343405,0.9672891,1.0876129,1.0651512,1.4051716,1.4183284,1.0568533,0.6378758,0.7175167,0.6274439,0.7192146,0.53912604,0.845913,1.1215781,0.7098644,0.98492676,1.3545852,0.9514716,1.3663399,1.1543512,1.440823,0.7009598,1.1715567,0.92278963,1.1805198,0.6380818,1.1148448,0.7189173,1.2592753,1.2832172,1.2966115,0.62782717,1.0905497,1.161471,1.1503356,0.65033233,0.88872856,0.5485113,1.1080078,0.9465432,0.77810293,0.924685
box,0.89703286,1.2758789,1.03519,1.2026021,1.2357982,1.0648918,0.93290585,0.76325226,1.13934,0.7123259,1.2345487,0.48154593,0.9235475,1.033641,0.8243589,0.97200537,0.8536401,1.0992323,0.9276739,0.0,1.0735254,0.95916915,0.746696,0.8749118,1.0289186,1.0868188,0.9559943,0.56022644,1.1291175,0.733322,1.0232292,0.9704925,0.66027105,1.016081,1.3127031,0.50911117,1.0507627,1.0971179,0.91635245,1.0962775,0.6991384,0.4195165,1.0648184,1.041695,1.1242925,1.0435678,1.1538377,1.1949098,1.0206869,1.0787337,1.1812854,1.2879403,1.16963,1.3140079,1.3607144,1.0062019,1.1394017,1.2519307,1.1676741,0.98478717,1.0523295,0.86661065,1.0246017,1.0185884,0.6067239,1.0339932,1.1223011,1.0091727,0.75432223,1.0707815,0.7990866,1.133985,1.310762,0.93812245,1.2733976,1.2744248,1.0493895,0.62404406,1.1945581,1.0613085,0.9206255,0.7887461,1.2406939,1.219727,1.0459174,0.9579845,1.1720345,1.0377992,0.7116652,0.92457604,0.47634935,1.0400664,0.9622413,0.99174124,0.9754503,0.95185435,0.7538397,0.92677456,1.3453989,1.1164309,0.90936506,1.015089,1.1312512,0.8523466,1.080256,0.6668939,1.1895217,1.300686,1.2868696,1.0311452,1.0088568,1.029957,0.88071644,0.89817727,0.7923527,1.290426,0.8794763
bread,1.0316713,0.9943868,0.8473731,1.1476302,0.9453934,0.89828265,0.98139536,0.9450336,0.84243625,1.0977463,0.8650075,0.93710196,0.89139307,0.9485723,1.068775,1.1276754,1.0488142,1.1378257,1.1690701,1.0735254,0.0,1.2365258,1.2061131,1.0460963,1.0500674,0.8854946,0.92461574,1.0904522,0.9360734,1.0292121,0.67668444,0.984107,1.0101225,0.99257857,1.0495113,1.2720959,1.1583326,0.94132656,1.0339491,1.1642889,0.96887845,1.1734949,0.84240246,0.9565132,1.0156403,0.8651134,0.92188334,0.82996666,1.25769,0.7701355,0.8806262,0.99337184,1.0909595,0.8987504,0.964892,0.96215665,0.8628061,0.96741986,0.9956113,0.990144,1.1155772,1.1859769,0.968181,0.9627701,1.2223663,1.0472913,1.1012361,0.98895293,1.1285892,0.96704304,1.1986419,0.91109824,1.0128005,1.0183505,0.92054015,0.95472986,0.84332526,1.0121187,1.0121115,0.95239794,0.83652174,1.1340573,1.0815588,1.0239516,0.8648266,1.1801969,0.96285075,1.0737627,1.1223351,1.0281866,1.1131397,0.99930346,1.2402403,0.87072206,0.9438452,0.8822336,1.0578823,1.0061624,0.95158464,0.9874272,1.0574942,0.89736533,1.0994627,1.1042275,0.902671,1.0847253,1.0035571,0.8003398,0.9492066,1.150592,0.9970066,1.296088,1.0792189,1.1602057,1.1170427,1.0250623,0.92708516
broom,0.9466799,1.0979236,1.2359047,0.9032214,0.99769175,1.0250403,0.8418722,1.058508,0.99678475,1.1438153,0.97190404,1.092467,1.233722,1.2056204,1.1176436,1.1333389,0.87828714,0.81222147,0.78926444,0.95916915,1.2365258,0.0,0.7269748,0.7587654,1.0464511,1.0062482,1.158966,0.9900688,0.93652767,0.9400674,1.1436489,1.0683162,1.1263964,0.89820015,0.8662561,0.8677974,0.7677829,1.0696249,1.1188235,0.9204693,0.77176523,0.7881698,1.2713745,1.2444903,0.98725474,1.2275496,1.1086072,1.107815,0.83786833,1.2709849,0.91659117,1.1087474,0.8425137,1.0214777,1.0375304,1.2214596,1.2493778,1.021873,1.0297185,0.846476,1.0409433,0.83869076,1.1901168,0.83623844,0.7727705,0.67400765,0.77528894,0.9429872,0.835042,1.2662064,1.0169861,1.1958005,1.1180103,0.6958309,1.1665134,0.95623493,0.9415196,0.8994306,1.01759,1.2181408,1.135565,1.0299067,0.72734916,0.7887936,0.78682715,0.79664767,0.9484459,0.9402245,1.0731349,0.918256,0.79338264,1.1698643,0.87491524,1.2201419,1.1410785,1.2816285,0.8280653,1.0047659,1.1431429,1.1439921,0.9032022,0.97607374,0.9268991,1.1158129,1.2047541,1.1330563,0.9890538,1.1695468,1.2097543,0.7040387,0.67237306,0.9340754,0.8301871,0.95978874,0.6451529,1.0417104,0.77374446
bucket,0.9994457,0.9916178,1.3221791,0.7692632,0.8390734,0.9880301,0.8555261,1.1292158,1.2067971,1.2170556,1.2316391,1.0982289,1.2674961,1.2218504,1.1824905,1.0389534,0.872149,0.5635475,0.2904681,0.746696,1.2061131,0.7269748,0.0,0.6187738,0.961625,1.1130404,1.1974673,0.9739405,0.6917052,1.043034,1.0986364,1.1691735,1.156745,0.9529293,1.0265675,0.80349064,0.509325,0.9572725,1.0589035,0.8824364,0.98395544,0.80148363,1.3237674,1.2264926,0.9507649,1.2148379,0.97316027,1.236231,0.8232213,1.249818,0.94206035,1.0191618,0.8266283,0.93657166,1.0144075,1.2868631,1.1954074,0.94498616,0.9485835,1.0017846,1.1016163,0.29764438,1.3030338,1.1373063,0.7912536,0.6595813,0.89883775,0.84720623,0.5609654,1.1317924,0.9786751,1.1969299,1.0741754,0.5777848,1.205169,0.90526044,1.1192462,0.9374864,1.0899335,1.2853231,1.2636069,0.9573042,0.9113308,1.0075439,0.7974788,0.7351992,0.83721536,0.8791089,0.97736967,0.8243785,0.78066194,1.2437928,0.93296176,1.2938552,0.9791671,1.313166,0.6034678,1.1487455,1.1275895,1.1290708,0.5274995,1.126066,0.9759794,1.1490797,1.2923002,1.1082523,0.84613836,1.1579251,1.2426821,1.0006201,0.55560267,0.7939456,0.66500777,0.94248015,0.8453927,1.0579748,0.940401
can,1.2698313,0.6480416,1.3738363,0.8893555,0.6653748,1.0425811,0.6109848,1.335662,1.1863656,1.4544587,0.71574676,1.1727098,1.2041072,1.1893032,1.4977237,1.3948491,0.5216849,0.49493462,0.58462584,0.8749118,1.0460963,0.7587654,0.6187738,0.0,0.9326984,0.8530058,1.448221,1.0479828,0.6491095,1.0334609,0.8813425,1.1027101,1.2467891,1.0151298,0.5837561,1.1229489,0.43458277,1.0940037,1.3714862,0.80423975,0.85594684,0.5631607,1.280153,1.1574612,0.80802333,1.3043425,0.97931975,1.2143251,0.81873006,1.1372411,0.77577776,1.0908135,0.4180374,0.8096075,0.8267611,1.4096068,1.2844002,0.51253366,0.6947048,1.1920999,1.3085351,0.90832055,1.4005249,1.0896403,1.036291,0.4836651,0.6235457,1.1375549,0.88497514,1.3796917,1.0332791,1.0375063,0.8693199,0.8755515,1.0141706,0.65122694,0.74178845,0.9400918,1.0269051,1.4058566,1.1243948,1.1567626,0.59064555,0.5751585,0.4341802,0.7742061,0.54824555,1.0878118,1.1234088,0.53364515,0.8980285,1.3061621,1.1458193,1.2780137,1.0896351,1.3327338,0.70863587,1.426338,0.7171557,1.0540396,0.91101134,1.3319207,0.5831207,1.2418296,1.195248,1.37044,0.70751095,0.798502,1.1153277,1.3288355,0.6801445,1.0601509,0.60286593,1.1712688,0.5781908,0.54764223,0.74416435
car,1.0887899,0.94844174,1.1988878,1.0856261,0.89116573,1.0650722,0.8783331,1.0532705,0.94384265,0.91830754,0.95559824,1.0650771,0.99897116,1.0304197,1.0743957,0.9319074,0.7959722,0.78721607,0.8159571,1.0289186,1.0500674,1.0464511,0.961625,0.9326984,0.0,1.0657063,1.0383639,1.0194645,0.84446347,0.8363871,1.1338015,0.9367349,0.9724351,1.05861,0.9594802,0.86026996,0.78590614,0.97268564,1.0625594,0.97896963,1.0853693,0.8532889,1.3287369,1.041892,1.1180512,1.1017439,1.064707,0.8664408,0.8447807,1.2878894,0.81309646,1.1585836,0.82103056,1.0703205,1.005089,1.0304906,1.2394924,0.94870365,0.88973826,1.1307096,0.96138895,1.0305665,1.1612434,1.0839504,0.9714035,0.77003914,1.0647279,1.2877111,0.99347967,1.2385983,0.86427546,1.1458864,0.94015205,1.0666794,1.3264692,0.9695782,0.9955311,0.7899172,1.0059019,1.2598135,1.1931934,0.8750812,0.9085636,0.9348396,0.85802656,0.89807975,0.74728024,0.88850623,0.8318686,0.6851202,0.87622726,1.0911233,1.1839772,1.1221938,1.049641,1.2476678,0.86005336,1.0801555,1.1287935,1.1073409,1.0303276,1.1231477,0.8443868,0.8755493,1.1634681,0.99873686,0.83785874,1.2840219,1.1289443,1.1605732,0.9997863,0.90632486,0.7362164,0.5933833,1.0922251,1.0092525,0.7306309
carrot,1.203035,0.662621,1.0926256,0.8222328,0.78424716,0.7876556,1.0839128,1.1199723,0.84986216,1.2761782,0.8031666,1.2343116,0.9414887,1.0954996,1.2282028,1.1573944,0.7888634,1.0544672,1.011614,1.0868188,0.8854946,1.0062482,1.1130404,0.8530058,1.0657063,0.0,1.1962217,1.2598903,0.89855087,1.1627018,0.68677366,1.0435052,1.2809645,0.9949864,0.6235362,1.2171404,0.95787627,0.8537546,1.2594515,1.1131154,1.0844387,1.0967625,1.1287405,1.0929716,0.9785477,1.0036305,1.0147754,0.76500875,0.9892998,1.0399654,0.77246964,0.9196397,0.93007404,0.9580624,0.6122212,1.1871651,1.0202159,0.91380954,0.7907288,1.0031012,0.9200416,1.1531333,1.2312262,1.0394297,1.1805242,0.904022,1.0032629,1.0626669,1.1162513,1.1044083,1.2100921,0.92010677,0.92827386,1.0043812,0.89640486,0.9115,0.25746834,1.1330155,0.9938938,1.1466334,1.1177944,1.1015526,0.8543594,0.7964609,0.8598491,0.9890593,0.7201345,1.1707637,1.2761662,1.0013837,1.1951253,1.1005678,0.8937671,1.1280115,1.1346349,1.1516913,0.9617408,1.1862013,0.82845074,0.8044863,0.9803982,1.1410513,0.7459505,1.238305,1.0005274,1.273698,0.915055,0.77761257,0.96945345,1.1312796,0.87037456,1.0129374,0.9303478,1.0887493,1.1138813,0.8618008,0.8635786
cat,0.35779274,1.3519149,0.8229508,1.2639614,1.3625401,1.0866063,1.2360809,0.77781445,0.8990906,0.49671286,1.266521,0.62018704,0.8964961,0.88061875,0.23465717,0.87679756,1.4159273,1.3470591,1.2608008,0.9559943,0.92461574,1.158966,1.1974673,1.448221,1.0383639,1.1962217,0.0,0.7460226,1.304426,0.9196799,1.0369242,0.9958497,0.61074924,1.0408176,1.4847215,0.7971895,1.3702297,1.0342051,0.07534689,1.1104507,0.8876637,1.2287115,0.7517763,0.8973012,1.0927513,0.95140076,1.193537,0.8347751,1.1148612,0.966313,1.243006,0.9181819,1.3749833,1.0872091,1.3388618,0.666882,0.97919047,1.3886274,1.219573,0.9312413,0.93382066,1.0583248,0.71885526,0.8705806,0.9444485,1.2987769,1.2612206,1.0180205,1.0798273,0.7936747,0.8640614,1.2089962,1.2640405,1.0794444,1.2235332,1.1213717,1.1844003,0.7603514,1.1434706,0.7588203,0.758108,0.953813,1.4836277,1.4167026,1.2898859,1.1004949,1.4048218,0.6482159,0.8277672,1.2621665,0.8286931,0.803905,1.084646,0.8243681,0.93805104,0.7414305,1.1381798,0.81630373,1.4200457,1.0934465,1.1730927,0.7838271,1.2628458,0.7482369,0.99855334,0.5380787,1.2710668,1.3309069,1.1842816,0.81825334,1.2014886,1.0894343,1.3324295,0.9296713,1.1172485,1.4196267,1.0932575
chair,0.8963329,1.5010703,0.81951076,1.366682,1.4229453,1.2061852,1.0896114,0.6690582,1.0905752,0.27908182,1.2764951,0.18961334,0.9393968,0.97044647,0.5555747,0.8202774,1.2187648,1.3639331,1.2208685,0.56022644,1.0904522,0.9900688,0.9739405,1.0479828,1.0194645,1.2598903,0.7460226,0.0,1.4162321,0.71708703,1.0936165,0.9728472,0.25328994,1.1815288,1.59352,0.2640698,1.3470876,1.0614694,0.722111,0.9665911,0.5426065,0.8570576,0.84134287,0.9928193,1.2949259,1.068112,1.2266666,1.2112565,1.1273707,1.0271364,1.3528795,1.342509,1.3938109,1.3370297,1.55027,0.86434376,1.0185696,1.3915945,1.2878915,0.9565132,0.9857976,1.0339438,0.7017417,0.9185114,0.37065864,1.2407997,1.19453,1.0993118,0.8127358,0.90716434,0.57929826,1.2579992,1.4735272,1.1105999,1.2694669,1.4385233,1.232737,0.44165576,1.1583943,0.755849,0.64806956,0.8565766,1.495486,1.448827,1.193641,1.0295444,1.4781041,0.91324306,0.61437833,1.1305056,0.41473627,0.86057526,1.059831,0.76225275,0.96934485,0.6942389,0.84132856,0.83231676,1.511512,1.1157292,0.9702324,0.8702664,1.3467788,0.5213274,0.92767346,0.21903658,1.3860049,1.4193702,1.3177029,0.9516923,1.2128359,1.0455198,1.1524758,0.8029308,0.7012122,1.4891278,0.88723224
clock,1.1248872,0.4276455,1.4744182,0.59419703,0.26268053,1.0049281,0.62291276,1.2821181,1.0247642,1.5086707,0.88870955,1.4515278,1.211947,1.3257229,1.4792995,1.3192666,0.68548167,0.27716815,0.47345674,1.1291175,0.9360734,0.93652767,0.6917052,0.6491095,0.84446347,0.89855087,1.304426,1.4162321,0.0,1.1551074,0.9352459,1.2411317,1.460295,0.88692963,0.4455858,1.379971,0.31888342,1.1410496,1.2500169,0.8445306,1.0849037,0.7271091,1.4182172,1.3231409,0.7404869,1.1568805,0.98384374,1.1393102,0.76439774,1.2021697,0.6706283,0.8248131,0.44368768,0.915348,0.6193146,1.3395288,1.3483205,0.5401429,0.54387987,1.1965002,1.068912,0.74063843,1.5221682,1.1890271,1.2532008,0.30777383,0.6642438,1.0676647,1.0000343,1.454674,1.2586403,1.0188324,0.45326948,0.8482431,1.0752884,0.45307648,0.81798613,1.2692624,1.0711156,1.4970855,1.4846885,1.053962,0.49181938,0.5266292,0.69864863,0.75098664,0.4231392,0.8967957,1.3885996,0.55994755,1.1905534,1.4991256,1.0215601,1.3518856,1.2069577,1.5139415,1.0006758,1.38128,0.63601774,1.1896727,0.8544756,1.210545,0.5261892,1.3697578,1.2253201,1.469458,0.3639232,0.8099624,0.969605,1.3503702,0.77485013,0.88139504,0.6987907,1.1649157,0.9598089,0.51639086,0.86403656
