,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sandwich,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toast,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.09991,1.2113775,1.0381991,1.1048567,1.0863696,1.0215508,0.9078207,0.87000626,0.8340019,1.075005,0.86780113,0.99136776,1.0977868,0.6301669,0.9811875,0.93376005,0.8630645,1.0511652,1.0851471,1.0659665,0.9723534,0.8599663,0.9947297,0.7471775,0.9831337,0.949065,1.2192006,0.7917902,0.99821496,1.1464505,0.92784643,1.1681578,1.0514385,0.874656,0.93594366,0.85371006,1.0336471,1.0512557,0.93372726,1.0436835,1.0614936,0.7638328,0.95832705,0.8143918,1.0048695,1.0514374,0.7476254,1.0981383,1.2768234,1.115155,0.92758536,1.1147653,1.2218871,1.1710632,0.6659376,0.6706492,1.0054156,0.8102205,0.60213864,1.1448449,1.0994211,0.9526287,0.8841359,1.129743,1.1774925,0.842655,1.1863244,1.143,0.86652327,0.748772,0.9604481,1.0828129,1.1291507,1.1684473,0.79808164,0.99739355,0.74889827,1.0777886,1.0678294,1.1030864,1.0704468,1.1421098,1.122124,1.2326207,0.9916446,1.1615274,0.7882463,1.136652,1.0843189,1.2058021,1.1188003,0.8832654,1.1468319,1.131654,0.89275026,1.1641624,0.7424017,0.7681987,1.0773299,1.0757897,0.7117703,1.0331392,0.7494379,1.1236714,0.6814245,1.1313868,1.1071361,1.0229928,0.8570448,0.8678931,1.1082374,0.91421807,0.732365,1.1184592,0.98830754,0.9866621,0.9578863,1.1677653,0.91619205,1.1665231,0.8260449,0.9868849,0.89118516,1.0825359,0.99256736,0.9363664,0.9655281,1.005317,1.0094123,0.849586,0.971397,0.9763339,1.0718594,1.0953518,1.1517994,1.1276435,0.9717878,1.1667565,1.1679988,1.0613106,1.054391,0.7482765,0.99958634,1.1616602,0.95659524,1.0912142,1.0331306,0.7968077,1.1359547,0.9467093
ankle,1.09991,0.0,0.661304,1.1419861,0.87923074,0.80967593,0.9061497,1.0215384,1.3186522,1.0849396,1.3860586,0.6742019,1.3319234,1.1053449,0.9576274,1.3488736,1.3480008,1.1728728,0.9377154,1.0799911,1.3076957,1.0690495,0.75542617,0.96306014,0.8376267,0.65364,1.1046487,0.548128,1.1950157,1.1323657,1.220285,1.0768254,1.318764,1.3208541,1.055583,0.94320965,0.8015149,1.368087,0.903062,0.72086483,1.3652124,0.9242779,1.0176177,1.2710962,1.3026731,0.8865042,1.1661555,0.96307147,0.9981797,0.40816653,0.76183635,1.0352246,0.58636796,1.0216697,0.3278014,0.77340454,0.89517045,0.58928466,0.9244481,0.96972847,1.2091347,0.54532874,0.6807107,1.0735106,0.8331673,0.9701318,1.1658018,0.6849492,0.5599008,1.0073906,0.9681894,1.1386893,1.2449079,1.0611212,1.0884532,0.8341894,1.3281205,0.8575165,0.68813276,1.2091902,0.7864496,1.1671523,0.9826709,1.2254558,0.79425967,1.1881231,0.68697155,0.915097,0.51368195,0.607451,0.7487421,1.2429559,1.1945895,1.0690184,0.9665378,1.1183361,1.1090173,0.72572786,0.76473606,0.74317676,0.58262646,0.88323295,1.0967518,1.0143777,1.1719465,0.98635936,0.8037654,0.94544274,1.0711322,0.8177835,0.7743497,1.3416139,1.1989015,0.7060415,1.2101343,1.0185452,1.2800995,1.1827666,1.1670438,0.8358352,0.91572785,0.8678119,1.1783304,1.2440223,1.3329897,0.46471608,1.2963545,0.66589993,0.39662194,1.1706239,0.82508457,1.1588253,1.0488951,0.7426156,1.1351125,1.1400274,1.4311471,0.82357216,1.2409005,0.29833847,0.60774374,0.96331704,0.84394765,1.0800469,1.385852,1.2116295,1.1380453,1.2465081,1.0230455,0.50695366,1.2558538
apple,1.2113775,0.661304,0.0,1.4078131,0.49034047,0.2762406,0.7158624,0.682047,1.5604185,1.1660442,1.4720387,0.4402212,1.5450684,1.4185491,0.7259941,1.4781278,1.4160395,1.0693697,0.3554113,0.6523669,1.4509995,0.92918867,0.7611654,0.8729823,0.7338463,0.5339717,0.9403938,0.53486264,1.3108361,1.3197432,1.1504722,0.843961,1.4107819,1.370287,1.4022769,0.74152786,0.73769104,1.4428437,0.73255354,0.23997784,1.5365307,0.567528,0.8741885,1.3324242,1.3166438,0.9778825,1.3007281,1.2071121,1.1903994,0.6217806,0.42104948,1.2157544,0.64106447,1.1952033,0.5977767,0.6353636,0.72287,0.8035842,0.8478417,0.85054123,1.2551489,0.32956696,1.0381156,1.1593562,0.6552159,1.1582055,1.2456385,1.175045,0.60223204,0.870241,0.97502804,1.4145055,1.4524176,0.89699614,1.3745205,0.7644736,1.4514962,0.5404644,1.0074177,1.2133858,0.6319048,1.1360525,1.2360593,1.3795425,0.94486576,1.0663989,0.1019941,1.1041405,0.80729896,0.70607483,0.34705162,1.3471205,1.1618093,1.3693266,1.2991211,1.4032209,1.0032277,0.454077,0.5276936,0.44408166,0.84576046,0.87715507,1.0759797,0.7807962,0.9919426,1.0339147,0.48174965,0.71571434,1.0944767,0.5775019,0.4696424,1.4587235,1.2484071,0.51064885,1.2200434,0.95413893,1.2600114,1.3644382,1.3915861,1.1938033,1.1976305,0.7215837,1.3325624,1.4142289,1.408852,0.25114942,1.3496234,0.41833407,0.61838126,1.103082,0.65808505,1.3094754,1.328538,0.3845274,1.3121703,1.3779683,1.5120181,0.36242008,1.2682154,0.43585777,0.43387854,1.3038632,0.8745785,0.77278274,1.345048,1.1391839,1.0650717,1.1450367,1.044224,0.28107965,1.3169613
arm,1.0381991,1.1419861,1.4078131,0.0,1.2421597,1.4344051,1.2898614,1.4075317,0.6436397,0.88708955,0.5049347,1.4086738,0.5650554,0.43281597,1.3392215,0.51612085,0.69347745,1.085439,1.4127998,1.318346,0.79209685,1.324311,1.3626039,1.3363962,1.305869,1.4730357,1.1007805,1.0725341,0.71841687,0.83457214,1.1590695,1.2012984,0.69009995,0.80516547,0.7425446,1.4185834,1.3531895,0.44207817,1.3256475,1.4809754,0.69349295,1.36849,1.3977565,0.8776754,0.72727865,0.9298118,0.9415414,1.1498364,0.74536324,1.0794022,1.3232484,0.84302163,1.2223102,0.6068989,0.9460511,1.3177587,1.3893893,0.72486895,1.3184922,1.2724886,0.70311207,1.3634065,0.8592081,0.9769631,1.2390145,0.61908454,0.86079913,0.41008556,1.0247923,1.2421715,1.2221943,0.74043477,0.5056287,1.1368012,0.4215088,1.3577166,0.7799604,1.4623029,0.83032274,1.0969807,1.1367334,1.0061494,0.5385165,0.71809024,0.9006648,1.0961685,1.3857167,1.101538,0.9872334,0.9754546,1.341753,0.7477454,1.0572991,0.35826945,0.5995064,0.6763554,0.90109015,1.4264537,1.3875146,1.4725219,0.87814516,1.1627359,1.2404656,1.3671235,1.2163545,1.1911263,1.355,1.1856756,1.1156784,1.497213,1.4090005,0.7006836,0.8139297,1.4474257,1.0887947,1.1146492,0.8318939,0.69092077,0.3446911,0.9622572,0.78507274,1.3769119,0.76232004,0.8140089,0.4254719,1.463904,0.7140068,1.4211197,1.2736329,1.0638107,1.4147075,0.8377706,0.6371246,1.3530668,0.8791077,0.40109634,0.5069511,1.4770381,0.9905614,1.0340353,1.2718215,0.62262154,1.2751756,1.2728622,0.74947906,0.91297495,0.92371833,1.0027726,1.1811022,1.277904,0.81289434
ball,1.1048567,0.87923074,0.49034047,1.2421597,0.0,0.19690251,0.8540291,0.895459,1.3260486,1.1338893,1.2411064,0.88568366,1.3588675,1.1027601,0.8970593,1.1604588,1.2527988,0.95735645,0.76855,0.7072555,1.0992401,1.0073928,1.0282993,0.8069191,0.96128356,0.91449076,0.96969974,0.84822446,1.2100958,1.2793496,1.1346929,0.7989601,1.2544918,1.0722696,1.2291386,0.92521167,0.9169039,1.2543174,1.0369346,0.74553335,1.2486749,0.75356096,0.90626997,1.1538736,1.095942,0.86127114,1.2467566,1.093362,1.1711433,0.8946811,0.2567891,1.2515796,0.8858645,1.137144,0.86588216,0.8361272,0.82332444,0.99671024,0.9711437,0.7410588,0.9646838,0.83291054,0.9121215,1.1652972,0.55836254,1.1318642,1.0544857,1.09334,0.7683637,0.96421695,0.846645,1.1429408,1.2069347,0.8789159,1.2667658,1.0128053,1.3135712,0.79746604,1.1665012,1.19512,0.77854806,0.98208475,0.87538314,1.1784091,0.9180337,0.8156181,0.6158936,1.0904506,0.9812875,0.8618926,0.39120615,1.3116918,0.97007364,1.2182043,1.2659379,1.1630688,0.8214189,0.8498678,0.84967893,0.8186387,0.94430935,0.8992331,1.1256799,0.8929102,0.95306647,0.840761,0.67096907,0.6053745,1.0559053,0.8825566,0.6730894,1.3479959,1.0892462,0.84515923,1.2018948,0.939573,1.0324183,1.1127566,1.2545326,0.98210853,1.1565605,1.0024493,1.2740116,1.2217286,1.2132354,0.75587595,1.1386611,0.8454541,0.84391403,0.9830364,0.8964982,1.0881584,1.2271261,0.5926811,1.1618931,1.2538469,1.241245,0.66657007,1.1851382,0.832397,0.794329,1.071627,0.95435786,0.5741025,1.1629735,1.090864,1.1217588,1.1067047,1.1177398,0.7993931,1.2463952
balloon,1.0863696,0.80967593,0.2762406,1.4344051,0.19690251,0.0,0.796998,0.77863836,1.3535444,1.124614,1.4337072,0.55453664,1.4787514,1.328834,0.8188188,1.391791,1.3109561,0.97283155,0.506099,0.56403863,1.2343943,0.9114897,0.78881466,0.66030073,0.84413755,0.5858288,0.98221344,0.6555638,1.308839,1.2650837,1.1948917,0.8068727,1.3474913,1.1993337,1.3710908,0.7896585,0.7660086,1.4214782,0.9181815,0.42088866,1.4352791,0.5217005,0.8051442,1.2516017,1.2801411,1.0919809,1.2259026,1.0423138,1.2575352,0.83922476,0.25409675,1.2422566,0.84067833,1.2634494,0.7660947,0.6702328,0.7123764,0.9577288,0.8211831,0.7981092,1.1546735,0.6326791,1.0719721,1.0871665,0.5986227,1.2696048,1.1698027,1.249365,0.78720707,0.86318165,0.8557415,1.314991,1.4118147,0.8247065,1.4086437,0.78632426,1.395714,0.51324797,1.1391068,1.2207308,0.65716654,0.95727974,1.1327795,1.3822832,0.96179235,0.8855867,0.36965638,0.9686811,0.89143115,0.8775071,0.2781664,1.34989,1.1750774,1.4073318,1.3575187,1.2864447,0.96210563,0.5682403,0.60927534,0.6106175,0.8898393,0.8218218,1.0689967,0.76936364,0.8765002,0.91058487,0.61466295,0.6224853,1.1036398,0.6748717,0.548048,1.382773,1.1985983,0.72254896,1.2084816,0.8214435,1.1821274,1.2835653,1.4237804,1.1438171,1.2154834,0.8076649,1.3185246,1.1853485,1.3376682,0.5038328,1.2406948,0.5677055,0.7362282,0.9233651,0.67668855,1.2678595,1.3708749,0.3551023,1.3257346,1.422024,1.4373174,0.44672358,1.231192,0.70511407,0.6486962,1.2621925,0.7601491,0.65237343,1.2378654,1.0827583,1.1860726,1.1632084,0.99801403,0.60333604,1.2262424
banana,1.0215508,0.9061497,0.7158624,1.2898614,0.8540291,0.796998,0.0,0.89831555,1.3764025,1.1731464,1.3765409,1.0219321,1.3592639,1.1793875,0.86790407,1.3046122,1.2685928,1.0886264,0.89767617,0.9720503,1.2991745,0.6881267,0.95067054,1.0283166,0.8400843,1.0176965,1.0696484,0.82663834,1.2068126,1.2636943,0.7053492,1.0368419,1.3295768,1.2527074,1.3140321,0.5588249,0.763421,1.3199964,0.6608933,0.85318816,1.3439014,0.92381525,0.64227957,1.0894182,1.0888572,0.90307957,1.2680569,1.1563964,1.1790895,0.9522655,0.6707736,1.1544962,0.8799084,1.1510723,0.9714767,0.96623063,0.8972394,1.0510443,0.836238,0.72561955,1.0815604,0.91076803,0.8899596,1.2000617,0.85867673,1.1958958,1.0179384,1.1489451,1.020161,0.97488904,0.8001943,1.1820278,1.2375612,0.90562165,1.276771,0.87156606,1.2570843,0.945508,1.0737083,0.845696,0.54424167,0.94146967,1.0858504,1.2268754,0.9574126,0.79702747,0.8741405,0.88714445,1.0300164,0.93723464,0.5970174,1.1462288,0.9670505,1.2847573,1.251851,1.2663535,0.86428225,0.89423686,0.8655634,0.47801727,0.9404206,0.9163096,0.7572428,0.8188424,0.8150182,0.8435791,0.7091728,0.4923452,0.9638239,0.8841776,0.8464318,1.2304229,1.0599949,0.7634034,0.8946265,0.94827473,1.1923198,1.0965433,1.2754958,1.0189812,1.2187269,0.83623636,1.2500434,1.2490458,1.2100457,0.8313407,1.2633166,0.771602,0.8682881,0.95509213,0.7549742,1.1123365,1.2316978,0.8798583,1.2134936,1.2783681,1.2572397,0.800228,0.9443677,0.92714983,0.83541465,1.0838819,0.96886843,0.8017609,1.1022767,1.1667491,1.0219245,1.0818672,1.1269858,0.89107794,1.2964556
basket,0.9078207,1.0215384,0.682047,1.4075317,0.895459,0.77863836,0.89831555,0.0,1.237721,1.0728595,1.1857471,0.7147709,1.1389866,1.3458413,0.8645052,1.1945957,1.1433582,0.77463984,0.5544476,0.7385111,1.0501417,0.7134249,0.7386478,0.76151866,0.9338794,0.6390526,0.9861115,1.0588508,1.2874054,1.0222912,0.91180044,0.805313,1.1373826,1.0085514,1.0406405,0.6446459,0.47597063,1.2686958,0.5603195,0.5850715,1.1124308,0.6725393,0.8469863,1.026855,1.2235343,1.134438,1.0978976,0.8768065,1.2122196,1.0707375,0.8892585,1.1618471,0.9493939,1.3168049,1.0820802,0.88977087,0.7710092,1.1332767,0.8064568,0.9853668,1.3447874,0.76488364,1.0243434,1.0210547,0.9042445,1.3069673,0.9989259,1.3834518,0.96879566,0.7607168,1.0557619,1.1967673,1.2907155,0.8495261,1.4208901,0.7830827,1.0162777,0.63579834,1.1498353,0.9622901,0.95770085,1.0162717,1.3845409,1.3029736,1.161933,0.9543449,0.67276657,0.8610772,1.0949534,1.1539882,0.8477844,1.1391807,1.0725211,1.3758273,1.389218,1.1383322,1.1237537,0.59989905,0.6069781,0.6254577,1.1058062,0.6548161,0.80271673,0.7219181,0.91464293,1.0478616,0.71088046,0.96907425,0.8925464,0.54187214,0.63974714,1.2018965,1.116722,0.79885745,1.0494287,1.0794998,1.172452,1.2561558,1.415566,1.1121588,1.2640731,0.6958767,1.2062457,1.1627078,1.152287,0.6789975,1.1559602,0.675447,0.77081084,1.0526633,0.7553642,1.1883622,1.2080415,0.8491098,1.1692413,1.3850758,1.2863069,0.66226625,1.0749608,1.0021816,0.8685646,1.3529468,0.6345563,0.8114526,1.1392409,1.0579351,1.083692,1.0316504,0.867244,0.70099443,1.1448717
bathtub,0.87000626,1.3186522,1.5604185,0.6436397,1.3260486,1.3535444,1.3764025,1.237721,0.0,0.75543284,0.47729176,1.2387635,0.36475617,0.6474565,1.2668031,0.5460246,0.36303115,0.8599827,1.3610258,1.0780635,0.41859496,1.3300978,1.0401244,0.94454616,1.3334143,1.2023859,0.9848574,1.3377757,0.7029356,0.62369263,1.1873251,1.0994864,0.42127454,0.57512593,0.6695274,1.424193,1.2522378,0.57769835,1.3633108,1.392632,0.40304625,1.213074,1.2366402,0.74042606,0.8683563,1.2066998,0.49995488,0.6457864,0.951226,1.3785291,1.3809625,0.7587372,1.2815979,0.9078891,1.338989,1.2007995,1.1808171,1.1454943,1.1851021,1.2315814,0.74773765,1.4491557,1.1765033,0.6694757,1.2800694,0.9687437,0.9745037,0.9573863,1.3367226,1.0917188,1.1378057,0.7323519,0.61865216,1.2291342,0.69032717,1.2041574,0.5620751,1.0956694,1.0023024,1.1531407,1.2372304,0.98251903,0.89561844,0.8011348,1.1689727,1.1918608,1.4719005,0.89613056,1.2309018,1.2591168,1.4240514,0.5862615,1.0353972,0.68871975,0.76781344,0.58304554,1.1670742,1.2986331,1.2653706,1.4934516,1.2076375,1.1350842,1.2310264,1.1580094,1.113443,1.1451299,1.3944082,1.2857211,1.0683956,1.2971815,1.39489,0.45742416,0.850821,1.4637201,1.1229585,1.1157455,0.8391727,0.7701658,0.7021098,1.0766774,0.9051719,1.1325986,0.3676014,0.28095758,0.51666534,1.485082,0.6003221,1.3142059,1.3605825,1.0508777,1.2841141,0.8252251,0.7421402,1.3177252,0.93149304,0.7047626,0.5260334,1.2922857,1.0815734,1.4490161,1.3887277,0.7980027,1.0174582,1.2003391,0.6653167,0.8245009,0.94810957,0.8926407,0.87488085,1.5143524,0.5770881
bear,0.8340019,1.0849396,1.1660442,0.88708955,1.1338893,1.124614,1.1731464,1.0728595,0.75543284,0.0,0.79996246,0.98761564,0.83500177,0.7925558,0.9299216,0.69422597,0.78116524,1.1843691,1.2159668,1.1846653,1.1122217,1.1846496,1.0759319,1.208588,1.0654373,1.1131585,0.8110826,1.0856564,0.4503008,1.0087196,1.1345844,1.016436,0.9665371,0.99442863,0.79437995,1.2093424,0.9939019,0.79559654,1.2544814,1.109687,0.96951866,1.2486897,1.1140604,0.92317986,0.91939324,1.2434742,1.0594853,1.1505313,0.91987973,1.1937445,1.1550424,0.339378,1.0162059,1.0099163,1.1574868,0.831499,1.1693912,0.9951641,1.2608097,1.0261781,0.94140273,1.0853345,1.0207466,0.3316973,1.2144507,0.9266942,0.9047812,1.1048243,1.0417325,0.9649955,1.0072536,0.99106383,0.78668517,1.2578013,0.7398691,1.2247039,1.0942795,1.10234,1.0107747,1.070209,1.0299194,1.1567434,1.0041146,0.9002334,1.1613321,1.1892729,1.0829368,1.0327166,1.1542472,1.0722412,1.144776,1.128934,0.9981511,0.7859568,0.7069547,1.0317323,1.0742877,1.0667163,1.1744424,1.2016882,1.183991,0.9313075,1.1402521,1.1698298,1.2565881,1.0460057,1.0863874,1.2880994,1.1911991,1.1299856,1.07073,1.0873121,0.65783983,1.1444356,1.0532757,1.174805,0.9274966,1.0408964,0.79568106,1.02627,0.88674784,1.1884216,0.8629414,0.8274465,0.7100493,1.0774122,0.56404114,1.0438601,0.97785145,1.1651893,1.253349,0.8958494,1.0147939,1.1226923,1.0703522,0.70173055,0.9350266,1.0282757,1.1240495,1.1828635,1.1519034,1.0633681,0.9958958,1.2796926,1.0817618,0.93555707,0.9025921,0.96709466,1.1596988,1.1578678,0.88666725
