,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sandwich,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.4066583,1.4600863,1.1054184,0.62244445,1.2385399,1.3726747,1.0862956,1.0265257,0.6366571,0.8399848,0.79442585,1.333609,0.71026456,0.7175512,0.5295923,0.5988272,1.0895727,0.8707911,1.2861717,1.267574,0.9024136,1.1848707,1.0858687,1.0609802,0.95152825,1.3032408,1.0332909,1.4968276,0.47238576,0.7900281,1.0695786,1.2375104,0.7789867,1.0409405,1.0892503,0.72467124,1.1741912,0.99488986,0.65356725,1.0367994,1.4595343,0.74120426,1.2248452,1.0435672,0.9482675,0.48459876,0.89125943,0.90273696,0.89231604,0.93776053,1.3193097,1.4376421,0.7988759,1.2598908,0.9708669,1.3972671,0.7813349,1.0201751,1.2212791,1.1875111,0.70019567,0.78811336,1.3247803,1.0400544,0.8404189,1.3689985,0.8146597,1.0781039,1.0009235,1.1914594,0.83142954,0.84961945,0.95621794,1.2676792,0.8031782,1.016775,0.97343576,1.1066388,1.2628645,0.7499523,0.8847622,0.8747307,0.8453679,0.8339968,1.2288948,1.0438094,1.4761734,0.98927486,1.3254771,1.3355944,1.3628962,0.71245897,0.608047,0.77939576,0.86627877,0.76974934,1.2693617,1.3158743,0.8064722,1.2789578,1.0473443,0.84817064,1.0259305,1.0398492,1.0687327,0.74741906,1.165452,1.005277,0.7964723,1.0939369,1.4919751,0.7266849,0.748402,0.8658941,1.2630832,0.9524221,0.7302335,0.99369067,1.0340883,1.2345004,0.8103808,1.042501,0.9698818,1.4613518,0.8391743,1.2035036,1.067495,1.018399,1.2545049,0.74485534,1.3308527,0.79404163,0.65028405,0.8850843,0.7552841,1.3031406,1.480589,1.3354081,0.9296709,1.0317776,1.1188833,0.89719707,0.7339965,1.0939565,0.8797775,0.9064577,1.4268085,0.8086931
ankle,1.4066583,0.0,0.7193035,0.9917986,1.223164,0.9489929,0.7857331,0.9813676,1.0469548,1.2519689,1.2398753,1.2846053,0.48030025,1.2292234,1.226844,1.2674465,1.3167775,0.9118742,1.2190695,0.94718903,0.99345785,1.3436834,0.7586976,1.0457647,1.1110523,1.0374724,0.77578413,1.0526932,0.49247813,1.304545,1.1791798,1.0369858,0.7748899,1.307545,0.8425224,0.9402573,1.2060786,0.90037495,0.8435427,1.330388,1.0094444,0.5731798,1.3824234,0.96686965,0.79998606,1.3655698,1.3939116,1.0732138,1.1835914,1.0123452,1.0851551,0.5852518,0.7338586,1.010071,0.43092388,1.1340208,0.36660743,0.8306603,1.1760074,0.46157938,0.8177722,1.0563892,1.3063798,0.39191926,0.6927477,1.269527,0.9004326,1.1500927,0.9502272,0.95251507,0.52905875,1.0821608,1.299839,0.91610426,1.0056415,1.0643444,0.8037908,1.1183811,0.80855817,0.8048203,1.136929,1.2643442,1.3131442,1.2166889,1.2169385,0.5972521,0.9261048,0.5514705,0.88152355,0.43828386,0.46777403,0.85694957,1.3773861,1.2630198,1.1103957,0.996904,1.2645948,0.5786954,0.54284364,0.986322,0.7989452,0.93690777,0.9285701,1.1808066,0.97046775,1.1546195,1.1326524,0.65692604,1.1238137,1.3355124,0.94215465,0.39850146,1.4089156,1.0212191,1.1628003,0.9361633,1.1512282,1.1804008,1.0491977,0.875077,0.778105,1.2161546,0.78706706,1.1051239,0.4455577,1.1584089,0.77465796,0.9441561,1.2083718,0.72532445,1.1376058,0.8792192,1.2787657,1.2600167,1.2478226,1.420764,0.8195243,0.30610812,0.45131165,1.1424166,0.86068296,1.1508641,1.3691353,1.3072823,1.1541396,1.1900209,1.1047382,0.40514874,1.1779928
apple,1.4600863,0.7193035,0.0,1.1016539,1.4375,0.4054187,0.48491907,0.7410184,1.0941347,1.4758817,1.1981227,1.4149463,0.57381725,1.497571,1.4630116,1.2175834,1.4792597,0.8786805,1.2813069,0.431607,0.58940613,1.399308,0.67655253,1.1604885,1.1156197,0.69262576,0.661875,0.74939495,0.44679713,1.3619504,1.4574267,0.85697997,0.49976313,1.4808874,0.95326436,0.9655032,1.4855406,0.72968227,0.7324939,1.4377708,0.9489762,0.3553686,1.5662112,0.6850537,0.74141556,1.3220917,1.2729731,1.1136789,1.2486635,1.3317862,1.2112908,0.95172316,0.24949372,1.1483262,0.6617261,1.107012,0.73485726,0.9225391,0.79691327,0.9714042,0.5561165,1.0027801,1.3955601,0.54943705,0.9832839,1.2336135,0.69142675,1.2435912,0.850955,1.2772664,0.80654126,0.9993461,1.2281718,1.2901249,0.54123217,1.3108833,0.9141163,1.3807073,0.5591906,0.6013132,1.301978,0.83217335,1.2994907,1.3537617,1.3299718,1.0213543,1.0694464,0.20243955,0.9935038,0.88690233,0.40402132,0.16165614,1.4498315,1.2778616,1.4441664,1.326525,1.3334113,0.52851355,0.62126595,1.1193566,0.57705355,1.0750569,0.82720834,0.99761826,0.7992637,0.89135796,0.9374328,0.67400736,0.7950009,1.5172536,0.741685,0.44618475,1.4549012,0.9355853,1.2177929,0.9019043,0.78926826,1.392087,1.2104441,1.2560393,0.6222869,1.2138652,0.8633025,1.17875,0.49251127,1.1106913,0.46917683,1.2170262,1.0824574,0.58573335,1.2795432,0.4143325,1.4082654,1.3816226,1.2829973,1.4144013,0.60110164,0.48439157,0.86118746,1.2255012,0.9709679,0.8379314,1.2516434,1.193156,1.2912905,1.204094,1.0946552,0.4426303,1.3158948
applesauce,1.1054184,0.9917986,1.1016539,0.0,0.7978453,1.1435494,1.098698,0.7790141,1.0180051,1.1353602,1.0033002,1.0485756,1.135749,1.0181402,0.8429217,1.1542606,0.9979446,1.0481628,0.8806724,1.2470683,1.1690651,0.8516832,0.9624586,1.0715145,1.1422553,1.1274526,1.2402272,1.2059214,0.9880483,1.0700103,1.1394681,0.78500223,1.2622303,1.0473213,1.182781,1.16492,0.76205075,0.80876064,1.1744676,1.1218458,0.7508061,1.1246486,0.99006134,1.2232206,1.099223,0.79727185,1.0836506,1.0102991,1.1823603,0.97518754,0.99295694,1.01119,1.0065053,0.9848362,1.1169307,0.99440557,0.78865755,1.0827096,1.0731547,0.8744424,1.1363113,0.98371214,0.91690093,1.1578496,0.8231004,1.1132945,0.7690494,1.0727687,0.9290245,0.5742318,1.0588527,1.116571,0.94110674,0.90758884,1.104415,0.9212021,1.0629432,0.9026215,1.3355398,1.2175095,0.7932173,0.8909212,0.9667604,0.72817564,1.0604073,0.85836005,1.0045607,1.1744835,1.1563013,0.9381684,1.1746658,1.0451313,1.0837502,1.0431502,0.8390549,0.9802293,0.9159123,1.1252505,1.001099,0.9987319,0.82412493,0.9884379,1.3190625,0.9418994,1.18411,1.0481951,1.1710021,0.9327278,1.0445065,0.8829493,1.2298605,1.0645373,1.1161232,1.1448338,0.9110011,1.0644703,0.9667915,0.9538981,0.89038587,0.9780056,1.2096897,1.1578388,1.1942476,0.7496689,1.0096098,1.1065364,1.2324822,0.7271,0.94117707,1.1834649,0.99470323,1.06033,1.0704129,0.9897903,0.85106146,0.84599847,1.0484395,0.97372156,0.7702862,0.6921134,1.2192446,0.8718006,0.88320947,1.0595537,0.90106213,0.87287086,1.2857414,1.0675094,1.2078484
arm,0.62244445,1.223164,1.4375,0.7978453,0.0,1.4431,1.5412741,1.2889316,1.2607104,0.56849575,0.7194875,0.61667246,1.3882385,0.64328426,0.4255705,0.96063673,0.5103826,1.315732,0.8946209,1.4952526,1.3236923,0.850083,1.2542775,1.0445731,1.208779,1.4009025,1.4871163,1.3473314,1.4199148,0.5308238,0.8230359,1.2603745,1.3939685,0.6912497,1.2107245,1.2942353,0.5762708,1.2531106,1.3240469,0.56826717,1.1078519,1.5282623,0.6467281,1.4387797,1.3815551,0.77033824,0.7629669,0.9960488,0.95340216,1.0500593,0.7890504,1.1539536,1.4656744,0.572931,1.3115387,0.6749084,1.0324126,1.2045722,1.4076028,0.96703374,1.43568,1.2038431,0.5627463,1.4082088,0.8968699,0.7751063,1.3304853,0.5867595,1.0406265,0.4912246,1.0952889,1.2350938,0.6528791,0.64694387,1.4002292,0.425295,1.2189149,0.9442637,1.4889262,1.4303119,0.70409614,0.8256473,0.87839603,0.5760987,0.7959174,0.8622031,1.0798022,1.4318234,1.3031213,1.1247938,1.4348865,1.3949236,0.60032254,0.65697724,0.29301172,0.54448926,0.700421,1.4240427,1.3870323,1.0644048,1.350509,0.95313376,1.4053849,1.0155507,1.3461671,1.192951,1.3080773,1.0627007,1.1039543,0.7568453,1.4066205,1.360483,0.65498185,1.1869278,0.71691275,1.3160516,1.2066063,0.3165846,0.896385,0.7773252,1.472562,0.8453246,1.2321752,0.974235,1.3885646,0.9421165,1.3677325,0.7647228,0.9182439,1.4959478,0.8265603,1.4048444,0.76041985,0.32302082,0.82039356,0.46919578,1.4496408,1.2560946,1.0664573,0.7536339,1.3000389,1.2772467,0.746284,0.69008106,0.94565105,0.81569576,1.2218283,1.3256221,0.81962913
ball,1.2385399,0.9489929,0.4054187,1.1435494,1.4431,0.0,0.2994337,0.78542316,1.0329763,1.41133,1.0255864,1.3342663,0.848421,1.4411235,1.323734,1.0109428,1.3243043,0.845948,1.0944312,0.55101734,0.7040655,1.190713,0.7858894,1.1542218,0.8980414,0.63984126,0.734112,0.7257955,0.74133176,1.303868,1.3760185,0.8549874,0.50250053,1.4759619,1.0323279,0.9260144,1.4189707,0.7754765,0.73393786,1.3364276,0.9669775,0.6991628,1.4476821,0.6515472,0.73571503,1.180315,1.0995859,0.9117479,1.2123183,1.219899,1.1391441,0.9976282,0.37958163,1.2585683,0.7249351,1.1617835,0.99331605,0.8898287,0.6629239,1.1984468,0.7644094,0.744387,1.268342,0.7706933,0.92365766,1.1768104,0.43969035,1.2648153,0.9842728,1.2857972,0.8783594,0.83272934,1.1820673,1.2771101,0.6176471,1.3834758,1.0462531,1.3756536,0.61069393,0.8202814,1.2564588,0.7775946,1.1361392,1.1369952,1.1688306,1.2108753,0.9388988,0.54424053,0.93931764,1.0500926,0.58743906,0.35052717,1.4120847,1.1763186,1.3931862,1.4253837,1.2053466,0.8032583,0.85914344,0.9438548,0.71693194,1.0598099,0.73160243,1.0235313,0.83508265,0.8791731,0.7405938,0.6776389,0.6888011,1.2798624,0.69850063,0.58616585,1.4131283,0.89193684,1.1827648,0.91111636,0.7918576,1.389719,1.0961044,1.3573123,0.7102606,1.2037599,1.0644848,1.2392488,0.73800564,1.1399984,0.81114286,1.1005251,1.0124241,0.6945402,1.1708071,0.60581124,1.2351384,1.3610811,1.2072458,1.3015356,0.40912426,0.8159357,1.027519,1.2784014,0.9479108,0.6385627,1.2528882,1.0974587,1.1741569,1.1843991,1.0324515,0.7441426,1.3017149
balloon,1.3726747,0.7857331,0.48491907,1.098698,1.5412741,0.2994337,0.0,0.8544173,0.9413317,1.3144245,1.2144827,1.3424217,0.5915643,1.3389144,1.3874011,1.1830629,1.3394,0.76251036,1.1209348,0.50082284,0.5648356,1.2158742,0.88809186,0.9566208,0.7965271,0.63585293,0.5326568,0.7090436,0.6105572,1.378408,1.2349764,0.9839005,0.5368742,1.4393766,0.86685663,0.7331842,1.2865715,0.904392,0.79553163,1.3743355,1.046966,0.50234056,1.4257379,0.5611172,0.7562009,1.1923058,1.2902167,1.1638898,1.2055441,1.0850228,1.1652279,0.78571296,0.44424272,1.3136063,0.7287711,1.2826207,0.8804698,0.79413855,0.7135233,0.97986966,0.73838156,0.8637868,1.224473,0.67466724,1.0307109,1.1861999,0.4572476,1.3374703,1.0760056,1.2929007,0.87432325,0.8738159,1.2008665,1.2431047,0.57823604,1.3850046,0.8810506,1.2496822,0.5110137,0.6523237,1.3123268,0.9478197,1.121474,1.2600309,1.2493172,1.1059633,1.0509398,0.52942693,0.76052576,0.9140191,0.56618065,0.47576344,1.403474,1.3286126,1.3776407,1.3457961,1.2505636,0.63749593,0.659656,0.988742,0.7589977,1.1662204,0.6732205,1.1021055,0.8205329,0.917313,0.8523382,0.8759185,0.888512,1.3038361,0.72035277,0.56656814,1.3986487,1.0367194,1.3046046,0.6404617,0.8639308,1.4392595,1.1456559,1.2274663,0.6430259,1.2653033,0.81118053,1.0122275,0.6982463,1.1312863,0.6149569,0.9852132,0.9698194,0.5664313,1.1241013,0.6787267,1.3085178,1.4691923,1.1938409,1.4001522,0.536936,0.73642606,0.9049337,1.1051457,0.7367967,0.8354769,1.2497944,1.1739135,1.193191,1.1880987,0.92904323,0.66352594,1.1607479
banana,1.0862956,0.9813676,0.7410184,0.7790141,1.2889316,0.78542316,0.8544173,0.0,0.9663189,1.3931111,1.089003,1.3187323,1.092282,1.3918643,1.2345666,0.98766816,1.2775519,1.0628014,1.1384335,0.9593201,0.9742399,1.1448504,0.55217475,1.206325,1.0301931,0.85475737,1.0408083,0.97952616,0.6795085,1.2843046,1.2937858,0.28486925,1.0538765,1.3142143,1.0870264,1.0340984,1.2667787,0.36829036,0.73775107,1.296974,0.71827614,0.9168112,1.308115,0.98390216,0.7006904,1.0656651,1.100922,0.9412534,1.2801268,1.1405611,1.1362388,1.0385886,0.56745327,1.1993604,1.0609205,1.1642065,1.0119202,0.84201896,0.7949641,1.0885286,0.7579563,0.7223066,1.1750041,1.007357,0.7740849,1.2792069,0.8061131,1.241482,0.79575354,1.1348763,1.0601971,0.8938705,1.1217977,1.2187392,0.8241702,1.2353988,1.0246688,1.1353207,1.0504134,0.98830324,0.8765243,0.6552644,1.0117099,0.9076367,1.1226355,1.0593588,0.83056086,1.0121639,0.7952554,1.1010545,0.9971129,0.5565265,1.2479925,1.1977391,1.3139006,1.2526903,1.2237545,1.013999,0.9385269,0.93076307,0.31919736,1.0443975,0.93050355,0.8392143,0.9906029,0.6884804,0.8641522,0.71805537,0.7040869,1.1369963,0.95554274,1.0306754,1.271539,1.0011556,0.9218977,0.92841554,0.8976904,1.3030269,0.8864019,1.1642499,0.9407701,1.2783017,1.1028309,0.85987157,0.8532483,1.0606674,1.0349045,0.9440188,1.0143907,0.7998215,1.1996017,0.7921219,1.2219656,1.3099498,1.1103916,1.2165375,0.7389516,0.9795354,0.9859764,1.0125766,0.9615867,0.77724415,0.9604263,1.1886361,1.1542685,1.013146,1.2196456,1.0556692,1.2998639
basket,1.0265257,1.0469548,1.0941347,1.0180051,1.2607104,1.0329763,0.9413317,0.9663189,0.0,1.1541162,1.2323899,0.88804895,0.9244207,0.8597492,1.0706738,1.0947174,0.9590744,0.66367066,0.80341935,0.8530648,0.87768507,0.7171792,0.9097473,0.9054646,0.68272394,0.89871985,0.80790997,0.84237194,1.0696594,1.2391376,0.79940826,0.9925183,0.953627,0.8847938,0.9930748,0.70119476,0.90679914,1.0697464,0.6974964,0.99690056,0.72080076,0.92739713,0.78626084,0.7302625,1.0531312,0.9344776,1.1185412,1.0207167,0.98093516,0.72056746,1.0533056,1.102404,1.11239,1.2743237,1.1085526,1.2290652,1.2011768,1.1072766,0.841494,1.1440457,0.83915097,1.0087279,1.0802906,0.97150856,1.1380508,1.08486,0.9140675,1.1863594,0.8962639,1.232654,1.0205117,1.0185229,1.0817219,1.1496814,0.82309353,1.2631028,0.8403573,0.740563,0.92993176,0.83118236,1.0987186,1.1508311,0.8183859,1.1123549,1.0102782,1.1985252,0.984784,1.1022637,0.7835566,1.0513226,1.0959731,1.0935062,0.99046737,1.1185513,1.2567875,1.2216281,0.99734867,0.94470006,0.9074125,1.0081943,1.0701026,1.0945482,0.6684052,0.97538954,0.89624393,0.8860983,1.0045435,1.1084317,1.0054764,0.599998,0.761861,1.1380444,0.96519196,0.98465544,1.107711,0.9104099,0.9399456,1.2195209,0.98360217,1.0214273,0.80908245,1.1284534,0.8414841,0.89226884,1.0645585,0.9661268,0.98012894,1.0889599,1.0417677,0.89562106,1.1372977,0.976995,0.97482616,1.2188745,0.8132879,1.0913186,0.8085373,1.1595411,1.1285502,1.0086707,0.7591861,0.8489987,0.9705417,1.0846328,0.89595896,1.0901603,0.85868937,1.0167603,1.0482508
bathtub,0.6366571,1.2519689,1.4758817,1.1353602,0.56849575,1.41133,1.3144245,1.3931111,1.1541162,0.0,0.8609544,0.562628,1.2743793,0.40944338,0.73659545,0.93880355,0.54801035,1.1502366,0.9292868,1.3505135,1.0467765,0.76669157,1.367183,0.8699328,1.0002639,1.2378765,1.2191429,1.1877081,1.4374937,0.5068089,0.59886837,1.2546651,1.1688597,0.55001646,1.0942407,0.8955902,0.6005818,1.2930968,1.1725607,0.5559339,1.2338451,1.4193082,0.48999953,1.2170951,1.3891264,0.6625837,0.80078804,1.1976924,0.49027228,0.6930905,0.9439624,1.1238822,1.4452926,0.74264705,1.2087842,0.8358085,1.221799,1.1274171,1.239071,1.0936443,1.3631756,1.1557853,0.5990508,1.3655367,1.3463988,0.65099615,1.3866488,0.7446252,1.173141,0.8808929,1.2725286,1.1497546,0.7657112,0.8488097,1.3371338,0.7098177,1.0928975,0.84004974,1.0367072,1.2616448,0.8948186,1.0159414,0.84278023,0.9491052,0.9793501,1.0167779,1.0645615,1.3687725,1.1260499,1.2466613,1.3664725,1.4471226,0.4621085,0.71352696,0.6521173,0.72578704,0.73850524,1.2737099,1.3225497,1.0982597,1.3656803,0.98696476,1.1509299,1.0814977,1.1406326,1.0822964,1.2071452,1.3275952,1.2112824,0.88578355,1.2591732,1.341073,0.44160563,1.1619327,0.95449924,1.101803,1.2046405,0.61271,1.1300391,0.9429999,1.3870041,0.37450522,0.78367746,0.9081738,1.5104063,0.77545595,1.1034483,1.0376759,0.9182777,1.3944771,0.64487374,1.3870431,0.9210545,0.63404965,0.9257385,0.56380284,1.3549875,1.3732533,1.19332,0.817024,1.177127,1.3332245,0.7196958,0.7369852,1.015063,0.88515985,0.9183485,1.4525783,0.46177912
