mean_dist_to_centroid,std_dist_to_centroid,mean_pairwise_l2,mean_per_dim_variance,mean_cosine_to_centroid,n_exemplars,category
35.624665863006165,3.931350245332543,51.944637551793384,1.6726202247425948,0.4388848133113679,18,pastry
34.98141553445671,5.827220303469083,50.31540615613179,1.6375728245566297,0.4967187913288035,38,truck
34.83001698965229,5.388186534711798,49.766362862860795,1.6173992677504128,0.5044526810485542,27,elephant
34.69272876724391,3.9844812320040264,50.26599609804245,1.5878405208408142,0.3734477879097836,22,owl
34.42020773477224,4.659197041603312,49.271508415651994,1.5709099187205204,0.4379238267711748,53,chips
34.21102449552796,2.5161642154435775,55.88846381648085,1.5321943742092354,0.5425183133436211,4,bear
34.185333880096714,4.029743613901901,49.37826095990037,1.542807143343062,0.4373124367836284,26,sandwich
34.11743706966853,6.003724028529226,49.23418825745324,1.5625575708509525,0.38378655918440086,30,sprinkler
34.0783574121917,6.401248245205052,48.79428254387589,1.565508363294039,0.37673134997052005,91,bird
33.99208692880164,6.414576843419841,50.17189456668353,1.5580843357491476,0.5665338766053494,13,firetruck
33.61232382018034,4.713989009873408,49.73853454969585,1.5000130273149346,0.5984924544318239,11,duck
33.30258287747026,4.58155312142443,48.46716214657543,1.4714227282750116,0.43865820745867634,20,boat
33.10788508951973,5.372637106519244,47.30957562399056,1.464840214295821,0.4365144116765107,64,dish
33.07469427247703,5.2433996884391325,47.331404046253525,1.4601935436335267,0.46225214995825864,45,rooster
32.90928519309426,5.470960273907971,47.51867008214847,1.449156846665484,0.4696229922218547,30,sauce
32.8869989060371,6.585999489729106,47.242150291008734,1.464752716568226,0.5268489294309773,36,pig
32.67658783754205,3.8571400598299608,47.13594027792771,1.4096834923772743,0.46309619528180823,28,applesauce
32.64390070485164,5.891975066557719,47.20805313903749,1.432733884652541,0.5576013401943644,22,penguin
32.15164391375806,6.154607441992821,45.9999611735066,1.395322134273605,0.42879574047353947,103,radio
32.01008419248641,6.28628324038827,45.897208698118426,1.3856287070162174,0.47584640183247084,72,coffee
31.896452569496006,5.538927097213864,46.091854041822394,1.3646658852947373,0.4448174205371401,33,stick
