category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist
crayon,266,10,10,4.673554198931685,1.5365480107914673,4.269412602596238
hand,266,10,10,5.75988462670418,1.8930544236007045,5.3073113725261365
toe,264,10,10,6.078656359619038,2.5997648000903038,5.25683379848604
slipper,266,10,10,6.482349560285948,1.653506403183563,6.194675114987303
bottle,266,10,10,6.69679167495203,1.9854810425521268,6.32060219644201
cup,266,10,10,6.773912413329851,2.0011655289713115,6.3343262170044214
glasses,266,10,10,6.817232089592769,2.357534328419132,6.292796210029709
chair,266,10,10,6.828982967811489,1.8064790963332038,6.617034961623104
nail,263,10,10,7.397323570565255,2.7676435992716257,6.397966327030928
toy,266,10,10,7.410744381431961,2.574362824870898,6.6870361286799325
pillow,266,10,10,7.4578426207495,2.301849289366585,6.85719573739382
can,266,10,10,7.488583283441279,2.4600716443306747,6.994925077385994
finger,263,10,10,7.513977988469346,3.70626823619294,6.4462698851985065
hat,266,10,10,7.528187140259438,2.128587306987443,7.0162807923671355
watch,264,10,10,7.716290804502927,2.468380762607397,7.1380670568412805
book,266,10,10,7.753899683231113,2.924168287673654,6.95270018093964
lamp,266,10,10,7.791592736894551,2.3881557119415255,7.39136565786501
pen,265,10,10,8.333237142788237,3.0317816545804828,7.431047859927867
bowl,266,10,10,8.530665168216524,2.435395510069304,7.919819409214434
napkin,266,10,10,8.61364907968885,2.532445948241089,7.97972056782542
towel,266,10,10,8.620386033179074,3.026970798484517,7.892007101933393
door,265,10,10,8.636182462990758,2.7734887532711476,7.845332087027846
bucket,266,10,10,8.729031527403802,2.633128594181006,7.835240144101647
glove,265,10,10,8.909888775125989,2.9003915302884127,8.245934260338542
gum,265,10,10,9.338567849439535,3.6629790453262543,8.298580787531815
pencil,265,10,10,9.441938293849713,3.9907328451922712,8.295631391776602
couch,266,10,10,9.496341736948098,2.8592495061254706,8.895000294183983
cat,265,10,10,9.517119584447324,4.030968802022235,8.213451910425755
sink,266,10,10,9.938710890609103,3.9285941586821878,9.154647771873453
bed,266,10,10,9.9978205661501,3.6139968581401494,9.260117455811116
box,266,10,10,10.178820082242034,3.32637795567793,9.385534115744782
refrigerator,264,10,10,10.206684590552534,3.468575759814073,9.409761028254032
belt,262,10,10,10.29613271606854,4.418014634860432,9.109963069554638
bench,266,10,10,10.297786713890464,3.167586039251376,9.449613966787682
vacuum,265,10,10,10.342449128955062,3.1381013355403558,9.574912622571462
plate,266,10,10,10.411638096397146,3.1926637167860648,9.531351901089131
frog,265,10,10,10.443129938619562,3.3363171204852486,9.702223504646941
necklace,261,10,10,10.459328569607417,3.972356674116751,9.488019992678584
