category,mean_bv_to_things_centroid,std_bv_to_things_centroid,mean_bv_to_bv_centroid,std_bv_to_bv_centroid,corr_dist_things_vs_dist_bv,n_bv,n_things
game,45.956830458160056,5.834283613474518,39.07804287752708,5.056026585696314,0.8368223360328707,32,6
giraffe,40.329560386016205,6.17243112792178,35.54321397717108,6.398660573761226,0.8078443096887055,53,24
helicopter,39.536219480040735,6.595826130871216,36.28010374815339,5.967355916334605,0.9016863084012705,41,25
pasta,39.30754104637836,8.211425758343442,33.68234598198955,4.519798205957359,0.4904603695979131,11,12
zebra,38.578128979771336,6.0662166083444236,33.34071478621395,5.015293642982578,0.7571754775573444,49,20
pastry,38.52085549883603,8.333465580379313,34.59404886114556,7.970387261006982,0.9520973779377717,54,13
firetruck,36.85442513180841,6.203872085510243,32.03874908565135,6.873739956822217,0.8984088987653175,86,12
toast,36.6866598496884,8.004164292194481,30.131227785094552,6.962290009973335,0.7718311917349929,9,13
swing,36.670936889124306,8.000220601931364,30.34854171218126,8.311287464447137,0.9054924551623839,55,13
tricycle,36.24938428225796,7.147768776423433,31.83318437626072,7.226809585515459,0.8718862584625761,53,14
sandwich,36.21033673304783,7.393801953261618,31.94134203247639,7.429133145454928,0.8795086696303409,81,15
tree,35.74997702461304,5.781093354563594,27.107455228656892,7.712159433156428,0.8014871724712984,186,10
bear,35.255123910391696,6.672978943884875,28.568691870045257,8.546532468138482,0.9201244452197175,102,21
duck,34.94959996275547,7.099995978645335,32.625473349590095,6.665228071102321,0.9587492800392425,45,12
cloud,34.75388247261385,5.7425705873197,24.926352116434582,7.559644959593166,0.8911714830076858,13,12
deer,34.65087253103705,7.088461677834849,31.120304917018196,6.9517420059336965,0.9382517739141722,83,14
dish,34.46161707481523,6.687518063583674,29.609363676481316,7.033421085270628,0.9179392147341251,152,8
pig,34.20914297767598,7.4461324175654235,30.3508889134435,8.09852229070586,0.9263571476297591,107,12
chips,33.96148081704011,6.499719911687252,28.71589976761001,6.838365171209327,0.8690231881920881,84,12
applesauce,33.572692146869024,7.681913565042037,30.447867279016467,8.052014786007824,0.9661967061069604,94,15
grass,33.27676209968076,5.640269620334191,25.948568934898304,7.134379552156208,0.9132144123515018,149,15
rock,33.164390815714974,7.190971090925807,27.866845241181093,7.261611766146145,0.8862672153002766,108,12
penguin,33.13254127246561,7.688983966548153,29.89549825833311,8.225658309594275,0.9742883749241644,89,24
mouth,32.90985378651813,5.2399019428882445,22.42889768004078,7.773060819580452,0.5582356628778042,150,10
milk,32.77076057269965,7.693991926257448,25.871690794102893,9.148444974943507,0.9037491578945074,185,21
mop,32.58741116200551,6.361305527113928,26.730612187904427,7.507328861976011,0.9074058902241301,49,12
meat,32.505674127195796,7.188277936384489,28.57209078948133,7.714209217612071,0.9582038497335817,154,13
sauce,32.39076400266577,6.543500317777128,27.84627326982291,7.013180443052793,0.8751099281485256,84,11
face,32.35772654618255,5.439956749638812,20.429614416749825,7.328990644299257,0.7878626859285304,248,3
snow,31.984290207182635,6.534510949937411,24.65108978346681,8.230361989099295,0.9572966923616523,183,11
elephant,31.784565208241954,6.370042558273192,25.58885897089855,7.988798547336235,0.9005883623400183,193,12
pony,31.65458000945028,6.983691192565732,25.725945769623525,8.629603461289424,0.839902166085988,175,13
stick,31.227497675612426,6.113580293700752,28.254731841336987,6.33980731730664,0.9543290152537584,79,12
hamburger,31.066266599358617,8.291474852115591,27.722663767813795,8.875973442695054,0.9772343525185451,176,11
truck,31.02835826313146,7.372897429213324,27.42366543114859,8.142886432980307,0.9775715310950638,147,7
shower,30.754101665013405,6.403080123302193,23.287735679943733,7.968017636850241,0.9391704763631361,185,13
eye,30.619977679266817,4.320689955932733,22.51001815360451,6.647376529393019,0.8202572654944303,107,19
corn,30.382724501853254,6.99178761455525,27.104245632225258,7.761284232081327,0.9742736491563572,113,17
coat,30.263720007198657,7.69651798130329,25.759297757710584,8.273398797416892,0.9263560861149875,130,12
soup,29.66506076959618,7.361297772119576,25.087767426728085,8.25350688714255,0.9067283883673606,171,12
cookie,29.619194114986147,6.790201032756296,24.570840348277407,8.059276047798074,0.9512416042162715,177,12
butterfly,29.44829412772658,6.569134149248843,24.740115457082705,7.613377422286321,0.9516394756865588,186,16
scarf,28.626494638222486,7.885566663378334,24.460300344185747,8.781954244167704,0.9707584566165782,202,16
boat,28.490738857392106,7.961592521058478,24.768130772078703,8.730006176754923,0.9561396616830046,218,14
hose,28.419937734310402,7.365333907524802,24.27189408664135,7.902518587805405,0.9526524043679322,204,12
raisin,28.387863782052698,4.8422148462026104,21.94416105703481,6.718456447955048,0.8865792692407577,111,14
horse,28.33558809707519,7.120374952913592,24.742673241770536,7.833992249279833,0.9476827419982893,222,16
dress,28.198858033173963,7.128231069901023,22.227711512197267,8.513342773412642,0.9194521351542466,228,13
closet,28.146931491018833,6.332588292814448,21.185314072569817,7.88473128769105,0.9283786602627887,233,10
leg,28.13055659929094,6.964022188512138,24.507572585129317,7.5790436608364615,0.9640538483918172,117,9
owl,27.842789109630125,7.984564026729686,24.524093628042067,8.764457893506362,0.987731717240658,221,27
coffee,27.770395275960322,7.048682227688321,23.92609895543916,7.7476162971851155,0.982962768364055,189,15
motorcycle,27.664092147394623,7.664211743539481,23.348368618480734,8.432778943933831,0.9630898625956527,216,10
potato,27.563230767730023,4.854809179939541,21.42134043256554,6.951614565301147,0.9449657739588789,62,14
ear,27.242013347398814,5.251142489932824,19.847228100846806,7.286717864472249,0.8126444421295788,183,12
strawberry,27.101771271490907,5.120587916372517,19.830080523970892,6.9952014483752425,0.8694923230185219,201,15
sprinkler,27.014236125944578,7.767298457732998,23.81747444652598,8.483866307211608,0.9833423248375366,216,15
slide,26.761849696749934,6.329338280888463,19.864815049516473,7.250163717822206,0.902549839850495,245,16
pizza,26.699458052015277,7.5080068741076005,23.119937440333935,8.389748742100775,0.9775019053980284,225,15
jar,26.43888948800415,6.78322509354904,21.34662132978768,7.669039929489199,0.9381470880876167,212,14
sweater,25.642779194489393,4.961809660180136,15.9872643465559,6.78242840212089,0.9219070577107773,255,19
bird,25.587547963231636,7.435551307130979,22.80384514909748,8.061208726936684,0.9754696080556534,227,23
nose,25.26725320039501,5.004737290337894,18.550655987174014,6.791135309984646,0.9200770518833044,211,12
muffin,25.02304618828547,6.796275300706832,20.714530442940916,7.837004465713966,0.9814114098697151,209,13
broom,24.907479780791405,6.453496624560948,20.340949765744742,7.647867054203597,0.9590637558766685,196,12
hair,24.866328466064886,3.915468111614271,13.48473310071399,4.816231258427202,0.8094320622546364,263,10
arm,24.812448839253,5.146603181408495,14.257818876642377,6.841222454702367,0.909367069368802,256,5
jacket,24.68274060570359,5.938327215598007,17.888887219938805,7.076610833433669,0.8964965708077495,249,16
pickle,24.400588059797375,5.95053667664429,19.9071432325861,7.391764387886584,0.9750402981910592,204,16
rooster,24.349656324855385,6.44836286401424,20.181138783033287,7.481247108520559,0.9801479640238456,247,14
melon,24.293833757333267,6.493978045996422,20.393353081893437,7.12197150462416,0.9659434136833404,232,14
pumpkin,24.287862378575415,5.993920758862646,19.659529140204846,7.215010960782266,0.9589261331607962,238,21
soap,24.261834977002433,5.25515412028967,16.95051445790176,6.290052144852183,0.8665496441873511,213,11
ankle,24.163247139976814,5.501709331328836,19.15296768545236,6.6334988203471,0.9742015120490238,199,12
nail,24.02429504726097,2.148655081634192,7.867105026254808,3.4143783423091847,0.5045904385706851,263,13
glass,23.790765437285565,6.89082216152937,18.420040662519654,8.229721359006033,0.9460884338703875,251,12
stroller,23.745303101233183,6.6676998980797215,18.95541252049542,7.752630013174967,0.9638576678426969,243,16
comb,23.225645883029756,7.222361574324963,19.043100815542793,8.262128967358548,0.9838453887817346,234,12
clock,23.061834139141364,4.258534641371145,15.468521903337583,5.635990763119326,0.8642981499819239,262,12
window,22.825244912150207,3.6939052871260123,13.253108241126466,4.953377625761383,0.84239721695044,264,13
foot,22.60641416299262,5.860827372476197,18.024325960410717,7.253412121816176,0.9663227450781627,215,14
radio,22.535384877123967,5.222699667059066,16.387922581714214,6.66552973604109,0.951886577999471,251,15
shirt,22.397326743303672,2.9628087539921424,11.267262477432132,4.079299873858064,0.8898176937877021,266,12
shorts,22.388078479509595,6.0553561583841455,15.501426484370326,7.399126874288238,0.9090419934221681,232,14
table,22.38405974888391,3.6030741066696303,11.543269195479892,3.7646896408939727,0.7297864943517767,266,12
egg,22.26336168121527,3.9755425292492736,14.049865234630433,5.411743600791108,0.8853378409398192,246,15
cracker,22.213236213194406,6.869096696824206,18.541399271383284,7.700591172262111,0.9843972150197817,248,12
pants,22.150319043447688,3.991035864886703,11.70471693993337,5.832391253167945,0.8733912600287222,256,11
orange,22.004790891398017,4.578305117561929,14.143645487573538,5.996777760360601,0.8151272857227168,254,13
plant,21.873448687380442,3.965976129720897,15.03517530078586,4.538182565535295,0.7179849187917269,263,9
jeans,21.536451954745186,3.639666230295295,11.77700920654738,5.00351635002128,0.839435292973196,257,14
pajamas,21.422806949952665,3.7316078111885513,12.767608800637651,4.769038461012637,0.8789312012455412,262,13
ladder,21.27699436789199,4.193063740137383,14.87604778443524,5.2673803563689034,0.8980973444102931,259,14
flower,21.248327785401138,4.142619642464773,14.708142951704907,4.727339705345743,0.8535121896417895,266,16
tooth,21.22342880952323,5.590313902559373,15.42546197382386,7.367653095093145,0.9388081187144214,244,13
paper,21.21465384865836,4.776282637005939,13.605677509644526,5.289759420125196,0.759598004671098,265,13
apple,20.9750330855859,3.717889653600577,11.696048035602029,4.937232467852969,0.7634424849963195,265,11
carrot,20.849001271678222,4.650014180854644,15.152954256717488,6.29694557700553,0.9428734787628283,235,12
tape,20.803859102525006,3.5246043990129516,12.327079634432296,4.929944959153315,0.909445293520882,264,9
bed,20.70483099038912,3.0070272672524827,10.526461202902945,3.9805841314155064,0.7852533507775031,266,21
bathtub,20.639565667214256,4.482142236898855,12.847127224372912,5.284242399034248,0.8822415359130604,262,24
sock,20.620235454049666,5.355859004535248,16.009788635970843,6.593588336655849,0.9754859204542544,250,11
